edu_att_reference_year,edu_att_country_iso2,edu_att_region_nuts_code,edu_att_age_group,edu_att_sex,edu_att_isc_level,edu_att_early_school_leavers_rate_pct,edu_att_tertiary_attainment_rate_pct,edu_att_vet_participation_rate_pct,edu_att_adult_learning_rate_pct,edu_att_neet_rate_pct,edu_att_pisa_reading_score,edu_att_pisa_math_score,edu_att_pisa_science_score,edu_att_digital_skills_students_pct,edu_att_teacher_shortage_index,edu_att_education_expenditure_pct_gdp,edu_att_eurostat_table_code,edu_att_survey_weight,edu_att_data_extract_date
2021,RO,FR43,15_24,M,ISCED_5_8,11.97,55.25,48.92,19.37,11.57,413,417,452,81.17,43.71,6.44,edat_lfse_03,1.7173,2025-04-01
2022,BG,EE472,25_34,X,ISCED_3_4,14.43,39.22,39.71,3.66,11.48,529,511,507,66.13,44.07,4.06,edat_lfse_14,1.9135,2024-08-28
2023,FR,ES85,35_44,F,ISCED_0_2,13.6,53.66,17.2,6.78,6.11,458,497,488,75.03,74.5,5.5,edat_lfse_29,1.6502,2025-11-14
2024,LT,NL54,45_54,M,ISCED_5_8,9.34,39.24,49.42,8.59,14.1,464,495,515,92.66,18.3,6.76,edat_lfs_9912,1.5237,2024-08-08
2025,SK,FR6,55_64,X,ISCED_3_4,11.67,45.08,22.08,8.93,17.63,481,465,445,73.82,27.72,6.73,edat_lfse_03,2.3483,2024-07-21
2006,HR,GR39,15_24,F,ISCED_0_2,8.79,34.1,21.59,16.14,14.0,455,513,466,25.8,13.82,6.13,edat_lfse_14,1.7815,2024-07-23
2007,DE,PL43,25_34,M,ISCED_5_8,13.91,41.9,18.03,8.46,12.51,422,425,431,64.98,31.08,5.09,edat_lfse_29,0.809,2025-07-20
2008,LU,LU3,35_44,X,ISCED_3_4,7.02,34.6,14.26,18.33,13.82,436,440,451,73.8,8.4,5.99,edat_lfs_9912,1.3486,2025-07-22
2009,SI,CY21,45_54,F,ISCED_0_2,8.84,33.86,41.2,9.04,18.56,396,387,420,39.35,39.92,3.26,edat_lfse_03,0.2919,2024-01-07
2010,CY,IT910,55_64,M,ISCED_5_8,11.88,40.96,39.68,10.88,11.09,489,491,500,31.67,43.72,6.05,edat_lfse_14,1.5958,2025-01-14
2011,GR,GR87,15_24,X,ISCED_3_4,13.71,46.68,14.24,4.69,20.38,456,434,404,51.25,30.1,3.54,edat_lfse_29,1.0565,2024-11-11
2012,MT,FR444,25_34,F,ISCED_0_2,5.56,57.32,45.38,3.35,5.98,476,450,506,41.79,18.66,7.24,edat_lfs_9912,3.8336,2025-05-19
2013,ES,BG985,35_44,M,ISCED_5_8,12.98,58.84,18.44,14.19,15.26,482,495,528,78.89,47.46,7.11,edat_lfse_03,3.6637,2025-10-13
2014,CZ,DE651,45_54,X,ISCED_3_4,7.4,27.47,21.18,9.8,8.15,468,436,457,56.5,42.54,3.86,edat_lfse_14,3.6675,2025-03-05
2015,HU,HR288,55_64,F,ISCED_0_2,7.52,24.31,29.59,9.3,16.39,477,441,471,34.52,62.4,7.02,edat_lfse_29,4.1942,2025-04-09
2016,NL,IE84,15_24,M,ISCED_5_8,16.23,25.37,24.73,16.04,19.03,455,441,439,30.87,16.3,4.03,edat_lfs_9912,1.9305,2025-04-13
2017,SE,LU2,25_34,X,ISCED_3_4,10.54,23.92,26.46,17.79,11.35,517,522,580,46.32,20.95,7.6,edat_lfse_03,3.4542,2024-02-16
2018,DK,BE8,35_44,F,ISCED_0_2,3.68,24.75,23.52,12.72,6.33,463,518,491,37.24,7.96,4.0,edat_lfse_14,0.996,2024-10-10
2019,IE,IE647,45_54,M,ISCED_5_8,5.11,36.71,30.93,6.69,8.06,577,590,590,63.92,9.55,4.72,edat_lfse_29,4.6749,2024-11-22
2020,PL,PL22,55_64,X,ISCED_3_4,11.11,40.12,30.99,9.66,19.83,463,427,440,60.41,62.53,3.27,edat_lfs_9912,3.8538,2024-06-28
2021,AT,IT8,15_24,F,ISCED_0_2,6.96,33.33,29.31,19.61,10.2,510,467,513,65.71,15.87,7.38,edat_lfse_03,1.5077,2025-08-11
2022,EE,HR47,25_34,M,ISCED_5_8,9.36,31.97,40.2,7.83,5.6,532,576,542,68.08,38.82,4.64,edat_lfse_14,0.2495,2025-11-15
2023,IT,FI2,35_44,X,ISCED_3_4,11.24,27.96,22.74,6.74,11.05,445,402,437,42.42,41.24,5.44,edat_lfse_29,3.5063,2025-09-13
2024,PT,LT380,45_54,F,ISCED_0_2,8.1,26.94,32.71,15.86,10.22,465,532,521,52.16,28.66,4.49,edat_lfs_9912,4.1128,2026-01-10
2025,BE,LU4,55_64,M,ISCED_5_8,8.19,17.76,16.58,9.21,7.7,399,445,446,66.75,26.7,3.52,edat_lfse_03,0.8941,2025-06-16
2006,FI,PL945,15_24,X,ISCED_3_4,4.87,20.06,27.45,17.37,21.49,466,478,453,39.56,57.82,6.22,edat_lfse_14,1.8539,2024-05-01
2007,LV,FR913,25_34,F,ISCED_0_2,14.82,21.08,35.54,3.45,6.21,490,453,507,48.52,47.23,3.43,edat_lfse_29,4.5219,2024-07-18
2008,RO,SI38,35_44,M,ISCED_5_8,14.43,49.74,44.45,2.86,12.8,454,465,441,33.3,51.93,4.23,edat_lfs_9912,3.7018,2025-10-12
2009,BG,SI34,45_54,X,ISCED_3_4,15.62,57.12,46.02,7.29,15.97,424,392,448,58.24,30.03,7.3,edat_lfse_03,3.3008,2024-08-19
2010,FR,FR746,55_64,F,ISCED_0_2,4.01,19.14,44.69,5.57,4.71,484,461,436,33.42,17.2,4.98,edat_lfse_14,4.603,2024-07-23
2011,LT,BG49,15_24,M,ISCED_5_8,5.86,54.56,45.09,5.89,5.92,488,474,467,55.23,59.12,6.12,edat_lfse_29,1.364,2024-11-27
2012,SK,FR4,25_34,X,ISCED_3_4,6.57,56.35,44.82,12.54,13.14,442,429,445,46.81,51.51,4.15,edat_lfs_9912,2.7135,2025-07-31
2013,HR,DK82,35_44,F,ISCED_0_2,11.96,59.02,37.04,16.86,14.74,414,430,411,67.12,13.45,7.1,edat_lfse_03,4.2112,2024-03-29
2014,DE,IT9,45_54,M,ISCED_5_8,9.57,28.14,52.1,11.1,13.16,411,398,430,55.39,25.89,5.17,edat_lfse_14,4.1257,2024-03-09
2015,LU,FR967,55_64,X,ISCED_3_4,13.37,18.94,23.15,13.28,16.98,429,436,440,36.51,36.65,3.15,edat_lfse_29,3.5175,2024-01-27
2016,SI,IE281,15_24,F,ISCED_0_2,6.21,48.16,18.65,12.31,18.26,445,457,438,46.07,27.55,4.76,edat_lfs_9912,0.9824,2024-01-31
2017,CY,CY845,25_34,M,ISCED_5_8,10.14,27.62,46.64,17.15,16.86,427,439,406,48.21,8.9,6.78,edat_lfse_03,3.2999,2025-06-09
2018,GR,ES666,35_44,X,ISCED_3_4,15.36,30.98,9.62,9.99,8.19,437,459,448,27.02,47.14,3.51,edat_lfse_14,0.9101,2025-05-21
2019,MT,LV5,45_54,F,ISCED_0_2,13.95,38.77,20.98,6.68,18.67,494,514,511,74.99,27.7,5.33,edat_lfse_29,4.343,2026-01-30
2020,ES,EE75,55_64,M,ISCED_5_8,11.31,47.63,10.22,9.54,9.39,467,487,458,49.08,52.22,6.32,edat_lfs_9912,2.5222,2025-10-19
2021,CZ,DK66,15_24,X,ISCED_3_4,5.83,29.44,48.96,8.28,12.75,514,546,549,51.16,12.5,4.32,edat_lfse_03,2.9759,2025-10-07
2022,HU,PT8,25_34,F,ISCED_0_2,5.84,57.47,42.82,8.01,16.93,467,416,442,58.77,68.01,4.71,edat_lfse_14,3.9933,2025-10-12
2023,NL,SE642,35_44,M,ISCED_5_8,11.14,54.64,25.71,5.15,10.85,560,544,522,66.77,30.89,6.11,edat_lfse_29,4.0095,2026-02-02
2024,SE,CZ653,45_54,X,ISCED_3_4,14.55,41.26,33.9,6.47,12.54,533,486,515,71.41,16.5,4.43,edat_lfs_9912,1.2203,2024-11-20
