imm_refugee_arrival_month,imm_refugee_resettlement_agency_id,imm_refugee_case_size,imm_refugee_nationality_code,imm_refugee_refugee_category_code,imm_refugee_special_immigrant_visa_flag,imm_refugee_screening_completed_flag,imm_refugee_medical_clearance_flag,imm_refugee_travel_loan_amount_inr,imm_refugee_initial_cash_assistance_inr,imm_refugee_housing_placement_days,imm_refugee_school_enrollment_within_30d,imm_refugee_employment_within_90d,imm_refugee_english_training_enrollment,imm_refugee_healthcare_linkage_within_30d,imm_refugee_trauma_services_referral_flag,imm_refugee_secondary_migration_within_1yr,imm_refugee_public_benefit_uptake_rate,imm_refugee_self_sufficiency_score,imm_refugee_followup_contact_count
2025-08,RA004,7,PAK,HUMANITARIAN_PAROLE,1,1,0,207936,44738,0,1,0,0,0,0,1,68.88,30.3,22
2022-10,RA044,2,NPL,HUMANITARIAN_PAROLE,1,1,1,138126,56247,167,1,0,1,1,0,0,61.19,8.4,23
2021-08,RA034,4,ERI,FAMILY_REUN,1,0,1,55100,146250,125,1,0,0,1,0,0,71.6,54.7,24
2025-09,RA001,4,MMR,SIV,0,1,1,253006,118055,31,0,0,0,0,1,1,1.97,30.6,10
2020-06,RA023,8,AFG,TEMP_PROTECTION,1,0,0,18809,28906,125,0,0,0,1,0,0,12.54,94.7,27
2024-08,RA006,2,IRQ,UNHCR,0,1,0,216965,133761,98,0,0,1,1,0,1,84.02,59.2,25
2021-11,RA016,5,MMR,UNHCR,0,1,0,242344,67004,112,1,1,0,0,1,0,38.07,28.5,12
2020-11,RA002,8,ERI,FAMILY_REUN,1,1,0,326259,65768,177,0,1,0,1,1,1,83.67,52.9,23
2025-07,RA046,6,SSD,UNHCR,1,0,0,52569,122699,10,0,0,1,0,1,1,6.27,53.9,1
2020-01,RA052,4,MMR,ASYLUM,1,1,1,396281,128881,22,0,0,1,1,1,0,76.94,72.7,2
2025-06,RA012,5,SSD,UNHCR,1,1,1,296639,145304,118,1,0,0,0,1,0,8.38,90.2,30
2020-02,RA027,2,IRQ,HUMANITARIAN_PAROLE,1,0,1,5976,89060,25,0,1,1,0,1,1,46.83,96.3,0
2022-01,RA019,5,SYR,FAMILY_REUN,1,1,1,358834,100190,62,0,1,1,1,1,0,93.76,71.8,0
2019-05,RA028,3,UKR,ASYLUM,0,0,0,20410,16693,173,1,0,1,0,0,0,7.77,54.6,14
2020-10,RA035,3,BGD,UNHCR,1,1,0,122550,91019,68,0,1,0,1,0,0,35.07,22.5,21
2021-04,RA051,7,ERI,HUMANITARIAN_PAROLE,0,1,0,387956,67136,89,1,1,1,0,1,0,51.83,40.3,2
2019-04,RA043,3,NPL,TEMP_PROTECTION,0,1,0,343417,118002,133,0,1,1,1,0,1,89.95,48.9,3
2023-02,RA004,4,AFG,SIV,0,1,1,38832,29027,50,1,1,1,0,0,1,33.26,12.8,25
2021-05,RA049,7,IRQ,UNHCR,0,1,1,36582,64307,42,0,1,0,0,1,1,80.7,25.6,11
2022-01,RA049,3,IRQ,HUMANITARIAN_PAROLE,0,1,1,198311,5729,169,1,1,1,1,0,1,71.82,98.4,23
2021-11,RA007,2,SDN,TEMP_PROTECTION,0,0,0,322574,57143,140,1,0,0,1,0,1,30.71,75.7,20
2020-08,RA037,7,LKA,TEMP_PROTECTION,1,1,1,388288,45932,24,1,1,1,0,0,0,34.08,48.2,11
2021-11,RA051,5,ERI,HUMANITARIAN_PAROLE,0,0,1,275688,146138,129,1,0,0,0,0,1,19.1,22.6,13
2025-12,RA025,1,PAK,HUMANITARIAN_PAROLE,0,1,0,381373,116529,13,0,0,1,0,1,1,69.3,57.3,10
2019-02,RA053,8,NPL,HUMANITARIAN_PAROLE,0,0,0,311987,149092,144,1,1,1,0,0,0,56.31,23.2,5
2023-10,RA058,3,NPL,SIV,1,0,1,235442,116363,104,1,1,0,0,0,1,15.5,19.3,24
2020-06,RA051,7,PAK,FAMILY_REUN,0,0,0,339971,67326,103,0,0,0,0,1,0,62.01,9.4,13
2023-08,RA041,6,UKR,HUMANITARIAN_PAROLE,0,1,1,249192,110016,167,1,1,1,0,0,1,49.86,34.6,26
2024-04,RA017,6,LKA,FAMILY_REUN,1,1,1,99137,41893,38,1,0,1,0,1,0,9.26,54.2,26
2023-04,RA041,8,SYR,TEMP_PROTECTION,1,0,1,113903,124213,152,1,0,1,1,0,1,95.37,15.9,1
2020-10,RA014,4,IRN,SIV,1,0,1,333474,102647,47,0,1,0,1,0,1,83.48,20.0,2
2023-12,RA037,4,IRN,TEMP_PROTECTION,0,0,1,256848,42411,114,0,1,1,1,1,1,7.1,39.1,20
2019-10,RA054,3,ERI,SIV,1,0,0,9353,78732,48,0,1,1,1,1,0,93.13,49.0,17
2025-12,RA002,1,PAK,TEMP_PROTECTION,1,0,0,216514,132011,160,0,0,1,0,1,0,91.67,76.2,7
2025-08,RA024,3,IRQ,ASYLUM,1,0,0,46403,142723,26,1,0,0,0,0,1,4.22,56.7,1
2019-06,RA015,1,ERI,ASYLUM,0,1,1,22244,9285,44,1,1,1,1,1,1,20.15,61.8,19
2025-09,RA048,6,IRQ,HUMANITARIAN_PAROLE,1,1,1,346090,72626,30,0,1,0,0,1,0,70.24,69.6,15
2019-06,RA051,8,SDN,FAMILY_REUN,0,0,0,337509,27077,62,1,1,0,0,0,0,93.46,45.1,13
2025-10,RA033,3,IRN,TEMP_PROTECTION,0,1,0,387264,59757,111,0,1,1,1,1,1,82.31,34.3,18
2021-04,RA055,4,AFG,SIV,1,0,0,179741,44733,165,1,0,0,1,0,0,28.19,80.0,19
2022-06,RA012,5,SOM,UNHCR,0,0,1,180006,25786,107,0,1,0,1,0,0,3.34,82.8,3
2025-02,RA019,7,PAK,ASYLUM,0,1,0,13046,6275,167,0,0,1,0,1,0,47.29,15.4,5
2022-05,RA052,6,BGD,ASYLUM,0,0,0,309419,43791,64,0,1,1,0,1,0,9.2,95.3,25
2024-03,RA047,2,IRN,TEMP_PROTECTION,1,1,1,44604,70353,10,0,0,1,1,0,0,24.53,93.0,27
2020-10,RA005,7,SDN,UNHCR,0,0,0,33960,143882,142,1,0,0,1,1,0,64.01,87.1,11
2025-07,RA001,8,AFG,FAMILY_REUN,1,0,0,378960,104135,96,0,0,0,1,0,0,49.5,42.3,25
2021-05,RA043,1,UKR,FAMILY_REUN,0,1,1,97014,49402,111,0,1,0,1,1,0,37.67,84.2,9
2024-11,RA059,6,SOM,FAMILY_REUN,1,1,1,398603,146099,152,1,1,1,0,1,1,93.0,62.8,8
2021-10,RA009,9,PAK,HUMANITARIAN_PAROLE,0,1,0,52603,76868,166,0,1,0,1,0,0,19.3,20.5,2
2019-02,RA039,7,UKR,HUMANITARIAN_PAROLE,0,0,1,323329,42245,32,0,0,1,0,0,0,48.75,77.5,0
2021-02,RA034,5,AFG,TEMP_PROTECTION,1,1,0,374856,15077,28,1,1,1,1,1,0,57.35,40.6,13
2025-03,RA029,9,SOM,UNHCR,0,0,0,295243,108283,10,1,1,0,0,0,0,32.19,29.2,7
2020-07,RA049,2,ERI,TEMP_PROTECTION,1,0,0,369851,148924,140,0,1,0,0,1,1,70.53,87.8,22
2020-08,RA048,7,SSD,SIV,1,1,0,312344,118721,68,1,0,0,1,1,1,86.73,86.2,17
2021-09,RA048,9,SYR,UNHCR,0,0,1,133347,50654,20,0,1,1,0,0,1,54.15,86.4,20
2025-09,RA046,2,NPL,SIV,1,1,1,300149,61663,2,0,0,0,1,0,0,78.13,86.0,11
2025-10,RA059,6,UKR,UNHCR,0,1,1,261564,6600,153,1,0,1,1,0,1,6.1,55.4,11
2019-04,RA002,9,NPL,HUMANITARIAN_PAROLE,1,0,0,373867,70580,160,0,1,0,1,1,1,15.38,61.7,9
2021-08,RA019,3,SSD,FAMILY_REUN,1,0,0,268529,16411,93,1,1,1,0,1,1,46.2,94.9,3
2020-07,RA028,8,UKR,ASYLUM,1,1,0,192021,64364,21,1,0,0,1,0,0,92.1,12.9,24
2019-03,RA035,5,LKA,UNHCR,0,1,1,360950,41860,61,1,1,0,0,0,0,53.16,80.6,19
2024-01,RA040,7,MMR,UNHCR,0,0,0,3569,65636,4,0,0,1,1,1,1,43.23,52.6,4
2022-02,RA053,3,NPL,ASYLUM,0,1,0,107575,15383,146,0,0,0,0,1,1,60.01,97.8,7
2019-06,RA057,8,SOM,UNHCR,0,0,0,367764,56546,8,1,0,0,1,0,0,12.45,63.9,18
2023-08,RA051,2,IRN,FAMILY_REUN,1,0,1,25910,142581,57,1,1,1,1,0,0,65.37,16.3,21
2022-04,RA048,8,PAK,TEMP_PROTECTION,0,1,0,53170,130771,23,1,0,0,0,1,1,9.4,81.5,5
2025-09,RA022,2,SOM,ASYLUM,0,0,0,130709,129386,166,1,0,0,0,1,0,57.68,67.3,15
2024-09,RA004,7,BGD,ASYLUM,1,1,1,390043,34221,60,0,1,1,0,0,1,71.44,14.9,29
2025-11,RA008,2,ERI,FAMILY_REUN,0,1,1,69752,94843,126,0,0,0,1,1,0,41.15,0.9,22
2022-06,RA060,7,BGD,FAMILY_REUN,0,0,0,202499,102863,47,1,0,0,0,1,1,91.09,54.4,8
2025-02,RA001,1,AFG,ASYLUM,1,0,0,239641,73353,177,0,1,1,0,1,1,15.2,24.1,10
2019-02,RA036,6,MMR,FAMILY_REUN,0,0,1,260606,99819,61,1,0,0,0,0,1,17.1,86.7,2
2021-04,RA007,7,MMR,TEMP_PROTECTION,0,1,1,293744,110417,180,1,1,0,0,1,1,51.69,25.1,28
2020-05,RA025,4,BGD,FAMILY_REUN,0,1,1,278459,81248,148,0,1,1,1,0,1,93.17,66.3,13
2024-10,RA029,1,UKR,TEMP_PROTECTION,0,1,0,90134,15964,37,1,0,0,0,1,1,39.07,34.5,4
2024-09,RA001,6,SOM,FAMILY_REUN,0,1,1,26425,34195,117,1,1,0,0,1,0,92.64,35.0,20
2022-03,RA056,4,SOM,ASYLUM,1,1,0,384263,148469,58,0,0,0,1,0,0,69.35,18.2,20
2019-07,RA018,3,SOM,UNHCR,0,1,1,338035,68885,96,1,1,1,1,0,1,78.26,50.3,5
2021-08,RA004,4,AFG,SIV,0,0,0,197087,12157,170,1,0,0,1,1,0,93.79,57.9,0
2019-04,RA020,6,MMR,ASYLUM,0,0,0,84274,122445,16,0,1,0,0,0,0,57.23,58.1,30
2020-09,RA046,5,ERI,SIV,0,0,1,54016,62214,68,0,0,1,0,0,0,64.17,85.7,12
2021-08,RA008,2,IRQ,FAMILY_REUN,0,1,1,362781,13885,171,0,0,1,0,0,1,57.9,65.2,8
2025-10,RA027,2,IRN,FAMILY_REUN,0,0,0,185307,107922,22,0,1,0,0,1,1,78.49,74.0,27
2020-02,RA050,3,LKA,UNHCR,0,1,1,155030,138090,102,0,0,0,0,0,0,27.34,32.3,2
2024-10,RA039,6,SOM,FAMILY_REUN,0,0,0,324965,79127,153,1,0,1,1,1,0,78.8,42.1,5
2025-03,RA035,1,LKA,SIV,1,0,0,310137,389,93,1,1,1,0,0,1,71.35,1.8,19
2022-10,RA025,7,AFG,ASYLUM,0,0,1,248405,16519,175,0,1,1,0,0,1,60.21,7.9,22
2020-08,RA053,8,BGD,ASYLUM,0,0,0,113496,35224,174,0,1,0,0,1,0,3.88,38.5,7
2023-10,RA014,7,SDN,TEMP_PROTECTION,0,1,1,366515,57944,45,0,0,1,0,1,0,77.45,21.0,3
2025-08,RA044,3,IRN,UNHCR,1,1,0,181062,23497,28,0,0,0,0,0,0,13.24,81.3,25
2022-12,RA047,6,ERI,SIV,0,0,0,56565,140840,33,0,0,0,0,1,0,96.2,67.6,5
2019-07,RA040,4,NPL,FAMILY_REUN,1,0,1,190265,120784,9,1,1,0,1,1,0,8.15,97.0,11
2022-04,RA031,5,LKA,HUMANITARIAN_PAROLE,0,1,0,177045,142189,19,0,0,1,1,0,0,72.03,88.7,11
2023-11,RA005,3,SSD,UNHCR,0,1,0,234411,38274,33,0,0,1,1,0,0,36.04,97.8,25
2021-12,RA017,5,AFG,UNHCR,0,0,0,207652,74931,100,1,0,1,1,1,0,73.57,36.5,29
2022-08,RA057,6,SOM,HUMANITARIAN_PAROLE,0,0,1,133281,9913,140,0,1,1,1,0,0,51.9,48.4,6
2021-07,RA010,8,SYR,ASYLUM,1,0,1,195171,139857,86,1,1,0,1,1,1,62.95,37.3,27
2022-06,RA043,6,IRQ,TEMP_PROTECTION,1,0,0,206192,107101,137,0,0,0,0,1,1,7.54,96.4,25
2022-08,RA060,9,SDN,ASYLUM,0,0,0,142520,34237,44,1,1,1,0,1,1,96.65,40.3,15
2022-07,RA055,4,SDN,ASYLUM,0,0,0,381880,79987,127,0,1,0,1,0,0,0.38,11.7,6
2022-07,RA016,2,ERI,HUMANITARIAN_PAROLE,0,1,1,275,30964,88,0,0,1,1,1,0,94.12,25.1,24
2022-11,RA048,9,NPL,FAMILY_REUN,0,1,0,21008,99610,81,1,1,0,0,0,1,56.83,42.5,23
2019-06,RA004,3,NPL,FAMILY_REUN,1,1,0,322819,5332,118,1,1,0,0,1,0,25.83,60.3,2
2024-06,RA055,7,SDN,TEMP_PROTECTION,0,1,1,320446,26263,91,0,1,1,1,1,0,63.77,61.8,12
2019-09,RA005,4,UKR,TEMP_PROTECTION,1,0,1,130292,47554,135,1,0,0,1,1,1,67.29,75.9,19
2019-11,RA042,1,SOM,SIV,1,1,0,100145,142990,4,0,1,0,1,0,1,73.03,64.8,30
2025-08,RA046,8,LKA,SIV,1,1,1,208859,107544,19,1,1,0,0,0,1,1.64,49.2,8
2025-05,RA041,4,SSD,ASYLUM,0,1,0,20529,53480,120,1,0,1,1,1,0,98.28,3.0,10
2020-06,RA050,6,IRQ,HUMANITARIAN_PAROLE,0,0,1,15631,71863,171,0,0,0,1,1,1,61.79,69.5,6
2021-01,RA020,7,SSD,TEMP_PROTECTION,1,0,1,341226,47354,57,0,0,0,1,0,1,37.75,8.5,22
2025-02,RA006,8,IRQ,UNHCR,1,0,1,178759,39709,147,1,0,0,1,1,0,57.07,46.9,14
2023-10,RA011,2,SYR,FAMILY_REUN,1,1,1,96060,67933,88,0,0,1,0,0,1,17.84,89.6,0
2021-06,RA053,9,SYR,HUMANITARIAN_PAROLE,0,1,0,71211,15698,99,1,1,0,1,1,0,24.73,59.7,1
2019-01,RA017,3,PAK,TEMP_PROTECTION,0,0,0,371164,105463,114,0,0,1,0,1,0,8.58,19.9,30
2024-03,RA041,1,SYR,SIV,1,0,1,49639,143489,73,0,1,1,0,0,0,87.92,80.8,0
2025-07,RA057,2,SOM,TEMP_PROTECTION,0,1,0,247887,32954,167,1,0,0,1,0,0,25.16,30.0,14
2021-05,RA003,8,BGD,FAMILY_REUN,0,0,0,318000,62884,15,0,1,0,1,0,0,73.97,57.7,3
2024-06,RA016,6,PAK,TEMP_PROTECTION,0,0,0,302177,67100,3,1,0,0,0,1,1,27.42,63.6,3
2025-03,RA052,1,SDN,FAMILY_REUN,1,1,1,169437,100213,9,1,1,0,0,1,1,14.6,73.1,13
2023-05,RA036,9,SDN,HUMANITARIAN_PAROLE,0,1,1,165780,106773,178,0,0,0,0,0,0,10.81,6.5,4
2020-07,RA026,7,IRQ,TEMP_PROTECTION,0,1,0,326168,148938,47,0,1,0,0,1,0,86.02,85.4,20
2024-06,RA024,3,BGD,TEMP_PROTECTION,1,0,0,11989,21266,19,1,1,1,0,1,1,11.97,11.4,27
2025-12,RA054,7,SOM,SIV,1,1,0,106039,111847,31,1,0,0,1,1,1,8.71,9.5,0
2023-04,RA047,6,PAK,HUMANITARIAN_PAROLE,0,1,0,233726,143724,59,1,1,0,1,0,0,0.94,45.7,14
2021-07,RA034,3,IRN,UNHCR,1,0,1,164799,13789,10,1,1,1,1,0,1,36.64,37.2,6
2023-12,RA020,8,SYR,FAMILY_REUN,1,0,0,170470,114624,19,1,0,0,0,1,0,94.27,5.5,15
2024-08,RA017,1,AFG,HUMANITARIAN_PAROLE,0,0,0,300704,143827,22,0,1,0,0,1,0,90.86,16.6,21
2021-06,RA051,5,SOM,HUMANITARIAN_PAROLE,1,1,0,97473,42608,126,1,1,1,0,1,1,11.51,43.9,23
2020-01,RA020,8,SYR,UNHCR,1,1,0,166403,30667,76,1,0,1,0,0,0,1.25,82.9,13
2020-03,RA016,3,BGD,HUMANITARIAN_PAROLE,0,0,0,195339,68234,34,1,1,0,1,0,0,75.1,12.1,14
2020-08,RA056,6,SDN,FAMILY_REUN,0,1,1,272272,47929,144,1,0,1,1,0,1,30.65,10.5,14
2021-10,RA051,2,LKA,ASYLUM,0,1,1,24055,124177,9,1,1,1,0,0,1,83.47,80.5,19
2020-08,RA053,9,ERI,ASYLUM,1,1,1,188431,80789,37,1,1,1,0,0,1,21.54,49.2,0
2023-02,RA049,2,SOM,SIV,0,1,1,28646,79671,82,1,1,1,1,1,0,49.22,36.0,27
2021-03,RA004,5,ERI,UNHCR,1,0,1,366535,58561,31,1,1,0,1,1,1,3.29,46.1,18
2021-06,RA018,3,IRQ,SIV,0,1,0,227192,82191,53,1,0,1,1,0,0,89.47,41.1,24
2023-08,RA036,9,AFG,ASYLUM,0,1,1,227976,116011,56,1,0,0,0,0,0,17.8,78.2,25
2025-12,RA053,9,UKR,UNHCR,1,1,1,198221,106055,106,0,1,0,1,0,0,29.47,0.9,6
2024-05,RA035,7,MMR,HUMANITARIAN_PAROLE,1,0,1,336694,15117,24,0,1,1,0,0,0,47.97,43.3,17
2023-07,RA030,5,UKR,HUMANITARIAN_PAROLE,0,1,0,133192,84872,141,0,0,0,1,1,1,27.13,15.9,30
2020-12,RA054,9,PAK,FAMILY_REUN,1,1,0,3391,16714,44,1,0,1,1,1,0,4.02,30.8,14
2021-01,RA060,7,PAK,TEMP_PROTECTION,0,1,0,41699,141931,171,1,0,1,1,1,1,2.91,11.2,12
2023-05,RA018,2,MMR,ASYLUM,1,0,0,154818,141099,117,1,1,1,0,1,1,95.52,42.7,18
2025-04,RA021,1,PAK,HUMANITARIAN_PAROLE,0,1,1,275189,89869,37,1,1,1,0,0,1,32.55,64.3,17
2019-11,RA052,4,SYR,UNHCR,0,0,1,185225,111452,124,1,1,0,1,0,1,33.44,66.2,30
2023-12,RA032,8,IRQ,TEMP_PROTECTION,1,1,1,109562,130041,35,0,0,0,0,0,1,92.29,79.7,3
2025-05,RA005,6,MMR,TEMP_PROTECTION,0,0,0,171096,7184,87,1,1,1,1,1,1,83.62,81.5,17
2022-11,RA041,2,SDN,HUMANITARIAN_PAROLE,0,0,1,58141,48339,123,1,0,1,0,1,1,68.69,59.8,3
2021-01,RA054,5,SSD,SIV,1,1,1,268273,44896,166,1,0,0,1,1,1,65.85,35.3,26
2021-01,RA023,9,SSD,SIV,1,1,0,199818,18557,166,1,1,0,0,1,1,80.11,5.1,15
2020-05,RA030,6,NPL,SIV,0,0,0,353842,102013,12,1,0,1,0,1,0,16.89,3.6,13
2019-12,RA027,6,AFG,TEMP_PROTECTION,1,0,1,38284,55039,161,1,1,1,1,0,1,66.43,11.3,29
2023-04,RA056,7,LKA,SIV,0,1,1,48056,85120,123,0,0,1,1,1,0,9.84,98.4,13
2019-11,RA015,5,SYR,SIV,0,1,1,100835,144907,14,1,1,0,0,1,0,12.65,78.6,6
2019-10,RA041,3,NPL,TEMP_PROTECTION,1,1,1,141698,36492,57,0,1,1,1,1,0,24.28,40.5,12
2025-09,RA014,3,SSD,FAMILY_REUN,0,1,1,316783,52685,111,1,0,1,1,0,1,70.98,46.6,23
