mig_permits_reference_year,mig_permits_host_country_iso2,mig_permits_nuts_code,mig_permits_applicant_citizenship_iso2,mig_permits_permit_type_code,mig_permits_permit_reason_code,mig_permits_duration_months,mig_permits_first_permit_flag,mig_permits_renewal_flag,mig_permits_blue_card_flag,mig_permits_family_reunification_flag,mig_permits_student_permit_flag,mig_permits_seasonal_worker_flag,mig_permits_biometrics_collected_flag,mig_permits_processing_time_days_median,mig_permits_decision_outcome_code,mig_permits_appeal_lodged_flag,mig_permits_residence_permit_count,mig_permits_eurostat_table_code,mig_permits_data_extract_date
2015,DK,IE2,SK,D_VISA,PROTECTION,1,1,1,0,0,0,0,1,66,PENDING,0,44,migr_resfirst,2024-01-07
2016,GR,SK99,GB,D_VISA,FAMILY,9,0,1,0,1,0,0,1,47,GRANTED,0,64,migr_resvalid,2024-11-11
2017,LT,RO8,ME,D_VISA,STUDY,36,1,0,0,0,1,0,1,57,WITHDRAWN,0,57,migr_resbc,2024-01-17
2018,PT,DK24,US,D_VISA,WORK,1,1,0,0,0,0,0,1,71,PARTIALLY_GRANTED,0,70,migr_reslt,2025-01-24
2019,SE,BE653,FR,D_VISA,OTHER,9,1,1,0,0,0,0,1,67,REFUSED,0,73,migr_asyappctza,2025-01-08
2020,CY,BE975,PL,D_VISA,RESEARCH,36,0,1,0,0,0,0,1,52,PENDING,0,45,migr_resfirst,2024-04-20
2021,FR,IT4,CN,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,69,GRANTED,0,71,migr_resvalid,2024-03-20
2022,IT,CZ574,KE,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,79,WITHDRAWN,0,57,migr_resbc,2024-03-12
2023,NL,SI373,TN,D_VISA,FAMILY,36,1,0,0,1,0,0,0,80,PARTIALLY_GRANTED,0,60,migr_reslt,2025-08-02
2024,SI,BG81,DK,D_VISA,STUDY,1,0,0,0,0,1,0,1,78,REFUSED,1,76,migr_asyappctza,2025-04-21
2025,BG,AT775,LU,D_VISA,WORK,9,1,0,0,0,0,0,1,76,PENDING,0,71,migr_resfirst,2024-03-01
2026,EE,ES1,BA,D_VISA,OTHER,36,1,0,0,0,0,0,1,57,GRANTED,0,60,migr_resvalid,2024-01-20
2010,HU,HR90,IR,D_VISA,RESEARCH,1,1,1,0,0,0,0,1,61,WITHDRAWN,0,72,migr_resbc,2024-01-24
2011,LU,HU795,RS,D_VISA,INVESTOR,9,0,1,0,0,0,0,1,78,PARTIALLY_GRANTED,0,69,migr_reslt,2025-01-05
2012,RO,HU1,HR,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,65,REFUSED,1,56,migr_asyappctza,2025-03-14
2013,AT,CZ9,IT,D_VISA,FAMILY,1,1,1,0,1,0,0,1,61,PENDING,0,63,migr_resfirst,2025-08-21
2014,CZ,NL844,ES,D_VISA,STUDY,9,1,0,0,1,1,0,1,60,GRANTED,0,72,migr_resvalid,2024-11-07
2015,DE,AT744,GH,D_VISA,WORK,36,0,1,0,0,0,1,1,63,WITHDRAWN,0,65,migr_resbc,2024-09-26
2016,LV,MT976,NG,D_VISA,OTHER,1,1,0,0,0,0,0,1,68,PARTIALLY_GRANTED,0,83,migr_reslt,2024-04-16
2017,PL,CZ416,AT,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,93,REFUSED,0,86,migr_asyappctza,2026-02-23
2018,ES,CZ571,GR,D_VISA,INVESTOR,36,1,0,0,0,0,0,0,68,PENDING,0,78,migr_resfirst,2025-12-12
2019,HR,GR560,RO,D_VISA,PROTECTION,1,0,1,0,0,0,0,0,73,GRANTED,0,65,migr_resvalid,2024-08-26
2020,FI,MT644,EG,D_VISA,FAMILY,9,1,0,0,0,0,0,1,90,WITHDRAWN,0,81,migr_resbc,2026-02-24
2021,IE,LV436,MD,D_VISA,STUDY,36,1,0,0,0,1,0,1,67,PARTIALLY_GRANTED,0,87,migr_reslt,2024-09-21
2022,MT,AT661,UA,D_VISA,WORK,1,1,0,1,0,0,0,1,70,REFUSED,0,71,migr_asyappctza,2025-11-01
2023,SK,PL280,FI,D_VISA,OTHER,9,0,0,0,0,0,0,1,95,PENDING,0,75,migr_resfirst,2025-04-07
2024,BE,RO76,NL,D_VISA,RESEARCH,36,1,1,0,0,0,0,1,89,GRANTED,0,80,migr_resvalid,2024-02-14
2025,DK,NL95,CH,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,79,WITHDRAWN,0,73,migr_resbc,2024-01-12
2026,GR,CY2,JP,D_VISA,PROTECTION,9,1,0,0,0,0,0,0,83,PARTIALLY_GRANTED,0,76,migr_reslt,2024-06-11
2010,LT,DE478,SY,D_VISA,FAMILY,36,0,1,0,0,0,0,0,92,REFUSED,0,94,migr_asyappctza,2024-04-30
2011,PT,LT5,CZ,D_VISA,STUDY,1,1,0,0,0,1,0,1,76,PENDING,0,77,migr_resfirst,2025-10-13
2012,SE,SE683,LT,D_VISA,WORK,9,1,0,0,0,0,0,1,83,GRANTED,0,80,migr_resvalid,2025-12-20
2013,CY,HU649,AL,D_VISA,OTHER,36,1,0,0,0,0,0,1,106,WITHDRAWN,0,88,migr_resbc,2024-11-20
2014,FR,NL270,IQ,D_VISA,RESEARCH,1,0,1,0,0,0,0,1,78,PARTIALLY_GRANTED,0,100,migr_reslt,2025-06-21
2015,IT,LU37,PK,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,88,REFUSED,0,91,migr_asyappctza,2025-12-06
2016,NL,HU676,BG,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,93,PENDING,0,86,migr_resfirst,2024-08-18
2017,SI,IT476,IE,D_VISA,FAMILY,1,1,0,0,1,0,0,1,84,GRANTED,0,83,migr_resvalid,2025-07-08
2018,BG,HR92,SI,D_VISA,STUDY,9,0,1,0,0,1,0,1,94,WITHDRAWN,0,101,migr_resbc,2024-06-12
2019,EE,HR57,GE,D_VISA,WORK,36,1,0,1,0,0,0,1,107,PARTIALLY_GRANTED,0,102,migr_reslt,2024-08-04
2020,HU,SE479,MK,D_VISA,OTHER,1,1,0,0,1,0,0,1,102,REFUSED,0,102,migr_asyappctza,2024-05-22
2021,LU,FR18,VN,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,84,PENDING,0,109,migr_resfirst,2025-05-02
2022,RO,AT535,DE,D_VISA,INVESTOR,36,0,1,0,0,0,0,1,101,GRANTED,0,109,migr_resvalid,2025-03-16
2023,AT,FR978,PT,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,109,WITHDRAWN,0,110,migr_resbc,2024-01-15
2024,CZ,IT10,DZ,D_VISA,FAMILY,9,1,1,0,1,0,0,1,99,PARTIALLY_GRANTED,0,88,migr_reslt,2024-10-08
2025,DE,GR349,MA,D_VISA,STUDY,36,1,0,0,0,1,0,1,98,REFUSED,1,93,migr_asyappctza,2026-02-06
2026,LV,CZ5,TR,D_VISA,WORK,1,0,1,0,0,0,0,1,103,PENDING,0,92,migr_resfirst,2025-07-09
2010,PL,HR667,EE,D_VISA,OTHER,9,1,0,0,0,0,0,0,119,GRANTED,0,103,migr_resvalid,2025-06-01
2011,ES,AT28,MT,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,120,WITHDRAWN,0,103,migr_resbc,2025-11-07
2012,HR,IT40,BY,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,98,PARTIALLY_GRANTED,0,98,migr_reslt,2025-09-14
2013,FI,HR795,IS,D_VISA,PROTECTION,9,0,1,0,0,0,0,1,109,REFUSED,0,116,migr_asyappctza,2025-04-05
2014,IE,BE403,RU,D_VISA,FAMILY,36,1,0,0,1,0,0,1,120,PENDING,0,100,migr_resfirst,2024-06-14
2015,MT,CY185,CY,D_VISA,STUDY,1,1,0,0,0,0,0,1,119,GRANTED,0,93,migr_resvalid,2024-05-23
2016,SK,PL63,LV,D_VISA,WORK,9,1,0,1,0,0,0,1,123,WITHDRAWN,0,109,migr_resbc,2025-09-26
2017,BE,NL9,SE,D_VISA,OTHER,36,0,1,0,0,0,0,1,109,PARTIALLY_GRANTED,0,104,migr_reslt,2025-12-10
2018,DK,SK696,IN,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,100,REFUSED,0,97,migr_asyappctza,2025-07-03
2019,GR,SI4,NO,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,121,PENDING,0,103,migr_resfirst,2025-05-31
2020,LT,IT24,BE,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,116,GRANTED,0,123,migr_resvalid,2025-10-30
2021,PT,DE51,HU,D_VISA,FAMILY,1,0,0,0,1,0,0,1,112,WITHDRAWN,0,103,migr_resbc,2025-09-11
2022,SE,LV894,SK,D_VISA,STUDY,9,1,0,0,0,1,0,1,120,PARTIALLY_GRANTED,0,98,migr_reslt,2025-07-15
2023,CY,DE965,GB,D_VISA,WORK,36,1,0,0,0,0,1,1,105,REFUSED,0,123,migr_asyappctza,2024-12-22
2024,FR,FI3,ME,D_VISA,OTHER,1,1,0,0,0,0,0,1,124,PENDING,0,123,migr_resfirst,2024-12-08
2025,IT,HR98,US,D_VISA,RESEARCH,9,0,1,0,0,0,0,1,126,GRANTED,0,124,migr_resvalid,2024-04-13
2026,NL,SK28,FR,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,123,WITHDRAWN,0,109,migr_resbc,2024-08-17
2010,SI,RO296,PL,D_VISA,PROTECTION,1,1,1,0,0,0,0,1,127,PARTIALLY_GRANTED,0,129,migr_reslt,2026-02-01
2011,BG,GR5,CN,D_VISA,FAMILY,9,1,0,0,1,0,0,1,137,REFUSED,1,130,migr_asyappctza,2024-01-31
2012,EE,CY11,KE,D_VISA,STUDY,36,0,1,0,0,1,0,1,117,PENDING,0,105,migr_resfirst,2024-06-24
2013,HU,ES586,TN,D_VISA,WORK,1,1,1,0,0,0,0,1,128,GRANTED,0,136,migr_resvalid,2024-02-17
2014,LU,LT7,DK,D_VISA,OTHER,9,1,0,0,0,0,0,1,138,WITHDRAWN,0,133,migr_resbc,2024-08-23
2015,RO,IE7,LU,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,125,PARTIALLY_GRANTED,0,115,migr_reslt,2025-02-07
2016,AT,CZ99,BA,D_VISA,INVESTOR,1,0,1,0,0,0,0,1,140,REFUSED,0,109,migr_asyappctza,2025-04-11
2017,CZ,SE5,IR,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,133,PENDING,0,129,migr_resfirst,2025-07-17
2018,DE,IE258,RS,D_VISA,FAMILY,36,1,0,0,0,0,0,1,127,GRANTED,0,137,migr_resvalid,2025-02-11
2019,LV,AT35,HR,D_VISA,STUDY,1,1,0,0,0,1,0,1,124,WITHDRAWN,0,128,migr_resbc,2024-03-25
2020,PL,BE945,IT,D_VISA,WORK,9,0,1,0,0,0,0,1,123,PARTIALLY_GRANTED,0,117,migr_reslt,2025-07-06
2021,ES,AT96,ES,D_VISA,OTHER,36,1,0,0,0,0,0,1,132,REFUSED,0,127,migr_asyappctza,2024-12-13
2022,HR,FI19,GH,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,148,PENDING,0,133,migr_resfirst,2024-07-08
2023,FI,GR48,NG,D_VISA,INVESTOR,9,1,1,0,0,0,0,1,129,GRANTED,0,132,migr_resvalid,2024-03-22
2024,IE,CZ78,AT,D_VISA,PROTECTION,36,0,1,0,0,0,0,1,129,WITHDRAWN,0,117,migr_resbc,2025-11-06
2025,MT,CY244,GR,D_VISA,FAMILY,1,1,0,0,1,0,0,1,123,PARTIALLY_GRANTED,0,142,migr_reslt,2024-08-17
2026,SK,SI2,RO,D_VISA,STUDY,9,1,0,0,0,1,0,0,129,REFUSED,0,146,migr_asyappctza,2024-03-02
2010,BE,CZ937,EG,D_VISA,WORK,36,1,0,0,0,0,0,1,129,PENDING,0,148,migr_resfirst,2025-09-14
2011,DK,LV288,MD,D_VISA,OTHER,1,0,1,0,0,0,0,1,141,GRANTED,0,148,migr_resvalid,2025-07-21
2012,GR,LU656,UA,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,149,WITHDRAWN,0,146,migr_resbc,2024-05-01
2013,LT,GR276,FI,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,152,PARTIALLY_GRANTED,0,132,migr_reslt,2025-01-24
2014,PT,PL889,NL,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,146,REFUSED,1,150,migr_asyappctza,2025-04-03
2015,SE,LV2,CH,D_VISA,FAMILY,9,0,1,0,0,0,0,1,142,PENDING,0,148,migr_resfirst,2024-01-19
2016,CY,HU897,JP,D_VISA,STUDY,36,1,0,0,0,1,0,1,145,GRANTED,0,129,migr_resvalid,2025-09-28
2017,FR,IT2,SY,D_VISA,WORK,1,1,0,0,0,0,0,0,148,WITHDRAWN,0,150,migr_resbc,2025-03-10
2018,IT,BG376,CZ,D_VISA,OTHER,9,1,0,0,0,0,0,1,159,PARTIALLY_GRANTED,0,133,migr_reslt,2024-09-21
2019,NL,SE137,LT,D_VISA,RESEARCH,36,0,1,0,0,0,0,1,134,REFUSED,0,147,migr_asyappctza,2024-05-06
2020,SI,BE7,AL,D_VISA,INVESTOR,1,1,1,0,0,0,0,1,156,PENDING,0,149,migr_resfirst,2024-01-09
2021,BG,DE619,IQ,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,142,GRANTED,0,131,migr_resvalid,2026-02-08
2022,EE,CY9,PK,D_VISA,FAMILY,36,1,0,0,1,0,0,1,155,WITHDRAWN,0,134,migr_resbc,2024-04-21
2023,HU,SK774,BG,D_VISA,STUDY,1,0,1,0,0,1,0,1,165,PARTIALLY_GRANTED,0,153,migr_reslt,2024-06-28
2024,LU,PT376,IE,D_VISA,WORK,9,1,0,0,0,0,1,1,167,REFUSED,1,150,migr_asyappctza,2024-04-25
2025,RO,CZ77,SI,D_VISA,OTHER,36,1,0,0,0,0,0,1,143,PENDING,0,162,migr_resfirst,2024-10-26
2026,AT,PL21,GE,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,146,GRANTED,0,165,migr_resvalid,2025-09-22
2010,CZ,HR30,MK,D_VISA,INVESTOR,9,0,1,0,0,0,0,1,161,WITHDRAWN,0,147,migr_resbc,2025-08-10
2011,DE,SE544,VN,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,158,PARTIALLY_GRANTED,0,144,migr_reslt,2025-12-30
2012,LV,GR80,DE,D_VISA,FAMILY,1,1,0,0,1,0,0,0,160,REFUSED,0,151,migr_asyappctza,2025-03-22
2013,PL,IE2,PT,D_VISA,STUDY,9,1,0,0,0,1,0,1,171,PENDING,0,164,migr_resfirst,2024-08-26
2014,ES,SK99,DZ,D_VISA,WORK,36,0,1,0,0,0,1,1,172,GRANTED,0,154,migr_resvalid,2026-02-14
2015,HR,RO8,MA,D_VISA,OTHER,1,1,0,0,0,0,0,1,161,WITHDRAWN,0,159,migr_resbc,2024-12-30
2016,FI,DK24,TR,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,148,PARTIALLY_GRANTED,0,166,migr_reslt,2025-06-30
2017,IE,BE653,EE,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,172,REFUSED,1,161,migr_asyappctza,2024-10-06
2018,MT,BE975,MT,D_VISA,PROTECTION,1,0,1,0,0,0,0,1,162,PENDING,0,175,migr_resfirst,2024-08-02
2019,SK,IT4,BY,D_VISA,FAMILY,9,1,0,0,1,0,0,1,158,GRANTED,0,149,migr_resvalid,2025-10-13
2020,BE,CZ574,IS,D_VISA,STUDY,36,1,0,0,0,1,0,1,181,WITHDRAWN,0,158,migr_resbc,2025-02-05
2021,DK,SI373,RU,D_VISA,WORK,1,1,0,0,0,0,0,1,169,PARTIALLY_GRANTED,0,176,migr_reslt,2024-03-20
2022,GR,BG81,CY,D_VISA,OTHER,9,0,1,0,0,0,0,1,157,REFUSED,1,167,migr_asyappctza,2024-09-11
2023,LT,AT775,LV,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,181,PENDING,0,158,migr_resfirst,2024-06-05
2024,PT,ES1,SE,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,156,GRANTED,0,181,migr_resvalid,2025-08-28
2025,SE,HR90,IN,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,158,WITHDRAWN,0,179,migr_resbc,2024-08-23
2026,CY,HU795,NO,D_VISA,FAMILY,36,0,0,0,1,0,0,1,171,PARTIALLY_GRANTED,0,180,migr_reslt,2024-06-22
2010,FR,HU1,BE,D_VISA,STUDY,1,1,1,0,0,1,0,1,158,REFUSED,0,159,migr_asyappctza,2025-12-02
2011,IT,CZ9,HU,D_VISA,WORK,9,1,0,0,0,0,0,0,178,PENDING,0,179,migr_resfirst,2025-07-28
2012,NL,NL844,SK,D_VISA,OTHER,36,1,0,0,0,0,0,1,171,GRANTED,0,174,migr_resvalid,2025-06-24
2013,SI,AT744,GB,D_VISA,RESEARCH,1,0,1,0,0,0,0,1,164,WITHDRAWN,0,184,migr_resbc,2024-05-26
2014,BG,MT976,ME,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,172,PARTIALLY_GRANTED,0,158,migr_reslt,2025-10-11
2015,EE,CZ416,US,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,182,REFUSED,0,165,migr_asyappctza,2026-02-02
2016,HU,CZ571,FR,D_VISA,FAMILY,1,1,0,0,1,0,0,1,166,PENDING,0,177,migr_resfirst,2026-02-22
2017,LU,GR560,PL,D_VISA,STUDY,9,0,1,0,1,1,0,1,194,GRANTED,0,175,migr_resvalid,2024-11-20
2018,RO,MT644,CN,D_VISA,WORK,36,1,0,0,1,0,0,1,176,WITHDRAWN,0,175,migr_resbc,2026-02-22
2019,AT,LV436,KE,D_VISA,OTHER,1,1,0,0,0,0,0,1,170,PARTIALLY_GRANTED,0,175,migr_reslt,2026-01-25
2020,CZ,AT661,TN,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,170,REFUSED,0,193,migr_asyappctza,2025-04-25
2021,DE,PL280,DK,D_VISA,INVESTOR,36,0,1,0,0,0,0,1,175,PENDING,0,195,migr_resfirst,2025-11-30
2022,LV,RO76,LU,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,195,GRANTED,0,174,migr_resvalid,2025-06-29
2023,PL,NL95,BA,D_VISA,FAMILY,9,1,0,0,1,0,0,1,171,WITHDRAWN,0,168,migr_resbc,2024-12-19
2024,ES,CY2,IR,D_VISA,STUDY,36,1,0,0,0,1,0,1,202,PARTIALLY_GRANTED,0,173,migr_reslt,2025-06-30
2025,HR,DE478,RS,D_VISA,WORK,1,0,1,0,1,0,0,1,196,REFUSED,0,188,migr_asyappctza,2025-02-13
2026,FI,LT5,HR,D_VISA,OTHER,9,1,0,0,0,0,0,1,194,PENDING,0,183,migr_resfirst,2025-02-21
2010,IE,SE683,IT,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,184,GRANTED,0,173,migr_resvalid,2024-11-03
2011,MT,HU649,ES,D_VISA,INVESTOR,1,1,0,0,0,0,0,0,206,WITHDRAWN,0,177,migr_resbc,2024-03-11
2012,SK,NL270,GH,D_VISA,PROTECTION,9,0,1,0,1,0,0,1,178,PARTIALLY_GRANTED,0,187,migr_reslt,2024-02-17
2013,BE,LU37,NG,D_VISA,FAMILY,36,1,0,0,0,0,0,1,191,REFUSED,0,196,migr_asyappctza,2025-04-29
2014,DK,HU676,AT,D_VISA,STUDY,1,1,0,0,0,1,0,1,193,PENDING,0,188,migr_resfirst,2024-08-03
2015,GR,IT476,GR,D_VISA,WORK,9,1,0,0,0,0,1,1,209,GRANTED,0,197,migr_resvalid,2025-05-13
2016,LT,HR92,RO,D_VISA,OTHER,36,0,1,0,0,0,0,1,183,WITHDRAWN,0,196,migr_resbc,2024-07-13
2017,PT,HR57,EG,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,211,PARTIALLY_GRANTED,0,188,migr_reslt,2024-01-22
2018,SE,SE479,MD,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,202,REFUSED,0,194,migr_asyappctza,2025-08-22
2019,CY,FR18,UA,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,207,PENDING,0,186,migr_resfirst,2026-02-23
2020,FR,AT535,FI,D_VISA,FAMILY,1,0,0,0,1,0,0,0,15,GRANTED,0,208,migr_resvalid,2024-11-11
2021,IT,FR978,NL,D_VISA,STUDY,9,1,0,0,0,1,0,1,6,WITHDRAWN,0,183,migr_resbc,2025-05-29
2022,NL,IT10,CH,D_VISA,WORK,36,1,0,0,0,0,1,1,34,PARTIALLY_GRANTED,0,201,migr_reslt,2025-04-27
2023,SI,GR349,JP,D_VISA,OTHER,1,1,0,0,0,0,0,1,8,REFUSED,0,185,migr_asyappctza,2024-07-30
2024,BG,CZ5,SY,D_VISA,RESEARCH,9,0,0,0,0,0,0,1,13,PENDING,0,204,migr_resfirst,2025-07-23
2025,EE,HR667,CZ,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,10,GRANTED,0,200,migr_resvalid,2024-03-09
2026,HU,AT28,LT,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,32,WITHDRAWN,0,193,migr_resbc,2024-01-10
2010,LU,IT40,AL,D_VISA,FAMILY,9,1,1,0,1,0,0,1,32,PARTIALLY_GRANTED,0,201,migr_reslt,2024-01-19
2011,RO,HR795,IQ,D_VISA,STUDY,36,0,1,0,0,1,0,1,26,REFUSED,1,194,migr_asyappctza,2024-04-02
2012,AT,BE403,PK,D_VISA,WORK,1,1,0,0,0,0,0,1,14,PENDING,0,190,migr_resfirst,2024-02-01
2013,CZ,CY185,BG,D_VISA,OTHER,9,1,0,0,0,0,0,1,28,GRANTED,0,210,migr_resvalid,2025-05-15
2014,DE,PL63,IE,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,40,WITHDRAWN,0,204,migr_resbc,2024-06-02
