safe_traffic_reference_year,safe_traffic_country_iso2,safe_traffic_region_nuts_code,safe_traffic_enforcement_type_code,safe_traffic_checks_count,safe_traffic_speed_cameras_count,safe_traffic_speeding_tickets_count,safe_traffic_dui_tickets_count,safe_traffic_phone_use_tickets_count,safe_traffic_seatbelt_tickets_count,safe_traffic_penalty_points_total,safe_traffic_fines_total_eur,safe_traffic_license_suspensions_count,safe_traffic_roadside_drug_tests_count,safe_traffic_vehicle_inspections_count,safe_traffic_tachograph_violations_count,safe_traffic_cross_border_enforcement_directive_flag,safe_traffic_data_source,safe_traffic_revision_round,safe_traffic_data_extract_date
2024,BE,SE20,COMMERCIAL_VEHICLE_CHECKS,2133851,157,196144,34235,3220,6216,892237,82456886.63,10740,152253,135963,32080,0,TRANSPORT_INSPECTORATE,SECOND,2024-11-18
2025,DK,IT492,DISTRACTED_DRIVING,2095888,165,91793,12882,68935,2432,363033,42041433.49,4676,12146,112563,1020,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-12-13
2006,GR,AT6,SEATBELT_ENFORCEMENT,97647,616,11355,317,1587,8130,28363,2863501.75,214,2768,1299,43,1,ROAD_POLICING_AGENCY,FLASH,2024-02-10
2007,LT,CY5,DUI_ENFORCEMENT,3039999,959,73625,134619,34294,48940,1146679,311689103.15,47053,101372,74695,1005,0,INTERIOR_MINISTRY_STATS,FIRST,2025-01-29
2008,PT,HU167,SPEED_ENFORCEMENT,32348,4501,3639,540,445,608,14948,1842857.63,209,897,1484,130,0,TRANSPORT_INSPECTORATE,SECOND,2024-01-02
2009,SE,FR529,ROADWORTHINESS_INSPECTIONS,733175,1297,25081,1063,13359,8532,108113,6943812.82,946,12817,66146,4213,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-03-29
2010,CY,HR344,COMMERCIAL_VEHICLE_CHECKS,271314,1135,30348,4455,4113,7726,162855,14241880.72,3104,3828,58995,7129,1,ROAD_POLICING_AGENCY,FLASH,2025-05-19
2011,FR,IT11,DISTRACTED_DRIVING,751494,198,119563,12881,5124,20074,343724,20948147.01,6439,18201,12969,3182,1,INTERIOR_MINISTRY_STATS,FIRST,2026-01-21
2012,IT,AT14,SEATBELT_ENFORCEMENT,1553018,834,45851,30805,25812,28036,474560,41411879.17,17482,45596,6857,1178,0,TRANSPORT_INSPECTORATE,SECOND,2026-01-13
2013,NL,HU420,DUI_ENFORCEMENT,1193377,327,16612,47798,21259,24267,464895,72225818.93,12891,110697,3771,3819,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-09-07
2014,SI,GR241,SPEED_ENFORCEMENT,120618,3880,22769,2156,2392,1116,56133,6990429.83,1085,159,4332,699,0,ROAD_POLICING_AGENCY,FLASH,2024-03-26
2015,BG,BG96,ROADWORTHINESS_INSPECTIONS,2327097,780,137062,23238,35561,8227,657258,48243500.84,15916,50535,254060,7258,1,INTERIOR_MINISTRY_STATS,FIRST,2025-10-13
2016,EE,IT4,COMMERCIAL_VEHICLE_CHECKS,2047722,218,220404,26504,34309,25389,605527,62208854.4,14852,217100,64948,28562,0,TRANSPORT_INSPECTORATE,SECOND,2025-05-20
2017,HU,EE4,DISTRACTED_DRIVING,932547,266,70930,17400,59957,6540,428286,46473113.15,9299,1840,26666,4860,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-12-11
2018,LU,BE516,SEATBELT_ENFORCEMENT,197198,134,17234,2785,3677,9059,99177,4869538.51,1763,1069,986,670,0,ROAD_POLICING_AGENCY,FLASH,2024-12-15
2019,RO,PL3,DUI_ENFORCEMENT,2151460,765,24090,15615,21667,26717,308051,13019347.65,3691,79943,29406,8321,0,INTERIOR_MINISTRY_STATS,FIRST,2024-05-01
2020,AT,HR43,SPEED_ENFORCEMENT,1572338,4945,289911,14781,8876,19042,591010,54228563.16,12076,9032,45721,6348,0,TRANSPORT_INSPECTORATE,SECOND,2025-03-05
2021,CZ,PL87,ROADWORTHINESS_INSPECTIONS,745958,1065,70193,3948,10831,2653,192068,12150718.9,1022,22280,63920,2469,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-10-01
2022,DE,SK339,COMMERCIAL_VEHICLE_CHECKS,815101,548,28873,10917,5844,6232,108532,13902561.6,2250,76525,46485,9360,0,ROAD_POLICING_AGENCY,FLASH,2024-10-22
2023,LV,IE4,DISTRACTED_DRIVING,2970526,1327,534808,58577,222658,68662,1976214,141110053.32,42501,39136,125545,8089,0,INTERIOR_MINISTRY_STATS,FIRST,2025-12-26
2024,PL,PL149,SEATBELT_ENFORCEMENT,58323,1272,1752,719,1061,800,13700,1918977.86,205,754,2040,321,0,TRANSPORT_INSPECTORATE,SECOND,2025-08-08
2025,ES,BE675,DUI_ENFORCEMENT,1580981,1296,181247,78191,19250,4123,1107492,176346746.73,14983,124304,5649,7501,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-02-25
2006,HR,CZ5,SPEED_ENFORCEMENT,2456938,4284,568175,33176,34125,63465,983100,76565545.95,19394,43560,32735,7286,1,ROAD_POLICING_AGENCY,FLASH,2025-10-24
2007,FI,CY767,ROADWORTHINESS_INSPECTIONS,349130,828,20798,973,5398,7522,102075,3416353.48,373,1374,15976,1503,0,INTERIOR_MINISTRY_STATS,FIRST,2025-10-16
2008,IE,LV9,COMMERCIAL_VEHICLE_CHECKS,1047457,544,49289,20135,15134,25786,229302,17804287.82,7660,119662,217573,19171,1,TRANSPORT_INSPECTORATE,SECOND,2026-01-03
2009,MT,BE20,DISTRACTED_DRIVING,605169,1036,62414,7316,43000,9730,198291,29293239.86,2365,12495,14017,3263,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-07-14
2010,SK,SE9,SEATBELT_ENFORCEMENT,1765064,581,20538,20169,22942,151942,384979,37183554.98,4344,8567,48617,2425,0,ROAD_POLICING_AGENCY,FLASH,2025-06-04
2011,BE,CZ1,DUI_ENFORCEMENT,2005915,1229,64361,90263,39408,46121,1135156,79308603.34,50686,107995,68716,6150,1,INTERIOR_MINISTRY_STATS,FIRST,2025-09-20
2012,DK,CZ80,SPEED_ENFORCEMENT,1425776,2136,338965,19866,6607,20163,1363469,61666200.47,8189,31818,7810,5288,0,TRANSPORT_INSPECTORATE,SECOND,2024-04-11
2013,GR,HU4,ROADWORTHINESS_INSPECTIONS,1673402,57,44361,16929,14984,24758,279921,39755219.5,8999,31108,159340,6005,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2026-02-23
2014,LT,EE2,COMMERCIAL_VEHICLE_CHECKS,1490333,1192,35692,3288,10553,20070,142828,8615309.61,1231,107259,300254,12529,1,ROAD_POLICING_AGENCY,FLASH,2025-04-14
2015,PT,FR644,DISTRACTED_DRIVING,2275230,35,559098,33241,7928,22740,1055722,156166882.93,30228,33417,96879,10467,0,INTERIOR_MINISTRY_STATS,FIRST,2026-01-14
2016,SE,LV4,SEATBELT_ENFORCEMENT,371171,959,23015,5217,6477,7758,124461,9897741.32,3617,3329,9333,1219,0,TRANSPORT_INSPECTORATE,SECOND,2025-02-28
2017,CY,GR110,DUI_ENFORCEMENT,2164525,1193,248987,121893,28615,37998,1587548,282870044.25,76562,10311,39217,11827,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2026-02-09
2018,FR,LU58,SPEED_ENFORCEMENT,742211,4670,84126,11578,6213,20795,265460,34724341.36,6224,15734,34299,4176,0,ROAD_POLICING_AGENCY,FLASH,2024-04-10
2019,IT,MT920,ROADWORTHINESS_INSPECTIONS,467832,1288,15160,9271,4278,7203,87519,9396873.21,1795,5010,27929,1810,1,INTERIOR_MINISTRY_STATS,FIRST,2026-02-19
2020,NL,CY20,COMMERCIAL_VEHICLE_CHECKS,2502947,627,119113,32312,20057,74855,582607,53868924.48,8353,156921,147577,1893,0,TRANSPORT_INSPECTORATE,SECOND,2026-01-26
2021,SI,SK61,DISTRACTED_DRIVING,1606215,396,127503,4687,34172,28235,316236,24842342.27,4325,40215,42069,680,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-01-28
2022,BG,RO93,SEATBELT_ENFORCEMENT,2543698,1272,110100,38502,13159,159359,814685,54910701.61,23531,8549,127533,5748,1,ROAD_POLICING_AGENCY,FLASH,2024-02-26
2023,EE,SK79,DUI_ENFORCEMENT,1092977,1100,117645,14260,18479,24751,281883,48360819.58,4929,81235,15025,2092,0,INTERIOR_MINISTRY_STATS,FIRST,2025-05-12
2024,HU,GR95,SPEED_ENFORCEMENT,1881647,1541,43270,19830,23859,39898,404444,28570387.45,4369,52113,38178,4270,1,TRANSPORT_INSPECTORATE,SECOND,2025-04-29
2025,LU,PL885,ROADWORTHINESS_INSPECTIONS,1955528,1389,64986,19406,21372,21865,371926,37253961.44,5966,26699,248676,10652,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-09-27
2006,RO,BG873,COMMERCIAL_VEHICLE_CHECKS,2270743,12,137753,32945,45294,67742,870212,52802494.14,13008,64549,48609,29081,1,ROAD_POLICING_AGENCY,FLASH,2026-02-13
2007,AT,ES12,DISTRACTED_DRIVING,188537,715,20527,890,7799,1435,66061,4595371.39,485,393,3994,260,0,INTERIOR_MINISTRY_STATS,FIRST,2025-05-18
2008,CZ,CY198,SEATBELT_ENFORCEMENT,711992,832,59533,1909,2600,50514,177749,18430421.27,1355,765,35941,1815,0,TRANSPORT_INSPECTORATE,SECOND,2025-08-28
2009,DE,ES46,DUI_ENFORCEMENT,990934,951,80778,2596,15289,12881,368329,15237121.35,2372,18748,15267,2689,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-11-20
2010,LV,LU39,SPEED_ENFORCEMENT,1584116,3704,322546,22395,14694,18674,1269437,64527975.98,14197,29021,62065,8860,0,ROAD_POLICING_AGENCY,FLASH,2025-06-08
2011,PL,GR908,ROADWORTHINESS_INSPECTIONS,2853159,85,59082,9680,40308,58013,411408,36032456.95,3748,82562,361349,1074,1,INTERIOR_MINISTRY_STATS,FIRST,2025-10-31
2012,ES,LV911,COMMERCIAL_VEHICLE_CHECKS,1029426,1246,65238,3530,14972,3888,143424,15558190.58,2411,33158,210613,10600,1,TRANSPORT_INSPECTORATE,SECOND,2024-03-01
2013,HR,LV73,DISTRACTED_DRIVING,581877,1053,26607,9484,25235,8394,169389,22881900.58,3192,4953,10021,1365,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-05-05
2014,FI,ES419,SEATBELT_ENFORCEMENT,1682786,1249,118517,17332,5422,83055,455909,50592003.71,12912,38369,81010,1089,0,ROAD_POLICING_AGENCY,FLASH,2025-08-20
2015,IE,HU573,DUI_ENFORCEMENT,1298534,980,148982,2739,9140,26135,299749,18966560.81,5198,134865,36596,3332,0,INTERIOR_MINISTRY_STATS,FIRST,2025-06-04
2016,MT,IE104,SPEED_ENFORCEMENT,2204495,3146,452003,25359,32060,7915,1128093,74975881.62,18873,34476,77540,10035,0,TRANSPORT_INSPECTORATE,SECOND,2025-09-23
2017,SK,PL775,ROADWORTHINESS_INSPECTIONS,1546268,699,134490,28452,4749,4660,534280,44120984.95,13258,25220,266773,5263,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-10-13
2018,BE,HU19,COMMERCIAL_VEHICLE_CHECKS,3029758,1014,107857,13305,29270,55860,412376,43330729.29,3190,211249,605462,16390,1,ROAD_POLICING_AGENCY,FLASH,2025-12-08
2019,DK,IE99,DISTRACTED_DRIVING,637381,696,74237,7030,29142,7580,315988,22494730.02,4557,9960,22269,3305,1,INTERIOR_MINISTRY_STATS,FIRST,2025-07-21
2020,GR,IT59,SEATBELT_ENFORCEMENT,1796050,903,102448,22011,34016,41890,662220,69929828.39,7562,1254,41709,5459,1,TRANSPORT_INSPECTORATE,SECOND,2024-04-23
2021,LT,ES450,DUI_ENFORCEMENT,1373266,1279,89137,68545,8986,38254,651606,79177444.36,14091,108144,33280,4551,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-12-24
2022,PT,MT593,SPEED_ENFORCEMENT,38960,3115,2621,210,559,864,10487,609686.18,131,435,2259,98,1,ROAD_POLICING_AGENCY,FLASH,2024-05-21
2023,SE,CZ98,ROADWORTHINESS_INSPECTIONS,2283350,1092,74501,9240,41367,17721,416706,25274402.59,2976,32655,316752,12259,0,INTERIOR_MINISTRY_STATS,FIRST,2025-09-06
2024,CY,HR8,COMMERCIAL_VEHICLE_CHECKS,625622,784,23648,6243,7467,14961,126445,12871674.18,3332,56386,9074,2204,0,TRANSPORT_INSPECTORATE,SECOND,2025-08-29
2025,FR,LU35,DISTRACTED_DRIVING,513230,1393,94472,6095,4690,3533,355731,17365394.47,1975,10669,23094,1280,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-11-21
2006,IT,BE549,SEATBELT_ENFORCEMENT,1612854,857,126068,28992,28428,57658,733761,85591588.27,22001,10926,94436,3338,1,ROAD_POLICING_AGENCY,FLASH,2025-03-01
2007,NL,PL939,DUI_ENFORCEMENT,1364247,706,72624,67717,16762,27190,616110,45402350.85,40393,18639,13165,684,0,INTERIOR_MINISTRY_STATS,FIRST,2024-07-21
2008,SI,HU408,SPEED_ENFORCEMENT,74303,3560,11620,194,1034,225,34980,2349223.17,285,1880,4268,366,0,TRANSPORT_INSPECTORATE,SECOND,2025-07-17
2009,BG,AT89,ROADWORTHINESS_INSPECTIONS,650465,884,74275,12851,9940,6859,184942,26753792.62,6327,17597,37412,931,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-10-08
2010,EE,FI66,COMMERCIAL_VEHICLE_CHECKS,2546485,1188,255924,3783,13356,48625,530202,28974125.01,3483,27989,102642,27650,0,ROAD_POLICING_AGENCY,FLASH,2025-03-21
2011,HU,NL950,DISTRACTED_DRIVING,1323157,617,219760,6152,32962,29280,683320,46940201.55,7784,33762,48135,5167,1,INTERIOR_MINISTRY_STATS,FIRST,2025-06-30
2012,LU,IE757,SEATBELT_ENFORCEMENT,1260166,835,69455,14488,21599,34027,352261,41274333.2,6294,34023,59016,5980,0,TRANSPORT_INSPECTORATE,SECOND,2025-11-09
2013,RO,BG797,DUI_ENFORCEMENT,1464673,146,19192,18407,3089,1644,198829,15107561.87,10720,137189,51046,6714,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-03-30
2014,AT,SK16,SPEED_ENFORCEMENT,827350,3078,197134,7303,1239,11723,523354,35742133.33,6897,17524,30481,1471,1,ROAD_POLICING_AGENCY,FLASH,2024-07-09
2015,CZ,DK643,ROADWORTHINESS_INSPECTIONS,693732,732,54015,10780,7405,16314,300619,32934248.62,2826,11767,119823,1967,0,INTERIOR_MINISTRY_STATS,FIRST,2025-12-05
2016,DE,SI44,COMMERCIAL_VEHICLE_CHECKS,259396,1330,14540,867,2236,1714,53752,3978095.81,879,28368,12557,7196,0,TRANSPORT_INSPECTORATE,SECOND,2024-11-05
2017,LV,BG25,DISTRACTED_DRIVING,1505286,984,334579,9833,65827,4309,678799,60089451.08,7283,19419,46287,283,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-11-20
2018,PL,SI5,SEATBELT_ENFORCEMENT,1543948,180,30431,18186,23622,68692,355047,43821271.19,2619,27874,79431,2674,1,ROAD_POLICING_AGENCY,FLASH,2024-09-12
2019,ES,CZ76,DUI_ENFORCEMENT,1189248,801,77818,51160,11534,11674,792620,119226520.28,22581,106424,5603,6233,0,INTERIOR_MINISTRY_STATS,FIRST,2024-04-08
2020,HR,HR20,SPEED_ENFORCEMENT,1727215,2845,297262,2269,13291,31895,441697,41438572.78,7342,14170,87743,2403,0,TRANSPORT_INSPECTORATE,SECOND,2025-07-23
2021,FI,AT236,ROADWORTHINESS_INSPECTIONS,2313672,1398,254341,4330,42007,18872,639563,43696045.27,4036,17250,473562,13335,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-09-24
2022,IE,HR601,COMMERCIAL_VEHICLE_CHECKS,420441,164,28035,6932,8202,6212,155262,17784110.63,2099,50019,51959,7759,1,ROAD_POLICING_AGENCY,FLASH,2024-03-19
2023,MT,DE70,DISTRACTED_DRIVING,2297300,557,381902,33660,156841,31318,1309855,122186857.9,10441,30673,46803,5656,1,INTERIOR_MINISTRY_STATS,FIRST,2025-12-31
2024,SK,GR630,SEATBELT_ENFORCEMENT,2291998,1266,123253,32716,41717,152577,858800,58450640.89,9706,65523,122847,9476,0,TRANSPORT_INSPECTORATE,SECOND,2024-09-07
2025,BE,RO156,DUI_ENFORCEMENT,657717,580,52624,26361,3728,16229,388609,43548219.0,16491,33120,14507,3937,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-04-23
2006,DK,DK28,SPEED_ENFORCEMENT,1458569,2218,32251,15256,16671,5933,270650,20074171.19,9290,40737,50255,1079,1,ROAD_POLICING_AGENCY,FLASH,2026-01-16
2007,GR,FR8,ROADWORTHINESS_INSPECTIONS,399821,399,5923,3575,2801,7126,54634,5062021.24,1511,10176,73659,2000,0,INTERIOR_MINISTRY_STATS,FIRST,2024-09-26
2008,LT,LV770,COMMERCIAL_VEHICLE_CHECKS,1203376,116,32910,12559,13862,31966,307404,26686174.94,2364,65823,226453,25177,0,TRANSPORT_INSPECTORATE,SECOND,2024-01-14
2009,PT,CY102,DISTRACTED_DRIVING,1793709,172,394745,24942,76789,25860,1331918,115280342.19,17957,34793,62818,8775,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-04-26
2010,SE,LV746,SEATBELT_ENFORCEMENT,2443783,1271,161519,21761,42928,151866,724399,85590912.4,7076,66773,18962,8200,0,ROAD_POLICING_AGENCY,FLASH,2024-01-10
2011,CY,NL50,DUI_ENFORCEMENT,855864,1037,93781,3704,9501,4281,303824,19916227.32,2709,46677,40648,403,0,INTERIOR_MINISTRY_STATS,FIRST,2024-07-20
2012,FR,MT20,SPEED_ENFORCEMENT,2736042,1033,590209,32689,45982,28533,1078668,143733129.69,7759,18390,63530,2213,1,TRANSPORT_INSPECTORATE,SECOND,2026-02-03
2013,IT,HU64,ROADWORTHINESS_INSPECTIONS,3112906,1030,36465,55714,30907,10425,515038,116811332.63,29250,61195,533215,7728,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2026-01-01
2014,NL,FI566,COMMERCIAL_VEHICLE_CHECKS,2056842,1186,201045,20312,5068,15632,736470,54073705.92,11288,44238,379549,38020,1,ROAD_POLICING_AGENCY,FLASH,2025-03-13
2015,SI,IT780,DISTRACTED_DRIVING,1854578,951,64760,5741,72600,29328,520563,25162286.34,2972,55188,27587,10138,1,INTERIOR_MINISTRY_STATS,FIRST,2024-05-17
2016,BG,ES18,SEATBELT_ENFORCEMENT,2094527,723,184822,5850,14862,86881,785523,48613645.95,6475,43606,44450,6219,0,TRANSPORT_INSPECTORATE,SECOND,2024-07-06
2017,EE,FR760,DUI_ENFORCEMENT,409001,1248,30151,17831,3272,11748,257678,18081655.15,6486,3787,2645,1134,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-01-24
2018,HU,DE231,SPEED_ENFORCEMENT,1076139,2408,70838,21148,21505,14029,475960,38396862.74,12806,4456,31596,3134,1,ROAD_POLICING_AGENCY,FLASH,2025-11-18
2019,LU,LT621,ROADWORTHINESS_INSPECTIONS,894396,595,93236,16914,9036,9767,439133,36794002.45,12464,19629,165282,5197,0,INTERIOR_MINISTRY_STATS,FIRST,2025-11-23
