care_coverage_coverage_year,care_coverage_state_ut_code,care_coverage_district_lgd_code,care_coverage_scheme_type_code,care_coverage_pmjay_beneficiary_count,care_coverage_abha_id_linked_share_pct,care_coverage_premium_benchmark_inr,care_coverage_deductible_individual_inr,care_coverage_oop_max_individual_inr,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_esic_enrollment,care_coverage_cghs_enrollment,care_coverage_employer_covered_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status,care_coverage_data_source_agency
2023,IN-JH,LGD-D-6536136,CommunityBased,3398308,23.32,31981.43,4082.5,44208.07,Preferred,2373472,23.78,5104539,99491,41.43,35.07,27.52,37585,NotApplicable,MoHFW
2017,IN-LA,LGD-D-2838230,StateScheme,1907830,2.39,9008.78,19857.1,100103.49,Preferred,10876670,27.47,4547965,546940,50.99,67.42,2.45,152400,Rejected,MoHFW
2018,IN-CG,LGD-D-8055979,CGHS,3008355,96.08,27772.51,23767.91,3439.4,EHS_Network,8368511,11.78,1408285,408170,35.69,83.56,31.6,56447,NotApplicable,NHA
2017,IN-CH,LGD-D-8555676,Mixed,3260769,64.28,15680.08,517.41,28097.97,Restricted,3272030,6.63,3912296,300134,21.42,46.29,24.86,224042,PendingDocs,StateHealthDept
2021,IN-GJ,LGD-D-9963709,ESIC,1883686,80.36,24988.49,6856.02,87447.91,EHS_Network,11514568,30.84,1431699,485643,10.11,1.53,29.47,219840,NotApplicable,MoHFW
2022,IN-JK,LGD-D-7080066,Mixed,931386,93.61,30141.89,7256.65,102067.7,EHS_Network,3674885,12.42,5204834,523433,36.29,62.51,15.17,221597,Approved,CGHS
2025,IN-DH,LGD-D-7470708,PMJAY,3119750,14.1,29340.72,4502.71,90570.29,Preferred,4368199,16.98,1512297,447180,7.92,38.3,15.04,26328,Approved,StateHealthDept
2022,IN-HP,LGD-D-7596113,PrivateGroup,183993,19.53,20091.35,12489.17,6071.41,EHS_Network,438815,20.15,2953606,411830,0.83,76.11,13.4,206640,PendingDocs,IRDAI
2019,IN-SK,LGD-D-9252264,PMJAY,1261278,88.82,13506.72,10506.22,100493.74,Tiered,10201882,18.69,3825269,393547,5.66,65.71,13.58,134082,Approved,IRDAI
2025,IN-WB,LGD-D-7387041,CommunityBased,691287,16.37,27080.6,4798.21,3310.05,Tiered,9582419,21.36,2887706,413541,8.94,27.14,26.41,44448,PendingDocs,MoHFW
2019,IN-GA,LGD-D-3757840,PMJAY,1698893,49.4,24295.93,15299.73,143680.69,Preferred,5966002,15.23,2037695,20447,10.57,37.66,4.33,55596,PendingDocs,NHA
2017,IN-LD,LGD-D-6467818,PrivateGroup,3295415,17.25,34119.06,24766.31,53002.47,Preferred,9603314,34.41,2757038,412019,32.51,36.45,11.17,94465,Approved,StateHealthDept
2016,IN-RJ,LGD-D-3271000,CommunityBased,1260295,17.08,4008.18,6770.37,129086.16,Restricted,10982469,13.13,1196713,392027,49.26,47.72,17.93,82493,UnderReview,NHA
2025,IN-OD,LGD-D-1895380,CGHS,2713727,9.19,25282.06,15301.24,49693.38,EHS_Network,6844307,16.52,3057374,19561,40.9,11.11,26.38,49222,Rejected,NIC
2016,IN-MN,LGD-D-9651968,CGHS,1868901,12.34,23053.25,23714.78,8602.83,Preferred,2422515,30.4,5163631,174789,21.2,81.53,21.81,174093,Approved,IRDAI
2021,IN-AR,LGD-D-3247257,CGHS,575213,27.64,4638.22,3797.81,22998.86,Tiered,1017570,21.61,793736,474118,19.96,41.96,2.03,132655,PendingDocs,NHA
2023,IN-MZ,LGD-D-4293277,PrivateGroup,1176575,26.42,30303.87,12977.57,76262.42,Preferred,8694164,31.79,598030,698223,45.0,56.27,0.15,34508,UnderReview,IRDAI
2024,IN-KA,LGD-D-7462284,CommunityBased,1117176,91.07,15502.58,23495.09,44111.29,EHS_Network,9561036,18.39,3735918,113101,32.78,10.03,16.63,239874,Rejected,NHA
2023,IN-JH,LGD-D-7780860,CommunityBased,1207300,90.5,22842.18,6172.37,100247.46,Preferred,3760531,16.74,5195252,698664,29.07,49.92,26.31,23093,NotApplicable,ESIC
2022,IN-KL,LGD-D-7903461,PrivateGroup,2966637,32.86,27107.18,3070.36,63890.21,Open,7758917,14.31,437354,511886,30.03,25.25,11.41,203614,Rejected,MoHFW
2019,IN-HP,LGD-D-4448052,CGHS,235433,26.71,21541.67,22350.0,46360.7,Open,5223653,33.76,3049781,410284,31.38,69.89,21.75,207130,PendingDocs,ESIC
2017,IN-UP,LGD-D-3609765,Mixed,2484629,85.31,33937.94,4951.95,77927.92,Restricted,10657159,12.65,1654028,572804,5.1,3.98,24.66,20709,Rejected,IRDAI
2016,IN-MH,LGD-D-5374582,StateScheme,1073895,14.43,28997.75,23950.27,87910.46,Tiered,4585261,27.28,4601617,533189,5.46,11.18,12.01,61617,PendingDocs,IRDAI
2020,IN-BR,LGD-D-2734234,StateScheme,652403,17.85,30289.07,23343.8,5761.57,Preferred,8425551,30.34,4988985,205387,33.82,77.76,18.22,171242,UnderReview,StateHealthDept
2019,IN-MN,LGD-D-4164118,StateScheme,3322255,71.85,33569.34,8037.56,42866.32,Preferred,7609243,13.27,1190747,654839,0.06,38.31,25.6,54516,NotApplicable,IRDAI
2016,IN-UK,LGD-D-6217304,CommunityBased,980591,5.3,28999.11,17292.73,9867.18,Preferred,9091523,15.25,2473932,559582,29.11,69.37,27.25,127037,Rejected,NIC
2020,IN-RJ,LGD-D-1264970,CGHS,969216,17.51,12376.73,21813.18,58839.54,Restricted,4096562,33.19,3651759,467936,13.39,75.58,14.61,186368,Approved,IRDAI
2019,IN-AR,LGD-D-6897313,PrivateGroup,1454497,55.78,1739.29,2059.99,125106.27,Restricted,5576182,1.85,1941568,222147,16.93,8.79,26.95,216775,PendingDocs,NHA
2022,IN-MH,LGD-D-5366613,PMJAY,1542400,20.71,19313.88,8830.98,13758.29,Preferred,8579523,21.06,2926923,583155,24.23,72.54,33.77,10367,Rejected,ESIC
2021,IN-TN,LGD-D-2237219,StateScheme,788287,42.98,2806.95,11050.7,72266.36,Tiered,11669787,28.14,2097359,78658,4.5,9.97,0.83,65243,Rejected,MoHFW
2021,IN-TN,LGD-D-6873030,PMJAY,3060549,94.47,17547.73,15136.41,121823.68,Tiered,8256352,20.23,2934323,612584,6.82,23.39,9.43,32230,UnderReview,CGHS
2025,IN-RJ,LGD-D-4254708,CommunityBased,2544168,24.4,29823.38,12555.3,11326.66,Open,9884787,9.25,3384233,406495,53.81,54.75,20.32,28692,UnderReview,CGHS
2022,IN-LD,LGD-D-5156643,CommunityBased,646895,52.55,16826.77,3930.76,137784.69,Open,1002334,9.14,2541949,317622,36.06,50.51,34.72,106582,Approved,StateHealthDept
2019,IN-TS,LGD-D-5914154,ESIC,3012771,43.08,17728.17,1080.83,8893.16,Restricted,6224897,3.73,3136524,634202,44.61,16.95,26.19,243491,Approved,StateHealthDept
2023,IN-GJ,LGD-D-8795368,PMJAY,1367174,12.38,8340.06,6651.34,83063.99,Preferred,3867889,21.17,3589473,363703,17.81,1.56,11.35,154378,Rejected,IRDAI
2025,IN-PY,LGD-D-7916286,ESIC,1871496,43.95,24346.37,14248.3,124255.29,Preferred,11566431,26.05,2665934,630347,44.74,20.78,0.37,112276,Rejected,MoHFW
2022,IN-AR,LGD-D-4280077,PrivateGroup,3216084,73.43,15391.14,21440.69,18347.59,EHS_Network,10858724,18.67,5916887,438673,31.11,73.89,33.79,94927,Rejected,NIC
2018,IN-MP,LGD-D-1594930,ESIC,2357590,91.4,7702.81,10976.2,15089.43,Open,4785662,24.1,3721358,689859,24.5,28.39,30.96,46148,PendingDocs,MoHFW
2023,IN-CH,LGD-D-7098101,Mixed,1206979,94.37,32354.79,21131.77,45967.45,Tiered,11859198,17.04,4527020,172732,9.7,64.66,21.84,143135,NotApplicable,StateHealthDept
2020,IN-RJ,LGD-D-5756558,StateScheme,1951635,78.95,6211.56,22417.02,42496.28,Restricted,4532570,1.26,2750743,501080,8.55,23.54,12.43,204466,NotApplicable,NHA
2019,IN-NL,LGD-D-9883831,ESIC,3323829,11.28,10933.17,4906.12,17633.05,Preferred,10060645,8.18,3360815,115253,51.81,41.79,34.87,73833,Rejected,NHA
2022,IN-UP,LGD-D-7545693,ESIC,95781,34.13,7505.32,3068.0,141007.56,Tiered,9125050,25.06,3753325,6429,38.88,68.25,14.04,249578,Rejected,MoHFW
2022,IN-LA,LGD-D-2039516,CommunityBased,3451329,34.59,22434.49,24979.76,75406.7,Tiered,10508580,13.42,3156951,276931,46.16,67.17,4.11,83798,NotApplicable,NHA
2018,IN-HR,LGD-D-2055218,PrivateGroup,373487,81.46,25022.74,11338.08,38485.27,Restricted,11974010,26.61,3772406,32299,40.18,56.02,10.87,243072,Rejected,IRDAI
2021,IN-RJ,LGD-D-9872607,CommunityBased,718147,83.11,12639.56,17991.39,12157.97,Open,2401336,11.39,4410704,618038,2.49,41.85,26.51,217207,Rejected,ESIC
2022,IN-GA,LGD-D-8020556,ESIC,3320050,44.21,9811.42,20769.99,85205.66,Preferred,8256694,34.18,1583304,180079,9.13,12.61,31.96,230289,NotApplicable,NIC
2023,IN-OD,LGD-D-4286683,CommunityBased,2928266,81.47,5727.36,10264.6,125484.01,Open,4139934,7.47,4385970,295873,37.53,80.89,6.09,129816,UnderReview,ESIC
2025,IN-HP,LGD-D-8339601,Mixed,2226723,24.72,24730.27,16798.79,125947.36,Open,11547977,8.5,5297882,121470,7.23,35.14,34.17,202669,Approved,StateHealthDept
2020,IN-HR,LGD-D-1348018,CGHS,1626352,74.8,33122.64,13216.96,66765.78,Preferred,3154712,6.62,2410493,427117,15.57,36.51,18.3,24764,PendingDocs,CGHS
2018,IN-HR,LGD-D-1235778,ESIC,3220336,11.16,16840.6,20500.08,64957.73,Open,876853,22.31,5503256,391411,12.78,9.81,8.19,246671,UnderReview,IRDAI
2024,IN-LA,LGD-D-3414187,PrivateGroup,131566,28.52,26044.05,810.16,46168.77,Restricted,5635389,19.4,315062,401137,38.99,12.42,28.12,201691,UnderReview,CGHS
2018,IN-AP,LGD-D-8598456,Mixed,2499789,79.11,34048.61,18619.23,58727.3,Preferred,10254402,10.17,3027685,437776,5.65,79.96,11.66,32252,Approved,NHA
2024,IN-DL,LGD-D-3731094,PrivateGroup,1530744,36.29,18082.91,24686.52,46920.64,Preferred,11017656,31.78,4157144,373504,7.23,74.73,18.95,169717,Approved,CGHS
2025,IN-AN,LGD-D-6663690,PrivateGroup,1022569,85.66,2513.9,9807.14,138293.16,Tiered,6651064,27.55,129160,245145,20.15,34.44,5.5,36286,PendingDocs,NIC
2023,IN-LD,LGD-D-5512424,CommunityBased,1707708,27.09,27011.13,5972.09,38937.27,Tiered,6481587,17.95,1409159,544895,1.71,70.91,25.07,189268,Approved,StateHealthDept
2017,IN-ML,LGD-D-6291094,StateScheme,1005991,32.14,26910.44,21451.65,123722.1,Preferred,4630965,13.39,4259961,179214,35.47,9.06,17.02,225952,NotApplicable,IRDAI
2022,IN-AS,LGD-D-4940823,PMJAY,1920325,61.74,10874.64,2376.18,103131.73,Preferred,3189472,25.79,4895022,245567,29.87,15.23,15.57,59645,Approved,IRDAI
2020,IN-RJ,LGD-D-1823596,ESIC,533430,27.37,9330.5,19929.4,139108.92,Tiered,2730040,30.38,1631439,258792,27.41,66.29,14.45,198666,Rejected,MoHFW
2018,IN-SK,LGD-D-3256916,StateScheme,1016395,49.35,2268.17,2232.59,14561.13,EHS_Network,4382708,6.8,2423172,444352,46.3,17.83,26.49,238130,UnderReview,MoHFW
2018,IN-HR,LGD-D-5651965,Mixed,42721,24.6,32008.79,14735.41,73575.38,Restricted,2706802,29.02,87429,297232,38.72,19.02,23.77,88020,PendingDocs,NIC
2023,IN-AN,LGD-D-1068035,ESIC,3335862,75.81,8850.22,16862.47,21357.99,Tiered,752093,12.07,996056,319002,9.35,71.16,23.54,103700,NotApplicable,NHA
2023,IN-CH,LGD-D-7921480,PMJAY,1672273,36.05,23232.61,2726.17,93244.98,Preferred,4463922,27.69,2782736,480266,39.57,68.02,23.13,110035,Approved,NIC
2017,IN-HP,LGD-D-7409946,StateScheme,2174065,90.62,20459.39,19563.89,88655.1,EHS_Network,4830177,20.78,951185,244091,30.38,73.41,21.98,237903,Rejected,NIC
2021,IN-CG,LGD-D-2030230,ESIC,1270675,14.72,12924.71,19211.87,22874.35,Preferred,9857140,14.59,2082272,250667,34.97,23.91,29.44,76760,Approved,NIC
2021,IN-TN,LGD-D-7793628,CommunityBased,2060086,14.13,18158.62,282.68,63773.11,Preferred,8554096,13.34,3220845,117641,30.0,43.53,32.15,80370,NotApplicable,StateHealthDept
2024,IN-GJ,LGD-D-3552956,PMJAY,3091348,60.6,11141.53,9013.81,10952.87,Restricted,3909127,25.19,3944249,527347,52.07,80.49,32.88,150321,Rejected,NHA
2019,IN-GA,LGD-D-7214432,CGHS,447044,21.44,29171.03,1969.12,61378.53,EHS_Network,9111794,4.48,2338719,345172,47.25,10.11,25.52,43994,PendingDocs,ESIC
2018,IN-UK,LGD-D-9463646,PrivateGroup,2077240,84.0,1888.28,3901.94,93866.91,Open,326297,1.86,5957220,638569,25.12,16.37,12.78,178258,PendingDocs,CGHS
2023,IN-SK,LGD-D-1697929,PrivateGroup,1072433,18.67,13092.71,625.06,126978.46,Preferred,11386682,11.12,5853820,251804,0.19,47.71,4.92,216852,UnderReview,StateHealthDept
2019,IN-RJ,LGD-D-6586971,StateScheme,1464408,89.72,11225.57,19575.95,149338.81,Open,2355002,1.07,3037523,534585,0.17,83.82,25.45,85815,PendingDocs,IRDAI
2022,IN-JK,LGD-D-4570565,StateScheme,1889462,9.64,4371.16,18511.66,141043.22,Preferred,11540826,30.36,2980894,354876,13.48,26.55,24.48,130521,Rejected,MoHFW
2023,IN-TS,LGD-D-8887307,PrivateGroup,207190,67.24,30033.6,20959.47,110421.69,Tiered,3854471,13.35,1004594,120573,53.45,65.16,0.87,88475,Approved,MoHFW
2021,IN-HR,LGD-D-1344102,StateScheme,2280091,74.41,3439.46,20737.56,33889.25,Preferred,4101902,9.22,2460539,670595,45.33,44.43,17.87,249938,Rejected,IRDAI
2023,IN-HP,LGD-D-5327964,ESIC,1981199,72.17,8725.8,1053.77,67596.81,EHS_Network,11544944,34.32,794555,536350,53.51,5.8,24.53,86652,Approved,MoHFW
2018,IN-KL,LGD-D-6857771,ESIC,2240315,42.36,12310.54,20690.47,80963.68,Preferred,8305185,4.42,1375693,526997,45.09,64.71,21.19,2956,PendingDocs,ESIC
2021,IN-TR,LGD-D-5542709,CGHS,268065,79.63,8828.08,7000.31,98124.23,Open,246741,32.56,3038818,613635,43.12,69.44,20.2,174057,UnderReview,CGHS
2023,IN-CG,LGD-D-3469583,CGHS,2865055,75.63,19819.5,1345.55,110404.31,Tiered,9721855,29.96,2101878,634903,2.57,12.7,26.05,55098,NotApplicable,StateHealthDept
2019,IN-PB,LGD-D-6658833,ESIC,2363757,48.1,8951.43,10.08,65813.7,Tiered,11564773,14.55,5919966,38508,6.89,20.0,15.11,96202,PendingDocs,CGHS
2024,IN-MP,LGD-D-8932836,StateScheme,2650134,70.86,22423.57,736.69,4779.32,Restricted,515399,7.6,1084176,197436,44.82,75.69,21.09,93885,UnderReview,NHA
2023,IN-JH,LGD-D-5942960,StateScheme,3243191,3.42,5410.13,111.09,40584.58,Restricted,527366,16.03,660239,208117,21.17,2.19,12.34,61853,Rejected,MoHFW
2024,IN-GJ,LGD-D-5125979,Mixed,126732,92.37,8325.19,5394.92,2737.86,Restricted,4815857,23.93,4781473,356316,15.26,29.07,21.19,64507,Approved,ESIC
2019,IN-PY,LGD-D-2795447,ESIC,2705947,17.59,25282.8,15392.57,121350.18,Open,1747466,13.23,763437,335685,18.42,42.85,32.49,83801,Rejected,MoHFW
2017,IN-KA,LGD-D-2852211,CommunityBased,1865828,54.61,18216.78,15677.88,128905.11,EHS_Network,2943414,8.36,3012579,365844,34.75,81.85,0.63,247777,Approved,MoHFW
2020,IN-UP,LGD-D-1202151,CGHS,1549611,29.86,14633.49,7671.14,89331.79,EHS_Network,1128704,34.4,4108295,476833,33.7,79.18,7.75,24674,Approved,MoHFW
2024,IN-SK,LGD-D-7059605,StateScheme,2812870,34.04,19866.12,2446.84,55949.78,Open,3333420,31.07,2398144,195984,25.67,74.33,2.39,29013,NotApplicable,CGHS
2020,IN-HR,LGD-D-1936773,CGHS,1757017,39.13,10646.33,13620.47,41810.46,Open,6434289,24.07,5929378,255108,32.31,61.06,31.49,162234,UnderReview,StateHealthDept
2018,IN-PY,LGD-D-2040427,Mixed,1968241,11.87,3208.53,5385.58,59795.9,Preferred,9309758,21.64,3615915,277687,6.73,4.61,0.55,56666,Rejected,MoHFW
2023,IN-PB,LGD-D-3071055,PMJAY,1859355,90.31,17630.71,1452.29,16375.64,Restricted,6356515,16.27,2972501,350598,31.1,11.79,12.97,7223,Rejected,NIC
2024,IN-PY,LGD-D-2970895,Mixed,3246788,93.94,22141.1,21766.39,87992.61,EHS_Network,11746528,23.41,3383429,298035,45.14,0.22,34.15,9403,UnderReview,CGHS
2021,IN-UP,LGD-D-4803930,PrivateGroup,1680170,5.13,12707.84,11056.55,109716.37,EHS_Network,7001805,27.39,1240831,678475,41.64,53.37,24.61,65399,UnderReview,StateHealthDept
2022,IN-AS,LGD-D-8571478,PMJAY,1586263,62.75,32071.6,8658.83,6568.48,Open,7044577,3.73,2005455,15352,41.2,15.62,28.93,158401,UnderReview,NIC
2022,IN-NL,LGD-D-5768601,Mixed,58592,84.58,17492.11,21823.22,10518.8,Open,8350111,13.81,5042006,231848,8.91,7.44,23.84,52425,PendingDocs,CGHS
2022,IN-TS,LGD-D-7852009,StateScheme,3378411,71.24,26343.98,10995.53,122767.28,Tiered,3897240,4.89,831400,508636,21.49,40.92,1.09,157461,UnderReview,NHA
2020,IN-NL,LGD-D-2965585,PrivateGroup,1153026,33.72,21899.78,1375.11,137873.53,Restricted,6137502,33.87,5841008,369113,41.6,57.35,10.31,16854,Approved,MoHFW
2018,IN-UP,LGD-D-9060251,PMJAY,3215138,36.7,30157.05,16738.92,131542.16,Restricted,5064036,26.69,1547401,97414,9.88,25.44,6.05,127877,NotApplicable,NIC
2019,IN-GJ,LGD-D-9058129,PrivateGroup,2839569,40.81,22304.71,12191.56,86805.05,Preferred,10723187,8.58,1436219,499469,40.02,45.35,12.17,116505,NotApplicable,NHA
2016,IN-AP,LGD-D-7931054,CGHS,1344250,28.93,21652.98,21943.98,100826.61,Tiered,4723362,0.5,3503801,191340,33.31,34.44,16.37,36830,Rejected,IRDAI
2017,IN-GA,LGD-D-9191108,StateScheme,2464057,8.57,26081.36,8156.12,111361.31,Tiered,6738628,13.57,4313297,210260,27.87,52.11,6.44,65153,Rejected,NHA
2023,IN-WB,LGD-D-4351281,CGHS,357700,83.45,32100.7,4821.68,144358.57,Open,11008580,10.86,1829754,314924,2.85,36.45,21.17,303,PendingDocs,NHA
2017,IN-JK,LGD-D-2925806,PrivateGroup,1162318,7.79,23981.14,6700.11,103690.9,Open,3756210,8.72,2306413,434257,5.62,26.97,28.98,147106,PendingDocs,CGHS
2016,IN-DH,LGD-D-6528373,StateScheme,1555565,80.8,29052.83,9828.07,139896.01,Open,9611320,9.66,3355683,434783,33.67,69.03,17.16,28804,PendingDocs,NHA
2019,IN-RJ,LGD-D-4631650,PMJAY,3006140,85.66,27477.49,20476.58,123074.67,Tiered,10096107,8.2,1272786,94177,10.52,40.93,28.37,61975,PendingDocs,IRDAI
2025,IN-CH,LGD-D-6963130,PrivateGroup,1158989,47.17,20171.56,12689.81,5305.11,Preferred,5192874,0.95,1300505,580897,9.96,13.49,7.74,217443,UnderReview,CGHS
2024,IN-TN,LGD-D-4048185,Mixed,2818171,11.5,29909.09,11082.4,28998.53,Preferred,7456952,17.56,3711028,621784,2.72,72.45,26.96,221979,Approved,ESIC
2016,IN-LD,LGD-D-2011568,PMJAY,1202397,39.19,34351.22,20087.57,95606.91,Restricted,4329953,19.85,5667742,491185,36.82,40.93,6.36,10281,Approved,NHA
2019,IN-JH,LGD-D-8695547,Mixed,3321491,75.71,1494.78,5290.32,137991.32,Open,6448112,30.97,196808,693143,4.13,5.48,18.03,42859,Rejected,IRDAI
2020,IN-KL,LGD-D-5023930,CGHS,2924310,38.96,18540.26,6141.54,129043.48,EHS_Network,2699441,9.08,4246325,609407,14.14,83.35,31.01,56046,NotApplicable,NHA
2023,IN-ML,LGD-D-6475528,StateScheme,113866,36.22,20873.44,16070.79,89491.27,Preferred,9520010,22.46,3159012,215527,53.65,37.1,22.21,172310,UnderReview,CGHS
2024,IN-KL,LGD-D-5708281,StateScheme,3302364,73.41,26338.0,19073.03,139929.34,Restricted,6126590,34.46,1143883,559078,20.73,6.61,29.05,172804,NotApplicable,IRDAI
2017,IN-AR,LGD-D-6911514,PMJAY,77901,94.21,14913.58,9129.95,135045.89,Open,11160601,23.89,3092681,52570,38.41,72.08,0.23,84180,Approved,MoHFW
2023,IN-BR,LGD-D-5107231,CGHS,933803,29.24,11540.54,7361.08,145413.43,Preferred,10212864,27.49,68733,25560,42.77,62.63,26.19,237821,PendingDocs,NIC
2022,IN-AS,LGD-D-7691843,Mixed,2054906,27.44,24579.16,19780.09,97292.11,EHS_Network,5153674,26.01,1646268,615373,43.9,84.32,26.54,70368,Approved,IRDAI
2017,IN-UK,LGD-D-4207866,Mixed,2984670,54.31,8734.93,22516.41,139219.13,Preferred,5706327,4.13,5061819,272666,14.17,35.63,3.01,239606,PendingDocs,IRDAI
2017,IN-PB,LGD-D-7295516,CommunityBased,1829359,20.5,34759.27,19952.68,106909.15,Preferred,3857944,30.13,2277769,434927,7.22,18.25,19.94,237776,Rejected,NHA
