safe_terror_reference_year,safe_terror_country_iso2,safe_terror_attack_type_code,safe_terror_attack_count,safe_terror_fatalities_count,safe_terror_injuries_count,safe_terror_arrests_count,safe_terror_plot_disrupted_count,safe_terror_radicalisation_channel_code,safe_terror_online_propaganda_takedowns_count,safe_terror_foreign_fighter_returnees_count,safe_terror_financing_case_count,safe_terror_ct_policy_measure_code,safe_terror_public_alert_level_code,safe_terror_critical_infrastructure_threat_flag,safe_terror_cross_border_cooperation_flag,safe_terror_eu_agency_dataset,safe_terror_data_source,safe_terror_revision_round,safe_terror_data_extract_date
2019,GR,SABOTAGE,6,6,55,20,3,PRISON,2047,73,13,CRITICAL_INFRA_PROTECTION,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2026-02-04
2020,LT,ARSON,8,15,38,111,8,IN_PERSON_NETWORK,99,0,60,CT_STRATEGY_UPDATE,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-28
2021,PT,EXPLOSIVE_DEVICE,6,23,77,10,24,FAMILY_PEER,2359,43,49,FINANCIAL_SANCTIONS,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-12-18
2022,SE,ATTACK_ATTEMPTED,5,4,44,18,19,TRAVEL_RELATED,4031,34,55,INTELLIGENCE_SHARING,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-11-29
2023,CY,STABBING,11,18,34,91,39,UNKNOWN,1197,41,97,ONLINE_CONTENT_ACTION,HIGH,0,0,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-12-14
2024,FR,FIREARM,2,0,15,201,9,ONLINE,6885,31,24,DERADICALISATION_PROGRAM,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-02-18
2025,IT,ATTACK_COMPLETED,8,6,17,51,33,PRISON,637,17,49,BORDER_SCREENING,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-05-31
2006,NL,VEHICLE_ATTACK,11,19,161,39,14,IN_PERSON_NETWORK,3644,14,58,CRITICAL_INFRA_PROTECTION,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-06-29
2007,SI,SABOTAGE,7,11,2,83,5,FAMILY_PEER,2432,63,33,CT_STRATEGY_UPDATE,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-12-14
2008,BG,ARSON,0,0,0,17,24,TRAVEL_RELATED,2462,0,18,FINANCIAL_SANCTIONS,HIGH,1,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-04-20
2009,EE,EXPLOSIVE_DEVICE,6,19,20,3,19,UNKNOWN,2522,46,9,INTELLIGENCE_SHARING,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2026-02-19
2010,HU,ATTACK_ATTEMPTED,8,13,51,200,23,ONLINE,5714,16,34,ONLINE_CONTENT_ACTION,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-05-23
2011,LU,STABBING,9,8,79,41,15,PRISON,3185,77,35,DERADICALISATION_PROGRAM,LOW,1,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-10-14
2012,RO,FIREARM,8,34,57,26,23,IN_PERSON_NETWORK,4127,43,13,BORDER_SCREENING,SEVERE,1,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-01-30
2013,AT,ATTACK_COMPLETED,9,10,75,84,5,FAMILY_PEER,3140,9,40,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-04-08
2014,CZ,VEHICLE_ATTACK,0,0,0,116,4,TRAVEL_RELATED,2071,46,32,CT_STRATEGY_UPDATE,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-04-17
2015,DE,SABOTAGE,0,0,0,41,25,UNKNOWN,1431,71,42,FINANCIAL_SANCTIONS,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-05-25
2016,LV,ARSON,7,6,66,205,21,ONLINE,7390,50,90,INTELLIGENCE_SHARING,LOW,1,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-04-06
2017,PL,EXPLOSIVE_DEVICE,4,10,56,68,1,PRISON,2108,72,15,ONLINE_CONTENT_ACTION,SEVERE,1,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-12-20
2018,ES,ATTACK_ATTEMPTED,5,5,16,48,15,IN_PERSON_NETWORK,261,67,5,DERADICALISATION_PROGRAM,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-08-27
2019,HR,STABBING,5,2,2,148,11,FAMILY_PEER,3741,76,23,BORDER_SCREENING,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-11-16
2020,FI,FIREARM,10,5,76,98,31,TRAVEL_RELATED,3881,33,1,CRITICAL_INFRA_PROTECTION,GUARDED,1,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-10-10
2021,IE,ATTACK_COMPLETED,11,18,52,219,12,UNKNOWN,2986,39,50,CT_STRATEGY_UPDATE,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-11-24
2022,MT,VEHICLE_ATTACK,10,19,107,192,37,ONLINE,4356,18,75,FINANCIAL_SANCTIONS,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-10-27
2023,SK,SABOTAGE,2,2,12,60,25,PRISON,2406,28,24,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2026-01-31
2024,BE,ARSON,3,0,6,1,25,IN_PERSON_NETWORK,88,29,23,ONLINE_CONTENT_ACTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-02-16
2025,DK,EXPLOSIVE_DEVICE,5,14,61,149,4,FAMILY_PEER,2990,18,52,DERADICALISATION_PROGRAM,GUARDED,1,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-07-09
2006,GR,ATTACK_ATTEMPTED,4,0,24,245,10,TRAVEL_RELATED,594,43,11,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-03-06
2007,LT,STABBING,3,0,4,238,24,UNKNOWN,840,19,58,CRITICAL_INFRA_PROTECTION,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-01-26
2008,PT,FIREARM,3,6,9,129,14,ONLINE,14522,66,56,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-25
2009,SE,ATTACK_COMPLETED,8,10,41,62,36,PRISON,2433,42,45,FINANCIAL_SANCTIONS,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-01-26
2010,CY,VEHICLE_ATTACK,0,0,0,56,25,IN_PERSON_NETWORK,1328,3,23,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-03-02
2011,FR,SABOTAGE,5,11,33,15,21,FAMILY_PEER,2928,36,8,ONLINE_CONTENT_ACTION,LOW,1,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-07-05
2012,IT,ARSON,7,2,22,75,25,TRAVEL_RELATED,2489,38,96,DERADICALISATION_PROGRAM,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-02-25
2013,NL,EXPLOSIVE_DEVICE,2,4,11,8,19,UNKNOWN,4107,9,60,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-03-05
2014,SI,ATTACK_ATTEMPTED,7,12,44,103,42,ONLINE,9301,45,19,CRITICAL_INFRA_PROTECTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-04-02
2015,BG,STABBING,7,7,48,103,19,PRISON,768,53,79,CT_STRATEGY_UPDATE,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-09-08
2016,EE,FIREARM,0,0,0,43,3,IN_PERSON_NETWORK,2972,12,33,FINANCIAL_SANCTIONS,LOW,1,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-05-21
2017,HU,ATTACK_COMPLETED,11,2,55,187,19,FAMILY_PEER,4118,58,23,INTELLIGENCE_SHARING,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-04-13
2018,LU,VEHICLE_ATTACK,2,2,9,7,14,TRAVEL_RELATED,2723,58,64,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-09-30
2019,RO,SABOTAGE,6,11,38,41,11,UNKNOWN,1941,41,56,DERADICALISATION_PROGRAM,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-01-04
2020,AT,ARSON,5,3,3,45,29,ONLINE,3776,16,50,BORDER_SCREENING,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-09-11
2021,CZ,EXPLOSIVE_DEVICE,5,19,7,213,43,PRISON,2519,7,19,CRITICAL_INFRA_PROTECTION,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-09-24
2022,DE,ATTACK_ATTEMPTED,0,0,0,55,17,IN_PERSON_NETWORK,3390,43,19,CT_STRATEGY_UPDATE,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-01-27
2023,LV,STABBING,11,8,59,247,18,FAMILY_PEER,2438,41,5,FINANCIAL_SANCTIONS,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-01-15
2024,PL,FIREARM,6,22,54,239,18,TRAVEL_RELATED,587,16,48,INTELLIGENCE_SHARING,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-07
2025,ES,ATTACK_COMPLETED,9,7,81,213,43,UNKNOWN,3965,24,44,ONLINE_CONTENT_ACTION,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-08-18
2006,HR,VEHICLE_ATTACK,3,10,9,73,33,ONLINE,10606,3,64,DERADICALISATION_PROGRAM,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-03-24
2007,FI,SABOTAGE,4,1,17,237,19,PRISON,1878,13,11,BORDER_SCREENING,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2026-01-29
2008,IE,ARSON,6,8,23,210,41,IN_PERSON_NETWORK,1926,35,29,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-05-29
2009,MT,EXPLOSIVE_DEVICE,5,0,30,215,26,FAMILY_PEER,742,4,4,CT_STRATEGY_UPDATE,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-07-26
2010,SK,ATTACK_ATTEMPTED,6,3,12,61,3,TRAVEL_RELATED,1344,43,56,FINANCIAL_SANCTIONS,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-11-28
2011,BE,STABBING,11,23,64,40,9,UNKNOWN,1174,26,90,INTELLIGENCE_SHARING,LOW,0,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-10-26
2012,DK,FIREARM,9,4,65,32,17,ONLINE,6190,5,23,ONLINE_CONTENT_ACTION,SEVERE,1,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-01-13
2013,GR,ATTACK_COMPLETED,11,17,92,108,40,PRISON,179,76,34,DERADICALISATION_PROGRAM,HIGH,1,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-11-19
2014,LT,VEHICLE_ATTACK,1,3,12,1,4,IN_PERSON_NETWORK,2123,21,56,BORDER_SCREENING,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-05-23
2015,PT,SABOTAGE,9,19,29,103,17,FAMILY_PEER,270,44,80,CRITICAL_INFRA_PROTECTION,GUARDED,1,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-12-09
2016,SE,ARSON,1,1,8,216,9,TRAVEL_RELATED,457,1,67,CT_STRATEGY_UPDATE,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-01-31
2017,CY,EXPLOSIVE_DEVICE,5,15,54,86,34,UNKNOWN,1124,10,56,FINANCIAL_SANCTIONS,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-12-28
2018,FR,ATTACK_ATTEMPTED,10,12,59,187,43,ONLINE,7358,31,32,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-11-27
2019,IT,STABBING,9,19,60,26,4,PRISON,2081,75,15,ONLINE_CONTENT_ACTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-06-07
2020,NL,FIREARM,9,16,67,187,23,IN_PERSON_NETWORK,558,47,2,DERADICALISATION_PROGRAM,GUARDED,1,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-01-06
2021,SI,ATTACK_COMPLETED,0,0,0,145,35,FAMILY_PEER,2339,38,13,BORDER_SCREENING,LOW,0,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-04-27
2022,BG,VEHICLE_ATTACK,2,3,12,188,20,TRAVEL_RELATED,2206,40,48,CRITICAL_INFRA_PROTECTION,SEVERE,1,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-05-17
2023,EE,SABOTAGE,9,0,46,206,28,UNKNOWN,3702,43,24,CT_STRATEGY_UPDATE,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-06-17
2024,HU,ARSON,7,6,47,93,36,ONLINE,14503,37,28,FINANCIAL_SANCTIONS,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-11-21
2025,LU,EXPLOSIVE_DEVICE,11,25,86,7,24,PRISON,906,24,8,INTELLIGENCE_SHARING,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-11-17
2006,RO,ATTACK_ATTEMPTED,1,1,3,1,13,IN_PERSON_NETWORK,3650,37,65,ONLINE_CONTENT_ACTION,LOW,0,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-01-27
2007,AT,STABBING,1,0,3,137,2,FAMILY_PEER,788,34,51,DERADICALISATION_PROGRAM,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-09-10
2008,CZ,FIREARM,11,27,42,181,7,TRAVEL_RELATED,3507,17,59,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-08-29
2009,DE,ATTACK_COMPLETED,7,0,33,89,19,UNKNOWN,3427,61,24,CRITICAL_INFRA_PROTECTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-02-19
2010,LV,VEHICLE_ATTACK,0,0,0,27,14,ONLINE,10685,24,44,CT_STRATEGY_UPDATE,GUARDED,1,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-03-18
2011,PL,SABOTAGE,0,0,0,52,29,PRISON,2803,1,88,FINANCIAL_SANCTIONS,LOW,0,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-06-15
2012,ES,ARSON,11,23,50,27,7,IN_PERSON_NETWORK,3437,54,33,INTELLIGENCE_SHARING,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-02-18
2013,HR,EXPLOSIVE_DEVICE,11,38,137,119,10,FAMILY_PEER,1284,76,77,ONLINE_CONTENT_ACTION,HIGH,1,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-07-29
2014,FI,ATTACK_ATTEMPTED,1,0,0,208,8,TRAVEL_RELATED,3590,19,1,DERADICALISATION_PROGRAM,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-05-02
2015,IE,STABBING,5,0,45,84,27,UNKNOWN,83,5,64,BORDER_SCREENING,GUARDED,1,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-05-30
2016,MT,FIREARM,2,0,8,26,16,ONLINE,1587,6,17,CRITICAL_INFRA_PROTECTION,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-01-22
2017,SK,ATTACK_COMPLETED,4,1,34,215,16,PRISON,169,25,20,CT_STRATEGY_UPDATE,SEVERE,1,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-10-25
2018,BE,VEHICLE_ATTACK,1,4,0,224,7,IN_PERSON_NETWORK,204,15,76,FINANCIAL_SANCTIONS,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2024-02-26
2019,DK,SABOTAGE,0,0,0,2,9,FAMILY_PEER,342,7,34,INTELLIGENCE_SHARING,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-01-28
2020,GR,ARSON,10,2,33,76,8,TRAVEL_RELATED,2294,38,13,ONLINE_CONTENT_ACTION,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-04-19
2021,LT,EXPLOSIVE_DEVICE,3,11,10,141,42,UNKNOWN,707,1,37,DERADICALISATION_PROGRAM,LOW,1,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-11-21
2022,PT,ATTACK_ATTEMPTED,11,7,12,27,11,ONLINE,13181,21,53,BORDER_SCREENING,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2025-09-22
2023,SE,STABBING,5,9,45,132,17,PRISON,1401,32,67,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-01-29
2024,CY,FIREARM,8,6,10,221,17,IN_PERSON_NETWORK,3287,16,41,CT_STRATEGY_UPDATE,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-08-02
2025,FR,ATTACK_COMPLETED,2,1,11,211,24,FAMILY_PEER,220,5,22,FINANCIAL_SANCTIONS,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-09-16
2006,IT,VEHICLE_ATTACK,3,11,17,219,37,TRAVEL_RELATED,2327,1,56,INTELLIGENCE_SHARING,LOW,0,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-11-18
2007,NL,SABOTAGE,3,6,6,97,37,UNKNOWN,1232,68,67,ONLINE_CONTENT_ACTION,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-04-25
2008,SI,ARSON,6,1,16,84,35,ONLINE,13629,64,33,DERADICALISATION_PROGRAM,HIGH,0,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-05-03
2009,BG,EXPLOSIVE_DEVICE,10,40,81,188,41,PRISON,2385,36,6,BORDER_SCREENING,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2026-01-29
2010,EE,ATTACK_ATTEMPTED,2,3,7,34,24,IN_PERSON_NETWORK,2560,10,30,CRITICAL_INFRA_PROTECTION,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-03-01
2011,HU,STABBING,9,11,44,115,3,FAMILY_PEER,2965,66,28,CT_STRATEGY_UPDATE,LOW,0,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-04-08
2012,LU,FIREARM,9,29,27,149,15,TRAVEL_RELATED,263,76,17,FINANCIAL_SANCTIONS,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-09-05
2013,RO,ATTACK_COMPLETED,10,15,30,136,29,UNKNOWN,3739,44,39,INTELLIGENCE_SHARING,HIGH,1,0,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-12-26
2014,AT,VEHICLE_ATTACK,11,1,35,154,42,ONLINE,7724,22,37,ONLINE_CONTENT_ACTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-07-13
2015,CZ,SABOTAGE,7,14,56,44,29,PRISON,2667,54,12,DERADICALISATION_PROGRAM,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-02-06
2016,DE,ARSON,10,11,72,152,27,IN_PERSON_NETWORK,4052,35,67,BORDER_SCREENING,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-09-15
2017,LV,EXPLOSIVE_DEVICE,8,26,63,232,0,FAMILY_PEER,289,72,3,CRITICAL_INFRA_PROTECTION,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2025-03-10
2018,PL,ATTACK_ATTEMPTED,4,8,22,224,27,TRAVEL_RELATED,3302,28,8,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-04-01
2019,ES,STABBING,10,20,44,219,5,UNKNOWN,876,56,45,FINANCIAL_SANCTIONS,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-05-22
2020,HR,FIREARM,11,7,89,190,2,ONLINE,6528,57,50,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-10-19
2021,FI,ATTACK_COMPLETED,2,2,6,84,2,PRISON,3499,11,32,ONLINE_CONTENT_ACTION,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-03-09
2022,IE,VEHICLE_ATTACK,9,5,45,158,27,IN_PERSON_NETWORK,258,41,6,DERADICALISATION_PROGRAM,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-02-13
2023,MT,SABOTAGE,9,12,56,240,9,FAMILY_PEER,3553,36,51,BORDER_SCREENING,HIGH,0,0,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-09-23
2024,SK,ARSON,0,0,0,130,14,TRAVEL_RELATED,3076,6,20,CRITICAL_INFRA_PROTECTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-08-18
2025,BE,EXPLOSIVE_DEVICE,8,27,51,35,13,UNKNOWN,1550,36,40,CT_STRATEGY_UPDATE,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-12-27
