tax_env_reference_year,tax_env_country_iso2,tax_env_tax_type_code,tax_env_tax_base_unit,tax_env_tax_rate_value,tax_env_tax_revenue_eur,tax_env_tax_revenue_pct_gdp,tax_env_ets_auction_revenue_eur,tax_env_ets_allowances_auctioned_count,tax_env_cbam_revenue_eur,tax_env_energy_tax_revenue_eur,tax_env_transport_tax_revenue_eur,tax_env_pollution_tax_revenue_eur,tax_env_resource_tax_revenue_eur,tax_env_revenue_recycled_to_households_flag,tax_env_green_budget_tagging_flag,tax_env_fossil_fuel_subsidy_eur,tax_env_policy_reference_fit55_flag,tax_env_data_source,tax_env_data_extract_date
2020,SK,ENERGY,EUR_PER_TCO2,76.6141,68969469.69,0.0809,2318256578.57,592088,156980272.5,18505193.32,4164891.52,8757572.57,37541812.28,0,1,7252610816.14,1,NATIONAL_ENV_MINISTRY,2025-04-17
2021,BE,POLLUTION,EUR_PER_MWH,59.3401,54778487.18,0.0623,1857990369.36,664498,164317306.57,7807196.78,3090156.14,7996219.39,35884914.87,0,1,1510869139.33,1,BUDGET_REPORTING,2025-10-31
2022,DK,CARBON,EUR_PER_LITRE,62.1148,72521832.03,0.0792,819481265.64,647690,114812286.81,21716059.34,5716719.77,6864026.85,38225026.07,0,0,2983977051.24,1,EUROSTAT_ENV_TAX,2025-04-06
2023,GR,TRANSPORT,EUR_PER_TONNE,48.802,32270074.52,0.0344,392149767.8,663159,76951005.21,4030429.53,12247610.09,3970818.44,12021216.46,0,1,334626588.52,1,ETS_AUCTION_PLATFORM,2025-06-27
2024,LT,RESOURCE,EUR_PER_VEHICLE,153.109,338063140.05,0.348,2311317013.09,795247,577575891.97,67810749.25,38032149.73,25215328.5,207004912.57,1,1,1303209628.8,1,NATIONAL_ENV_MINISTRY,2024-05-22
2025,PT,ENERGY,EUR_PER_TCO2,6.7176,10485789.1,0.0105,1192745537.33,824945,794034273.47,4167306.23,1363235.54,379538.32,4575709.01,1,0,2518258066.02,1,BUDGET_REPORTING,2025-04-06
2026,SE,POLLUTION,EUR_PER_MWH,12.1123,13465139.97,0.0132,2340012080.39,846439,360175582.33,3098810.16,755472.81,2344732.35,7266124.65,1,1,6838076440.1,0,EUROSTAT_ENV_TAX,2024-05-03
2010,CY,CARBON,EUR_PER_LITRE,159.7233,259263607.49,0.2487,3255156765.22,945540,21558335.42,125258228.85,29418139.82,30711167.58,73876071.24,0,0,3376362070.95,0,ETS_AUCTION_PLATFORM,2025-06-01
2011,FR,TRANSPORT,EUR_PER_TONNE,24.6196,9153886.47,0.0085,939050886.79,857573,15835681.52,2085485.23,3491647.39,625876.85,2950877.0,0,0,1976572708.52,0,NATIONAL_ENV_MINISTRY,2025-02-04
2012,IT,RESOURCE,EUR_PER_VEHICLE,103.945,6819793.74,0.0062,806248747.16,1052172,65114772.03,1579532.92,1144620.26,886810.0,3208830.56,1,1,955510594.1,1,BUDGET_REPORTING,2024-05-11
2013,NL,ENERGY,EUR_PER_TCO2,162.0904,78961700.95,0.0709,2206984826.08,979425,123090150.27,36218364.58,7922281.01,3402784.32,31418271.04,0,0,5803467842.77,0,EUROSTAT_ENV_TAX,2026-01-14
2014,SI,POLLUTION,EUR_PER_MWH,40.4368,4090925.62,0.0036,2596241646.3,1057965,91765906.5,303885.78,689225.82,1329242.85,1768571.17,0,0,2552565059.65,0,ETS_AUCTION_PLATFORM,2024-08-20
2015,BG,CARBON,EUR_PER_LITRE,46.2592,33569245.35,0.0285,1929137222.38,994017,163083569.18,15299178.22,6613643.28,4384512.0,7271911.85,0,0,673401570.99,1,NATIONAL_ENV_MINISTRY,2024-05-26
2016,EE,TRANSPORT,EUR_PER_TONNE,179.7786,294818721.47,0.2451,2078290242.14,1177708,88351471.6,20648786.35,108199259.69,34601581.18,131369094.25,1,1,7021003552.33,0,BUDGET_REPORTING,2025-06-21
2017,HU,RESOURCE,EUR_PER_VEHICLE,20.18,9059214.82,0.0074,3087086405.88,1214579,41719004.52,1408847.73,822266.23,1022976.4,5805124.46,1,1,4374072046.23,0,EUROSTAT_ENV_TAX,2025-11-25
2018,LU,ENERGY,EUR_PER_TCO2,52.6183,73510732.18,0.0588,473800368.47,1104993,193196731.79,34252660.84,6744342.69,4434276.33,28079452.32,1,0,2732080108.9,0,ETS_AUCTION_PLATFORM,2025-06-15
2019,RO,POLLUTION,EUR_PER_MWH,168.9999,99279167.49,0.0777,476055613.61,1151501,5631220.14,14318228.75,18699769.08,34684551.02,31576618.64,1,0,3321340178.44,0,NATIONAL_ENV_MINISTRY,2025-10-12
2020,AT,CARBON,EUR_PER_LITRE,87.9538,13952802.0,0.0108,3082228369.55,1185689,106989976.79,6459463.63,2077843.88,884215.84,4531278.65,1,1,85921343.23,1,BUDGET_REPORTING,2026-01-09
2021,CZ,TRANSPORT,EUR_PER_TONNE,20.4861,17241963.14,0.013,331326464.59,1293589,168656356.92,3108884.98,1986190.64,442790.29,11704097.23,0,1,6301707886.05,1,EUROSTAT_ENV_TAX,2024-02-22
2022,DE,RESOURCE,EUR_PER_VEHICLE,123.5594,9211823.94,0.0068,2516601772.39,1314437,209681001.55,1092406.5,1489811.46,660469.2,5969136.78,0,0,5680636240.67,1,ETS_AUCTION_PLATFORM,2024-10-02
2023,LV,ENERGY,EUR_PER_TCO2,170.2951,55232679.02,0.0398,1129741140.98,1458566,67867998.55,14302496.13,4758763.59,3988865.04,32182554.26,1,0,2176251812.1,1,NATIONAL_ENV_MINISTRY,2024-08-20
2024,PL,POLLUTION,EUR_PER_MWH,87.1869,35568790.89,0.0252,115291087.22,1498883,826042273.7,5615740.55,6648746.25,7619170.66,15685133.43,0,0,1273917870.97,0,BUDGET_REPORTING,2024-09-29
2025,ES,CARBON,EUR_PER_LITRE,147.5221,43800125.69,0.0306,556010249.27,1401644,310627835.44,15429652.0,4678242.53,3123661.2,20568569.96,0,1,2593967866.0,1,EUROSTAT_ENV_TAX,2025-09-13
2026,HR,TRANSPORT,EUR_PER_TONNE,174.6515,126638668.93,0.0869,2284757502.39,1532899,168475368.32,30517493.36,31101036.14,11116941.39,53903198.04,1,1,4108115406.64,0,ETS_AUCTION_PLATFORM,2024-05-13
2010,FI,RESOURCE,EUR_PER_VEHICLE,115.7003,132074268.21,0.0889,1433781799.55,1588061,7595142.53,21707215.7,12155941.82,6956769.43,91254341.26,0,1,487169860.23,0,NATIONAL_ENV_MINISTRY,2025-05-20
2011,IE,ENERGY,EUR_PER_TCO2,13.857,9790486.0,0.0065,4508241645.72,1570631,198859718.68,4136463.12,1606254.15,588255.44,3459513.29,0,1,4166551249.23,0,BUDGET_REPORTING,2024-08-09
2012,MT,POLLUTION,EUR_PER_MWH,149.5646,49403267.37,0.0323,3180288991.06,1699265,156159560.64,10012723.43,6463521.71,17258516.25,15668505.98,1,1,577847039.45,0,EUROSTAT_ENV_TAX,2024-03-08
2013,SK,CARBON,EUR_PER_LITRE,175.8832,70305490.34,0.0452,679988338.75,1591712,61768569.73,39187252.74,7111716.84,8704226.82,15302293.94,1,1,1214884203.79,0,ETS_AUCTION_PLATFORM,2024-05-04
2014,BE,TRANSPORT,EUR_PER_TONNE,105.0324,135414757.44,0.0857,852369161.49,1812085,140208810.89,22086617.63,29496148.93,3510829.72,80321161.16,1,1,2259884785.37,0,NATIONAL_ENV_MINISTRY,2025-04-09
2015,DK,RESOURCE,EUR_PER_VEHICLE,23.9193,50959712.71,0.0317,3432067955.78,1794633,51141081.85,11988805.11,8038762.11,5809911.33,25122234.16,1,1,3308517440.18,0,BUDGET_REPORTING,2025-11-23
2016,GR,ENERGY,EUR_PER_TCO2,107.8312,184210465.28,0.1125,850869908.75,1792561,64619556.32,89929521.75,29789297.42,8729643.28,55762002.83,0,1,6831185652.74,0,EUROSTAT_ENV_TAX,2024-10-17
2017,LT,POLLUTION,EUR_PER_MWH,143.1361,2698407.59,0.0016,1455446217.54,1745782,152262197.3,497006.44,172688.04,607857.39,1420855.72,0,1,3416305170.23,0,ETS_AUCTION_PLATFORM,2025-03-13
2018,PT,CARBON,EUR_PER_LITRE,3.595,29927.18,0.0,3815792283.46,1933216,208785289.57,7854.69,2829.24,2002.23,17241.02,0,0,2480798641.23,0,NATIONAL_ENV_MINISTRY,2025-05-26
2019,SE,TRANSPORT,EUR_PER_TONNE,161.9768,253132048.36,0.1473,1607669268.12,1830586,21939045.81,24617229.47,86178815.34,23740994.7,118595008.85,1,1,684276875.15,0,BUDGET_REPORTING,2025-05-10
2020,CY,RESOURCE,EUR_PER_VEHICLE,1.6852,616287.26,0.0004,109870620.16,1939460,140467525.23,142234.46,91585.36,20108.67,362358.77,0,0,2880572672.2,1,EUROSTAT_ENV_TAX,2026-02-08
2021,FR,ENERGY,EUR_PER_TCO2,101.78,8493723.81,0.0048,1410114236.04,2013974,167571991.6,4829377.01,1515331.08,941083.76,1207931.96,0,1,1484832267.63,0,ETS_AUCTION_PLATFORM,2025-03-09
2022,IT,POLLUTION,EUR_PER_MWH,82.8215,80403726.95,0.045,854927870.16,2108024,1683709.5,19708701.57,12731707.34,23814656.04,24148662.0,0,1,3086810581.28,1,NATIONAL_ENV_MINISTRY,2024-06-26
2023,NL,CARBON,EUR_PER_LITRE,5.978,1810741.05,0.001,211245853.08,2081081,727543574.51,824785.37,357461.74,47080.8,581413.14,1,1,935956425.01,1,BUDGET_REPORTING,2025-12-20
2024,SI,TRANSPORT,EUR_PER_TONNE,71.238,50490206.5,0.0274,276578017.06,2049897,427288980.72,10639495.82,5300132.34,1364305.69,33186272.65,0,1,853536900.15,1,EUROSTAT_ENV_TAX,2024-01-22
2025,BG,RESOURCE,EUR_PER_VEHICLE,97.4712,135425614.88,0.0724,3823212922.17,2235246,738285326.38,14787289.59,23312669.64,11448415.27,85877240.38,1,1,266904020.06,0,ETS_AUCTION_PLATFORM,2025-12-04
2026,EE,ENERGY,EUR_PER_TCO2,135.4171,225480792.37,0.1191,1991543548.49,2246556,565814585.85,90911712.55,32986059.21,9834070.97,91748949.64,1,0,7354956295.34,1,NATIONAL_ENV_MINISTRY,2024-05-01
2010,HU,POLLUTION,EUR_PER_MWH,144.8106,152875897.16,0.0791,2947908954.17,2234919,117141020.74,34948434.3,28188815.36,21325203.51,68413443.99,0,0,1075675198.37,0,BUDGET_REPORTING,2025-08-20
2011,LU,CARBON,EUR_PER_LITRE,16.0302,5452483.53,0.0028,425803461.47,2303507,137831190.42,3486988.28,272688.37,180599.16,1512207.72,1,0,3209847098.68,0,EUROSTAT_ENV_TAX,2024-04-30
2012,RO,TRANSPORT,EUR_PER_TONNE,74.2299,10581957.66,0.0054,296105348.49,2245523,92654573.13,1180351.26,3779740.46,337907.84,5283958.1,1,1,4050976084.45,0,ETS_AUCTION_PLATFORM,2024-08-22
2013,AT,RESOURCE,EUR_PER_VEHICLE,103.4108,120097069.41,0.06,1247475658.11,2372415,151647021.98,20013753.09,10238591.63,3718734.66,86125990.03,1,1,1803637701.41,0,NATIONAL_ENV_MINISTRY,2026-02-18
2014,CZ,ENERGY,EUR_PER_TCO2,3.6698,2132973.36,0.001,1713786728.28,2317190,113629214.76,976606.47,381033.8,278457.7,496875.39,0,1,1188405074.62,0,BUDGET_REPORTING,2025-10-13
2015,DE,POLLUTION,EUR_PER_MWH,6.4268,3170140.31,0.0015,4784406893.42,2381334,192141904.82,682928.1,189882.57,965465.56,1331864.08,1,1,4322997262.19,0,EUROSTAT_ENV_TAX,2025-01-18
2016,LV,CARBON,EUR_PER_LITRE,115.3058,20710207.91,0.0099,598383459.19,2555084,32176942.12,8237794.25,2959329.0,1087022.81,8426061.85,0,1,3937863790.86,0,ETS_AUCTION_PLATFORM,2025-10-17
2017,PL,TRANSPORT,EUR_PER_TONNE,165.332,38062110.13,0.0181,4059221821.04,2616208,22265570.25,5623014.66,3911104.34,4861543.59,23666447.54,1,0,1288838470.74,1,NATIONAL_ENV_MINISTRY,2025-01-29
2018,ES,RESOURCE,EUR_PER_VEHICLE,169.752,232486720.92,0.1092,1719617764.54,2601012,157006002.25,23256821.86,35418532.74,4790202.72,169021163.6,0,1,4320773162.35,0,BUDGET_REPORTING,2025-04-05
2019,HR,ENERGY,EUR_PER_TCO2,76.1595,49842517.78,0.0231,346128137.38,2602523,168652739.87,28332005.26,8374387.4,6844138.26,6291986.86,1,1,3276535112.02,0,EUROSTAT_ENV_TAX,2024-02-05
2020,FI,POLLUTION,EUR_PER_MWH,5.3104,9557678.66,0.0044,2248745509.27,2675348,96785119.32,1087844.77,1403533.21,3244561.98,3821738.7,0,0,862603528.06,1,ETS_AUCTION_PLATFORM,2024-10-24
2021,IE,CARBON,EUR_PER_LITRE,82.86,46867127.2,0.0212,1877892064.17,2621003,37456104.93,12505695.36,6778169.12,1898038.26,25685224.46,1,1,2642020020.66,1,NATIONAL_ENV_MINISTRY,2025-05-16
2022,MT,TRANSPORT,EUR_PER_TONNE,130.9484,89917342.02,0.0401,138535871.44,2744997,109194888.67,9301960.87,22531933.76,4919895.87,53163551.52,0,0,323048790.47,1,BUDGET_REPORTING,2024-11-25
2023,SK,RESOURCE,EUR_PER_VEHICLE,112.3189,204931130.25,0.0905,1767410003.27,2796039,26482465.7,15952275.07,34723255.96,22212065.58,132043533.64,0,1,5227287223.5,1,EUROSTAT_ENV_TAX,2024-04-16
2024,BE,ENERGY,EUR_PER_TCO2,16.5018,5159114.93,0.0023,3124740033.63,2848027,649406059.22,1391052.15,870266.27,586469.49,2311327.02,1,1,1490013223.65,1,ETS_AUCTION_PLATFORM,2025-06-15
2025,DK,POLLUTION,EUR_PER_MWH,43.1584,73945024.37,0.032,367661183.12,2877811,653372408.63,12366432.62,8728467.75,9041612.22,43808511.78,0,1,3286504624.66,1,NATIONAL_ENV_MINISTRY,2024-06-04
2026,GR,CARBON,EUR_PER_LITRE,118.9235,133261675.86,0.0567,1976705280.31,2951970,443195235.56,49101502.1,10100926.31,17834962.21,56224285.24,0,1,2835668409.76,0,BUDGET_REPORTING,2024-02-13
2010,LT,TRANSPORT,EUR_PER_TONNE,165.9279,44430079.48,0.0188,2045670032.37,2973933,169059932.95,9721098.2,13963743.89,1619271.35,19125966.04,1,0,4576500426.9,0,EUROSTAT_ENV_TAX,2024-10-20
2011,PT,RESOURCE,EUR_PER_VEHICLE,116.5789,109416891.64,0.0457,1472093209.33,2965844,130951613.92,19485765.76,5556134.01,3067355.24,81307636.63,1,1,885632137.2,1,ETS_AUCTION_PLATFORM,2024-09-29
2012,SE,ENERGY,EUR_PER_TCO2,35.8856,31889204.99,0.0132,2319001317.89,3016951,138682300.43,8136282.02,4739790.6,1206100.39,17807031.98,1,0,1801389513.5,0,NATIONAL_ENV_MINISTRY,2024-07-28
2013,CY,POLLUTION,EUR_PER_MWH,138.6377,61608819.2,0.0251,3986187567.35,3113531,4499584.16,14079187.11,8168574.64,18992144.64,20368912.81,1,1,4750870658.73,0,BUDGET_REPORTING,2024-03-25
2014,FR,CARBON,EUR_PER_LITRE,104.5228,79342775.29,0.0322,249546730.87,3019058,196071831.09,35720918.79,6444928.43,3824525.36,33352402.71,1,1,2793585019.38,1,EUROSTAT_ENV_TAX,2024-11-18
2015,IT,TRANSPORT,EUR_PER_TONNE,25.3666,14248069.43,0.0057,4133079141.52,3102922,90824559.78,2583776.91,5249007.87,1689591.8,4725692.85,0,1,5402016312.33,0,ETS_AUCTION_PLATFORM,2024-01-22
2016,NL,RESOURCE,EUR_PER_VEHICLE,62.2055,2541054.42,0.001,3028516258.92,3077483,212438288.15,575885.25,213206.83,287883.5,1464078.84,0,0,302613373.79,0,NATIONAL_ENV_MINISTRY,2026-01-03
2017,SI,ENERGY,EUR_PER_TCO2,139.9987,40123437.75,0.0158,799601989.48,3136295,107587498.25,17239984.23,5270075.72,4914413.35,12698964.45,0,1,861710731.01,0,BUDGET_REPORTING,2024-08-07
2018,BG,POLLUTION,EUR_PER_MWH,152.4514,29932474.44,0.0116,756746146.26,3236194,87369468.41,6810211.8,5720061.18,9739895.8,7662305.66,0,0,3993994898.49,0,EUROSTAT_ENV_TAX,2024-09-24
2019,EE,CARBON,EUR_PER_LITRE,88.0267,19820635.48,0.0076,2805223437.03,3313361,117517431.4,9623339.38,1901847.31,1106397.61,7189051.18,1,1,5404219853.11,0,ETS_AUCTION_PLATFORM,2025-09-05
2020,HU,TRANSPORT,EUR_PER_TONNE,8.755,18054890.99,0.0069,499852658.7,3413633,34405866.22,3334815.81,4423768.52,1921465.82,8374840.84,0,0,1618084095.38,0,NATIONAL_ENV_MINISTRY,2025-10-16
2021,LU,RESOURCE,EUR_PER_VEHICLE,73.6969,151709569.03,0.0571,886684960.77,3282644,22629024.24,22455852.14,16067312.49,8476086.78,104710317.62,0,1,1222929764.98,0,BUDGET_REPORTING,2025-01-30
2022,RO,ENERGY,EUR_PER_TCO2,165.3011,118416246.85,0.0443,372874805.85,3478662,117522695.11,38161590.82,19999161.01,13471596.18,46783898.84,1,1,2878864456.87,0,EUROSTAT_ENV_TAX,2025-11-25
2023,AT,POLLUTION,EUR_PER_MWH,95.8909,191745317.2,0.0709,171868386.0,3353569,33043101.32,36173164.65,36524441.54,62923396.02,56124314.99,0,0,4305444402.82,1,ETS_AUCTION_PLATFORM,2025-12-28
2024,CZ,CARBON,EUR_PER_LITRE,42.0672,7822586.87,0.0029,279054525.1,3513211,304202102.06,4222614.85,1157012.52,602902.89,1840056.61,0,1,2174646578.55,1,NATIONAL_ENV_MINISTRY,2024-02-11
2025,DE,TRANSPORT,EUR_PER_TONNE,163.1415,64654618.08,0.0235,2523709048.82,3582610,113449651.84,8036900.01,22942082.11,4482192.79,29193443.17,0,0,747863060.13,1,BUDGET_REPORTING,2024-01-30
2026,LV,RESOURCE,EUR_PER_VEHICLE,99.9915,136739479.68,0.0491,1953202011.41,3650535,791592919.54,23434653.66,25008022.86,5831536.7,82465266.46,0,0,3557539424.89,1,EUROSTAT_ENV_TAX,2024-02-10
2010,PL,ENERGY,EUR_PER_TCO2,110.707,44182675.67,0.0157,3624909902.51,3636966,175211780.11,15158407.34,3658320.54,2574731.06,22791216.73,0,1,1462763206.71,0,ETS_AUCTION_PLATFORM,2024-04-22
2011,ES,POLLUTION,EUR_PER_MWH,104.6552,14365184.52,0.0051,1321696221.91,3573669,200354569.58,2029271.31,2144839.41,4258532.04,5932541.76,1,1,4614091001.13,0,NATIONAL_ENV_MINISTRY,2024-01-02
2012,HR,CARBON,EUR_PER_LITRE,111.6426,14848391.66,0.0052,3368877844.45,3694813,175814689.94,4703059.33,1802957.3,1645342.62,6697032.41,1,1,2500951297.0,0,BUDGET_REPORTING,2024-12-01
2013,FI,TRANSPORT,EUR_PER_TONNE,51.7078,16431611.53,0.0057,3328151653.72,3814104,24216072.19,3501500.63,6639888.19,2447631.95,3842590.76,1,1,3198920334.79,0,EUROSTAT_ENV_TAX,2024-01-13
2014,IE,RESOURCE,EUR_PER_VEHICLE,22.1105,32320274.05,0.0111,3089240545.8,3689012,112359816.43,3185437.15,5089092.49,1297812.03,22747932.38,0,0,7462090776.69,0,ETS_AUCTION_PLATFORM,2025-09-02
2015,MT,ENERGY,EUR_PER_TCO2,74.6605,75085550.31,0.0256,119001772.46,3703458,141896323.75,38270203.98,12493618.54,8702602.24,15619125.55,0,1,2392395810.12,0,NATIONAL_ENV_MINISTRY,2025-02-19
2016,SK,POLLUTION,EUR_PER_MWH,102.944,202041720.65,0.068,3981690427.79,3762658,205040661.79,30964140.58,32096319.31,48456396.03,90524864.73,1,1,4812469356.82,0,BUDGET_REPORTING,2024-12-08
2017,BE,CARBON,EUR_PER_LITRE,138.7318,31144206.81,0.0104,2539467130.32,3847157,168798863.62,10243168.8,3144785.85,2521989.43,15234262.73,0,1,1165311059.75,0,EUROSTAT_ENV_TAX,2026-02-20
2018,DK,TRANSPORT,EUR_PER_TONNE,170.9843,134185284.24,0.0445,1733919658.54,3976804,181061462.92,31986704.89,17929277.21,11794641.67,72474660.47,0,1,70132825.4,0,ETS_AUCTION_PLATFORM,2024-11-25
2019,GR,RESOURCE,EUR_PER_VEHICLE,75.8499,37136772.59,0.0122,3774517847.7,3973912,76996962.45,4277587.14,1923564.78,1922674.11,29012946.56,0,0,4360517599.41,0,NATIONAL_ENV_MINISTRY,2024-09-13
2020,LT,ENERGY,EUR_PER_TCO2,121.4783,86746622.98,0.0283,2687784447.22,4064009,165182821.59,32094581.19,16596343.94,12030624.73,26025073.12,0,0,1076437307.7,1,BUDGET_REPORTING,2025-02-23
2021,PT,POLLUTION,EUR_PER_MWH,111.6464,105630858.1,0.0342,1144657566.2,4008455,64494543.87,13976310.07,7002370.93,13932272.77,70719904.33,0,1,3794906497.76,1,EUROSTAT_ENV_TAX,2024-07-10
2022,SE,CARBON,EUR_PER_LITRE,147.9437,122645211.29,0.0393,364014932.63,4039832,182788446.84,48777227.43,11813929.11,7256290.4,54797764.35,0,1,4793493031.04,1,ETS_AUCTION_PLATFORM,2025-01-13
2023,CY,TRANSPORT,EUR_PER_TONNE,28.814,12298724.58,0.0039,65019422.1,4129423,196976347.1,2201736.69,3869531.14,383043.92,5844412.83,0,1,3082695894.55,0,NATIONAL_ENV_MINISTRY,2024-12-13
2024,FR,RESOURCE,EUR_PER_VEHICLE,154.9264,40116204.36,0.0126,747850349.05,4177535,467116599.8,4768042.14,5257174.87,945441.25,29145546.1,0,1,1732187956.24,1,BUDGET_REPORTING,2024-04-20
2025,IT,ENERGY,EUR_PER_TCO2,130.5858,315820186.76,0.0987,2316594933.13,4185960,144430765.2,119307610.85,32833724.74,46821842.61,116857008.56,0,0,5567528574.33,0,EUROSTAT_ENV_TAX,2025-06-01
2026,NL,POLLUTION,EUR_PER_MWH,103.6229,146055915.37,0.0452,1833901804.02,4243957,187627482.18,29507455.07,11899396.99,29956408.26,74692655.05,0,1,2740290571.2,1,ETS_AUCTION_PLATFORM,2025-08-21
2010,SI,CARBON,EUR_PER_LITRE,105.873,14724831.35,0.0045,1396048109.66,4276346,30817189.81,7392464.12,2325404.21,1217336.54,3789626.48,0,1,1783133752.65,0,NATIONAL_ENV_MINISTRY,2025-12-09
2011,BG,TRANSPORT,EUR_PER_TONNE,94.7917,6550128.28,0.002,3166627275.6,4394392,71308199.72,1413617.28,1098746.8,386407.45,3651356.75,0,1,5978170865.76,1,BUDGET_REPORTING,2025-11-03
2012,EE,RESOURCE,EUR_PER_VEHICLE,145.4534,102704358.67,0.031,1932259083.18,4410881,15979719.07,18252352.79,10188689.92,7258142.0,67005173.96,0,0,762617869.19,0,EUROSTAT_ENV_TAX,2025-12-23
2013,HU,ENERGY,EUR_PER_TCO2,76.4676,2540763.45,0.0008,1629630897.17,4360028,180751746.14,1365612.25,340707.22,51475.06,782968.92,0,1,3969157012.62,1,ETS_AUCTION_PLATFORM,2024-05-22
2014,LU,POLLUTION,EUR_PER_MWH,142.4091,122933026.9,0.0366,2155578511.66,4444649,80134748.28,15905070.09,21903529.08,34412537.64,50711890.09,0,0,2599344271.06,0,NATIONAL_ENV_MINISTRY,2024-11-13
2015,RO,CARBON,EUR_PER_LITRE,133.3473,69163227.39,0.0205,1378497119.36,4442035,55281539.4,41821629.65,6042735.65,7154682.33,14144179.76,0,0,883876052.48,0,BUDGET_REPORTING,2024-05-26
2016,AT,TRANSPORT,EUR_PER_TONNE,30.3987,4869972.13,0.0014,2246886506.14,4502729,123935241.41,508294.68,769828.02,501996.79,3089852.64,1,1,304880541.22,0,EUROSTAT_ENV_TAX,2024-06-15
2017,CZ,RESOURCE,EUR_PER_VEHICLE,121.9487,78523533.34,0.0228,2081871169.96,4513136,31736148.94,17640077.25,7942804.37,9437384.37,43503267.35,1,0,2472413872.37,0,ETS_AUCTION_PLATFORM,2024-06-26
2018,DE,ENERGY,EUR_PER_TCO2,139.2416,209170254.03,0.0605,140642792.38,4559196,12387433.48,63793199.1,39204620.77,4668763.34,101503670.82,0,0,2474586743.74,0,NATIONAL_ENV_MINISTRY,2024-03-23
2019,LV,POLLUTION,EUR_PER_MWH,136.6194,161545848.57,0.0463,4938020180.66,4667716,39948925.68,22330779.04,14636755.87,27200316.69,97377996.97,1,1,3834116320.15,1,BUDGET_REPORTING,2025-12-22
2020,PL,CARBON,EUR_PER_LITRE,166.1928,173985808.32,0.0496,3210282115.34,4602456,169557080.36,105276759.29,12786691.57,15576363.34,40345994.12,0,0,53053294.85,1,EUROSTAT_ENV_TAX,2024-03-25
2021,ES,TRANSPORT,EUR_PER_TONNE,93.5495,91258317.89,0.0258,1259439729.28,4756202,204617364.71,20085635.6,11008170.19,4902876.72,55261635.38,0,1,3283954580.44,0,ETS_AUCTION_PLATFORM,2025-05-22
2022,HR,RESOURCE,EUR_PER_VEHICLE,136.9111,24474439.16,0.0069,2431853245.11,4666784,73018468.12,1477133.5,4206405.63,1391800.57,17399099.46,1,0,1091595699.66,1,NATIONAL_ENV_MINISTRY,2025-07-31
