tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_usd,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2025,PARCEL0000000108,RES_SF,151414849.8,176475056.28,40.8511,5938467.9,0,0,0,0,NONE,1.0695,1.2168,7.24,0,1,0.4139,0.5222,0
2008,PARCEL0000000109,IND,160746948.67,215067136.3,36.8772,5714338.11,1,0,0,0,UPHELD,0.6084,1.1683,7.9,0,1,0.7218,0.1618,0
2010,PARCEL0000000110,COMM,183604458.28,184649563.22,21.0216,4101691.33,1,0,0,1,NONE,0.5848,1.0141,14.1,0,0,0.4087,0.5138,0
2022,PARCEL0000000111,RES_MF,129232726.45,116630328.1,4.9245,669745.21,0,0,0,0,PENDING,1.1778,1.2046,10.62,0,0,0.1564,0.7659,0
2014,PARCEL0000000112,AG,80673437.28,80993887.28,38.2628,3291726.44,0,1,0,0,UPHELD,1.0793,1.0943,9.55,0,1,0.6238,0.355,0
2020,PARCEL0000000113,RES_MF,145834148.18,126481428.78,37.8908,5781189.76,1,0,0,0,UPHELD,1.0327,0.8795,2.5,0,0,0.221,0.391,0
2025,PARCEL0000000114,RES_SF,21051426.43,18759339.09,7.4935,150152.18,0,0,1,1,NONE,0.9329,1.0568,11.1,0,0,0.6775,0.2396,0
2011,PARCEL0000000115,COMM,72837698.44,80262709.52,36.601,2806942.41,0,0,0,0,PENDING,0.5037,1.0003,17.73,0,0,0.6846,0.1906,0
2010,PARCEL0000000116,RES_SF,90880108.98,81539657.99,22.8839,2214027.94,1,0,0,0,NONE,0.6241,0.9314,17.6,0,0,0.5499,0.3126,0
2009,PARCEL0000000117,AG,40535091.73,46800317.44,0.9626,38512.53,0,0,0,1,NONE,0.506,1.1024,15.39,0,0,0.6394,0.2151,0
2006,PARCEL0000000118,COMM,125275792.0,114438345.01,25.8245,3366775.4,1,0,0,1,NONE,0.565,0.9242,15.12,0,0,0.2337,0.6032,0
2023,PARCEL0000000119,RES_SF,246007792.5,236998325.15,16.1873,4217216.69,1,1,0,0,NONE,0.7501,0.9536,11.39,0,0,0.3368,0.5981,1
2018,PARCEL0000000120,RES_MF,70352913.61,93866126.54,42.6393,2975912.43,1,0,0,0,NONE,1.0342,1.1206,1.31,0,1,0.2919,0.528,0
2020,PARCEL0000000121,AG,166790781.97,203049453.73,13.4931,2419102.98,0,1,0,1,UPHELD,1.0881,1.1542,1.81,0,0,0.3959,0.4497,0
2008,PARCEL0000000122,RES_SF,172338849.86,157460060.26,4.5141,820140.21,1,0,0,1,UPHELD,0.9957,0.9261,10.88,0,1,0.2786,0.4072,0
2015,PARCEL0000000123,RES_SF,29586596.09,37566543.17,5.1882,147991.22,1,0,0,0,UPHELD,0.9201,1.0545,14.99,0,0,0.3767,0.2711,0
2017,PARCEL0000000124,RES_SF,201525786.68,218524787.77,26.0889,5644478.5,1,0,0,0,NONE,0.6604,1.0294,16.41,0,1,0.7115,0.2229,0
2017,PARCEL0000000125,RES_SF,89795994.79,97401015.85,3.016,291830.35,0,0,0,1,REDUCED,0.5817,0.9305,0.99,0,0,0.3859,0.3651,0
2019,PARCEL0000000126,RES_SF,192751005.92,231010413.67,11.7666,2113840.99,0,0,0,0,PENDING,0.997,0.9173,8.19,0,0,0.6639,0.2752,0
2015,PARCEL0000000127,RES_MF,222380619.95,198038951.95,34.3723,8075086.71,1,1,0,1,PENDING,0.7345,1.0024,15.81,0,0,0.657,0.2978,1
2018,PARCEL0000000128,RES_SF,102776425.5,97539011.39,8.0358,763132.61,1,1,0,0,WITHDRAWN,0.8687,1.0529,8.44,0,0,0.5911,0.2761,1
2009,PARCEL0000000129,MIXED,125788523.85,127759009.32,36.7509,4351871.63,0,0,0,0,UPHELD,0.6819,0.8899,13.69,0,0,0.4803,0.2455,0
2009,PARCEL0000000130,RES_SF,176202896.1,208937284.48,23.5711,3879085.75,1,0,1,1,NONE,0.8284,1.2313,1.39,0,1,0.2165,0.672,0
2023,PARCEL0000000131,IND,11976318.52,15186304.94,31.6701,366258.48,0,1,0,0,NONE,1.0387,1.0276,10.36,0,0,0.3675,0.4267,0
2023,PARCEL0000000132,RES_MF,239583835.87,256845269.56,7.073,1787396.21,1,0,0,0,NONE,0.7726,0.959,4.4,0,0,0.5414,0.3634,0
2020,PARCEL0000000133,COMM,39021844.26,50746799.29,36.4618,1313763.38,1,0,0,0,NONE,0.7148,0.9262,2.73,0,1,0.6277,0.2125,0
2015,PARCEL0000000134,RES_SF,242492448.17,208453562.69,1.3539,319282.73,1,0,0,0,REDUCED,0.5541,1.0818,6.3,0,0,0.6367,0.2331,0
2006,PARCEL0000000135,RES_SF,193704387.8,243848945.75,20.3796,3944563.65,1,0,0,1,PENDING,0.8227,1.2083,15.65,0,0,0.1894,0.6275,1
2013,PARCEL0000000136,RES_MF,13028158.97,17116345.7,43.5627,543350.11,1,0,0,0,UPHELD,0.6177,1.1089,8.78,0,0,0.3253,0.2936,0
2011,PARCEL0000000137,COMM,92062777.52,79450664.31,22.9571,2227302.73,0,0,0,0,WITHDRAWN,1.155,0.8945,10.01,0,1,0.5679,0.3801,0
2008,PARCEL0000000138,COMM,227942167.17,266352141.35,21.4533,4500628.66,1,0,0,0,NONE,0.9961,1.0099,16.43,0,0,0.4426,0.4016,0
2010,PARCEL0000000139,RES_SF,239166856.46,280796797.57,2.8613,647093.1,0,0,0,1,NONE,0.8781,1.1338,9.44,0,0,0.2329,0.3329,1
2012,PARCEL0000000140,RES_MF,126042150.08,163785401.04,2.2682,268514.6,0,0,0,0,UPHELD,0.8139,1.1904,8.17,0,0,0.6913,0.139,0
2010,PARCEL0000000141,RES_SF,16335929.84,20707222.9,1.2701,21675.71,0,1,0,0,INCREASED,0.6879,1.1588,9.24,0,0,0.2753,0.3289,0
2024,PARCEL0000000142,COMM,148666014.0,132838155.12,18.2716,2784143.32,1,0,1,0,REDUCED,1.13,0.8931,2.46,0,1,0.7461,0.1515,0
2006,PARCEL0000000143,VACANT,31392288.09,28175561.56,16.4258,481258.23,0,0,0,0,NONE,1.1608,1.1529,17.88,0,0,0.5662,0.2095,0
2023,PARCEL0000000144,IND,207279966.17,276214040.36,28.5934,5667902.21,1,0,1,0,NONE,1.0081,1.1128,11.05,0,1,0.2778,0.3203,0
2019,PARCEL0000000145,RES_SF,150931989.42,193309856.92,13.7345,2129455.66,0,1,0,0,UPHELD,1.166,0.9187,3.1,0,0,0.6117,0.2113,0
2018,PARCEL0000000146,RES_SF,121412581.04,113234315.18,19.6493,2563508.13,1,1,0,0,REDUCED,0.8669,1.1679,12.73,0,0,0.4893,0.4547,0
2019,PARCEL0000000147,RES_SF,70919614.68,66883833.65,41.2158,2705453.71,1,0,0,0,UPHELD,0.8045,1.0037,15.17,0,0,0.2008,0.3929,0
2009,PARCEL0000000148,RES_MF,83986450.32,84854131.0,14.3569,1282366.25,0,0,0,0,NONE,0.8284,1.0493,3.57,0,0,0.4936,0.44,0
2006,PARCEL0000000149,RES_SF,16354398.84,19761606.94,28.1176,464724.11,1,0,1,1,NONE,1.0228,1.13,2.81,0,0,0.7397,0.1582,0
2023,PARCEL0000000150,VACANT,236988328.51,250047332.32,37.116,9468765.25,1,1,0,0,UPHELD,1.0042,1.2034,4.68,0,0,0.4623,0.2222,0
2021,PARCEL0000000151,RES_MF,49943284.98,55925530.08,36.5951,1873076.97,1,0,0,0,UPHELD,0.8489,0.9332,3.13,0,1,0.7096,0.1806,0
2021,PARCEL0000000152,COMM,75457962.11,93770023.51,6.5238,512324.66,1,0,0,1,REDUCED,0.5519,1.2055,9.55,0,1,0.3982,0.3193,0
2019,PARCEL0000000153,IND,46698174.88,52203430.71,22.5806,1078826.54,1,0,0,0,NONE,1.0603,1.2103,2.35,0,0,0.6294,0.1649,0
2006,PARCEL0000000154,IND,164341408.74,158327040.83,39.6945,6787868.73,1,0,1,0,UPHELD,1.0933,0.899,11.18,0,0,0.4263,0.4924,0
2025,PARCEL0000000155,COMM,110184244.47,122997972.74,8.8862,915629.71,1,1,0,0,PENDING,1.1585,0.8607,5.08,0,1,0.4494,0.4466,0
2024,PARCEL0000000156,COMM,49198327.35,60870453.45,23.0587,1148733.35,1,0,0,0,NONE,0.7205,0.9457,8.22,0,0,0.2645,0.5944,0
2017,PARCEL0000000157,RES_MF,133605738.89,166660006.55,15.1246,2097427.1,1,1,0,0,PENDING,0.81,1.0447,8.36,0,0,0.1554,0.3976,0
2019,PARCEL0000000158,RES_MF,39451404.68,42298339.9,8.976,340944.12,1,0,0,0,NONE,1.0355,0.8734,11.91,0,0,0.4824,0.488,0
2008,PARCEL0000000159,RES_SF,205975830.0,250065472.07,19.4705,4328662.52,0,0,0,0,REDUCED,0.6961,1.1266,2.22,0,0,0.6307,0.1811,0
2011,PARCEL0000000160,RES_MF,76735931.3,94262264.59,19.2443,1489096.58,0,0,0,1,NONE,0.5504,1.018,2.4,0,1,0.2104,0.6678,0
