biz_output_reporting_quarter,biz_output_industry_cluster_code,biz_output_shipment_value_usd,biz_output_new_orders_value_usd,biz_output_capacity_utilization_pct,biz_output_unit_labor_cost_index,biz_output_export_share_pct,biz_output_import_penetration_pct,biz_output_domestic_market_share_pct,biz_output_price_competitiveness_index,biz_output_innovation_intensity_score,biz_output_capital_investment_usd,biz_output_r_and_d_spend_usd,biz_output_automation_adoption_index,biz_output_supply_chain_concentration_index,biz_output_supplier_risk_score,biz_output_customer_concentration_index,biz_output_energy_intensity_btu_output,biz_output_carbon_intensity_tons_output,biz_output_benchmark_peer_group
2019Q2,CL000030,365374123304.02,336352338567.19,63.47,146.4,29.77,71.08,40.68,120.63,58.3,104085814403.94,48506154792.1,0.9155,0.5043,87.67,0.1668,49789.56,56.3927,PEER_A
2019Q3,CL000031,118327144903.25,97926935509.32,31.46,75.14,15.94,31.9,77.26,84.42,92.92,27726448903.4,5875290093.49,0.9166,0.3851,9.75,0.3997,35146.48,119.5206,PEER_A
2019Q4,CL000032,87733318581.28,62122083637.69,48.49,159.0,50.36,16.11,88.28,138.82,98.92,83734141450.39,26683422925.56,0.3648,0.8419,19.76,0.7424,21794.18,130.8632,PEER_F
2020Q1,CL000033,128600472352.26,131638458160.81,51.75,131.57,68.63,42.33,70.06,78.85,99.97,84535524613.43,8290095667.45,0.7859,0.8045,10.69,0.9989,21773.65,228.7549,PEER_D
2020Q2,CL000034,210738335332.51,225515124994.38,86.28,154.64,84.2,26.85,90.22,80.75,42.58,76792827576.85,36782571556.55,0.6872,0.5481,47.79,0.9863,22627.0,74.8863,PEER_F
2020Q3,CL000035,137103425607.45,93956078882.83,96.17,108.15,11.59,30.19,82.2,85.83,83.21,15702218829.32,25485638900.77,0.2762,0.1709,21.87,0.4056,786.3,62.6543,PEER_B
2020Q4,CL000036,102787770316.53,81232503761.53,86.85,126.86,55.96,30.81,90.37,105.33,46.35,21643451167.6,40744106879.26,0.8503,0.5101,44.36,0.9316,12865.77,56.9072,PEER_D
2021Q1,CL000037,266531511159.35,233183737228.55,90.95,62.36,20.52,8.97,92.08,85.71,47.53,99748262961.76,8877189568.12,0.9876,0.5962,61.1,0.5725,18289.72,243.6129,PEER_A
2021Q2,CL000038,180563904809.24,152760250881.6,40.25,79.73,68.48,37.43,67.18,61.07,28.92,77314346580.47,716735484.09,0.9491,0.6245,28.07,0.2983,22740.8,143.7573,PEER_F
2021Q3,CL000039,26290083180.46,19398196383.54,47.99,113.3,67.92,50.57,76.12,102.29,90.35,42512025588.9,19633158703.06,0.2367,0.2301,37.89,0.8052,14852.88,201.2132,PEER_A
2021Q4,CL000040,326763613005.43,345267142959.09,21.1,73.11,34.6,73.57,59.39,81.56,23.96,6362159267.66,52265786250.04,0.5565,0.1132,76.34,0.3659,15597.39,98.9103,PEER_F
2022Q1,CL000041,61282088364.38,67698316338.47,52.85,140.66,8.87,20.01,83.38,131.12,43.18,11822709997.88,18429705985.68,0.0924,0.9306,23.13,0.7163,37797.95,12.9154,PEER_B
2022Q2,CL000042,19297296565.3,17563852551.54,35.93,68.52,3.92,75.06,38.25,106.48,52.98,80254354456.4,51921607658.65,0.8523,0.3468,20.49,0.9114,49735.46,41.9772,PEER_B
2022Q3,CL000043,119632274975.83,122299323000.81,62.78,132.36,31.97,62.9,71.0,63.15,76.42,22450113917.11,26725300702.29,0.5492,0.3117,61.46,0.9522,37438.56,9.8438,PEER_D
2022Q4,CL000044,410598236407.37,347762759262.39,67.16,127.81,21.48,9.24,96.11,87.87,59.16,80574052543.72,58882656586.26,0.4203,0.1055,55.28,0.1062,40725.22,182.5455,PEER_D
2023Q1,CL000045,183245707887.04,150126231378.97,88.9,122.06,34.79,27.57,91.32,119.08,50.18,35631841434.78,31963417622.45,0.0829,0.0303,29.77,0.4641,24743.92,92.0666,PEER_A
2023Q2,CL000046,112276569637.98,82087917666.31,62.61,110.12,14.51,21.17,90.8,107.23,70.33,15246630950.15,23560715436.01,0.2685,0.3163,47.98,0.0015,10339.01,140.3031,PEER_D
2023Q3,CL000047,115407667782.88,113170555748.84,81.04,86.77,81.3,31.65,86.55,116.46,87.07,76349319391.91,5803455089.63,0.7139,0.5258,97.74,0.2188,11252.01,144.8267,PEER_D
2023Q4,CL000048,34435186414.58,31413860943.54,91.69,115.46,80.37,89.69,25.23,127.8,14.77,33155991533.23,23405312961.65,0.9324,0.5932,84.03,0.4727,43092.96,116.4172,PEER_A
2024Q1,CL000049,49756145456.64,38448294837.83,80.41,109.52,63.29,81.83,54.58,130.33,83.66,100929899493.23,50976689422.23,0.6692,0.2523,82.38,0.9285,24879.0,145.0205,PEER_D
2024Q2,CL000050,140439441908.15,126225115958.4,66.21,124.79,84.98,37.45,86.5,64.84,45.74,111586120032.16,54306351424.08,0.5199,0.6727,39.19,0.7162,9201.4,15.7995,PEER_D
2024Q3,CL000051,127511797814.82,96374629203.27,22.38,157.59,2.11,10.34,90.82,110.73,20.51,98289138894.42,43737614766.27,0.7638,0.6416,56.09,0.8625,23426.29,236.1809,PEER_B
2024Q4,CL000052,19116343368.07,12526411663.91,61.06,128.15,42.5,62.43,58.6,119.92,96.28,4398091797.35,14676657788.11,0.2332,0.7245,79.38,0.7872,15211.06,17.6237,PEER_F
2025Q1,CL000053,253046634122.9,255292674581.16,64.49,145.62,27.25,69.03,57.71,108.28,77.28,45352868562.61,52184993466.41,0.4242,0.8213,0.48,0.5147,21181.22,150.3728,PEER_B
2025Q2,CL000054,192324505722.14,193982379546.24,74.84,87.7,7.03,35.81,70.0,99.93,27.81,13725221376.84,7105828275.54,0.9752,0.1353,86.1,0.4135,42695.52,150.5621,PEER_E
2025Q3,CL000055,215711491415.22,212757566491.53,84.97,61.85,55.85,81.24,28.85,60.58,12.47,36302598483.31,33684515890.94,0.9849,0.3139,82.93,0.0311,774.61,209.4547,PEER_D
2025Q4,CL000056,259783572338.7,292211193538.61,46.27,89.95,4.86,85.85,47.99,115.51,61.43,38798221494.55,25683159292.88,0.0406,0.5432,72.88,0.7258,12769.86,200.9072,PEER_A
2026Q1,CL000057,140195996994.81,102584812971.66,41.09,153.88,1.58,53.94,54.56,81.7,92.63,106676979985.18,53334217631.3,0.9455,0.1403,56.93,0.0489,8940.9,141.7946,PEER_C
2026Q2,CL000058,138535738787.32,102502176696.69,92.11,77.8,71.26,38.22,84.42,62.71,33.25,76159257116.4,46850037045.67,0.6603,0.4662,88.33,0.9538,1945.03,144.2421,PEER_B
2026Q3,CL000059,272516709621.07,185461114313.63,95.24,105.78,76.73,87.18,40.47,85.04,81.5,103935452769.16,20762585861.63,0.6103,0.0621,40.42,0.7959,35864.8,221.245,PEER_D
2026Q4,CL000060,237613754307.81,203926373577.91,33.71,93.25,35.59,15.15,93.61,91.84,63.22,78630146928.58,41146398967.63,0.0337,0.1275,37.76,0.2418,3548.11,10.2085,PEER_B
2027Q1,CL000061,361039136846.55,351707535556.67,49.94,107.31,21.67,63.36,78.27,100.65,76.05,93129362497.24,52965310150.47,0.8638,0.9304,88.58,0.9277,7119.16,126.5098,PEER_F
2027Q2,CL000062,188205922319.98,201555748287.26,40.41,87.1,69.22,88.48,64.38,104.5,12.9,84620538535.87,2422451466.62,0.3759,0.8159,35.22,0.931,31831.84,154.0737,PEER_A
2027Q3,CL000063,427270058525.88,340324754392.82,90.26,106.67,17.91,13.36,91.77,96.74,18.06,91130686051.8,42071197894.68,0.554,0.3309,21.94,0.1261,14836.76,46.8822,PEER_C
2027Q4,CL000064,169215595794.55,170495439540.23,79.46,96.35,39.41,71.41,74.81,87.96,77.43,46127299496.6,20514541945.31,0.32,0.0686,94.95,0.5693,11516.88,4.5604,PEER_C
2028Q1,CL000065,318723120074.5,267417706961.96,40.57,101.63,38.28,26.63,78.85,62.72,43.06,118236616768.06,20748664842.34,0.0017,0.2749,49.33,0.1488,33543.49,201.1755,PEER_D
2028Q2,CL000066,418752732403.13,336428534971.92,85.71,114.17,71.2,8.55,96.8,92.54,5.39,47852968750.5,41129220554.52,0.1815,0.8108,18.19,0.2739,41761.06,2.306,PEER_C
2028Q3,CL000067,70403021804.49,53450658624.7,63.1,135.25,6.9,3.69,97.43,129.25,99.79,4833602095.57,47558589965.36,0.3046,0.452,3.86,0.2018,18909.25,121.2656,PEER_B
2028Q4,CL000068,221899684115.65,195597776962.65,77.41,149.13,62.67,32.21,89.07,93.74,54.16,8565439124.38,18773976457.99,0.3287,0.7574,1.17,0.3984,36996.53,6.8365,PEER_C
2029Q1,CL000069,47752472657.9,49927130718.08,79.04,105.69,84.15,89.77,24.23,99.41,11.04,917373197.46,28694717156.77,0.8806,0.6866,28.61,0.4904,9180.54,87.7382,PEER_D
2029Q2,CL000070,245952823158.28,167590392601.25,41.09,143.87,41.09,14.08,92.32,124.89,87.43,62977677981.83,50451987589.6,0.7374,0.4133,36.55,0.4929,45883.78,62.2838,PEER_A
2029Q3,CL000071,393460021772.98,377405731814.13,23.35,61.79,84.71,1.16,99.0,79.32,89.31,19942621992.26,16033618948.58,0.866,0.8755,85.89,0.4946,10658.54,232.5442,PEER_C
2029Q4,CL000072,92397782993.99,101006299986.23,32.29,134.9,14.11,37.47,85.63,72.67,43.78,75021274123.26,24084019383.57,0.1571,0.9013,89.16,0.9751,28221.63,40.3333,PEER_B
2030Q1,CL000073,307209821401.37,279001018513.88,73.97,92.05,63.24,79.52,31.14,116.42,41.12,18160300304.54,32462161791.42,0.444,0.9613,3.75,0.9259,2641.75,216.4113,PEER_F
2030Q2,CL000074,378039077861.94,318164452754.38,49.11,137.45,60.13,54.48,59.4,137.89,18.52,75917416568.88,19176419348.53,0.3633,0.5129,10.8,0.1352,26613.47,124.0822,PEER_A
2030Q3,CL000075,302160717265.58,232553369861.8,21.27,150.83,73.82,7.61,95.86,72.88,51.99,71788596929.7,32615454615.87,0.3192,0.9835,35.54,0.8024,23451.7,30.8952,PEER_D
2030Q4,CL000076,33653865602.19,37999955989.84,50.73,141.58,9.89,60.16,67.49,67.9,37.29,2206974683.95,8604767002.32,0.7204,0.0785,80.44,0.949,35824.91,215.283,PEER_B
2031Q1,CL000077,118420476592.52,113454825165.55,86.67,97.8,10.52,30.58,74.88,88.49,90.05,45306624715.95,28286456690.01,0.9434,0.0342,67.93,0.8148,48436.06,18.2074,PEER_D
2031Q2,CL000078,183074960572.25,173138634890.75,20.09,153.04,67.41,72.83,67.07,135.17,36.32,79134787035.26,26218351971.44,0.2321,0.0076,86.05,0.5522,37195.66,243.6444,PEER_A
2031Q3,CL000079,35289219339.13,26215169271.93,65.36,76.4,45.12,34.03,87.17,70.33,48.05,32445842136.88,7541276454.03,0.9535,0.4186,66.99,0.7692,28381.81,216.3248,PEER_A
2031Q4,CL000080,158285643611.91,109555115341.61,68.87,134.53,21.31,33.01,76.68,96.43,16.15,82486821355.88,6815317194.45,0.0124,0.1959,6.73,0.0599,26200.46,1.5386,PEER_B
2032Q1,CL000081,157246881284.42,169681288593.24,51.86,144.78,39.92,69.44,66.55,99.29,66.34,59738683802.49,23587176536.09,0.8267,0.7584,38.28,0.0009,39342.98,163.6912,PEER_B
2032Q2,CL000082,175178449195.44,121810893038.04,77.89,145.83,12.76,24.32,80.0,125.53,76.42,99054965789.87,26511638378.18,0.3729,0.767,75.44,0.6253,36613.46,203.3229,PEER_B
2032Q3,CL000083,219240155444.8,167410826435.33,75.48,153.53,80.18,15.31,92.83,116.15,79.05,16697768500.37,44006827172.35,0.9067,0.5398,53.99,0.1126,21150.41,129.7881,PEER_B
2032Q4,CL000084,368155554095.07,335905539601.99,41.96,115.81,75.25,82.78,34.13,66.11,83.88,60285087960.88,24399733126.28,0.4103,0.0135,83.25,0.3422,21190.64,233.8742,PEER_E
2033Q1,CL000085,74827019136.41,59336689267.59,35.04,115.51,18.79,14.26,88.55,129.97,60.29,35854959187.91,1623140189.03,0.9306,0.3038,55.47,0.1649,9761.17,145.4524,PEER_D
2033Q2,CL000086,340709881355.97,372406006791.23,89.24,67.14,36.42,4.46,98.14,81.71,57.52,20029554917.83,56635016461.01,0.478,0.7865,65.15,0.2875,31569.77,106.0277,PEER_C
2033Q3,CL000087,36355978390.57,37699017963.08,71.6,83.18,18.77,53.45,78.88,128.77,27.46,52571851593.38,18722654960.79,0.1699,0.4855,95.48,0.2416,1990.1,5.8781,PEER_B
2033Q4,CL000088,264009333485.51,176197856992.11,25.72,113.62,83.04,14.06,94.73,107.21,71.02,47543739166.2,53547822607.6,0.9627,0.0875,18.66,0.8133,36292.21,125.9446,PEER_B
2034Q1,CL000089,406512394156.47,441918681775.65,40.15,149.88,48.5,61.25,77.84,129.7,67.5,27684306957.99,46064671083.11,0.3649,0.8751,77.94,0.4802,22282.33,70.9116,PEER_F
2034Q2,CL000090,150117489666.84,170224879634.87,57.42,96.24,25.94,62.37,61.85,137.7,6.07,63568298921.25,19667766405.29,0.2319,0.3451,16.37,0.7745,33626.62,98.9166,PEER_B
2034Q3,CL000091,11786916163.18,13283347422.15,77.87,75.18,7.63,72.0,54.68,108.99,20.68,34289108603.57,23573052780.49,0.8018,0.269,6.32,0.5157,30860.34,222.4905,PEER_C
2034Q4,CL000092,116854407517.0,117168974440.21,44.07,132.02,46.21,35.34,68.96,88.95,98.01,108269038781.77,47907542133.86,0.3842,0.5655,21.11,0.5969,43479.31,114.2758,PEER_F
2035Q1,CL000093,189830938275.62,136546668286.05,36.73,139.75,4.15,86.61,34.33,139.54,90.77,93815619823.93,11309804577.17,0.5328,0.4958,33.21,0.9297,37195.38,238.2363,PEER_E
2035Q2,CL000094,252041549526.86,192073334741.42,65.76,156.16,2.81,76.07,57.12,91.96,38.89,21918915568.8,12848458376.39,0.1669,0.1098,14.15,0.8577,43505.43,36.5931,PEER_B
2035Q3,CL000095,371967999631.45,270064186661.6,57.57,89.39,67.22,15.9,85.82,78.11,39.73,63948258011.5,27277878155.17,0.2307,0.9344,55.43,0.9039,10264.36,202.6732,PEER_F
2035Q4,CL000096,9056767912.59,9484047767.67,94.14,120.97,66.39,11.16,96.23,87.2,28.81,64201686978.44,34122013908.89,0.3814,0.9106,55.01,0.1555,23666.21,76.7471,PEER_A
2036Q1,CL000097,20108261242.97,16998615013.33,33.11,80.55,65.56,40.57,69.53,77.88,23.31,9756552611.22,14803845205.28,0.4504,0.8847,54.63,0.7706,44360.91,176.4295,PEER_C
2036Q2,CL000098,227253086870.3,208043609573.4,81.38,159.88,48.75,70.79,65.66,121.19,60.11,55540086024.82,3546013839.12,0.761,0.1645,51.54,0.3258,5637.4,227.5999,PEER_A
2036Q3,CL000099,164965178542.75,109311928775.83,77.3,98.35,44.87,74.6,72.91,98.23,15.8,97943095783.65,38982688962.67,0.3275,0.5444,19.8,0.428,27987.77,217.2458,PEER_D
2036Q4,CL000100,140115562633.6,130710758991.94,24.68,139.15,38.33,34.5,82.23,108.72,34.32,25427796996.03,2407178600.58,0.0327,0.3885,50.84,0.9259,8192.68,129.9003,PEER_A
2037Q1,CL000101,68493051008.4,69372239133.39,27.58,77.81,3.69,61.16,74.19,85.43,57.5,19344883436.52,11864158475.12,0.5614,0.9425,57.87,0.9925,48998.21,148.9901,PEER_F
2037Q2,CL000102,378054288239.6,334883478554.28,35.93,90.43,3.38,5.63,96.52,62.67,54.09,2469972312.1,32933320360.38,0.2695,0.8225,61.8,0.8376,34717.63,59.7404,PEER_A
2037Q3,CL000103,43496876448.01,47392673504.39,35.08,134.41,14.58,47.83,80.25,123.84,45.86,49978644195.63,59047509274.01,0.4659,0.43,83.53,0.7702,21423.46,104.61,PEER_C
2037Q4,CL000104,118019729991.83,131615793378.9,70.95,79.46,2.72,34.31,80.94,121.02,40.9,58445231419.69,54747663308.75,0.0261,0.9319,83.36,0.5272,27147.08,44.5714,PEER_D
2038Q1,CL000105,426559352117.43,286560043732.77,47.44,128.38,83.2,30.33,73.56,74.39,57.96,110829634053.03,32608131276.47,0.4558,0.8573,40.39,0.3932,46186.9,125.8873,PEER_A
2038Q2,CL000106,4927856558.69,4282158642.79,28.23,127.81,58.71,1.35,99.36,117.31,76.5,26655588355.36,4905058677.03,0.7982,0.3527,92.28,0.3588,3859.86,21.501,PEER_E
2038Q3,CL000107,254124589614.96,232408682442.59,56.26,82.68,21.03,30.18,82.51,88.8,92.25,30905357478.35,16263682804.89,0.7783,0.0568,17.69,0.7501,14001.02,171.7619,PEER_C
2038Q4,CL000108,158922968165.33,136779914825.98,22.45,62.17,58.2,67.07,55.69,84.97,52.83,62996818597.18,27261372627.62,0.7473,0.584,66.37,0.458,46754.37,194.4805,PEER_B
2039Q1,CL000109,70267153665.79,78058728593.41,31.31,149.2,11.63,43.66,76.02,93.29,68.15,108392484260.78,31136780918.46,0.0402,0.6341,2.79,0.1527,18773.95,201.5814,PEER_A
2039Q2,CL000110,90207720426.38,74078619865.63,36.74,63.63,22.7,16.95,93.83,93.52,61.38,79448186730.07,12864378098.18,0.5398,0.6986,25.64,0.6405,21680.45,39.5981,PEER_F
2039Q3,CL000111,280087617794.66,279725125259.37,67.76,147.3,78.9,39.2,72.48,102.2,68.38,39829643608.0,12357116292.24,0.7973,0.4215,54.83,0.4934,24381.75,146.216,PEER_D
2039Q4,CL000112,41673959115.14,47247300588.44,23.06,87.99,45.42,63.81,60.73,102.74,45.32,68020011189.91,45892397892.17,0.6911,0.0696,63.73,0.5676,39041.14,75.0799,PEER_F
2040Q1,CL000113,130865533931.44,92742403037.98,97.88,144.82,61.66,87.12,57.75,127.37,54.3,81839499753.59,1873074833.68,0.7012,0.1088,22.89,0.2562,41406.98,138.6587,PEER_D
2040Q2,CL000114,439104711162.47,492805426050.0,34.96,72.95,34.38,62.91,49.72,100.16,69.33,37101873339.18,40410319045.71,0.7857,0.1563,28.78,0.4314,24670.63,243.912,PEER_A
2040Q3,CL000115,263434556430.83,249046924049.63,90.03,127.99,10.93,75.76,71.07,98.09,98.63,110934977188.57,20101907264.76,0.6589,0.5258,52.37,0.1858,7985.16,191.5406,PEER_D
2040Q4,CL000116,229219499337.49,216863899318.47,54.96,120.04,55.14,28.5,81.35,100.48,42.09,26130599741.65,6286480845.99,0.7416,0.6707,52.24,0.8419,6438.17,223.552,PEER_E
2041Q1,CL000117,400291137885.65,441729342405.71,34.34,141.82,48.08,16.06,87.68,129.85,97.19,24826127114.36,22103509409.63,0.0794,0.3652,16.66,0.5404,8895.48,79.9381,PEER_E
2041Q2,CL000118,201706307015.08,162664463132.79,45.17,114.86,16.69,55.9,63.29,69.88,79.39,51419986537.36,40765584776.95,0.9797,0.5412,28.22,0.7281,42918.94,94.0197,PEER_A
2041Q3,CL000119,314091701335.59,346136220465.81,84.88,101.74,2.91,31.71,84.41,62.62,54.61,21003886337.79,6526535196.98,0.9262,0.6107,69.26,0.4054,4735.5,120.5638,PEER_C
2041Q4,CL000120,249477856014.77,255955739343.99,69.7,145.81,11.05,44.15,65.76,105.1,28.64,38330611593.14,26124564251.2,0.9795,0.8902,72.12,0.8908,18714.93,68.4725,PEER_C
2042Q1,CL000121,284497070036.51,314725374245.62,70.37,66.15,26.29,1.46,99.19,95.39,72.35,16226528486.96,13227559118.36,0.1286,0.7286,1.86,0.0776,6824.05,194.4712,PEER_E
2042Q2,CL000122,351358525750.3,304464642532.48,55.29,134.42,18.18,18.21,89.48,72.58,40.55,80026537740.43,35445480497.03,0.8496,0.7708,37.71,0.8855,3630.48,133.7675,PEER_B
2042Q3,CL000123,120960293387.49,83374799771.08,94.67,149.46,48.61,42.08,75.77,89.04,5.62,40447516524.28,28625423877.56,0.5062,0.5671,37.75,0.5711,32680.68,228.7611,PEER_E
2042Q4,CL000124,331628448667.4,242798345813.19,25.79,159.5,47.65,87.8,37.94,95.94,4.27,83106582168.67,31139063063.71,0.4455,0.6422,49.06,0.9416,29850.81,247.1424,PEER_F
2043Q1,CL000125,84244531522.49,86022390121.52,64.83,88.55,14.23,1.99,99.33,103.0,95.74,25401572971.23,30113620896.33,0.7951,0.2578,56.47,0.5793,36940.32,34.0247,PEER_E
2043Q2,CL000126,301020099337.91,229956547649.72,53.44,87.99,39.83,17.69,85.59,133.02,99.59,93908294039.29,37726390573.45,0.0637,0.8386,59.63,0.3003,23211.57,90.0838,PEER_D
2043Q3,CL000127,188894743834.93,167524597411.87,35.48,79.83,36.44,72.62,52.76,71.47,30.78,115254135740.18,11980380968.6,0.2088,0.4588,50.59,0.2241,14891.12,224.7917,PEER_B
2043Q4,CL000128,428998773015.06,451982752045.47,73.75,121.77,49.36,27.51,78.6,104.55,86.92,101300249716.06,55345680226.72,0.8341,0.7636,37.36,0.7389,107.14,238.4343,PEER_E
2044Q1,CL000129,345120432199.25,253750044899.44,40.64,156.21,82.55,80.27,42.92,112.92,81.69,113863647950.5,6863781330.36,0.1973,0.0077,32.98,0.0858,44783.9,47.3936,PEER_C
2044Q2,CL000130,19028060637.98,17905944516.55,42.66,67.61,64.69,15.55,93.69,78.26,18.32,70543240715.16,880028829.54,0.5301,0.2804,53.18,0.5254,11113.28,90.8445,PEER_A
2044Q3,CL000131,197416216858.15,224942532793.56,59.94,63.17,55.65,67.58,46.66,78.87,4.08,12950414707.03,5448559342.96,0.112,0.5914,48.75,0.9159,13562.44,150.823,PEER_D
