biz_innov_filing_year,biz_innov_patent_application_id_hash,biz_innov_technology_class_code,biz_innov_inventor_count,biz_innov_assignee_type_code,biz_innov_university_assignee_flag,biz_innov_small_entity_flag,biz_innov_citation_count_5yr,biz_innov_forward_citation_velocity,biz_innov_claims_count,biz_innov_family_size_count,biz_innov_international_filing_flag,biz_innov_grant_lag_months,biz_innov_licensing_revenue_estimate,biz_innov_r_and_d_tax_credit_claim_flag,biz_innov_venture_funding_round_flag,biz_innov_startup_spinout_flag,biz_innov_tech_transfer_office_id,biz_innov_innovation_cluster_score,biz_innov_commercialization_stage_code
2025,4e3f06934ac352679347,TC244,1,university,1,0,19,1.984,15,6,0,16,3730341.5,1,0,0,TTO709497,40.28,prototype
2009,56975d5a22155a040e9b,TC898,1,university,1,0,15,1.073,10,8,0,35,4460961.68,1,0,0,TTO332206,85.73,internal_use
2024,32c60f8b8224c7264a5e,TC207,3,university,1,1,17,1.985,14,7,1,27,2263100.51,1,0,0,TTO332439,65.34,open_source
2022,88794aa6bd0823704e85,TC699,10,psu,0,0,18,1.856,14,3,0,45,2575910.77,1,0,0,,76.74,pilot
2015,ccd8f02dd83f900a7429,TC636,8,govt_lab,0,0,21,3.149,13,2,0,42,6238300.32,0,0,0,,74.89,idea
2012,5580da508a92e78ca295,TC176,1,individual,0,1,17,1.438,18,6,0,13,2724889.57,0,0,0,,58.25,pilot
2021,d53e07e1d1881142ca24,TC173,8,university,1,0,18,0.535,19,2,1,25,1357676.22,0,0,0,TTO747461,55.61,scale
2008,8103374fb1d161757a54,TC544,1,govt_lab,0,1,14,1.851,21,3,0,35,1169004.47,0,0,0,,96.12,internal_use
2016,8869c3b58e728cc73154,TC519,7,govt_lab,0,0,24,1.46,13,6,1,23,2900577.11,1,0,0,,35.44,pilot
2014,705579c7385c458ce833,TC910,10,govt_lab,0,0,11,1.102,14,4,1,23,47456548.8,1,1,0,,64.95,pilot
2014,023aae2903980b952542,TC293,10,startup,0,1,21,3.304,16,3,0,27,1743573.01,0,0,0,,73.58,internal_use
2011,385ad1d48e071ac25403,TC879,1,university,1,0,19,2.525,9,4,1,24,15604277.48,0,0,0,TTO250842,9.9,idea
2012,b910675b665036f43a93,TC351,10,govt_lab,0,0,22,0.801,14,7,0,17,751696.19,0,0,0,,53.46,acquired
2024,4b9cddf3559f16eaaeaa,TC851,8,govt_lab,1,0,14,0.803,22,3,0,35,2926317.6,0,1,0,TTO808866,47.51,scale
2022,195c87ae00c75267bd07,TC739,9,individual,0,0,15,1.412,13,2,0,31,11715958.53,0,1,0,,71.71,idea
2012,ee24c89ff10f486383bc,TC243,6,govt_lab,0,0,22,2.432,15,4,0,22,4053036.55,0,0,0,,76.54,acquired
2013,1da36965d38b906e9e9f,TC189,5,psu,0,0,18,1.528,18,7,0,27,4166636.59,0,0,0,,74.72,market_entry
2009,eb429d34cc2617ffe007,TC642,10,individual,0,1,20,1.054,15,1,1,19,4936738.25,0,0,0,,58.6,open_source
2024,e5bcfc6b5286737ac98e,TC805,5,corp,1,1,13,0.0,20,4,1,44,4897548.36,1,0,0,TTO390051,49.8,market_entry
2019,0333cc75b610b03d0392,TC446,2,university,1,1,26,1.618,12,6,0,16,3332184.88,0,0,0,TTO533913,64.74,market_entry
2018,425b3cae38c78b18d8d1,TC416,3,psu,0,0,22,0.759,22,5,1,20,87711173.76,0,0,0,,51.01,internal_use
2018,cc59c23b8bbb6935d5ff,TC361,2,govt_lab,0,1,21,2.363,23,2,0,39,9003452.08,0,0,0,,56.38,open_source
2017,076faed8755031c93a66,TC381,6,govt_lab,0,0,26,1.53,14,1,1,25,10297581.96,0,0,0,,37.28,pilot
2012,7cf45a8a8d9ad0bf6182,TC152,4,university,1,0,23,0.0,20,4,1,27,3895411.41,0,0,0,TTO169262,80.75,pilot
2024,877c311757c979457b93,TC158,6,individual,0,1,19,1.109,17,4,0,25,1383889.63,0,0,0,,73.87,internal_use
2019,4769f2a5b67cb3590abe,TC330,10,govt_lab,0,0,15,2.298,20,4,1,28,7100747.14,1,1,0,,77.52,internal_use
2019,ba5ad2ae9032ed706163,TC418,10,govt_lab,0,1,14,0.0,16,1,1,31,10316333.57,0,0,0,,85.36,idea
2008,bcc928e82c9d6b9c0a53,TC368,9,govt_lab,0,1,16,1.307,16,9,1,18,2133027.57,1,0,0,,58.64,idea
2009,5522a05cdbd484a7a33b,TC413,7,university,1,0,20,1.387,24,7,0,47,2034552.14,0,0,0,TTO659220,40.23,internal_use
2021,2ddff7153a3cd050d45c,TC783,3,startup,0,0,16,1.203,16,5,1,29,3878634.5,1,0,0,,52.65,acquired
2017,7b854d7afc8bb783b266,TC349,8,startup,0,0,17,0.0,14,4,1,14,16302525.62,1,0,1,,67.76,market_entry
2022,673c059376d18a045a5b,TC815,2,individual,0,0,10,1.054,13,4,0,7,1661673.92,0,1,0,,49.6,idea
2018,48a119f7575bf4aa4864,TC251,1,psu,0,1,20,0.564,30,5,1,18,1837621.64,0,0,0,,52.89,licensed
2011,99f013444d1995da257a,TC577,8,university,1,0,18,0.0,12,5,0,32,6252195.03,0,0,0,TTO326137,58.57,market_entry
2012,dfa15bbb9b6e7f2cb670,TC169,10,university,1,0,15,2.577,18,6,0,28,1253331.45,0,0,0,TTO505012,42.69,idea
2010,81ed48c048925af39d46,TC819,6,university,1,0,18,3.274,15,3,0,17,20020094.55,0,0,0,TTO691755,53.38,idea
2024,6497a4f7a708cd36da14,TC426,9,psu,0,0,11,4.295,20,3,0,19,1562228.06,1,0,0,,82.58,internal_use
2012,abbe09865b771fd2ece2,TC891,3,startup,0,1,10,2.723,14,3,1,11,11185212.47,1,0,0,,54.7,pilot
2014,3c088c022400e8431099,TC309,2,govt_lab,0,0,17,2.939,20,4,0,43,2960355.76,0,0,0,,41.34,market_entry
2025,5b29dd47902b525262d3,TC619,10,startup,0,1,19,2.306,10,5,1,24,1768711.71,0,0,0,,44.3,acquired
2013,8db742dab40e63ebf36f,TC586,5,psu,0,0,16,2.237,16,5,0,51,7830156.03,0,0,0,,48.3,prototype
2012,5ddf3ce9a8a156c05cad,TC745,6,university,1,0,23,1.879,19,4,1,34,3019568.34,0,0,0,TTO166814,48.99,open_source
2009,0d20b2c2979d894b089f,TC898,3,govt_lab,0,0,18,2.615,18,3,0,17,2285702.46,0,0,0,,43.02,scale
2014,d1f67916dacde0fa5d4e,TC796,3,corp,0,0,23,3.189,17,3,1,33,1959296.05,0,1,0,,86.0,licensed
2008,d34c6f3083937a4fc3f1,TC706,1,individual,0,0,11,1.848,19,4,0,37,4525347.65,0,0,0,,47.72,licensed
2012,bb2b7421f3b1b16b94fc,TC636,3,govt_lab,0,1,17,1.57,14,4,0,46,670972.93,1,1,0,,47.52,open_source
2022,97dc7d406e3d2e28dd7a,TC961,1,corp,1,0,25,1.836,15,7,1,32,33402862.03,0,0,0,TTO914118,46.73,open_source
2023,6dffb6e7723fe9d185be,TC280,2,startup,0,1,18,2.276,22,5,1,27,10769522.33,1,0,0,,53.25,open_source
2018,a74631efea9ab90bec41,TC100,6,govt_lab,0,1,21,2.018,18,6,0,25,985328.74,0,0,0,,91.86,licensed
2013,b94261e738997542b43d,TC789,4,university,1,0,17,2.669,13,5,1,29,60872670.88,1,0,0,TTO457224,47.62,scale
2008,0ad4b8306d902133f2fc,TC557,2,individual,0,0,18,4.092,19,5,0,23,7079292.62,0,0,0,,96.97,acquired
2018,2cb03fd040b4e652c1e7,TC703,10,corp,0,0,12,0.746,23,7,0,26,3944522.5,1,0,0,,47.31,idea
2009,a4d0e5227b066c177836,TC901,6,individual,0,1,8,1.95,18,7,0,31,5125112.12,0,1,1,,28.65,internal_use
2019,4e697d661227baab5e4e,TC325,3,university,1,0,16,0.0,14,7,1,25,52360730.81,1,0,0,TTO819195,16.58,pilot
2011,d91a63fd239fc01267c4,TC606,7,individual,0,1,19,3.699,21,6,1,13,7071534.45,0,0,0,,60.74,open_source
2013,5c021bacaae7730eeb67,TC767,4,individual,0,0,17,0.219,21,2,1,17,245895.39,0,0,0,,54.92,acquired
2023,0c9383ffe85498188f43,TC314,7,psu,0,0,14,1.599,14,6,0,11,3242556.78,0,0,0,,56.13,pilot
2015,325be5a44c346dafd263,TC424,8,govt_lab,0,1,13,0.665,18,6,0,32,10051899.64,1,0,0,,39.43,market_entry
2012,912e144148fb5ad50713,TC319,5,individual,0,0,25,4.739,21,4,0,20,523148.86,0,1,1,,81.64,idea
2016,ee482f898a90b851c9c0,TC569,6,psu,0,1,21,2.814,19,4,0,34,1905596.76,0,0,0,,42.85,pilot
2025,95c749a5fdf23c984e34,TC966,8,individual,0,1,31,2.486,26,4,1,28,20603781.28,0,0,0,,49.65,pilot
2010,54ab7fcf0dd067bd6ee5,TC167,1,govt_lab,0,1,15,2.435,14,1,1,23,13955357.59,0,1,0,,88.8,prototype
2008,9ef1776193fd9ca2330c,TC818,2,corp,0,0,23,2.719,18,2,0,35,2788745.0,0,0,0,,8.53,prototype
2013,59224ff417c93f3feba5,TC926,3,govt_lab,0,0,24,2.202,18,6,0,29,2751469.77,0,0,0,,75.02,licensed
2009,bc1835b5c55c87ce1b1e,TC104,3,psu,0,0,16,1.558,11,5,1,15,2740230.08,0,0,0,,77.52,open_source
2022,8ae0c986a07f28c35953,TC963,2,govt_lab,1,0,22,1.886,17,4,0,26,2523503.01,0,0,0,TTO810257,67.28,prototype
2013,132905ea4a3988e4b6b2,TC117,6,govt_lab,0,1,18,0.0,11,4,1,6,44571259.35,1,1,0,,57.08,prototype
2017,a2796bfb1f55a18cf5dc,TC120,1,govt_lab,0,0,14,0.693,23,5,1,31,1895040.51,0,0,0,,68.91,pilot
2009,07909c3b74676bc16576,TC727,7,corp,0,1,18,1.097,17,2,1,39,21044865.71,0,1,0,,21.25,scale
2017,c8d9ac624d915db80903,TC613,3,individual,0,1,16,2.064,22,7,0,31,6797105.06,1,0,0,,39.0,internal_use
2009,bb0bc90672d2b20b50aa,TC953,5,university,1,0,14,2.429,14,5,0,22,57138151.15,1,0,0,TTO624566,66.42,prototype
2015,f991db53eef0175f3c09,TC426,5,university,1,0,12,0.627,14,6,1,11,7457975.91,1,0,1,TTO444004,35.77,scale
2025,560bf304186ce0c142bb,TC372,6,startup,0,1,19,1.22,23,2,1,32,11980116.78,0,1,0,,42.03,acquired
2009,d468790d05102ac7ba23,TC173,10,startup,0,1,15,2.937,16,6,1,34,7684014.06,0,0,0,,82.61,internal_use
2023,97d049c49b4b4bbcfbb7,TC302,1,individual,0,1,20,2.428,15,3,1,28,3231797.1,1,0,0,,27.29,idea
2010,ce4a71b603497fe93ca0,TC123,10,university,1,0,17,4.174,21,5,1,14,369937.08,1,0,0,TTO492298,37.66,pilot
2023,de7320a3ad5060ecdc87,TC244,3,corp,0,1,16,1.403,16,5,0,28,1682750.18,1,1,0,,15.36,acquired
2011,f08b089891e5802e1902,TC639,3,startup,0,0,21,0.911,11,3,1,26,7396123.9,0,0,0,,85.35,idea
2015,11cb227a40a0dcf647e7,TC858,6,individual,0,1,14,2.419,18,6,1,34,9876630.65,0,0,0,,68.32,pilot
2025,285dace8bc64714dd4e2,TC410,1,individual,0,0,15,2.242,16,5,0,19,19068137.62,0,0,0,,88.61,idea
2024,0d8905ad7ee6a5aea091,TC749,4,individual,0,1,20,2.419,21,3,0,36,22167278.02,0,0,0,,66.7,acquired
2011,a4b0f997ed4ff0cf3845,TC955,6,startup,0,1,8,1.699,9,8,1,35,3497254.15,0,0,0,,63.39,internal_use
2023,d01257622aa8abca90e1,TC605,4,corp,1,0,16,2.001,8,4,1,17,27794527.85,0,1,0,TTO856842,41.8,prototype
2015,81f535fe7898c0cc4463,TC169,8,university,1,0,22,1.152,23,4,0,33,748475.57,1,1,0,TTO941398,42.72,pilot
2012,1cd0131c6edf443c698e,TC118,2,psu,0,0,20,2.623,14,4,0,31,1885036.45,1,0,0,,83.65,acquired
2013,4f754c51034d7b840b4f,TC409,6,university,1,0,24,0.753,9,5,0,24,5227407.39,0,0,1,TTO747107,77.13,open_source
2009,6d1d2e0fd98a6ce66b57,TC715,2,corp,0,0,13,3.094,19,5,0,32,5084818.67,0,0,0,,90.13,idea
2011,a6623b32ee7a457bd14d,TC794,6,govt_lab,0,0,18,1.151,20,2,0,15,2614270.15,0,1,0,,66.89,internal_use
2013,c0a9d14a4f9d82f58a11,TC491,6,corp,0,1,22,2.5,15,1,0,16,916972.03,0,0,0,,47.72,prototype
2024,cf00fad8add4987911f8,TC299,2,govt_lab,0,1,19,0.375,18,3,0,27,2376834.46,0,1,1,,53.86,open_source
2018,6edead710771aeb11433,TC230,5,corp,0,1,16,1.279,13,7,1,29,21313471.8,0,0,0,,60.96,market_entry
2023,72c0ce79744cf8462d08,TC131,10,corp,0,0,11,1.521,21,4,0,36,16692520.22,1,0,0,,52.61,acquired
2020,893260ec1ede65f47207,TC654,3,individual,0,1,23,1.556,21,1,1,28,3811947.26,0,1,0,,45.21,open_source
2014,a4f89c300120ec0216fc,TC579,5,corp,0,0,19,0.133,17,3,0,26,23101905.3,0,0,0,,51.9,licensed
2013,abc2b543bec9c909944e,TC438,4,psu,0,0,17,0.041,15,3,0,32,3258442.97,0,0,0,,74.57,idea
2017,b990daa68d8a50c36244,TC152,5,corp,0,0,18,1.89,17,5,1,19,7799971.58,0,0,1,,49.21,scale
2017,fcbc826f79c4018d7055,TC548,6,startup,0,0,20,3.055,11,2,1,34,4337887.74,1,0,0,,87.98,market_entry
2024,6824d92bbe205d44235a,TC179,6,individual,0,0,16,3.181,20,2,0,8,11726707.11,1,0,0,,62.97,pilot
2022,36c02708f973e33e172c,TC907,2,govt_lab,0,0,23,2.747,26,3,0,20,4580139.59,0,0,0,,39.07,open_source
2015,cc0f5c63184df83afac8,TC465,7,individual,0,0,16,1.849,17,4,1,23,12186881.23,0,0,0,,80.61,scale
2025,485946eb928283c577ba,TC269,9,university,1,1,12,1.47,23,5,1,26,791812.44,0,0,0,TTO598896,37.36,acquired
2020,2d1f9186ba1c9304da24,TC556,10,startup,0,1,21,1.529,20,5,1,18,5060931.29,0,0,0,,37.18,market_entry
2024,2912e39cdfec5559c452,TC355,4,corp,0,1,19,0.219,18,2,1,28,19912729.21,0,0,0,,50.04,open_source
2010,0d90735ad82825f7ee3c,TC397,1,individual,0,1,11,0.806,13,3,1,35,37677036.32,0,0,0,,45.04,scale
2010,7da17f516313b854ecee,TC192,2,govt_lab,0,0,25,1.984,18,3,0,15,5094874.6,1,0,0,,27.01,acquired
2012,bf0a239c4889fcb1b1a2,TC895,6,individual,0,1,20,2.632,21,4,1,16,7365150.25,1,0,0,,57.72,internal_use
2015,6a00dd45272af2b2a19e,TC605,6,corp,0,1,11,0.0,20,3,0,42,39609950.77,1,1,0,,31.76,internal_use
2018,ec69a58fed4cbef59c83,TC772,9,individual,0,1,21,2.239,17,3,1,36,2081142.07,0,1,0,,50.66,idea
2008,94608dc43cb8974828a8,TC919,9,psu,0,1,16,1.909,14,3,1,41,3019972.86,0,0,0,,42.27,acquired
2025,da8f935fa7baaa7eb8b9,TC557,8,university,1,0,22,2.28,9,5,1,29,32201706.12,1,0,0,TTO290170,42.48,scale
2023,629fa9e4102eabeae52c,TC923,3,corp,0,0,24,0.889,24,3,1,7,17494048.63,1,0,0,,21.31,pilot
2021,6faa0e39baa6091be281,TC690,1,university,1,1,15,4.159,11,4,0,28,11515805.76,0,0,0,TTO876593,60.17,internal_use
2010,0ff7129f4be2dd692e04,TC811,3,university,1,0,13,2.431,12,5,1,32,3961581.21,0,0,0,TTO263619,44.21,prototype
2021,61af3604aa0921832a25,TC847,8,psu,0,1,24,0.782,13,4,0,41,4625187.91,0,0,0,,53.75,market_entry
2015,c0e43149c03bf4acaae3,TC469,3,psu,0,0,19,2.447,12,2,1,12,8670252.66,0,0,0,,35.23,market_entry
2013,15ab6d6c5d26c39f4e3e,TC871,6,individual,0,1,20,2.147,14,4,0,28,14670012.45,0,1,0,,40.07,open_source
2024,1a243ee47723b1ede388,TC745,8,psu,0,0,19,3.194,18,8,0,54,4621379.14,1,0,0,,43.91,pilot
2023,13b89d13dbacdbf73041,TC346,3,govt_lab,0,0,15,1.214,15,5,1,30,21084426.65,0,0,0,,39.04,pilot
2012,87b8a19a75af59665a78,TC843,2,startup,0,0,12,2.003,24,5,1,9,5355754.22,0,0,0,,18.16,prototype
2022,3de2743b1d1c90e4d5ff,TC126,4,individual,0,1,24,0.622,17,1,0,22,1479415.36,0,0,0,,39.78,prototype
2014,b1392845f7a55bea37b8,TC652,1,govt_lab,0,0,28,0.0,12,2,0,14,12628335.55,1,0,0,,47.17,market_entry
2013,a632defaae2b70235b4d,TC551,8,university,1,1,13,2.504,17,3,1,30,3960047.58,0,1,0,TTO983101,53.72,idea
2023,b28a67244516ee63b0ff,TC275,8,university,1,1,18,0.729,21,3,0,22,7938540.27,0,0,0,TTO802507,57.09,acquired
2017,78375c3864b5ef496772,TC368,1,corp,0,1,19,2.841,16,2,0,20,14092356.79,0,0,1,,53.41,pilot
2010,b608d9ee16d011c6633e,TC190,2,govt_lab,0,0,23,2.291,16,5,0,42,12420708.98,0,0,0,,46.96,acquired
2012,58c82ca5d6c4372aedaf,TC245,5,govt_lab,0,0,17,1.723,18,2,1,27,9578149.19,0,0,0,,68.38,acquired
2011,b14465c418c360d9c66f,TC593,9,psu,0,1,21,1.047,24,7,0,27,5637443.16,0,0,0,,68.48,licensed
2020,98c38076b88504d690bb,TC778,5,individual,0,0,25,0.73,19,6,1,22,64313026.0,0,1,0,,40.52,open_source
2017,8e3b41935fbcf5240074,TC614,3,individual,0,1,18,0.764,24,6,0,25,1523253.4,0,1,0,,38.8,internal_use
2025,0e91ebab5d863215db00,TC453,3,psu,0,0,18,2.615,21,2,1,21,9991534.99,0,0,0,,82.01,scale
2025,84f73da47ecaca8a9a92,TC997,6,university,1,0,11,1.442,12,5,0,24,13879780.67,1,0,0,TTO338091,60.97,market_entry
2011,050837ed12d6e15f70fc,TC673,9,startup,0,1,17,1.046,14,5,1,6,10424874.4,1,0,0,,39.99,open_source
2016,b25ccd6a27886e25fc11,TC425,10,university,1,0,26,0.0,15,3,0,43,808237.2,0,1,0,TTO790242,70.99,licensed
2023,08da4e77ed4a9ce31ded,TC708,8,corp,0,1,9,1.022,16,3,1,26,20247437.82,1,0,0,,9.51,open_source
2016,e22ebf0131d9b3932aef,TC970,3,psu,0,1,16,2.283,13,4,0,41,2711404.47,0,0,0,,90.62,idea
2024,7111e5693d1869c7270a,TC972,7,startup,0,0,22,3.23,14,3,0,6,1904479.73,1,0,0,,30.38,internal_use
2009,8a69515ecf11519f5230,TC445,6,govt_lab,0,0,16,2.208,15,9,0,54,2546681.17,1,0,0,,47.7,scale
2023,dae9ab1fde65f5f6c981,TC267,9,corp,0,1,21,0.0,14,5,1,27,2716186.32,0,0,0,,52.35,acquired
2018,a90e5427db372af4fa21,TC433,7,psu,0,1,13,0.332,16,6,0,19,5373636.13,0,0,1,,89.14,open_source
2018,50c4598743b76ed79d90,TC431,7,university,1,1,14,1.033,16,4,0,40,1843102.27,0,0,1,TTO359839,53.97,acquired
2015,c5b1a414300228c87842,TC826,9,corp,0,0,17,1.947,15,4,1,36,15012515.43,0,0,0,,59.15,pilot
2012,1104d155d0e031f4a379,TC420,10,corp,0,0,18,1.933,18,3,0,25,831712.23,0,1,0,,87.05,internal_use
2022,94291a0b748c3f4c99d8,TC549,7,corp,0,0,19,1.28,17,3,0,36,1016530.32,1,0,0,,27.26,prototype
2011,5f790560d5963882420f,TC411,10,startup,0,1,16,2.135,20,2,1,36,5164331.66,0,1,0,,60.47,pilot
2025,14a4aa1adc1c09dedcea,TC996,6,startup,0,0,21,0.806,18,3,1,27,7755327.95,1,0,0,,39.12,idea
2023,f3af21531cf3671e77cf,TC219,9,individual,0,1,19,1.021,22,5,0,42,30862511.17,0,0,0,,65.81,pilot
2014,2416d14c4705d03f6edc,TC393,7,corp,0,0,18,1.114,12,5,1,39,3229407.75,0,0,0,,39.88,licensed
2025,8272ed50edc96ac87b80,TC718,2,university,1,1,19,2.926,25,7,0,33,732432.75,0,0,0,TTO288650,27.18,market_entry
2008,20257101ec5bc18d43ac,TC635,5,startup,0,1,14,1.246,12,4,0,37,11704940.78,0,0,0,,67.47,idea
2013,31098ee8a23ad9e4c8d7,TC939,5,university,1,0,22,0.944,17,8,1,39,8636062.88,1,0,0,TTO441532,53.99,scale
2024,5b9b83dfc80e84f35e1d,TC742,1,startup,0,0,18,1.724,15,3,0,26,718859.4,0,0,0,,71.79,idea
2008,265dc3e379894ecd8fd7,TC483,10,startup,0,1,18,1.121,11,5,0,42,249676.65,0,0,0,,58.06,market_entry
2020,11448f069250bd0eed95,TC604,7,individual,0,1,14,1.913,19,4,0,53,2126715.21,0,0,0,,61.57,pilot
2008,80ffb4b920ae443a95a1,TC896,1,university,1,1,13,0.019,19,4,0,21,6203567.21,0,0,0,TTO128578,69.6,market_entry
2023,6894b97a56eece159b50,TC720,9,individual,0,1,21,0.672,16,3,0,37,6367273.26,0,0,0,,42.72,market_entry
2010,1d5c7adec89919cfce65,TC427,6,individual,0,1,20,1.535,13,3,1,31,1341401.54,0,0,0,,56.94,idea
2016,8b6b8335f5d64874ecea,TC720,1,individual,0,0,15,0.925,16,10,1,30,1874959.77,0,0,0,,56.86,market_entry
2022,7b55370865f8b72be707,TC582,2,university,1,0,7,1.617,16,2,1,23,18375474.09,0,0,0,TTO715824,76.8,prototype
2022,84a72050361e83b75e74,TC253,5,corp,0,0,21,2.467,15,3,0,24,5694698.45,0,0,0,,55.85,pilot
