energy_renew_reference_year,energy_renew_country_iso2,energy_renew_sector_code,energy_renew_share_pct,energy_renew_target_2030_pct,energy_renew_fit55_alignment_flag,energy_renew_installed_capacity_mw,energy_renew_new_installations_mw,energy_renew_permitting_time_months_median,energy_renew_grid_connection_queue_count,energy_renew_curtailment_rate_pct,energy_renew_storage_capacity_mwh,energy_renew_hydrogen_production_tonnes,energy_renew_rfnsbo_compliance_flag,energy_renew_renewable_guarantees_of_origin_count,energy_renew_support_scheme_code,energy_renew_support_amount_eur,energy_renew_repower_eu_flag,energy_renew_data_source,energy_renew_data_extract_date
2014,SK,TRANSPORT,52.04,33.91,1,323731.7,19807.5,35.5,171,2.7,445363.16,51335.96,0,6042952,NET_METERING,6525230326.77,0,COMMISSION_PROGRESS_REPORT,2025-04-01
2015,BE,HEATING_COOLING,66.44,41.96,1,85965.82,4725.99,31.99,5820,11.04,166930.7,83304.37,0,7231366,AUCTION_CFD,646451798.55,0,GO_REGISTRY,2024-01-17
2016,DK,ELECTRICITY,35.49,56.87,0,21190.29,1702.97,44.13,7076,3.74,344263.76,5985.21,0,11135653,CONTRACTS_FOR_DIFFERENCE,4080287377.65,0,NATIONAL_ENERGY_STAT,2024-03-15
2017,GR,INDUSTRY,51.6,58.62,1,154676.91,11942.25,31.61,1380,8.73,329252.49,98733.45,0,9280646,CAPEX_GRANT,5144288257.56,1,ENTSOE_RENEWABLES,2024-04-29
2018,LT,TRANSPORT,28.33,37.85,0,291612.74,25729.26,54.0,11349,0.68,43417.89,72311.3,0,1254405,FEED_IN_TARIFF,11018462129.78,0,COMMISSION_PROGRESS_REPORT,2025-03-28
2019,PT,HEATING_COOLING,24.4,59.61,0,236612.32,16972.92,22.48,7025,7.67,85280.98,86445.3,0,7773092,TAX_CREDIT,7307453974.1,0,GO_REGISTRY,2024-09-17
2020,SE,ELECTRICITY,44.06,35.11,1,29200.18,1559.49,33.33,689,10.17,79032.35,129563.33,0,7220482,FEED_IN_PREMIUM,534926212.47,0,NATIONAL_ENERGY_STAT,2024-01-15
2021,CY,INDUSTRY,48.82,57.58,0,19160.98,1317.17,18.42,6903,5.43,369941.46,12436.38,0,1269679,NET_METERING,4107948802.71,0,ENTSOE_RENEWABLES,2025-06-23
2022,FR,TRANSPORT,67.55,49.42,1,131804.87,5940.74,7.4,5409,7.08,471674.95,370350.5,0,87510,AUCTION_CFD,2607774804.9,1,COMMISSION_PROGRESS_REPORT,2024-03-20
2023,IT,HEATING_COOLING,9.41,55.17,1,114644.2,6773.27,8.49,11981,6.95,79916.38,259244.82,0,8388561,CONTRACTS_FOR_DIFFERENCE,3419832406.37,1,GO_REGISTRY,2026-02-22
2024,NL,ELECTRICITY,81.15,58.37,1,54992.13,1417.56,36.87,10542,2.09,1018298.45,259377.19,1,10743748,CAPEX_GRANT,9225100232.58,1,NATIONAL_ENERGY_STAT,2025-01-25
2025,SI,INDUSTRY,52.31,47.31,1,195124.15,6516.42,23.59,2775,0.66,112475.93,19044.87,1,2747730,FEED_IN_TARIFF,612976588.63,1,ENTSOE_RENEWABLES,2024-01-13
2004,BG,TRANSPORT,22.53,58.22,0,160081.68,3682.25,10.16,6444,2.63,69444.05,84963.53,0,7872077,TAX_CREDIT,1654313776.15,0,COMMISSION_PROGRESS_REPORT,2024-01-02
2005,EE,HEATING_COOLING,34.12,32.21,1,177745.83,12016.04,25.35,11573,2.16,9300.6,82013.28,0,6667089,FEED_IN_PREMIUM,3572323436.3,0,GO_REGISTRY,2025-07-28
2006,HU,ELECTRICITY,62.05,36.83,1,369511.39,7101.09,11.86,11870,4.64,360408.7,38415.78,0,5021385,NET_METERING,5970429055.02,1,NATIONAL_ENERGY_STAT,2025-12-03
2007,LU,INDUSTRY,51.8,45.34,1,188185.39,6307.54,45.55,2001,8.42,383908.77,97773.5,0,285670,AUCTION_CFD,5432400389.04,0,ENTSOE_RENEWABLES,2024-10-07
2008,RO,TRANSPORT,17.37,35.74,0,29177.69,1313.12,44.6,11596,2.41,471183.64,108421.56,0,4073649,CONTRACTS_FOR_DIFFERENCE,5096131057.3,0,COMMISSION_PROGRESS_REPORT,2024-01-13
2009,AT,HEATING_COOLING,33.54,38.26,1,163489.0,4647.68,34.76,6361,12.45,263991.41,22804.17,0,6512509,CAPEX_GRANT,3563883012.93,0,GO_REGISTRY,2024-01-19
2010,CZ,ELECTRICITY,24.54,33.89,0,305658.42,13226.1,6.82,8389,4.79,205630.3,15348.13,0,27394133,FEED_IN_TARIFF,3440051063.51,0,NATIONAL_ENERGY_STAT,2024-05-03
2011,DE,INDUSTRY,13.92,56.23,0,274555.0,4399.89,28.72,9406,7.56,45236.76,55534.75,0,6920974,TAX_CREDIT,4371272534.74,0,ENTSOE_RENEWABLES,2025-02-06
2012,LV,TRANSPORT,17.44,46.06,0,270264.02,610.56,31.95,4322,5.82,241243.48,77545.07,0,4784845,FEED_IN_PREMIUM,1884841703.84,0,COMMISSION_PROGRESS_REPORT,2025-06-11
2013,PL,HEATING_COOLING,6.6,34.39,0,92136.02,7107.35,44.63,4083,5.91,174755.47,43594.63,0,5183317,NET_METERING,5037243553.44,0,GO_REGISTRY,2024-08-21
2014,ES,ELECTRICITY,26.65,47.36,0,53468.48,3586.47,23.94,8113,5.72,935183.05,4459.66,0,9565280,AUCTION_CFD,10437493652.45,0,NATIONAL_ENERGY_STAT,2025-06-06
2015,HR,INDUSTRY,28.37,33.82,1,232922.34,18188.8,49.27,7053,0.5,360275.36,33627.12,0,7184819,CONTRACTS_FOR_DIFFERENCE,4228492863.29,1,ENTSOE_RENEWABLES,2024-03-27
2016,FI,TRANSPORT,30.84,45.93,0,23749.55,355.2,3.63,10971,9.71,69619.21,20371.87,0,2999294,CAPEX_GRANT,5895986587.4,1,COMMISSION_PROGRESS_REPORT,2024-12-19
2017,IE,HEATING_COOLING,52.62,45.32,1,12147.27,457.79,28.28,59,8.7,315754.65,78183.24,0,2773144,FEED_IN_TARIFF,4732034686.26,0,GO_REGISTRY,2025-05-10
2018,MT,ELECTRICITY,51.94,50.5,1,19919.5,1461.47,13.21,11412,7.95,427742.48,36053.46,0,18255628,TAX_CREDIT,637906070.79,0,NATIONAL_ENERGY_STAT,2025-09-24
2019,SK,INDUSTRY,19.92,37.5,0,250676.03,10079.75,24.83,11082,9.6,263109.48,68157.97,0,1689240,FEED_IN_PREMIUM,4633224152.01,0,ENTSOE_RENEWABLES,2025-02-26
2020,BE,TRANSPORT,50.71,35.9,1,6353.03,342.64,42.42,785,7.33,501893.44,222994.92,0,3417449,NET_METERING,4031504721.12,0,COMMISSION_PROGRESS_REPORT,2025-09-14
2021,DK,HEATING_COOLING,16.28,41.71,1,153240.62,8288.9,3.34,8187,8.5,211269.2,67852.08,0,8306344,AUCTION_CFD,618693962.8,0,GO_REGISTRY,2024-07-09
2022,GR,ELECTRICITY,82.64,40.63,1,109430.92,2825.33,38.88,3818,5.41,425928.72,19871.34,0,29628483,CONTRACTS_FOR_DIFFERENCE,4408499968.57,1,NATIONAL_ENERGY_STAT,2025-02-09
2023,LT,INDUSTRY,40.55,46.83,1,111863.05,6633.13,10.59,7311,5.9,121287.53,321181.68,0,2740868,CAPEX_GRANT,3334270260.09,0,ENTSOE_RENEWABLES,2025-03-09
2024,PT,TRANSPORT,51.73,51.32,1,144960.53,4855.51,6.76,875,0.81,126171.4,339119.12,0,8630521,FEED_IN_TARIFF,5508908923.63,1,COMMISSION_PROGRESS_REPORT,2024-06-23
2025,SE,HEATING_COOLING,36.85,36.98,1,246399.46,8843.22,26.71,3942,11.95,500253.79,10728.58,1,5094470,TAX_CREDIT,4188635295.16,0,GO_REGISTRY,2024-01-20
2004,CY,ELECTRICITY,8.44,47.75,0,76108.42,5055.21,4.57,79,3.67,568062.13,5460.84,0,9505199,FEED_IN_PREMIUM,5692033855.18,0,NATIONAL_ENERGY_STAT,2024-12-27
2005,FR,INDUSTRY,32.8,32.04,0,73460.95,6149.54,27.43,3526,3.74,347112.64,53045.0,0,4541317,NET_METERING,7576130947.01,0,ENTSOE_RENEWABLES,2025-06-19
2006,IT,TRANSPORT,50.57,54.76,1,204295.0,16304.96,54.55,5531,0.81,191695.49,34326.41,0,2770271,AUCTION_CFD,7888012299.69,0,COMMISSION_PROGRESS_REPORT,2024-04-22
2007,NL,HEATING_COOLING,80.61,46.1,1,60931.95,1662.94,21.36,5389,4.68,458554.83,49376.75,0,8052990,CONTRACTS_FOR_DIFFERENCE,612935920.91,0,GO_REGISTRY,2025-07-31
2008,SI,ELECTRICITY,23.3,52.98,0,225990.8,5059.96,10.48,9324,3.08,337914.58,105755.65,0,11865680,CAPEX_GRANT,1158241430.35,0,NATIONAL_ENERGY_STAT,2025-10-18
2009,BG,INDUSTRY,9.25,51.29,0,289331.92,5969.53,13.32,8048,8.2,333712.8,30802.89,0,6317319,FEED_IN_TARIFF,180208707.54,0,ENTSOE_RENEWABLES,2024-10-21
2010,EE,TRANSPORT,59.87,35.8,1,217564.33,12531.59,25.06,11744,4.48,158125.15,92651.65,0,6597600,TAX_CREDIT,4015896375.11,0,COMMISSION_PROGRESS_REPORT,2024-01-30
2011,HU,HEATING_COOLING,5.84,51.1,0,112325.49,10092.46,35.12,547,8.11,353937.76,55797.83,0,4255568,FEED_IN_PREMIUM,4372682057.72,0,GO_REGISTRY,2025-07-12
2012,LU,ELECTRICITY,31.57,34.01,0,214509.86,10396.52,26.97,4930,10.63,121135.19,99247.25,0,31131223,NET_METERING,896207794.27,0,NATIONAL_ENERGY_STAT,2024-08-20
2013,RO,INDUSTRY,32.56,55.36,0,95143.08,1333.69,53.42,7889,4.17,244821.28,86923.02,0,6810868,AUCTION_CFD,7049974200.9,0,ENTSOE_RENEWABLES,2025-07-20
2014,AT,TRANSPORT,58.72,51.41,1,106997.08,5773.72,46.2,7451,8.38,173760.04,94095.19,0,4490055,CONTRACTS_FOR_DIFFERENCE,9120994740.65,0,COMMISSION_PROGRESS_REPORT,2025-04-09
2015,CZ,HEATING_COOLING,36.0,42.91,1,284452.76,10036.36,25.06,11674,2.74,493813.35,62363.62,0,4549223,CAPEX_GRANT,184057828.4,0,GO_REGISTRY,2026-02-04
2016,DE,ELECTRICITY,12.03,55.04,0,196088.06,14752.02,33.23,12419,7.73,87343.33,27633.79,0,14543643,FEED_IN_TARIFF,545694220.88,1,NATIONAL_ENERGY_STAT,2024-06-27
2017,LV,INDUSTRY,54.6,33.0,1,68677.47,564.83,25.76,6882,3.29,414444.14,73195.0,0,8305648,TAX_CREDIT,8359709238.25,0,ENTSOE_RENEWABLES,2024-09-16
2018,PL,TRANSPORT,38.28,41.86,1,105663.52,7400.05,46.63,4593,0.39,232064.63,82473.86,0,5517595,FEED_IN_PREMIUM,6174662981.54,0,COMMISSION_PROGRESS_REPORT,2024-01-20
2019,ES,HEATING_COOLING,51.96,59.62,1,43864.4,3347.9,15.63,3517,6.69,206171.46,94261.47,0,9960030,NET_METERING,3640335058.68,1,GO_REGISTRY,2024-02-11
2020,HR,ELECTRICITY,28.05,35.53,1,4260.43,248.14,11.1,1745,8.95,76172.83,264583.4,0,11174449,AUCTION_CFD,8915684090.91,0,NATIONAL_ENERGY_STAT,2025-03-13
2021,FI,INDUSTRY,54.48,35.1,0,245604.58,20799.41,32.23,6459,11.07,379671.26,229592.7,0,11979898,CONTRACTS_FOR_DIFFERENCE,5947596613.87,0,ENTSOE_RENEWABLES,2025-05-23
2022,IE,TRANSPORT,44.17,56.48,1,205167.25,3409.51,42.71,2752,8.31,492920.43,45644.56,0,4995928,CAPEX_GRANT,4543596254.85,1,COMMISSION_PROGRESS_REPORT,2024-04-29
2023,MT,HEATING_COOLING,11.29,54.58,0,123519.75,8879.76,5.06,11031,2.09,360630.55,296174.4,1,11487383,FEED_IN_TARIFF,6568768728.49,0,GO_REGISTRY,2025-06-21
2024,SK,ELECTRICITY,23.78,34.04,0,217337.7,17294.83,2.82,12142,9.08,720488.16,257064.03,0,8436090,TAX_CREDIT,9742162177.23,1,NATIONAL_ENERGY_STAT,2025-10-26
2025,BE,INDUSTRY,79.75,46.73,1,222677.63,3231.8,23.02,2334,5.86,505980.16,192600.8,1,10654907,FEED_IN_PREMIUM,2665214011.66,0,ENTSOE_RENEWABLES,2024-04-14
2004,DK,TRANSPORT,41.35,47.46,1,24990.44,2124.62,7.68,3250,0.43,259677.93,61216.01,0,7215101,NET_METERING,851499685.76,0,COMMISSION_PROGRESS_REPORT,2025-11-12
2005,GR,HEATING_COOLING,70.23,40.38,1,139872.34,2529.78,57.12,10559,10.58,515549.69,74633.28,0,11376683,AUCTION_CFD,7162961692.5,0,GO_REGISTRY,2025-01-27
2006,LT,ELECTRICITY,59.18,40.52,1,121384.6,7500.89,4.18,1727,7.97,740430.24,23889.99,0,13783831,CONTRACTS_FOR_DIFFERENCE,725409911.93,1,NATIONAL_ENERGY_STAT,2025-09-05
2007,PT,INDUSTRY,57.14,34.03,1,105237.8,8934.83,46.0,11578,8.5,382379.78,5322.71,0,2210047,CAPEX_GRANT,9573965013.08,1,ENTSOE_RENEWABLES,2024-03-30
2008,SE,TRANSPORT,7.18,43.25,1,70463.82,2654.81,55.35,788,6.85,38683.83,7352.75,0,5181606,FEED_IN_TARIFF,5550336286.91,0,COMMISSION_PROGRESS_REPORT,2026-01-12
2009,CY,HEATING_COOLING,75.04,50.15,1,292230.82,6104.34,54.26,10522,5.64,244153.71,34342.91,0,7152107,TAX_CREDIT,3235104947.22,0,GO_REGISTRY,2025-08-12
2010,FR,ELECTRICITY,70.39,42.62,1,43150.9,3668.47,27.35,7089,6.33,118779.82,61368.58,0,30292060,FEED_IN_PREMIUM,2742169778.98,0,NATIONAL_ENERGY_STAT,2025-03-29
2011,IT,INDUSTRY,53.94,59.81,0,87832.33,6265.64,51.42,10584,3.24,466684.54,45093.06,0,1014052,NET_METERING,7516709375.82,0,ENTSOE_RENEWABLES,2025-07-06
2012,NL,TRANSPORT,16.61,32.7,1,56770.67,1374.53,11.08,3882,10.03,490396.27,58365.5,0,9649628,AUCTION_CFD,733989975.42,0,COMMISSION_PROGRESS_REPORT,2026-01-31
2013,SI,HEATING_COOLING,66.31,39.53,1,184970.88,12139.77,13.21,4480,1.24,381781.27,46800.35,0,485853,CONTRACTS_FOR_DIFFERENCE,5482197920.06,0,GO_REGISTRY,2025-05-29
2014,BG,ELECTRICITY,10.92,46.47,0,21843.54,757.61,33.42,8199,6.54,543331.23,72797.57,0,12225283,CAPEX_GRANT,4186455053.85,1,NATIONAL_ENERGY_STAT,2024-08-01
2015,EE,INDUSTRY,49.5,39.25,1,159947.92,4890.73,7.32,7030,6.63,297390.59,82004.56,0,9432738,FEED_IN_TARIFF,667960639.95,0,ENTSOE_RENEWABLES,2025-01-25
2016,HU,TRANSPORT,77.33,37.6,1,108071.14,3652.02,41.89,6500,12.34,100121.6,44764.51,0,8295234,TAX_CREDIT,4519296126.24,0,COMMISSION_PROGRESS_REPORT,2025-10-31
2017,LU,HEATING_COOLING,34.15,54.01,0,29985.3,1794.16,5.34,11582,2.97,363336.2,64336.53,0,1156025,FEED_IN_PREMIUM,6249760612.35,0,GO_REGISTRY,2024-02-04
2018,RO,ELECTRICITY,81.96,33.02,1,380813.5,13945.82,16.84,4337,4.79,27129.26,36467.64,0,24702448,NET_METERING,5637617885.84,0,NATIONAL_ENERGY_STAT,2024-11-05
2019,AT,INDUSTRY,67.74,39.0,1,28989.13,746.6,22.97,5126,10.63,358597.84,65075.0,0,12307926,AUCTION_CFD,3801107439.43,0,ENTSOE_RENEWABLES,2026-02-25
2020,CZ,TRANSPORT,7.65,57.56,0,20282.9,770.5,35.24,9411,0.55,26371.7,84500.71,0,11244139,CONTRACTS_FOR_DIFFERENCE,10738772244.34,0,COMMISSION_PROGRESS_REPORT,2025-08-16
2021,DE,HEATING_COOLING,8.05,34.76,1,75113.44,5695.75,21.66,9674,7.2,6855.51,323158.03,0,3232891,CAPEX_GRANT,3162527953.38,0,GO_REGISTRY,2025-12-10
2022,LV,ELECTRICITY,18.08,41.82,1,146532.54,10645.77,26.02,3178,9.58,909516.07,298092.99,0,24975792,FEED_IN_TARIFF,2560050016.32,1,NATIONAL_ENERGY_STAT,2026-02-18
2023,PL,INDUSTRY,56.32,44.5,1,42351.02,2106.15,4.68,5616,5.99,211012.65,265537.47,0,3285107,TAX_CREDIT,1443131035.33,1,ENTSOE_RENEWABLES,2025-01-16
2024,ES,TRANSPORT,22.68,43.22,0,210623.12,3809.88,3.95,6038,1.03,374633.73,16403.05,0,4805689,FEED_IN_PREMIUM,6457478680.46,1,COMMISSION_PROGRESS_REPORT,2025-12-09
2025,HR,HEATING_COOLING,32.59,50.04,0,169968.45,2769.57,36.88,1084,11.31,270698.41,162608.28,1,4122983,NET_METERING,10792509526.72,1,GO_REGISTRY,2024-09-19
2004,FI,ELECTRICITY,73.46,52.27,1,401995.2,11739.97,45.98,6570,6.12,553551.59,105303.67,0,23605709,AUCTION_CFD,4999063678.65,0,NATIONAL_ENERGY_STAT,2024-05-13
2005,IE,INDUSTRY,19.64,51.26,0,21426.89,1274.01,9.53,4310,9.88,49537.34,71089.4,0,3142553,CONTRACTS_FOR_DIFFERENCE,1232582934.53,0,ENTSOE_RENEWABLES,2025-11-18
2006,MT,TRANSPORT,19.84,44.83,0,195886.01,4612.18,29.62,10527,9.42,100719.05,8434.49,0,9755430,CAPEX_GRANT,8121517674.52,0,COMMISSION_PROGRESS_REPORT,2026-01-29
2007,SK,HEATING_COOLING,39.42,41.73,1,172302.11,3828.43,56.19,9228,7.4,508476.62,95604.95,0,3818178,FEED_IN_TARIFF,4418071232.46,0,GO_REGISTRY,2026-01-09
2008,BE,ELECTRICITY,27.7,47.98,0,232666.19,13672.15,44.82,11347,7.46,807916.06,9092.4,0,13093462,TAX_CREDIT,3963695756.8,0,NATIONAL_ENERGY_STAT,2024-12-08
2009,DK,INDUSTRY,53.06,34.24,0,202479.81,2459.31,56.78,11026,5.9,438034.84,1831.6,0,8390391,FEED_IN_PREMIUM,950730078.31,0,ENTSOE_RENEWABLES,2024-07-13
2010,GR,TRANSPORT,81.03,43.64,1,65831.08,4198.83,11.28,118,8.2,2403.64,36775.89,0,6858192,NET_METERING,1368257257.96,0,COMMISSION_PROGRESS_REPORT,2024-01-30
2011,LT,HEATING_COOLING,34.77,48.84,0,371228.76,2869.07,36.91,8473,0.87,182172.48,9450.43,0,3308625,AUCTION_CFD,1266766649.11,0,GO_REGISTRY,2025-10-13
2012,PT,ELECTRICITY,19.85,50.57,0,213178.23,10496.23,15.39,6367,8.94,852999.48,16051.11,0,10238063,CONTRACTS_FOR_DIFFERENCE,1231379691.9,0,NATIONAL_ENERGY_STAT,2025-08-09
2013,SE,INDUSTRY,9.78,56.82,0,130682.83,851.39,32.83,6705,5.77,51640.67,50797.32,0,4865507,CAPEX_GRANT,7568600344.7,0,ENTSOE_RENEWABLES,2025-09-23
2014,CY,TRANSPORT,36.41,47.37,0,164829.5,2067.05,16.78,10042,7.36,466359.04,4718.11,0,1350886,FEED_IN_TARIFF,5035716132.75,0,COMMISSION_PROGRESS_REPORT,2024-11-04
2015,FR,HEATING_COOLING,33.45,40.46,1,78898.17,5192.51,29.22,2120,0.39,382870.33,96646.96,0,6678607,TAX_CREDIT,9681881365.82,0,GO_REGISTRY,2025-01-18
2016,IT,ELECTRICITY,73.78,45.9,1,99736.14,7017.72,34.16,7758,5.87,249064.31,10396.09,0,14015856,FEED_IN_PREMIUM,2160897551.51,1,NATIONAL_ENERGY_STAT,2025-02-25
2017,NL,INDUSTRY,31.49,56.16,0,100316.24,4582.24,24.63,11080,11.9,226778.17,6243.39,0,6287046,NET_METERING,2405920802.86,1,ENTSOE_RENEWABLES,2025-02-16
2018,SI,TRANSPORT,20.68,39.95,0,29453.94,1901.17,25.48,3569,0.08,194003.4,83967.09,0,11338345,AUCTION_CFD,5069781680.62,1,COMMISSION_PROGRESS_REPORT,2025-10-12
2019,BG,HEATING_COOLING,63.7,33.79,1,40058.6,1434.58,30.76,5583,11.81,487719.79,79325.37,0,7031338,CONTRACTS_FOR_DIFFERENCE,5788186389.14,0,GO_REGISTRY,2025-07-22
2020,EE,ELECTRICITY,26.53,45.99,0,93721.91,7009.1,34.61,2747,9.48,954722.19,89139.21,0,99540,CAPEX_GRANT,1860990953.84,0,NATIONAL_ENERGY_STAT,2025-03-16
2021,HU,INDUSTRY,23.76,35.44,0,97699.48,5254.39,40.86,1456,3.4,400557.58,300034.29,0,1466961,FEED_IN_TARIFF,7226572895.7,0,ENTSOE_RENEWABLES,2024-11-30
2022,LU,TRANSPORT,10.85,57.8,0,151863.03,5646.44,3.58,7719,3.86,177264.92,179046.42,0,750171,TAX_CREDIT,5768824926.72,1,COMMISSION_PROGRESS_REPORT,2024-09-02
2023,RO,HEATING_COOLING,67.04,51.56,1,281971.68,17938.09,3.35,10907,8.33,339533.74,236991.38,1,3497297,FEED_IN_PREMIUM,6839888385.47,1,GO_REGISTRY,2025-11-20
2024,AT,ELECTRICITY,35.89,54.27,0,201820.62,8599.77,38.8,8722,10.71,135062.04,5195.26,0,4392263,NET_METERING,4390655682.92,0,NATIONAL_ENERGY_STAT,2024-08-07
2025,CZ,INDUSTRY,82.05,49.97,1,169776.97,10881.59,8.51,5025,1.68,258405.46,55492.23,0,8401131,AUCTION_CFD,1189331704.99,0,ENTSOE_RENEWABLES,2025-07-20
2004,DE,TRANSPORT,27.32,53.57,0,150741.69,4782.98,56.49,5061,10.26,410048.65,58245.21,0,2307729,CONTRACTS_FOR_DIFFERENCE,5882154284.67,0,COMMISSION_PROGRESS_REPORT,2024-08-30
2005,LV,HEATING_COOLING,12.1,55.17,0,14094.71,138.22,50.75,10235,9.26,97872.4,51300.38,0,9335439,CAPEX_GRANT,476042773.33,0,GO_REGISTRY,2024-01-28
2006,PL,ELECTRICITY,6.55,52.91,0,367243.02,4997.85,28.96,7543,2.78,745901.21,58325.88,0,30264107,FEED_IN_TARIFF,5650851957.61,0,NATIONAL_ENERGY_STAT,2025-01-03
2007,ES,INDUSTRY,55.15,45.66,1,164126.42,6398.02,31.05,1464,5.8,452946.55,89676.53,0,8893893,TAX_CREDIT,3991732818.46,0,ENTSOE_RENEWABLES,2024-05-17
2008,HR,TRANSPORT,15.91,37.7,0,199968.47,1222.07,16.7,8671,2.62,341013.68,83076.72,0,11886171,FEED_IN_PREMIUM,2109689843.89,0,COMMISSION_PROGRESS_REPORT,2025-11-11
2009,FI,HEATING_COOLING,7.67,41.92,0,73724.66,6266.11,6.6,1840,4.13,455952.13,94978.37,0,11026873,NET_METERING,3315507755.11,0,GO_REGISTRY,2025-02-10
2010,IE,ELECTRICITY,82.25,49.5,1,181909.2,12308.66,48.37,2918,3.29,618737.36,85030.28,0,28677888,AUCTION_CFD,1902691194.31,0,NATIONAL_ENERGY_STAT,2025-03-27
2011,MT,INDUSTRY,33.25,36.38,1,243408.22,10708.09,16.83,2622,11.56,131254.7,64896.35,0,10737824,CONTRACTS_FOR_DIFFERENCE,431247883.88,0,ENTSOE_RENEWABLES,2026-01-04
2012,SK,TRANSPORT,4.58,42.08,0,142420.32,10452.7,22.98,4431,0.77,105448.93,87258.21,0,7219183,CAPEX_GRANT,5813382637.33,0,COMMISSION_PROGRESS_REPORT,2025-02-12
2013,BE,HEATING_COOLING,72.42,41.36,1,113610.33,4060.46,19.46,2899,11.75,450022.15,53633.24,0,1674442,FEED_IN_TARIFF,852417585.92,0,GO_REGISTRY,2025-12-08
2014,DK,ELECTRICITY,74.0,59.75,1,35747.81,1391.82,34.47,5768,12.12,106292.83,6018.58,0,30507274,TAX_CREDIT,6772611581.36,0,NATIONAL_ENERGY_STAT,2024-02-03
2015,GR,INDUSTRY,74.32,58.16,1,279176.27,11778.13,39.93,1986,8.01,493833.26,36785.13,0,4894982,FEED_IN_PREMIUM,2119655178.76,0,ENTSOE_RENEWABLES,2025-04-05
2016,LT,TRANSPORT,27.99,39.81,0,325791.98,14609.69,39.25,11150,2.4,191812.88,49177.79,0,4695536,NET_METERING,3085592209.0,0,COMMISSION_PROGRESS_REPORT,2025-02-14
2017,PT,HEATING_COOLING,48.42,45.52,1,283814.42,22382.36,19.46,8561,6.4,307798.66,17094.58,0,9164817,AUCTION_CFD,7060867952.51,0,GO_REGISTRY,2024-06-27
2018,SE,ELECTRICITY,81.19,57.11,1,93656.87,4334.13,13.3,4562,12.42,327215.73,29346.04,0,27406883,CONTRACTS_FOR_DIFFERENCE,2703235141.69,1,NATIONAL_ENERGY_STAT,2024-04-08
2019,CY,INDUSTRY,32.09,42.64,1,1431.3,27.95,33.92,6957,11.55,343130.84,110988.26,0,5150782,CAPEX_GRANT,1035248359.64,0,ENTSOE_RENEWABLES,2024-10-11
2020,FR,TRANSPORT,18.1,38.27,1,168636.5,4966.14,25.11,6706,11.58,480710.69,61551.58,0,5674637,FEED_IN_TARIFF,1427753094.62,0,COMMISSION_PROGRESS_REPORT,2025-01-25
