qol_cult_reference_year,qol_cult_country_iso2,qol_cult_region_nuts_code,qol_cult_cultural_venue_type_code,qol_cult_visits_per_capita,qol_cult_participation_rate_pct,qol_cult_public_spend_culture_eur_per_capita,qol_cult_employment_cultural_sector_pct,qol_cult_creative_industries_turnover_eur,qol_cult_libraries_per_100k,qol_cult_museums_per_100k,qol_cult_cinema_admissions_per_capita,qol_cult_festival_events_count,qol_cult_european_capital_of_culture_flag,qol_cult_cross_border_cultural_projects_count,qol_cult_digital_culture_consumption_pct,qol_cult_copyright_collecting_society_revenues_eur,qol_cult_data_source,qol_cult_methodology_version,qol_cult_data_extract_date
2016,PT,SK232,CINEMA,1.43,70.0,220.06,3.31,6433212630.64,20.59,3.27,5.0,259,1,123,35.25,876573364.05,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-05-24
2017,BE,AT535,CULTURAL_CENTRE,3.0,63.48,149.44,1.54,6470983650.81,22.43,6.78,5.43,449,0,32,23.36,370885366.49,EUROSTAT_CULT,CULT_V3,2024-04-23
2018,FI,IE175,MUSEUM,2.21,67.38,142.51,3.55,2365376447.27,14.76,16.34,1.69,48,0,3,88.24,411603195.25,CULTURE_STATS_SURVEY,CULT_V2,2025-01-01
2019,LV,ES6,LIBRARY,8.85,29.69,179.18,1.53,15540347228.87,16.68,4.39,3.59,228,0,73,66.71,416145240.66,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-09-14
2020,RO,CY300,FESTIVAL_SITE,5.52,41.58,197.42,1.21,8125610951.09,16.1,3.89,2.72,252,0,75,94.42,659625777.81,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-05-08
2021,BG,HU1,THEATRE,6.74,51.56,70.81,1.96,18129766250.0,16.73,5.15,3.63,41,0,58,80.83,200853711.45,EUROSTAT_CULT,CULT_V2,2025-07-11
2022,FR,GR9,CONCERT_HALL,10.0,53.12,199.59,1.61,13059733276.88,14.91,6.3,4.06,287,0,7,40.5,138105304.78,CULTURE_STATS_SURVEY,CULT_V1,2025-09-18
2023,LT,LV4,HERITAGE_SITE,3.38,41.31,54.2,2.01,15714857941.8,8.17,16.79,1.63,256,0,102,47.1,864722863.71,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-03-13
2024,SK,LU8,CINEMA,1.96,62.88,152.19,2.76,5144323900.85,8.57,16.01,2.73,292,0,167,68.1,626948286.21,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-05-01
2025,HR,BE7,CULTURAL_CENTRE,10.56,62.57,60.07,1.29,2159945289.01,9.24,14.03,3.31,220,0,21,50.01,136747296.15,EUROSTAT_CULT,CULT_V1,2024-04-11
2006,DE,LT7,MUSEUM,11.83,69.59,106.27,3.25,7995877625.11,9.51,8.22,3.54,109,0,130,34.69,1365816966.35,CULTURE_STATS_SURVEY,CULT_V3,2025-03-30
2007,LU,DE63,LIBRARY,9.33,36.16,111.97,2.98,13654946942.63,21.52,13.82,5.42,157,0,117,53.34,534721907.17,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-07-21
2008,SI,HR75,FESTIVAL_SITE,2.66,32.74,142.38,1.85,9579235750.39,21.57,12.63,3.87,221,0,133,29.52,836620784.11,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-08-29
2009,CY,DE5,THEATRE,9.58,27.01,77.99,1.55,16689401899.56,27.03,9.28,5.72,301,0,115,54.62,369542826.01,EUROSTAT_CULT,CULT_V3,2025-06-11
2010,GR,RO699,CONCERT_HALL,7.71,33.24,191.89,2.35,8269964195.96,26.8,2.47,4.95,128,0,45,35.06,825897989.66,CULTURE_STATS_SURVEY,CULT_V2,2025-05-12
2011,MT,BE106,HERITAGE_SITE,8.59,62.34,72.5,2.0,15783032878.03,15.13,15.49,4.98,103,0,29,28.77,313965396.22,CREATIVE_ECON_ACCOUNTS,CULT_V1,2026-01-30
2012,ES,CY80,CINEMA,5.37,56.58,170.88,2.64,13573476325.17,8.97,19.0,5.42,145,1,126,33.01,132497231.63,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-05-14
2013,CZ,AT5,CULTURAL_CENTRE,7.69,57.0,82.6,2.59,19893314811.72,27.41,9.1,1.23,298,0,147,45.34,446412892.94,EUROSTAT_CULT,CULT_V2,2024-05-08
2014,HU,HU483,MUSEUM,1.06,26.25,186.53,1.63,3015691087.06,26.73,2.13,1.59,180,0,119,22.32,146388858.46,CULTURE_STATS_SURVEY,CULT_V1,2024-08-01
2015,NL,SE14,LIBRARY,6.37,78.31,266.51,4.37,3412197044.59,13.38,14.77,1.88,233,0,137,21.68,700948008.41,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-12-02
2016,SE,PT7,FESTIVAL_SITE,9.57,30.11,218.53,1.46,18287325912.9,26.62,12.28,1.21,213,0,126,67.54,1118999268.78,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-08-02
2017,DK,HR480,THEATRE,10.04,59.62,74.29,2.35,10920199568.65,9.55,11.37,2.26,157,0,24,68.08,203826243.59,EUROSTAT_CULT,CULT_V1,2024-05-29
2018,IE,IE964,CONCERT_HALL,10.5,40.31,133.41,3.37,6631639140.89,18.96,14.52,4.82,119,1,61,90.9,887062610.56,CULTURE_STATS_SURVEY,CULT_V3,2025-01-15
2019,PL,NL82,HERITAGE_SITE,5.85,27.75,238.54,3.64,6036333656.66,19.78,7.59,1.35,297,0,45,58.01,380498566.1,CREATIVE_ECON_ACCOUNTS,CULT_V2,2026-02-16
2020,AT,IE4,CINEMA,2.24,41.66,85.8,1.61,7956638005.58,12.15,11.67,1.07,54,0,37,85.83,270541396.95,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-03-29
2021,EE,PT53,CULTURAL_CENTRE,6.33,68.48,214.63,2.87,18985693312.38,13.02,11.69,2.13,321,0,50,84.53,451613898.97,EUROSTAT_CULT,CULT_V3,2025-01-27
2022,IT,LU771,MUSEUM,6.53,30.11,100.35,2.53,25647297852.89,20.34,3.46,1.71,39,0,114,31.39,98238212.91,CULTURE_STATS_SURVEY,CULT_V2,2024-05-08
2023,PT,LU993,LIBRARY,8.15,43.57,177.19,3.23,910583852.49,16.21,11.3,6.12,204,0,1,29.28,882672864.65,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-07-02
2024,BE,SE398,FESTIVAL_SITE,6.03,71.77,269.2,2.96,24697516046.79,25.28,13.35,4.01,117,0,151,58.94,777668385.51,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-01-03
2025,FI,SI76,THEATRE,3.31,32.39,139.06,3.09,10106223720.34,30.4,5.7,1.36,66,0,9,36.67,945388681.11,EUROSTAT_CULT,CULT_V2,2025-07-21
2006,LV,IE2,CONCERT_HALL,1.74,48.36,171.3,2.89,15904742411.22,12.26,8.39,1.44,43,1,31,51.49,829316536.89,CULTURE_STATS_SURVEY,CULT_V1,2025-04-20
2007,RO,EE13,HERITAGE_SITE,4.51,56.66,149.35,3.62,2952660214.16,22.12,13.77,4.78,145,0,93,53.98,294944497.93,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-06-25
2008,BG,FR89,CINEMA,4.19,43.28,194.99,2.64,10280186682.54,27.85,6.6,5.84,360,0,94,44.8,42210458.87,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-09-14
2009,FR,DE9,CULTURAL_CENTRE,5.28,44.28,287.4,2.67,21945297945.75,12.72,14.6,6.21,117,0,161,60.84,815624470.54,EUROSTAT_CULT,CULT_V1,2024-02-09
2010,LT,LV96,MUSEUM,9.95,54.0,161.91,2.4,4845955848.25,21.49,14.01,3.46,19,0,41,55.82,847316177.76,CULTURE_STATS_SURVEY,CULT_V3,2026-01-15
2011,SK,PL334,LIBRARY,2.46,33.75,157.79,2.77,10239464146.34,26.04,10.16,2.67,47,0,133,60.06,658385690.04,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-09-20
2012,HR,EE9,FESTIVAL_SITE,1.35,42.57,220.73,2.5,14975826488.68,9.82,7.38,6.1,70,0,128,23.54,777823216.93,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-10-11
2013,DE,BE804,THEATRE,3.72,51.89,170.7,2.52,6033527231.11,19.31,11.13,4.76,62,0,96,64.52,1254861924.09,EUROSTAT_CULT,CULT_V3,2025-09-29
2014,LU,BG296,CONCERT_HALL,4.18,60.88,119.46,3.23,11897396720.33,19.39,4.98,1.37,309,0,102,17.33,382537442.59,CULTURE_STATS_SURVEY,CULT_V2,2025-01-02
2015,SI,CY239,HERITAGE_SITE,3.04,42.42,178.92,3.02,13047811294.38,19.94,8.35,1.92,362,0,123,64.48,434643578.72,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-01-12
2016,CY,ES66,CINEMA,8.92,43.4,123.56,3.01,3776679652.19,20.61,9.5,1.21,213,0,21,44.88,499210300.64,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-04-05
2017,GR,MT8,CULTURAL_CENTRE,2.64,36.81,237.09,3.44,22146833249.02,11.31,2.27,4.91,140,0,56,27.61,612132628.61,EUROSTAT_CULT,CULT_V2,2025-04-03
2018,MT,AT29,MUSEUM,3.8,29.76,141.75,2.2,14884290015.84,27.83,7.83,2.94,93,0,24,90.86,678437953.15,CULTURE_STATS_SURVEY,CULT_V1,2025-05-11
2019,ES,LV540,LIBRARY,4.99,53.57,175.45,3.56,1192019914.3,17.75,9.88,1.36,371,1,16,89.14,802313569.14,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-01-10
2020,CZ,LU6,FESTIVAL_SITE,8.4,61.82,204.29,2.64,11630525333.39,18.79,10.4,1.33,263,0,19,36.49,469309394.68,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-04-26
2021,HU,LV636,THEATRE,4.5,46.71,246.54,1.33,12132350850.58,26.58,10.35,2.78,309,0,49,77.32,891338939.58,EUROSTAT_CULT,CULT_V1,2024-02-28
2022,NL,BG62,CONCERT_HALL,2.23,47.05,82.1,3.47,42006746129.78,28.22,4.9,1.5,326,1,131,70.48,180700376.6,CULTURE_STATS_SURVEY,CULT_V3,2024-11-30
2023,SE,SK7,HERITAGE_SITE,7.96,63.66,227.75,1.35,3626201226.14,31.76,13.75,6.49,186,1,126,91.42,477377105.35,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-09-11
2024,DK,EE185,CINEMA,3.01,53.03,143.08,1.69,16937379222.23,29.75,11.16,3.97,254,0,8,35.33,919736492.3,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-05-22
2025,IE,PL329,CULTURAL_CENTRE,2.15,66.97,200.18,3.2,28610618166.74,21.06,5.28,3.77,196,0,79,41.67,47597220.25,EUROSTAT_CULT,CULT_V3,2025-05-21
2006,PL,SE651,MUSEUM,10.66,29.69,76.88,2.33,1179650161.43,23.0,14.16,1.07,13,0,32,43.51,536613867.56,CULTURE_STATS_SURVEY,CULT_V2,2025-01-22
2007,AT,IE41,LIBRARY,4.49,32.19,85.79,1.4,15810818169.46,12.08,7.7,3.77,41,0,93,29.98,490745030.17,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-02-20
2008,EE,GR651,FESTIVAL_SITE,6.63,52.33,169.32,1.46,15791683009.92,7.86,11.73,3.07,46,0,34,67.92,497052659.47,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-11-22
2009,IT,AT638,THEATRE,5.85,59.27,228.54,3.27,5349272022.81,20.09,6.98,2.36,32,0,16,30.25,35311123.1,EUROSTAT_CULT,CULT_V2,2024-05-20
2010,PT,CZ11,CONCERT_HALL,10.35,43.13,158.25,2.41,5755670659.78,20.23,11.11,4.35,224,0,10,26.29,564934999.59,CULTURE_STATS_SURVEY,CULT_V1,2024-02-19
2011,BE,PT383,HERITAGE_SITE,9.24,47.44,128.96,2.35,1029373847.52,11.42,14.48,4.76,26,0,112,49.52,596127119.67,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-01-12
2012,FI,LT246,CINEMA,7.83,49.14,104.39,1.82,5900725813.37,23.92,15.93,2.07,273,0,67,20.92,228083487.15,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-05-09
2013,LV,IE11,CULTURAL_CENTRE,7.74,67.88,216.62,1.49,16328170288.96,16.22,10.18,5.43,9,0,98,52.25,157194586.11,EUROSTAT_CULT,CULT_V1,2024-03-01
2014,RO,LT3,MUSEUM,6.7,24.16,217.05,1.23,20223854690.19,25.12,6.23,5.02,188,0,71,22.15,38503007.55,CULTURE_STATS_SURVEY,CULT_V3,2025-10-14
2015,BG,BE627,LIBRARY,8.17,36.22,173.21,2.79,12552438328.84,24.34,8.17,4.48,107,0,68,23.53,746289871.48,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-04-15
2016,FR,IT855,FESTIVAL_SITE,2.93,74.51,297.19,1.88,22880381692.79,20.95,12.78,3.08,190,0,120,79.59,1117336230.74,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-12-27
2017,LT,FR77,THEATRE,4.87,66.99,187.23,1.45,5947090797.52,10.36,2.73,4.59,77,0,116,73.26,660366763.9,EUROSTAT_CULT,CULT_V3,2024-10-23
2018,SK,DE7,CONCERT_HALL,6.62,58.99,223.22,2.66,2047741723.7,15.67,15.63,2.36,331,0,60,61.84,115598252.26,CULTURE_STATS_SURVEY,CULT_V2,2024-08-28
2019,HR,GR48,HERITAGE_SITE,11.33,35.07,167.95,3.61,21360445698.37,22.16,4.45,4.61,265,1,77,66.15,835212686.77,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-10-19
2020,DE,HU12,CINEMA,8.55,54.22,70.5,3.69,8024956695.66,14.86,5.98,0.73,177,0,33,84.97,1009071709.61,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-04-26
2021,LU,SI9,CULTURAL_CENTRE,5.58,40.72,185.46,2.5,20589526050.89,7.66,14.02,4.07,176,0,40,77.34,428752386.19,EUROSTAT_CULT,CULT_V2,2025-12-26
2022,SI,LU61,MUSEUM,8.19,53.82,152.56,2.01,1685159447.5,12.35,10.49,1.41,208,0,52,31.87,525375915.51,CULTURE_STATS_SURVEY,CULT_V1,2025-05-07
2023,CY,NL323,LIBRARY,6.97,34.34,245.5,2.53,8097106981.44,20.66,14.88,4.45,113,0,72,90.53,398801390.83,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-05-01
2024,GR,BE82,FESTIVAL_SITE,9.59,67.66,114.63,2.57,9483480777.92,19.26,5.04,4.38,71,0,51,58.8,651620218.1,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-11-13
2025,MT,IT3,THEATRE,8.16,51.25,80.58,1.92,4360472428.22,21.11,16.83,4.31,165,1,21,61.85,501932803.78,EUROSTAT_CULT,CULT_V1,2025-03-22
2006,ES,FI692,CONCERT_HALL,3.4,72.62,133.36,3.22,12051681549.75,8.65,13.87,5.73,386,0,85,64.12,624393724.76,CULTURE_STATS_SURVEY,CULT_V3,2025-04-02
2007,CZ,MT305,HERITAGE_SITE,5.76,69.05,211.21,2.1,14084528371.3,17.79,16.26,5.49,273,0,110,38.72,320040637.55,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-10-11
2008,HU,IT858,CINEMA,3.0,26.28,184.16,2.55,14985596597.03,11.4,12.02,1.39,26,0,68,35.28,673212174.69,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-01-23
2009,NL,IE84,CULTURAL_CENTRE,10.89,30.41,191.82,4.15,16485500362.76,27.94,9.75,1.71,149,0,114,27.14,1064426173.09,EUROSTAT_CULT,CULT_V3,2025-12-19
2010,SE,PL757,MUSEUM,5.61,47.37,134.95,1.67,10131038966.66,26.89,3.2,5.88,140,0,49,60.11,829328603.66,CULTURE_STATS_SURVEY,CULT_V2,2025-01-27
2011,DK,ES9,LIBRARY,8.39,51.81,124.05,2.26,446531658.43,27.43,12.83,3.14,147,0,20,26.56,421135399.27,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-04-16
2012,IE,DK81,FESTIVAL_SITE,6.84,31.61,73.53,1.73,3912923899.6,17.74,14.5,1.23,296,0,66,49.8,704212031.15,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-08-07
2013,PL,CY489,THEATRE,5.31,56.33,205.66,2.85,10882024918.63,8.28,11.59,5.93,143,0,67,58.67,436214407.77,EUROSTAT_CULT,CULT_V2,2025-01-05
2014,AT,DK205,CONCERT_HALL,10.21,48.47,198.51,1.62,8842006107.59,24.45,3.14,5.19,277,0,68,58.45,30993670.26,CULTURE_STATS_SURVEY,CULT_V1,2024-09-28
2015,EE,BE46,HERITAGE_SITE,9.73,46.06,165.87,2.86,2673426533.2,9.31,3.08,3.84,326,0,95,49.86,863903187.17,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-07-13
2016,IT,SE5,CINEMA,10.76,74.16,202.71,2.93,1030768089.06,22.83,17.35,3.51,57,1,101,69.27,334313677.54,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-08-18
2017,PT,IE380,CULTURAL_CENTRE,9.53,68.05,157.09,1.76,23980369726.99,13.81,16.28,5.18,254,0,78,78.64,434481427.8,EUROSTAT_CULT,CULT_V1,2024-08-05
2018,BE,EE62,MUSEUM,9.57,46.53,78.56,4.37,2789073156.67,27.25,17.13,2.43,303,0,140,74.86,701073788.55,CULTURE_STATS_SURVEY,CULT_V3,2025-11-12
2019,FI,SI58,LIBRARY,3.42,68.02,210.82,1.56,8670485749.01,33.13,9.24,5.72,97,0,2,46.33,835524426.98,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-11-25
2020,LV,FI585,FESTIVAL_SITE,10.67,28.71,55.21,1.95,6187812735.37,11.86,3.17,1.15,79,0,86,71.8,358898405.25,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-12-03
2021,RO,LU386,THEATRE,1.76,59.4,140.39,2.31,2026259182.73,21.41,8.16,4.17,175,0,109,64.4,471546390.8,EUROSTAT_CULT,CULT_V3,2025-11-04
2022,BG,BE90,CONCERT_HALL,6.12,51.92,100.38,2.77,11860771203.28,23.89,8.72,4.84,193,0,57,35.28,87661252.3,CULTURE_STATS_SURVEY,CULT_V2,2025-03-27
2023,FR,BG551,HERITAGE_SITE,11.83,65.95,104.45,3.41,10218327386.73,27.68,15.51,3.53,357,0,55,57.01,975742171.05,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-01-02
2024,LT,CY920,CINEMA,8.35,46.32,171.38,1.36,17214356226.37,26.92,6.19,5.98,354,0,87,68.35,519256012.36,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-05-23
2025,SK,BG78,CULTURAL_CENTRE,1.15,57.35,148.26,1.86,19730086110.71,24.28,16.35,3.14,144,0,77,52.48,143091123.48,EUROSTAT_CULT,CULT_V2,2026-02-05
2006,HR,ES316,MUSEUM,1.23,69.13,216.52,2.65,5395681230.58,29.57,12.72,1.78,347,0,88,45.18,133498532.65,CULTURE_STATS_SURVEY,CULT_V1,2025-06-21
2007,DE,SI380,LIBRARY,7.52,46.08,216.23,3.87,3091200039.88,17.75,8.27,4.44,347,0,70,26.6,915342089.17,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-05-13
2008,LU,RO9,FESTIVAL_SITE,3.91,46.57,221.45,2.55,7086513790.44,11.91,4.28,1.57,312,0,8,62.69,424510474.76,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-12-09
2009,SI,CY8,THEATRE,5.38,67.2,96.84,2.36,15992986829.74,28.63,9.81,1.87,323,0,21,37.4,573321504.79,EUROSTAT_CULT,CULT_V1,2025-07-04
2010,CY,SI415,CONCERT_HALL,2.98,56.26,92.87,1.72,6297689056.43,13.12,12.74,5.44,187,0,93,43.36,718830966.98,CULTURE_STATS_SURVEY,CULT_V3,2024-04-26
2011,GR,SK30,HERITAGE_SITE,11.46,58.23,140.03,1.62,4841393107.58,21.73,13.96,3.85,85,0,19,21.04,229505952.84,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-08-29
2012,MT,LV30,CINEMA,7.01,44.01,95.73,3.5,4668016876.44,9.64,14.4,3.49,163,0,124,20.12,714133464.11,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-12-22
2013,ES,IT317,CULTURAL_CENTRE,9.9,39.65,142.54,2.16,29234117693.63,26.29,3.26,6.31,276,0,75,19.01,423956148.15,EUROSTAT_CULT,CULT_V3,2025-06-24
2014,CZ,CZ520,MUSEUM,10.5,58.39,229.94,3.65,19827856496.83,27.14,4.2,6.39,229,0,83,55.15,867111629.56,CULTURE_STATS_SURVEY,CULT_V2,2025-06-17
2015,HU,LU332,LIBRARY,5.95,59.06,112.65,1.99,19908077208.84,15.12,14.78,3.26,116,0,111,26.98,922264510.98,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-02-21
2016,NL,BE25,FESTIVAL_SITE,11.75,67.19,298.62,1.7,4121451572.0,26.16,14.83,4.64,458,0,68,45.94,1273200970.37,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-08-24
2017,SE,BE342,THEATRE,4.81,38.88,93.93,3.08,8984790642.37,12.58,13.39,4.08,14,0,77,71.22,199385118.98,EUROSTAT_CULT,CULT_V2,2024-01-05
