care_util_claim_month,care_util_place_of_service_code,care_util_procedure_code,care_util_diagnosis_group_code,care_util_member_months,care_util_visit_count,care_util_admission_count,care_util_readmission_30day_rate,care_util_ed_visit_rate,care_util_preventive_visit_rate,care_util_telehealth_visit_rate,care_util_high_cost_claimant_share,care_util_generic_fill_rate,care_util_imaging_rate_per_1k,care_util_lab_rate_per_1k,care_util_post_acute_utilization_rate,care_util_home_health_utilization_rate,care_util_pmpm_cost_total,care_util_pmpm_cost_inpatient,care_util_pmpm_cost_outpatient
2020-03,24,PROC000123,RESP,314947,2401,123,18.02,142.21,510.95,156.4,4.42,85.61,328.54,823.97,26.09,12.57,471.56,143.71,327.85
2020-04,31,PROC000124,ENDO,389241,2390,117,12.02,210.2,465.23,156.92,0.61,86.72,317.9,940.9,10.08,14.68,998.23,389.38,608.85
2020-05,50,PROC000125,ENDO,95095,2457,121,20.01,338.32,450.33,158.88,6.26,89.12,335.27,236.65,3.51,3.45,1030.14,477.49,552.65
2020-06,24,PROC000126,ONC,378088,2394,110,17.72,423.65,636.87,152.93,1.38,68.45,275.05,956.08,0.11,6.62,1030.7,472.27,558.43
2020-07,24,PROC000127,RESP,32380,2401,114,12.36,261.62,562.55,60.54,1.32,66.64,315.61,817.99,6.46,4.0,1196.07,325.67,870.4
2020-08,57,PROC000128,RESP,13696,2379,122,8.77,423.85,339.02,90.15,4.49,69.29,60.28,373.8,2.32,4.6,755.83,218.11,537.72
2020-09,50,PROC000129,ENDO,164457,2408,114,21.81,491.14,477.81,190.92,6.34,75.56,218.81,1135.67,13.51,7.78,148.84,29.62,119.22
2020-10,57,PROC000130,RENAL,24866,2488,125,10.08,256.36,660.82,76.51,2.91,61.44,255.67,1352.28,7.65,19.41,688.65,152.86,535.79
2020-11,50,PROC000131,INFECT,343746,2302,107,8.63,428.25,301.16,217.92,2.32,64.06,108.07,208.77,14.08,11.75,1134.92,549.94,584.98
2020-12,31,PROC000132,MSK,41641,2450,104,20.2,334.7,449.88,142.11,5.96,67.26,89.95,918.69,5.67,11.35,264.36,83.79,180.57
2021-01,11,PROC000133,NEURO,118921,2435,126,6.93,258.0,678.05,220.68,3.53,61.02,73.38,1201.15,22.54,20.19,1045.66,480.8,564.86
2021-02,57,PROC000134,NEURO,406700,2415,121,21.55,107.11,149.88,79.74,3.47,95.02,160.68,612.25,12.77,11.21,649.01,165.34,483.67
2021-03,21,PROC000135,INFECT,82418,2405,112,16.27,57.34,301.09,134.61,1.68,55.52,295.5,306.67,19.58,21.36,927.01,263.87,663.14
2021-04,11,PROC000136,ONC,26531,2369,105,8.04,208.29,193.58,79.43,4.18,76.15,278.1,499.76,2.28,0.42,729.63,359.91,369.72
2021-05,31,PROC000137,ENDO,378948,2373,134,21.47,77.3,639.85,160.76,1.59,78.29,182.17,242.58,4.88,8.05,1082.99,549.28,533.71
2021-06,34,PROC000138,RENAL,373006,2396,110,12.0,437.57,562.92,52.59,0.64,82.07,90.4,989.22,9.32,2.57,1151.45,545.99,605.46
2021-07,34,PROC000139,DERM,190578,2374,119,17.51,79.51,161.15,161.93,6.41,60.35,293.99,1031.22,19.74,19.47,962.85,406.7,556.15
2021-08,22,PROC000140,DERM,350979,2420,119,5.07,256.41,217.72,91.8,3.66,85.36,171.8,827.79,20.75,13.47,493.82,162.9,330.92
2021-09,23,PROC000141,MSK,180321,2380,126,8.7,129.25,465.72,74.42,3.99,60.69,327.96,885.98,21.09,0.26,416.54,227.77,188.77
2021-10,32,PROC000142,INFECT,150630,2367,118,15.55,324.05,490.57,59.65,6.1,95.65,81.24,1157.03,14.42,0.1,501.6,250.07,251.53
2021-11,61,PROC000143,NEURO,356692,2442,116,5.9,474.42,201.85,230.94,3.88,74.82,142.97,325.06,8.4,18.6,384.39,127.98,256.41
2021-12,61,PROC000144,NEURO,5665,2486,118,11.17,497.29,483.32,74.92,6.06,95.82,325.98,1014.51,16.64,0.97,1112.24,448.12,664.12
2022-01,19,PROC000145,DERM,329549,2436,125,3.12,174.73,255.19,0.15,5.48,78.87,304.8,146.86,14.32,6.75,1199.99,602.07,597.92
2022-02,81,PROC000146,OBGYN,377704,2430,119,12.51,61.8,712.55,144.43,2.77,91.32,248.44,1187.25,15.35,10.24,491.72,114.59,377.13
2022-03,71,PROC000147,ONC,17713,2435,108,9.54,53.32,591.18,228.86,4.91,80.1,270.95,931.82,0.45,20.16,375.08,117.79,257.29
2022-04,42,PROC000148,GI,128611,2386,113,17.07,136.52,170.44,66.2,2.38,74.0,203.86,346.5,23.72,11.45,273.31,63.45,209.86
2022-05,50,PROC000149,RESP,372119,2432,136,4.64,308.65,375.69,212.29,4.09,58.71,333.36,225.71,3.44,16.06,1240.59,353.43,887.16
2022-06,81,PROC000150,ENDO,213614,2428,120,3.56,64.73,136.8,115.74,3.49,69.42,181.69,228.56,18.66,4.21,1229.54,449.7,779.84
2022-07,19,PROC000151,OBGYN,40679,2336,114,17.7,284.79,217.72,27.98,4.46,61.45,321.49,1304.57,3.44,20.03,1172.12,428.25,743.87
2022-08,24,PROC000152,NEURO,150750,2434,101,6.67,42.98,267.3,7.59,2.52,56.64,74.38,469.65,8.36,12.01,578.15,294.07,284.08
2022-09,34,PROC000153,RENAL,297811,2352,101,9.05,278.78,169.44,130.06,0.53,86.2,76.51,651.47,23.19,5.68,936.43,290.46,645.97
2022-10,32,PROC000154,RESP,112831,2402,134,7.83,222.31,539.51,143.2,6.29,91.98,285.53,1345.12,14.22,10.51,680.22,335.23,344.99
2022-11,34,PROC000155,CARDIO,366982,2396,113,21.01,450.41,251.02,77.46,1.08,95.44,150.57,416.25,3.02,20.44,491.25,123.15,368.1
2022-12,23,PROC000156,CARDIO,364761,2395,106,14.96,81.56,702.46,4.37,4.94,55.11,185.22,1376.15,6.32,17.5,245.19,45.97,199.22
2023-01,32,PROC000157,CARDIO,293748,2468,108,4.49,294.12,366.93,227.88,6.16,89.77,245.91,227.08,15.66,15.23,597.05,305.64,291.41
2023-02,22,PROC000158,CARDIO,372915,2392,138,19.76,62.29,503.59,206.71,3.65,91.99,242.38,756.22,21.29,12.65,433.85,127.57,306.28
2023-03,49,PROC000159,CARDIO,30015,2492,123,16.51,176.86,148.35,119.51,4.75,74.58,122.32,1086.6,10.27,9.59,361.78,105.7,256.08
2023-04,33,PROC000160,ENDO,373945,2442,125,9.34,516.18,107.73,21.52,4.19,57.76,85.51,619.33,4.27,20.39,1086.27,291.23,795.04
2023-05,41,PROC000161,INFECT,55632,2319,140,12.19,270.9,453.16,175.4,2.39,60.79,156.57,1335.38,25.03,4.12,598.88,152.37,446.51
2023-06,49,PROC000162,RENAL,18086,2502,110,5.73,124.21,281.63,47.8,6.42,58.41,325.89,1115.54,12.14,14.14,722.67,183.65,539.02
2023-07,42,PROC000163,CARDIO,400685,2424,123,8.44,76.46,232.33,219.55,2.59,67.88,50.33,382.6,27.94,16.61,496.91,272.76,224.15
2023-08,19,PROC000164,RESP,369467,2385,122,16.36,110.25,452.3,105.92,2.81,87.82,199.67,673.48,5.73,13.47,1161.27,489.91,671.36
2023-09,23,PROC000165,NEURO,243793,2413,137,17.73,146.93,170.74,135.31,1.7,89.07,352.1,171.68,14.37,8.31,306.86,89.16,217.7
2023-10,34,PROC000166,INFECT,57338,2434,123,13.93,280.74,285.52,231.69,1.6,72.99,245.19,1164.15,17.45,1.42,376.51,98.35,278.16
2023-11,42,PROC000167,GI,51370,2370,112,10.2,407.1,277.24,166.09,3.42,63.55,209.92,907.43,7.04,2.62,757.72,227.31,530.41
2023-12,50,PROC000168,NEURO,416751,2400,109,18.08,484.82,281.91,164.39,4.22,74.93,80.72,203.39,14.44,20.21,227.84,57.46,170.38
2024-01,19,PROC000169,OBGYN,86566,2388,131,9.57,361.89,663.3,193.1,2.59,86.81,334.27,845.08,9.75,11.88,160.09,37.66,122.43
2024-02,23,PROC000170,DERM,73963,2430,130,8.5,437.68,568.26,13.84,5.3,92.28,105.48,1222.58,7.63,15.87,308.56,90.22,218.34
2024-03,49,PROC000171,NEURO,104727,2403,127,9.06,407.22,714.38,130.63,2.42,90.97,273.62,807.8,23.22,6.91,710.97,146.68,564.29
2024-04,34,PROC000172,OBGYN,246017,2340,129,21.42,494.32,697.64,169.42,3.38,95.71,43.81,936.72,11.0,16.02,668.44,172.15,496.29
