trans_port_arrival_date,trans_port_port_un_locode,trans_port_vessel_imo_hash,trans_port_vessel_type_code,trans_port_cargo_category_code,trans_port_container_teu_count,trans_port_cargo_tonnage_metric,trans_port_origin_country_code,trans_port_destination_country_code,trans_port_berth_assignment_id,trans_port_berth_time_hours,trans_port_dwell_time_hours,trans_port_customs_hold_flag,trans_port_rail_intermodal_flag,trans_port_truck_gate_turn_time_minutes,trans_port_emissions_at_berth_kg,trans_port_harbor_congestion_index,trans_port_pilotage_required_flag,trans_port_weather_delay_flag,trans_port_security_level_code
2017-01-12,USMIA,IMO000000012,RORO,AUTOMOTIVE,15944,361156.26,CN,US,BERTH0000012,52.27,219.65,0,0,51.07,15826.47,0.5837,0,1,LEVEL_1
2017-01-13,USSEA,IMO000000013,REEFER,AUTOMOTIVE,4913,294919.12,BR,CA,BERTH0000013,48.87,155.38,0,0,29.71,22551.98,0.5141,0,0,LEVEL_1
2017-01-14,USLAX,IMO000000014,BULK,ENERGY,1607,317241.51,NL,US,BERTH0000014,54.25,72.21,1,0,52.68,18403.13,0.0496,0,1,LEVEL_1
2017-01-15,USTAC,IMO000000015,TANKER,INDUSTRIAL,10776,285537.37,DE,US,BERTH0000015,66.12,123.62,0,1,42.13,79881.42,0.691,0,0,LEVEL_1
2017-01-16,USSEA,IMO000000016,TANKER,AUTOMOTIVE,2842,98156.67,CN,US,BERTH0000016,13.7,171.67,0,0,35.52,34212.26,0.5062,0,0,LEVEL_2
2017-01-17,USOAK,IMO000000017,BULK,AUTOMOTIVE,14061,237572.96,SG,US,BERTH0000017,84.57,117.75,0,1,173.0,39103.68,0.0016,0,0,LEVEL_1
2017-01-18,USTAC,IMO000000018,BULK,CHEMICALS,21393,31170.0,JP,US,BERTH0000018,66.02,22.9,0,1,111.09,23945.17,0.8786,0,0,LEVEL_1
2017-01-19,USMIA,IMO000000019,GENERAL_CARGO,INDUSTRIAL,13339,55110.7,IN,US,BERTH0000019,59.65,88.75,0,1,132.04,19448.85,0.9227,0,0,LEVEL_1
2017-01-20,USLAX,IMO000000020,RORO,AUTOMOTIVE,2836,356601.65,CA,US,BERTH0000020,77.86,166.79,1,0,79.9,15565.55,0.877,1,0,LEVEL_2
2017-01-21,USLGB,IMO000000021,TANKER,CHEMICALS,1383,165102.72,JP,MX,BERTH0000021,52.71,145.91,0,1,103.25,67727.47,0.4169,0,0,LEVEL_1
2017-01-22,USLGB,IMO000000022,CONTAINER,AGRI_FOOD,689,327550.35,JP,CA,BERTH0000022,6.26,178.32,0,0,17.7,52365.19,0.3308,0,0,LEVEL_2
2017-01-23,USTAC,IMO000000023,TANKER,ENERGY,20453,371863.69,KR,CA,BERTH0000023,81.48,3.97,0,0,76.35,37902.51,0.2163,1,0,LEVEL_2
2017-01-24,USSEA,IMO000000024,CONTAINER,ENERGY,15945,251224.42,CA,CA,BERTH0000024,80.03,108.18,0,0,111.31,90513.13,0.1914,0,0,LEVEL_3
2017-01-25,USTAC,IMO000000025,CONTAINER,AGRI_FOOD,18152,152849.72,DE,US,BERTH0000025,94.42,159.69,0,1,61.59,84728.33,0.8023,0,0,LEVEL_1
2017-01-26,USHOU,IMO000000026,CONTAINER,INDUSTRIAL,14873,91584.84,DE,US,BERTH0000026,18.77,101.31,1,0,82.24,66734.37,0.2581,0,0,LEVEL_1
2017-01-27,USLAX,IMO000000027,CONTAINER,CHEMICALS,3852,155319.47,CA,US,BERTH0000027,86.57,106.92,0,0,20.85,27807.07,0.6697,0,0,LEVEL_1
2017-01-28,USCHS,IMO000000028,BULK,OTHER,2577,286534.7,MX,US,BERTH0000028,50.43,212.47,0,0,48.27,35847.08,0.7641,0,0,LEVEL_2
2017-01-29,USSAV,IMO000000029,GENERAL_CARGO,OTHER,7627,227025.06,CA,MX,BERTH0000029,17.33,20.59,0,0,117.65,44064.66,0.3437,0,0,LEVEL_3
2017-01-30,USOAK,IMO000000030,TANKER,AUTOMOTIVE,13461,226395.97,CA,US,BERTH0000030,14.79,186.53,0,0,77.31,13556.05,0.8793,0,0,LEVEL_1
2017-01-31,USNYC,IMO000000031,BULK,ENERGY,21263,35259.54,JP,US,BERTH0000031,65.72,118.41,0,1,120.2,33572.62,0.1406,0,0,LEVEL_1
2017-02-01,USSEA,IMO000000032,CONTAINER,CHEMICALS,6426,14410.63,JP,US,BERTH0000032,66.18,214.03,0,0,170.23,86722.9,0.4672,0,0,LEVEL_1
2017-02-02,USHOU,IMO000000033,CONTAINER,ENERGY,8191,258994.13,VN,US,BERTH0000033,35.72,177.16,0,0,112.6,59968.88,0.5331,0,0,LEVEL_1
2017-02-03,USHOU,IMO000000034,BULK,AUTOMOTIVE,9392,271735.28,SG,MX,BERTH0000034,33.24,52.59,0,0,134.3,34912.29,0.7744,0,0,LEVEL_1
2017-02-04,USSEA,IMO000000035,CONTAINER,OTHER,13403,302732.18,BR,US,BERTH0000035,21.97,180.18,0,1,50.73,67601.27,0.0106,1,1,LEVEL_2
2017-02-05,USNYC,IMO000000036,TANKER,INDUSTRIAL,20067,304157.0,DE,US,BERTH0000036,32.61,165.28,0,0,63.12,80010.08,0.6082,0,0,LEVEL_2
2017-02-06,USLGB,IMO000000037,BULK,CONSUMER_GOODS,5071,37895.67,DE,US,BERTH0000037,28.94,27.94,0,1,16.93,14613.41,0.1038,0,0,LEVEL_1
2017-02-07,USMIA,IMO000000038,RORO,INDUSTRIAL,18795,248299.62,SG,US,BERTH0000038,82.71,107.43,0,0,45.75,28175.81,0.5468,0,1,LEVEL_1
2017-02-08,USOAK,IMO000000039,RORO,CHEMICALS,3575,336302.1,KR,US,BERTH0000039,39.78,82.49,0,0,90.32,26398.11,0.2841,1,0,LEVEL_1
2017-02-09,USLGB,IMO000000040,CONTAINER,AGRI_FOOD,18614,108401.09,CN,US,BERTH0000040,49.78,45.71,0,1,138.66,50838.27,0.5648,1,1,LEVEL_1
2017-02-10,USLAX,IMO000000041,CONTAINER,CHEMICALS,17904,175499.82,GB,US,BERTH0000041,94.18,83.89,0,0,132.52,27595.86,0.1374,0,0,LEVEL_1
2017-02-11,USMIA,IMO000000042,GENERAL_CARGO,INDUSTRIAL,10680,57419.36,CN,US,BERTH0000042,84.6,46.33,0,1,158.95,45515.36,0.6495,0,0,LEVEL_1
2017-02-12,USSAV,IMO000000043,BULK,AGRI_FOOD,3434,273171.25,BR,MX,BERTH0000043,28.65,13.73,0,0,67.63,17394.5,0.4455,0,0,LEVEL_2
2017-02-13,USHOU,IMO000000044,BULK,ENERGY,16694,86322.78,KR,US,BERTH0000044,54.55,109.22,0,0,152.23,61836.61,0.1898,0,0,LEVEL_2
2017-02-14,USLGB,IMO000000045,TANKER,CONSUMER_GOODS,19057,294878.52,IN,US,BERTH0000045,64.58,23.72,0,0,47.38,22169.31,0.1136,0,0,LEVEL_1
2017-02-15,USHOU,IMO000000046,REEFER,AUTOMOTIVE,16827,315479.99,KR,US,BERTH0000046,60.92,99.99,0,1,50.75,67165.21,0.907,0,0,LEVEL_1
2017-02-16,USMIA,IMO000000047,CONTAINER,CONSUMER_GOODS,21873,31814.81,CA,CA,BERTH0000047,71.61,19.41,0,1,151.62,18866.02,0.3627,0,0,LEVEL_1
2017-02-17,USCHS,IMO000000048,TANKER,AUTOMOTIVE,1084,229940.72,NL,US,BERTH0000048,62.74,115.27,0,0,177.5,88443.7,0.8058,0,0,LEVEL_3
2017-02-18,USCHS,IMO000000049,CONTAINER,CONSUMER_GOODS,18960,374587.52,JP,MX,BERTH0000049,78.25,65.71,1,0,152.51,77177.54,0.9621,0,0,LEVEL_2
2017-02-19,USNYC,IMO000000050,CONTAINER,CONSUMER_GOODS,4283,117133.25,BR,US,BERTH0000050,34.64,151.79,0,1,114.82,82458.01,0.8643,0,0,LEVEL_1
2017-02-20,USSEA,IMO000000051,CONTAINER,INDUSTRIAL,6613,122013.2,JP,CA,BERTH0000051,38.59,91.54,0,1,139.39,50884.96,0.3688,0,0,LEVEL_2
2017-02-21,USHOU,IMO000000052,TANKER,CONSUMER_GOODS,6526,165017.76,NL,CA,BERTH0000052,3.07,61.68,0,0,101.65,63610.2,0.9858,0,0,LEVEL_1
2017-02-22,USLGB,IMO000000053,TANKER,AGRI_FOOD,8929,271889.1,VN,US,BERTH0000053,89.58,49.36,0,1,119.95,17714.83,0.2869,0,1,LEVEL_3
2017-02-23,USLGB,IMO000000054,RORO,CHEMICALS,839,341984.69,CN,US,BERTH0000054,51.62,100.21,0,0,34.81,89081.11,0.5287,0,0,LEVEL_1
2017-02-24,USLAX,IMO000000055,GENERAL_CARGO,CONSUMER_GOODS,19647,107251.89,CA,US,BERTH0000055,59.9,84.45,0,0,109.52,48626.51,0.5404,0,0,LEVEL_2
2017-02-25,USLGB,IMO000000056,CONTAINER,OTHER,21427,45581.4,NL,MX,BERTH0000056,33.47,172.9,0,0,108.76,17588.54,0.3757,0,0,LEVEL_3
2017-02-26,USMIA,IMO000000057,BULK,ENERGY,420,176996.72,JP,US,BERTH0000057,1.79,159.25,0,0,134.3,9298.64,0.673,1,0,LEVEL_2
2017-02-27,USCHS,IMO000000058,CONTAINER,ENERGY,8702,185284.85,DE,US,BERTH0000058,9.11,20.77,0,0,5.19,93386.3,0.6996,1,0,LEVEL_1
2017-02-28,USSAV,IMO000000059,BULK,ENERGY,11235,116363.68,DE,MX,BERTH0000059,58.26,116.58,0,0,87.22,88211.04,0.1812,0,0,LEVEL_1
2017-03-01,USLAX,IMO000000060,CONTAINER,OTHER,11247,336825.68,SG,US,BERTH0000060,26.87,167.14,0,0,117.57,6984.39,0.9768,0,0,LEVEL_2
2017-03-02,USHOU,IMO000000061,CONTAINER,AUTOMOTIVE,4003,265520.46,IN,US,BERTH0000061,59.15,40.32,0,0,15.88,94463.49,0.3041,0,0,LEVEL_1
2017-03-03,USMIA,IMO000000062,CONTAINER,ENERGY,8312,16418.59,VN,US,BERTH0000062,46.63,2.84,1,0,27.86,7808.56,0.3737,1,0,LEVEL_1
2017-03-04,USLGB,IMO000000063,CONTAINER,AUTOMOTIVE,8978,211297.43,VN,US,BERTH0000063,81.86,141.54,0,0,164.0,63047.82,0.3829,0,0,LEVEL_2
2017-03-05,USLAX,IMO000000064,GENERAL_CARGO,AGRI_FOOD,6929,358795.4,NL,US,BERTH0000064,80.9,160.8,0,0,59.24,1535.8,0.2679,0,0,LEVEL_2
2017-03-06,USSEA,IMO000000065,BULK,OTHER,20505,64215.64,GB,US,BERTH0000065,82.35,169.51,0,1,135.98,39078.64,0.3093,0,0,LEVEL_2
2017-03-07,USCHS,IMO000000066,CONTAINER,OTHER,6692,24788.37,JP,US,BERTH0000066,6.62,28.22,0,0,141.37,88995.08,0.6344,0,0,LEVEL_2
2017-03-08,USTAC,IMO000000067,TANKER,ENERGY,7650,145665.07,NL,MX,BERTH0000067,5.29,46.26,0,1,28.46,93583.29,0.532,0,0,LEVEL_1
2017-03-09,USLAX,IMO000000068,BULK,CONSUMER_GOODS,13045,91800.35,CN,US,BERTH0000068,31.69,2.3,0,0,90.7,57354.54,0.1225,0,0,LEVEL_1
2017-03-10,USTAC,IMO000000069,BULK,INDUSTRIAL,8192,236994.47,KR,MX,BERTH0000069,42.88,132.99,0,1,122.65,61809.99,0.3605,1,0,LEVEL_1
2017-03-11,USMIA,IMO000000070,TANKER,AGRI_FOOD,20887,184465.94,NL,US,BERTH0000070,5.59,3.7,0,1,41.16,72701.68,0.2034,0,0,LEVEL_1
2017-03-12,USTAC,IMO000000071,BULK,INDUSTRIAL,9030,241637.98,JP,US,BERTH0000071,18.86,170.55,0,1,113.38,3315.33,0.7165,0,0,LEVEL_1
2017-03-13,USMIA,IMO000000072,BULK,CONSUMER_GOODS,12566,70884.09,NL,US,BERTH0000072,32.81,206.21,0,0,154.03,25506.13,0.3393,0,0,LEVEL_1
2017-03-14,USLGB,IMO000000073,CONTAINER,ENERGY,18631,81956.36,JP,US,BERTH0000073,42.36,73.47,0,0,15.82,1048.91,0.6285,1,0,LEVEL_3
2017-03-15,USOAK,IMO000000074,CONTAINER,ENERGY,15730,171488.48,CN,MX,BERTH0000074,35.11,41.74,1,0,119.14,37894.26,0.1597,0,0,LEVEL_2
2017-03-16,USSAV,IMO000000075,RORO,ENERGY,897,190094.23,BR,US,BERTH0000075,40.48,61.32,0,0,118.49,67645.46,0.7758,0,0,LEVEL_1
2017-03-17,USOAK,IMO000000076,CONTAINER,ENERGY,21597,336503.12,CA,US,BERTH0000076,10.73,37.4,0,1,26.35,12009.66,0.702,1,0,LEVEL_1
2017-03-18,USNYC,IMO000000077,CONTAINER,INDUSTRIAL,2912,172643.56,DE,US,BERTH0000077,94.5,134.52,0,0,82.27,28761.1,0.1532,0,1,LEVEL_1
2017-03-19,USMIA,IMO000000078,CONTAINER,CHEMICALS,13404,237797.69,CN,US,BERTH0000078,75.3,118.77,0,0,179.7,67537.3,0.4976,0,0,LEVEL_3
2017-03-20,USNYC,IMO000000079,CONTAINER,CONSUMER_GOODS,19737,18299.25,SG,US,BERTH0000079,93.62,53.3,0,1,36.81,64269.59,0.377,0,0,LEVEL_1
2017-03-21,USLGB,IMO000000080,GENERAL_CARGO,CHEMICALS,16773,336020.99,SG,US,BERTH0000080,42.87,97.29,0,0,81.46,12956.36,0.9303,0,0,LEVEL_2
2017-03-22,USNYC,IMO000000081,CONTAINER,CONSUMER_GOODS,16942,156548.45,GB,US,BERTH0000081,63.52,126.71,0,1,146.47,51963.38,0.1021,0,0,LEVEL_1
2017-03-23,USSEA,IMO000000082,REEFER,ENERGY,6153,300615.15,BR,US,BERTH0000082,47.06,191.76,1,0,90.34,84070.88,0.3775,1,0,LEVEL_2
2017-03-24,USLGB,IMO000000083,BULK,CONSUMER_GOODS,5925,193663.3,BR,CA,BERTH0000083,78.84,40.15,1,0,124.41,59068.43,0.0999,0,0,LEVEL_1
2017-03-25,USCHS,IMO000000084,CONTAINER,OTHER,2146,240230.19,GB,US,BERTH0000084,58.43,94.69,1,1,171.07,73209.21,0.4505,1,0,LEVEL_1
2017-03-26,USMIA,IMO000000085,TANKER,OTHER,11237,1926.74,SG,CA,BERTH0000085,6.19,23.87,0,1,45.08,78730.65,0.8061,0,0,LEVEL_1
2017-03-27,USSEA,IMO000000086,BULK,CONSUMER_GOODS,19417,209282.52,SG,CA,BERTH0000086,53.27,113.52,0,0,92.68,85256.89,0.1019,0,0,LEVEL_1
2017-03-28,USCHS,IMO000000087,CONTAINER,CONSUMER_GOODS,14754,123886.46,GB,US,BERTH0000087,38.09,124.57,0,0,153.01,83545.66,0.2877,0,0,LEVEL_1
2017-03-29,USMIA,IMO000000088,TANKER,AGRI_FOOD,15260,212434.94,IN,CA,BERTH0000088,53.87,99.71,0,0,155.79,82027.72,0.6658,1,0,LEVEL_1
2017-03-30,USTAC,IMO000000089,CONTAINER,CHEMICALS,8651,52569.88,CA,US,BERTH0000089,20.13,80.43,0,0,33.73,92189.55,0.5724,0,0,LEVEL_1
2017-03-31,USLAX,IMO000000090,CONTAINER,CONSUMER_GOODS,12623,263811.95,SG,US,BERTH0000090,27.56,122.44,0,1,15.69,48309.4,0.0004,0,0,LEVEL_1
2017-04-01,USHOU,IMO000000091,CONTAINER,INDUSTRIAL,4853,141052.4,JP,MX,BERTH0000091,13.11,22.96,0,0,23.99,38771.96,0.9742,0,0,LEVEL_1
2017-04-02,USCHS,IMO000000092,BULK,AUTOMOTIVE,20747,351643.99,NL,US,BERTH0000092,40.67,14.85,0,0,138.91,42418.92,0.8518,0,0,LEVEL_1
2017-04-03,USLGB,IMO000000093,CONTAINER,AGRI_FOOD,1545,298307.92,SG,US,BERTH0000093,10.11,45.79,0,1,13.31,27756.36,0.5756,0,0,LEVEL_1
2017-04-04,USLAX,IMO000000094,CONTAINER,CONSUMER_GOODS,4320,127916.14,VN,US,BERTH0000094,63.04,156.75,0,0,178.36,49645.56,0.8845,0,0,LEVEL_2
2017-04-05,USLGB,IMO000000095,TANKER,CHEMICALS,15863,117949.81,CA,US,BERTH0000095,68.74,181.82,0,0,69.9,10213.22,0.7115,1,0,LEVEL_2
2017-04-06,USMIA,IMO000000096,BULK,INDUSTRIAL,19801,31241.13,SG,CA,BERTH0000096,46.01,130.33,0,1,80.52,64282.37,0.6225,0,1,LEVEL_1
2017-04-07,USLGB,IMO000000097,RORO,INDUSTRIAL,10104,274021.54,SG,US,BERTH0000097,56.17,29.3,0,1,11.53,16606.04,0.1532,0,0,LEVEL_1
2017-04-08,USTAC,IMO000000098,CONTAINER,CHEMICALS,2280,195778.84,IN,US,BERTH0000098,75.9,191.92,0,1,101.08,37069.76,0.3258,0,0,LEVEL_2
2017-04-09,USOAK,IMO000000099,CONTAINER,AGRI_FOOD,6929,239895.06,MX,US,BERTH0000099,9.02,13.33,0,0,99.36,91278.05,0.5437,0,0,LEVEL_1
2017-04-10,USHOU,IMO000000100,RORO,CONSUMER_GOODS,14221,160279.51,IN,MX,BERTH0000100,91.46,27.95,0,0,97.4,45928.76,0.9227,0,0,LEVEL_1
2017-04-11,USLAX,IMO000000101,REEFER,INDUSTRIAL,11717,354964.22,MX,US,BERTH0000101,79.08,4.85,0,1,142.57,89112.13,0.7944,0,0,LEVEL_1
2017-04-12,USCHS,IMO000000102,CONTAINER,CONSUMER_GOODS,11046,183535.94,CA,US,BERTH0000102,95.99,164.0,0,0,95.78,77999.63,0.9956,0,0,LEVEL_1
2017-04-13,USLGB,IMO000000103,CONTAINER,ENERGY,2170,281508.62,MX,US,BERTH0000103,48.03,15.31,0,1,74.94,9421.07,0.4464,1,0,LEVEL_1
2017-04-14,USTAC,IMO000000104,CONTAINER,ENERGY,21847,107838.9,JP,MX,BERTH0000104,72.2,194.53,0,0,21.29,79600.61,0.0506,1,0,LEVEL_1
2017-04-15,USTAC,IMO000000105,TANKER,AUTOMOTIVE,332,350576.7,JP,US,BERTH0000105,42.12,133.73,0,1,5.72,31970.89,0.3172,1,0,LEVEL_1
2017-04-16,USMIA,IMO000000106,CONTAINER,AGRI_FOOD,6559,242806.61,VN,US,BERTH0000106,9.13,176.5,0,1,153.85,7753.67,0.289,0,1,LEVEL_1
2017-04-17,USNYC,IMO000000107,CONTAINER,OTHER,18059,83527.93,JP,US,BERTH0000107,17.58,172.02,0,0,133.37,33066.28,0.8502,0,0,LEVEL_2
2017-04-18,USSEA,IMO000000108,BULK,INDUSTRIAL,1777,293741.95,DE,US,BERTH0000108,1.48,163.13,0,0,160.4,74046.11,0.3414,1,0,LEVEL_1
2017-04-19,USSEA,IMO000000109,CONTAINER,CONSUMER_GOODS,1706,127671.08,SG,US,BERTH0000109,42.85,65.5,0,1,75.77,59928.88,0.3719,0,0,LEVEL_2
2017-04-20,USLGB,IMO000000110,CONTAINER,AUTOMOTIVE,9585,71917.5,CN,US,BERTH0000110,65.11,68.96,0,0,15.03,73422.61,0.2006,0,0,LEVEL_3
2017-04-21,USSAV,IMO000000111,TANKER,INDUSTRIAL,16581,23614.84,MX,CA,BERTH0000111,26.18,30.09,0,0,159.23,15128.99,0.4559,0,0,LEVEL_1
2017-04-22,USTAC,IMO000000112,CONTAINER,AUTOMOTIVE,5073,118604.73,KR,US,BERTH0000112,12.38,102.61,0,1,67.3,23428.52,0.5574,0,0,LEVEL_2
2017-04-23,USTAC,IMO000000113,CONTAINER,CONSUMER_GOODS,8171,276850.41,DE,US,BERTH0000113,78.68,169.04,0,0,43.21,32656.6,0.8882,0,0,LEVEL_1
2017-04-24,USLGB,IMO000000114,RORO,OTHER,18080,79383.42,BR,US,BERTH0000114,29.62,211.65,0,0,102.18,36978.29,0.0916,0,0,LEVEL_1
2017-04-25,USOAK,IMO000000115,GENERAL_CARGO,AGRI_FOOD,14862,291734.23,CN,US,BERTH0000115,41.95,12.04,0,1,56.15,54825.06,0.4842,0,0,LEVEL_2
2017-04-26,USNYC,IMO000000116,GENERAL_CARGO,AUTOMOTIVE,9118,358576.68,GB,US,BERTH0000116,78.12,130.62,0,1,156.55,76415.92,0.1145,0,0,LEVEL_1
2017-04-27,USNYC,IMO000000117,BULK,ENERGY,5966,116984.21,CN,US,BERTH0000117,23.7,32.8,0,0,105.16,91247.21,0.5683,0,0,LEVEL_2
2017-04-28,USHOU,IMO000000118,RORO,AUTOMOTIVE,14312,56979.29,SG,US,BERTH0000118,49.64,164.31,0,1,132.59,69809.57,0.386,0,0,LEVEL_1
2017-04-29,USSAV,IMO000000119,CONTAINER,ENERGY,385,62053.1,SG,US,BERTH0000119,95.04,50.11,0,1,177.35,46331.15,0.129,0,0,LEVEL_1
2017-04-30,USSAV,IMO000000120,TANKER,CHEMICALS,18671,101093.46,BR,CA,BERTH0000120,84.45,35.71,0,1,33.52,3546.67,0.5438,1,0,LEVEL_2
2017-05-01,USHOU,IMO000000121,BULK,AUTOMOTIVE,576,39203.34,SG,US,BERTH0000121,75.65,98.15,0,1,86.78,31321.43,0.1167,0,0,LEVEL_1
2017-05-02,USTAC,IMO000000122,GENERAL_CARGO,AUTOMOTIVE,17425,18251.67,DE,US,BERTH0000122,95.44,20.72,0,1,173.71,94117.85,0.5421,0,0,LEVEL_1
2017-05-03,USCHS,IMO000000123,GENERAL_CARGO,AGRI_FOOD,21987,125928.75,CN,CA,BERTH0000123,78.9,81.01,0,0,88.65,70928.43,0.8809,0,1,LEVEL_1
2017-05-04,USSAV,IMO000000124,GENERAL_CARGO,ENERGY,14474,56046.1,KR,US,BERTH0000124,3.44,177.22,0,0,79.72,22300.8,0.6786,0,0,LEVEL_1
2017-05-05,USOAK,IMO000000125,BULK,ENERGY,1407,302238.38,KR,US,BERTH0000125,54.52,22.84,0,1,11.95,10830.57,0.5311,0,1,LEVEL_1
2017-05-06,USSAV,IMO000000126,CONTAINER,CONSUMER_GOODS,17503,36276.2,MX,US,BERTH0000126,68.86,195.93,0,0,105.46,7168.41,0.937,1,0,LEVEL_2
2017-05-07,USCHS,IMO000000127,CONTAINER,CHEMICALS,13066,234917.49,NL,US,BERTH0000127,93.9,88.04,0,0,123.21,71797.12,0.5412,0,0,LEVEL_2
2017-05-08,USOAK,IMO000000128,BULK,INDUSTRIAL,13250,252015.2,GB,MX,BERTH0000128,14.22,144.03,0,1,159.36,22306.65,0.8784,0,0,LEVEL_1
2017-05-09,USSAV,IMO000000129,CONTAINER,OTHER,21719,358774.62,SG,US,BERTH0000129,60.07,114.8,0,1,92.72,90455.21,0.0587,0,0,LEVEL_1
2017-05-10,USMIA,IMO000000130,CONTAINER,CONSUMER_GOODS,6862,183541.01,SG,US,BERTH0000130,23.18,145.24,0,1,138.24,85257.14,0.9063,1,0,LEVEL_3
2017-05-11,USTAC,IMO000000131,CONTAINER,CONSUMER_GOODS,2319,45405.89,KR,US,BERTH0000131,61.18,187.08,0,0,31.08,87005.85,0.6849,1,1,LEVEL_2
2017-05-12,USNYC,IMO000000132,TANKER,AGRI_FOOD,21017,96270.2,SG,US,BERTH0000132,69.1,166.74,0,0,154.27,17232.06,0.5923,1,0,LEVEL_2
2017-05-13,USHOU,IMO000000133,TANKER,CONSUMER_GOODS,3600,332506.92,MX,CA,BERTH0000133,6.83,174.75,0,0,173.56,66317.51,0.2186,0,0,LEVEL_2
2017-05-14,USLAX,IMO000000134,CONTAINER,CONSUMER_GOODS,8355,331710.02,SG,US,BERTH0000134,12.54,130.02,0,1,83.51,78188.17,0.8186,0,1,LEVEL_1
2017-05-15,USHOU,IMO000000135,TANKER,AUTOMOTIVE,16592,314152.74,SG,US,BERTH0000135,54.21,2.76,0,0,91.46,94032.28,0.4662,0,0,LEVEL_1
2017-05-16,USOAK,IMO000000136,CONTAINER,INDUSTRIAL,11838,351594.69,BR,US,BERTH0000136,2.2,78.64,0,0,37.29,47537.54,0.0528,1,0,LEVEL_1
2017-05-17,USSEA,IMO000000137,BULK,CONSUMER_GOODS,1400,250937.38,GB,US,BERTH0000137,2.97,103.39,0,0,10.65,4793.69,0.9537,0,0,LEVEL_1
2017-05-18,USTAC,IMO000000138,BULK,OTHER,20355,127835.09,SG,CA,BERTH0000138,4.57,72.4,0,0,120.07,47347.7,0.0538,0,0,LEVEL_2
2017-05-19,USSEA,IMO000000139,CONTAINER,INDUSTRIAL,9822,253983.05,GB,US,BERTH0000139,23.48,35.7,0,0,168.82,1585.91,0.327,1,0,LEVEL_1
2017-05-20,USSEA,IMO000000140,BULK,INDUSTRIAL,7122,271249.11,KR,MX,BERTH0000140,68.19,213.04,0,0,174.13,36240.61,0.1234,0,0,LEVEL_2
2017-05-21,USSAV,IMO000000141,CONTAINER,AGRI_FOOD,1592,176194.46,NL,CA,BERTH0000141,76.18,123.01,0,1,159.08,60015.44,0.395,1,0,LEVEL_1
2017-05-22,USNYC,IMO000000142,CONTAINER,CONSUMER_GOODS,15505,137734.43,JP,US,BERTH0000142,3.71,195.78,0,1,152.04,74012.93,0.6971,1,0,LEVEL_3
2017-05-23,USTAC,IMO000000143,TANKER,AUTOMOTIVE,14211,354233.11,VN,MX,BERTH0000143,17.7,27.2,0,1,131.32,5888.12,0.8652,0,0,LEVEL_3
2017-05-24,USMIA,IMO000000144,CONTAINER,INDUSTRIAL,14731,123999.54,NL,US,BERTH0000144,14.59,16.66,0,1,91.85,46061.89,0.1174,1,0,LEVEL_1
