edu_credential_reporting_quarter,edu_credential_training_provider_id,edu_credential_credential_type,edu_credential_credential_framework_level,edu_credential_program_duration_hours,edu_credential_tuition_cost_usd,edu_credential_completion_count,edu_credential_completion_rate_pct,edu_credential_employment_placement_rate,edu_credential_median_wage_post_training,edu_credential_industry_alignment_naics,edu_credential_occupation_alignment_soc,edu_credential_work_based_learning_flag,edu_credential_apprenticeship_registered_flag,edu_credential_license_required_flag,edu_credential_exam_pass_rate_pct,edu_credential_recredentialing_interval_months,edu_credential_stackable_credential_flag,edu_credential_online_delivery_flag,edu_credential_equity_access_index
2015Q4,TP100053,BOOTCAMP_BADGE,LEVEL_4,131,11051,579,53.84,84.89,118141,221,201053,0,0,0,82.9,112,0,1,0.2881
2022Q3,TP100054,ASSOCIATE,LEVEL_4,11,27826,310,95.69,77.55,23024,221,211054,0,0,0,51.67,103,0,0,0.7121
2017Q1,TP100055,CEU,LEVEL_5,1172,20587,2073,86.38,89.09,132849,611,221055,0,0,0,53.59,67,1,0,0.9904
2020Q3,TP100056,APPRENTICESHIP,LEVEL_6,558,14447,17,85.88,44.22,16870,623,231056,0,0,0,98.32,94,1,1,0.4632
2024Q2,TP100057,BOOTCAMP_BADGE,LEVEL_7,386,31874,416,45.74,55.4,39901,112,241057,0,0,0,50.84,53,0,0,0.046
2018Q4,TP100058,CEU,LEVEL_2,245,5078,1522,88.06,94.54,89065,484,251058,0,0,1,52.5,20,1,1,0.4296
2016Q4,TP100059,LICENSE,LEVEL_4,1095,2965,2213,69.95,81.13,115306,236,261059,0,0,0,81.81,102,1,1,0.9325
2015Q2,TP100060,LICENSE,LEVEL_4,1472,1848,1605,36.22,81.78,69901,112,271060,1,0,1,65.28,86,1,1,0.3095
2018Q2,TP100061,APPRENTICESHIP,LEVEL_4,1335,22615,1734,91.6,36.95,58228,522,281061,0,0,0,41.26,116,1,0,0.1249
2014Q3,TP100062,ASSOCIATE,LEVEL_7,809,20534,1293,74.92,60.81,95179,236,291062,0,0,0,68.57,103,0,0,0.8745
2016Q3,TP100063,LICENSE,LEVEL_4,162,25062,2261,43.8,45.78,114253,622,301063,1,0,1,80.03,16,1,0,0.395
2016Q4,TP100064,ASSOCIATE,LEVEL_2,1330,24347,1962,72.11,46.03,80129,531,311064,0,0,0,44.26,104,1,1,0.8499
2016Q3,TP100065,MICROCREDENTIAL,LEVEL_4,1648,920,598,80.65,77.94,25972,221,321065,0,0,0,60.2,101,0,0,0.6083
2025Q1,TP100066,ASSOCIATE,LEVEL_3,423,10713,803,46.55,72.22,116215,921,331066,0,0,0,95.37,32,0,0,0.768
2018Q2,TP100067,ASSOCIATE,LEVEL_2,2145,5332,651,50.47,25.44,123871,112,341067,0,0,0,45.06,79,0,0,0.7967
2022Q1,TP100068,CERTIFICATE,LEVEL_7,1599,14247,542,51.68,84.19,64906,221,351068,0,0,0,89.74,99,0,1,0.2498
2018Q3,TP100069,APPRENTICESHIP,LEVEL_1,631,9374,417,43.6,55.3,73803,511,361069,0,0,0,46.78,20,0,1,0.3531
2023Q1,TP100070,CEU,LEVEL_7,314,14535,1639,62.3,67.93,38253,311,371070,1,0,0,55.47,48,0,1,0.1802
2020Q1,TP100071,LICENSE,LEVEL_3,2111,2825,1404,48.84,53.11,130638,622,381071,0,0,0,94.34,111,0,1,0.0344
2024Q3,TP100072,CERTIFICATE,LEVEL_2,1723,9957,35,88.52,37.33,110107,423,391072,1,0,0,79.48,33,1,1,0.5452
2021Q2,TP100073,CEU,LEVEL_7,1192,11053,1913,44.9,90.22,97466,445,401073,1,0,0,81.49,32,0,0,0.0618
2014Q3,TP100074,LICENSE,LEVEL_5,1890,19828,342,40.25,25.94,130503,311,411074,0,0,0,76.84,90,0,1,0.4049
2015Q4,TP100075,LICENSE,LEVEL_3,2009,2839,715,96.39,36.57,88620,112,421075,1,0,1,87.7,16,1,0,0.5596
2022Q2,TP100076,MICROCREDENTIAL,LEVEL_2,1818,2353,513,69.78,89.07,85996,561,431076,0,0,0,60.35,87,0,0,0.5642
2015Q3,TP100077,CEU,LEVEL_2,1317,10243,2038,51.37,93.09,114896,211,441077,1,1,0,41.47,0,0,0,0.7316
2024Q1,TP100078,LICENSE,LEVEL_4,719,3596,551,39.17,41.63,113274,484,451078,0,0,0,55.52,83,0,1,0.4421
2016Q2,TP100079,APPRENTICESHIP,LEVEL_1,1077,1045,1589,84.7,27.72,32644,112,461079,0,0,0,75.02,63,0,1,0.2996
2015Q3,TP100080,ASSOCIATE,LEVEL_5,715,31558,1862,74.37,32.68,40340,236,471080,0,0,0,90.07,49,1,0,0.6459
2018Q3,TP100081,CERTIFICATE,LEVEL_3,132,12263,829,56.23,93.37,71256,611,481081,1,0,0,85.14,48,0,0,0.7396
2024Q2,TP100082,CERTIFICATE,LEVEL_2,748,13095,1673,40.96,28.54,121653,541,491082,0,1,0,60.99,29,1,1,0.0114
2020Q3,TP100083,LICENSE,LEVEL_3,1201,18975,302,77.59,53.2,75135,811,501083,1,1,0,49.32,99,0,1,0.2105
2019Q2,TP100084,CEU,LEVEL_1,102,23224,539,43.21,63.73,57860,236,511084,1,0,0,53.03,60,0,0,0.3086
2018Q1,TP100085,BOOTCAMP_BADGE,LEVEL_2,388,429,301,55.29,49.11,47151,211,521085,1,0,0,80.48,16,0,0,0.1443
2024Q1,TP100086,LICENSE,LEVEL_4,1231,23251,927,36.31,73.83,132594,423,531086,0,0,1,64.3,34,0,1,0.6224
2018Q4,TP100087,CERTIFICATE,LEVEL_6,1886,21493,256,42.44,43.48,63853,811,541087,0,0,1,45.15,33,0,1,0.6685
2024Q2,TP100088,CERTIFICATE,LEVEL_2,1323,2125,1529,93.44,61.91,16601,221,111088,1,0,0,78.09,105,0,0,0.8942
2024Q2,TP100089,APPRENTICESHIP,LEVEL_3,1453,24766,1411,86.29,50.84,17443,531,121089,1,0,0,40.67,10,0,1,0.3546
2022Q3,TP100090,LICENSE,LEVEL_7,1432,7742,1922,41.7,93.26,52697,611,131090,1,0,0,79.73,43,0,1,0.4625
2024Q4,TP100091,CEU,LEVEL_4,977,25213,2044,89.61,74.3,27578,722,141091,0,0,0,95.73,27,1,0,0.2837
2015Q3,TP100092,APPRENTICESHIP,LEVEL_6,71,29573,2216,39.99,37.61,71658,811,151092,1,0,0,57.42,35,0,0,0.8783
2023Q4,TP100093,LICENSE,LEVEL_6,1418,9320,1509,59.83,92.18,75705,484,161093,1,0,0,83.52,103,1,1,0.9867
2022Q3,TP100094,LICENSE,LEVEL_4,382,5937,1985,59.58,53.75,58501,541,171094,0,0,0,48.25,62,0,0,0.6127
2024Q1,TP100095,ASSOCIATE,LEVEL_2,1451,17127,383,43.09,51.87,90849,722,181095,1,0,0,69.07,13,0,1,0.3
2025Q1,TP100096,ASSOCIATE,LEVEL_5,483,10127,382,61.29,41.4,129835,221,191096,1,0,0,88.72,37,0,0,0.1389
2015Q3,TP100097,BOOTCAMP_BADGE,LEVEL_5,1670,21556,1780,37.22,80.28,28904,221,201097,0,0,1,80.54,82,0,1,0.575
2024Q4,TP100098,CERTIFICATE,LEVEL_7,1206,29403,609,48.89,62.74,137179,111,211098,1,0,1,78.54,47,1,0,0.1578
2022Q2,TP100099,CEU,LEVEL_3,1375,24395,2276,46.66,87.24,113800,531,221099,1,1,0,47.62,110,0,1,0.0579
2014Q1,TP100100,BOOTCAMP_BADGE,LEVEL_4,1518,23844,17,53.16,92.04,129243,221,231100,0,0,0,54.48,44,1,1,0.87
2023Q4,TP100101,APPRENTICESHIP,LEVEL_1,885,14877,914,82.11,52.82,115410,623,241101,0,0,1,91.0,50,1,1,0.7676
2015Q4,TP100102,APPRENTICESHIP,LEVEL_7,1044,3496,1222,44.62,85.88,49486,623,251102,1,0,0,91.38,26,0,1,0.9789
2018Q2,TP100103,ASSOCIATE,LEVEL_5,2100,24569,1368,69.88,87.45,27993,211,261103,1,1,1,95.48,117,1,1,0.5621
2024Q4,TP100104,APPRENTICESHIP,LEVEL_2,147,10037,565,76.25,66.19,103915,517,271104,0,0,1,69.41,12,0,1,0.1273
2025Q2,TP100105,BOOTCAMP_BADGE,LEVEL_7,572,17952,803,67.94,38.02,77556,111,281105,0,0,0,73.46,24,0,1,0.8681
2022Q4,TP100106,ASSOCIATE,LEVEL_2,57,17100,489,90.2,84.65,37193,921,291106,1,0,0,60.96,80,1,0,0.1673
2018Q2,TP100107,CEU,LEVEL_7,910,14059,327,60.02,44.4,125937,484,301107,1,0,0,67.9,84,0,1,0.0435
2023Q2,TP100108,LICENSE,LEVEL_5,2024,6470,1250,56.08,31.17,136571,541,311108,0,0,0,61.72,48,1,1,0.2137
2015Q2,TP100109,CERTIFICATE,LEVEL_2,1042,7711,1190,66.98,72.16,88141,211,321109,0,0,0,80.54,114,1,0,0.3473
2016Q4,TP100110,LICENSE,LEVEL_3,471,4964,686,96.47,41.01,70066,445,331110,1,0,0,68.34,103,1,0,0.9619
2014Q3,TP100111,LICENSE,LEVEL_3,1446,26118,1648,75.65,81.5,59172,112,341111,0,1,0,84.12,16,1,1,0.8883
2025Q1,TP100112,BOOTCAMP_BADGE,LEVEL_3,13,12502,1073,69.74,34.95,132858,623,351112,1,0,0,99.3,30,0,1,0.6024
2016Q1,TP100113,MICROCREDENTIAL,LEVEL_3,935,20489,1853,60.49,28.67,33544,511,361113,0,0,0,50.78,52,1,0,0.091
2022Q1,TP100114,CERTIFICATE,LEVEL_7,1752,10966,1222,68.79,76.69,16628,561,371114,0,0,0,81.05,117,0,0,0.1989
2020Q3,TP100115,MICROCREDENTIAL,LEVEL_6,132,18612,701,53.74,51.62,49584,623,381115,1,0,0,50.35,98,0,1,0.81
2025Q1,TP100116,APPRENTICESHIP,LEVEL_3,99,15245,2372,66.87,60.06,40067,611,391116,0,1,0,62.6,113,0,0,0.9998
2022Q3,TP100117,CERTIFICATE,LEVEL_2,962,23252,443,90.79,94.92,82848,561,401117,0,0,1,51.82,22,0,1,0.9944
2024Q1,TP100118,BOOTCAMP_BADGE,LEVEL_7,251,4352,1552,37.52,46.03,123938,722,411118,0,0,0,69.53,93,1,0,0.0088
2019Q1,TP100119,BOOTCAMP_BADGE,LEVEL_5,831,2256,388,45.0,41.72,100697,531,421119,0,0,0,93.68,86,0,0,0.9713
2024Q4,TP100120,APPRENTICESHIP,LEVEL_3,751,19314,268,90.05,48.33,27469,423,431120,0,1,0,87.26,34,1,0,0.83
2024Q2,TP100121,CEU,LEVEL_2,1236,30893,260,95.02,90.48,62164,111,441121,0,1,1,68.99,7,0,0,0.2037
2022Q2,TP100122,MICROCREDENTIAL,LEVEL_7,235,4572,1112,35.94,42.77,74522,221,451122,0,1,0,75.14,32,1,0,0.8292
2017Q2,TP100123,CEU,LEVEL_7,383,10233,230,90.14,40.13,127518,311,461123,0,1,0,63.14,106,1,1,0.5076
2023Q1,TP100124,LICENSE,LEVEL_5,303,6052,762,87.57,79.96,138401,211,471124,1,1,0,59.48,4,1,0,0.5194
2024Q2,TP100125,ASSOCIATE,LEVEL_7,1358,26000,132,65.66,54.4,121763,622,481125,0,0,0,87.22,20,0,1,0.9359
2014Q3,TP100126,LICENSE,LEVEL_4,1515,28822,1190,89.53,56.62,78655,211,491126,0,0,1,52.39,17,0,1,0.0572
2023Q1,TP100127,ASSOCIATE,LEVEL_5,1080,28508,1086,35.87,64.31,83132,541,501127,0,1,0,60.62,53,1,1,0.0745
2023Q2,TP100128,ASSOCIATE,LEVEL_4,1941,31126,1527,58.63,49.28,86832,484,511128,0,0,1,55.2,4,0,0,0.4263
2025Q3,TP100129,CERTIFICATE,LEVEL_5,1153,26283,560,70.9,74.72,69989,445,521129,1,0,1,45.51,74,1,1,0.3018
2019Q3,TP100130,BOOTCAMP_BADGE,LEVEL_4,843,11160,1138,54.83,53.81,139051,511,531130,0,0,0,43.81,106,0,1,0.5276
2014Q4,TP100131,APPRENTICESHIP,LEVEL_6,915,24746,100,69.21,51.87,98154,811,541131,0,0,0,95.84,21,1,0,0.6053
2022Q2,TP100132,CERTIFICATE,LEVEL_5,1124,23949,95,57.29,35.35,17847,112,111132,0,0,0,59.93,111,0,1,0.033
2015Q3,TP100133,ASSOCIATE,LEVEL_5,1716,14143,1729,68.25,88.64,50420,921,121133,0,0,1,43.95,32,1,0,0.4345
2023Q1,TP100134,CEU,LEVEL_5,1308,16462,976,75.11,58.58,132595,531,131134,1,0,0,79.52,15,0,0,0.5469
2014Q4,TP100135,APPRENTICESHIP,LEVEL_3,1748,10530,1112,80.11,75.2,131710,517,141135,0,1,0,45.31,14,1,1,0.0376
2014Q4,TP100136,LICENSE,LEVEL_7,287,2359,472,83.21,49.84,90338,112,151136,1,0,0,70.57,44,0,1,0.408
2023Q1,TP100137,MICROCREDENTIAL,LEVEL_4,1010,4441,1386,50.38,50.09,134473,531,161137,0,0,0,41.07,118,0,1,0.1901
2020Q4,TP100138,CEU,LEVEL_4,50,30924,895,58.4,26.93,49651,511,171138,0,0,1,94.32,79,0,1,0.9624
2025Q2,TP100139,ASSOCIATE,LEVEL_1,1991,28620,2273,66.43,74.85,42377,111,181139,0,0,0,72.36,92,0,1,0.3264
2018Q2,TP100140,CEU,LEVEL_2,48,3134,769,75.39,57.6,35744,561,191140,1,0,0,50.41,7,0,1,0.5115
2020Q1,TP100141,APPRENTICESHIP,LEVEL_2,235,4768,2288,37.38,83.7,130043,484,201141,0,0,0,67.48,71,1,1,0.2546
2018Q4,TP100142,CEU,LEVEL_6,2199,7059,1804,38.79,59.64,44543,561,211142,0,0,1,70.03,34,1,1,0.7136
2020Q2,TP100143,ASSOCIATE,LEVEL_4,517,28976,2127,52.36,67.2,24022,236,221143,0,0,0,81.6,90,0,1,0.0505
2022Q2,TP100144,APPRENTICESHIP,LEVEL_4,648,20468,1047,42.06,80.97,44707,112,231144,0,0,0,66.56,35,1,0,0.0526
2015Q2,TP100145,BOOTCAMP_BADGE,LEVEL_7,481,6676,1932,74.97,63.37,116729,561,241145,0,0,0,89.9,90,0,0,0.7469
2020Q4,TP100146,CEU,LEVEL_7,846,13096,22,69.51,33.8,28910,531,251146,0,0,0,47.53,97,0,0,0.0407
2018Q1,TP100147,BOOTCAMP_BADGE,LEVEL_3,679,19292,2068,93.5,64.29,16240,722,261147,0,1,0,95.64,6,1,1,0.1559
2023Q1,TP100148,MICROCREDENTIAL,LEVEL_5,87,20718,2043,48.71,79.21,71704,517,271148,0,0,0,62.5,70,1,1,0.7361
2015Q2,TP100149,ASSOCIATE,LEVEL_7,1221,322,364,38.17,85.56,90334,211,281149,1,0,0,52.24,85,0,1,0.2434
2023Q2,TP100150,APPRENTICESHIP,LEVEL_6,1661,1534,1515,41.72,30.03,41108,423,291150,0,0,0,78.59,106,0,0,0.6486
2024Q3,TP100151,CERTIFICATE,LEVEL_5,1651,9260,1395,96.63,57.66,77610,531,301151,1,0,0,76.24,18,1,0,0.72
2023Q4,TP100152,ASSOCIATE,LEVEL_3,380,11866,719,92.04,76.48,108463,112,311152,0,0,0,43.68,27,1,0,0.7217
2019Q3,TP100153,LICENSE,LEVEL_3,556,355,237,53.18,84.67,70899,722,321153,1,0,1,58.64,31,1,0,0.197
2017Q2,TP100154,CEU,LEVEL_1,2078,15946,1733,38.86,84.99,36765,811,331154,1,0,1,71.9,116,1,0,0.6915
2017Q4,TP100155,APPRENTICESHIP,LEVEL_2,316,10212,2255,69.0,45.95,114503,522,341155,1,1,0,87.48,115,1,0,0.7523
2025Q4,TP100156,APPRENTICESHIP,LEVEL_3,1117,15863,846,37.03,91.68,47872,311,351156,1,0,1,62.71,85,1,0,0.3606
2017Q4,TP100157,ASSOCIATE,LEVEL_1,739,6841,864,36.61,30.34,112320,623,361157,0,0,0,54.07,59,0,1,0.2891
2016Q3,TP100158,LICENSE,LEVEL_3,2130,8169,2097,45.53,39.35,130819,622,371158,1,1,0,73.59,97,1,0,0.7121
2020Q2,TP100159,CERTIFICATE,LEVEL_7,1629,31408,737,68.7,82.42,106951,561,381159,1,0,1,87.91,21,1,0,0.704
2014Q2,TP100160,ASSOCIATE,LEVEL_1,1114,26710,424,95.61,39.63,100192,811,391160,0,0,1,93.24,72,0,1,0.9561
2023Q3,TP100161,CEU,LEVEL_6,1908,17392,1138,50.95,84.97,34228,111,401161,1,0,0,68.26,4,0,0,0.9449
2019Q1,TP100162,CERTIFICATE,LEVEL_4,1834,30822,1536,52.0,53.25,139160,423,411162,0,0,0,86.87,18,1,1,0.0029
2021Q1,TP100163,LICENSE,LEVEL_6,1790,5997,1303,74.79,34.29,119485,621,421163,0,1,0,66.64,58,0,0,0.1148
2016Q3,TP100164,CEU,LEVEL_6,1735,30556,456,39.07,55.64,75786,541,431164,0,0,1,48.98,91,1,0,0.8734
2017Q2,TP100165,CEU,LEVEL_6,1693,22314,847,74.41,27.53,102856,221,441165,0,0,0,54.12,13,0,1,0.4613
2022Q1,TP100166,MICROCREDENTIAL,LEVEL_4,2172,19802,716,61.95,67.17,44008,561,451166,0,0,0,48.95,35,1,0,0.7489
2015Q4,TP100167,LICENSE,LEVEL_4,1252,29286,1222,75.06,84.95,85699,484,461167,1,0,0,66.75,9,1,1,0.3597
2025Q2,TP100168,CEU,LEVEL_2,1865,6811,558,92.17,37.21,84639,611,471168,1,1,0,97.91,77,1,0,0.0458
2022Q3,TP100169,BOOTCAMP_BADGE,LEVEL_7,1182,7944,1948,91.16,35.87,70961,484,481169,1,1,0,98.81,61,1,0,0.1056
2016Q4,TP100170,CERTIFICATE,LEVEL_2,2190,21520,94,60.89,60.58,48693,445,491170,1,0,0,75.95,53,0,1,0.3352
2021Q3,TP100171,APPRENTICESHIP,LEVEL_6,2085,6840,940,35.19,62.1,138550,484,501171,1,0,1,85.83,16,1,0,0.3983
2018Q4,TP100172,ASSOCIATE,LEVEL_2,1780,27668,2251,40.37,94.69,86077,517,511172,0,0,0,68.95,36,1,1,0.3043
2020Q2,TP100173,ASSOCIATE,LEVEL_4,1576,5354,1542,75.89,43.13,48161,522,521173,1,0,1,74.19,77,0,0,0.0195
2015Q1,TP100174,MICROCREDENTIAL,LEVEL_3,1254,17739,1433,74.99,69.56,88136,623,531174,0,0,0,55.1,37,1,1,0.8485
2017Q1,TP100175,BOOTCAMP_BADGE,LEVEL_3,1577,24935,1136,81.77,74.28,93657,211,541175,1,0,0,89.89,55,0,0,0.2836
2014Q3,TP100176,MICROCREDENTIAL,LEVEL_4,1157,19791,344,94.93,51.78,43341,611,111176,0,1,0,71.09,75,1,0,0.6748
2016Q2,TP100177,BOOTCAMP_BADGE,LEVEL_5,1352,6847,1465,96.93,68.98,57330,112,121177,1,0,0,59.23,95,0,1,0.3632
2020Q2,TP100178,LICENSE,LEVEL_2,852,19423,619,36.29,86.61,83457,445,131178,1,0,0,65.36,47,0,1,0.2531
2025Q1,TP100179,BOOTCAMP_BADGE,LEVEL_2,1726,29925,2185,91.46,51.43,106294,811,141179,1,0,1,87.11,54,1,0,0.8683
2019Q2,TP100180,LICENSE,LEVEL_1,618,19508,1375,86.54,76.3,56346,623,151180,1,0,1,48.43,55,1,0,0.489
2018Q3,TP100181,MICROCREDENTIAL,LEVEL_1,1737,11192,545,92.18,28.23,117065,621,161181,0,0,1,55.41,27,1,1,0.1119
2016Q3,TP100182,CEU,LEVEL_7,1635,1330,1597,42.11,61.06,127431,511,171182,0,0,1,66.54,107,0,0,0.5782
2016Q3,TP100183,ASSOCIATE,LEVEL_1,634,19611,2185,67.58,62.57,118967,531,181183,1,1,0,48.18,72,1,0,0.3165
2015Q4,TP100184,LICENSE,LEVEL_1,714,7200,2090,91.26,66.8,87171,511,191184,0,0,1,95.01,10,1,0,0.4926
