house_sales_sale_month,house_sales_parcel_id_hash,house_sales_property_type_code,house_sales_sale_price_inr,house_sales_sale_price_per_sqft,house_sales_days_on_market,house_sales_list_to_sale_ratio,house_sales_mortgage_rate_at_sale,house_sales_loan_to_value_pct,house_sales_down_payment_pct,house_sales_buyer_type_code,house_sales_seller_type_code,house_sales_cash_sale_flag,house_sales_new_construction_flag,house_sales_renovation_flag,house_sales_assessed_value_inr,house_sales_taxable_value_inr,house_sales_school_quality_index,house_sales_neighborhood_walkscore,house_sales_recording_document_type
2024-06,PARC-3998a1eac4d1,BuilderFloor,25380037,10513.69,209,1.12,10.07,62.57,24.78,FirstTime,Developer,N,Y,N,22796331,16647822,56.85,60.1,GiftDeed
2023-10,PARC-5a79ca70aeaa,Studio,45154723,14124.09,177,1.106,6.61,51.07,25.15,NRI,Trust,Y,N,Y,45643812,33647957,88.5,71.3,SaleDeed
2022-04,PARC-18a0a253de0d,BuilderFloor,34572616,12042.01,11,0.929,8.58,74.71,26.43,FirstTime,Trust,N,N,N,24695906,23168310,23.25,89.9,LeaseDeed
2024-11,PARC-835561d35f90,Villa,43936254,22647.55,105,1.001,10.93,66.67,45.71,FirstTime,Individual,Y,Y,N,39084051,32882569,28.81,30.0,GiftDeed
2023-10,PARC-47c0ecd5241a,Studio,35709925,16180.3,74,0.883,6.89,55.27,53.87,Senior,Trust,Y,Y,Y,27038740,22745636,23.45,52.7,PartitionDeed
2020-04,PARC-1ff025ed8b25,Plot,40046796,16555.1,12,0.945,7.47,76.21,31.71,Senior,Developer,N,N,Y,38395861,29490535,95.79,67.0,GiftDeed
2022-07,PARC-3f6d3b1073b1,Villa,29592410,8506.01,2,0.971,9.01,75.31,22.93,FirstTime,Individual,N,N,N,21015734,24372874,38.86,54.0,ReleaseDeed
2025-06,PARC-186bb17f07de,BuilderFloor,54901424,16774.04,169,1.044,8.1,64.22,33.2,Investor,Individual,N,Y,N,45776865,36297364,95.59,37.1,ReleaseDeed
2019-12,PARC-021b8c2c955f,RowHouse,51444566,20735.42,114,1.049,10.24,45.92,25.66,Upgrader,Individual,N,Y,Y,45431051,45059471,22.55,17.0,SaleDeed
2020-11,PARC-babcbbf7cfe7,Apartment,53437642,11890.89,194,1.054,8.94,81.81,52.15,NRI,BankAuction,N,N,Y,39513463,39520752,65.7,61.8,ReleaseDeed
2024-12,PARC-a83d60268767,Apartment,49055646,17982.27,106,1.164,8.88,40.33,42.91,Investor,Trust,Y,Y,N,45673716,34298703,59.94,27.0,ReleaseDeed
2021-01,PARC-886fce003ef9,FarmHouse,7164183,3647.75,164,1.147,10.79,69.15,18.57,Investor,Company,Y,N,Y,6301819,5134007,51.9,53.3,GiftDeed
2020-10,PARC-50e1b2e70cd1,Apartment,28156078,8586.79,156,1.06,7.13,80.68,21.08,Upgrader,Individual,N,Y,N,25011765,24741657,80.93,70.0,GiftDeed
2024-10,PARC-d5ae82466043,Plot,58290074,64983.36,21,0.864,7.78,52.89,59.58,Investor,Trust,N,Y,N,58686974,48970135,72.7,95.3,ConveyanceDeed
2023-04,PARC-4ec18088abe8,IndependentHouse,30608027,8856.49,66,1.022,9.4,89.59,39.96,Investor,Individual,N,N,N,31429791,26033546,99.37,52.0,GiftDeed
2022-04,PARC-6c67c7da6fa3,BuilderFloor,23619036,5361.87,189,1.086,10.44,48.8,29.9,NRI,Trust,Y,N,Y,18424426,18834958,69.81,93.0,GiftDeed
2024-06,PARC-bd14faad3233,RowHouse,48655581,28354.07,180,1.142,10.87,42.79,39.32,NRI,BankAuction,Y,Y,Y,48943523,26979761,52.58,46.7,LeaseDeed
2024-09,PARC-6c7caf2fb12c,Plot,55524030,22746.43,17,1.068,11.13,49.63,33.12,Institutional,Individual,N,Y,Y,41318877,33130152,29.51,56.8,GiftDeed
2023-10,PARC-f3c9a53e7d7f,RowHouse,57652598,34460.61,76,1.079,7.22,66.15,46.82,Institutional,BankAuction,Y,Y,N,56918369,37386017,98.17,22.8,ReleaseDeed
2023-10,PARC-3c94c3cfa66f,RowHouse,28936935,7166.16,191,1.122,10.18,49.44,13.96,FirstTime,BankAuction,N,N,Y,22094313,27088413,5.96,30.8,ReleaseDeed
2023-08,PARC-544aab199fb2,FarmHouse,50117875,12411.56,88,1.031,10.01,87.55,47.91,Upgrader,Trust,Y,Y,Y,45866178,33958217,82.52,41.9,PartitionDeed
2023-11,PARC-217fcf42224b,IndependentHouse,64221210,18312.29,70,1.036,6.9,65.94,58.38,FirstTime,Trust,N,N,N,54793917,40474492,49.83,77.0,ReleaseDeed
2021-06,PARC-7aac1afb9887,Studio,32893780,22422.48,176,1.178,6.67,64.06,28.09,Senior,Individual,N,Y,Y,25821047,22805830,14.7,7.1,PartitionDeed
2019-05,PARC-5406be5ea98b,Studio,24224100,11868.74,50,0.836,8.13,55.98,46.31,NRI,Developer,N,N,N,21146579,19175831,82.24,25.9,ConveyanceDeed
2021-08,PARC-4d930e7fecab,FarmHouse,24227862,11911.44,73,0.904,9.77,63.58,48.61,Institutional,Developer,Y,N,N,17169403,17259581,58.25,62.5,SaleDeed
2019-08,PARC-9e2a1be6e92a,BuilderFloor,25726907,6353.89,156,0.832,7.21,67.18,51.6,NRI,Company,N,N,Y,23136333,18390141,69.81,43.9,GiftDeed
2024-12,PARC-c27bbb8eec15,Plot,24089597,54501.35,172,0.891,10.31,45.04,31.03,Investor,Individual,Y,N,Y,22320394,14709505,98.48,40.5,GiftDeed
2023-01,PARC-812c011388cf,Studio,29735643,7215.64,174,1.12,11.28,57.44,42.94,Upgrader,Developer,N,N,Y,27201623,21156027,5.0,79.5,ConveyanceDeed
2023-08,PARC-3dcb2146ff27,Plot,9727983,2566.75,22,0.978,9.51,81.13,39.61,NRI,Company,N,N,N,6857658,9041425,71.41,92.8,PartitionDeed
2020-01,PARC-3455e73eed5b,Studio,34005907,9595.35,100,1.054,10.84,63.91,33.11,Institutional,Trust,Y,Y,Y,33438716,28362477,24.77,26.2,ConveyanceDeed
2022-09,PARC-b311d7f7c54c,IndependentHouse,63632086,19792.25,90,1.078,7.82,43.76,51.85,FirstTime,Developer,Y,N,N,66035869,48472206,66.42,25.0,GiftDeed
2023-04,PARC-c2a872113be0,Apartment,55175112,22419.79,138,0.923,9.66,87.29,42.16,NRI,BankAuction,N,Y,N,42404276,47242985,46.74,44.4,PartitionDeed
2020-04,PARC-8478fa180ba6,RowHouse,5987884,5139.81,136,0.799,7.53,81.88,43.9,Upgrader,Company,N,Y,Y,4652605,4144094,26.17,35.8,ReleaseDeed
2023-04,PARC-2412603c757a,FarmHouse,14574637,10492.9,216,1.141,6.87,69.48,55.84,Upgrader,Trust,Y,Y,Y,10306888,10381372,77.39,52.2,SaleDeed
2021-03,PARC-bbafb00c6356,IndependentHouse,34286311,8253.81,206,1.176,7.5,46.31,52.5,NRI,Company,Y,Y,Y,34780865,29907041,12.23,21.1,PartitionDeed
2021-05,PARC-1174bc39f22a,IndependentHouse,38112302,17268.83,64,0.938,8.19,67.5,36.0,NRI,BankAuction,Y,N,N,26820053,23136373,53.75,11.7,ReleaseDeed
2024-02,PARC-28157e24d49d,Studio,12451158,23015.08,98,1.088,6.62,69.36,41.13,Institutional,Trust,Y,N,Y,11075157,7975930,6.64,99.5,SaleDeed
2024-10,PARC-263953d36a07,RowHouse,45633660,16857.65,10,1.041,8.96,87.19,45.16,Senior,Trust,Y,N,Y,36126268,32503948,32.22,45.2,GiftDeed
2024-03,PARC-cadf3136c04a,Plot,18285332,7145.5,55,0.789,10.76,86.45,39.67,Senior,Developer,Y,N,Y,13301778,12637927,80.06,23.6,ConveyanceDeed
2020-12,PARC-b3e1c97982ba,FarmHouse,57568628,18819.43,222,0.936,9.22,71.71,42.87,Institutional,Trust,N,N,N,51171688,49198716,25.78,80.1,PartitionDeed
2020-01,PARC-732e8d386591,Plot,15103074,11873.49,3,0.886,8.83,79.6,14.01,Senior,BankAuction,N,Y,N,13254145,12380741,34.49,85.7,SaleDeed
2022-12,PARC-8979c7ffad66,Villa,6757673,2371.11,131,1.175,9.78,76.11,27.84,Institutional,BankAuction,N,Y,Y,4942448,4578962,19.22,36.4,GiftDeed
2022-01,PARC-54f734d4fea7,IndependentHouse,34676301,15797.86,161,1.148,11.27,65.51,38.38,Investor,Individual,N,Y,N,36404677,29727580,4.44,56.9,LeaseDeed
2023-01,PARC-2021a146a721,Apartment,27010386,6374.88,226,1.004,6.43,79.91,54.04,Upgrader,Individual,Y,N,Y,20960004,24229676,79.24,63.6,ConveyanceDeed
2025-09,PARC-32619062efbe,Studio,30374582,9566.8,168,0.936,9.16,55.41,49.99,Investor,Company,Y,N,Y,24497568,27366090,38.82,54.5,PartitionDeed
2019-04,PARC-918818bd24ef,RowHouse,9773082,2912.12,50,0.903,11.32,60.91,18.13,NRI,BankAuction,Y,N,Y,10221540,8444903,96.91,26.7,PartitionDeed
2019-11,PARC-944ca0481c6a,Plot,28095790,8148.43,199,1.024,6.77,81.09,31.24,Upgrader,Trust,N,Y,Y,29379322,18741206,94.52,44.0,ConveyanceDeed
2024-04,PARC-f45c5f1d466c,Apartment,15004401,54561.46,80,0.998,8.86,48.5,46.03,FirstTime,Individual,N,N,Y,13069886,9221611,38.64,77.2,ConveyanceDeed
2025-05,PARC-6ce19f1e74e4,FarmHouse,27519433,6618.43,2,0.856,6.35,69.4,36.97,Institutional,Individual,Y,N,Y,25704280,17680635,49.68,51.3,GiftDeed
2020-11,PARC-a41e2ddb9da7,FarmHouse,61818923,14842.48,127,0.978,9.56,69.04,20.85,NRI,Individual,Y,Y,N,59266336,38924866,79.94,88.5,GiftDeed
2019-05,PARC-7a2124623e93,Apartment,2770253,2228.68,176,1.004,7.14,64.06,30.27,Senior,BankAuction,Y,N,Y,2623085,2068428,7.32,82.3,GiftDeed
2020-02,PARC-518b5d1eefdd,IndependentHouse,3229752,3392.6,13,1.04,10.63,57.5,10.52,Senior,Developer,Y,N,Y,2316052,2573391,34.18,63.7,ReleaseDeed
2019-06,PARC-8e9dea1475ac,IndependentHouse,18611576,37372.64,144,0.9,7.14,61.06,21.04,Upgrader,Individual,N,N,N,14321702,16313239,39.88,97.4,GiftDeed
2020-12,PARC-831544f9b073,Studio,43582664,26969.47,125,0.991,8.31,42.64,12.92,FirstTime,Company,Y,N,N,39314862,33092041,37.3,19.2,PartitionDeed
2022-05,PARC-87148a800b34,Villa,44484599,11922.97,31,1.048,10.95,49.46,10.37,Senior,Company,N,N,N,42166034,24837713,82.77,33.3,ReleaseDeed
2019-03,PARC-351ab47d69b8,FarmHouse,45129075,17566.79,19,0.97,7.68,80.15,39.24,Investor,Trust,Y,N,Y,37621279,38854036,34.03,12.6,GiftDeed
2024-10,PARC-91bbff60d119,Studio,44835870,16227.24,2,0.923,10.62,47.07,46.17,FirstTime,Company,N,Y,N,44522197,30741861,68.15,1.2,ReleaseDeed
2023-06,PARC-f45b111b130c,Apartment,1299594,335.81,198,1.001,7.11,73.68,51.79,NRI,Company,Y,N,N,943080,969864,24.7,69.3,PartitionDeed
2022-06,PARC-66e7630d019f,Studio,19622091,7243.3,214,1.172,9.45,68.0,42.59,Institutional,Developer,N,N,Y,15235042,13420549,12.81,37.8,LeaseDeed
2025-03,PARC-29f818bc9980,FarmHouse,26587900,25838.58,80,1.084,7.63,77.56,49.25,Upgrader,Developer,N,N,Y,23960579,24818011,66.54,22.4,GiftDeed
2024-03,PARC-0bc179599dbb,RowHouse,20983932,5454.62,161,1.058,9.84,84.63,14.06,Institutional,BankAuction,Y,N,N,15378023,16659051,47.45,31.1,LeaseDeed
2021-04,PARC-abaa1492b5cd,Studio,37141940,8772.31,165,0.898,7.09,52.0,59.93,Upgrader,Company,N,Y,N,26063385,24982822,38.02,38.3,ReleaseDeed
2023-03,PARC-165147395c5c,RowHouse,8765942,2169.79,125,1.091,8.03,71.1,50.77,Senior,Trust,Y,N,N,6596107,8317185,62.61,23.1,PartitionDeed
2024-06,PARC-d3ead235f608,IndependentHouse,10524687,2740.8,198,0.848,10.89,55.31,12.27,NRI,Developer,Y,Y,N,9932530,7417346,55.24,8.9,PartitionDeed
2024-10,PARC-8b7c4432eaf9,Studio,10395667,35847.13,48,1.101,11.09,62.62,25.32,Institutional,Individual,Y,N,Y,8164451,7014868,28.18,44.7,SaleDeed
2019-12,PARC-ab0def15b759,Villa,41019784,55432.14,191,1.101,6.6,63.45,41.07,Institutional,BankAuction,Y,N,Y,38101046,31053223,59.0,36.7,PartitionDeed
2022-09,PARC-55cb363f732a,FarmHouse,33166767,10099.5,34,1.084,9.28,52.71,41.62,Senior,Company,N,Y,N,31350131,19361641,42.13,83.7,GiftDeed
2020-03,PARC-8702c7663eb2,Plot,47669213,12894.03,61,0.905,7.92,88.23,39.33,NRI,Individual,Y,N,Y,38484076,29794445,70.96,74.9,ConveyanceDeed
2023-05,PARC-d4efa99a188f,Villa,22069786,42117.91,118,0.995,10.93,59.96,41.74,NRI,Individual,N,N,N,17892464,16086534,39.76,81.6,ConveyanceDeed
2019-08,PARC-ac46912c6f5d,Villa,12614663,11153.55,9,0.873,6.6,83.83,24.9,NRI,Developer,N,Y,N,9900501,9575396,34.83,25.5,GiftDeed
2025-11,PARC-dfbaae9ea76c,Apartment,35343681,29282.25,235,1.082,6.75,70.1,42.27,Senior,Company,N,Y,Y,33022099,28002072,83.68,55.0,GiftDeed
2024-04,PARC-5121d4788d17,IndependentHouse,22812663,11155.34,75,0.876,10.73,62.28,21.94,Senior,Individual,N,N,Y,23563230,16885757,1.49,42.9,LeaseDeed
2024-10,PARC-4f0fc21efc3e,Studio,32256815,11278.61,46,0.824,7.03,61.03,57.23,Upgrader,Individual,Y,Y,Y,25597050,28867217,24.38,89.6,ConveyanceDeed
2021-08,PARC-d87247e0b681,IndependentHouse,41943311,32338.71,3,0.814,11.38,89.59,45.54,Senior,Developer,Y,N,Y,39428405,36605711,17.48,17.7,SaleDeed
2022-08,PARC-23f00528d359,Villa,31882472,9646.74,119,1.107,11.13,47.47,53.51,Institutional,BankAuction,N,Y,N,26192184,29020062,84.33,90.1,PartitionDeed
2020-03,PARC-370bcfea456d,Apartment,24708030,7460.15,85,0.818,9.27,51.15,55.16,Institutional,Individual,Y,N,N,18670611,16508071,66.27,64.8,ReleaseDeed
2025-11,PARC-1c5594d8a1d0,BuilderFloor,28884180,20086.36,61,0.873,9.61,63.29,42.83,FirstTime,Developer,Y,Y,N,23731141,19916751,46.6,69.2,ConveyanceDeed
2019-01,PARC-a0729f2a3bb1,BuilderFloor,16050148,15658.68,14,1.027,9.48,51.94,22.23,NRI,Trust,Y,N,Y,15863159,13888451,70.06,80.5,LeaseDeed
2019-05,PARC-96814eb5dae8,Plot,19872516,7726.48,123,1.026,10.56,85.38,52.57,Investor,Company,N,Y,Y,16244542,16884632,79.66,1.0,PartitionDeed
2023-05,PARC-6176d7080b9b,IndependentHouse,43658280,11931.75,92,1.066,9.68,82.48,59.45,Institutional,Individual,N,Y,N,35666096,36178276,74.44,6.1,ConveyanceDeed
2020-02,PARC-9ed96c750e8e,IndependentHouse,21719574,7022.17,54,1.061,9.0,69.3,28.95,FirstTime,BankAuction,N,N,Y,21628067,12938664,50.51,74.2,SaleDeed
2020-06,PARC-7fe9ed118c9f,Plot,24584859,6592.88,216,1.05,9.49,40.33,34.72,Upgrader,BankAuction,N,N,Y,19870691,22720835,40.67,20.6,GiftDeed
2025-08,PARC-0e96226ce7de,RowHouse,5041761,4587.59,144,0.922,6.78,80.15,55.43,Senior,Individual,Y,Y,N,4887078,3076695,42.7,95.6,ConveyanceDeed
2019-01,PARC-f72a1ba75a2f,Villa,15586600,8075.96,90,0.797,9.93,51.22,37.27,NRI,Developer,N,N,N,13137508,10917936,27.24,31.0,ConveyanceDeed
2019-11,PARC-160a21f3137a,FarmHouse,5553274,2957.01,183,0.869,11.25,80.69,52.27,FirstTime,BankAuction,N,Y,N,4667460,3233879,63.11,87.1,LeaseDeed
2020-04,PARC-bc1658be9c50,RowHouse,9460724,2829.16,176,0.892,8.13,50.43,39.23,Institutional,Trust,Y,N,N,9860070,5722425,65.31,15.8,ConveyanceDeed
2023-02,PARC-25e8a098c746,BuilderFloor,43290134,37742.05,6,0.889,11.49,54.36,11.55,Upgrader,Developer,N,Y,N,32868461,29937165,9.05,98.1,PartitionDeed
2021-12,PARC-d69e3feac48e,FarmHouse,64530396,104418.12,112,0.923,8.08,63.53,50.12,Investor,Company,N,N,Y,66260881,46434718,47.3,57.6,PartitionDeed
2022-10,PARC-4affd0cf176c,FarmHouse,6466017,2063.84,83,0.851,9.02,84.48,16.08,Investor,Trust,Y,N,N,6099740,4528577,84.84,78.6,GiftDeed
2020-05,PARC-e52c99bc83fe,Apartment,30235710,12261.03,213,1.104,8.3,40.46,46.21,Institutional,Trust,N,N,N,26236265,19126927,76.37,26.3,SaleDeed
