econ_consumer_transaction_week,econ_consumer_merchant_category_code,econ_consumer_payment_channel_type,econ_consumer_spend_amount_usd,econ_consumer_transaction_count,econ_consumer_unique_cardholders,econ_consumer_median_ticket_size,econ_consumer_share_online_pct,econ_consumer_share_instore_pct,econ_consumer_refund_rate_pct,econ_consumer_chargeback_rate_pct,econ_consumer_new_customer_share_pct,econ_consumer_repeat_customer_share_pct,econ_consumer_income_segment,econ_consumer_age_segment,econ_consumer_device_type,econ_consumer_daypart_peak,econ_consumer_holiday_effect_flag,econ_consumer_weather_sensitivity_score,econ_consumer_privacy_aggregation_level
1988-08-08,5797,MOBILE_WALLET,772967.97,609,113,944.71,56.18,43.82,5.84,1.59,33.46,66.54,150K_PLUS,35_44,POS_TERMINAL,MORNING,0,0.5343,METRO
1988-08-15,7655,INSTORE_CARD_PRESENT,513097.24,687,124,947.28,5.18,94.82,6.18,1.51,9.44,90.56,100_150K,45_54,POS_TERMINAL,AFTERNOON,0,0.3263,ZIP5
1988-08-22,8728,INSTORE_CARD_PRESENT,1001874.97,663,285,953.12,16.13,83.87,3.93,0.31,18.61,81.39,60_100K,25_34,DESKTOP,AFTERNOON,0,0.6216,ZIP3
1988-08-29,2857,RECURRING,1107564.55,647,243,1554.2,8.04,91.96,3.58,0.99,33.86,66.14,LT35K,55_64,UNKNOWN,MORNING,0,0.3667,METRO
1988-09-05,1977,INSTORE_CARD_PRESENT,2086438.93,648,440,3996.74,78.54,21.46,3.26,1.08,11.29,88.71,150K_PLUS,25_34,MOBILE,EVENING,0,0.5273,ZIP5
1988-09-12,4611,PHONE_ORDER,1301399.49,672,445,2051.87,45.15,54.85,0.46,1.12,34.77,65.23,60_100K,65_PLUS,UNKNOWN,AFTERNOON,0,0.3987,METRO
1988-09-19,2911,INSTORE_CARD_PRESENT,2505880.5,688,262,4543.96,26.76,73.24,4.24,1.5,33.0,67.0,100_150K,25_34,POS_TERMINAL,MIDDAY,1,0.3473,METRO
1988-09-26,4420,IN_APP,311842.77,647,132,596.45,16.09,83.91,6.57,1.54,9.97,90.03,150K_PLUS,55_64,POS_TERMINAL,AFTERNOON,0,0.5467,ZIP5
1988-10-03,3135,PHONE_ORDER,1813268.08,629,380,2042.22,5.39,94.61,6.32,0.04,20.48,79.52,150K_PLUS,25_34,TABLET,MIDDAY,0,0.1859,ZIP5
1988-10-10,9581,PHONE_ORDER,297900.18,640,220,517.05,60.91,39.09,3.35,0.71,34.19,65.81,150K_PLUS,18_24,POS_TERMINAL,LATE_NIGHT,0,0.4612,ZIP5
1988-10-17,4309,ONLINE_ECOM,3196539.08,623,416,3671.95,71.15,28.85,0.12,0.49,31.64,68.36,LT35K,25_34,MOBILE,LATE_NIGHT,0,0.621,NATIONAL
1988-10-24,2895,IN_APP,224297.47,616,377,387.39,78.6,21.4,6.52,0.58,34.14,65.86,60_100K,55_64,TABLET,MORNING,0,0.1589,NATIONAL
1988-10-31,5407,MOBILE_WALLET,1351552.12,618,137,1546.06,18.2,81.8,6.39,1.44,25.44,74.56,35_60K,65_PLUS,UNKNOWN,AFTERNOON,0,0.4229,STORE_CLUSTER
1988-11-07,8636,RECURRING,257599.51,663,460,513.78,21.35,78.65,6.25,1.24,11.11,88.89,LT35K,55_64,DESKTOP,MIDDAY,0,0.4833,ZIP3
1988-11-14,6391,ONLINE_ECOM,900977.79,600,393,1682.95,68.96,31.04,5.86,0.02,24.65,75.35,60_100K,65_PLUS,UNKNOWN,AFTERNOON,0,0.106,STORE_CLUSTER
1988-11-21,6836,INSTORE_CARD_PRESENT,692641.07,614,186,761.86,11.37,88.63,3.79,0.33,28.8,71.2,LT35K,65_PLUS,TABLET,EVENING,0,0.8505,STORE_CLUSTER
1988-11-28,5301,ONLINE_ECOM,1102908.53,676,372,2192.24,54.45,45.55,1.15,0.46,29.06,70.94,100_150K,65_PLUS,POS_TERMINAL,EVENING,0,0.8278,ZIP5
1988-12-05,5229,INSTORE_CARD_PRESENT,1304450.56,715,119,1628.34,73.06,26.94,6.7,1.2,11.31,88.69,35_60K,18_24,DESKTOP,MORNING,0,0.2387,NATIONAL
1988-12-12,1332,IN_APP,676217.53,678,308,1163.42,29.14,70.86,2.2,1.44,27.41,72.59,150K_PLUS,35_44,POS_TERMINAL,MORNING,0,0.7017,ZIP5
1988-12-19,7153,ONLINE_ECOM,371117.26,638,394,779.04,56.28,43.72,1.3,0.17,33.68,66.32,100_150K,18_24,MOBILE,AFTERNOON,0,0.2317,ZIP3
1988-12-26,4697,MOBILE_WALLET,733245.17,643,357,992.94,8.86,91.14,6.98,1.65,12.69,87.31,35_60K,35_44,DESKTOP,AFTERNOON,0,0.2631,STORE_CLUSTER
1989-01-02,5524,IN_APP,426847.49,659,160,537.05,40.27,59.73,1.71,1.28,33.53,66.47,150K_PLUS,45_54,TABLET,MIDDAY,0,0.231,METRO
1989-01-09,2744,RECURRING,402098.11,635,374,858.2,64.69,35.31,1.17,1.5,12.84,87.16,60_100K,18_24,DESKTOP,EVENING,0,0.2303,ZIP3
1989-01-16,3511,INSTORE_CARD_PRESENT,1641588.05,625,248,2646.88,33.35,66.65,6.42,0.02,30.23,69.77,150K_PLUS,25_34,DESKTOP,MIDDAY,0,0.182,STATE
1989-01-23,5805,INSTORE_CARD_PRESENT,579640.91,623,195,780.61,84.09,15.91,6.11,1.69,32.39,67.61,LT35K,18_24,DESKTOP,MORNING,0,0.1966,ZIP5
1989-01-30,2455,MOBILE_WALLET,853281.05,629,215,1389.31,63.27,36.73,0.62,0.74,41.67,58.33,35_60K,45_54,UNKNOWN,LATE_NIGHT,0,0.8974,ZIP3
1989-02-06,2850,RECURRING,643313.07,610,224,1186.94,14.18,85.82,1.42,0.28,33.38,66.62,LT35K,55_64,TABLET,MIDDAY,0,0.6122,ZIP5
1989-02-13,8175,ONLINE_ECOM,1580421.02,659,331,1943.23,5.94,94.06,5.1,0.99,31.07,68.93,LT35K,35_44,POS_TERMINAL,MIDDAY,0,0.8656,NATIONAL
1989-02-20,9238,INSTORE_CARD_PRESENT,1525029.15,648,200,2307.64,31.38,68.62,6.53,1.35,16.33,83.67,LT35K,65_PLUS,DESKTOP,EVENING,0,0.525,ZIP5
1989-02-27,1704,IN_APP,701340.04,622,368,1015.71,36.55,63.45,5.61,1.48,27.59,72.41,100_150K,25_34,TABLET,LATE_NIGHT,0,0.466,METRO
1989-03-06,8230,MOBILE_WALLET,558717.16,596,142,1239.64,5.51,94.49,7.42,0.75,6.23,93.77,35_60K,18_24,TABLET,LATE_NIGHT,0,0.5205,METRO
1989-03-13,8146,MOBILE_WALLET,1838203.1,679,392,3648.06,18.33,81.67,6.78,0.67,25.76,74.24,LT35K,55_64,DESKTOP,AFTERNOON,0,0.3108,METRO
1989-03-20,9818,MOBILE_WALLET,185781.03,680,356,357.58,48.53,51.47,1.78,0.59,28.3,71.7,60_100K,25_34,UNKNOWN,MIDDAY,1,0.4964,STATE
1989-03-27,6593,IN_APP,390786.87,631,220,776.15,64.3,35.7,3.13,0.99,7.97,92.03,100_150K,55_64,TABLET,MIDDAY,0,0.5348,STORE_CLUSTER
1989-04-03,8243,INSTORE_CARD_PRESENT,738160.22,602,343,755.54,11.94,88.06,0.46,1.47,29.03,70.97,60_100K,65_PLUS,TABLET,EVENING,0,0.9091,ZIP3
1989-04-10,5744,ONLINE_ECOM,231871.89,650,442,297.45,29.11,70.89,3.46,1.41,11.95,88.05,35_60K,45_54,TABLET,AFTERNOON,0,0.6843,STATE
1989-04-17,9331,INSTORE_CARD_PRESENT,1322183.67,635,338,2734.09,68.0,32.0,1.12,0.48,5.55,94.45,35_60K,65_PLUS,MOBILE,LATE_NIGHT,0,0.644,NATIONAL
1989-04-24,8689,INSTORE_CARD_PRESENT,278217.89,623,423,290.54,13.07,86.93,7.42,0.06,14.8,85.2,35_60K,35_44,POS_TERMINAL,AFTERNOON,0,0.8206,STORE_CLUSTER
1989-05-01,9785,ONLINE_ECOM,184281.66,668,284,320.38,29.88,70.12,2.97,0.94,11.6,88.4,100_150K,18_24,TABLET,LATE_NIGHT,0,0.4091,STORE_CLUSTER
1989-05-08,9839,RECURRING,821136.41,632,302,1595.54,15.31,84.69,5.01,1.29,22.43,77.57,150K_PLUS,35_44,TABLET,LATE_NIGHT,1,0.2723,STATE
1989-05-15,3003,RECURRING,337996.04,625,140,517.08,17.27,82.73,4.37,1.11,25.41,74.59,35_60K,45_54,UNKNOWN,MORNING,0,0.4866,STORE_CLUSTER
1989-05-22,3664,RECURRING,1653231.75,632,381,3444.14,44.45,55.55,5.24,1.64,13.31,86.69,35_60K,65_PLUS,POS_TERMINAL,MIDDAY,0,0.9217,NATIONAL
1989-05-29,3775,PHONE_ORDER,545001.78,653,218,532.52,11.39,88.61,3.23,1.21,26.34,73.66,150K_PLUS,35_44,POS_TERMINAL,LATE_NIGHT,0,0.8373,ZIP5
1989-06-05,9547,INSTORE_CARD_PRESENT,1517717.53,681,462,3051.5,7.74,92.26,1.76,0.18,26.7,73.3,LT35K,18_24,UNKNOWN,LATE_NIGHT,0,0.8885,NATIONAL
1989-06-12,4277,RECURRING,1558989.22,594,114,2657.27,17.98,82.02,1.01,1.29,43.52,56.48,150K_PLUS,65_PLUS,DESKTOP,MIDDAY,0,0.7404,STATE
1989-06-19,6890,INSTORE_CARD_PRESENT,675928.81,671,299,903.99,37.04,62.96,3.63,1.6,26.88,73.12,LT35K,65_PLUS,TABLET,AFTERNOON,0,0.1473,METRO
1989-06-26,5221,INSTORE_CARD_PRESENT,1463427.95,604,327,2684.47,35.61,64.39,1.12,1.46,10.78,89.22,150K_PLUS,55_64,TABLET,LATE_NIGHT,0,0.5388,STATE
1989-07-03,6003,IN_APP,217786.6,642,152,221.37,19.89,80.11,3.13,1.55,29.59,70.41,LT35K,35_44,DESKTOP,AFTERNOON,1,0.0936,NATIONAL
1989-07-10,7436,INSTORE_CARD_PRESENT,854845.1,621,410,1616.57,37.17,62.83,2.73,1.51,17.97,82.03,35_60K,25_34,MOBILE,EVENING,0,0.775,STORE_CLUSTER
1989-07-17,6121,INSTORE_CARD_PRESENT,573135.59,625,336,1014.74,17.39,82.61,6.73,0.98,38.13,61.87,100_150K,65_PLUS,MOBILE,MORNING,0,0.19,METRO
1989-07-24,5052,MOBILE_WALLET,1016189.52,616,379,1850.02,46.86,53.14,4.92,0.35,37.76,62.24,35_60K,45_54,TABLET,LATE_NIGHT,1,0.5457,STORE_CLUSTER
1989-07-31,4310,PHONE_ORDER,1008065.99,659,266,1767.63,78.14,21.86,1.28,0.22,22.23,77.77,LT35K,55_64,POS_TERMINAL,AFTERNOON,0,0.1969,NATIONAL
1989-08-07,2215,RECURRING,680117.71,652,329,816.08,41.09,58.91,1.02,0.1,7.34,92.66,35_60K,65_PLUS,TABLET,EVENING,0,0.0883,STORE_CLUSTER
1989-08-14,8575,INSTORE_CARD_PRESENT,1247047.72,671,222,2061.11,30.08,69.92,7.87,1.51,8.29,91.71,60_100K,55_64,TABLET,LATE_NIGHT,0,0.852,ZIP3
1989-08-21,4732,RECURRING,524625.43,678,156,623.87,58.26,41.74,1.43,0.67,16.92,83.08,60_100K,35_44,TABLET,MIDDAY,0,0.1216,ZIP3
1989-08-28,9411,MOBILE_WALLET,158847.19,656,407,163.65,36.97,63.03,5.93,0.49,17.55,82.45,60_100K,18_24,DESKTOP,MORNING,0,0.2721,ZIP5
1989-09-04,6234,ONLINE_ECOM,1939605.69,691,311,2794.25,22.99,77.01,2.87,0.03,15.28,84.72,100_150K,35_44,UNKNOWN,LATE_NIGHT,1,0.2045,STORE_CLUSTER
1989-09-11,4156,INSTORE_CARD_PRESENT,1345968.74,670,175,1568.02,30.54,69.46,5.31,0.61,24.11,75.89,100_150K,45_54,DESKTOP,MIDDAY,0,0.822,ZIP3
1989-09-18,2317,INSTORE_CARD_PRESENT,1486503.77,644,334,2420.44,25.28,74.72,1.44,1.22,26.3,73.7,150K_PLUS,65_PLUS,UNKNOWN,LATE_NIGHT,0,0.5233,NATIONAL
1989-09-25,6838,MOBILE_WALLET,274378.63,587,251,597.6,40.49,59.51,0.53,0.28,25.27,74.73,LT35K,55_64,POS_TERMINAL,LATE_NIGHT,0,0.8881,STATE
1989-10-02,7069,PHONE_ORDER,2604895.67,712,246,3212.26,15.92,84.08,1.32,0.42,29.42,70.58,LT35K,55_64,POS_TERMINAL,AFTERNOON,0,0.7703,NATIONAL
1989-10-09,8826,INSTORE_CARD_PRESENT,1139171.99,695,324,1956.53,79.01,20.99,5.38,0.33,40.54,59.46,35_60K,25_34,UNKNOWN,LATE_NIGHT,0,0.2691,NATIONAL
1989-10-16,4377,PHONE_ORDER,422352.09,611,168,687.7,33.4,66.6,7.84,0.87,25.2,74.8,100_150K,25_34,DESKTOP,MIDDAY,0,0.9558,METRO
1989-10-23,3329,RECURRING,1011168.24,623,252,1424.52,17.7,82.3,2.18,1.07,17.24,82.76,LT35K,65_PLUS,POS_TERMINAL,MORNING,0,0.2929,NATIONAL
1989-10-30,4025,IN_APP,304703.54,664,332,582.31,48.68,51.32,5.63,0.81,22.4,77.6,LT35K,35_44,POS_TERMINAL,MIDDAY,1,0.4614,ZIP3
1989-11-06,6903,ONLINE_ECOM,989555.37,616,325,1752.85,37.24,62.76,2.4,1.65,9.75,90.25,LT35K,55_64,TABLET,MIDDAY,0,0.0968,STATE
1989-11-13,3549,ONLINE_ECOM,301537.25,670,351,409.51,22.76,77.24,5.02,1.06,10.5,89.5,60_100K,55_64,POS_TERMINAL,LATE_NIGHT,0,0.8908,ZIP3
1989-11-20,5541,MOBILE_WALLET,482574.3,659,460,961.37,78.79,21.21,4.91,0.16,7.52,92.48,150K_PLUS,35_44,DESKTOP,EVENING,1,0.6413,METRO
1989-11-27,5979,RECURRING,630995.67,710,265,861.7,19.24,80.76,4.4,0.72,32.24,67.76,60_100K,25_34,TABLET,AFTERNOON,1,0.5794,METRO
1989-12-04,8625,IN_APP,959803.23,628,404,1640.16,78.7,21.3,6.27,0.87,26.41,73.59,100_150K,55_64,MOBILE,AFTERNOON,0,0.1218,STATE
1989-12-11,4345,IN_APP,662714.87,683,409,773.61,46.52,53.48,3.02,1.31,7.89,92.11,35_60K,55_64,UNKNOWN,EVENING,0,0.507,STORE_CLUSTER
1989-12-18,4544,INSTORE_CARD_PRESENT,1837813.33,592,146,1980.82,78.29,21.71,3.95,1.31,7.94,92.06,60_100K,25_34,DESKTOP,EVENING,0,0.1957,ZIP3
1989-12-25,5569,MOBILE_WALLET,1620712.45,663,324,1797.31,28.39,71.61,7.36,1.5,27.39,72.61,35_60K,25_34,UNKNOWN,LATE_NIGHT,0,0.9488,STATE
1990-01-01,1654,PHONE_ORDER,270146.56,639,445,567.62,15.57,84.43,4.15,0.16,16.2,83.8,150K_PLUS,35_44,MOBILE,AFTERNOON,0,0.0554,ZIP3
1990-01-08,5647,PHONE_ORDER,1072869.83,677,198,961.09,43.43,56.57,2.93,0.25,10.97,89.03,60_100K,25_34,DESKTOP,AFTERNOON,0,0.0247,ZIP5
1990-01-15,1499,ONLINE_ECOM,304324.02,649,302,436.88,84.03,15.97,1.24,0.45,39.15,60.85,150K_PLUS,45_54,DESKTOP,MORNING,0,0.411,ZIP3
1990-01-22,5694,RECURRING,508210.92,670,259,905.37,38.71,61.29,1.65,0.55,9.57,90.43,100_150K,45_54,TABLET,LATE_NIGHT,0,0.0598,STATE
1990-01-29,5614,PHONE_ORDER,590787.57,614,164,1284.33,78.77,21.23,0.42,1.48,32.04,67.96,35_60K,45_54,UNKNOWN,EVENING,0,0.3909,NATIONAL
1990-02-05,4661,MOBILE_WALLET,633433.54,662,142,678.05,23.42,76.58,2.71,1.72,19.26,80.74,60_100K,35_44,TABLET,AFTERNOON,0,0.551,ZIP3
1990-02-12,7666,ONLINE_ECOM,216906.24,658,191,317.38,9.7,90.3,2.56,0.26,23.01,76.99,150K_PLUS,35_44,DESKTOP,LATE_NIGHT,0,0.3918,ZIP3
1990-02-19,4498,ONLINE_ECOM,493225.38,664,166,579.09,75.56,24.44,6.07,0.21,10.07,89.93,60_100K,55_64,TABLET,MORNING,0,0.1984,ZIP3
1990-02-26,1680,PHONE_ORDER,618615.77,592,310,1030.61,79.54,20.46,1.13,1.75,38.85,61.15,35_60K,35_44,MOBILE,EVENING,1,0.4232,ZIP3
1990-03-05,2730,RECURRING,575810.67,690,120,735.87,67.88,32.12,2.92,1.45,10.14,89.86,35_60K,25_34,TABLET,MORNING,0,0.7626,ZIP3
1990-03-12,5103,RECURRING,1481695.49,614,349,2699.81,57.95,42.05,2.75,1.24,15.15,84.85,35_60K,25_34,MOBILE,LATE_NIGHT,0,0.9065,STATE
1990-03-19,8815,INSTORE_CARD_PRESENT,295193.6,636,266,309.05,22.06,77.94,2.53,1.26,17.25,82.75,150K_PLUS,25_34,UNKNOWN,AFTERNOON,0,0.8981,STORE_CLUSTER
1990-03-26,1337,INSTORE_CARD_PRESENT,2873453.92,634,206,3187.95,61.79,38.21,1.44,0.16,40.89,59.11,100_150K,25_34,DESKTOP,LATE_NIGHT,0,0.3296,METRO
1990-04-02,4824,ONLINE_ECOM,1456983.55,657,239,1582.61,77.69,22.31,4.02,1.33,9.2,90.8,60_100K,55_64,TABLET,MORNING,0,0.3848,ZIP5
1990-04-09,3957,MOBILE_WALLET,407948.84,673,116,749.67,51.28,48.72,0.63,0.59,29.23,70.77,35_60K,25_34,MOBILE,LATE_NIGHT,0,0.0643,STATE
1990-04-16,6269,PHONE_ORDER,405892.87,710,141,346.11,28.51,71.49,3.22,1.63,21.21,78.79,35_60K,25_34,TABLET,EVENING,0,0.137,ZIP5
1990-04-23,8714,IN_APP,1592208.54,634,205,2311.81,40.54,59.46,1.6,1.61,26.56,73.44,60_100K,25_34,MOBILE,LATE_NIGHT,1,0.4725,STATE
1990-04-30,2182,PHONE_ORDER,845416.92,618,263,1056.92,39.95,60.05,1.98,0.27,20.31,79.69,100_150K,18_24,POS_TERMINAL,MIDDAY,0,0.4453,ZIP3
1990-05-07,5067,IN_APP,383079.09,655,287,531.23,27.43,72.57,2.7,1.62,44.75,55.25,LT35K,18_24,POS_TERMINAL,MORNING,0,0.1116,STATE
1990-05-14,2012,INSTORE_CARD_PRESENT,1265124.27,676,435,1941.05,59.41,40.59,6.53,0.0,6.69,93.31,150K_PLUS,35_44,DESKTOP,AFTERNOON,0,0.6463,ZIP3
1990-05-21,2476,ONLINE_ECOM,318398.02,678,255,572.91,5.6,94.4,0.67,1.39,23.35,76.65,60_100K,35_44,UNKNOWN,MIDDAY,0,0.2581,NATIONAL
1990-05-28,7560,MOBILE_WALLET,640100.16,716,254,639.88,44.11,55.89,1.28,0.76,42.16,57.84,60_100K,55_64,TABLET,AFTERNOON,0,0.1898,STORE_CLUSTER
1990-06-04,7359,ONLINE_ECOM,891005.51,637,163,1806.61,84.86,15.14,6.08,0.88,22.26,77.74,150K_PLUS,45_54,POS_TERMINAL,MIDDAY,0,0.6207,NATIONAL
1990-06-11,3734,INSTORE_CARD_PRESENT,1472176.27,673,413,2532.21,21.11,78.89,6.1,0.52,23.79,76.21,35_60K,25_34,TABLET,AFTERNOON,0,0.4211,ZIP5
1990-06-18,6532,RECURRING,1443444.24,659,404,2926.6,17.67,82.33,3.43,1.38,36.61,63.39,100_150K,35_44,POS_TERMINAL,MIDDAY,1,0.7084,STORE_CLUSTER
1990-06-25,1934,ONLINE_ECOM,1453017.88,653,146,1600.82,11.3,88.7,2.28,0.26,13.17,86.83,100_150K,18_24,POS_TERMINAL,MIDDAY,0,0.2157,STATE
1990-07-02,8468,RECURRING,1200465.88,640,431,2416.11,39.54,60.46,7.23,1.06,40.8,59.2,100_150K,18_24,TABLET,AFTERNOON,0,0.494,STORE_CLUSTER
1990-07-09,1939,IN_APP,857618.81,662,417,1682.02,70.54,29.46,0.74,0.44,22.55,77.45,60_100K,45_54,DESKTOP,LATE_NIGHT,0,0.8874,ZIP5
1990-07-16,9066,PHONE_ORDER,748323.79,638,332,1044.37,74.2,25.8,6.45,1.59,44.26,55.74,35_60K,35_44,DESKTOP,AFTERNOON,0,0.1145,STATE
1990-07-23,7969,PHONE_ORDER,416336.34,654,185,470.47,22.25,77.75,6.03,1.07,10.03,89.97,150K_PLUS,25_34,UNKNOWN,MORNING,0,0.3435,ZIP5
1990-07-30,9713,MOBILE_WALLET,1112595.81,656,424,1846.59,49.24,50.76,2.55,0.7,8.26,91.74,35_60K,65_PLUS,DESKTOP,MIDDAY,0,0.6301,STORE_CLUSTER
1990-08-06,3113,ONLINE_ECOM,990312.69,660,150,997.4,72.38,27.62,1.77,0.3,25.52,74.48,LT35K,55_64,TABLET,LATE_NIGHT,0,0.2534,METRO
1990-08-13,3032,IN_APP,1131143.2,628,124,2136.46,26.5,73.5,7.6,0.31,12.12,87.88,LT35K,35_44,TABLET,MORNING,0,0.7244,NATIONAL
1990-08-20,2000,INSTORE_CARD_PRESENT,867804.56,635,311,1815.49,9.15,90.85,6.21,0.79,23.5,76.5,100_150K,18_24,UNKNOWN,AFTERNOON,1,0.8342,NATIONAL
1990-08-27,7807,ONLINE_ECOM,1002238.4,641,187,1632.47,11.64,88.36,5.49,0.44,40.32,59.68,100_150K,25_34,DESKTOP,MIDDAY,0,0.8836,ZIP5
