lab_lfs_reference_quarter,lab_lfs_country_iso2,lab_lfs_region_nuts_code,lab_lfs_age_group,lab_lfs_sex,lab_lfs_employment_status_code,lab_lfs_employed_count,lab_lfs_unemployed_count,lab_lfs_inactive_count,lab_lfs_unemployment_rate_pct,lab_lfs_long_term_unemployment_rate_pct,lab_lfs_youth_unemployment_rate_pct,lab_lfs_participation_rate_pct,lab_lfs_hours_worked_mean,lab_lfs_part_time_share_pct,lab_lfs_temporary_contract_share_pct,lab_lfs_self_employment_share_pct,lab_lfs_telework_share_pct,lab_lfs_eurostat_table_code,lab_lfs_data_extract_date
2021-Q1,FI,DE819,55_64,X,UNE,994310,107784,498623,9.78,3.18,8.5,68.85,27.18,18.04,6.22,17.09,32.89,lfsi_emp_q,2024-10-21
2021-Q2,LV,DK51,45_54,F,EMP,2032736,190534,323139,8.57,3.57,7.96,87.31,19.41,33.51,7.24,19.21,23.06,lfsa_egan_q,2024-10-09
2021-Q3,RO,LU59,35_44,M,INA,2139110,208207,221425,8.87,3.6,8.53,91.38,36.76,24.09,11.95,5.88,10.43,lfsi_part_q,2024-11-10
2021-Q4,BG,MT232,25_34,X,UNE,1012366,90309,316286,8.19,2.11,5.55,77.71,21.94,10.26,4.65,10.24,12.4,lfsi_unemp_q,2025-08-13
2022-Q1,FR,ES2,15_24,F,EMP,192985,28913,165088,13.03,6.34,20.2,57.34,22.54,28.7,11.25,17.16,6.88,lfsi_emp_q,2026-01-20
2022-Q2,LT,LV66,65_74,M,INA,435174,19790,1711531,4.35,0.48,2.76,21.0,22.16,11.47,9.21,18.51,24.25,lfsa_egan_q,2025-04-20
2022-Q3,SK,PT17,55_64,X,UNE,1317156,142781,483277,9.78,1.51,8.65,75.13,22.67,32.81,16.24,14.87,23.71,lfsi_part_q,2026-01-17
2022-Q4,HR,EE601,45_54,F,EMP,530471,51696,134787,8.88,5.59,9.24,81.2,38.86,28.3,13.98,19.88,15.21,lfsi_unemp_q,2025-12-05
2023-Q1,DE,AT83,35_44,M,INA,144142,14744,29814,9.28,2.92,5.81,84.2,19.28,19.13,14.1,20.69,19.58,lfsi_emp_q,2024-07-06
2023-Q2,LU,SE3,25_34,X,UNE,2003808,142515,1051417,6.64,1.81,5.04,67.12,18.73,36.17,12.05,11.79,9.45,lfsa_egan_q,2024-12-19
2023-Q3,SI,FI207,15_24,F,EMP,547960,184411,1028137,25.18,5.1,39.03,41.6,17.09,33.24,13.37,19.67,9.6,lfsi_part_q,2024-08-19
2023-Q4,CY,LT5,65_74,M,INA,336930,8532,1416200,2.47,0.93,1.96,19.61,20.77,34.53,22.07,11.54,11.45,lfsi_unemp_q,2025-01-12
2024-Q1,GR,CZ4,55_64,X,UNE,1161526,70078,1091300,5.69,0.84,5.38,53.02,29.02,25.37,6.95,7.0,14.97,lfsi_emp_q,2024-08-08
2024-Q2,MT,MT109,45_54,F,EMP,191991,17354,68595,8.29,4.88,6.4,75.32,20.08,45.73,15.25,18.3,10.21,lfsa_egan_q,2025-12-31
2024-Q3,ES,SK9,35_44,M,INA,633241,73343,160709,10.38,4.89,8.85,81.47,32.18,8.85,17.8,14.83,4.91,lfsi_part_q,2024-08-16
2024-Q4,CZ,SE90,25_34,X,UNE,898931,92719,362138,9.35,3.2,9.63,73.25,30.4,28.02,15.66,16.69,23.43,lfsi_unemp_q,2024-11-13
2025-Q1,HU,SI88,15_24,F,EMP,985917,265564,938337,21.22,9.84,32.89,57.15,21.38,9.34,19.97,11.86,16.52,lfsi_emp_q,2025-07-03
2025-Q2,NL,GR828,65_74,M,INA,98211,3911,581888,3.83,1.62,3.75,14.93,31.31,16.0,20.5,12.18,18.36,lfsa_egan_q,2025-05-12
2025-Q3,SE,CY5,55_64,X,UNE,1124606,103532,596733,8.43,4.03,7.4,67.3,25.61,19.91,12.04,14.46,2.23,lfsi_part_q,2024-05-26
2025-Q4,DK,SK4,45_54,F,EMP,1928273,181434,519211,8.6,4.15,8.97,80.25,20.66,41.5,5.01,18.88,5.34,lfsi_unemp_q,2024-01-18
2026-Q1,IE,IE89,35_44,M,INA,936462,32960,51022,3.4,1.52,2.22,95.0,29.51,16.74,12.75,16.23,22.18,lfsi_emp_q,2024-07-09
2026-Q2,PL,NL970,25_34,X,UNE,980363,62909,256269,6.03,0.91,3.71,80.28,25.84,18.38,18.33,16.47,11.72,lfsa_egan_q,2026-02-09
2026-Q3,AT,SK45,15_24,F,EMP,121115,44886,250668,27.04,9.05,41.91,39.84,16.01,27.64,12.92,12.54,19.93,lfsi_part_q,2025-11-25
2026-Q4,EE,NL8,65_74,M,INA,39535,642,171280,1.6,0.54,1.2,19.0,28.32,11.15,17.1,7.25,14.78,lfsi_unemp_q,2025-06-12
2013-Q1,IT,FR22,55_64,X,UNE,1152288,57463,676947,4.75,1.07,4.69,64.12,24.61,25.65,5.66,22.16,7.92,lfsi_emp_q,2024-05-09
2013-Q2,PT,BG3,45_54,F,EMP,473188,50945,172111,9.72,2.09,9.93,75.28,18.33,31.95,19.69,9.16,7.33,lfsa_egan_q,2024-04-30
2013-Q3,BE,BG96,35_44,M,INA,243567,22451,41020,8.44,1.4,6.29,86.64,19.5,9.76,18.07,16.55,14.27,lfsi_part_q,2025-09-30
2013-Q4,FI,HU465,25_34,X,UNE,1686901,197272,787654,10.47,5.09,9.46,70.52,26.77,14.54,9.97,7.69,29.33,lfsi_unemp_q,2025-03-10
2014-Q1,LV,HR29,15_24,F,EMP,104748,44571,141298,29.85,12.1,46.27,51.38,16.18,10.95,7.54,15.12,25.2,lfsi_emp_q,2025-07-12
2014-Q2,RO,BE7,65_74,M,INA,404868,5956,1926059,1.45,0.16,1.45,17.58,28.1,12.48,24.25,9.27,12.39,lfsa_egan_q,2025-03-18
2014-Q3,BG,BE87,55_64,X,UNE,1319079,87638,666252,6.23,2.88,4.54,67.86,38.78,29.99,16.51,18.04,8.09,lfsi_part_q,2024-03-10
2014-Q4,FR,HR81,45_54,F,EMP,784624,46545,297370,5.6,1.18,4.57,73.65,39.04,9.58,18.8,6.17,4.27,lfsi_unemp_q,2024-10-20
2015-Q1,LT,AT816,35_44,M,INA,1279004,115005,273067,8.25,2.45,8.31,83.62,26.2,27.42,10.48,11.59,9.84,lfsi_emp_q,2025-05-29
2015-Q2,SK,MT937,25_34,X,UNE,192929,11770,65780,5.75,0.75,4.28,75.68,19.74,26.73,18.06,16.61,10.05,lfsa_egan_q,2024-04-11
2015-Q3,HR,AT431,15_24,F,EMP,77033,10226,86598,11.72,1.64,18.17,50.19,28.13,33.12,16.88,7.32,4.93,lfsi_part_q,2024-02-23
2015-Q4,DE,GR848,65_74,M,INA,360980,5088,1038107,1.39,0.22,0.88,26.07,18.98,37.86,11.79,10.55,18.79,lfsi_unemp_q,2024-09-11
2016-Q1,LU,SK69,55_64,X,UNE,1207932,38901,820883,3.12,1.83,2.31,60.3,34.9,10.5,23.47,18.01,19.44,lfsi_emp_q,2025-12-02
2016-Q2,SI,HU326,45_54,F,EMP,1264653,34425,383447,2.65,0.88,2.69,77.21,36.88,40.62,14.67,13.3,10.96,lfsa_egan_q,2026-02-18
2016-Q3,CY,SE619,35_44,M,INA,867082,79927,144015,8.44,2.81,8.46,86.8,24.31,28.44,16.43,15.57,3.18,lfsi_part_q,2025-09-23
2016-Q4,GR,HR8,25_34,X,UNE,2059027,172738,863180,7.74,2.25,7.17,72.11,19.67,24.16,9.24,20.67,3.14,lfsi_unemp_q,2025-08-07
2017-Q1,MT,PL42,15_24,F,EMP,331247,106505,454708,24.33,5.57,37.71,49.05,18.13,27.61,6.33,6.15,19.0,lfsi_emp_q,2024-06-23
2017-Q2,ES,BG365,65_74,M,INA,251052,6147,1198371,2.39,0.56,1.99,17.67,40.55,26.87,5.8,16.65,21.78,lfsa_egan_q,2024-03-23
2017-Q3,CZ,CZ5,55_64,X,UNE,681137,70089,669130,9.33,4.82,6.8,52.89,33.54,35.78,15.62,16.32,6.66,lfsi_part_q,2026-02-19
2017-Q4,HU,LV533,45_54,F,EMP,424247,10833,91587,2.49,0.47,2.28,82.61,18.89,12.95,15.88,8.27,6.37,lfsi_unemp_q,2025-02-26
2018-Q1,NL,IT885,35_44,M,INA,611760,70246,147079,10.3,1.33,10.41,82.26,23.11,39.2,24.69,14.61,12.36,lfsi_emp_q,2024-04-19
2018-Q2,SE,PT359,25_34,X,UNE,1862416,144065,509482,7.18,2.26,4.96,79.75,23.59,25.8,10.19,6.67,3.25,lfsa_egan_q,2025-05-01
2018-Q3,DK,HR19,15_24,F,EMP,750698,138649,1165047,15.59,3.7,24.16,43.29,24.66,14.43,10.01,16.84,13.62,lfsi_part_q,2025-11-14
2018-Q4,IE,CZ1,65_74,M,INA,324922,18329,1751022,5.34,1.12,3.82,16.39,40.98,25.61,21.57,8.73,27.81,lfsi_unemp_q,2025-07-30
2019-Q1,PL,FR28,55_64,X,UNE,49702,2423,36568,4.65,2.82,2.93,58.77,38.01,30.85,25.77,15.88,10.6,lfsi_emp_q,2025-09-06
2019-Q2,AT,LU3,45_54,F,EMP,1788634,182964,779341,9.28,5.73,5.8,71.67,36.95,38.6,24.51,17.31,12.56,lfsa_egan_q,2025-10-04
2019-Q3,EE,CY864,35_44,M,INA,2104308,78810,344223,3.61,1.38,2.33,86.38,33.81,9.68,4.69,17.06,20.88,lfsi_part_q,2024-02-10
2019-Q4,IT,AT662,25_34,X,UNE,329102,15724,139208,4.56,1.99,4.49,71.24,29.45,23.12,5.07,15.88,12.56,lfsi_unemp_q,2026-01-03
2020-Q1,PT,EE73,15_24,F,EMP,81001,26712,81756,24.8,11.45,38.44,56.85,13.82,20.36,19.63,19.06,22.27,lfsi_emp_q,2025-10-17
2020-Q2,BE,PL73,65_74,M,INA,236870,3168,1719459,1.32,0.39,0.91,12.25,43.01,13.67,11.44,15.62,6.37,lfsa_egan_q,2024-08-14
2020-Q3,FI,LV61,55_64,X,UNE,715085,48242,502765,6.32,3.76,4.15,60.29,28.31,10.98,8.23,6.71,42.46,lfsi_part_q,2024-09-21
2020-Q4,LV,LV729,45_54,F,EMP,1281347,113392,409347,8.13,1.29,6.25,77.31,23.73,15.1,5.7,15.23,20.75,lfsi_unemp_q,2024-12-09
2021-Q1,RO,SK36,35_44,M,INA,874089,62468,325479,6.67,1.33,6.48,74.21,20.31,10.77,4.73,16.33,32.32,lfsi_emp_q,2025-04-06
2021-Q2,BG,MT37,25_34,X,UNE,2217725,192845,738443,8.0,1.25,7.86,76.55,25.55,14.39,24.21,6.3,21.81,lfsa_egan_q,2025-11-29
2021-Q3,FR,ES67,15_24,F,EMP,290543,113213,337081,28.04,13.77,43.46,54.5,16.02,40.94,9.12,20.38,28.41,lfsi_part_q,2025-04-25
2021-Q4,LT,FR4,65_74,M,INA,126916,7443,614998,5.54,1.77,4.29,17.93,27.72,36.22,12.19,20.19,8.45,lfsi_unemp_q,2025-11-06
2022-Q1,SK,MT773,55_64,X,UNE,314402,26709,158100,7.83,3.01,8.12,68.33,25.64,19.66,18.55,19.36,22.06,lfsi_emp_q,2024-01-26
2022-Q2,HR,BG1,45_54,F,EMP,938405,57778,328528,5.8,3.01,4.61,75.2,29.53,25.11,7.96,16.49,6.12,lfsa_egan_q,2025-12-30
2022-Q3,DE,DE7,35_44,M,INA,459236,17793,46430,3.73,1.13,2.31,91.13,30.74,13.14,8.59,7.17,25.08,lfsi_part_q,2025-07-04
2022-Q4,LU,IE8,25_34,X,UNE,1833315,93245,732598,4.84,2.36,3.03,72.45,30.16,35.76,11.0,16.14,18.0,lfsi_unemp_q,2024-02-27
2023-Q1,SI,SE59,15_24,F,EMP,843129,118688,930778,12.34,4.86,19.13,50.82,22.98,10.59,25.93,16.58,22.79,lfsi_emp_q,2024-03-15
2023-Q2,CY,HR51,65_74,M,INA,181909,1633,613429,0.89,0.11,0.72,23.03,29.31,7.41,7.01,11.33,21.2,lfsa_egan_q,2024-06-15
2023-Q3,GR,PT53,55_64,X,UNE,36168,4162,12148,10.32,2.78,9.0,76.85,21.1,13.66,25.21,8.68,22.76,lfsi_part_q,2025-03-18
2023-Q4,MT,PT125,45_54,F,EMP,1125972,65028,265524,5.46,2.9,5.42,81.77,33.96,32.55,15.04,6.87,15.21,lfsi_unemp_q,2025-08-18
2024-Q1,ES,IE80,35_44,M,INA,1082949,116994,222633,9.75,2.92,7.89,84.35,20.03,9.84,15.35,15.23,13.3,lfsi_emp_q,2024-12-11
2024-Q2,CZ,BG9,25_34,X,UNE,247826,18882,92059,7.08,3.12,6.79,74.34,39.06,25.59,7.58,7.71,12.05,lfsa_egan_q,2026-02-06
2024-Q3,HU,HR844,15_24,F,EMP,351327,49091,515870,12.26,4.63,19.0,43.7,23.83,12.99,7.74,19.4,18.84,lfsi_part_q,2025-10-15
2024-Q4,NL,DK95,65_74,M,INA,222935,8493,640242,3.67,1.03,3.41,26.55,29.11,15.06,8.26,18.48,30.31,lfsi_unemp_q,2024-11-26
2025-Q1,SE,EE6,55_64,X,UNE,261456,27190,177966,9.42,3.65,6.4,61.86,19.15,30.89,10.05,7.67,25.06,lfsi_emp_q,2025-04-07
2025-Q2,DK,BE6,45_54,F,EMP,1743028,159010,494985,8.36,3.44,6.95,79.35,18.42,26.62,21.58,12.79,15.96,lfsa_egan_q,2024-10-29
2025-Q3,IE,NL89,35_44,M,INA,1633886,89077,263619,5.17,1.87,3.15,86.73,35.43,25.18,23.67,16.66,28.22,lfsi_part_q,2025-06-16
2025-Q4,PL,BE542,25_34,X,UNE,1406801,162938,696050,10.38,4.07,9.52,69.28,25.1,10.49,18.03,16.84,23.79,lfsi_unemp_q,2024-02-17
2026-Q1,AT,BG76,15_24,F,EMP,455386,144121,496885,24.04,9.68,37.26,54.68,16.13,24.26,24.9,13.95,12.67,lfsi_emp_q,2025-09-22
2026-Q2,EE,FI7,65_74,M,INA,43341,646,291280,1.47,0.23,1.49,13.12,42.92,23.65,24.09,17.86,6.06,lfsa_egan_q,2024-02-28
2026-Q3,IT,PL21,55_64,X,UNE,473946,21709,310026,4.38,1.57,3.41,61.52,36.5,32.07,11.14,9.49,8.98,lfsi_part_q,2024-04-04
2026-Q4,PT,BE423,45_54,F,EMP,1985994,61000,407435,2.98,1.57,2.13,83.4,38.22,40.2,24.31,17.69,24.79,lfsi_unemp_q,2025-11-12
2013-Q1,BE,PT607,35_44,M,INA,2237632,165839,297665,6.9,1.98,4.66,88.98,20.13,27.12,19.8,5.81,5.07,lfsi_emp_q,2025-10-15
2013-Q2,FI,DK32,25_34,X,UNE,1110007,35984,264285,3.14,1.33,2.04,81.26,22.09,25.0,15.17,16.13,12.13,lfsa_egan_q,2025-03-31
2013-Q3,LV,IT23,15_24,F,EMP,350194,82892,659462,19.14,8.23,29.67,39.64,16.51,33.77,13.7,15.51,8.13,lfsi_part_q,2025-06-23
2013-Q4,RO,DK195,65_74,M,INA,200713,10964,1199506,5.18,2.31,3.26,15.0,34.48,7.34,10.13,7.79,16.45,lfsi_unemp_q,2025-04-19
2014-Q1,BG,RO478,55_64,X,UNE,735540,39855,322431,5.14,1.73,3.9,70.63,37.04,19.21,11.47,6.76,6.08,lfsi_emp_q,2024-06-18
2014-Q2,FR,RO375,45_54,F,EMP,1231355,83914,241999,6.38,0.97,6.11,84.46,18.85,21.26,22.91,6.66,7.33,lfsa_egan_q,2025-05-03
2014-Q3,LT,AT677,35_44,M,INA,57143,2387,13575,4.01,1.08,3.21,81.43,30.38,8.25,16.4,8.44,7.76,lfsi_part_q,2025-12-12
2014-Q4,SK,LV58,25_34,X,UNE,1950114,201142,884240,9.35,3.58,6.46,70.87,20.11,32.85,8.74,17.04,24.15,lfsi_unemp_q,2026-01-25
2015-Q1,HR,FR90,15_24,F,EMP,346902,115695,645951,25.01,3.29,38.77,41.73,29.83,39.47,17.35,8.18,10.25,lfsi_emp_q,2025-03-02
2015-Q2,DE,SI409,65_74,M,INA,66511,1979,164390,2.89,0.42,1.74,29.41,34.23,31.38,10.41,7.41,15.5,lfsa_egan_q,2025-07-02
2015-Q3,LU,ES706,55_64,X,UNE,392114,33726,132053,7.92,3.5,5.61,76.33,33.4,29.02,11.69,16.26,17.17,lfsi_part_q,2024-11-10
2015-Q4,SI,RO189,45_54,F,EMP,1302230,33664,445298,2.52,1.36,2.3,75.0,21.3,33.25,14.83,11.41,12.08,lfsi_unemp_q,2025-12-01
2016-Q1,CY,NL1,35_44,M,INA,1025938,118443,289321,10.35,2.95,9.18,79.82,39.78,20.57,19.04,20.77,5.82,lfsi_emp_q,2026-02-17
2016-Q2,GR,FI71,25_34,X,UNE,430808,36445,71491,7.8,2.35,7.69,86.73,37.25,15.48,9.59,9.07,6.39,lfsa_egan_q,2024-03-24
2016-Q3,MT,IT917,15_24,F,EMP,614443,76097,638700,11.02,3.99,17.08,51.95,18.02,26.79,28.46,7.05,8.28,lfsi_part_q,2025-08-07
2016-Q4,ES,LU33,65_74,M,INA,146940,3567,940919,2.37,0.45,2.41,13.79,31.33,30.17,22.12,18.15,15.06,lfsi_unemp_q,2024-07-24
2017-Q1,CZ,DK71,55_64,X,UNE,837377,26521,456441,3.07,1.57,3.2,65.43,34.54,19.57,9.52,15.73,9.14,lfsi_emp_q,2024-07-13
2017-Q2,HU,SK85,45_54,F,EMP,2570812,74872,320662,2.83,1.22,1.76,89.19,31.75,42.71,6.83,7.01,14.99,lfsa_egan_q,2025-05-05
2017-Q3,NL,HU78,35_44,M,INA,819166,98667,176649,10.75,3.16,7.15,83.86,20.32,25.06,16.58,20.71,9.15,lfsi_part_q,2024-05-31
2017-Q4,SE,FI81,25_34,X,UNE,1587663,146919,609447,8.47,2.55,7.44,74.0,31.96,12.91,12.11,16.53,15.04,lfsi_unemp_q,2024-11-03
2018-Q1,DK,BG950,15_24,F,EMP,346700,120110,753928,25.73,2.83,39.88,38.24,27.46,42.17,22.63,14.01,17.98,lfsi_emp_q,2025-05-01
2018-Q2,IE,MT485,65_74,M,INA,279780,13705,1309382,4.67,1.81,4.55,18.31,38.38,23.46,17.63,16.4,20.03,lfsa_egan_q,2026-02-04
2018-Q3,PL,PT697,55_64,X,UNE,486895,14128,350044,2.82,1.66,1.75,58.87,38.89,36.12,17.37,13.82,25.09,lfsi_part_q,2024-10-18
2018-Q4,AT,IT5,45_54,F,EMP,644549,68605,175290,9.62,4.51,8.59,80.27,39.91,21.16,18.2,12.27,14.22,lfsi_unemp_q,2026-01-22
2019-Q1,EE,DE77,35_44,M,INA,1602626,66950,448100,4.01,1.06,2.73,78.84,36.57,13.34,22.15,5.96,15.97,lfsi_emp_q,2024-07-08
2019-Q2,IT,LU709,25_34,X,UNE,1201803,166681,378591,12.18,4.44,12.31,78.33,27.43,23.58,17.81,16.07,21.27,lfsa_egan_q,2024-03-28
2019-Q3,PT,LV9,15_24,F,EMP,698370,245883,1380348,26.04,8.64,40.36,40.62,28.24,17.24,12.24,8.97,8.0,lfsi_part_q,2024-05-13
2019-Q4,BE,CZ23,65_74,M,INA,226564,8290,1523039,3.53,1.54,3.67,13.36,34.98,7.16,16.93,7.12,1.96,lfsi_unemp_q,2025-02-07
2020-Q1,FI,IT950,55_64,X,UNE,36850,4717,26598,11.35,6.58,11.41,60.98,34.62,7.62,7.17,7.64,38.59,lfsi_emp_q,2024-06-15
2020-Q2,LV,HU100,45_54,F,EMP,2436259,112928,405022,4.43,0.97,3.84,86.29,30.88,12.48,24.82,7.02,17.3,lfsa_egan_q,2024-11-30
2020-Q3,RO,CY555,35_44,M,INA,1376055,71966,227347,4.97,1.13,5.04,86.43,28.36,14.56,8.21,16.13,6.95,lfsi_part_q,2025-09-27
2020-Q4,BG,EE1,25_34,X,UNE,2134469,157209,734838,6.86,1.97,5.56,75.72,24.32,9.6,13.58,13.66,35.43,lfsi_unemp_q,2024-04-18
2021-Q1,FR,LT285,15_24,F,EMP,192832,69381,196282,26.46,4.71,41.01,57.19,23.77,44.7,19.33,20.17,24.5,lfsi_emp_q,2025-03-09
2021-Q2,LT,FR89,65_74,M,INA,237986,10953,871904,4.4,0.92,4.2,22.21,20.48,19.65,12.31,12.48,35.53,lfsa_egan_q,2024-03-05
2021-Q3,SK,FI837,55_64,X,UNE,1042546,57650,295106,5.24,1.68,4.82,78.85,30.77,15.5,21.85,9.07,16.44,lfsi_part_q,2025-09-23
2021-Q4,HR,EE163,45_54,F,EMP,70760,3349,14612,4.52,2.11,4.1,83.53,18.01,13.51,17.52,10.48,16.9,lfsi_unemp_q,2025-12-31
2022-Q1,DE,BG52,35_44,M,INA,1500613,127303,525127,7.82,2.75,7.32,75.61,22.75,31.93,6.08,10.37,18.32,lfsi_emp_q,2026-01-12
2022-Q2,LU,IT27,25_34,X,UNE,2335427,151450,575779,6.09,2.17,4.64,81.2,26.31,9.17,16.11,14.45,18.99,lfsa_egan_q,2025-12-21
2022-Q3,SI,EE692,15_24,F,EMP,337405,130563,716461,27.9,5.67,43.24,39.51,24.35,28.19,27.63,14.39,4.4,lfsi_part_q,2026-01-24
2022-Q4,CY,RO59,65_74,M,INA,64254,866,359115,1.33,0.26,1.36,15.35,30.19,7.19,15.3,10.39,9.32,lfsi_unemp_q,2024-12-01
2023-Q1,GR,LU99,55_64,X,UNE,140851,10179,83598,6.74,3.02,6.99,64.37,29.73,35.43,18.89,7.4,22.53,lfsi_emp_q,2024-06-19
2023-Q2,MT,CZ3,45_54,F,EMP,781181,67651,418649,7.97,4.76,5.5,66.97,23.29,15.14,24.29,15.31,4.13,lfsa_egan_q,2025-04-20
2023-Q3,ES,AT97,35_44,M,INA,116235,2833,27802,2.38,0.84,1.67,81.07,37.36,35.1,25.16,14.4,6.85,lfsi_part_q,2024-06-03
