health_cap_reference_year,health_cap_country_iso2,health_cap_region_nuts_code,health_cap_hospital_type_code,health_cap_hospitals_count,health_cap_beds_total,health_cap_icu_beds_total,health_cap_doctors_per_1000,health_cap_nurses_per_1000,health_cap_gps_per_1000,health_cap_specialists_per_1000,health_cap_occupancy_rate_pct,health_cap_avg_length_of_stay_days,health_cap_surgery_wait_time_days_median,health_cap_emergency_wait_time_minutes_median,health_cap_staff_vacancy_rate_pct,health_cap_cross_border_patient_flows_count,health_cap_data_source,health_cap_revision_round,health_cap_data_extract_date
2017,CY,RO5,UNIVERSITY,130,29928,764,4.9,6.19,1.14,3.41,82.98,6.06,186.6,176.01,10.22,19889,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-12
2018,FR,DE7,GENERAL_ACUTE,56,20436,1776,2.04,10.7,1.48,1.03,71.63,4.84,66.68,131.8,6.98,58537,OECD_HEALTH_STAT,FLASH,2026-01-04
2019,IT,PL17,DAY_SURGERY,54,4969,383,1.8,10.91,1.34,1.17,61.69,9.13,146.04,23.43,5.29,54945,EUROSTAT_HEALTH,FIRST,2024-02-29
2020,NL,LV4,PSYCHIATRIC,14,4878,65,1.89,6.04,1.76,0.6,86.57,6.62,14.22,113.14,15.9,153043,NATIONAL_HEALTH_MINISTRY,SECOND,2025-06-14
2021,SI,BE9,REHABILITATION,162,88669,4837,5.84,12.67,1.3,5.29,68.18,7.17,57.49,157.9,13.27,53559,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-01-04
2022,BG,NL159,SPECIALISED,173,22668,514,2.58,7.14,1.7,1.16,56.62,9.73,165.79,168.44,4.14,116822,OECD_HEALTH_STAT,FLASH,2025-09-05
2023,EE,BG670,UNIVERSITY,5,2220,46,2.88,8.15,2.1,1.78,75.5,11.83,159.71,77.69,12.72,45295,EUROSTAT_HEALTH,FIRST,2025-09-10
2024,HU,IT874,GENERAL_ACUTE,109,47566,3205,5.75,11.08,2.04,4.26,80.65,11.21,23.9,20.34,16.6,15875,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-10
2025,LU,MT146,DAY_SURGERY,80,7850,197,4.72,10.4,0.44,4.72,84.69,8.06,43.02,46.66,10.66,191546,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-11-16
2006,RO,HU7,PSYCHIATRIC,161,30789,382,5.93,12.83,0.43,5.08,83.23,6.68,93.35,17.17,14.05,13120,OECD_HEALTH_STAT,FLASH,2025-07-14
2007,AT,AT66,REHABILITATION,160,52905,4501,4.13,10.05,0.57,3.04,58.09,12.12,13.75,27.95,2.69,68780,EUROSTAT_HEALTH,FIRST,2024-08-09
2008,CZ,SE808,SPECIALISED,263,11383,274,2.79,6.07,1.61,1.57,52.88,10.25,124.8,117.15,3.85,8711,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-11
2009,DE,BE91,UNIVERSITY,83,34018,1337,4.95,12.25,0.61,4.54,59.68,5.74,161.28,119.51,4.72,214684,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-17
2010,LV,RO47,GENERAL_ACUTE,254,76578,3081,5.95,13.14,1.29,5.08,96.32,6.78,46.61,206.28,8.66,38310,OECD_HEALTH_STAT,FLASH,2025-06-21
2011,PL,LT953,DAY_SURGERY,157,51353,641,3.46,13.68,1.59,1.46,64.22,4.41,205.69,88.93,9.21,80752,EUROSTAT_HEALTH,FIRST,2024-12-04
2012,ES,PT61,PSYCHIATRIC,140,25668,1173,2.18,13.52,0.42,1.48,60.52,11.24,65.28,153.17,10.05,16311,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-29
2013,HR,FR84,REHABILITATION,164,16196,679,3.29,13.55,2.04,1.9,62.91,15.65,89.88,19.56,3.31,64201,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-06
2014,FI,IT29,SPECIALISED,152,17129,752,3.84,5.31,1.71,3.04,70.67,8.45,69.2,106.33,2.38,92378,OECD_HEALTH_STAT,FLASH,2024-03-09
2015,IE,ES415,UNIVERSITY,121,32450,2094,3.85,6.37,0.84,3.01,61.41,9.83,207.71,30.9,5.99,121856,EUROSTAT_HEALTH,FIRST,2025-08-24
2016,MT,IE844,GENERAL_ACUTE,48,9019,144,3.47,13.81,0.41,3.08,85.35,9.49,141.33,18.55,10.97,49109,NATIONAL_HEALTH_MINISTRY,SECOND,2024-08-11
2017,SK,ES7,DAY_SURGERY,93,14070,626,3.24,7.63,1.65,1.49,54.31,10.87,207.42,66.8,7.43,56222,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-24
2018,BE,LV27,PSYCHIATRIC,97,11038,886,2.35,13.99,1.9,1.35,58.7,4.68,17.85,117.37,2.92,21754,OECD_HEALTH_STAT,FLASH,2025-10-15
2019,DK,MT37,REHABILITATION,46,2699,80,3.22,13.2,1.92,1.98,66.27,4.28,26.14,54.19,11.48,112945,EUROSTAT_HEALTH,FIRST,2025-07-07
2020,GR,DE1,SPECIALISED,166,76103,1120,3.13,8.37,1.85,2.51,71.09,7.2,22.48,134.25,7.3,28606,NATIONAL_HEALTH_MINISTRY,SECOND,2024-07-29
2021,LT,SI83,UNIVERSITY,132,42791,2014,4.55,8.66,2.17,3.73,86.11,10.03,91.47,138.7,19.76,74067,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-04-05
2022,PT,BG55,GENERAL_ACUTE,104,41570,485,2.23,9.12,2.14,0.6,95.42,3.52,194.52,196.8,19.04,2324,OECD_HEALTH_STAT,FLASH,2025-07-17
2023,SE,EE94,DAY_SURGERY,23,3178,70,3.08,13.43,1.8,1.2,79.05,7.28,103.69,168.1,19.96,106877,EUROSTAT_HEALTH,FIRST,2025-08-12
2024,CY,IT79,PSYCHIATRIC,160,67456,5814,2.77,14.38,2.01,0.6,71.92,10.64,133.03,116.41,13.94,103708,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-26
2025,FR,NL559,REHABILITATION,123,12310,972,4.87,4.58,1.97,3.04,87.33,6.78,106.07,180.08,4.88,32916,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-02-15
2006,IT,IE802,SPECIALISED,195,74165,6589,1.79,13.89,1.73,0.6,73.78,2.89,86.72,33.52,14.61,96127,OECD_HEALTH_STAT,FLASH,2025-11-01
2007,NL,PL728,UNIVERSITY,58,23124,1644,3.64,4.78,0.99,3.56,65.39,5.16,158.08,116.83,8.47,89789,EUROSTAT_HEALTH,FIRST,2024-06-04
2008,SI,FI740,GENERAL_ACUTE,32,4553,316,2.18,9.07,1.48,0.69,95.02,8.49,97.88,226.51,4.4,6761,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-31
2009,BG,MT23,DAY_SURGERY,5,2235,56,2.0,10.63,1.65,0.6,57.1,9.6,171.37,52.13,14.84,22100,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-12-31
2010,EE,HU123,PSYCHIATRIC,123,43857,1663,6.18,4.89,2.07,3.62,67.63,13.05,102.69,76.83,13.49,54985,OECD_HEALTH_STAT,FLASH,2025-11-19
2011,HU,ES64,REHABILITATION,20,1252,24,5.22,3.79,0.89,3.75,64.47,10.86,65.57,36.36,13.26,57820,EUROSTAT_HEALTH,FIRST,2025-10-14
2012,LU,LV79,SPECIALISED,122,52617,2963,5.71,8.95,0.76,4.99,79.61,11.32,106.63,19.11,2.07,209977,NATIONAL_HEALTH_MINISTRY,SECOND,2024-10-04
2013,RO,LT4,UNIVERSITY,133,17346,1555,2.89,11.37,1.88,2.11,53.11,11.94,198.54,100.82,6.42,122197,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-19
2014,AT,LU48,GENERAL_ACUTE,157,48204,2761,3.11,7.64,1.55,1.18,63.74,5.99,115.53,98.28,14.12,197650,OECD_HEALTH_STAT,FLASH,2025-06-25
2015,CZ,AT8,DAY_SURGERY,25,2539,159,2.87,9.97,0.43,1.91,72.12,7.43,55.09,112.26,9.35,4294,EUROSTAT_HEALTH,FIRST,2025-08-23
2016,DE,SI32,PSYCHIATRIC,131,42470,438,3.23,8.1,2.1,1.24,64.16,9.29,159.83,44.21,9.18,136364,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-08
2017,LV,LU78,REHABILITATION,76,14898,356,5.47,13.62,1.68,4.53,82.28,3.74,184.74,175.65,1.33,36891,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-05
2018,PL,EE919,SPECIALISED,245,19589,1404,2.75,13.54,1.46,2.09,80.73,10.77,137.19,178.84,5.67,72860,OECD_HEALTH_STAT,FLASH,2024-01-04
2019,ES,IE835,UNIVERSITY,76,18070,780,4.3,14.24,1.23,3.1,53.54,4.99,127.91,27.62,4.94,108717,EUROSTAT_HEALTH,FIRST,2025-05-18
2020,HR,GR926,GENERAL_ACUTE,200,28341,1534,3.33,14.31,1.29,2.12,93.28,11.65,128.23,235.7,7.01,92508,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-11
2021,FI,DE354,DAY_SURGERY,35,7054,556,5.73,4.37,1.51,4.18,73.27,6.08,176.6,177.67,14.7,62062,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-08-07
2022,IE,PT454,PSYCHIATRIC,85,24735,1364,2.96,4.42,1.72,2.57,73.41,7.04,81.1,77.4,9.17,48782,OECD_HEALTH_STAT,FLASH,2024-05-19
2023,MT,CY823,REHABILITATION,94,20499,1706,2.34,6.53,0.87,1.06,62.93,7.77,61.85,63.53,22.45,68936,EUROSTAT_HEALTH,FIRST,2026-01-18
2024,SK,PT49,SPECIALISED,119,53837,4162,5.39,13.32,0.85,5.35,62.45,11.75,66.32,61.94,2.02,26431,NATIONAL_HEALTH_MINISTRY,SECOND,2026-02-16
2025,BE,LV523,UNIVERSITY,19,3556,299,6.12,7.96,1.52,4.33,75.99,2.87,141.51,145.01,17.53,202504,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-02-08
2006,DK,EE643,GENERAL_ACUTE,44,8649,251,4.76,7.19,0.93,3.83,58.86,8.98,177.96,170.15,12.48,52835,OECD_HEALTH_STAT,FLASH,2025-08-22
2007,GR,HR32,DAY_SURGERY,144,27062,1472,2.0,11.2,1.59,0.6,72.87,4.42,81.42,95.82,4.57,19153,EUROSTAT_HEALTH,FIRST,2025-09-26
2008,LT,GR311,PSYCHIATRIC,64,5405,379,5.49,11.01,2.12,4.02,74.25,12.32,55.79,162.78,7.85,27356,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-21
2009,PT,IE752,REHABILITATION,125,7897,643,2.57,14.18,1.97,1.17,59.17,15.55,28.14,72.25,12.24,16973,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-08-13
2010,SE,PL44,SPECIALISED,160,10105,470,3.16,8.19,2.16,1.1,73.18,11.59,184.51,33.37,6.28,160422,OECD_HEALTH_STAT,FLASH,2025-07-04
2011,CY,DE60,UNIVERSITY,153,19993,977,3.42,4.88,1.85,2.76,81.05,9.44,57.64,144.47,2.91,78976,EUROSTAT_HEALTH,FIRST,2025-01-12
2012,FR,PL75,GENERAL_ACUTE,194,111531,8095,2.98,12.35,1.76,1.13,83.56,9.54,21.53,76.51,1.25,142172,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-31
2013,IT,FR358,DAY_SURGERY,153,68433,2041,2.33,8.45,0.84,1.88,74.7,6.76,133.5,133.06,1.28,33645,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-07-11
2014,NL,LV10,PSYCHIATRIC,87,23739,277,4.33,4.33,2.04,3.38,69.57,5.68,129.7,78.07,12.1,95818,OECD_HEALTH_STAT,FLASH,2024-11-11
2015,SI,PL31,REHABILITATION,109,13190,1072,5.15,6.56,1.09,3.86,72.46,8.75,50.03,188.44,11.87,75211,EUROSTAT_HEALTH,FIRST,2024-01-18
2016,BG,BG9,SPECIALISED,119,44412,2974,2.98,4.91,1.38,1.57,55.48,7.07,69.77,86.21,5.58,9979,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-24
2017,EE,HU175,UNIVERSITY,129,27609,1379,4.33,4.37,2.17,3.52,68.84,3.08,165.06,9.78,6.98,40674,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-21
2018,HU,ES362,GENERAL_ACUTE,40,12185,228,6.31,8.69,0.77,6.84,74.87,11.91,32.25,132.85,9.34,84528,OECD_HEALTH_STAT,FLASH,2025-08-05
2019,LU,GR433,DAY_SURGERY,44,6756,429,2.41,3.8,1.38,0.78,86.41,6.09,173.35,84.88,14.1,190619,EUROSTAT_HEALTH,FIRST,2024-03-06
2020,RO,PT651,PSYCHIATRIC,13,1883,126,4.62,8.85,1.49,4.32,84.73,8.27,101.37,159.51,9.93,48305,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-09
2021,AT,PL971,REHABILITATION,131,21108,1307,4.34,11.01,1.23,3.08,53.57,8.33,77.65,143.54,11.33,193348,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-27
2022,CZ,RO466,SPECIALISED,137,24268,2173,4.0,14.3,0.8,4.29,72.14,6.55,128.33,151.9,6.92,93494,OECD_HEALTH_STAT,FLASH,2024-06-02
2023,DE,LV503,UNIVERSITY,48,7408,575,6.12,11.72,1.49,4.07,70.51,9.01,26.6,169.54,16.09,182955,EUROSTAT_HEALTH,FIRST,2025-05-26
2024,LV,CY50,GENERAL_ACUTE,130,45846,4065,3.62,7.87,0.77,2.86,91.58,7.29,80.7,42.27,4.1,65711,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-24
2025,PL,DE504,DAY_SURGERY,164,70162,4952,5.29,5.45,2.0,3.56,71.77,4.85,24.87,51.18,6.37,2870,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-12-10
