labor_wage_wage_survey_year,labor_wage_occupation_soc_6,labor_wage_industry_naics_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2017,281018,337,MONTHLY,24.98,30.3,35.6,38.94,61.09,128793,5.42,11.92,27.85,17.41,-5.11,24.25,34.97,37.94,72.62,3.96
2018,291019,519,WEEKLY,9.27,15.81,22.9,25.42,45.62,58607,3.26,6.82,8.28,26.05,12.47,-0.0,15.8,11.01,86.05,0.84
2025,301020,622,ANNUAL,22.85,30.81,33.59,40.25,63.56,180398,0.18,15.26,34.1,38.89,23.84,9.14,13.76,23.44,88.71,2.18
2015,311021,323,MONTHLY,31.41,35.53,41.37,44.81,62.19,206262,11.83,5.62,29.56,1.12,18.8,21.2,18.45,17.95,138.9,5.83
2022,321022,621,MONTHLY,9.08,13.04,15.14,23.9,40.73,184144,6.05,12.97,33.81,23.58,19.93,-4.27,52.46,38.91,101.97,3.05
2016,331023,336,HOURLY,18.33,27.53,35.76,53.42,78.24,64845,3.39,0.48,10.17,13.01,18.37,10.97,47.5,17.77,103.52,1.82
2025,341024,531,WEEKLY,19.74,27.45,37.85,53.29,77.32,36016,4.49,6.48,11.36,22.38,11.2,22.05,5.22,27.75,128.86,5.9
2015,351025,315,WEEKLY,21.43,23.55,35.56,38.04,55.35,114768,1.98,6.89,11.44,3.71,10.54,-7.4,9.18,23.25,71.17,4.41
2020,361026,621,MONTHLY,33.64,40.42,52.09,62.96,79.35,106313,4.25,9.47,23.62,40.57,24.74,16.9,25.68,33.56,73.09,5.75
2023,371027,213,BIWEEKLY,30.27,36.98,46.5,65.97,74.6,39129,4.71,0.51,27.29,1.24,-9.37,0.58,25.46,27.2,87.54,4.74
2020,381028,236,WEEKLY,34.4,42.15,47.42,55.08,78.35,149886,11.56,13.03,22.69,7.79,0.29,-7.49,14.61,11.96,74.84,5.37
2015,391029,811,MONTHLY,32.77,38.6,46.36,57.19,64.77,59532,2.66,3.92,14.93,21.23,-8.85,26.3,9.92,24.11,119.14,2.12
2023,401030,481,MONTHLY,18.89,23.5,25.45,38.71,52.45,173071,8.28,2.43,9.34,20.6,-1.76,2.66,24.89,9.29,102.69,6.37
2020,411031,323,MONTHLY,32.19,39.37,41.04,59.16,81.57,114357,10.07,8.29,21.18,40.88,24.15,21.13,46.88,39.89,138.16,4.12
2024,421032,517,ANNUAL,25.3,30.74,40.52,46.88,63.35,72834,6.68,15.77,9.25,34.28,-4.49,-1.05,37.86,26.17,129.36,2.78
2024,431033,425,BIWEEKLY,27.76,28.98,31.53,48.52,51.99,69448,6.06,13.39,25.19,41.54,5.03,27.62,39.57,26.24,70.71,1.43
2023,441034,327,HOURLY,31.08,33.3,37.01,40.84,55.71,70602,1.46,0.43,23.44,13.07,-3.54,4.47,20.18,18.42,89.54,5.25
2021,451035,424,WEEKLY,19.52,23.97,32.58,48.98,63.21,136375,5.49,9.53,31.32,16.55,6.76,5.77,38.82,23.18,120.21,4.05
2020,461036,481,WEEKLY,23.08,28.08,31.49,48.11,58.23,195953,10.63,13.0,21.6,15.28,23.68,20.17,54.93,37.83,101.96,2.95
2018,471037,424,BIWEEKLY,12.71,19.09,23.93,30.19,53.51,118987,4.78,2.35,31.93,36.32,-9.62,22.89,36.55,11.95,111.67,4.13
2022,481038,323,MONTHLY,15.98,19.58,26.2,33.49,45.25,176898,10.11,16.8,25.28,38.33,8.93,-4.03,23.37,0.18,118.74,5.31
2017,491039,332,MONTHLY,18.15,27.89,29.83,43.07,47.09,71078,10.96,15.29,19.82,36.82,-0.41,16.75,42.65,1.46,134.99,0.57
2020,501040,492,WEEKLY,11.65,15.18,20.14,29.5,35.7,147932,1.65,14.23,11.21,10.78,5.35,28.99,44.87,1.42,122.46,4.85
2024,511041,441,WEEKLY,19.81,21.86,34.05,53.69,68.36,126883,5.03,6.73,13.88,15.98,18.04,-2.06,43.34,7.42,81.43,4.83
2024,521042,323,WEEKLY,13.38,18.75,28.0,43.68,57.88,172469,9.22,13.08,17.25,44.55,10.04,15.41,1.37,1.24,99.15,2.57
2019,531043,332,MONTHLY,30.65,33.9,46.17,61.09,76.25,43849,6.68,14.15,26.95,15.1,-7.15,27.73,1.69,0.44,95.54,2.32
2019,541044,111,WEEKLY,31.41,32.74,40.07,46.82,52.4,96129,9.91,8.84,19.34,17.13,2.69,-0.57,17.97,0.84,117.05,4.31
2021,101045,484,HOURLY,9.42,13.58,24.54,37.58,53.59,94213,2.84,9.7,22.94,38.43,19.08,11.71,27.17,27.5,92.33,3.94
2019,111046,326,WEEKLY,19.42,25.04,34.79,38.72,52.48,154025,11.97,0.59,27.54,8.95,14.09,9.71,41.34,8.08,124.85,4.32
2025,121047,334,BIWEEKLY,24.09,29.85,31.27,50.85,64.01,177908,4.74,6.55,12.18,17.73,25.96,3.66,53.01,10.09,127.3,2.78
2025,131048,322,MONTHLY,21.38,23.15,27.37,40.26,55.83,181410,3.18,17.21,18.67,9.2,16.39,2.89,50.66,10.46,125.12,3.7
2019,141049,622,MONTHLY,14.8,22.02,28.82,44.16,53.91,110277,10.95,11.27,23.72,32.55,26.84,17.31,15.48,36.2,106.5,4.75
2022,151050,112,ANNUAL,29.6,37.39,47.72,57.89,82.16,163283,6.87,16.39,12.59,7.52,-0.34,-8.66,28.52,8.27,132.33,3.34
2022,161051,622,ANNUAL,32.91,37.02,45.84,59.72,73.96,48068,10.31,13.05,33.03,18.03,0.92,-6.71,54.61,10.08,98.69,2.53
2022,171052,326,ANNUAL,32.89,38.42,41.34,52.2,70.1,72783,3.0,0.87,19.67,7.84,8.95,6.66,34.67,8.35,118.72,3.87
2016,181053,311,MONTHLY,20.0,25.83,28.06,35.79,38.56,185955,2.65,15.17,16.27,7.08,4.4,-3.91,43.18,13.2,102.46,5.6
2022,191054,622,HOURLY,11.89,16.84,25.57,37.29,41.36,189578,0.13,10.22,24.14,2.48,-8.4,27.95,32.0,20.38,107.98,6.44
2016,201055,211,ANNUAL,26.44,36.22,41.36,53.84,75.91,134490,11.27,6.73,16.63,22.76,-4.23,4.59,36.45,12.29,112.99,4.98
2017,211056,311,HOURLY,21.6,30.32,40.16,56.91,63.76,146861,9.02,3.93,33.6,3.64,21.43,9.7,16.89,0.77,90.73,5.81
2022,221057,334,ANNUAL,31.96,40.92,46.92,60.23,83.03,46925,10.18,10.37,9.74,38.28,-9.3,8.99,9.07,6.85,100.56,3.3
2018,231058,339,MONTHLY,27.53,31.4,44.25,50.54,62.51,173880,7.3,17.68,22.33,14.74,16.0,13.08,41.48,4.32,131.91,1.28
2017,241059,213,BIWEEKLY,21.06,27.36,35.72,39.85,48.27,184315,5.92,15.51,17.03,19.85,12.06,-5.05,4.96,18.49,129.69,2.89
2015,251060,312,HOURLY,25.08,32.13,40.51,44.17,57.1,90214,1.76,9.61,15.1,3.04,-7.53,29.23,24.76,25.5,87.31,1.33
2022,261061,424,ANNUAL,23.71,31.44,37.96,49.33,72.81,42601,2.72,9.17,22.09,10.24,23.81,21.91,25.84,38.45,94.39,5.92
2021,271062,481,WEEKLY,22.17,25.09,37.75,50.3,61.65,100325,11.56,4.33,30.74,17.9,26.94,23.92,30.12,4.97,121.5,0.58
2017,281063,621,WEEKLY,30.59,35.41,45.78,51.17,65.63,115350,1.11,6.81,27.81,30.05,-5.77,24.61,25.47,1.47,76.38,1.87
2019,291064,337,ANNUAL,15.11,16.84,24.56,42.04,45.4,72137,2.09,16.91,28.64,32.6,12.46,0.96,22.1,23.21,98.84,3.02
2015,301065,811,ANNUAL,19.45,22.74,36.24,44.09,46.37,208474,7.15,6.49,30.93,26.55,-9.6,-10.77,9.66,20.82,119.9,3.93
2017,311066,211,BIWEEKLY,31.35,40.33,42.09,56.81,76.28,119296,7.57,9.71,30.66,41.29,15.09,30.43,2.89,0.67,92.8,5.42
2021,321067,314,BIWEEKLY,33.58,43.48,51.08,61.09,71.71,53849,11.61,10.05,13.09,5.25,4.78,2.18,9.15,18.81,85.67,2.72
2017,331068,519,MONTHLY,27.52,33.77,37.26,41.72,51.78,119762,5.78,9.99,31.89,39.33,20.72,26.94,37.34,37.8,95.76,6.34
2019,341069,622,MONTHLY,9.33,13.19,14.4,18.78,28.45,45689,5.39,1.62,30.67,7.61,-2.97,26.63,14.19,34.74,124.78,3.64
2023,351070,452,ANNUAL,14.98,23.33,29.62,40.24,51.89,65469,11.53,7.95,33.53,8.96,11.6,-10.88,13.76,29.51,107.06,3.73
2019,361071,238,WEEKLY,19.56,22.04,23.47,29.19,43.96,118115,0.78,5.84,29.52,36.9,25.89,26.08,37.39,4.52,136.06,6.05
2024,371072,325,HOURLY,33.27,38.34,49.27,58.09,73.74,55479,10.74,14.64,12.77,31.51,19.72,-7.04,9.28,4.22,75.52,6.36
2016,381073,452,MONTHLY,14.75,20.08,33.5,47.77,53.71,64435,11.95,11.11,17.64,5.83,-9.63,-5.21,49.61,27.64,94.24,5.75
2025,391074,314,MONTHLY,21.32,23.36,34.93,50.14,68.59,93895,7.03,3.09,31.43,5.35,-8.88,0.85,37.62,5.43,73.13,2.15
2022,401075,334,MONTHLY,26.91,28.47,34.33,44.93,66.84,79337,11.58,10.64,8.27,30.89,0.12,9.16,3.3,35.53,139.81,5.91
2019,411076,111,ANNUAL,18.75,24.87,36.0,54.74,70.19,153247,5.9,15.96,15.93,13.63,16.43,-8.41,36.27,18.36,107.43,1.65
2020,421077,524,BIWEEKLY,31.12,36.18,37.8,43.98,60.53,172978,8.18,7.38,12.69,31.2,-2.29,24.38,45.27,35.03,134.84,6.15
2018,431078,337,BIWEEKLY,23.3,24.56,34.46,37.54,50.22,202159,11.45,6.44,21.04,43.16,18.98,20.9,44.67,34.55,113.17,4.02
2016,441079,315,HOURLY,21.51,24.01,37.58,55.6,61.85,40269,2.52,6.49,25.47,38.2,15.9,-2.3,27.06,15.44,84.05,0.86
2015,451080,523,ANNUAL,16.07,23.51,31.93,38.9,60.55,122052,3.83,2.85,15.03,24.85,24.96,0.04,45.01,16.08,138.46,4.78
2018,461081,221,MONTHLY,9.73,12.95,21.86,26.58,41.82,124185,11.75,9.79,11.65,38.45,-9.08,31.08,45.06,10.16,124.97,4.73
2020,471082,611,WEEKLY,14.91,17.8,22.33,33.13,41.72,156413,7.64,1.99,29.24,13.15,19.06,-2.94,48.61,27.64,99.35,0.83
2015,481083,517,MONTHLY,26.79,35.16,44.72,53.6,77.61,140232,9.18,9.06,16.39,9.19,-1.39,8.58,30.92,1.13,77.19,2.62
2022,491084,452,BIWEEKLY,16.42,21.98,31.21,46.91,71.04,206971,0.65,3.11,30.18,42.67,23.27,12.12,43.3,28.97,80.76,2.46
2024,501085,524,ANNUAL,30.46,35.12,48.17,51.09,62.21,100330,0.98,15.75,9.49,17.15,14.05,7.92,6.15,5.88,77.6,5.3
2023,511086,524,HOURLY,33.29,39.68,43.81,59.68,84.18,44497,0.28,9.02,10.76,43.84,10.23,14.9,45.04,21.16,85.37,3.37
2016,521087,424,HOURLY,25.42,26.86,35.14,47.33,64.24,68503,11.72,12.83,34.86,26.66,-7.27,28.66,38.36,32.8,124.67,0.49
2019,531088,811,BIWEEKLY,23.69,30.12,34.6,36.75,50.92,81475,11.64,3.15,17.73,42.12,18.19,28.69,30.02,29.34,75.4,3.1
2023,541089,423,WEEKLY,34.74,44.03,59.0,77.06,98.27,122644,0.49,10.15,14.53,15.34,27.6,-5.09,25.45,6.2,133.18,4.38
2024,101090,112,MONTHLY,21.86,25.56,33.81,49.33,61.61,185945,9.95,5.79,22.33,29.22,16.36,21.67,6.71,33.45,85.53,6.12
2016,111091,331,WEEKLY,17.54,19.59,26.91,29.0,51.88,77463,6.66,2.67,29.37,2.59,-8.52,-4.06,25.05,1.81,133.21,1.79
2021,121092,322,HOURLY,11.16,14.83,29.11,46.78,54.68,53028,3.06,4.34,12.13,40.09,27.48,-9.3,18.04,38.21,118.63,4.15
2019,131093,921,WEEKLY,13.8,15.74,22.2,26.87,41.13,125281,11.92,6.36,24.04,39.59,1.67,8.91,18.67,9.37,137.96,6.25
2018,141094,531,MONTHLY,27.8,30.68,35.3,48.79,64.55,152748,5.4,17.09,30.17,29.72,1.15,-4.45,18.53,19.1,108.72,5.74
2022,151095,425,BIWEEKLY,10.9,13.55,26.87,42.07,61.28,80009,0.01,3.45,12.07,34.37,3.14,-7.21,17.38,22.06,77.33,2.35
2016,161096,492,HOURLY,18.03,19.29,28.0,31.2,40.38,119802,5.61,15.1,23.87,24.55,7.1,8.98,29.41,10.36,95.28,3.71
2023,171097,339,WEEKLY,15.46,22.53,26.57,35.64,58.76,140991,7.5,4.86,9.4,8.55,-2.38,-4.78,27.23,7.13,133.17,2.73
2020,181098,445,BIWEEKLY,20.39,26.09,30.83,47.33,57.43,76748,2.86,13.82,25.27,7.2,0.96,7.06,30.5,9.47,126.57,5.81
2022,191099,322,HOURLY,20.08,23.39,29.55,48.49,62.96,94677,8.51,9.32,12.46,44.9,-2.36,-0.68,11.64,9.95,112.33,6.19
2015,201100,531,ANNUAL,15.47,24.82,36.79,52.32,70.03,80874,3.91,2.39,12.04,10.66,2.92,11.06,12.38,33.83,99.89,1.66
2016,211101,711,HOURLY,19.49,22.61,23.94,36.64,44.15,200304,9.13,3.66,11.5,16.96,4.26,25.04,7.73,37.3,109.22,5.26
2023,221102,561,WEEKLY,25.3,26.81,38.57,52.86,61.45,148669,4.22,6.95,16.97,29.42,12.79,-7.63,24.68,0.55,134.73,3.69
2022,231103,518,ANNUAL,21.07,30.28,40.62,50.38,67.08,49399,8.94,8.89,9.44,40.03,17.23,20.41,54.62,2.35,129.6,5.75
2021,241104,238,MONTHLY,24.53,34.12,38.7,54.0,58.24,146009,7.97,7.06,21.91,17.18,-1.82,5.25,42.83,0.88,75.79,1.87
2015,251105,236,MONTHLY,27.6,33.68,42.66,50.87,67.14,65694,3.77,6.66,22.94,4.11,22.14,21.04,40.29,4.95,126.21,6.49
2017,261106,561,BIWEEKLY,22.27,29.46,35.43,49.1,56.5,65373,8.84,6.1,12.78,2.34,-3.66,-9.83,2.42,4.05,105.73,4.2
2017,271107,334,MONTHLY,10.95,14.43,18.15,27.79,37.04,148579,8.96,17.42,29.09,39.99,18.95,28.2,28.88,32.47,114.49,2.97
2018,281108,237,WEEKLY,25.66,31.71,36.09,52.1,69.41,58831,1.03,9.05,11.4,40.44,-6.48,-5.5,21.92,7.32,81.92,5.6
2024,291109,424,HOURLY,22.8,28.48,42.51,61.74,76.2,159851,10.37,6.4,27.86,24.05,22.56,-4.98,1.36,3.27,115.88,3.45
2024,301110,517,WEEKLY,20.61,29.97,35.73,43.22,64.74,132963,5.1,13.71,25.3,44.86,5.45,-7.04,10.55,39.88,98.47,4.29
2017,311111,313,HOURLY,31.21,33.4,40.3,55.23,58.36,107747,8.28,1.34,9.16,31.1,14.57,8.92,52.07,35.52,72.19,5.62
2025,321112,481,WEEKLY,27.81,36.34,47.82,58.26,60.72,144545,7.46,5.9,30.66,6.64,-8.55,26.34,23.37,13.56,139.31,3.23
2022,331113,332,MONTHLY,13.49,21.97,32.7,49.88,71.02,151469,9.53,1.28,16.82,17.25,23.08,29.23,12.78,11.45,109.87,4.04
2020,341114,312,MONTHLY,27.04,36.02,40.95,56.77,75.49,64165,9.46,4.82,20.91,32.83,21.38,8.88,0.12,13.74,80.33,4.09
2018,351115,332,BIWEEKLY,21.24,30.93,35.83,50.35,74.62,186154,8.85,10.51,25.79,42.9,1.84,-8.88,27.14,21.47,76.0,0.47
2020,361116,425,WEEKLY,30.14,33.16,39.77,51.99,72.48,176129,4.68,17.5,19.74,10.92,3.57,-2.36,44.74,18.9,136.88,4.91
2024,371117,611,HOURLY,12.29,17.61,19.16,35.15,42.21,34436,5.93,7.4,32.82,38.72,19.78,8.3,15.38,35.39,126.47,4.94
2016,381118,324,HOURLY,14.88,17.73,30.09,49.66,60.01,171500,7.24,17.12,13.75,25.02,23.9,6.03,46.77,7.42,100.8,4.16
2017,391119,211,ANNUAL,33.28,37.27,45.48,63.4,71.19,139100,9.81,6.65,29.91,35.13,21.72,10.68,21.53,12.52,134.76,2.38
2020,401120,623,BIWEEKLY,23.18,30.52,44.78,60.5,82.39,203263,11.18,7.7,12.37,22.71,26.21,4.81,50.47,35.68,120.63,1.27
2021,411121,488,HOURLY,24.88,33.79,47.93,61.07,83.29,159568,1.87,3.47,27.86,25.42,19.53,-10.71,43.62,19.44,80.46,4.94
2018,421122,623,HOURLY,9.05,17.84,26.89,40.21,49.32,152211,9.28,5.38,28.87,42.52,15.26,24.1,3.0,32.73,124.69,3.85
2022,431123,112,BIWEEKLY,26.03,30.37,40.86,43.41,62.64,192736,3.23,2.43,27.23,16.31,9.23,21.21,14.24,17.0,125.28,2.15
2019,441124,921,BIWEEKLY,11.23,14.78,18.14,24.12,42.29,56077,2.7,9.23,33.75,40.65,5.35,-11.41,44.55,28.94,126.17,5.12
2025,451125,518,WEEKLY,11.51,18.69,31.38,49.4,67.43,47442,11.51,14.19,29.78,1.11,-8.75,13.77,53.47,4.4,90.91,0.59
2019,461126,621,WEEKLY,20.87,28.4,38.96,51.46,71.96,154596,3.34,16.72,28.49,43.69,4.28,3.28,46.58,1.62,86.91,2.69
2021,471127,488,BIWEEKLY,28.92,36.14,41.56,46.28,68.76,120575,4.63,17.55,30.26,29.44,1.19,20.41,4.68,14.62,132.46,6.23
2023,481128,452,ANNUAL,17.65,26.65,31.92,45.84,49.55,164173,10.75,1.33,33.79,30.47,-9.09,20.83,52.36,2.28,91.72,1.47
2019,491129,445,BIWEEKLY,21.66,30.26,33.61,36.84,55.98,162038,8.56,7.81,10.03,30.21,-0.17,21.7,5.53,25.47,139.12,2.34
2015,501130,445,ANNUAL,26.42,31.09,34.09,41.79,48.75,122577,3.61,5.08,11.81,3.84,0.5,24.95,43.97,25.42,98.27,0.56
2024,511131,315,BIWEEKLY,16.96,22.48,30.13,48.67,53.13,195582,4.32,13.53,25.41,21.98,-7.73,4.55,28.48,28.78,71.23,5.13
2021,521132,561,WEEKLY,34.26,39.39,52.23,60.58,69.96,86438,8.72,17.48,13.9,2.67,8.86,6.3,23.97,19.57,75.14,0.92
2022,531133,524,MONTHLY,20.03,26.95,29.58,38.6,61.04,178092,10.59,4.37,23.29,25.79,16.86,-8.34,18.02,12.6,122.71,4.94
2020,541134,332,WEEKLY,34.74,38.65,41.0,52.92,63.9,68585,6.46,5.99,13.2,24.15,-0.04,27.83,38.4,12.14,103.54,3.35
2017,101135,336,HOURLY,33.78,36.33,39.24,57.68,72.87,68783,9.54,8.88,12.29,42.57,14.98,-5.34,19.53,26.48,120.03,0.95
2020,111136,511,WEEKLY,10.84,12.15,14.72,32.71,46.86,75610,4.68,9.99,34.05,31.29,6.65,5.82,12.1,25.11,133.77,1.59
2023,121137,519,HOURLY,18.17,25.79,38.43,46.04,52.28,144487,6.64,3.32,15.1,10.52,27.05,20.94,11.6,18.5,105.22,4.01
2023,131138,326,WEEKLY,29.49,33.99,45.57,64.4,70.38,170285,9.83,3.41,17.89,18.19,14.24,14.82,35.4,2.83,74.57,6.14
2021,141139,236,BIWEEKLY,29.0,32.64,41.11,47.08,67.56,157641,3.7,0.43,14.61,25.06,12.75,-11.28,42.7,10.17,97.73,1.33
2019,151140,711,BIWEEKLY,13.14,15.77,28.94,48.73,60.77,190564,4.65,15.99,22.08,23.59,-6.86,31.44,38.64,0.78,73.24,4.28
2022,161141,711,MONTHLY,9.44,17.93,28.27,34.04,58.7,62590,2.12,5.83,10.94,37.2,14.67,14.4,5.46,3.6,123.37,1.9
2025,171142,425,MONTHLY,23.24,25.62,35.07,46.87,60.56,67513,11.77,3.83,18.89,37.21,-2.51,26.69,8.85,36.27,90.41,6.21
2016,181143,324,HOURLY,30.31,40.05,49.12,62.27,76.33,85192,3.62,14.76,29.15,16.55,-8.99,-2.84,41.31,30.48,113.89,2.29
2025,191144,511,HOURLY,9.59,17.27,21.23,26.21,44.28,207125,0.77,0.02,27.8,44.78,19.69,-11.49,17.8,5.31,112.82,6.06
2025,201145,531,HOURLY,15.85,19.44,23.31,33.05,37.85,196259,6.05,1.87,14.24,36.97,-2.38,13.13,13.66,16.79,123.09,4.77
2022,211146,326,WEEKLY,10.23,14.7,20.54,24.06,38.86,108817,4.36,2.91,21.87,30.38,20.72,-9.8,52.65,31.36,78.03,6.36
2021,221147,325,WEEKLY,18.39,23.02,26.14,35.89,60.78,156331,9.87,0.34,21.97,4.29,-4.26,27.93,1.86,12.55,82.66,1.54
2021,231148,337,BIWEEKLY,34.52,41.12,50.25,66.3,71.67,157643,5.73,6.27,14.75,32.45,27.55,12.22,6.29,21.96,115.9,4.63
2018,241149,452,MONTHLY,9.51,12.51,19.47,30.3,54.67,80867,6.95,1.97,26.5,1.11,20.48,0.14,25.07,20.22,101.12,1.04
2016,251150,722,WEEKLY,11.48,18.02,23.95,26.22,39.39,76221,5.8,2.88,14.91,0.06,-3.68,27.84,22.98,18.44,97.46,1.54
2024,261151,336,WEEKLY,31.82,40.58,55.3,63.62,74.56,98554,11.65,7.33,22.41,26.39,7.52,27.91,31.83,28.54,78.2,3.78
2019,271152,441,MONTHLY,21.19,30.93,38.7,48.96,69.39,95951,4.11,10.59,17.63,35.57,-5.94,-3.19,43.47,35.88,132.49,1.47
2024,281153,313,MONTHLY,13.73,19.94,32.17,37.37,58.93,105478,9.83,13.32,29.1,5.59,21.54,24.81,48.62,34.19,96.73,4.34
2020,291154,425,WEEKLY,10.66,16.74,22.68,37.63,43.82,128423,0.52,1.42,27.11,5.74,1.47,8.35,4.95,33.19,87.12,2.21
2019,301155,524,HOURLY,27.64,34.73,40.43,53.39,77.04,48281,10.74,17.71,34.86,12.15,17.19,15.28,27.42,10.56,133.02,5.03
2020,311156,112,MONTHLY,30.96,37.08,43.33,61.09,63.4,101967,1.52,14.13,22.11,21.4,3.13,-1.08,36.88,37.83,90.21,6.4
2015,321157,541,WEEKLY,17.6,22.24,29.81,47.06,57.98,121618,5.5,15.72,32.62,5.2,19.07,3.0,35.6,23.32,107.53,5.15
2023,331158,518,WEEKLY,32.27,35.04,41.45,53.47,78.38,53876,4.69,7.75,23.81,1.05,27.85,23.83,33.94,34.31,123.38,4.19
2016,341159,334,HOURLY,26.02,30.87,43.97,58.67,69.14,40083,4.01,8.96,18.64,23.72,0.44,-1.73,7.24,37.78,83.62,2.34
2023,351160,311,MONTHLY,27.8,32.1,38.48,47.7,50.37,43131,10.83,5.92,12.21,33.44,14.94,22.77,50.19,7.41,112.25,0.59
2023,361161,523,ANNUAL,15.19,24.34,37.56,46.36,60.2,116258,7.76,2.73,34.82,41.82,4.8,1.93,45.81,22.85,107.42,5.8
2024,371162,333,MONTHLY,16.29,17.3,25.15,37.68,54.4,173496,4.67,12.22,24.08,35.11,9.62,14.8,18.66,6.7,139.58,6.13
2020,381163,519,WEEKLY,20.88,23.05,26.77,35.31,59.36,206566,0.13,13.5,34.99,41.89,-4.28,25.91,35.1,8.11,131.8,6.38
2022,391164,511,WEEKLY,27.88,35.9,37.15,43.25,55.81,87472,1.85,14.67,34.86,5.41,18.04,11.09,39.02,3.89,118.8,0.69
2025,401165,441,MONTHLY,14.71,20.54,31.87,43.21,63.36,160191,5.72,15.0,11.61,5.57,-5.56,16.03,19.62,16.68,76.64,0.35
2023,411166,611,ANNUAL,14.67,24.2,39.03,53.21,65.53,151411,0.67,16.52,11.53,23.78,-5.92,13.29,43.92,24.25,100.32,0.8
2017,421167,522,WEEKLY,11.38,14.02,27.94,32.16,37.55,116375,2.03,8.58,13.01,38.0,21.12,-11.24,46.11,31.03,108.3,3.6
2016,431168,424,HOURLY,34.97,43.01,51.13,63.62,85.03,86603,6.67,16.14,25.61,24.25,20.87,11.81,52.97,26.61,77.97,2.21
2016,441169,423,HOURLY,22.09,29.25,38.34,41.02,45.82,104901,1.58,5.52,9.45,39.31,7.44,10.12,6.02,11.75,79.82,4.14
2016,451170,611,BIWEEKLY,11.63,12.72,18.65,34.85,47.8,100442,8.12,9.37,30.12,23.41,25.91,17.68,1.55,21.42,111.63,3.63
