gov_rrf_reference_year,gov_rrf_member_state_iso2,gov_rrf_plan_component_code,gov_rrf_measure_id,gov_rrf_milestone_id,gov_rrf_target_id,gov_rrf_milestone_due_date,gov_rrf_milestone_status_code,gov_rrf_payment_request_date,gov_rrf_payment_disbursed_eur,gov_rrf_total_allocation_eur,gov_rrf_green_share_pct,gov_rrf_digital_share_pct,gov_rrf_reforms_flag,gov_rrf_investments_flag,gov_rrf_procurement_linked_flag,gov_rrf_state_aid_compliance_flag,gov_rrf_audit_findings_count,gov_rrf_data_source,gov_rrf_data_extract_date
2023,SK,C11,SK_C11_M011,SK_C11_M011_MS11,SK_C11_M011_T11,2024-06-18,CANCELLED,2024-12-12,43789467.1,1715709398.06,50.35,18.97,1,1,1,1,18,COMMISSION_IMPLEMENTING_DECISIONS,2024-01-11
2024,BE,C12,BE_C12_M012,BE_C12_M012_MS12,BE_C12_M012_T12,2025-03-24,REVISED,,329631048.35,25236328456.16,23.97,34.34,0,1,1,1,17,NATIONAL_RRF_REPORT,2024-07-09
2025,DK,C13,DK_C13_M013,DK_C13_M013_MS13,DK_C13_M013_T13,2025-11-26,PLANNED,2020-08-13,574783782.4,20456419413.82,40.83,35.14,1,1,1,0,38,RRF_SCOREBOARD,2025-06-29
2026,GR,C14,GR_C14_M014,GR_C14_M014_MS14,GR_C14_M014_T14,2026-01-13,IN_PROGRESS,,496120238.27,19058379134.73,30.15,29.43,1,1,0,0,37,ECA_AUDIT_SUMMARY,2025-04-02
2020,LT,C15,LT_C15_M015,LT_C15_M015_MS15,LT_C15_M015_T15,2022-04-10,COMPLETED,2025-06-21,679816604.84,12565152044.05,42.36,22.02,0,1,1,1,28,COMMISSION_IMPLEMENTING_DECISIONS,2024-04-28
2021,PT,C16,PT_C16_M016,PT_C16_M016_MS16,PT_C16_M016_T16,2023-07-20,DELAYED,,23083548.53,38821714724.3,30.51,26.57,0,1,1,1,54,NATIONAL_RRF_REPORT,2024-01-31
2022,SE,C17,SE_C17_M017,SE_C17_M017_MS17,SE_C17_M017_T17,2023-07-18,CANCELLED,2024-11-04,1441921495.8,37397743315.12,36.72,29.05,0,1,1,0,14,RRF_SCOREBOARD,2026-01-30
2023,CY,C18,CY_C18_M018,CY_C18_M018_MS18,CY_C18_M018_T18,2025-12-10,REVISED,,1784085279.22,36831805264.84,27.24,25.26,1,1,1,1,37,ECA_AUDIT_SUMMARY,2024-10-18
2024,FR,C01,FR_C01_M019,FR_C01_M019_MS19,FR_C01_M019_T19,2026-02-01,PLANNED,,173611660.68,11472033993.61,28.91,30.95,0,1,1,1,52,COMMISSION_IMPLEMENTING_DECISIONS,2025-02-10
2025,IT,C02,IT_C02_M020,IT_C02_M020_MS20,IT_C02_M020_T20,2025-11-05,IN_PROGRESS,2021-07-06,684057981.03,24331295194.57,44.18,39.55,1,1,1,1,2,NATIONAL_RRF_REPORT,2025-10-01
2026,NL,C03,NL_C03_M021,NL_C03_M021_MS21,NL_C03_M021_T21,2026-01-07,COMPLETED,2026-02-13,149252495.71,20133175432.77,46.98,33.49,0,1,0,1,34,RRF_SCOREBOARD,2025-09-27
2020,SI,C04,SI_C04_M022,SI_C04_M022_MS22,SI_C04_M022_T22,2024-03-10,DELAYED,2023-11-30,602737730.82,12268547453.12,51.97,24.68,1,0,1,0,44,ECA_AUDIT_SUMMARY,2024-07-07
2021,BG,C05,BG_C05_M023,BG_C05_M023_MS23,BG_C05_M023_T23,2025-02-21,CANCELLED,2020-04-01,118132699.12,3208723471.58,48.25,28.98,0,1,1,0,24,COMMISSION_IMPLEMENTING_DECISIONS,2025-04-10
2022,EE,C06,EE_C06_M024,EE_C06_M024_MS24,EE_C06_M024_T24,2022-06-14,REVISED,,560215120.69,39027547132.08,25.69,32.55,0,1,1,1,41,NATIONAL_RRF_REPORT,2025-07-15
2023,HU,C07,HU_C07_M025,HU_C07_M025_MS25,HU_C07_M025_T25,2025-12-18,PLANNED,2025-05-29,90504808.31,7048235500.25,28.8,22.54,0,1,0,1,55,RRF_SCOREBOARD,2024-08-13
2024,LU,C08,LU_C08_M026,LU_C08_M026_MS26,LU_C08_M026_T26,2025-07-06,IN_PROGRESS,,256030203.82,9419519690.96,40.09,22.87,1,1,0,0,43,ECA_AUDIT_SUMMARY,2024-08-30
2025,RO,C09,RO_C09_M027,RO_C09_M027_MS27,RO_C09_M027_T27,2025-05-06,COMPLETED,2025-11-09,1816902171.1,24954152322.7,46.45,36.62,1,1,1,1,51,COMMISSION_IMPLEMENTING_DECISIONS,2024-05-07
2026,AT,C10,AT_C10_M028,AT_C10_M028_MS28,AT_C10_M028_T28,2026-02-22,DELAYED,,1814664810.66,41715821677.25,41.32,17.49,1,0,0,0,5,NATIONAL_RRF_REPORT,2025-06-04
2020,CZ,C11,CZ_C11_M029,CZ_C11_M029_MS29,CZ_C11_M029_T29,2021-07-31,CANCELLED,2023-09-26,182134860.9,17348046458.81,32.4,22.53,1,0,0,1,8,RRF_SCOREBOARD,2025-01-21
2021,DE,C12,DE_C12_M030,DE_C12_M030_MS30,DE_C12_M030_T30,2023-07-05,REVISED,,1815195027.37,36947790641.54,44.21,20.87,1,1,0,1,37,ECA_AUDIT_SUMMARY,2026-01-27
2022,LV,C13,LV_C13_M031,LV_C13_M031_MS31,LV_C13_M031_T01,2025-11-06,PLANNED,,261663418.82,24927951086.34,26.41,32.59,1,0,0,0,3,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-11
2023,PL,C14,PL_C14_M032,PL_C14_M032_MS32,PL_C14_M032_T02,2023-11-16,IN_PROGRESS,,174421782.94,24281256999.52,39.18,26.11,0,1,1,0,19,NATIONAL_RRF_REPORT,2025-05-05
2024,ES,C15,ES_C15_M033,ES_C15_M033_MS33,ES_C15_M033_T03,2025-10-07,COMPLETED,2022-03-08,3564441534.05,39078227971.45,40.45,16.39,1,1,1,0,32,RRF_SCOREBOARD,2025-08-02
2025,HR,C16,HR_C16_M034,HR_C16_M034_MS34,HR_C16_M034_T04,2025-05-29,DELAYED,,413835515.86,35645942410.37,28.68,18.11,0,1,1,0,26,ECA_AUDIT_SUMMARY,2024-10-18
2026,FI,C17,FI_C17_M035,FI_C17_M035_MS35,FI_C17_M035_T05,2026-01-31,CANCELLED,2021-03-01,17628979.58,1294025147.78,54.58,16.46,0,0,0,1,55,COMMISSION_IMPLEMENTING_DECISIONS,2025-12-03
2020,IE,C18,IE_C18_M036,IE_C18_M036_MS36,IE_C18_M036_T06,2025-09-09,REVISED,2024-10-12,288234933.06,35926183365.43,51.7,19.74,0,1,0,1,29,NATIONAL_RRF_REPORT,2025-09-20
2021,MT,C01,MT_C01_M037,MT_C01_M037_MS37,MT_C01_M037_T07,2021-06-11,PLANNED,2026-02-09,67838032.47,3222290144.15,29.11,34.94,1,1,1,0,49,RRF_SCOREBOARD,2025-04-04
2022,SK,C02,SK_C02_M038,SK_C02_M038_MS38,SK_C02_M038_T08,2025-09-06,IN_PROGRESS,2020-08-25,1709070596.88,38994960299.74,49.96,37.05,1,0,1,1,4,ECA_AUDIT_SUMMARY,2024-11-12
2023,BE,C03,BE_C03_M039,BE_C03_M039_MS39,BE_C03_M039_T09,2024-02-20,COMPLETED,2025-11-14,3872017089.93,39102912655.62,46.98,26.79,1,1,0,0,44,COMMISSION_IMPLEMENTING_DECISIONS,2025-12-21
2024,DK,C04,DK_C04_M040,DK_C04_M040_MS40,DK_C04_M040_T10,2024-04-01,DELAYED,2023-01-16,97844024.34,25639974533.9,38.09,24.83,0,1,1,1,26,NATIONAL_RRF_REPORT,2025-12-21
2025,GR,C05,GR_C05_M041,GR_C05_M041_MS01,GR_C05_M041_T11,2025-08-07,CANCELLED,2025-05-04,308065517.67,34984808548.39,49.91,26.49,1,0,0,0,54,RRF_SCOREBOARD,2024-10-24
2026,LT,C06,LT_C06_M042,LT_C06_M042_MS02,LT_C06_M042_T12,2026-02-15,REVISED,2020-09-23,306446450.64,9075339944.21,21.87,33.84,0,1,0,0,18,ECA_AUDIT_SUMMARY,2024-09-23
2020,PT,C07,PT_C07_M043,PT_C07_M043_MS03,PT_C07_M043_T13,2022-10-09,PLANNED,,1191319337.64,37160772589.22,20.37,38.68,1,0,0,0,55,COMMISSION_IMPLEMENTING_DECISIONS,2025-08-15
2021,SE,C08,SE_C08_M044,SE_C08_M044_MS04,SE_C08_M044_T14,2022-12-30,IN_PROGRESS,,1474753816.03,34871860248.8,23.54,34.98,1,1,1,1,46,NATIONAL_RRF_REPORT,2025-10-03
2022,CY,C09,CY_C09_M045,CY_C09_M045_MS05,CY_C09_M045_T15,2022-11-13,COMPLETED,2023-06-20,533432304.55,25303479768.07,42.21,39.39,1,1,1,1,47,RRF_SCOREBOARD,2025-03-06
2023,FR,C10,FR_C10_M046,FR_C10_M046_MS06,FR_C10_M046_T16,2024-08-15,DELAYED,2021-07-21,1132409703.01,23849264065.48,50.46,37.08,0,0,0,1,48,ECA_AUDIT_SUMMARY,2025-01-04
2024,IT,C11,IT_C11_M047,IT_C11_M047_MS07,IT_C11_M047_T17,2026-02-20,CANCELLED,,490947423.89,22895566627.38,36.83,15.22,0,0,0,1,54,COMMISSION_IMPLEMENTING_DECISIONS,2024-06-20
2025,NL,C12,NL_C12_M048,NL_C12_M048_MS08,NL_C12_M048_T18,2026-02-20,REVISED,2024-04-19,3869054.43,2178936654.66,45.46,32.43,1,0,0,1,22,NATIONAL_RRF_REPORT,2025-01-15
2026,SI,C13,SI_C13_M049,SI_C13_M049_MS09,SI_C13_M049_T19,2026-01-03,PLANNED,,663902976.58,14749966091.54,41.32,18.05,0,1,0,0,29,RRF_SCOREBOARD,2024-10-18
2020,BG,C14,BG_C14_M050,BG_C14_M050_MS10,BG_C14_M050_T20,2024-09-19,IN_PROGRESS,2025-08-12,1192725822.75,27679974186.93,35.78,32.15,0,1,0,1,21,ECA_AUDIT_SUMMARY,2025-05-30
2021,EE,C15,EE_C15_M051,EE_C15_M051_MS11,EE_C15_M051_T21,2023-05-26,COMPLETED,2025-03-03,1776322105.27,23948738145.03,22.89,21.77,1,1,1,1,1,COMMISSION_IMPLEMENTING_DECISIONS,2024-12-03
2022,HU,C16,HU_C16_M052,HU_C16_M052_MS12,HU_C16_M052_T22,2024-11-14,DELAYED,2023-05-16,477528230.14,12807332580.79,48.8,33.5,0,0,0,0,48,NATIONAL_RRF_REPORT,2024-05-21
2023,LU,C17,LU_C17_M053,LU_C17_M053_MS13,LU_C17_M053_T23,2023-02-22,CANCELLED,2024-06-13,732707628.77,18360018923.97,30.94,32.96,1,1,0,1,44,RRF_SCOREBOARD,2025-01-02
2024,RO,C18,RO_C18_M054,RO_C18_M054_MS14,RO_C18_M054_T24,2025-11-21,REVISED,,600696491.86,15292522971.8,36.73,36.79,1,1,1,0,51,ECA_AUDIT_SUMMARY,2024-04-08
2025,AT,C01,AT_C01_M055,AT_C01_M055_MS15,AT_C01_M055_T25,2025-05-02,PLANNED,2020-04-11,729430772.62,22283365085.71,29.29,36.35,1,1,1,0,11,COMMISSION_IMPLEMENTING_DECISIONS,2024-06-25
2026,CZ,C02,CZ_C02_M056,CZ_C02_M056_MS16,CZ_C02_M056_T26,2026-01-31,IN_PROGRESS,2025-07-28,865442358.12,27415864605.96,44.83,26.78,0,0,0,1,6,NATIONAL_RRF_REPORT,2025-08-18
2020,DE,C03,DE_C03_M057,DE_C03_M057_MS17,DE_C03_M057_T27,2022-09-23,COMPLETED,2023-12-22,1811643520.07,30361626328.85,20.57,21.72,1,1,1,1,2,RRF_SCOREBOARD,2025-11-29
2021,LV,C04,LV_C04_M058,LV_C04_M058_MS18,LV_C04_M058_T28,2026-01-12,DELAYED,,68632300.42,12202330743.19,31.42,35.32,0,1,1,0,39,ECA_AUDIT_SUMMARY,2024-02-27
2022,PL,C05,PL_C05_M059,PL_C05_M059_MS19,PL_C05_M059_T29,2024-09-09,CANCELLED,2024-12-30,730332005.54,17039008852.64,50.52,28.35,1,1,1,0,31,COMMISSION_IMPLEMENTING_DECISIONS,2024-05-01
2023,ES,C06,ES_C06_M060,ES_C06_M060_MS20,ES_C06_M060_T30,2025-12-04,REVISED,,353841909.2,9994235260.64,24.75,30.79,1,1,1,0,19,NATIONAL_RRF_REPORT,2024-11-28
2024,HR,C07,HR_C07_M061,HR_C07_M061_MS21,HR_C07_M061_T01,2025-04-15,PLANNED,2024-07-06,66746307.96,16391832012.81,40.51,32.0,1,1,1,1,28,RRF_SCOREBOARD,2025-10-10
2025,FI,C08,FI_C08_M062,FI_C08_M062_MS22,FI_C08_M062_T02,2025-05-14,IN_PROGRESS,2025-02-06,808287783.06,19330094283.04,33.66,27.76,0,1,0,0,32,ECA_AUDIT_SUMMARY,2025-06-18
2026,IE,C09,IE_C09_M063,IE_C09_M063_MS23,IE_C09_M063_T03,2026-01-05,COMPLETED,2026-01-15,4680569106.82,47360314052.51,47.98,36.07,1,1,1,0,35,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-11
2020,MT,C10,MT_C10_M064,MT_C10_M064_MS24,MT_C10_M064_T04,2020-04-09,DELAYED,,209893534.08,4407788491.92,34.29,23.85,0,0,0,0,58,NATIONAL_RRF_REPORT,2026-01-06
2021,SK,C11,SK_C11_M065,SK_C11_M065_MS25,SK_C11_M065_T05,2022-10-10,CANCELLED,,355428505.66,13444360586.86,35.55,19.94,0,1,1,1,45,RRF_SCOREBOARD,2025-04-20
2022,BE,C12,BE_C12_M066,BE_C12_M066_MS26,BE_C12_M066_T06,2025-09-27,REVISED,,8427740.57,2318119732.33,32.07,19.61,1,1,1,1,36,ECA_AUDIT_SUMMARY,2024-03-31
2023,DK,C13,DK_C13_M067,DK_C13_M067_MS27,DK_C13_M067_T07,2023-11-26,PLANNED,,131467600.04,12281127526.45,37.92,21.98,0,0,0,1,11,COMMISSION_IMPLEMENTING_DECISIONS,2026-01-25
2024,GR,C14,GR_C14_M068,GR_C14_M068_MS28,GR_C14_M068_T08,2024-06-29,IN_PROGRESS,,275019767.71,9294740919.23,48.31,32.41,0,1,1,0,22,NATIONAL_RRF_REPORT,2024-04-04
2025,LT,C15,LT_C15_M069,LT_C15_M069_MS29,LT_C15_M069_T09,2025-05-28,COMPLETED,2025-09-03,232789372.88,2075057841.34,49.67,23.27,1,0,0,0,38,RRF_SCOREBOARD,2024-08-24
2026,PT,C16,PT_C16_M070,PT_C16_M070_MS30,PT_C16_M070_T10,2026-01-11,DELAYED,,407854657.46,14091859836.73,21.62,22.56,1,1,1,1,51,ECA_AUDIT_SUMMARY,2026-01-19
2020,SE,C17,SE_C17_M071,SE_C17_M071_MS31,SE_C17_M071_T11,2020-11-26,CANCELLED,2025-04-03,429886791.42,29597279841.1,40.75,15.4,1,0,0,0,0,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-07
2021,CY,C18,CY_C18_M072,CY_C18_M072_MS32,CY_C18_M072_T12,2025-07-15,REVISED,2025-04-13,981182233.13,31708820671.39,48.03,24.13,0,1,1,0,43,NATIONAL_RRF_REPORT,2024-04-17
2022,FR,C01,FR_C01_M073,FR_C01_M073_MS33,FR_C01_M073_T13,2023-02-20,PLANNED,,328346092.31,17462073186.33,23.08,39.19,0,1,1,0,19,RRF_SCOREBOARD,2024-10-01
2023,IT,C02,IT_C02_M074,IT_C02_M074_MS34,IT_C02_M074_T14,2024-12-30,IN_PROGRESS,2021-05-09,942798499.12,48257899052.75,46.27,15.58,1,1,1,0,3,ECA_AUDIT_SUMMARY,2026-01-28
2024,NL,C03,NL_C03_M075,NL_C03_M075_MS35,NL_C03_M075_T15,2025-02-13,COMPLETED,2025-06-17,3633440607.23,33140493112.03,47.57,22.53,0,1,0,1,16,COMMISSION_IMPLEMENTING_DECISIONS,2025-12-05
2025,SI,C04,SI_C04_M076,SI_C04_M076_MS36,SI_C04_M076_T16,2025-11-06,DELAYED,2024-06-01,125791973.26,38765028273.81,38.43,22.11,0,1,1,1,52,NATIONAL_RRF_REPORT,2025-05-19
2026,BG,C05,BG_C05_M077,BG_C05_M077_MS37,BG_C05_M077_T17,2026-01-12,CANCELLED,2023-12-07,340758624.69,10369664099.95,49.05,15.49,1,0,0,1,26,RRF_SCOREBOARD,2024-04-09
2020,EE,C06,EE_C06_M078,EE_C06_M078_MS38,EE_C06_M078_T18,2020-08-14,REVISED,,2084472752.35,45399652966.65,50.8,37.05,0,1,1,0,12,ECA_AUDIT_SUMMARY,2025-02-20
2021,HU,C07,HU_C07_M079,HU_C07_M079_MS39,HU_C07_M079_T19,2022-10-30,PLANNED,2021-02-14,1729521886.64,39669422661.71,38.34,30.6,1,1,0,1,48,COMMISSION_IMPLEMENTING_DECISIONS,2026-01-15
2022,LU,C08,LU_C08_M080,LU_C08_M080_MS40,LU_C08_M080_T20,2026-01-31,IN_PROGRESS,2023-03-24,1086662633.57,27727565676.44,22.06,28.89,1,1,1,1,0,NATIONAL_RRF_REPORT,2024-06-19
2023,RO,C09,RO_C09_M081,RO_C09_M081_MS01,RO_C09_M081_T21,2023-09-26,COMPLETED,2025-07-23,288818560.13,30187690430.66,35.77,38.0,1,0,1,1,11,RRF_SCOREBOARD,2024-10-21
2024,AT,C10,AT_C10_M082,AT_C10_M082_MS02,AT_C10_M082_T22,2024-02-29,DELAYED,2025-08-01,1557485090.78,34992135991.25,43.26,19.88,0,1,1,0,53,ECA_AUDIT_SUMMARY,2024-11-01
2025,CZ,C11,CZ_C11_M083,CZ_C11_M083_MS03,CZ_C11_M083_T23,2025-04-23,CANCELLED,2022-10-02,599020939.41,29297618321.66,20.71,18.08,1,1,1,0,19,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-19
2026,DE,C12,DE_C12_M084,DE_C12_M084_MS04,DE_C12_M084_T24,2026-02-04,REVISED,2024-01-10,82666438.67,3884626534.21,49.58,31.83,1,1,0,1,22,NATIONAL_RRF_REPORT,2025-01-09
2020,LV,C13,LV_C13_M085,LV_C13_M085_MS05,LV_C13_M085_T25,2025-10-24,PLANNED,2021-04-24,689040835.45,33494916449.92,30.51,16.38,0,1,1,1,23,RRF_SCOREBOARD,2024-04-20
2021,PL,C14,PL_C14_M086,PL_C14_M086_MS06,PL_C14_M086_T26,2024-11-28,IN_PROGRESS,,569408478.92,24635622045.92,34.92,23.69,0,1,1,0,41,ECA_AUDIT_SUMMARY,2024-01-08
2022,ES,C15,ES_C15_M087,ES_C15_M087_MS07,ES_C15_M087_T27,2025-11-26,COMPLETED,2026-01-21,184402194.71,2264520092.8,46.17,28.1,1,1,1,0,39,COMMISSION_IMPLEMENTING_DECISIONS,2025-12-07
2023,HR,C16,HR_C16_M088,HR_C16_M088_MS08,HR_C16_M088_T28,2023-07-13,DELAYED,2020-05-14,577400210.28,14379456865.55,39.52,19.0,1,1,1,0,10,NATIONAL_RRF_REPORT,2025-01-04
2024,FI,C17,FI_C17_M089,FI_C17_M089_MS09,FI_C17_M089_T29,2024-02-10,CANCELLED,,339581534.22,15998467327.75,35.22,22.24,1,0,0,1,24,RRF_SCOREBOARD,2025-02-24
2025,IE,C18,IE_C18_M090,IE_C18_M090_MS10,IE_C18_M090_T30,2025-12-27,REVISED,2024-07-17,1288347796.61,28398956505.4,53.43,22.11,0,1,0,0,17,ECA_AUDIT_SUMMARY,2024-07-09
2026,MT,C01,MT_C01_M091,MT_C01_M091_MS11,MT_C01_M091_T01,2026-01-26,PLANNED,2024-07-27,138731172.5,12920677781.39,46.96,19.57,0,1,1,1,20,COMMISSION_IMPLEMENTING_DECISIONS,2025-06-23
2020,SK,C02,SK_C02_M092,SK_C02_M092_MS12,SK_C02_M092_T02,2020-11-29,IN_PROGRESS,,47573594.41,3322608316.49,34.58,15.97,1,1,1,1,46,NATIONAL_RRF_REPORT,2024-11-28
2021,BE,C03,BE_C03_M093,BE_C03_M093_MS13,BE_C03_M093_T03,2025-12-21,COMPLETED,2026-02-21,48692964.82,2195891212.45,42.13,35.41,1,0,0,1,17,RRF_SCOREBOARD,2025-02-08
2022,DK,C04,DK_C04_M094,DK_C04_M094_MS14,DK_C04_M094_T04,2024-09-22,DELAYED,,632455040.11,25997616553.53,33.58,21.3,1,1,0,1,53,ECA_AUDIT_SUMMARY,2024-06-05
2023,GR,C05,GR_C05_M095,GR_C05_M095_MS15,GR_C05_M095_T05,2023-05-05,CANCELLED,,397233368.05,46095525189.07,49.18,17.75,0,1,0,0,3,COMMISSION_IMPLEMENTING_DECISIONS,2024-08-26
2024,LT,C06,LT_C06_M096,LT_C06_M096_MS16,LT_C06_M096_T06,2024-07-15,REVISED,2020-04-02,37016631.51,8350478181.29,44.88,35.68,0,1,1,1,5,NATIONAL_RRF_REPORT,2025-02-28
2025,PT,C07,PT_C07_M097,PT_C07_M097_MS17,PT_C07_M097_T07,2025-02-03,PLANNED,,46423393.59,1607646019.95,45.56,17.77,1,1,1,0,12,RRF_SCOREBOARD,2025-10-16
2026,SE,C08,SE_C08_M098,SE_C08_M098_MS18,SE_C08_M098_T08,2026-02-20,IN_PROGRESS,2021-07-06,623037391.97,37463853496.28,34.97,32.37,1,0,0,1,46,ECA_AUDIT_SUMMARY,2025-03-26
2020,CY,C09,CY_C09_M099,CY_C09_M099_MS19,CY_C09_M099_T09,2023-06-03,COMPLETED,2024-07-18,249836932.84,7091849663.27,36.98,15.93,1,1,1,0,17,COMMISSION_IMPLEMENTING_DECISIONS,2024-10-18
2021,FR,C10,FR_C10_M100,FR_C10_M100_MS20,FR_C10_M100_T10,2025-01-08,DELAYED,,211036944.94,18295427449.14,45.68,39.42,0,0,1,1,7,NATIONAL_RRF_REPORT,2025-08-28
2022,IT,C11,IT_C11_M101,IT_C11_M101_MS21,IT_C11_M101_T11,2023-10-02,CANCELLED,,1025169285.93,44253951742.84,40.29,26.81,0,1,1,1,19,RRF_SCOREBOARD,2025-06-16
2023,NL,C12,NL_C12_M102,NL_C12_M102_MS22,NL_C12_M102_T12,2023-05-01,REVISED,2020-03-12,373219618.78,37566633013.46,30.71,28.7,1,1,0,0,16,ECA_AUDIT_SUMMARY,2026-01-19
2024,SI,C13,SI_C13_M103,SI_C13_M103_MS23,SI_C13_M103_T13,2024-11-11,PLANNED,,765637034.46,30759614851.55,22.05,29.72,1,1,1,1,21,COMMISSION_IMPLEMENTING_DECISIONS,2025-08-14
2025,BG,C14,BG_C14_M104,BG_C14_M104_MS24,BG_C14_M104_T14,2025-06-03,IN_PROGRESS,2022-11-22,230107864.22,5052315929.13,30.74,33.68,0,1,1,1,20,NATIONAL_RRF_REPORT,2024-06-26
2026,EE,C15,EE_C15_M105,EE_C15_M105_MS25,EE_C15_M105_T15,2026-02-22,COMPLETED,2026-02-24,2490776712.18,44343661417.9,45.05,37.31,0,1,1,1,49,RRF_SCOREBOARD,2024-11-05
2020,HU,C16,HU_C16_M106,HU_C16_M106_MS26,HU_C16_M106_T16,2022-06-08,DELAYED,,494457005.54,21117128107.53,23.19,39.77,1,1,0,0,45,ECA_AUDIT_SUMMARY,2025-12-01
2021,LU,C17,LU_C17_M107,LU_C17_M107_MS27,LU_C17_M107_T17,2024-03-09,CANCELLED,,201783754.58,14434560198.6,49.88,36.71,0,1,0,0,46,COMMISSION_IMPLEMENTING_DECISIONS,2025-03-16
2022,RO,C18,RO_C18_M108,RO_C18_M108_MS28,RO_C18_M108_T18,2025-09-20,REVISED,,681146219.77,25219549225.74,24.83,19.21,1,1,0,1,9,NATIONAL_RRF_REPORT,2026-02-19
2023,AT,C01,AT_C01_M109,AT_C01_M109_MS29,AT_C01_M109_T19,2025-12-01,PLANNED,,224525045.33,8510966654.18,41.94,39.36,1,1,0,1,37,RRF_SCOREBOARD,2024-02-09
2024,CZ,C02,CZ_C02_M110,CZ_C02_M110_MS30,CZ_C02_M110_T20,2025-01-28,IN_PROGRESS,2020-04-13,171760078.6,6525449425.73,21.32,32.37,0,0,0,0,53,ECA_AUDIT_SUMMARY,2024-06-02
2025,DE,C03,DE_C03_M111,DE_C03_M111_MS31,DE_C03_M111_T21,2025-10-07,COMPLETED,2026-02-12,2063450452.69,36972235173.73,35.37,16.46,1,1,1,0,15,COMMISSION_IMPLEMENTING_DECISIONS,2026-02-11
2026,LV,C04,LV_C04_M112,LV_C04_M112_MS32,LV_C04_M112_T22,2026-02-16,DELAYED,2024-01-27,739437391.72,24011559282.09,37.66,22.85,0,1,0,1,34,NATIONAL_RRF_REPORT,2025-07-23
2020,PL,C05,PL_C05_M113,PL_C05_M113_MS33,PL_C05_M113_T23,2020-02-26,CANCELLED,2023-11-08,494911545.49,23492435743.02,29.18,39.81,0,1,0,0,36,RRF_SCOREBOARD,2025-01-10
2021,ES,C06,ES_C06_M114,ES_C06_M114_MS34,ES_C06_M114_T24,2021-02-02,REVISED,2022-09-04,47030168.97,6178526941.3,37.35,17.01,1,1,1,1,31,ECA_AUDIT_SUMMARY,2024-10-21
