ph_mental_reference_year,ph_mental_country_iso2,ph_mental_region_nuts_code,ph_mental_age_group,ph_mental_sex,ph_mental_depressive_symptoms_rate_pct,ph_mental_anxiety_rate_pct,ph_mental_wellbeing_index_score,ph_mental_self_harm_rate_per_100k,ph_mental_suicide_rate_per_100k,ph_mental_psych_services_access_rate_pct,ph_mental_waiting_time_days_median,ph_mental_antidepressant_use_did,ph_mental_sick_leave_due_to_mental_health_days,ph_mental_work_stress_index,ph_mental_loneliness_rate_pct,ph_mental_mental_health_strategy_flag,ph_mental_ehis_table_code,ph_mental_survey_weight,ph_mental_data_extract_date
2020,LU,BE167,15_24,X,23.22,16.38,44.87,25.07,6.51,42.38,107.17,79.86,13769,25.32,22.95,1,HLTH_EHIS_MH3,0.6492,2025-11-20
2021,SI,RO8,55_64,F,29.04,17.06,49.12,34.85,6.27,34.93,151.76,38.0,19700,54.82,34.35,1,HLTH_EHIS_MH4,2.1642,2026-02-14
2022,CY,HU99,25_34,M,20.29,21.82,35.05,114.12,7.4,65.97,69.19,106.54,15637,85.08,14.87,1,HLTH_EHIS_MH1,0.4151,2025-02-13
2023,GR,SE45,65_74,X,11.3,5.2,48.48,55.25,16.33,39.74,100.09,147.1,7448,62.35,28.67,0,HLTH_EHIS_MH2,2.5147,2024-02-08
2024,MT,DE4,35_44,F,20.29,23.09,49.41,75.64,7.44,35.08,76.3,22.38,15970,67.32,15.62,1,HLTH_EHIS_MH3,4.5772,2024-04-12
2025,ES,IT808,75_PLUS,M,6.89,24.25,56.87,26.47,20.2,31.32,134.2,120.84,13959,49.78,40.3,1,HLTH_EHIS_MH4,0.4337,2025-11-18
2006,CZ,IE107,45_54,X,5.67,9.56,75.47,72.05,12.78,64.64,36.55,65.49,836,84.97,30.22,0,HLTH_EHIS_MH1,3.5246,2025-01-26
2007,HU,DK29,15_24,F,24.24,28.07,48.44,60.36,14.55,36.08,90.52,137.2,10675,31.99,13.79,0,HLTH_EHIS_MH2,1.2235,2024-05-12
2008,NL,SK3,55_64,M,7.98,19.1,47.4,35.78,23.97,70.46,40.21,31.18,5223,69.81,15.16,0,HLTH_EHIS_MH3,4.2828,2024-12-12
2009,SE,IE5,25_34,X,17.23,15.27,42.14,74.91,6.32,31.9,62.42,46.22,10879,33.61,35.08,0,HLTH_EHIS_MH4,3.9982,2024-04-03
2010,DK,DE88,65_74,F,19.6,26.74,54.25,79.68,18.72,25.46,86.68,152.36,3649,48.31,28.92,0,HLTH_EHIS_MH1,0.5117,2026-01-07
2011,IE,EE32,35_44,M,13.52,7.23,34.44,70.19,6.17,46.42,66.88,20.92,12867,80.09,22.83,0,HLTH_EHIS_MH2,3.8593,2025-11-09
2012,PL,CY31,75_PLUS,X,5.94,17.9,40.77,28.13,3.91,61.47,22.55,27.93,11972,17.76,13.35,0,HLTH_EHIS_MH3,4.4124,2024-12-09
2013,AT,PT9,45_54,F,17.94,7.59,38.28,21.63,10.4,50.22,51.79,113.66,3094,78.49,13.48,0,HLTH_EHIS_MH4,4.5739,2025-11-11
2014,EE,SE4,15_24,M,22.56,14.81,54.11,12.85,14.75,66.17,26.15,57.53,5527,38.98,15.35,1,HLTH_EHIS_MH1,1.4267,2025-12-09
2015,IT,DK13,55_64,X,8.99,12.75,37.01,10.84,5.09,83.44,36.71,85.4,7612,55.42,16.09,1,HLTH_EHIS_MH2,2.7633,2024-06-13
2016,PT,LT174,25_34,F,15.93,17.55,41.08,17.74,13.97,34.23,58.85,29.17,9237,43.32,20.93,1,HLTH_EHIS_MH3,2.1986,2025-05-18
2017,BE,CY36,65_74,M,19.91,23.75,31.23,34.38,17.53,33.55,33.82,89.81,10232,61.34,10.48,1,HLTH_EHIS_MH4,2.3984,2025-05-21
2018,FI,IE457,35_44,X,6.91,8.98,36.75,22.81,13.3,27.66,123.14,52.7,2836,67.72,7.6,0,HLTH_EHIS_MH1,1.9605,2024-08-10
2019,LV,AT653,75_PLUS,F,11.99,11.16,41.61,57.77,6.36,77.54,120.03,162.29,4960,44.83,29.54,0,HLTH_EHIS_MH2,1.9037,2024-02-05
2020,RO,FI91,45_54,M,7.45,8.63,65.69,94.76,5.88,75.36,114.07,96.97,530,65.5,19.26,1,HLTH_EHIS_MH3,1.2645,2025-10-24
2021,BG,LU815,15_24,X,13.58,28.32,40.7,67.14,12.09,78.24,54.21,35.92,6677,78.96,12.43,1,HLTH_EHIS_MH4,0.4584,2025-05-12
2022,FR,FI152,55_64,F,15.45,17.52,42.26,25.95,7.78,35.08,70.57,76.46,1475,33.32,9.43,1,HLTH_EHIS_MH1,0.8456,2024-06-26
2023,LT,BG68,25_34,M,16.98,9.73,34.75,22.27,5.66,65.91,87.98,40.67,5860,60.96,28.28,1,HLTH_EHIS_MH2,1.7964,2025-12-10
2024,SK,BG14,65_74,X,13.85,5.68,58.65,49.67,13.28,81.0,13.06,67.58,10717,34.07,15.17,1,HLTH_EHIS_MH3,4.5993,2024-10-29
2025,HR,RO5,35_44,F,14.92,27.32,52.57,37.67,12.87,61.6,30.47,39.58,10241,31.21,30.98,1,HLTH_EHIS_MH4,0.9302,2025-07-08
2006,DE,HR9,75_PLUS,M,22.13,17.21,41.16,72.97,18.23,73.09,126.11,84.77,4495,71.65,39.27,0,HLTH_EHIS_MH1,4.6973,2025-11-26
2007,LU,RO701,45_54,X,16.7,15.34,61.57,64.29,8.23,41.54,165.52,20.49,11988,52.88,20.61,0,HLTH_EHIS_MH2,1.0736,2024-11-07
2008,SI,ES781,15_24,F,13.0,9.0,66.56,53.38,10.14,38.73,80.49,32.61,2986,29.55,23.76,0,HLTH_EHIS_MH3,1.2231,2025-03-25
2009,CY,PT49,55_64,M,8.52,21.77,41.53,29.37,9.42,66.71,101.2,152.28,7985,75.59,14.74,0,HLTH_EHIS_MH4,3.2095,2024-09-24
2010,GR,GR429,25_34,X,9.54,21.51,39.17,50.75,5.3,60.81,52.31,123.87,683,76.94,19.91,0,HLTH_EHIS_MH1,1.518,2024-03-07
2011,MT,LV82,65_74,F,19.75,21.39,45.5,68.12,19.39,39.68,71.46,158.06,4162,50.88,31.29,0,HLTH_EHIS_MH2,2.7499,2025-09-08
2012,ES,PT99,35_44,M,19.98,15.25,62.28,49.83,10.44,46.24,15.25,130.91,14796,67.95,24.09,0,HLTH_EHIS_MH3,2.2435,2025-05-27
2013,CZ,NL72,75_PLUS,X,9.59,22.82,57.64,44.64,13.49,33.59,135.16,117.42,439,34.01,36.38,1,HLTH_EHIS_MH4,1.1288,2025-01-04
2014,HU,IE9,45_54,F,8.49,5.88,38.89,69.2,8.93,25.31,37.93,59.96,416,28.25,24.89,0,HLTH_EHIS_MH1,1.3767,2024-11-06
2015,NL,LU675,15_24,M,11.47,23.52,65.13,69.6,23.59,54.47,130.9,90.63,3147,28.63,28.51,1,HLTH_EHIS_MH2,1.8141,2025-03-11
2016,SE,SE3,55_64,X,19.03,9.32,55.21,17.57,11.97,40.66,126.28,170.45,6272,36.24,32.27,1,HLTH_EHIS_MH3,0.8018,2025-02-11
2017,DK,LV19,25_34,F,23.05,15.78,45.46,36.32,12.29,53.93,132.69,57.4,460,77.37,13.65,0,HLTH_EHIS_MH4,1.533,2025-01-17
2018,IE,SE97,65_74,M,11.63,7.24,55.4,15.32,8.65,62.19,31.22,141.07,8930,67.4,36.77,1,HLTH_EHIS_MH1,1.858,2024-03-18
2019,PL,DK68,35_44,X,16.67,17.71,45.52,73.32,3.47,32.04,85.92,50.1,4783,31.14,10.56,1,HLTH_EHIS_MH2,3.3712,2025-07-14
2020,AT,LU83,75_PLUS,F,14.08,14.61,55.15,13.86,4.45,27.57,182.04,103.77,12401,79.07,22.42,1,HLTH_EHIS_MH3,1.7853,2025-11-27
2021,EE,HU580,45_54,M,9.77,18.85,40.9,16.24,21.13,25.92,37.14,56.73,9034,51.22,29.53,1,HLTH_EHIS_MH4,4.552,2024-05-01
2022,IT,SK723,15_24,X,18.84,21.73,40.54,118.43,10.99,62.3,109.45,53.43,525,53.88,35.66,1,HLTH_EHIS_MH1,2.9696,2024-01-09
2023,PT,LU41,55_64,F,11.08,8.23,37.63,23.9,5.71,53.27,87.55,139.14,10315,23.49,28.78,0,HLTH_EHIS_MH2,2.957,2024-09-17
2024,BE,HU43,25_34,M,18.1,9.29,44.99,65.3,9.99,79.33,52.65,42.36,1008,33.94,30.29,0,HLTH_EHIS_MH3,3.5366,2025-02-01
2025,FI,HR94,65_74,X,6.94,22.77,70.68,35.64,19.39,33.4,112.06,28.39,2718,31.42,39.5,1,HLTH_EHIS_MH4,3.5691,2025-10-30
2006,LV,DK5,35_44,F,21.67,11.95,55.8,26.4,15.53,70.21,61.68,97.04,14461,74.99,17.83,0,HLTH_EHIS_MH1,1.7443,2025-08-21
2007,RO,IT2,75_PLUS,M,7.52,22.44,50.35,48.5,9.84,66.04,31.09,58.91,7816,39.42,15.39,0,HLTH_EHIS_MH2,3.2468,2024-02-16
2008,BG,ES27,45_54,X,13.24,22.11,51.73,26.15,12.91,63.82,58.66,123.59,9397,84.9,11.08,0,HLTH_EHIS_MH3,1.4699,2024-02-01
2009,FR,CY2,15_24,F,10.96,9.64,36.69,82.79,6.87,40.68,14.92,66.72,10024,42.54,10.79,0,HLTH_EHIS_MH4,0.6334,2026-02-25
2010,LT,MT524,55_64,M,4.98,12.86,57.72,22.48,8.27,38.97,166.74,174.18,7027,20.07,16.72,0,HLTH_EHIS_MH1,3.6579,2024-02-18
2011,SK,LV13,25_34,X,11.31,13.42,60.54,106.69,9.28,21.45,13.09,91.52,4961,40.3,26.95,0,HLTH_EHIS_MH2,3.126,2024-02-12
2012,HR,BG77,65_74,F,19.87,17.16,39.69,45.96,11.91,52.7,29.52,98.82,7076,21.52,28.67,0,HLTH_EHIS_MH3,2.0887,2025-11-14
2013,DE,SE205,35_44,M,8.44,8.82,57.3,79.14,15.36,47.61,8.94,82.9,13414,72.9,28.9,0,HLTH_EHIS_MH4,0.5782,2025-04-01
2014,LU,LU965,75_PLUS,X,13.12,9.11,54.0,35.81,15.15,27.59,43.13,163.1,16149,48.08,37.99,0,HLTH_EHIS_MH1,2.4493,2025-06-18
2015,SI,ES39,45_54,F,16.12,26.16,44.18,54.98,18.28,46.01,103.71,36.73,2821,86.02,29.98,1,HLTH_EHIS_MH2,1.8136,2025-05-08
2016,CY,ES421,15_24,M,17.36,25.49,43.52,70.16,22.78,67.08,121.7,44.92,3023,70.62,34.28,1,HLTH_EHIS_MH3,2.3891,2025-08-04
2017,GR,AT559,55_64,X,15.55,14.76,64.9,80.38,13.89,43.28,90.65,38.29,32,62.66,10.94,1,HLTH_EHIS_MH4,2.9819,2025-02-05
2018,MT,EE519,25_34,F,20.1,19.29,57.3,62.21,10.44,46.88,82.47,134.12,17115,22.95,26.99,1,HLTH_EHIS_MH1,2.3645,2024-06-24
2019,ES,CZ4,65_74,M,6.34,19.65,55.98,17.91,17.95,32.14,46.08,38.83,10491,52.73,29.93,1,HLTH_EHIS_MH2,2.4916,2024-08-24
2020,CZ,NL67,35_44,X,16.14,8.25,31.22,44.55,4.44,51.59,139.55,122.91,12049,61.73,31.54,1,HLTH_EHIS_MH3,2.772,2024-05-27
2021,HU,DE97,75_PLUS,F,12.68,26.02,55.96,34.3,7.45,80.81,66.73,134.28,20704,48.49,31.87,1,HLTH_EHIS_MH4,2.4053,2025-04-27
2022,NL,HU34,45_54,M,10.59,16.45,45.6,30.87,14.39,78.23,69.83,132.57,219,35.24,29.73,1,HLTH_EHIS_MH1,1.0446,2024-10-05
2023,SE,DK113,15_24,X,16.97,26.45,38.13,102.73,9.19,32.33,9.47,59.9,1154,30.37,14.54,1,HLTH_EHIS_MH2,3.4069,2025-06-10
2024,DK,LT9,55_64,F,13.79,7.46,33.04,53.31,6.13,43.74,58.54,186.14,9549,75.96,36.08,1,HLTH_EHIS_MH3,0.3338,2024-06-12
2025,IE,GR1,25_34,M,4.11,24.95,55.15,87.88,20.87,29.4,134.01,56.79,7482,84.98,19.31,1,HLTH_EHIS_MH4,3.2983,2025-06-20
2006,PL,HU344,65_74,X,12.89,10.52,43.34,22.98,11.86,65.62,38.32,135.75,10649,52.94,24.07,1,HLTH_EHIS_MH1,0.7008,2026-01-18
2007,AT,LT3,35_44,F,4.25,26.94,62.29,64.84,12.86,73.71,128.67,75.46,4297,50.33,12.59,0,HLTH_EHIS_MH2,4.4658,2025-09-11
2008,EE,SK20,75_PLUS,M,14.33,18.02,54.35,21.35,27.37,47.19,94.41,48.27,14429,43.08,20.83,0,HLTH_EHIS_MH3,4.5191,2025-10-04
2009,IT,FI92,45_54,X,8.6,15.63,62.31,36.23,14.17,59.54,56.45,46.05,5659,73.96,10.84,1,HLTH_EHIS_MH4,3.966,2024-05-19
2010,PT,PL82,15_24,F,21.8,21.8,38.45,62.72,16.21,53.06,133.64,35.4,10709,76.08,20.2,0,HLTH_EHIS_MH1,3.209,2024-06-04
2011,BE,IT558,55_64,M,3.94,16.05,45.72,55.65,16.55,60.08,76.7,25.18,5731,26.01,6.63,0,HLTH_EHIS_MH2,0.2947,2024-08-08
2012,FI,PL43,25_34,X,7.41,8.04,48.21,10.57,15.4,41.51,124.93,25.78,4331,35.27,21.24,0,HLTH_EHIS_MH3,2.207,2025-05-05
2013,LV,FI90,65_74,F,13.56,15.87,48.34,39.54,15.58,76.74,127.27,103.17,16946,33.5,37.01,0,HLTH_EHIS_MH4,0.9768,2024-10-26
2014,RO,HU50,35_44,M,7.69,9.95,53.92,28.63,6.96,38.67,153.84,103.99,499,74.95,32.53,1,HLTH_EHIS_MH1,3.551,2025-11-06
2015,BG,DE993,75_PLUS,X,13.94,24.23,49.34,13.11,18.0,73.56,111.2,17.51,17256,25.24,41.07,1,HLTH_EHIS_MH2,2.9255,2026-02-21
2016,FR,PL15,45_54,F,10.83,6.97,40.29,47.72,8.89,62.3,76.17,103.85,1905,58.66,10.86,1,HLTH_EHIS_MH3,1.3807,2024-06-02
2017,LT,FR89,15_24,M,8.18,14.9,43.24,91.21,16.84,55.97,75.09,61.49,815,42.08,33.74,1,HLTH_EHIS_MH4,2.3724,2024-03-26
2018,SK,CZ54,55_64,X,12.54,19.19,54.7,14.39,5.34,30.89,76.85,73.79,13542,69.15,17.89,1,HLTH_EHIS_MH1,3.3724,2024-11-24
2019,HR,LV2,25_34,F,15.14,25.8,43.18,83.84,14.87,24.32,23.77,107.8,3770,38.29,14.29,0,HLTH_EHIS_MH2,1.3185,2025-03-15
2020,DE,PL6,65_74,M,7.36,10.0,61.84,102.9,11.57,51.34,123.18,150.02,6572,62.55,54.2,1,HLTH_EHIS_MH3,3.9289,2025-05-16
2021,LU,SE19,35_44,X,21.82,24.45,28.01,51.62,14.17,40.35,171.5,45.12,7092,85.93,8.18,1,HLTH_EHIS_MH4,3.0279,2024-07-01
2022,SI,CY38,75_PLUS,F,15.78,13.02,56.13,57.49,15.29,21.77,84.84,117.62,11558,51.85,12.8,1,HLTH_EHIS_MH1,0.4706,2026-01-27
2023,CY,HU677,45_54,M,16.02,23.82,34.99,56.34,15.37,21.04,83.73,112.16,3107,71.96,16.24,1,HLTH_EHIS_MH2,1.3004,2025-07-25
2024,GR,BE3,15_24,X,8.3,14.82,66.45,40.52,9.19,76.96,15.68,26.68,2129,27.59,10.48,1,HLTH_EHIS_MH3,0.9455,2025-03-29
2025,MT,GR901,55_64,F,13.13,27.35,57.95,51.55,14.78,67.1,96.84,119.57,3374,56.57,28.72,1,HLTH_EHIS_MH4,3.8086,2025-04-12
2006,ES,LU5,25_34,M,14.77,9.07,40.49,73.22,14.74,41.29,132.19,23.36,17468,75.63,24.6,0,HLTH_EHIS_MH1,2.962,2025-11-14
2007,CZ,SE2,65_74,X,15.14,23.23,70.6,26.13,11.38,66.03,84.77,144.92,8263,33.5,12.87,0,HLTH_EHIS_MH2,2.9292,2024-05-30
2008,HU,LT183,35_44,F,19.74,20.16,31.16,26.33,6.56,64.17,27.11,30.89,8230,25.21,30.63,1,HLTH_EHIS_MH3,3.6655,2025-07-09
2009,NL,LT760,75_PLUS,M,20.6,19.53,45.29,54.24,26.83,59.76,93.74,119.89,2179,70.06,37.51,0,HLTH_EHIS_MH4,2.2339,2025-04-15
2010,SE,CZ46,45_54,X,17.08,12.2,59.09,39.32,14.09,76.88,114.1,31.05,13593,55.03,25.72,0,HLTH_EHIS_MH1,2.2394,2024-08-02
2011,DK,DK898,15_24,F,24.34,27.02,37.64,13.52,12.15,28.34,27.73,102.66,6357,39.22,27.46,0,HLTH_EHIS_MH2,2.0512,2024-04-01
2012,IE,BG387,55_64,M,12.86,10.4,59.87,55.75,7.88,80.14,16.92,32.41,3956,27.42,24.77,0,HLTH_EHIS_MH3,4.3838,2024-07-08
2013,PL,DE9,25_34,X,7.48,14.79,56.11,19.15,13.33,29.94,95.41,20.97,7174,64.71,8.44,1,HLTH_EHIS_MH4,4.5791,2025-01-03
2014,AT,AT87,65_74,F,20.49,24.92,31.25,74.78,13.31,40.82,102.02,122.24,1104,29.8,15.89,0,HLTH_EHIS_MH1,4.716,2025-06-04
2015,EE,DK35,35_44,M,14.6,20.91,50.08,68.36,19.97,64.3,96.85,95.07,1820,49.96,30.85,1,HLTH_EHIS_MH2,3.0148,2025-08-25
2016,IT,SE357,75_PLUS,X,16.83,20.18,42.51,39.86,11.31,36.21,101.67,189.48,13103,47.31,23.46,1,HLTH_EHIS_MH3,0.9221,2025-07-26
2017,PT,BE28,45_54,F,18.62,13.53,28.74,69.26,11.85,68.36,98.59,48.08,6013,21.88,6.61,0,HLTH_EHIS_MH4,4.6714,2024-12-31
2018,BE,DE305,15_24,M,21.98,17.77,60.82,89.05,13.77,73.16,83.51,120.53,14032,38.73,35.61,1,HLTH_EHIS_MH1,3.5014,2025-07-24
2019,FI,GR6,55_64,X,9.03,16.44,43.17,45.71,5.1,51.33,51.49,161.53,12737,41.37,35.04,0,HLTH_EHIS_MH2,0.3619,2025-02-10
2020,LV,CZ146,25_34,F,15.22,26.79,43.91,47.43,16.27,40.65,50.79,22.56,11421,96.69,39.21,0,HLTH_EHIS_MH3,2.4512,2024-02-12
2021,RO,ES388,65_74,M,16.33,17.37,49.89,81.15,21.68,45.65,160.05,186.41,2226,96.62,51.73,1,HLTH_EHIS_MH4,0.5783,2026-01-31
2022,BG,LT68,35_44,X,11.78,10.84,67.58,37.66,14.98,63.64,128.73,133.17,13147,47.96,17.7,1,HLTH_EHIS_MH1,1.4929,2026-02-05
2023,FR,SI51,75_PLUS,F,20.37,20.52,33.11,21.27,19.93,41.17,151.25,117.36,17643,50.96,11.82,1,HLTH_EHIS_MH2,1.8023,2024-12-25
2024,LT,DK413,45_54,M,18.48,22.9,39.67,64.05,24.32,27.88,21.57,17.15,10261,38.4,17.46,1,HLTH_EHIS_MH3,3.7196,2024-10-25
2025,SK,RO680,15_24,X,9.04,14.65,37.02,15.96,5.09,83.1,32.58,79.19,13819,54.41,31.87,1,HLTH_EHIS_MH4,4.3904,2024-10-20
2006,HR,LT66,55_64,F,7.23,14.11,58.85,70.71,16.2,54.77,132.73,113.56,28,20.24,6.54,0,HLTH_EHIS_MH1,3.1898,2026-02-14
2007,DE,IE10,25_34,M,9.48,23.52,45.29,59.7,9.05,66.94,42.5,80.18,5131,63.19,5.87,0,HLTH_EHIS_MH2,2.4425,2025-06-09
2008,LU,NL663,65_74,X,9.56,6.82,43.98,65.67,17.85,39.68,92.83,89.38,3397,22.3,27.48,0,HLTH_EHIS_MH3,3.0101,2024-09-21
2009,SI,BG608,35_44,F,6.91,22.97,52.43,62.61,5.53,59.99,79.92,72.96,13750,77.72,9.79,0,HLTH_EHIS_MH4,1.7002,2025-07-11
2010,CY,SE63,75_PLUS,M,7.08,8.37,52.13,23.28,10.45,56.04,105.33,31.3,13811,60.69,33.92,0,HLTH_EHIS_MH1,3.3148,2025-08-11
2011,GR,LT85,45_54,X,11.12,23.15,37.5,20.19,19.68,33.87,101.75,47.9,13226,75.05,34.11,0,HLTH_EHIS_MH2,3.2711,2025-06-07
2012,MT,BG322,15_24,F,20.19,13.39,58.36,115.67,4.46,29.05,150.27,28.19,10362,31.2,12.44,0,HLTH_EHIS_MH3,1.8501,2025-05-25
2013,ES,LU2,55_64,M,20.14,13.65,42.54,79.75,25.39,47.22,80.47,187.51,14095,25.36,5.88,1,HLTH_EHIS_MH4,0.2265,2025-12-31
2014,CZ,MT496,25_34,X,9.98,20.0,71.52,70.11,8.31,62.73,108.34,51.33,6143,46.23,22.19,0,HLTH_EHIS_MH1,4.2182,2024-12-05
2015,HU,PL117,65_74,F,19.49,19.07,47.79,61.24,7.21,52.21,79.78,135.14,13756,72.61,16.19,0,HLTH_EHIS_MH2,1.0461,2024-10-22
2016,NL,FR308,35_44,M,11.39,5.75,50.16,76.97,6.2,83.15,97.29,128.53,6391,57.05,10.4,0,HLTH_EHIS_MH3,1.4848,2024-04-20
2017,SE,GR355,75_PLUS,X,6.57,16.16,50.99,56.18,11.44,40.23,23.47,120.64,9853,21.08,21.71,1,HLTH_EHIS_MH4,3.6246,2024-04-21
2018,DK,ES674,45_54,F,22.18,12.21,43.74,35.09,16.47,82.19,46.5,95.25,8833,59.75,32.11,1,HLTH_EHIS_MH1,2.6877,2024-11-25
2019,IE,FR431,15_24,M,16.83,10.26,40.41,29.01,5.38,30.36,39.72,134.65,17529,72.45,10.58,0,HLTH_EHIS_MH2,3.4979,2024-07-12
2020,PL,SK21,55_64,X,12.54,16.39,43.32,63.13,4.28,75.81,140.04,105.46,21523,61.26,12.3,0,HLTH_EHIS_MH3,1.1637,2025-08-10
2021,AT,SI475,25_34,F,23.15,31.99,36.8,128.32,5.97,74.6,80.32,138.2,1042,62.66,42.59,0,HLTH_EHIS_MH4,0.4027,2025-12-22
2022,EE,SI64,65_74,M,14.28,11.3,55.37,62.71,15.48,21.46,8.57,91.48,9114,49.07,26.04,0,HLTH_EHIS_MH1,3.3344,2025-11-22
2023,IT,NL387,35_44,X,9.63,7.81,45.06,14.79,11.21,35.39,100.48,120.83,2933,59.57,16.47,0,HLTH_EHIS_MH2,2.7305,2024-02-24
2024,PT,SI9,75_PLUS,F,10.7,20.25,63.04,83.63,14.41,39.42,66.63,126.99,5027,31.71,33.64,1,HLTH_EHIS_MH3,4.0836,2025-07-07
2025,BE,BE659,45_54,M,15.83,5.12,33.36,30.32,9.66,37.49,104.97,30.75,16659,55.9,17.99,1,HLTH_EHIS_MH4,1.4815,2024-06-30
2006,FI,ES369,15_24,X,5.58,21.95,53.34,114.08,7.47,82.11,32.33,22.86,5794,71.93,23.01,0,HLTH_EHIS_MH1,4.0781,2024-09-10
2007,LV,HU25,55_64,F,12.9,25.87,39.6,13.91,17.91,80.16,109.08,100.64,10251,26.22,21.88,0,HLTH_EHIS_MH2,3.0817,2025-08-25
2008,RO,NL291,25_34,M,18.7,12.82,35.28,46.64,19.61,45.67,9.79,137.6,1901,58.88,30.06,0,HLTH_EHIS_MH3,2.1829,2025-08-15
2009,BG,DK89,65_74,X,15.83,25.82,56.88,9.08,6.56,46.84,25.4,111.79,5435,56.55,15.06,0,HLTH_EHIS_MH4,2.0135,2026-01-24
2010,FR,HU228,35_44,F,22.99,7.31,57.76,52.7,16.63,52.14,116.09,47.98,13002,57.38,7.69,0,HLTH_EHIS_MH1,3.4274,2024-01-25
2011,LT,HR130,75_PLUS,M,19.2,9.12,53.94,76.98,27.7,48.53,64.61,76.44,18039,54.33,8.67,0,HLTH_EHIS_MH2,2.0541,2025-09-27
2012,SK,BE1,45_54,X,4.86,18.44,46.82,35.47,16.32,37.19,86.4,96.79,10870,42.11,12.15,0,HLTH_EHIS_MH3,0.2283,2025-09-25
2013,HR,EE27,15_24,F,19.97,29.39,35.26,25.04,15.74,21.15,127.1,133.34,11886,73.31,17.26,0,HLTH_EHIS_MH4,1.4706,2026-01-10
2014,DE,FR455,55_64,M,10.83,22.95,37.1,25.82,12.84,57.82,15.66,167.62,12456,54.29,7.36,1,HLTH_EHIS_MH1,2.1715,2025-08-04
2015,LU,LV233,25_34,X,20.57,7.85,29.04,76.24,11.63,61.02,111.76,82.14,11585,28.79,31.75,1,HLTH_EHIS_MH2,3.7715,2025-10-13
2016,SI,SE293,65_74,F,24.3,26.83,34.99,12.5,9.97,73.79,34.35,116.45,3227,42.43,25.02,1,HLTH_EHIS_MH3,0.9123,2024-05-07
2017,CY,GR982,35_44,M,11.01,13.41,51.78,30.52,12.05,79.33,136.48,68.84,12423,41.58,10.12,0,HLTH_EHIS_MH4,3.7981,2024-06-18
2018,GR,BG310,75_PLUS,X,15.0,8.55,48.45,39.04,17.65,26.07,65.69,161.21,8889,23.59,34.21,1,HLTH_EHIS_MH1,0.5891,2025-10-02
