gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2023,GOV97400041,GOVS9N4I,574257044,49387907,65272011,70155940,5626870,8587959,776337345,37269,50239,33668473,70302,val_974e_00041,val_974e_00041,208763556,86986143,GOVWCO5P,11.77
2014,GOV97400042,GOVIDGNP,412221556,45488719,77187745,345800873,5334648,52606446,814183360,73043305,623700,55174367,529650,val_974e_00042,val_974e_00042,32463,507278521,GOVU9K8G,72.71
2025,GOV97400043,GOVEWR3H,481455,392836622,599293163,586686000,60861,37618,57190825,592036839,75619650,373732333,49481453,val_974e_00043,val_974e_00043,37920,530284895,GOVE5FUG,72.62
2017,GOV97400044,GOVJBE13,94723951,7295642,5676923,70911994,71034904,6937816,55985158,88620,317684357,613858180,552811,val_974e_00044,val_974e_00044,418799,24877013,GOVXRHFI,66.25
2013,GOV97400045,GOV6NQ3J,56593,483914,430680,51197,39442,55415,9001562,5663041,125206,39092589,49509204,val_974e_00045,val_974e_00045,530151227,666695448,GOVVGKVL,24.62
2024,GOV97400046,GOV704HJ,42023,82511172,50100556,6192401,33329073,621220394,256611,2337610,46927,441366,260432685,val_974e_00046,val_974e_00046,697738,370800505,GOV3FMUN,15.7
2015,GOV97400047,GOVY9D1G,47946739,70314437,42121,228501,890666,68803838,3413884,309264,53489397,14311597,88294808,val_974e_00047,val_974e_00047,28181584,6883693,GOV2MA2O,4.39
2016,GOV97400048,GOVZ8PE3,671294201,63152569,535412072,5214015,21869098,506234515,69580,50400,61584,94578,767116663,val_974e_00048,val_974e_00048,579724620,3565658,GOV94WTS,58.49
2023,GOV97400049,GOVBKFQ4,51763732,494515231,4086044,3651081,71568616,5545707,571515,615284,612024588,6537475,22672997,val_974e_00049,val_974e_00049,42572431,377868,GOVAZMV8,75.93
2019,GOV97400050,GOVGVCC6,15173792,44754,44196,8690281,575315,870098650,31534,8024309,54188,20613,224932205,val_974e_00050,val_974e_00050,775352,54748,GOVFCU3Z,31.76
2022,GOV97400051,GOVXKLGS,355118,47052397,324169356,27847822,76169938,553946146,591937989,4232345,491443,26591,480359959,val_974e_00051,val_974e_00051,283857,52372429,GOV6E37H,66.29
2024,GOV97400052,GOVBD9VR,807943646,4121956,53603,69280203,707527,61644145,78243,36938472,219499310,5418146,64306,val_974e_00052,val_974e_00052,43565069,197933704,GOVGPRI8,49.35
2010,GOV97400053,GOVFR6IB,25396,7273200,63634746,659744,165481,838753,3043854,35474,599067375,5749161,17125284,val_974e_00053,val_974e_00053,55025287,8060702,GOVXWIPC,60.52
2011,GOV97400054,GOV7SINC,54114,504736,2509889,52921,883709268,14128,5634710,53527884,7924912,59289495,4009656,val_974e_00054,val_974e_00054,44232,50667297,GOVHJR6J,60.94
2018,GOV97400055,GOVD6W1A,586375,140666,32428537,4215151,36914,24525,75370,911086338,53903480,34757,803218750,val_974e_00055,val_974e_00055,12165,609828853,GOV29HNV,33.1
2014,GOV97400056,GOVC1L98,67418,45714,35773344,754654094,88933,50684147,9848172,40441,700695,468585801,555350097,val_974e_00056,val_974e_00056,5609464,56933804,GOVX9E1D,82.56
2015,GOV97400057,GOVTD49Y,473088,862515,473134,399427,4873943,461185,58705,376847978,35670384,285009427,436462,val_974e_00057,val_974e_00057,55524298,58444214,GOV339E4,55.41
2026,GOV97400058,GOV7WMF3,8458713,158898,371625,60603495,52034,785660,347148,442437,38357,29703803,72355,val_974e_00058,val_974e_00058,3312590,42266,GOVCAAVF,11.49
2019,GOV97400059,GOV6CHCO,26722037,504598303,478607,66496,55272904,4993472,306208,75653,7745355,25665,81067,val_974e_00059,val_974e_00059,84586276,18689,GOV76ZW5,43.07
2017,GOV97400060,GOVDP873,30538387,425377,48002,60813,6628427,46165554,3002286,60594,38295463,44158146,627186,val_974e_00060,val_974e_00060,449074385,41015938,GOVYGN48,49.7
2025,GOV97400061,GOVGQYU4,667694081,531163,34710194,63219,819320248,54370348,650084,17824,811418,24757180,63303,val_974e_00061,val_974e_00061,2362904,241825899,GOVLLDUL,9.26
2026,GOV97400062,GOVHZJVB,439754537,34917169,5373745,417266,54471,250387,757799,87379,3739074,30249,68409,val_974e_00062,val_974e_00062,3432618,65794022,GOVVJZ2O,36.8
2021,GOV97400063,GOVB42VA,3394435,49845073,35821,343391,28682511,43160082,495321403,819959,73789791,30031012,77590,val_974e_00063,val_974e_00063,2758008,9034133,GOVAU2KE,29.51
2021,GOV97400064,GOV5HZUM,333330567,623901141,34649,34192205,26763,42272591,53070930,591004,69049,38951,304577,val_974e_00064,val_974e_00064,76219146,614416046,GOV3MMDO,88.48
2021,GOV97400065,GOVRNC0E,372699,7163830,508294,33449036,44965,509292167,26920,67565,825423616,533089,6182086,val_974e_00065,val_974e_00065,345872366,196682170,GOVAUXTB,53.05
2019,GOV97400066,GOVYEKWI,869030892,4126071,55839731,4915347,505748630,72882372,13311,41648258,428406682,18171476,244502,val_974e_00066,val_974e_00066,6876749,5017664,GOVDTKKS,59.55
2020,GOV97400067,GOVMD4R3,288394649,383390308,62198,2831827,964838776,65556510,41763,59818392,20875,79424126,2833786,val_974e_00067,val_974e_00067,668705026,59648894,GOVUQIOF,12.03
2019,GOV97400068,GOV7ANPN,5873226,25855,536168,705480,4918463,447944174,64638,537685,3028548,360832072,310485114,val_974e_00068,val_974e_00068,215187,696172,GOVTWK2F,67.73
2023,GOV97400069,GOV7Y83R,41771,775851744,74215939,5782244,4556703,33677,422499710,25256,48750,542754773,692103,val_974e_00069,val_974e_00069,50084,567607,GOV63DXA,2.3
2013,GOV97400070,GOVO7WWX,5402797,466399795,372532633,717551,796713,5871361,50013050,6441476,65972,564105237,4096983,val_974e_00070,val_974e_00070,763606,55679344,GOVOSQMZ,93.58
2020,GOV97400071,GOVXW2OM,49377451,343073,427408,63028,6435425,1012141,1039725,147027,3212646,286466088,405635,val_974e_00071,val_974e_00071,22739936,864092873,GOV6VT3R,92.27
2022,GOV97400072,GOV7FX69,31366,529552361,74104,464776,4619348,70266551,7479051,29135300,2979165,783180599,599966888,val_974e_00072,val_974e_00072,429393553,6280755,GOVCTCQG,51.87
2013,GOV97400073,GOVDWTVC,9950584,67639,3327914,510286,815557103,72335,77138775,2481385,18386778,54778,1395545,val_974e_00073,val_974e_00073,63366691,25184283,GOVDKSVO,35.2
2012,GOV97400074,GOVCVEI7,66584658,79352755,30345,757646,504960060,73764,7439061,17363,47713822,393664,42740315,val_974e_00074,val_974e_00074,366521,42536,GOVW9UN8,59.61
2019,GOV97400075,GOVR28JC,699224,3739754,3768946,32810293,59446030,37764,57110043,26554,669429912,4252313,348558532,val_974e_00075,val_974e_00075,726250547,371908221,GOVV03AO,4.2
2020,GOV97400076,GOVVX750,7173517,728359,29609560,58752227,42767860,40471836,452797,7860920,352329693,41717,403969,val_974e_00076,val_974e_00076,748832,71052718,GOVMXJ11,22.44
2018,GOV97400077,GOVUZ33Q,77672,5495012,725291,29395,417044231,426649,376247334,53704452,53851,3819640,538487,val_974e_00077,val_974e_00077,38114,34835212,GOVZ1JZ3,90.32
2014,GOV97400078,GOV4CEAV,34660256,611475,538648063,65430999,38867571,34032609,747442,31879,769448,224552242,42266693,val_974e_00078,val_974e_00078,57379,35997802,GOVMORQH,24.64
2011,GOV97400079,GOVYBCZL,656230,49871,62620168,73663721,301264167,588445320,67069,25184,18621,580320,419441840,val_974e_00079,val_974e_00079,647285222,329509,GOVM8WOK,76.96
2011,GOV97400080,GOVIMC4E,46236,51065481,419767210,753820,27338,7986245,60584838,5871143,81267378,171889149,56469,val_974e_00080,val_974e_00080,139418,50787,GOVNE6OV,61.66
2019,GOV97400081,GOV8R82V,820418900,50489358,23668,49473497,4698853,78960,1230806,589940,66580,530992602,62103847,val_974e_00081,val_974e_00081,580383,5056653,GOV3L5MI,94.92
2020,GOV97400082,GOVMUJFR,5656674,3717748,5848472,4505303,33056,809936,48233,212774,4412776,3907974,85262,val_974e_00082,val_974e_00082,70388937,162132627,GOV7T15V,75.56
2025,GOV97400083,GOVOVDVR,37131180,5998221,8293177,24555,774435,242178205,3437876,460553,415199958,69280,76740318,val_974e_00083,val_974e_00083,730227355,45345,GOVID69K,97.2
2024,GOV97400084,GOVAE8J3,432344638,50085483,53805084,61547178,30981,5579505,2579312,263918530,154085,51719846,4612039,val_974e_00084,val_974e_00084,550474933,2730816,GOV714T0,13.11
2017,GOV97400085,GOVSR66D,54522869,63003,372551476,514091088,561820,36017695,575032739,53007184,47330925,8824210,6715546,val_974e_00085,val_974e_00085,533494,5788131,GOVJBXI1,15.49
2017,GOV97400086,GOVKOK0W,607968904,4377207,39845169,801427,441986,50933490,594215,536152,745664,585442,739521,val_974e_00086,val_974e_00086,33234,5483557,GOVC541A,96.11
2020,GOV97400087,GOV3KDNM,5572076,7025651,35979,3721730,820887,3651719,70544,56071980,697813,85269,7649679,val_974e_00087,val_974e_00087,482728149,4850418,GOVXECQS,77.76
2021,GOV97400088,GOV9MQ7X,63329,4825428,510360,55229892,235232,175907142,55448438,402039836,56248339,22106903,27777,val_974e_00088,val_974e_00088,27911,206093,GOVT0LZV,79.68
2018,GOV97400089,GOVOP5TO,509881345,9931072,489596669,62467093,48320,606078,24950,704409,1930925,58329,529002,val_974e_00089,val_974e_00089,70387868,55311382,GOVOPTTA,67.56
2024,GOV97400090,GOV6MU41,472525,458054160,79740,321920498,5715548,376524817,5454636,60681835,18801,56715724,542740,val_974e_00090,val_974e_00090,2236689,33205,GOVPVMTB,67.33
2013,GOV97400091,GOVI9AYR,67537,7273860,24107,343685526,615859590,57041721,2423142,12001080,3110794,83821210,248642,val_974e_00091,val_974e_00091,14352151,22550219,GOVJREVW,59.63
2024,GOV97400092,GOVJGVQG,31884,252813,3935444,82126370,8300667,960503,462832,28163,16947280,750735406,391324,val_974e_00092,val_974e_00092,33535781,497158007,GOVAEGF2,10.31
2017,GOV97400093,GOVJB3MR,384005,64625,61453723,622910,4070252,650553688,56370,518135079,40194489,63296,36652,val_974e_00093,val_974e_00093,5233499,402390,GOV9KNBC,37.33
2015,GOV97400094,GOV9NHJR,67399,305415,55197725,507529,792083337,623049150,60729,5862229,584190,558658929,49150505,val_974e_00094,val_974e_00094,75663,4534225,GOVHT3BP,60.57
2022,GOV97400095,GOVZRY2W,465053605,32590,38338,58698266,65818,38236,492334543,61482,830030638,151756,43459,val_974e_00095,val_974e_00095,8422,74292,GOVBZLM4,53.41
2011,GOV97400096,GOVT6KM9,587102965,584769,40834,4134853,53982,77370654,52709,4438175,38710,5420987,2227784,val_974e_00096,val_974e_00096,56716037,64778,GOVB5DIC,62.89
2017,GOV97400097,GOVEY8LM,792159,59526881,74895304,71924266,29815189,655477175,6406393,630312302,6899703,5176159,561725740,val_974e_00097,val_974e_00097,348349,477647138,GOV40S96,87.35
2022,GOV97400098,GOVMSPKH,339400,448224961,33344,897393,834015777,43530,5467559,6982684,44637397,2719621,301357362,val_974e_00098,val_974e_00098,523685,9066243,GOVTVUC6,97.81
2024,GOV97400099,GOVBNCON,4791102,5536292,101767,905359,512205,3776487,80073015,388351595,499453443,61117,133987,val_974e_00099,val_974e_00099,6092962,79459,GOVJMDAY,17.48
2025,GOV97400100,GOVN513U,48546995,22612,669233195,72063,7317476,832710,46458505,330533642,55824840,56162,142832912,val_974e_00100,val_974e_00100,453086,763002,GOVI49ZO,27.42
2016,GOV97400101,GOVOD2UB,10929231,500027439,46695,368882,418793671,53334,81798186,42423044,56661,65904,3511928,val_974e_00101,val_974e_00101,778942,744450424,GOVQVWPO,18.73
2016,GOV97400102,GOVWDTUX,344876,12712897,4368411,56416,56058,352287,37717596,48681,79178,4670361,5006481,val_974e_00102,val_974e_00102,4922043,605096,GOV6DQB5,66.95
2019,GOV97400103,GOVX72Q5,6899957,886308,719333572,38170865,608196836,8858225,4998524,834508,977013027,6141424,357090,val_974e_00103,val_974e_00103,843597,28898,GOV5IOTS,35.89
2021,GOV97400104,GOV7IKZB,7006897,53137046,32656569,2286670,54999,512335,2553648,6044773,3121472,15695647,6055235,val_974e_00104,val_974e_00104,28176858,67452,GOVW1SEC,62.31
2017,GOV97400105,GOVKCHEW,874091,63276652,37448,444944395,704360399,85249550,44697,60922,653484,3924130,83270,val_974e_00105,val_974e_00105,57976795,929101301,GOVPEVJ4,75.32
2016,GOV97400106,GOV6E6PV,3284830,479081316,6554257,5991351,308534103,553335,56808146,59870,605283,39440,3093767,val_974e_00106,val_974e_00106,23680,24026801,GOVD479O,36.08
2010,GOV97400107,GOVXHI8G,46185,680324574,489926720,653442,21263,843279,5799436,771870,544108,43786713,740802,val_974e_00107,val_974e_00107,3667392,4667251,GOVQL5XP,2.74
2021,GOV97400108,GOVBRVKT,15324,4485433,427339,6172373,36885,46933,50444,3365759,305531067,23610158,635136,val_974e_00108,val_974e_00108,72866236,35169,GOVQ4SG6,72.48
2017,GOV97400109,GOVGKMXE,44483414,78616,421640133,4683743,52092590,60355,35457892,604827,4114504,38420,815835,val_974e_00109,val_974e_00109,71775953,49264768,GOVBVK6N,34.08
2025,GOV97400110,GOVVB3M8,769197,738550,505521025,368410,62307,92763,487458,52849872,565797,4919294,257334,val_974e_00110,val_974e_00110,46646738,610124,GOV4P8EB,33.1
2018,GOV97400111,GOVCI98J,6549330,54225,60804,18462200,6056731,724069,89816724,68757106,599306417,5173541,728242378,val_974e_00111,val_974e_00111,85376648,13228,GOV44NVH,43.05
2025,GOV97400112,GOVYMVK8,28127554,6509984,3252398,2392603,426413,506820,389381893,2865130,6440682,34699,239524,val_974e_00112,val_974e_00112,9478281,276878,GOVKQ5ZP,10.68
2010,GOV97400113,GOV91FR3,30942,30178762,530920961,323976,40266,799127233,335009,831535,65675432,76177,4136193,val_974e_00113,val_974e_00113,50717494,4389156,GOVC36T8,42.42
2016,GOV97400114,GOV8JV1N,87034502,590059,46727,70393458,7916684,71335,60716,75292010,74075,382651582,93112988,val_974e_00114,val_974e_00114,6406932,532221,GOVCD35Y,51.58
2012,GOV97400115,GOVK8IGO,566279,416003067,76280340,885258572,3458521,28499,823873821,600204,446549,387683313,30908247,val_974e_00115,val_974e_00115,559318465,22439,GOVQEZ7K,49.26
2015,GOV97400116,GOV0H7K6,297895,67988,488983,1778472,5029676,7492497,642792106,3739275,73665989,3409725,330648,val_974e_00116,val_974e_00116,5212345,1880000,GOVX12BD,21.7
2019,GOV97400117,GOV2F8DM,606372658,50426588,728167974,696530635,347931,44103,340664068,2871505,60608638,717308,38268384,val_974e_00117,val_974e_00117,44722848,288114,GOVVIMXV,70.42
2010,GOV97400118,GOVY3X8Q,67418112,5365327,51035,76198813,245705024,66612,695166002,462462,459476706,29444519,31815,val_974e_00118,val_974e_00118,562593,52594,GOVBJJTO,66.62
2017,GOV97400119,GOVJDMAS,499229,457326185,82627483,24323947,5110264,57053,33794310,8780440,7596475,73205,167557612,val_974e_00119,val_974e_00119,51001553,702142694,GOVUQ2NQ,61.95
2026,GOV97400120,GOV0QQ7W,468938,464513,224224371,333211,378364,2007,541739203,463175650,4729415,470162,66275,val_974e_00120,val_974e_00120,618718817,647298563,GOVPTLV2,52.93
2018,GOV97400121,GOVTAEI1,305716002,630727826,78729742,69212885,50945,74028394,558914,31492,14277576,654958,5396987,val_974e_00121,val_974e_00121,529815,65897,GOV0MFF2,20.08
2020,GOV97400122,GOVXZ4FT,35729,621762522,716584634,42728370,508348656,441808983,51002876,49665081,839984558,686790,72184,val_974e_00122,val_974e_00122,56800,34847,GOVVPLBC,7.79
2010,GOV97400123,GOVG9VBE,816049000,274792473,55981,506528384,463318,2235,6077077,17788108,58491229,5634777,32926802,val_974e_00123,val_974e_00123,564208,31629069,GOVHZKDX,51.3
2013,GOV97400124,GOVI98KN,60872,95519960,50365,664198858,48556,7892806,4864560,36452925,20333408,251972479,96953,val_974e_00124,val_974e_00124,5291848,666313,GOVPU42U,57.72
2010,GOV97400125,GOV33OUW,663129695,439598,5578877,37340,542583126,485758,22761719,293280148,30438220,434489,14720789,val_974e_00125,val_974e_00125,346670,77666192,GOV7D3OO,39.74
2014,GOV97400126,GOVVGTF6,57818777,197138,513288,68063,390762446,301075,5959996,64479879,864544,35685,2891746,val_974e_00126,val_974e_00126,217685,502321,GOV4291M,53.71
2019,GOV97400127,GOV7WCFC,240472545,178893,5392145,241444,7273829,28630774,46106,746192,56386845,51591555,56197700,val_974e_00127,val_974e_00127,62432155,577768047,GOV2HCJQ,17.33
2023,GOV97400128,GOV51V2V,6292667,18575,52930567,474471492,607174,314608173,51322,43302,5256024,691589,46559480,val_974e_00128,val_974e_00128,60693,376971956,GOVZ38M8,96.11
2025,GOV97400129,GOVJM0AW,73827185,47107,3431720,7719069,3630116,539074990,2419078,70803829,524652634,7249332,55552,val_974e_00129,val_974e_00129,52920404,30396706,GOVPTF7J,46.73
2025,GOV97400130,GOVVA5X2,52796201,355287,416316,504234550,445459,439195253,653897,315013343,625810369,471225203,4881466,val_974e_00130,val_974e_00130,67992,5878949,GOVH26KB,43.13
2011,GOV97400131,GOVF6C7U,29064056,36570048,15523,496474908,289163,675741648,3945213,681312,38826403,261052488,122386715,val_974e_00131,val_974e_00131,51380,427908,GOVR9BG7,44.43
2026,GOV97400132,GOVDBW4H,45365938,294224804,5949954,4862309,43889141,6360095,6675457,42062656,34908,27898,801066,val_974e_00132,val_974e_00132,701390,48153595,GOVMLLTK,91.06
2022,GOV97400133,GOVS3A3H,772308,263853894,42864,29280,501489236,56134566,587774,75765,4285518,60160,672,val_974e_00133,val_974e_00133,720636919,7643266,GOVX9UUF,91.97
2020,GOV97400134,GOVJWKSZ,248470581,38423994,443697789,62362,7647351,6997525,151429,30925,869218148,310218282,78771822,val_974e_00134,val_974e_00134,4086304,63945,GOVJDO4M,67.28
2024,GOV97400135,GOVYPKIJ,5052418,79089887,32629,5761381,40864,630256910,473152,7034368,33760,61884,53927,val_974e_00135,val_974e_00135,436873,15198,GOV2J458,32.44
2022,GOV97400136,GOV4N9QZ,317937913,36523,58322,77053,55503268,7587642,6988867,783903,51445730,56596,286228442,val_974e_00136,val_974e_00136,668530817,596815468,GOV3RG3M,24.84
2021,GOV97400137,GOVJ41LJ,41144938,2649008,3954656,6194604,6168113,47349,483136807,68117658,48519,350796,888187259,val_974e_00137,val_974e_00137,784530,43434,GOVK8OX3,96.67
2018,GOV97400138,GOVG89ZQ,553187100,317688473,483379558,431251736,311449286,510088,52811,4694982,466775,766685,434719,val_974e_00138,val_974e_00138,628952,4698097,GOVW693N,15.92
2017,GOV97400139,GOV82KHX,76947,58364031,61638362,301095940,51743,3319454,62677799,4896886,146054,7786952,517274847,val_974e_00139,val_974e_00139,9879992,89658885,GOVMKU8B,70.31
2014,GOV97400140,GOVGQMHE,438595058,60465,51479897,347199,24202701,491352,378748,11198831,35364823,767424257,6427744,val_974e_00140,val_974e_00140,589850,532382,GOVGKRQR,79.03
2013,GOV97400141,GOV1510J,59986,53689514,81419,709387560,5157082,7256770,725499291,541601,5450732,19593,80158,val_974e_00141,val_974e_00141,5742157,69296706,GOVJ658R,49.56
