labor_indmix_establishment_year,labor_indmix_county_business_pattern_code,labor_indmix_industry_naics_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2017,CBP100015,3371,20_49,66680,60682,878530545,3009181032,492.43,11570,8399,16.55,1610,543,55.96,64.56,5.84,21.91,SUBURBAN,0
2013,CBP100016,3361,10_19,26948,26838,451660514,1585844799,918.27,11766,10120,19.36,1014,383,66.73,16.66,70.43,15.35,RURAL,0
2019,CBP100017,3131,250_499,22728,23606,300875750,1234361616,2365.65,10094,5054,41.88,1730,564,53.88,32.02,56.23,5.34,SMALL_TOWN,0
2024,CBP100018,6111,20_49,31174,31304,536909499,1909488114,2210.74,4750,6845,36.55,173,724,39.39,37.83,2.98,24.92,RURAL,0
2025,CBP100019,5171,1000_PLUS,30961,32705,336237149,1198515025,1932.09,9215,1747,48.08,1334,143,83.4,4.37,44.8,4.72,SMALL_TOWN,0
2017,CBP100020,4451,500_999,6038,5844,72634590,291197992,2422.62,2094,2530,1.47,1079,529,12.14,7.89,62.29,5.72,URBAN_CORE,0
2014,CBP100021,7221,50_99,4979,4730,95183606,363719117,1354.05,6705,7887,34.91,639,1210,15.92,20.51,16.5,0.64,SUBURBAN,0
2025,CBP100022,1121,1_4,28831,28096,190716749,795300428,1610.96,10434,4506,18.61,1531,1497,5.86,49.65,31.22,14.23,RURAL,0
2017,CBP100023,6231,100_249,7758,8074,99368974,402003089,2144.11,10937,8905,5.4,36,946,39.13,13.56,8.9,32.53,SMALL_TOWN,0
2010,CBP100024,3371,100_249,34700,30400,403052198,1444467585,2375.71,6939,3858,4.67,1226,525,15.93,38.19,43.61,4.39,RURAL,0
2022,CBP100025,8111,500_999,51097,46103,790574584,2830343781,1948.72,60,9440,21.4,540,563,33.8,23.03,54.35,0.04,RURAL,0
2023,CBP100026,4451,5_9,70388,77136,929590822,3792214492,2327.94,3548,4610,41.62,321,1738,17.93,10.3,9.3,14.72,SUBURBAN,0
2010,CBP100027,5241,1_4,61523,53345,721326042,2470969713,2286.87,1804,9789,27.79,1097,1510,45.01,12.01,49.43,6.24,SMALL_TOWN,0
2012,CBP100028,2211,10_19,10105,11171,160965473,654938703,1127.31,6268,3954,9.72,399,62,40.14,26.3,58.94,31.71,SUBURBAN,0
2019,CBP100029,4451,50_99,64330,59413,1203167906,4609140527,1413.9,5041,2285,21.06,673,892,70.01,8.97,16.87,26.47,URBAN_CORE,0
2020,CBP100030,5171,100_249,51082,54467,780878731,2961889887,2065.35,11614,8719,54.61,1045,1329,4.94,13.59,51.51,20.81,SMALL_TOWN,0
2010,CBP100031,3261,10_19,41724,38874,241810468,1001850081,1471.27,2729,11403,14.44,667,341,4.17,54.72,74.12,33.82,SUBURBAN,0
2022,CBP100032,5311,1000_PLUS,15836,14300,295277251,1197682217,1296.31,1178,8521,28.21,1508,1361,3.11,6.75,51.29,10.6,RURAL,0
2012,CBP100033,3221,5_9,50405,50201,787449582,3057456214,1199.32,324,7828,43.53,1426,1293,74.35,10.51,10.98,32.1,SMALL_TOWN,0
2015,CBP100034,3141,1000_PLUS,62880,54518,757857264,2948673315,2121.18,9366,11408,37.68,1432,1324,61.54,0.92,59.84,13.96,URBAN_CORE,0
2023,CBP100035,2381,5_9,35227,34381,649821256,2586417134,1315.68,4077,8490,39.62,1796,1044,20.92,14.65,64.62,14.42,SMALL_TOWN,1
2011,CBP100036,5611,250_499,47884,48288,839914385,3248087577,1680.02,11872,1289,35.97,1503,242,2.86,33.33,28.15,20.88,SUBURBAN,0
2011,CBP100037,4231,20_49,15127,12879,288970106,1145697710,2507.99,3527,5994,34.61,1265,415,74.53,5.94,21.86,10.57,RURAL,0
2015,CBP100038,1112,100_249,51559,55437,825507264,3318254689,1869.85,3034,2532,8.88,619,1702,83.74,12.57,66.8,32.99,SMALL_TOWN,0
2020,CBP100039,4411,50_99,69690,64272,1245199228,4836121645,1981.79,5632,7305,41.99,344,1076,56.72,17.56,9.41,1.57,SMALL_TOWN,1
2021,CBP100040,6211,10_19,9963,11070,83003568,331919361,1926.61,11741,7161,3.91,1730,29,40.07,30.4,61.07,14.28,URBAN_CORE,0
2015,CBP100041,3361,50_99,72980,63628,765404568,2848569855,1687.12,5963,3800,1.96,1481,662,25.26,41.61,36.01,10.36,SUBURBAN,0
2011,CBP100042,3261,1000_PLUS,56170,53612,958793790,3726364813,1393.13,8722,8388,13.79,24,207,9.3,31.42,36.05,34.08,RURAL,0
2018,CBP100043,3361,5_9,27228,29408,291965247,1013149786,2201.96,11430,2569,3.19,1748,807,30.61,64.16,17.94,5.45,RURAL,0
2025,CBP100044,3341,1000_PLUS,30885,29885,562753610,1985152169,601.92,4370,1627,20.53,1250,828,70.55,37.81,30.44,23.33,URBAN_CORE,0
2014,CBP100045,6231,500_999,62020,61456,1153215987,3941770636,1680.06,745,7088,45.56,815,1344,78.42,5.87,33.6,1.67,RURAL,0
2015,CBP100046,1111,1000_PLUS,46758,48059,399386172,1510230963,1857.48,9207,7528,37.11,377,520,24.87,56.57,60.42,25.77,URBAN_CORE,0
2019,CBP100047,1121,100_249,19991,22122,449708675,1758675405,2389.13,5322,10701,39.68,385,815,54.17,12.36,60.45,17.06,SMALL_TOWN,0
2025,CBP100048,2111,20_49,55407,57049,1151011632,4401290950,1354.2,1771,3819,8.49,740,1114,77.74,27.36,12.69,32.14,SMALL_TOWN,0
2011,CBP100049,6111,10_19,46195,51313,564524087,2220148139,1582.39,10234,8526,4.53,445,987,62.57,25.24,24.53,10.3,SMALL_TOWN,0
2020,CBP100050,3261,500_999,72929,62792,413154269,1594506266,1351.28,10886,11659,51.04,550,1315,10.85,10.27,2.91,16.98,SMALL_TOWN,0
2015,CBP100051,3321,10_19,10381,11295,84309777,299542446,2435.33,217,3993,47.93,1579,1228,62.85,21.54,33.82,19.58,SUBURBAN,0
2017,CBP100052,3141,1_4,52157,50490,1165092477,4107546395,638.54,6811,6551,8.07,1133,1027,35.52,35.15,32.4,2.99,URBAN_CORE,0
2025,CBP100053,1121,20_49,26,26,442554,1697951,2201.89,11669,10689,53.28,595,1565,8.27,30.69,35.98,2.87,SMALL_TOWN,0
2012,CBP100054,9211,250_499,68257,65535,1057327539,4432641056,1741.78,8317,8339,5.96,658,1616,37.1,17.94,44.6,32.1,SUBURBAN,0
2023,CBP100055,3231,5_9,64773,55126,1114291957,3938582041,892.32,7831,10939,50.36,402,543,34.12,58.35,24.88,9.19,SUBURBAN,0
2015,CBP100056,3351,250_499,61215,68261,1413710205,5925876119,501.94,11598,6864,47.06,1351,249,66.02,49.64,16.16,17.43,RURAL,1
2011,CBP100057,1111,1000_PLUS,42519,40262,506415076,1979560032,1008.67,4899,5061,1.41,1567,1027,23.87,30.85,34.73,0.4,RURAL,0
2024,CBP100058,3141,1_4,51422,44070,823095814,3264208995,853.62,7384,8329,27.86,877,588,54.69,55.37,6.1,19.81,RURAL,0
2022,CBP100059,4241,20_49,42685,47321,967721466,3589323488,1094.06,11999,3201,53.38,1244,979,54.94,50.01,50.25,24.14,URBAN_CORE,0
2023,CBP100060,3121,50_99,70227,72508,667290987,2650875565,1222.47,9837,11047,7.15,678,1514,41.19,51.59,60.6,6.3,SUBURBAN,0
2017,CBP100061,3241,500_999,6860,6281,124163746,450645346,2296.7,4146,3262,9.33,331,1496,57.82,22.85,47.12,33.86,SMALL_TOWN,0
2012,CBP100062,4451,1000_PLUS,21709,22434,523269308,2034962395,1312.21,805,2818,10.46,77,1234,71.19,30.02,25.68,29.62,URBAN_CORE,0
2018,CBP100063,3221,50_99,5581,5610,56205115,207051108,1374.98,5489,4848,2.29,197,1756,24.41,4.5,41.58,22.68,SMALL_TOWN,0
2010,CBP100064,9211,1000_PLUS,39327,40312,283410296,976062500,736.04,5303,8301,12.64,498,8,62.45,27.18,53.2,28.98,SUBURBAN,0
2012,CBP100065,3341,10_19,17172,17122,309613629,1182019563,1270.71,6873,5815,37.53,1637,1391,76.13,17.87,59.21,26.68,URBAN_CORE,0
2017,CBP100066,3311,10_19,54976,52419,868739478,3588908120,1485.72,1343,7218,41.14,821,1588,78.8,32.37,48.83,13.94,URBAN_CORE,0
2019,CBP100067,3241,50_99,27941,23815,357344380,1217694319,1419.57,8228,6656,39.86,1541,1127,13.66,9.28,47.08,31.15,URBAN_CORE,0
2023,CBP100068,3261,20_49,39090,40284,428008776,1760672723,1124.42,2708,3631,4.94,1665,1095,73.83,21.15,23.47,8.0,SUBURBAN,0
2024,CBP100069,2381,5_9,7059,6297,124533562,458053975,1158.48,8082,10031,34.94,248,187,9.05,3.19,46.54,19.36,RURAL,0
2019,CBP100070,4811,500_999,26088,27288,644550082,2644617153,462.58,8129,10770,30.11,811,1756,78.68,28.01,20.62,29.33,URBAN_CORE,0
2020,CBP100071,3241,10_19,63664,60553,1010716879,3949893050,703.06,7450,7419,24.57,1279,1610,29.39,14.2,7.56,18.56,SMALL_TOWN,0
2011,CBP100072,5181,20_49,47407,42543,546588425,1956156562,1321.25,3307,8277,11.12,475,992,1.54,55.31,33.45,28.53,URBAN_CORE,0
2019,CBP100073,5241,1000_PLUS,14128,14579,177009690,681869017,1083.23,984,157,27.12,285,626,15.02,11.06,59.92,11.58,URBAN_CORE,0
2022,CBP100074,1121,1_4,35949,32685,551394045,1882270377,1987.84,1431,4317,51.79,909,1245,19.87,5.74,42.78,28.7,RURAL,0
2015,CBP100075,5411,250_499,6172,6652,49579624,195186670,892.23,8057,8695,31.64,1544,1090,56.21,22.22,25.33,6.2,SUBURBAN,0
2018,CBP100076,3371,10_19,57435,63614,624471365,2271357378,2033.87,7499,6169,27.79,897,200,54.38,18.61,69.47,16.61,RURAL,0
2013,CBP100077,5411,250_499,68946,63354,487654337,2020912253,1715.8,6262,4803,47.52,479,1349,26.22,64.36,8.54,2.67,SMALL_TOWN,1
2018,CBP100078,3121,5_9,31730,34645,767143132,3084753166,1379.47,7998,9638,29.4,144,1054,58.88,52.28,30.09,19.5,RURAL,0
2017,CBP100079,3221,50_99,25593,26398,413129008,1679734783,1594.52,4034,8003,1.12,504,686,45.68,14.13,13.14,29.03,RURAL,0
2017,CBP100080,4921,250_499,21050,19283,147867259,615596548,2114.21,11881,6706,16.74,292,224,76.6,33.03,29.73,24.07,RURAL,0
2017,CBP100081,6231,100_249,15919,16645,140613918,517385425,493.5,8539,6865,0.14,1700,473,29.51,48.29,36.75,14.42,SMALL_TOWN,0
2018,CBP100082,8111,1_4,19232,19223,249582275,852427079,2269.49,9954,969,0.85,82,1178,1.5,7.98,73.23,17.89,URBAN_CORE,0
2019,CBP100083,5311,50_99,32733,36465,283216907,1093994062,2415.09,10640,7347,45.39,361,954,32.24,18.62,24.13,10.92,SUBURBAN,0
2014,CBP100084,3121,1000_PLUS,13561,12419,94450606,350858485,2045.66,4283,3477,19.06,1604,345,19.38,19.97,10.22,15.38,SMALL_TOWN,0
2021,CBP100085,6231,100_249,5383,4835,46165960,160388643,678.0,1523,9063,39.13,1759,1033,35.56,48.09,36.25,32.4,SUBURBAN,0
2012,CBP100086,6231,500_999,60888,57247,1352277100,5262356481,2164.0,11991,6198,6.13,307,1220,28.84,16.51,47.5,20.29,URBAN_CORE,0
2011,CBP100087,3221,100_249,36777,34902,742439352,3029151982,2565.26,9186,6875,27.7,1116,1033,38.19,55.19,38.05,30.68,SMALL_TOWN,0
2010,CBP100088,8111,1_4,49048,52185,645882605,2606972558,2471.53,324,8861,17.66,455,1133,65.44,27.35,57.14,2.59,RURAL,0
2022,CBP100089,3391,5_9,1649,1438,15598294,56596630,983.56,3260,4492,37.64,1607,145,44.15,15.31,31.63,27.15,SMALL_TOWN,0
2020,CBP100090,4841,5_9,25244,22216,348467811,1394840425,1472.96,3930,1943,42.71,1371,1299,62.03,34.47,46.23,25.05,SUBURBAN,0
2013,CBP100091,1111,100_249,39676,38507,713786071,2940236825,807.84,8453,8743,16.31,452,302,65.04,25.28,28.78,25.39,URBAN_CORE,0
2018,CBP100092,5221,50_99,14943,13440,199557829,691867522,937.13,9353,8739,26.39,767,436,18.31,38.17,2.75,3.77,RURAL,0
2023,CBP100093,2381,50_99,3850,4290,88889271,352372607,1721.38,2818,7418,20.0,1380,316,48.17,4.78,62.64,10.11,URBAN_CORE,0
2019,CBP100094,6111,10_19,55945,59664,1165786877,4435057999,1936.64,5825,10276,47.88,1717,1056,5.85,13.78,37.13,20.51,RURAL,0
2023,CBP100095,3321,100_249,68084,72269,1618514322,5922878174,1240.67,11393,297,41.27,1689,752,15.89,58.93,67.92,27.45,RURAL,0
2020,CBP100096,3151,20_49,70127,73329,1015113496,4126040658,1866.23,11573,1267,6.24,1231,371,31.07,6.04,58.41,16.34,RURAL,0
2021,CBP100097,5171,100_249,32706,35119,461052088,1813175610,2057.56,11771,9907,15.15,457,1392,64.31,35.18,29.82,18.09,SUBURBAN,0
2012,CBP100098,9211,500_999,29639,30017,695505868,2701360936,2027.63,5284,711,48.98,512,1336,72.62,59.19,19.63,16.86,RURAL,0
2013,CBP100099,3151,5_9,21080,18606,359337937,1428125902,1628.15,7435,2874,16.63,489,965,58.55,21.78,41.99,4.3,SMALL_TOWN,0
2016,CBP100100,5231,50_99,32717,34785,492160315,1738139010,1955.86,3682,828,29.8,668,1314,37.17,64.9,59.82,23.17,URBAN_CORE,0
2016,CBP100101,5111,100_249,72843,66445,417114368,1516735164,503.75,10111,3667,11.83,952,727,8.23,37.99,24.99,19.02,URBAN_CORE,0
2015,CBP100102,3351,1000_PLUS,32081,34540,428222959,1488887594,2449.64,7533,902,46.74,322,832,19.1,42.46,6.64,5.84,SUBURBAN,0
2020,CBP100103,6221,500_999,46687,40374,584436703,2299649699,1570.45,5960,7635,5.87,388,314,44.66,19.75,19.93,27.73,URBAN_CORE,0
2023,CBP100104,3261,500_999,59569,61058,1348595451,4974492701,2021.13,1114,9322,25.73,996,1671,66.57,55.8,35.09,25.22,URBAN_CORE,0
2013,CBP100105,2381,5_9,67777,60659,1370964258,4812774751,921.56,6699,6664,52.02,139,259,40.81,9.73,47.36,23.12,RURAL,0
2025,CBP100106,4411,250_499,49906,54583,1019557973,4055733581,551.13,4626,4539,0.77,527,612,55.23,17.74,63.69,1.36,URBAN_CORE,0
2011,CBP100107,3321,5_9,41391,36672,400146823,1542483513,1021.53,5156,6639,44.27,1456,410,74.46,60.52,29.35,12.89,URBAN_CORE,0
2022,CBP100108,5611,250_499,72608,77455,1638723419,5861201232,2564.13,826,4006,36.49,11,1101,40.24,13.49,29.65,20.63,SMALL_TOWN,0
2023,CBP100109,5231,5_9,57780,57860,1062805154,4137731804,2291.57,8369,3798,51.79,1000,678,21.83,35.02,20.14,15.04,URBAN_CORE,0
2024,CBP100110,6111,10_19,52199,51145,601716924,2247740955,2423.61,10884,3311,9.99,952,367,47.26,1.93,9.8,0.36,URBAN_CORE,0
2011,CBP100111,7221,250_499,18713,19442,256031486,1042485806,2085.36,3366,7033,11.23,1100,1303,63.25,63.92,1.58,14.77,RURAL,0
2025,CBP100112,3391,1_4,74142,77428,1441365287,4948832270,2410.25,9195,9627,11.57,1002,545,6.62,50.18,63.86,4.05,SUBURBAN,0
2024,CBP100113,3151,20_49,73054,70608,1278649065,5244313897,956.96,8732,2939,17.44,633,189,29.38,48.57,37.79,3.84,RURAL,0
2018,CBP100114,3231,250_499,24249,22119,434845284,1603294427,913.25,3741,11445,10.85,1196,875,59.76,32.17,51.18,15.03,RURAL,0
2021,CBP100115,1111,100_249,65457,58165,1189311536,4193961331,2397.35,3192,7742,21.38,1609,1356,24.06,3.85,60.15,0.31,URBAN_CORE,0
2024,CBP100116,1112,20_49,69855,61638,862323691,3437738902,1360.84,2075,11880,43.61,242,848,52.86,50.14,12.36,25.48,SMALL_TOWN,0
2015,CBP100117,6111,10_19,29767,29193,430678736,1785413430,2262.06,2200,5003,41.5,844,1682,19.22,50.38,52.77,0.96,SMALL_TOWN,0
2014,CBP100118,5221,1_4,36982,35451,803720258,3045324611,1358.05,10561,10518,30.61,1137,746,36.11,14.16,9.84,3.95,URBAN_CORE,0
2020,CBP100119,8111,50_99,51350,44955,528025253,1796430186,2380.83,798,2203,4.42,1758,831,27.7,12.4,25.24,6.58,URBAN_CORE,0
2013,CBP100120,4231,50_99,62380,66793,1006336194,4041527985,667.22,10064,2031,20.06,777,1069,65.82,27.92,55.66,9.54,RURAL,0
2013,CBP100121,3351,10_19,4337,4699,100416006,400452625,1284.04,8770,2858,32.01,1484,1023,18.74,59.45,16.13,13.44,URBAN_CORE,1
2021,CBP100122,3361,5_9,42087,38125,746437287,3031803139,805.91,5046,4475,20.04,1003,1551,5.32,19.83,22.55,15.98,SMALL_TOWN,0
2020,CBP100123,3241,250_499,65009,69713,686617318,2858755280,1132.08,10379,5109,22.83,507,890,15.79,64.48,37.79,17.46,RURAL,0
2015,CBP100124,2381,10_19,51127,47331,1104234121,3876010443,2111.53,6041,11986,17.88,674,1680,11.07,42.98,62.45,19.66,URBAN_CORE,1
2021,CBP100125,3311,10_19,4121,4361,103659509,378270828,2035.72,9131,2595,48.34,1461,260,24.73,23.24,20.29,31.21,SUBURBAN,0
2012,CBP100126,3141,10_19,30973,32072,573135195,2172957686,902.17,5957,2495,16.7,232,1617,58.67,26.44,67.88,33.33,RURAL,0
2025,CBP100127,3241,10_19,1337,1377,27903975,116019228,818.07,5330,9748,39.71,756,472,40.84,14.93,73.89,8.9,SUBURBAN,0
2011,CBP100128,3321,1_4,55443,55827,992065773,3635050347,2333.55,7836,7865,40.97,1109,413,47.57,17.48,8.4,20.21,RURAL,0
2012,CBP100129,3271,250_499,56170,54519,882620002,3256491223,1672.1,4038,7868,8.81,958,314,57.83,59.73,5.73,22.27,RURAL,0
2022,CBP100130,3391,250_499,73317,67118,1464784202,5191632277,1034.11,3150,3332,31.48,967,1012,41.93,19.06,71.11,26.0,SMALL_TOWN,0
2021,CBP100131,3231,50_99,55205,52760,589348648,2099028913,1017.4,4454,4490,17.29,43,457,12.44,49.39,28.51,32.26,RURAL,0
2023,CBP100132,3321,250_499,8991,9075,214103650,824573825,699.5,6279,10495,33.7,777,1238,64.28,59.33,71.59,0.31,RURAL,0
2017,CBP100133,3251,100_249,42350,41176,455997681,1680179270,2072.77,9596,4824,11.98,32,1481,20.17,9.21,7.35,23.97,URBAN_CORE,0
2014,CBP100134,3241,5_9,55866,51274,348478335,1268331199,1215.39,10392,2204,4.19,1645,789,7.26,22.05,25.69,27.18,SMALL_TOWN,0
2017,CBP100135,3261,20_49,58621,56727,467493836,1594921305,1689.84,5087,3874,39.13,990,198,31.53,3.79,23.56,5.63,URBAN_CORE,0
2021,CBP100136,4841,1_4,39726,35237,294058746,1131419787,555.98,8006,3505,50.29,1654,1231,20.53,52.29,47.41,7.07,RURAL,0
2021,CBP100137,4521,500_999,16384,15102,340489129,1203319454,641.71,10793,2562,43.91,273,954,34.82,34.08,47.38,14.72,SUBURBAN,0
2019,CBP100138,9211,250_499,41242,42738,934531698,3610316551,1260.28,3194,11357,5.92,1490,1409,5.73,45.13,7.36,19.52,SUBURBAN,0
2010,CBP100139,1111,5_9,57963,52326,859867733,3106863996,731.96,5115,9052,13.77,201,1493,29.52,52.59,12.45,2.82,URBAN_CORE,0
2014,CBP100140,5221,5_9,18149,16821,124126812,451174503,633.85,7888,11177,13.91,200,23,48.68,25.78,66.28,33.33,RURAL,0
2025,CBP100141,4241,20_49,36855,32646,626901464,2237645958,1758.4,6142,6189,20.17,572,404,45.85,30.65,28.95,22.82,RURAL,0
2023,CBP100142,4451,1_4,49126,53900,1121218903,4146357578,1589.28,2311,4053,38.59,1452,242,79.1,34.08,9.69,14.06,RURAL,0
2022,CBP100143,4241,100_249,49864,44927,413501776,1562388687,2031.52,2875,5534,28.35,1168,545,13.55,25.83,65.22,18.99,URBAN_CORE,0
2021,CBP100144,4921,100_249,15797,16732,397861930,1650579755,2030.45,8100,2770,25.64,599,529,0.31,46.83,70.99,7.89,URBAN_CORE,0
2025,CBP100145,5221,20_49,71268,61890,1455874785,5024030160,1243.22,11788,8044,42.72,1587,448,48.45,8.83,44.18,34.52,RURAL,0
2022,CBP100146,7221,1000_PLUS,41086,42541,351085885,1197602533,1223.64,5402,9913,4.57,1583,1201,64.89,23.19,18.94,25.65,SUBURBAN,0
2025,CBP100147,5191,100_249,54816,48805,757791367,3117366554,1227.94,2125,8444,27.02,263,1215,26.35,4.48,11.57,30.53,SUBURBAN,0
2018,CBP100148,3231,50_99,16798,16025,162332679,559703144,2389.92,201,11987,0.25,1109,1077,74.37,50.29,4.56,32.58,SMALL_TOWN,0
2016,CBP100149,9211,50_99,15794,16973,389527196,1511120112,1907.38,2676,9337,11.0,480,1287,56.28,23.91,7.62,27.91,RURAL,0
2020,CBP100150,3131,20_49,26850,27547,230145935,860007455,826.44,464,1042,5.78,1093,773,16.27,6.52,14.31,24.47,SUBURBAN,0
2020,CBP100151,3241,50_99,28380,31004,238743260,980317170,1949.02,4586,7840,51.88,300,150,9.62,28.04,22.74,19.04,URBAN_CORE,0
2017,CBP100152,4811,50_99,35677,37228,623574942,2172945432,589.61,306,11415,12.23,88,560,34.19,7.56,71.7,11.61,URBAN_CORE,0
2011,CBP100153,3271,250_499,44919,38498,677953135,2845461871,901.28,1760,9121,2.99,1175,828,19.25,50.98,5.8,21.92,SMALL_TOWN,0
2017,CBP100154,2371,20_49,8975,8331,75096488,274100735,680.08,2033,1131,6.68,387,1284,81.85,16.97,55.33,28.1,SUBURBAN,0
2015,CBP100155,3271,50_99,49267,55114,1302703705,5144688945,2427.96,10147,4715,5.21,955,177,12.89,32.44,15.44,10.32,SUBURBAN,0
2015,CBP100156,3331,100_249,52213,45917,963666405,3575419422,1349.71,11666,6487,48.82,1502,169,66.92,24.16,3.09,25.78,SUBURBAN,0
2024,CBP100157,4811,20_49,52909,54559,1224878554,5009485121,2131.21,8803,85,14.32,922,468,55.87,61.84,58.65,8.96,SMALL_TOWN,0
2010,CBP100158,4411,250_499,42366,43573,345939433,1253016071,2246.76,11591,4373,27.82,1540,16,67.33,12.46,59.78,1.22,RURAL,1
2024,CBP100159,4231,1_4,31519,27101,196434139,756409859,778.59,9801,8101,26.7,313,1656,55.03,19.22,18.73,15.07,SUBURBAN,0
2023,CBP100160,2361,1_4,12810,11922,131739227,546735133,1230.22,11558,6452,27.72,2,326,22.92,60.27,62.63,17.25,SUBURBAN,0
2010,CBP100161,4921,250_499,10275,8763,64219069,220507805,652.02,3945,4691,19.51,1388,998,59.57,0.82,42.54,33.47,SUBURBAN,0
2010,CBP100162,4411,1_4,50927,54067,1231023643,4383589545,2445.46,3818,7457,5.71,1589,637,54.61,15.77,50.48,2.66,SMALL_TOWN,0
2016,CBP100163,3141,500_999,14526,12922,267288964,960484299,2365.87,3604,593,20.0,1785,696,81.03,53.52,46.11,22.84,SUBURBAN,0
2023,CBP100164,5231,250_499,72196,62336,1467651283,5459867309,1481.64,1911,2872,12.18,532,892,62.26,38.83,18.52,9.14,RURAL,0
2012,CBP100165,3371,500_999,34943,34024,769541628,3115528171,949.51,8456,7264,20.96,195,443,65.94,4.16,30.49,16.31,RURAL,0
2019,CBP100166,3121,1000_PLUS,46490,42832,567672026,2008575102,1650.82,4009,11221,34.41,1679,538,73.55,6.49,36.48,20.79,RURAL,0
2013,CBP100167,5311,1_4,37637,33023,400086373,1469246211,1006.01,1977,2706,4.41,204,1435,43.62,39.85,41.05,32.22,RURAL,0
2018,CBP100168,4841,100_249,70662,71968,1380651820,5722238246,541.37,6401,7249,32.62,127,638,74.85,57.92,61.37,1.39,SMALL_TOWN,0
2020,CBP100169,3231,100_249,15123,15600,261548800,1009172398,758.08,4940,11217,36.7,1676,716,0.95,31.22,29.27,16.99,URBAN_CORE,0
2011,CBP100170,3241,1_4,4349,3939,77550255,295257103,887.74,1698,7954,25.45,1207,78,61.19,20.51,48.56,4.35,RURAL,0
2025,CBP100171,7221,50_99,36242,31253,615637960,2485626779,2511.65,9227,2591,23.67,1605,523,37.71,18.73,2.05,22.98,URBAN_CORE,0
2014,CBP100172,3241,10_19,3284,3012,36301444,141730006,660.7,5820,6615,36.58,848,1413,8.36,59.74,39.79,33.84,SMALL_TOWN,1
2014,CBP100173,2361,20_49,11166,9540,222128049,930910870,1032.63,11001,11853,35.28,746,847,65.22,57.82,47.37,28.69,SMALL_TOWN,0
2013,CBP100174,3341,50_99,61521,60279,390356167,1595139718,1484.49,1791,4573,21.96,1341,701,79.63,4.0,48.99,10.91,RURAL,0
