health_dispar_analysis_year,health_dispar_disparity_metric_code,health_dispar_group_a_definition,health_dispar_group_b_definition,health_dispar_rate_group_a,health_dispar_rate_group_b,health_dispar_absolute_gap,health_dispar_relative_gap_ratio,health_dispar_concentration_index,health_dispar_segregation_index,health_dispar_access_to_care_index,health_dispar_insurance_coverage_gap_pct,health_dispar_preventable_hospitalization_gap,health_dispar_environmental_exposure_gap,health_dispar_food_insecurity_gap_pct,health_dispar_transport_barrier_gap_pct,health_dispar_language_access_gap_pct,health_dispar_digital_access_gap_pct,health_dispar_policy_context_code,health_dispar_intervention_priority_score
2023,SCREEN_RATE,Women_vs_Men,Rural_vs_Urban,15.358,76.255,-60.897,0.201,0.729,88.65,10.69,-6.72,157.42,-43.92,-3.52,-26.88,8.88,35.92,Policy_B,37.03
2016,MORT_RATE,Rural_vs_Urban,Women_vs_Men,85.198,76.1,9.098,1.12,0.345,26.42,23.44,3.23,164.41,42.95,-15.8,3.03,2.21,-27.88,Policy_A,36.68
2016,MMR,Disability_vs_NoDisability,Lowest_Quintile_vs_Highest_Quintile,87.757,84.562,3.195,1.038,-0.075,40.97,16.44,11.76,-139.86,33.07,-18.33,27.76,-12.15,1.39,NoPolicy,36.7
2021,MMR,Disability_vs_NoDisability,Rural_vs_Urban,59.995,62.686,-2.691,0.957,-0.205,20.1,56.66,6.25,-234.46,-40.67,-5.77,25.99,-21.74,-12.73,Pilot,1.71
2016,SCREEN_RATE,MinorityLanguage_vs_Others,MinorityLanguage_vs_Others,64.915,1.104,63.811,58.8,-0.487,92.02,73.06,-17.48,437.55,40.66,-31.34,1.11,-19.07,-20.25,Mixed,93.01
2020,MMR,MinorityLanguage_vs_Others,Rural_vs_Urban,17.758,10.704,7.054,1.659,-0.153,32.05,24.98,-14.62,-400.28,-9.43,-34.39,-27.03,-16.51,39.75,Mixed,19.22
2021,MORT_RATE,Women_vs_Men,SCST_vs_Others,73.812,16.569,57.243,4.455,-0.695,69.22,79.2,21.86,270.94,-17.26,39.38,-10.55,-12.93,16.87,Mixed,39.97
2023,ACCESS_INDEX,SCST_vs_Others,Disability_vs_NoDisability,83.89,17.967,65.923,4.669,-0.965,93.88,65.18,-1.14,385.32,-38.31,-22.68,32.95,-28.46,-12.04,Policy_C,35.31
2023,HOSP_RATE,SCST_vs_Others,Women_vs_Men,52.276,12.153,40.123,4.301,-0.103,95.52,3.41,19.76,55.34,33.63,22.78,20.67,-18.66,35.41,NoPolicy,94.86
2015,IMR,Lowest_Quintile_vs_Highest_Quintile,MinorityLanguage_vs_Others,34.011,43.05,-9.039,0.79,0.431,74.49,25.87,16.94,233.19,46.51,29.55,18.54,30.01,-36.32,Policy_B,59.69
2016,MMR,Women_vs_Men,Lowest_Quintile_vs_Highest_Quintile,0.639,94.043,-93.404,0.007,-0.538,62.15,74.02,-8.42,-388.45,-20.92,3.18,-20.5,32.75,11.48,Pilot,5.71
2022,MORT_RATE,Lowest_Quintile_vs_Highest_Quintile,Lowest_Quintile_vs_Highest_Quintile,45.867,62.349,-16.482,0.736,0.772,10.19,99.73,8.88,-495.44,-30.18,13.84,-7.24,-1.67,6.49,Policy_B,47.89
2021,MORT_RATE,MinorityLanguage_vs_Others,Rural_vs_Urban,71.107,18.614,52.493,3.82,0.904,10.73,19.89,3.13,388.36,-32.24,9.34,27.66,-16.14,3.5,Mixed,50.72
2016,MORT_RATE,Rural_vs_Urban,Disability_vs_NoDisability,9.742,90.249,-80.507,0.108,0.8,30.92,10.6,-28.65,155.48,-3.2,-28.59,15.77,-19.63,15.66,Policy_C,81.26
2023,ACCESS_INDEX,Women_vs_Men,SCST_vs_Others,23.461,50.342,-26.881,0.466,-0.425,56.08,22.89,8.99,-186.58,-37.77,17.04,-10.58,21.78,-0.41,NoPolicy,11.75
2019,MMR,MinorityLanguage_vs_Others,Women_vs_Men,11.869,23.239,-11.37,0.511,-0.76,78.58,33.57,14.06,309.37,-21.78,-25.02,-27.67,-28.1,-36.67,Policy_B,91.33
2015,NCD_PREV,Disability_vs_NoDisability,SCST_vs_Others,69.333,84.736,-15.403,0.818,-0.771,46.61,36.31,-21.38,248.9,7.29,-1.25,-33.78,28.76,-6.62,Policy_C,5.51
2022,MMR,Disability_vs_NoDisability,Disability_vs_NoDisability,51.83,33.52,18.31,1.546,-0.982,21.85,69.43,4.81,-62.04,-4.24,-10.66,-20.07,-6.83,-10.18,Mixed,10.93
2020,VAX_COV,Lowest_Quintile_vs_Highest_Quintile,SCST_vs_Others,7.32,17.497,-10.177,0.418,0.338,5.99,0.68,15.09,-487.02,35.68,-36.01,4.32,-8.62,30.6,Policy_B,18.29
2018,ACCESS_INDEX,SCST_vs_Others,Rural_vs_Urban,34.728,34.605,0.123,1.004,0.046,95.6,37.9,-17.45,-122.15,39.47,-9.34,-27.0,32.97,-25.5,Policy_A,83.05
2015,MORT_RATE,Disability_vs_NoDisability,Rural_vs_Urban,42.2,4.744,37.456,8.895,0.249,7.14,21.47,-18.74,50.08,18.59,30.82,-8.56,13.57,18.17,Pilot,8.23
2017,MMR,Disability_vs_NoDisability,Women_vs_Men,8.442,78.877,-70.435,0.107,0.406,26.66,8.62,-15.71,50.9,-40.69,-5.55,-5.74,25.12,-30.89,Policy_C,28.75
2020,MMR,Women_vs_Men,Disability_vs_NoDisability,74.91,6.452,68.458,11.61,0.229,26.02,64.0,-6.58,-53.14,9.86,31.48,13.48,6.05,-5.18,Policy_A,63.32
2022,MMR,Disability_vs_NoDisability,Lowest_Quintile_vs_Highest_Quintile,77.173,91.523,-14.35,0.843,-0.585,76.51,13.03,-2.06,-78.27,-2.08,31.23,5.11,33.79,35.77,Mixed,58.85
2024,MMR,Disability_vs_NoDisability,Rural_vs_Urban,21.845,49.876,-28.031,0.438,0.034,70.51,30.66,1.2,-62.65,-41.24,23.93,14.76,-19.71,-39.41,Pilot,51.41
2021,SCREEN_RATE,Rural_vs_Urban,MinorityLanguage_vs_Others,48.763,32.816,15.947,1.486,0.878,56.74,46.64,7.44,256.33,-32.99,2.17,-15.1,10.39,-20.4,Policy_A,57.96
2023,VAX_COV,Women_vs_Men,SCST_vs_Others,47.562,27.66,19.902,1.72,0.834,51.71,26.15,15.67,342.82,13.58,-31.19,-2.25,-13.01,25.84,NoPolicy,83.16
2017,MMR,Rural_vs_Urban,Disability_vs_NoDisability,87.773,43.516,44.257,2.017,0.429,70.2,54.32,-5.52,358.37,49.4,15.57,16.49,22.39,31.31,Policy_C,36.48
2015,SCREEN_RATE,SCST_vs_Others,SCST_vs_Others,19.882,15.95,3.932,1.247,0.742,69.81,65.46,19.37,-475.76,-12.21,11.09,28.52,-11.82,33.59,NoPolicy,81.68
2020,HOSP_RATE,SCST_vs_Others,SCST_vs_Others,2.239,28.583,-26.344,0.078,-0.266,48.86,32.28,-25.05,-127.91,1.16,-17.62,7.84,-17.45,-10.82,Policy_C,70.09
2020,HOSP_RATE,Lowest_Quintile_vs_Highest_Quintile,SCST_vs_Others,84.434,83.582,0.852,1.01,0.853,59.03,36.57,-11.93,-279.99,49.95,-19.36,-15.26,-29.56,-10.51,NoPolicy,23.15
2025,IMR,MinorityLanguage_vs_Others,Rural_vs_Urban,30.204,53.21,-23.006,0.568,-0.924,27.78,88.22,-25.6,-6.54,-49.55,-8.71,-20.83,9.7,-31.12,NoPolicy,75.91
2015,IMR,Rural_vs_Urban,Women_vs_Men,9.667,83.229,-73.562,0.116,0.123,58.99,50.37,-6.78,368.95,-20.53,-32.11,-4.74,-5.76,2.22,Pilot,21.09
2023,ACCESS_INDEX,SCST_vs_Others,MinorityLanguage_vs_Others,50.151,25.931,24.22,1.934,0.297,4.8,42.98,-9.69,-111.14,49.73,-3.57,-5.26,32.07,16.18,Policy_C,63.66
2015,MORT_RATE,MinorityLanguage_vs_Others,SCST_vs_Others,97.596,92.31,5.286,1.057,-0.102,75.54,55.17,-24.57,302.33,-18.49,-32.11,-24.94,-31.55,32.81,NoPolicy,35.91
2016,NCD_PREV,Disability_vs_NoDisability,Rural_vs_Urban,5.704,98.0,-92.296,0.058,-0.663,62.66,86.96,11.81,-478.54,28.42,-24.7,-2.27,-3.85,5.25,NoPolicy,97.11
2023,MMR,Disability_vs_NoDisability,Women_vs_Men,49.716,19.12,30.596,2.6,-0.804,54.61,17.43,1.85,264.63,13.15,25.76,-21.99,28.85,-29.54,Mixed,19.73
2024,SCREEN_RATE,Lowest_Quintile_vs_Highest_Quintile,SCST_vs_Others,90.835,34.032,56.803,2.669,-0.135,17.37,19.04,11.78,-393.55,-42.23,-2.87,26.74,4.67,-13.69,NoPolicy,40.26
2022,MORT_RATE,Disability_vs_NoDisability,Lowest_Quintile_vs_Highest_Quintile,3.27,13.077,-9.807,0.25,-0.159,17.25,91.6,-3.63,-145.47,40.03,-28.66,-34.25,22.99,-34.18,Mixed,6.48
2023,VAX_COV,Women_vs_Men,Women_vs_Men,42.292,2.758,39.534,15.334,0.568,11.52,15.29,-27.4,-352.74,-12.61,32.85,28.91,30.7,-17.04,Policy_B,72.71
2020,NCD_PREV,Women_vs_Men,Lowest_Quintile_vs_Highest_Quintile,18.952,65.067,-46.115,0.291,0.303,24.74,2.75,-27.91,402.6,-32.03,10.33,-29.79,-28.79,7.73,Mixed,13.6
2024,IMR,Lowest_Quintile_vs_Highest_Quintile,Rural_vs_Urban,82.028,65.729,16.299,1.248,-0.524,37.78,68.76,-2.84,-98.08,36.06,8.61,13.31,-20.6,-35.63,Mixed,3.34
2025,NCD_PREV,SCST_vs_Others,Rural_vs_Urban,38.614,8.353,30.261,4.623,0.363,37.11,44.72,20.98,194.45,-10.64,-8.55,-26.3,20.52,15.31,NoPolicy,73.71
2025,MMR,Rural_vs_Urban,Rural_vs_Urban,80.263,84.332,-4.069,0.952,0.495,15.49,80.5,-13.31,196.46,-24.52,-17.98,-7.48,10.01,-19.75,Policy_A,7.06
2019,MMR,Rural_vs_Urban,Disability_vs_NoDisability,37.472,85.034,-47.562,0.441,-0.211,97.44,78.03,11.8,-297.75,8.59,29.61,10.92,0.09,21.84,Policy_A,96.01
2018,HOSP_RATE,MinorityLanguage_vs_Others,MinorityLanguage_vs_Others,43.391,88.281,-44.89,0.492,0.395,66.18,19.87,24.95,476.56,40.28,-37.32,18.68,-5.79,38.76,Policy_A,97.7
2020,IMR,Disability_vs_NoDisability,Disability_vs_NoDisability,29.191,52.253,-23.062,0.559,-0.65,50.92,39.49,1.26,-29.17,14.66,10.26,-8.13,-7.56,17.59,Pilot,51.58
2021,VAX_COV,SCST_vs_Others,MinorityLanguage_vs_Others,89.111,83.339,5.772,1.069,0.42,0.27,12.15,19.52,-114.55,-45.19,-8.21,13.86,-3.06,19.15,Pilot,32.25
2020,NCD_PREV,Rural_vs_Urban,Disability_vs_NoDisability,89.472,44.216,45.256,2.024,0.371,89.23,67.71,-22.67,-279.94,-19.84,11.16,15.88,34.77,-18.01,Pilot,40.7
2018,SCREEN_RATE,MinorityLanguage_vs_Others,Rural_vs_Urban,76.106,49.467,26.639,1.539,-0.31,81.82,16.9,11.79,-455.69,35.68,7.92,-7.42,-1.99,11.16,NoPolicy,74.01
2023,NCD_PREV,Rural_vs_Urban,Women_vs_Men,16.65,12.768,3.882,1.304,0.636,2.42,4.16,10.43,446.19,27.77,-17.29,-19.09,-14.23,21.93,Policy_A,39.24
2022,IMR,Disability_vs_NoDisability,MinorityLanguage_vs_Others,99.601,97.608,1.993,1.02,-0.262,42.52,1.99,3.55,12.66,1.58,-20.56,-5.41,10.56,22.22,Policy_A,2.31
2024,NCD_PREV,Rural_vs_Urban,Disability_vs_NoDisability,31.454,6.395,25.059,4.919,-0.68,34.35,69.39,-27.11,-161.82,31.1,13.29,-24.9,7.53,26.7,Mixed,1.38
2025,HOSP_RATE,Rural_vs_Urban,Women_vs_Men,3.513,94.003,-90.49,0.037,-0.588,79.04,26.24,3.2,-70.03,22.34,23.97,20.23,-27.93,-2.16,Policy_A,1.56
2018,VAX_COV,Lowest_Quintile_vs_Highest_Quintile,Women_vs_Men,20.868,9.277,11.591,2.249,-0.517,19.93,76.1,0.5,196.61,22.67,-9.5,-21.3,-34.61,-0.04,Pilot,1.19
2017,VAX_COV,SCST_vs_Others,MinorityLanguage_vs_Others,47.2,84.56,-37.36,0.558,0.121,55.49,36.91,27.63,-83.21,-42.14,-39.16,-8.01,30.85,2.76,Policy_A,72.45
2019,NCD_PREV,Disability_vs_NoDisability,Lowest_Quintile_vs_Highest_Quintile,81.57,83.791,-2.221,0.973,0.227,33.23,20.17,27.85,404.54,-3.36,23.13,22.77,-34.64,32.9,NoPolicy,50.25
2015,MMR,Lowest_Quintile_vs_Highest_Quintile,Rural_vs_Urban,44.797,65.539,-20.742,0.684,-0.291,93.95,50.95,-14.35,61.2,15.86,1.56,0.92,34.37,25.67,Policy_C,96.17
2022,NCD_PREV,Rural_vs_Urban,Rural_vs_Urban,43.494,41.079,2.415,1.059,-0.184,23.79,57.94,-3.2,385.0,43.21,-35.97,-0.74,21.21,-17.06,Pilot,70.96
2016,MORT_RATE,Lowest_Quintile_vs_Highest_Quintile,Rural_vs_Urban,49.205,57.621,-8.416,0.854,-0.443,16.2,45.32,16.65,-359.97,-32.4,17.23,8.67,-7.24,-25.39,NoPolicy,96.88
2023,NCD_PREV,Disability_vs_NoDisability,Lowest_Quintile_vs_Highest_Quintile,27.291,66.091,-38.8,0.413,-0.791,41.79,98.31,-14.34,248.62,19.07,-19.84,15.84,31.87,32.86,Policy_C,80.37
2019,VAX_COV,Women_vs_Men,Disability_vs_NoDisability,34.749,46.813,-12.064,0.742,0.834,99.71,57.33,-18.23,-8.77,-6.81,27.49,31.42,-17.19,-34.39,Policy_B,68.74
2015,IMR,MinorityLanguage_vs_Others,SCST_vs_Others,93.309,23.537,69.772,3.964,-0.14,6.31,33.14,-25.95,-445.03,14.15,-5.61,-29.93,-13.62,34.69,NoPolicy,85.05
2022,VAX_COV,Rural_vs_Urban,MinorityLanguage_vs_Others,81.657,69.679,11.978,1.172,-0.683,60.33,64.97,-12.19,422.32,-16.4,25.39,22.55,-5.37,5.01,Policy_C,91.9
2019,VAX_COV,Rural_vs_Urban,Women_vs_Men,7.782,23.981,-16.199,0.325,-0.895,95.89,52.44,-5.09,-337.61,-47.56,-29.83,12.32,19.24,-18.2,Pilot,5.06
2021,ACCESS_INDEX,Disability_vs_NoDisability,MinorityLanguage_vs_Others,27.53,70.64,-43.11,0.39,-0.529,72.36,73.06,-16.35,-375.22,-45.95,10.06,7.16,26.17,-18.4,NoPolicy,94.19
2025,MMR,MinorityLanguage_vs_Others,Rural_vs_Urban,90.131,14.697,75.434,6.133,0.961,4.15,95.78,23.99,47.28,-16.01,-5.51,11.92,-29.81,-11.55,Policy_A,46.49
2015,SCREEN_RATE,Women_vs_Men,Women_vs_Men,68.13,54.068,14.062,1.26,-0.639,82.27,32.26,-1.85,64.61,-11.14,-12.66,-11.07,-19.48,-26.44,Policy_C,20.76
2020,SCREEN_RATE,Women_vs_Men,Rural_vs_Urban,37.986,20.378,17.608,1.864,-0.899,19.73,8.88,-28.91,-29.32,11.13,-17.17,14.61,24.08,-34.76,NoPolicy,74.95
2020,HOSP_RATE,Disability_vs_NoDisability,Disability_vs_NoDisability,48.321,49.814,-1.493,0.97,-0.363,12.02,0.81,-21.85,-401.95,12.49,-16.81,5.51,5.44,-26.65,Policy_A,91.11
2019,NCD_PREV,Disability_vs_NoDisability,Disability_vs_NoDisability,54.823,90.772,-35.949,0.604,-0.752,85.22,73.86,-7.28,-25.51,-33.48,-1.0,24.39,-19.87,-1.52,Policy_B,37.25
2023,ACCESS_INDEX,MinorityLanguage_vs_Others,MinorityLanguage_vs_Others,33.314,24.721,8.593,1.348,0.943,69.0,95.72,-21.21,-445.97,-11.06,-20.15,14.11,2.7,4.67,Policy_B,40.56
2025,MMR,Lowest_Quintile_vs_Highest_Quintile,Women_vs_Men,86.867,27.666,59.201,3.14,0.984,82.1,5.08,17.04,98.08,-6.15,-15.56,-27.82,7.86,-28.67,Policy_B,1.07
2018,MORT_RATE,Lowest_Quintile_vs_Highest_Quintile,MinorityLanguage_vs_Others,94.04,26.384,67.656,3.564,-0.707,84.23,70.2,15.34,-441.83,-22.34,2.56,-23.08,-1.74,19.42,Policy_C,63.18
2015,ACCESS_INDEX,MinorityLanguage_vs_Others,MinorityLanguage_vs_Others,86.014,34.778,51.236,2.473,0.822,46.94,85.86,26.03,-437.56,30.65,-27.21,-9.57,-25.78,-34.6,NoPolicy,75.12
2015,IMR,Lowest_Quintile_vs_Highest_Quintile,Rural_vs_Urban,88.544,86.816,1.728,1.02,-0.743,52.69,36.72,0.79,-127.53,24.7,-18.65,0.87,-6.96,18.86,Policy_A,36.1
2022,IMR,Disability_vs_NoDisability,Lowest_Quintile_vs_Highest_Quintile,99.102,31.797,67.305,3.117,-0.334,16.56,1.55,8.46,-30.56,33.52,-27.87,25.43,11.71,6.12,NoPolicy,20.66
2017,HOSP_RATE,Women_vs_Men,Rural_vs_Urban,86.258,52.579,33.679,1.641,-0.655,99.15,72.49,-22.21,-434.19,-2.84,20.43,-25.22,-12.89,38.16,Policy_C,41.01
2018,HOSP_RATE,Rural_vs_Urban,MinorityLanguage_vs_Others,95.96,1.269,94.691,75.619,-0.297,8.87,45.54,10.52,-353.12,-7.99,8.83,-30.02,-23.04,-17.96,Pilot,59.06
2023,SCREEN_RATE,Lowest_Quintile_vs_Highest_Quintile,SCST_vs_Others,45.777,65.477,-19.7,0.699,-0.916,46.76,0.76,-23.88,-297.85,-1.26,-21.3,18.93,23.36,-29.39,Policy_B,16.4
2022,NCD_PREV,Disability_vs_NoDisability,Disability_vs_NoDisability,26.33,90.06,-63.73,0.292,-0.918,55.47,70.39,-0.28,-243.72,1.17,-39.88,-20.5,-6.51,-0.81,NoPolicy,8.78
2023,VAX_COV,MinorityLanguage_vs_Others,SCST_vs_Others,26.963,48.22,-21.257,0.559,0.54,59.06,28.56,-4.74,438.61,5.6,19.76,24.92,29.81,34.36,NoPolicy,81.3
2015,ACCESS_INDEX,SCST_vs_Others,Women_vs_Men,33.584,12.844,20.74,2.615,0.471,16.14,74.98,2.9,51.67,33.44,-13.6,-7.18,-10.15,2.48,Policy_C,70.87
