demo_nativity_estimate_year,demo_nativity_subdistrict_lgd_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2019,42599642,International_migrant,Other,2014,Resident,Intermediate,Odia,Punjabi,Malayalam,Marathi,0,113371,26770,0.066,Other,N,N,N,0.941
2019,71769958,International_migrant,Nepal,2017,Resident,Basic,Telugu,Kannada,Marathi,Malayalam,10,15105,27135,0.084,Family,Y,N,Y,0.382
2018,41632092,Native,Myanmar,2008,OCI,Advanced,Odia,Tamil,Tamil,Telugu,4,198435,36138,0.31,Work,Y,Y,Y,0.449
2021,33954449,International_migrant,Nepal,2018,OCI,None,Kannada,Telugu,Malayalam,Assamese,2,198592,20338,0.398,Study,N,N,Y,0.742
2019,56265166,Interstate_migrant,Bhutan,2016,Resident,Advanced,Urdu,Other,Other,Odia,6,6730,2170,0.276,Other,Y,N,Y,0.42
2022,73182875,Native,India,1993,Resident,None,Bengali,Tamil,Punjabi,Malayalam,0,191936,8042,0.079,Tourist,Y,N,Y,0.194
2019,82752396,Native,Other,2023,Resident,Advanced,Hindi,Urdu,Odia,Hindi,9,111504,3239,0.792,Study,Y,N,Y,0.304
2021,33978998,Interstate_migrant,Pakistan,1991,Resident,None,Marathi,Assamese,Odia,Gujarati,4,81550,19645,0.542,Refugee,N,Y,Y,0.276
2020,82557183,Interstate_migrant,Bangladesh,1990,Citizen,Advanced,Marathi,Urdu,Telugu,Bengali,8,95178,6915,0.734,Study,N,Y,N,0.278
2019,83511735,International_migrant,Sri_Lanka,2005,Resident,Basic,Gujarati,Other,Assamese,Malayalam,7,124112,8839,0.987,Refugee,N,Y,Y,0.016
2023,60487654,Native,Sri_Lanka,2024,Other,Intermediate,Tamil,Hindi,Gujarati,Urdu,2,157123,21065,0.878,Work,N,Y,Y,0.024
2025,84169157,International_migrant,Pakistan,1998,Citizen,Advanced,Punjabi,Assamese,Malayalam,Telugu,4,174131,7340,0.046,Study,N,Y,Y,0.728
2023,34978158,Native,Bangladesh,2012,OCI,None,Bengali,Urdu,Tamil,Telugu,4,170823,26279,0.835,Work,Y,N,N,0.476
2021,43143264,International_migrant,Myanmar,2001,Resident,None,Telugu,Assamese,Telugu,Other,1,39412,32803,0.051,Family,Y,Y,Y,0.899
2021,11786034,Native,Nepal,2020,OCI,None,Malayalam,Odia,Marathi,Bengali,6,73347,37643,0.018,Family,N,Y,Y,0.128
2018,69430441,International_migrant,Nepal,2021,Resident,Intermediate,Bengali,Assamese,Kannada,Other,4,158808,2838,0.357,Other,N,N,N,0.909
2021,49820726,International_migrant,Nepal,2000,Citizen,Advanced,Bengali,Punjabi,Punjabi,Bengali,1,33082,31592,0.297,Other,N,N,N,0.667
2022,33874760,Native,Pakistan,1996,Resident,Basic,Kannada,Odia,Kannada,Odia,1,12590,29346,0.697,Family,N,N,N,0.378
2018,42915632,Native,Bhutan,2017,Other,None,Hindi,Bengali,Other,Malayalam,7,32483,3106,0.751,Tourist,Y,Y,Y,0.09
2021,13610414,Native,India,1992,Citizen,Advanced,Telugu,Gujarati,Bengali,Tamil,2,65928,18700,0.898,Work,Y,N,Y,0.857
2021,56430697,International_migrant,Myanmar,2021,Other,None,Urdu,Gujarati,Marathi,Assamese,10,77425,37031,0.105,Work,Y,N,N,0.449
2018,26006773,Interstate_migrant,Sri_Lanka,2011,OCI,None,Kannada,Hindi,Punjabi,Punjabi,4,71135,34525,0.667,Study,Y,N,N,0.491
2025,99729314,Native,Myanmar,1994,Resident,Advanced,Hindi,Assamese,Kannada,Assamese,5,111253,22229,0.41,Family,N,Y,Y,0.671
2018,50254272,International_migrant,Other,2017,Other,Intermediate,Other,Bengali,Other,Assamese,10,154577,20075,0.358,Study,N,N,N,0.058
2025,14277801,Interstate_migrant,Nepal,2000,Other,None,Gujarati,Assamese,Tamil,Odia,3,149773,25846,0.789,Tourist,Y,N,N,0.99
2022,50155040,Native,Bhutan,2002,Resident,Advanced,Other,Bengali,Bengali,Malayalam,2,106440,30355,0.475,Work,Y,Y,N,0.223
2018,67905062,International_migrant,Other,2023,OCI,Basic,Odia,Marathi,Urdu,Hindi,1,153118,16045,0.238,Refugee,Y,Y,Y,0.985
2018,74812830,Interstate_migrant,India,2001,Citizen,Basic,Bengali,Tamil,Tamil,Bengali,9,187578,26440,0.679,Family,N,N,Y,0.632
2020,23221273,Interstate_migrant,Other,2008,Resident,Intermediate,Urdu,Bengali,Bengali,Gujarati,8,185130,26882,0.914,Study,Y,N,Y,0.296
2019,17361346,International_migrant,Pakistan,1994,Resident,None,Marathi,Tamil,Assamese,Malayalam,7,34799,33887,0.431,Work,N,Y,Y,0.607
2022,62839874,Native,Sri_Lanka,2022,OCI,Advanced,Gujarati,Marathi,Other,Kannada,3,110659,39699,0.411,Refugee,N,N,Y,0.195
2020,35582655,Interstate_migrant,Other,2022,OCI,Basic,Gujarati,Bengali,Odia,Gujarati,2,96196,20828,0.83,Other,N,N,N,0.971
2024,11947989,Native,Other,2005,Resident,None,Tamil,Marathi,Odia,Punjabi,6,38759,17221,0.647,Other,N,N,Y,0.338
2022,82916790,Native,Bhutan,2010,OCI,Advanced,Telugu,Tamil,Gujarati,Marathi,10,55135,20055,0.434,Study,N,Y,Y,0.766
2018,25880223,International_migrant,Bhutan,2003,Other,None,Urdu,Assamese,Telugu,Marathi,4,78263,34442,0.534,Tourist,N,Y,N,0.211
2020,83086703,Interstate_migrant,Bhutan,2024,Other,Advanced,Marathi,Bengali,Assamese,Urdu,1,31367,9652,0.645,Other,N,Y,Y,0.283
2019,80964061,International_migrant,Sri_Lanka,2021,OCI,Advanced,Urdu,Kannada,Assamese,Tamil,10,113552,7608,0.554,Work,N,N,Y,0.044
2018,45562895,International_migrant,Pakistan,1994,Other,Basic,Odia,Malayalam,Other,Assamese,5,61241,6361,0.211,Family,Y,Y,N,0.862
2025,41065886,Native,Nepal,1998,Citizen,None,Malayalam,Tamil,Odia,Marathi,1,1835,34721,0.569,Work,Y,Y,Y,0.166
2025,11685244,Native,Nepal,2018,OCI,None,Tamil,Odia,Gujarati,Malayalam,7,136381,8405,0.759,Work,N,N,Y,0.815
2025,12093441,International_migrant,Sri_Lanka,1997,Other,Advanced,Marathi,Tamil,Other,Marathi,6,71076,14399,0.853,Refugee,N,N,Y,0.242
2025,63265855,International_migrant,Nepal,2015,Resident,Advanced,Telugu,Urdu,Urdu,Assamese,7,55260,3756,0.142,Refugee,N,Y,N,0.757
2024,50327727,Native,Bangladesh,1995,OCI,Advanced,Malayalam,Marathi,Gujarati,Gujarati,9,75544,21645,0.571,Refugee,Y,N,N,0.704
2019,84180525,Native,Sri_Lanka,2020,Resident,Advanced,Bengali,Other,Kannada,Gujarati,10,30849,35562,0.444,Family,Y,Y,N,0.986
2022,31141163,Native,India,2002,Other,Basic,Other,Telugu,Other,Punjabi,6,25587,5337,0.277,Work,N,N,N,0.413
2021,39715338,International_migrant,Other,2011,Resident,Advanced,Assamese,Bengali,Urdu,Other,2,111735,21272,0.624,Study,Y,N,N,0.734
2021,52575132,International_migrant,Pakistan,2023,Resident,Intermediate,Punjabi,Assamese,Odia,Malayalam,6,174132,2874,0.1,Family,N,N,Y,0.285
2021,85860490,International_migrant,Nepal,2000,Resident,Intermediate,Tamil,Other,Malayalam,Other,4,41455,33062,0.251,Study,Y,Y,Y,0.259
2020,52658159,International_migrant,Sri_Lanka,2004,Citizen,None,Hindi,Malayalam,Other,Malayalam,6,44686,5991,0.818,Work,N,Y,N,0.699
2024,14450754,Interstate_migrant,Other,2009,Other,Advanced,Bengali,Telugu,Punjabi,Malayalam,5,92738,20937,0.284,Tourist,Y,N,Y,0.736
2019,49290434,Interstate_migrant,Nepal,2000,Other,None,Tamil,Bengali,Kannada,Odia,9,89613,22602,0.153,Tourist,N,Y,Y,0.344
2023,73358827,International_migrant,India,2023,Other,Basic,Assamese,Assamese,Tamil,Assamese,3,123614,6963,0.307,Family,Y,N,Y,0.503
2021,24659901,International_migrant,India,2019,Other,Intermediate,Kannada,Urdu,Bengali,Marathi,0,94521,5263,0.303,Refugee,Y,N,N,0.545
2018,93215112,Native,Bhutan,2017,Resident,Advanced,Tamil,Assamese,Bengali,Odia,6,69564,20511,0.021,Work,N,N,N,0.463
2018,42557842,International_migrant,Pakistan,2006,Citizen,Advanced,Assamese,Tamil,Kannada,Odia,1,33712,25693,0.895,Work,Y,N,N,0.918
2025,22365962,Interstate_migrant,Bangladesh,2003,OCI,Intermediate,Bengali,Marathi,Assamese,Bengali,8,49887,6026,0.769,Tourist,Y,Y,N,0.576
2020,92437148,Native,Pakistan,2004,OCI,Intermediate,Odia,Kannada,Bengali,Urdu,9,52623,32666,0.793,Study,N,Y,Y,0.066
2022,61959698,Interstate_migrant,Bangladesh,1990,Citizen,Intermediate,Telugu,Other,Odia,Assamese,4,197725,17107,0.044,Family,N,N,Y,0.501
2022,87624260,International_migrant,Bhutan,1991,OCI,Basic,Punjabi,Malayalam,Bengali,Assamese,4,194283,24466,0.327,Other,Y,Y,N,0.543
2019,97954048,International_migrant,Sri_Lanka,2004,Resident,None,Telugu,Marathi,Hindi,Marathi,8,35191,36098,0.154,Other,N,Y,N,0.549
2023,89565859,Interstate_migrant,India,2011,Resident,None,Assamese,Telugu,Malayalam,Marathi,8,32112,15231,0.062,Other,N,N,N,0.715
2019,78362752,Interstate_migrant,Nepal,2016,Citizen,Intermediate,Kannada,Bengali,Gujarati,Kannada,10,183875,9553,0.192,Family,Y,Y,N,0.492
2025,28276185,Native,Bhutan,2015,Citizen,Advanced,Hindi,Malayalam,Odia,Gujarati,4,126063,12767,0.211,Family,Y,N,N,0.355
2022,34388528,Interstate_migrant,Myanmar,2014,Resident,Advanced,Punjabi,Other,Malayalam,Gujarati,5,13908,9931,0.928,Refugee,Y,N,Y,0.95
2022,56332137,Interstate_migrant,Sri_Lanka,2023,Citizen,Advanced,Tamil,Punjabi,Kannada,Telugu,9,86647,31276,0.075,Study,N,N,N,0.654
2020,57827798,Interstate_migrant,Other,2012,Resident,Intermediate,Bengali,Hindi,Odia,Assamese,2,129770,26859,0.492,Refugee,Y,N,Y,0.977
2023,65203422,Interstate_migrant,Pakistan,2014,OCI,Intermediate,Other,Odia,Telugu,Kannada,7,140640,10850,0.511,Work,Y,Y,Y,0.314
2019,29817821,Interstate_migrant,Sri_Lanka,1990,Citizen,Advanced,Hindi,Odia,Other,Bengali,5,43711,3756,0.595,Work,Y,Y,Y,0.245
2024,35672277,Native,India,2005,Citizen,Intermediate,Kannada,Tamil,Punjabi,Malayalam,7,62904,18063,0.309,Tourist,N,Y,Y,0.809
2025,99505807,Interstate_migrant,Other,2020,OCI,Basic,Other,Hindi,Hindi,Odia,6,111581,22134,0.875,Refugee,Y,Y,Y,0.704
2018,16327810,Native,India,2016,Citizen,Intermediate,Bengali,Kannada,Odia,Telugu,2,102332,19339,0.353,Study,N,N,Y,0.023
2018,69459457,Native,Nepal,1998,Resident,Basic,Tamil,Marathi,Hindi,Odia,9,121036,19150,0.277,Work,N,N,N,0.558
2018,16814187,Interstate_migrant,Myanmar,1992,Other,None,Bengali,Other,Urdu,Telugu,9,198071,9838,0.722,Other,Y,Y,N,0.747
2020,58630725,Interstate_migrant,Sri_Lanka,1994,Resident,Intermediate,Urdu,Malayalam,Telugu,Gujarati,2,182697,30434,0.951,Refugee,Y,N,Y,0.706
2019,57464938,Native,Bangladesh,1991,Other,None,Hindi,Gujarati,Gujarati,Telugu,5,124345,5801,0.94,Work,N,Y,N,0.975
2022,80900825,Interstate_migrant,Bangladesh,2017,Other,Basic,Malayalam,Bengali,Marathi,Urdu,9,93678,34521,0.698,Other,N,Y,N,0.127
2020,95697501,International_migrant,Sri_Lanka,2009,Resident,Basic,Malayalam,Hindi,Gujarati,Malayalam,6,190376,38843,0.671,Tourist,N,Y,Y,0.327
2025,94142740,Native,Myanmar,2024,Resident,Intermediate,Assamese,Telugu,Urdu,Tamil,10,161203,21111,0.308,Study,N,N,Y,0.386
2025,11278566,Native,Sri_Lanka,2008,Resident,Advanced,Assamese,Malayalam,Assamese,Hindi,4,110910,25470,0.962,Work,N,Y,Y,0.096
2018,97559607,Interstate_migrant,Bhutan,2014,Resident,Basic,Odia,Urdu,Hindi,Bengali,7,186360,33434,0.772,Study,N,Y,Y,0.269
2019,69358788,Native,Sri_Lanka,2002,OCI,Advanced,Gujarati,Urdu,Gujarati,Marathi,1,37845,1256,0.875,Tourist,Y,N,Y,0.838
2018,57559535,Interstate_migrant,India,2008,Other,None,Punjabi,Other,Other,Urdu,0,14690,32524,0.011,Family,Y,Y,Y,0.834
2019,43730867,Native,Pakistan,2005,Citizen,Advanced,Bengali,Other,Assamese,Malayalam,4,161211,3765,0.367,Study,Y,Y,N,0.702
2018,82641204,Native,Nepal,1992,Resident,Basic,Tamil,Telugu,Kannada,Odia,1,172253,38348,0.162,Tourist,Y,Y,Y,0.379
2024,37818486,Interstate_migrant,Pakistan,2012,Resident,None,Gujarati,Marathi,Other,Kannada,6,194118,32287,0.951,Family,N,N,N,0.721
2025,42473726,Native,Bangladesh,2003,Other,Basic,Urdu,Assamese,Gujarati,Punjabi,2,12503,22698,0.416,Study,N,Y,Y,0.454
2018,73372717,International_migrant,Sri_Lanka,1997,Citizen,None,Urdu,Kannada,Odia,Tamil,7,129140,8934,0.299,Tourist,Y,N,Y,0.404
2023,68034682,Interstate_migrant,Bhutan,2018,Resident,Basic,Odia,Telugu,Bengali,Bengali,5,44363,37480,0.523,Other,Y,N,Y,0.474
2019,16597918,Interstate_migrant,Myanmar,2011,Other,Basic,Odia,Gujarati,Kannada,Punjabi,10,175607,512,0.347,Other,N,Y,Y,0.954
2025,25284217,International_migrant,Nepal,1999,OCI,Basic,Odia,Kannada,Hindi,Other,1,47801,24111,0.148,Tourist,N,N,N,0.006
2020,53177569,Interstate_migrant,Other,1997,Resident,None,Marathi,Urdu,Malayalam,Urdu,6,108144,37867,0.926,Study,Y,Y,Y,0.342
2025,62096340,International_migrant,Sri_Lanka,1991,Other,None,Tamil,Urdu,Urdu,Gujarati,6,99584,32842,0.969,Family,Y,Y,Y,0.377
2021,31565979,Interstate_migrant,Nepal,2008,Other,Basic,Marathi,Telugu,Malayalam,Malayalam,0,75176,12399,0.625,Work,Y,N,N,0.994
2020,61811724,International_migrant,Pakistan,1992,Resident,None,Other,Tamil,Bengali,Marathi,0,35723,9136,0.238,Other,Y,N,N,0.482
2024,43777878,Interstate_migrant,Nepal,2012,OCI,Advanced,Bengali,Odia,Tamil,Kannada,10,118479,27043,0.871,Study,Y,N,Y,0.785
2023,37786276,International_migrant,Bangladesh,1990,Resident,Intermediate,Malayalam,Assamese,Malayalam,Urdu,4,42092,32980,0.904,Family,N,Y,Y,0.563
2021,90608102,International_migrant,India,2015,Other,None,Tamil,Telugu,Other,Malayalam,8,196816,5794,0.892,Work,N,Y,N,0.683
2018,12382998,International_migrant,Pakistan,2022,Citizen,Advanced,Kannada,Urdu,Punjabi,Assamese,4,117140,15881,0.239,Refugee,Y,N,Y,0.036
2023,79439023,International_migrant,Sri_Lanka,2006,OCI,Intermediate,Gujarati,Other,Marathi,Punjabi,4,87322,38001,0.551,Study,N,N,N,0.062
2022,69802582,Interstate_migrant,Pakistan,2018,Resident,Basic,Marathi,Kannada,Malayalam,Other,7,111910,26124,0.627,Tourist,N,Y,Y,0.213
2021,83726456,International_migrant,India,1997,Resident,Intermediate,Odia,Kannada,Assamese,Kannada,7,33945,38561,0.125,Family,Y,Y,Y,0.758
2021,49431657,Interstate_migrant,Pakistan,1999,Resident,Intermediate,Telugu,Gujarati,Gujarati,Malayalam,1,59214,26159,0.784,Family,Y,Y,Y,0.333
2019,50531070,International_migrant,Bangladesh,2004,Resident,Advanced,Other,Marathi,Urdu,Telugu,8,3844,27220,0.553,Family,N,Y,Y,0.318
2019,73108667,International_migrant,Nepal,2014,Resident,Advanced,Tamil,Punjabi,Odia,Odia,5,192777,11350,0.388,Other,Y,N,N,0.452
2020,48477953,Native,Bhutan,2006,Resident,Advanced,Tamil,Malayalam,Hindi,Telugu,1,2875,29975,0.083,Study,Y,N,N,0.008
2020,78013949,Interstate_migrant,Pakistan,2009,Other,Advanced,Assamese,Urdu,Urdu,Telugu,5,189648,7280,0.964,Other,Y,Y,N,0.898
2018,91733284,International_migrant,Bhutan,2013,OCI,Basic,Bengali,Hindi,Odia,Odia,4,180491,10836,0.751,Family,N,Y,N,0.695
2021,50776797,International_migrant,Pakistan,2011,Resident,Intermediate,Other,Odia,Bengali,Punjabi,4,84627,28954,0.182,Work,N,Y,Y,0.566
2021,48590627,International_migrant,Sri_Lanka,2019,Other,Basic,Gujarati,Assamese,Telugu,Odia,1,151852,4513,0.173,Other,Y,N,Y,0.205
2020,19534265,International_migrant,India,2012,Resident,None,Hindi,Malayalam,Kannada,Gujarati,9,69992,37269,0.875,Work,Y,Y,N,0.341
2022,49218251,Interstate_migrant,Pakistan,2000,Citizen,Intermediate,Other,Odia,Odia,Marathi,5,160614,15450,0.685,Tourist,Y,N,N,0.621
2025,20994581,Interstate_migrant,Pakistan,1993,Other,Basic,Odia,Hindi,Other,Other,9,130749,31613,0.635,Refugee,N,N,Y,0.275
2020,12699694,Native,Nepal,2011,Other,Intermediate,Punjabi,Odia,Marathi,Tamil,2,2404,10994,0.787,Study,Y,Y,Y,0.013
2022,26046767,International_migrant,Nepal,1996,Citizen,Basic,Tamil,Malayalam,Hindi,Kannada,9,148805,31235,0.211,Work,N,N,N,0.219
2022,50547056,International_migrant,India,2013,Citizen,Advanced,Telugu,Gujarati,Marathi,Kannada,5,36868,37778,0.485,Study,Y,N,N,0.974
2020,81413287,International_migrant,Other,1994,OCI,None,Marathi,Gujarati,Urdu,Marathi,7,113333,25891,0.564,Refugee,Y,Y,N,0.26
2024,66673896,International_migrant,Sri_Lanka,2009,OCI,Intermediate,Telugu,Bengali,Bengali,Malayalam,9,160893,10137,0.71,Study,Y,Y,N,0.959
2025,49324501,International_migrant,Bhutan,2007,Resident,None,Telugu,Odia,Urdu,Punjabi,5,149761,39061,0.784,Study,Y,N,Y,0.67
2023,90354832,Native,Myanmar,2016,Other,Advanced,Marathi,Telugu,Urdu,Malayalam,2,173787,12101,0.454,Family,Y,Y,N,0.512
2025,40217476,Native,Pakistan,1997,Other,Advanced,Punjabi,Urdu,Bengali,Telugu,8,57822,22649,0.611,Family,Y,N,Y,0.58
2018,41079643,Native,Myanmar,2016,Other,Advanced,Telugu,Malayalam,Assamese,Tamil,2,110936,15876,0.922,Work,N,Y,N,0.933
2024,73843543,International_migrant,India,1998,OCI,Intermediate,Hindi,Tamil,Malayalam,Punjabi,9,50925,23066,0.325,Family,N,N,Y,0.579
2025,48929798,Interstate_migrant,Bangladesh,2009,OCI,Basic,Assamese,Bengali,Telugu,Odia,2,168189,27548,0.938,Study,N,N,N,0.291
2023,32937077,Native,Myanmar,2001,Citizen,Advanced,Odia,Hindi,Urdu,Hindi,1,102890,16708,0.635,Tourist,Y,Y,N,0.09
2023,94730669,Native,Bangladesh,1996,Citizen,None,Odia,Hindi,Assamese,Urdu,3,105659,4835,0.185,Study,Y,N,N,0.749
2018,27798820,Native,Bhutan,2003,Resident,Advanced,Urdu,Urdu,Punjabi,Kannada,5,100887,1872,0.314,Work,Y,Y,N,0.803
2023,48785306,Interstate_migrant,Other,2007,Citizen,None,Urdu,Marathi,Urdu,Kannada,7,20681,11951,0.456,Tourist,N,Y,Y,0.209
2021,24298883,Interstate_migrant,Sri_Lanka,2009,Resident,None,Marathi,Telugu,Other,Odia,5,135127,6728,0.046,Refugee,N,N,N,0.195
2020,12779233,Native,Pakistan,1996,Citizen,Basic,Urdu,Telugu,Marathi,Urdu,5,47165,39969,0.386,Refugee,Y,Y,N,0.533
2021,90670862,International_migrant,Myanmar,2000,OCI,Advanced,Punjabi,Kannada,Gujarati,Gujarati,9,24541,26673,0.575,Tourist,N,Y,Y,0.595
2024,45240008,International_migrant,Sri_Lanka,2021,Other,None,Bengali,Odia,Telugu,Marathi,8,69058,9838,0.538,Family,N,N,Y,0.822
2025,27641911,Interstate_migrant,Sri_Lanka,2020,Other,None,Bengali,Punjabi,Odia,Tamil,4,55557,4789,0.241,Refugee,Y,N,N,0.859
2025,91455791,Interstate_migrant,Bhutan,2024,Resident,Advanced,Urdu,Kannada,Urdu,Assamese,8,183998,13263,0.196,Tourist,N,N,N,0.607
2025,34699696,Interstate_migrant,India,2025,Resident,Basic,Urdu,Telugu,Assamese,Gujarati,5,192683,28487,0.501,Other,N,N,Y,0.628
2021,69306446,International_migrant,Bangladesh,2011,OCI,Basic,Hindi,Telugu,Gujarati,Other,6,117736,231,0.477,Tourist,Y,Y,Y,0.438
2021,99179059,International_migrant,India,1997,OCI,None,Bengali,Urdu,Gujarati,Other,5,50341,26655,0.683,Other,N,Y,N,0.742
2025,31332307,International_migrant,Other,2016,OCI,Basic,Bengali,Kannada,Gujarati,Telugu,1,173139,8752,0.904,Refugee,Y,Y,N,0.487
2018,10248083,International_migrant,Myanmar,2002,Other,None,Odia,Other,Malayalam,Marathi,8,59679,1780,0.52,Work,Y,N,N,0.403
2020,26734236,International_migrant,Other,1993,OCI,Intermediate,Odia,Urdu,Marathi,Gujarati,2,168570,969,0.612,Other,N,Y,Y,0.621
2018,49318559,Native,Bhutan,2010,Resident,None,Punjabi,Malayalam,Gujarati,Telugu,5,30385,37270,0.148,Other,N,N,Y,0.323
2024,79054530,Interstate_migrant,Myanmar,2017,Other,Intermediate,Punjabi,Tamil,Other,Punjabi,9,110999,2166,0.084,Other,N,Y,Y,0.25
2020,96040086,International_migrant,Other,1993,OCI,None,Bengali,Telugu,Telugu,Hindi,1,192510,32889,0.477,Study,N,Y,Y,0.095
2021,98969465,Native,India,1998,Other,None,Odia,Assamese,Punjabi,Telugu,8,33254,29243,0.937,Tourist,Y,Y,N,0.665
2025,66456433,International_migrant,Sri_Lanka,2006,Resident,Basic,Telugu,Odia,Marathi,Marathi,1,89815,7988,0.259,Tourist,Y,Y,Y,0.552
2023,56555195,International_migrant,Bangladesh,1993,Other,Advanced,Tamil,Other,Punjabi,Odia,0,11620,589,0.099,Tourist,N,Y,N,0.983
2018,74743541,Native,Sri_Lanka,2017,Citizen,Basic,Punjabi,Tamil,Hindi,Kannada,7,165841,4240,0.121,Study,N,N,Y,0.332
2018,61626837,Native,Bhutan,1994,Resident,None,Bengali,Kannada,Marathi,Tamil,5,74868,28051,0.786,Family,Y,N,Y,0.031
2025,65347174,International_migrant,Pakistan,1999,Other,Basic,Tamil,Malayalam,Gujarati,Telugu,2,6240,19388,0.5,Study,N,N,N,0.37
2021,55948716,Native,Pakistan,2009,Resident,Advanced,Gujarati,Odia,Kannada,Gujarati,2,23676,27598,0.124,Other,Y,N,N,0.269
