econ_consumer_transaction_week,econ_consumer_merchant_category_code,econ_consumer_payment_channel_type,econ_consumer_spend_amount_inr,econ_consumer_transaction_count,econ_consumer_unique_cardholders,econ_consumer_median_ticket_size,econ_consumer_share_online_pct,econ_consumer_share_instore_pct,econ_consumer_refund_rate_pct,econ_consumer_chargeback_rate_pct,econ_consumer_new_customer_share_pct,econ_consumer_repeat_customer_share_pct,econ_consumer_income_segment,econ_consumer_age_segment,econ_consumer_device_type,econ_consumer_daypart_peak,econ_consumer_holiday_effect_flag,econ_consumer_weather_sensitivity_score,econ_consumer_privacy_aggregation_level
2024-W51,4900,UPI,33624662.87,63653,52681,3350.91,6.39,93.61,5.81,0.644,28.24,81.07,Lower_Middle,55_64,Web,Morning,Y,0.4197,State
2020-W15,5999,UPI,17208770.82,43107,110872,1752.02,89.02,10.98,4.59,0.872,8.49,67.97,Lower_Middle,35_44,Android,Morning,N,0.1484,District
2024-W46,5812,Wallet,48256574.16,179175,95650,1860.5,91.84,8.16,0.66,0.443,15.91,75.92,Upper_Middle,18_24,iOS,Evening,N,0.8998,PinCodeCluster
2023-W13,4814,CashOnDelivery,2869509.12,115590,114347,4492.56,52.14,47.86,4.15,1.141,14.11,27.43,Middle,45_54,POS,Evening,N,0.3359,State
2024-W28,4511,Wallet,40002577.0,225781,57274,2481.09,12.52,87.48,1.85,0.163,29.73,37.62,High,55_64,Web,Night,N,0.8188,District
2021-W21,4814,Wallet,52388713.68,120045,42528,3982.22,95.44,4.56,4.29,0.257,5.55,36.8,Low,45_54,Android,Evening,Y,0.9042,National
2020-W53,5541,BNPL,12485847.52,34040,73710,2832.81,85.91,14.09,9.49,1.345,13.38,35.84,Middle,55_64,Web,Evening,N,0.5447,PinCodeCluster
2025-W08,5411,UPI,33188552.46,144013,103702,2534.91,8.11,91.89,5.03,1.045,10.86,82.13,Middle,65_plus,Android,Morning,N,0.9857,PinCodeCluster
2019-W03,4111,Card,46026356.07,170692,2803,3896.13,46.21,53.79,11.5,0.249,38.09,82.73,Low,55_64,Web,Morning,Y,0.7228,National
2023-W02,4722,UPI,13518300.37,123266,12023,2547.25,41.66,58.34,5.03,1.973,34.97,12.91,Middle,35_44,FeaturePhone,Night,Y,0.9745,City
2023-W04,4722,BNPL,4413195.7,236074,103225,1849.13,34.58,65.42,6.77,0.044,27.59,16.45,Low,25_34,POS,Midday,Y,0.6846,City
2020-W18,4511,BNPL,14642582.2,118033,71108,3562.04,53.91,46.09,4.58,1.929,3.65,63.23,Middle,45_54,POS,Midday,N,0.3539,State
2024-W24,5732,Card,42632396.53,3811,52481,2902.94,80.06,19.94,7.91,1.4,21.88,56.26,High,18_24,Android,Midday,Y,0.4169,State
2025-W19,5411,NetBanking,20734900.2,9130,97455,2422.34,65.74,34.26,1.3,2.902,2.78,49.45,Low,35_44,Web,Night,Y,0.8042,PinCodeCluster
2025-W06,4789,NetBanking,23062650.82,202140,12291,3539.78,80.58,19.42,0.29,2.71,2.83,35.18,Low,25_34,iOS,Evening,Y,0.22,District
2021-W28,5411,NetBanking,31561282.45,202522,1070,1901.27,54.37,45.63,10.26,1.947,38.15,26.85,High,45_54,POS,Morning,Y,0.7494,State
2025-W28,4789,BNPL,9034764.16,165559,10974,3165.9,27.94,72.06,5.6,1.441,34.06,96.42,Low,45_54,Android,Evening,N,0.333,National
2021-W36,5411,NetBanking,48535443.49,235554,21056,2537.31,38.05,61.95,11.32,1.192,8.54,96.38,Lower_Middle,25_34,Android,Evening,Y,0.8835,PinCodeCluster
2022-W16,5812,UPI,6234463.13,88079,78590,3989.35,32.88,67.12,0.76,0.375,21.15,47.33,Lower_Middle,65_plus,FeaturePhone,Night,Y,0.0134,City
2024-W20,4511,UPI,294991.74,192266,53263,3872.14,90.17,9.83,8.89,2.004,10.09,22.1,Middle,25_34,iOS,Night,N,0.8134,District
2020-W12,4111,CashOnDelivery,36684996.81,114381,57833,3332.95,33.15,66.85,5.76,0.869,27.56,34.08,Low,55_64,iOS,Night,Y,0.2598,PinCodeCluster
2021-W33,5912,UPI,28193164.01,56420,56491,2591.79,65.07,34.93,0.23,0.892,30.79,13.08,Middle,65_plus,FeaturePhone,Night,Y,0.3933,PinCodeCluster
2025-W38,5812,Wallet,58529320.09,149233,82305,1222.67,76.67,23.33,10.44,1.755,4.92,94.55,High,25_34,iOS,Midday,Y,0.6253,City
2019-W41,4111,NetBanking,11401183.57,75059,23862,785.93,17.18,82.82,5.54,0.9,32.14,57.18,Middle,25_34,POS,Night,N,0.5315,City
2019-W16,4511,NetBanking,16689067.76,62788,67966,2112.7,34.44,65.56,0.19,1.851,1.04,54.78,Lower_Middle,65_plus,iOS,Evening,Y,0.0449,State
2021-W25,5812,UPI,42664342.4,161190,111564,3481.62,63.65,36.35,3.07,0.562,11.79,55.74,High,55_64,FeaturePhone,Morning,Y,0.7945,PinCodeCluster
2019-W34,5411,CashOnDelivery,35172435.0,143990,74079,3039.18,88.09,11.91,5.98,0.766,3.89,13.35,Lower_Middle,65_plus,FeaturePhone,Evening,Y,0.5659,State
2020-W06,4789,UPI,4071500.32,207472,64958,3366.47,48.41,51.59,6.18,0.353,15.35,93.95,Lower_Middle,18_24,iOS,Evening,N,0.5547,PinCodeCluster
2025-W25,4789,CashOnDelivery,29177255.06,86227,92000,4208.32,50.36,49.64,4.46,1.604,19.67,56.26,Lower_Middle,35_44,FeaturePhone,Midday,N,0.2373,National
2021-W30,5732,Card,15907161.81,51404,103582,3142.45,58.8,41.2,8.42,2.935,0.5,54.81,High,25_34,Web,Evening,N,0.9351,State
2025-W31,4789,BNPL,50741719.7,31342,27362,2195.86,73.38,26.62,9.35,0.357,25.43,33.41,Low,18_24,POS,Evening,N,0.8418,State
2024-W28,5732,BNPL,10249678.12,119921,5851,3725.05,66.92,33.08,4.12,1.848,31.06,30.6,Middle,35_44,Android,Midday,Y,0.6315,City
2019-W50,5732,Wallet,22988754.06,51855,54799,2453.43,47.52,52.48,9.57,2.962,2.86,84.78,Low,18_24,POS,Midday,Y,0.6658,City
2025-W09,4814,CashOnDelivery,54861276.58,73540,13441,681.13,59.74,40.26,1.73,2.415,30.97,24.64,Middle,18_24,FeaturePhone,Morning,Y,0.9068,District
2025-W21,4722,NetBanking,30374108.94,128087,96992,2261.14,52.2,47.8,8.88,2.715,12.47,85.32,Middle,65_plus,POS,Night,N,0.3071,District
2022-W09,5912,Card,10501823.14,203900,40261,3817.85,25.23,74.77,10.65,2.139,36.9,41.77,Middle,45_54,POS,Morning,N,0.6816,National
2025-W47,5812,BNPL,29859697.71,213075,62917,2936.84,41.87,58.13,9.5,1.036,8.85,15.33,Middle,55_64,iOS,Evening,N,0.4045,State
2020-W39,4722,UPI,29371920.7,220895,46996,191.17,24.06,75.94,9.67,2.394,31.42,26.17,Middle,55_64,Web,Morning,Y,0.8884,District
2020-W03,4111,NetBanking,50180161.19,26485,75413,3563.21,41.62,58.38,10.67,2.483,33.75,39.8,Low,25_34,iOS,Morning,N,0.87,National
2019-W49,5732,Wallet,17620199.66,204440,23505,4457.78,61.74,38.26,0.93,2.225,0.43,43.73,Upper_Middle,45_54,Web,Morning,Y,0.8107,District
2022-W36,5912,Card,38526669.95,53674,79727,2415.06,43.95,56.05,5.5,0.459,25.57,28.44,Middle,25_34,Web,Night,Y,0.957,National
2021-W27,5732,NetBanking,8988203.21,141684,18532,590.54,77.95,22.05,0.98,2.884,38.99,91.98,High,65_plus,iOS,Evening,N,0.346,City
2023-W25,5912,CashOnDelivery,49047429.91,194075,56549,1326.41,37.23,62.77,1.3,2.338,4.09,96.66,Low,55_64,iOS,Midday,N,0.1824,National
2021-W30,5912,Wallet,24997985.44,222844,73831,1903.82,23.06,76.94,10.1,0.253,21.8,29.61,High,18_24,iOS,Midday,N,0.6695,National
2021-W16,4511,CashOnDelivery,32335169.6,148117,32456,3622.48,87.01,12.99,0.65,1.215,34.91,28.2,High,45_54,iOS,Midday,N,0.336,District
2021-W50,5411,Card,43975222.31,115060,11689,1648.06,50.79,49.21,4.38,2.505,7.59,23.22,Middle,45_54,Web,Morning,N,0.9234,National
2025-W12,8062,NetBanking,9708254.8,90294,65966,4334.31,28.28,71.72,11.34,2.616,10.86,89.59,Lower_Middle,25_34,POS,Morning,N,0.8244,State
2024-W18,5541,Wallet,30181951.63,19883,37141,3315.7,31.67,68.33,8.29,0.305,30.91,50.36,High,35_44,POS,Evening,N,0.1893,National
2022-W21,4511,Card,55772111.96,111147,26395,2785.99,42.87,57.13,7.61,2.196,13.78,83.17,Lower_Middle,18_24,POS,Midday,Y,0.6595,State
2019-W31,5732,Card,55632726.77,208067,82990,2821.07,59.36,40.64,9.88,2.459,15.43,26.53,Low,35_44,iOS,Midday,Y,0.7907,District
2019-W09,5541,UPI,58717768.65,176862,58793,3219.48,16.84,83.16,1.54,0.851,24.97,21.23,Middle,25_34,FeaturePhone,Midday,N,0.9411,PinCodeCluster
2022-W37,5912,Wallet,33579022.11,42411,38168,1749.45,62.63,37.37,0.9,2.669,21.85,58.83,High,45_54,POS,Morning,N,0.5009,National
2020-W39,4814,NetBanking,58718155.83,47521,50350,3611.37,46.06,53.94,11.37,2.167,37.93,59.25,Lower_Middle,25_34,FeaturePhone,Evening,N,0.7826,National
2021-W34,5411,NetBanking,44689264.8,120606,19551,2608.87,50.58,49.42,10.81,2.392,28.34,78.4,Low,18_24,POS,Night,Y,0.5143,City
2019-W30,5541,CashOnDelivery,5687250.84,18562,101807,3511.5,33.94,66.06,10.28,0.993,16.99,48.22,High,45_54,POS,Midday,Y,0.3622,State
2022-W48,5311,Wallet,30096415.83,25011,46195,1750.38,11.63,88.37,2.62,2.561,39.17,73.45,Upper_Middle,25_34,POS,Night,Y,0.1516,National
2022-W27,5732,BNPL,53129836.76,245189,73666,1547.41,72.22,27.78,0.66,0.689,34.24,35.64,High,18_24,Android,Midday,N,0.4439,National
2019-W09,5732,Wallet,10953715.43,91460,17942,612.67,51.17,48.83,0.61,2.72,25.86,88.57,Upper_Middle,25_34,Web,Evening,Y,0.8121,District
2022-W02,4814,BNPL,10706493.55,104737,84377,2244.38,52.95,47.05,9.23,0.931,12.44,97.41,Lower_Middle,55_64,Web,Evening,Y,0.3335,National
2020-W07,4511,UPI,4256106.9,149033,118252,3345.34,8.94,91.06,8.92,0.974,32.31,71.38,Upper_Middle,25_34,Web,Night,Y,0.6985,PinCodeCluster
2023-W48,4900,CashOnDelivery,12461295.52,44662,65735,3999.68,43.74,56.26,5.01,0.947,35.97,77.51,Upper_Middle,65_plus,FeaturePhone,Evening,Y,0.7844,National
2023-W37,4900,BNPL,31486046.98,173257,107173,1109.05,16.23,83.77,1.42,0.242,34.1,11.61,Low,45_54,POS,Night,N,0.1345,National
2024-W49,5411,BNPL,50131515.09,189207,103484,3955.99,19.03,80.97,3.02,0.251,32.12,78.82,Lower_Middle,45_54,Android,Midday,N,0.9421,District
2024-W43,5732,CashOnDelivery,1079702.2,216894,55743,3424.44,51.79,48.21,9.41,0.344,39.97,27.29,Low,65_plus,Web,Midday,Y,0.5209,State
2023-W49,4111,UPI,14555259.18,30649,102829,3203.75,32.65,67.35,0.37,2.733,6.63,88.7,Low,18_24,POS,Morning,Y,0.935,PinCodeCluster
2022-W38,4722,NetBanking,17179594.9,108666,89032,4379.57,24.91,75.09,4.29,0.458,3.3,97.81,Middle,55_64,FeaturePhone,Midday,N,0.2722,City
2021-W40,5812,Wallet,1840510.28,203094,74312,3698.48,31.07,68.93,7.75,2.166,5.82,52.86,Middle,18_24,Web,Midday,Y,0.6581,District
2020-W05,5732,UPI,36163153.44,53937,2359,625.43,24.61,75.39,4.24,2.112,12.52,10.15,Low,55_64,FeaturePhone,Night,N,0.3006,City
2021-W25,5541,NetBanking,18729016.08,101149,16837,821.05,48.7,51.3,8.02,0.823,23.52,87.39,Upper_Middle,55_64,FeaturePhone,Morning,Y,0.6187,State
2024-W33,4814,Wallet,58016101.16,211868,27517,874.77,57.25,42.75,1.02,0.006,23.03,25.83,Low,45_54,Android,Morning,N,0.8235,District
2024-W42,4111,CashOnDelivery,21324670.86,99229,2784,4038.45,18.89,81.11,10.2,2.064,33.65,59.61,High,35_44,FeaturePhone,Midday,N,0.9614,State
2022-W05,4900,Card,27974826.52,99503,90867,454.78,63.83,36.17,5.8,2.225,11.84,16.46,High,65_plus,FeaturePhone,Evening,N,0.1267,State
2021-W27,4722,Wallet,56468770.6,196683,51207,4341.16,41.48,58.52,11.39,0.692,5.79,79.6,Upper_Middle,45_54,Web,Evening,Y,0.1909,PinCodeCluster
2019-W42,4900,BNPL,25368434.4,110834,18128,1158.1,82.73,17.27,9.02,0.607,36.66,12.38,High,25_34,iOS,Midday,Y,0.8697,City
2022-W04,5311,CashOnDelivery,8596361.21,218348,83005,144.55,41.38,58.62,0.83,1.981,13.02,61.95,Middle,45_54,Android,Midday,N,0.0421,PinCodeCluster
2022-W47,4722,Wallet,34141162.38,139414,34904,2766.04,42.66,57.34,5.9,1.821,33.25,19.76,Lower_Middle,25_34,FeaturePhone,Midday,Y,0.5821,District
2020-W26,4722,Wallet,16856216.76,111134,54666,3263.86,51.73,48.27,9.03,0.804,10.03,34.83,Lower_Middle,55_64,iOS,Midday,Y,0.6344,National
2020-W17,4814,BNPL,42295846.46,29885,109791,2195.42,71.38,28.62,8.69,1.679,33.12,50.39,Upper_Middle,35_44,iOS,Morning,Y,0.7711,PinCodeCluster
2021-W14,4722,Wallet,10777299.89,114956,117424,4198.68,44.75,55.25,9.86,1.341,2.09,34.05,Lower_Middle,18_24,iOS,Midday,N,0.3535,District
2021-W21,4900,CashOnDelivery,50928742.0,103894,2979,1711.57,39.98,60.02,9.45,1.823,21.96,57.33,Low,55_64,POS,Evening,Y,0.8927,State
2021-W50,4814,Wallet,38145654.82,41094,81924,3667.47,69.98,30.02,6.94,0.023,34.43,10.53,Upper_Middle,35_44,iOS,Morning,N,0.9703,State
2023-W22,4789,NetBanking,31386404.95,189849,85572,1800.53,62.7,37.3,4.29,0.728,24.79,23.55,Upper_Middle,65_plus,Web,Midday,Y,0.7054,City
2022-W15,4900,Card,23491668.64,51915,31413,3525.61,26.96,73.04,3.81,0.254,8.57,61.39,Middle,18_24,iOS,Morning,Y,0.7414,PinCodeCluster
2021-W34,4814,UPI,25099751.59,39166,29399,1127.38,34.25,65.75,6.19,0.975,26.69,80.56,Low,45_54,iOS,Night,N,0.4863,State
2019-W08,4511,Wallet,4396201.96,214034,22485,1854.38,4.61,95.39,3.45,0.48,31.95,68.96,Lower_Middle,18_24,FeaturePhone,Evening,N,0.3254,National
2019-W21,5411,UPI,13002926.45,160360,36871,1280.96,24.46,75.54,7.85,0.218,30.18,26.41,Upper_Middle,35_44,iOS,Midday,N,0.368,State
2020-W47,4789,CashOnDelivery,14576686.3,93799,5309,3151.73,65.45,34.55,0.09,0.69,36.64,16.06,High,35_44,FeaturePhone,Evening,Y,0.5054,State
2024-W22,5732,Wallet,3874085.37,65072,83988,3404.29,78.99,21.01,1.39,0.741,23.88,18.81,High,25_34,FeaturePhone,Night,Y,0.3142,PinCodeCluster
2024-W39,8062,Card,54941684.61,51309,117125,2043.44,77.48,22.52,5.21,2.328,12.83,84.89,Low,35_44,Web,Midday,Y,0.2085,State
2025-W21,4722,NetBanking,56258501.01,128032,19896,1064.35,15.27,84.73,11.31,1.724,5.05,75.31,Upper_Middle,18_24,Android,Night,Y,0.0763,City
2022-W10,5999,CashOnDelivery,26947306.3,45435,66872,244.68,45.7,54.3,6.09,1.353,18.03,85.7,Low,55_64,Android,Evening,N,0.3366,City
2023-W38,4722,CashOnDelivery,28774743.37,13024,54689,4096.82,29.47,70.53,5.61,1.207,22.5,92.63,Lower_Middle,45_54,Web,Evening,Y,0.02,PinCodeCluster
2022-W44,5912,NetBanking,38575968.24,116888,73250,3713.45,86.21,13.79,3.9,0.243,37.73,77.48,Lower_Middle,45_54,Web,Midday,N,0.5304,State
2023-W14,5541,UPI,19322791.06,56718,24938,3599.16,88.87,11.13,9.76,0.493,25.84,62.72,Upper_Middle,45_54,iOS,Morning,Y,0.5244,State
2024-W42,5411,NetBanking,57746352.85,83403,99899,557.23,55.04,44.96,11.79,0.101,8.44,60.72,Upper_Middle,18_24,FeaturePhone,Night,N,0.6323,PinCodeCluster
2025-W14,5411,BNPL,54436819.31,123610,114498,4247.33,47.98,52.02,2.12,0.501,24.72,63.42,Low,45_54,Android,Night,Y,0.6541,State
2022-W13,8062,Wallet,37720458.91,146082,118986,492.32,25.0,75.0,2.27,1.591,17.23,13.33,High,25_34,FeaturePhone,Evening,N,0.992,National
2023-W35,5999,Wallet,32357843.06,228879,43421,1067.67,51.95,48.05,7.62,1.84,17.15,83.37,High,65_plus,Web,Morning,Y,0.0784,State
2022-W52,5912,CashOnDelivery,22700466.86,185323,95697,3940.71,22.02,77.98,11.49,1.899,33.29,49.08,Middle,18_24,Web,Evening,Y,0.5725,National
2025-W02,5311,NetBanking,27485182.47,244170,77184,2015.16,42.25,57.75,10.81,0.914,4.77,54.07,Middle,35_44,iOS,Midday,Y,0.9966,City
2024-W33,4900,BNPL,51886288.69,31103,94995,2600.46,60.23,39.77,2.71,2.635,1.86,23.69,Upper_Middle,55_64,FeaturePhone,Evening,N,0.4001,National
2020-W42,8062,BNPL,47608571.79,218634,32262,1925.86,40.17,59.83,8.4,2.737,16.29,64.41,High,55_64,Android,Evening,N,0.1895,PinCodeCluster
2021-W16,4789,BNPL,3615810.04,135487,21807,4095.81,58.89,41.11,4.51,1.812,17.92,66.56,Low,55_64,Android,Midday,N,0.4521,District
2023-W36,5311,NetBanking,11972452.67,78292,44657,831.0,35.2,64.8,6.44,0.617,21.59,85.63,Middle,55_64,iOS,Night,N,0.3329,District
2019-W46,5999,NetBanking,24036270.03,147316,98666,727.28,57.81,42.19,5.04,2.394,22.66,42.48,Lower_Middle,45_54,FeaturePhone,Midday,Y,0.4526,National
2021-W32,8062,CashOnDelivery,36939202.75,240083,75071,578.37,48.79,51.21,7.31,0.12,30.13,13.29,High,35_44,iOS,Evening,Y,0.6012,National
2021-W44,4814,CashOnDelivery,8463028.14,123800,104554,3330.36,59.97,40.03,11.5,2.062,10.7,18.72,Low,65_plus,POS,Midday,Y,0.6391,District
2025-W42,4789,UPI,16010957.74,44274,71247,3760.98,17.29,82.71,7.41,2.546,15.13,62.09,Middle,25_34,POS,Evening,Y,0.6371,National
2023-W06,4111,Card,36964272.94,243417,35512,4047.95,30.17,69.83,0.32,2.475,10.58,44.29,Low,25_34,FeaturePhone,Night,Y,0.4663,State
2021-W32,5311,BNPL,7129149.1,225957,94269,3676.09,83.6,16.4,1.27,0.146,15.27,56.85,Middle,45_54,FeaturePhone,Midday,Y,0.0468,National
2021-W11,5912,BNPL,42022487.84,215759,45591,2866.51,51.47,48.53,6.69,1.872,21.77,62.65,Low,25_34,iOS,Night,N,0.7964,State
2020-W52,5541,Card,26501359.18,81930,43352,2902.43,70.43,29.57,8.05,0.747,36.67,92.94,Lower_Middle,45_54,Web,Midday,Y,0.1448,District
2022-W34,8062,Card,8532758.01,105434,68081,902.79,61.36,38.64,10.32,1.672,26.01,75.98,Lower_Middle,18_24,iOS,Night,N,0.0019,State
2022-W46,5732,Wallet,45488857.5,105228,13367,2679.97,75.58,24.42,7.88,1.29,21.76,29.54,High,55_64,iOS,Evening,Y,0.1523,District
2025-W34,5732,Wallet,709557.74,66169,71229,1366.48,84.17,15.83,2.17,1.835,33.94,65.58,High,55_64,FeaturePhone,Evening,N,0.7387,City
2025-W13,4814,UPI,10711168.79,143672,75462,1343.57,59.5,40.5,6.86,2.32,27.01,51.71,Lower_Middle,18_24,Android,Midday,Y,0.1605,State
2023-W46,4814,BNPL,16655757.58,148887,44667,1667.8,22.37,77.63,5.3,0.561,26.75,77.04,Upper_Middle,55_64,Web,Night,N,0.275,State
2022-W49,4900,Card,7926690.07,248795,4875,1140.4,74.92,25.08,9.99,1.495,3.09,77.38,Middle,35_44,POS,Evening,Y,0.7653,District
2022-W06,4722,UPI,37022549.71,36025,67028,1363.4,45.75,54.25,6.51,0.433,5.85,20.58,Middle,45_54,FeaturePhone,Midday,N,0.8203,National
2019-W50,4511,BNPL,42453915.49,59551,7692,3998.3,70.17,29.83,8.81,2.343,32.92,29.3,Upper_Middle,65_plus,FeaturePhone,Evening,Y,0.6032,State
2019-W30,5812,Wallet,9285256.72,96750,59294,1151.71,67.28,32.72,10.83,2.99,17.26,24.2,Middle,45_54,POS,Night,Y,0.6653,City
2025-W41,4900,NetBanking,1374398.34,112576,65599,2560.6,84.73,15.27,2.78,0.91,16.84,55.02,Middle,45_54,Android,Evening,N,0.4135,City
2022-W05,4111,UPI,5944022.7,63495,91309,2597.05,36.36,63.64,10.8,2.98,15.65,45.39,Lower_Middle,18_24,Web,Night,N,0.2867,National
2023-W37,4511,NetBanking,22540222.84,40603,21030,2613.41,44.78,55.22,2.83,1.747,10.6,26.88,High,18_24,POS,Midday,Y,0.643,State
2023-W52,4722,NetBanking,39322992.63,15552,79858,3644.14,12.25,87.75,1.93,2.244,21.96,40.01,Lower_Middle,18_24,iOS,Evening,Y,0.1511,District
