econ_fiscal_reference_year,econ_fiscal_country_iso2,econ_fiscal_gov_sector_esa2010,econ_fiscal_deficit_surplus_eur,econ_fiscal_deficit_surplus_pct_gdp,econ_fiscal_gross_debt_eur,econ_fiscal_gross_debt_pct_gdp,econ_fiscal_interest_expenditure_eur,econ_fiscal_primary_balance_pct_gdp,econ_fiscal_structural_balance_pct_gdp,econ_fiscal_excessive_deficit_procedure_status,econ_fiscal_sgp_corrective_arm_flag,econ_fiscal_sgp_preventive_arm_flag,econ_fiscal_debt_reduction_benchmark_flag,econ_fiscal_expenditure_benchmark_flag,econ_fiscal_one_off_measures_eur,econ_fiscal_revenue_total_eur,econ_fiscal_expenditure_total_eur,econ_fiscal_eurostat_table_code,econ_fiscal_data_extract_date
2026,SE,S1312,5119286694.32,5.654,156590052464.91,172.946,2644952412.24,5.897,5.579,IN_EDP,1,0,0,1,-58130890.61,34407873088.28,29288586393.96,gov_10q_ggdebt,2024-09-25
2010,CY,S1314,-6704282574.0,-7.199,110537312937.7,118.694,3353684666.46,-5.086,-6.114,UNKNOWN,0,0,0,0,162787610.8,44286927722.92,50991210296.92,gov_10dd_edpt2,2026-01-27
2011,FR,S1311,2055776845.32,2.15,89051472063.01,93.133,1817307588.98,2.612,2.06,ON_WATCHLIST,0,1,1,1,-922340024.55,44010965493.39,41955188648.07,gov_10dd_sgpe,2025-07-10
2012,IT,S1313,-11629671216.94,-11.951,73561489914.95,75.594,3307806546.69,-13.176,-10.096,OUT_EDP,0,1,0,1,1459841577.38,38071124508.16,49700795725.1,gov_10dd_ma,2024-03-29
2013,NL,S13,3661982793.3,3.641,130094427995.04,129.349,3489124764.12,5.564,2.418,IN_EDP,1,0,1,1,-1304557826.52,41574794992.21,37912812198.91,gov_10dd_edpt1,2025-12-05
2014,SI,S1312,-5928779632.42,-5.769,142738786740.43,138.892,2671908329.57,-4.524,-3.965,UNKNOWN,0,0,1,1,1188458829.59,46230654149.43,52159433781.85,gov_10q_ggdebt,2024-05-27
2015,BG,S1314,-4617322678.24,-4.41,61004150985.83,58.265,1255993692.6,-5.523,-3.307,ON_WATCHLIST,0,1,0,1,-115349773.93,50637347005.89,55254669684.13,gov_10dd_edpt2,2025-02-17
2016,EE,S1311,2284012244.24,2.123,42588275412.34,39.586,788930817.43,2.205,0.296,OUT_EDP,0,1,0,1,52828189.63,52484474384.47,50200462140.23,gov_10dd_sgpe,2025-10-16
2017,HU,S1313,5239228658.25,4.77,183452085735.43,167.022,4593248227.74,3.379,4.488,IN_EDP,1,0,1,0,-1217965126.71,46875082350.75,41635853692.5,gov_10dd_ma,2024-09-07
2018,LU,S13,5643846877.48,5.031,35974335453.61,32.068,673966231.85,5.89,4.272,UNKNOWN,0,0,0,1,-537592531.2,53747504054.4,48103657176.92,gov_10dd_edpt1,2024-11-14
2019,RO,S1312,-3218905523.5,-2.784,203520620317.05,176.023,3943887655.15,-3.222,-1.747,ON_WATCHLIST,0,1,1,1,-1298580833.76,56908852601.74,60127758125.24,gov_10q_ggdebt,2026-01-16
2020,AT,S1314,-4741114409.7,-4.031,153652802125.79,130.639,1742103690.8,-4.858,-2.429,OUT_EDP,0,1,0,1,707432259.04,51762461888.22,56503576297.92,gov_10dd_edpt2,2024-10-09
2021,CZ,S1311,5331327715.7,4.433,93310862803.09,77.588,3942011819.78,5.541,4.655,IN_EDP,1,0,0,0,-226329414.06,57333282968.88,52001955253.18,gov_10dd_sgpe,2024-11-07
2022,DE,S1313,-1198124118.08,-0.981,75865316863.28,62.117,2611774941.22,1.371,0.085,UNKNOWN,0,0,1,1,-736095739.29,56293096470.5,57491220588.58,gov_10dd_ma,2024-05-21
2023,LV,S13,1209185794.71,0.97,34367054818.97,27.569,983987863.74,-0.063,2.258,ON_WATCHLIST,0,1,0,0,593344818.75,60237753375.14,59028567580.43,gov_10dd_edpt1,2025-03-11
2024,PL,S1312,-2164575132.45,-1.688,111433302390.46,86.899,1987987774.77,-1.55,-1.253,OUT_EDP,0,1,1,0,-1722864733.21,49063264753.98,51227839886.43,gov_10q_ggdebt,2025-03-09
2025,ES,S1314,-6820909950.03,-5.274,128830357006.56,99.613,5486401076.77,-2.817,-4.363,IN_EDP,1,0,1,1,-1951978270.87,63190331812.62,70011241762.65,gov_10dd_edpt2,2025-10-10
2026,HR,S1311,-13646953157.81,-10.338,199359306717.56,151.021,2434854592.35,-8.141,-8.609,UNKNOWN,0,0,0,1,-1010051744.29,53203436108.73,66850389266.54,gov_10dd_sgpe,2024-03-22
2010,FI,S1313,2496612162.82,1.858,248230165714.93,184.735,8319649756.06,1.276,2.425,ON_WATCHLIST,0,1,1,0,-486874219.4,61585053627.64,59088441464.82,gov_10dd_ma,2024-11-28
2011,IE,S13,-11334686909.57,-8.277,82387028374.23,60.162,1560352964.4,-9.478,-7.567,OUT_EDP,0,1,1,1,1397125357.47,65502242147.67,76836929057.24,gov_10dd_edpt1,2024-07-22
2012,MT,S1312,-1560172585.66,-1.109,186603112655.22,132.641,1708949944.22,-1.734,-0.546,IN_EDP,1,0,0,1,92046970.12,56209498106.51,57769670692.17,gov_10q_ggdebt,2025-09-30
2013,SK,S1314,-1527787800.9,-1.067,179104840546.72,125.086,4885022463.5,-0.631,-2.863,UNKNOWN,0,0,0,1,1769519462.68,68250430235.83,69778218036.73,gov_10dd_edpt2,2025-03-11
2014,BE,S1311,-6368056597.66,-4.404,244584560726.03,169.149,3327198965.54,-4.604,-4.37,ON_WATCHLIST,0,1,1,1,-665139041.76,71891917967.53,78259974565.19,gov_10dd_sgpe,2025-06-04
2015,DK,S1313,-14807195772.83,-10.044,252549372824.3,171.309,8846471464.92,-8.256,-11.087,OUT_EDP,0,1,0,0,361513294.62,62922332587.61,77729528360.44,gov_10dd_ma,2024-04-18
2016,GR,S13,-17008651403.09,-11.311,71679638854.41,47.668,2961544485.67,-11.544,-10.819,IN_EDP,1,0,0,1,-1958377725.2,64310729445.98,81319380849.07,gov_10dd_edpt1,2024-08-06
2017,LT,S1312,-4019317409.87,-2.64,238718527240.85,156.797,9855810018.16,-2.094,-2.03,UNKNOWN,0,0,1,0,-1857228501.54,77084976885.45,81104294295.32,gov_10q_ggdebt,2024-03-05
2018,PT,S1314,-7372002689.95,-4.769,57617248115.44,37.273,2248718309.33,-5.625,-4.635,ON_WATCHLIST,0,1,0,1,1228893553.76,78634663035.86,86006665725.81,gov_10dd_edpt2,2024-07-18
2019,SE,S1311,-5497055789.92,-3.499,84273525773.9,53.642,1701033531.25,-1.119,-2.633,OUT_EDP,0,1,0,0,8939739.89,79400230666.66,84897286456.58,gov_10dd_sgpe,2025-07-26
2020,CY,S1313,4572349206.95,2.846,147168272805.49,91.603,1472033084.1,4.892,2.892,IN_EDP,1,0,0,1,-1316754768.38,69452783259.13,64880434052.18,gov_10dd_ma,2025-09-05
2021,FR,S13,4753680092.91,2.915,141989081306.93,87.069,1308071318.88,2.689,2.846,UNKNOWN,0,0,0,1,814896508.73,72342944359.74,67589264266.83,gov_10dd_edpt1,2025-07-18
2022,IT,S1312,-17771649103.85,-10.799,271946221202.17,165.249,2381267210.01,-9.769,-11.113,ON_WATCHLIST,0,1,1,0,142804760.26,83502719729.08,101274368832.93,gov_10q_ggdebt,2025-09-02
2023,NL,S1314,-2758925484.04,-1.655,95037064559.14,57.01,3553902880.7,-2.199,-2.899,OUT_EDP,0,1,0,0,-634462478.0,69753485172.8,72512410656.84,gov_10dd_edpt2,2024-02-22
2024,SI,S1311,4853471821.6,2.857,283264720133.25,166.744,4557300407.15,2.438,1.579,IN_EDP,1,0,1,0,-289269528.46,86541220066.2,81687748244.6,gov_10dd_sgpe,2024-04-15
2025,BG,S1313,5496734686.34,3.193,48924898147.73,28.42,2100991137.7,4.849,2.179,UNKNOWN,0,0,0,1,206508609.76,67976190486.62,62479455800.28,gov_10dd_ma,2024-10-30
2026,EE,S13,2485342430.98,1.423,210930994651.63,120.77,4271556367.46,0.074,1.271,ON_WATCHLIST,0,1,0,0,1306632335.08,77541017723.25,75055675292.27,gov_10dd_edpt1,2025-09-25
2010,HU,S1312,695567491.93,0.392,42637222610.94,24.029,757791611.57,1.947,-1.137,OUT_EDP,0,1,0,1,-1132688756.88,78282623250.12,77587055758.19,gov_10q_ggdebt,2025-03-20
2011,LU,S1314,3805596005.99,2.122,142243566076.69,79.315,2249919431.5,1.664,1.941,IN_EDP,1,0,0,1,1064141411.98,92260743524.27,88455147518.28,gov_10dd_edpt2,2026-01-19
2012,RO,S1311,-17770169732.3,-9.741,171161705690.65,93.825,6807454506.11,-10.074,-10.001,UNKNOWN,0,0,0,1,864962045.89,71856937033.52,89627106765.82,gov_10dd_sgpe,2024-12-15
2013,AT,S1313,-13095071534.23,-7.055,213172172996.68,114.847,4381984974.46,-6.982,-6.921,ON_WATCHLIST,0,1,0,1,-608030555.3,86394935860.79,99490007395.02,gov_10dd_ma,2024-03-01
2014,CZ,S13,-15337189808.41,-8.203,51671166347.11,27.636,1829953572.35,-8.359,-6.517,OUT_EDP,0,1,0,1,1769772700.98,82212067808.23,97549257616.64,gov_10dd_edpt1,2026-01-19
2015,DE,S1312,5072358469.94,2.662,307834232867.99,161.553,8783510369.49,3.71,2.046,IN_EDP,1,0,0,0,1345847859.06,82926194935.54,77853836465.6,gov_10q_ggdebt,2025-12-06
2016,LV,S1314,1247299567.47,0.649,218734831545.07,113.813,8331898538.88,0.684,2.104,UNKNOWN,0,0,0,1,1041540749.77,92523702772.35,91276403204.88,gov_10dd_edpt2,2024-08-30
2017,PL,S1311,6195562184.04,3.188,52316353197.76,26.92,950012647.41,2.012,1.858,ON_WATCHLIST,0,1,0,1,107472241.51,77384494069.38,71188931885.34,gov_10dd_sgpe,2025-07-29
2018,ES,S1313,6802361841.6,3.446,344022639881.07,174.278,9480473554.47,5.303,5.056,OUT_EDP,0,1,1,0,-683854044.41,84889635527.81,78087273686.21,gov_10dd_ma,2024-07-14
2019,HR,S13,5198026446.97,2.595,248379531164.54,123.998,7314923566.75,3.661,3.721,IN_EDP,1,0,0,0,80619482.9,83435688346.17,78237661899.2,gov_10dd_edpt1,2025-03-19
2020,FI,S1312,-12385355086.05,-6.134,237480198637.96,117.615,8819495353.48,-4.295,-4.594,UNKNOWN,0,0,1,1,-1833235929.57,103461635343.89,115846990429.94,gov_10q_ggdebt,2025-10-23
2021,IE,S1314,-7442912771.75,-3.631,292831779078.29,142.857,7898292857.68,-3.669,-5.088,ON_WATCHLIST,0,1,0,1,1972416491.29,81242732567.42,88685645339.17,gov_10dd_edpt2,2024-05-21
2022,MT,S1311,8765392878.28,4.228,93054555189.62,44.885,2507592763.13,5.389,4.522,OUT_EDP,0,1,0,1,-1965582788.68,90487892085.53,81722499207.25,gov_10dd_sgpe,2025-04-22
2023,SK,S1313,-4358888840.06,-2.081,181711833086.43,86.752,3570921166.69,-0.402,-3.553,IN_EDP,1,0,0,1,12225507.64,108881538115.12,113240426955.18,gov_10dd_ma,2025-04-19
2024,BE,S13,-24746435865.76,-11.661,63074656273.24,29.722,840739916.72,-11.546,-12.284,UNKNOWN,0,0,0,0,-891123783.22,102285703966.4,127032139832.16,gov_10dd_edpt1,2024-06-18
2025,DK,S1312,2542749828.07,1.187,56274673954.0,26.27,950351715.1,3.64,0.225,ON_WATCHLIST,0,1,0,1,1154047533.66,108687597255.06,106144847426.99,gov_10q_ggdebt,2024-12-05
2026,GR,S1314,3164572386.01,1.45,316605646133.2,145.068,12907716314.19,3.134,2.876,OUT_EDP,0,1,0,0,1666795900.18,91385292027.71,88220719641.7,gov_10dd_edpt2,2025-02-14
2010,LT,S1311,-24317393522.27,-11.045,249719486235.93,113.423,7756033216.65,-11.858,-11.019,IN_EDP,1,0,1,0,-1821921131.6,102249870024.25,126567263546.52,gov_10dd_sgpe,2025-03-21
2011,PT,S1313,-26104434183.74,-11.734,152286247927.34,68.453,6250239791.91,-12.105,-11.118,UNKNOWN,0,0,1,0,-1553285332.66,90664494502.98,116768928686.72,gov_10dd_ma,2025-05-19
2012,SE,S13,5360198100.68,2.385,400416911702.46,178.164,17496159790.05,2.943,1.642,ON_WATCHLIST,0,1,0,1,-544833783.93,94424636318.78,89064438218.1,gov_10dd_edpt1,2024-02-21
2013,CY,S1312,-4534395176.77,-1.987,357578250343.66,156.693,5833978329.58,-1.994,-3.49,OUT_EDP,0,1,1,0,-1329428409.29,91615408162.63,96149803339.4,gov_10q_ggdebt,2025-04-19
2014,FR,S1314,11072619135.31,4.804,372479312106.86,161.605,7093862819.23,4.1,4.269,IN_EDP,1,0,1,0,-1425667229.64,101033906322.56,89961287187.25,gov_10dd_edpt2,2024-01-12
2015,IT,S1311,5043612057.84,2.174,85059334171.36,36.664,3433569561.58,1.824,1.906,UNKNOWN,0,0,0,1,-637272064.26,102400302319.94,97356690262.1,gov_10dd_sgpe,2026-02-22
2016,NL,S1313,2722871582.99,1.155,72708922391.95,30.842,2673355642.85,-0.3,1.381,ON_WATCHLIST,0,1,0,1,-1371781924.73,92411481104.88,89688609521.89,gov_10dd_ma,2025-11-15
2017,SI,S13,4179159521.8,1.757,299821990257.51,126.051,6600369146.47,1.768,0.753,OUT_EDP,0,1,1,0,644357785.33,101415279724.25,97236120202.45,gov_10dd_edpt1,2024-03-28
2018,BG,S1312,-25769721081.12,-10.716,59359816644.87,24.684,1184412757.5,-10.288,-9.254,IN_EDP,1,0,0,0,1963512895.57,120468074836.96,146237795918.08,gov_10q_ggdebt,2024-04-17
2019,EE,S1314,-22805974480.49,-9.383,99803786008.51,41.062,3172316044.74,-8.877,-8.936,UNKNOWN,0,0,0,0,748675845.98,102594189753.26,125400164233.75,gov_10dd_edpt2,2025-02-28
2020,HU,S1311,-7956635646.42,-3.257,367998673781.34,150.638,5706615406.92,-1.769,-4.167,ON_WATCHLIST,0,1,0,1,-1062744012.61,119970368743.58,127927004390.0,gov_10dd_sgpe,2024-04-06
2021,LU,S1313,-17356236870.79,-7.014,466866440035.85,188.67,9423156682.4,-4.987,-7.525,OUT_EDP,0,1,0,0,-457532963.68,106120616412.94,123476853283.73,gov_10dd_ma,2024-03-06
2022,RO,S13,-5946842640.79,-2.373,261192445948.59,104.225,2635468766.11,-1.147,-2.641,IN_EDP,1,0,1,1,390209058.04,102512200473.4,108459043114.19,gov_10dd_edpt1,2025-06-28
2023,AT,S1312,3368662400.78,1.337,425030963135.82,168.692,11168698331.01,2.8,0.777,UNKNOWN,0,0,0,1,-431398939.17,121603950762.11,118235288361.33,gov_10q_ggdebt,2026-01-23
2024,CZ,S1314,12335126877.84,4.829,396057449246.09,155.05,13710334411.22,4.766,3.958,ON_WATCHLIST,0,1,0,0,-1059077188.62,132485199545.78,120150072667.94,gov_10dd_edpt2,2026-02-07
2025,DE,S1311,-30367195602.12,-11.82,97210993840.34,37.838,1634971307.96,-10.98,-11.078,OUT_EDP,0,1,0,1,1616935743.77,108530724674.47,138897920276.59,gov_10dd_sgpe,2025-10-17
2026,LV,S1313,-19243553289.2,-7.409,421649134966.67,162.34,10150152038.91,-7.755,-7.369,IN_EDP,1,0,0,1,1763574630.14,98710501242.46,117954054531.66,gov_10dd_ma,2025-04-11
2010,PL,S13,4681286888.79,1.779,390154606198.33,148.268,13119230093.0,2.192,2.442,UNKNOWN,0,0,1,0,-1719316302.29,103610604210.59,98929317321.8,gov_10dd_edpt1,2025-08-16
2011,ES,S1312,-27199551699.83,-10.242,312569111107.83,117.698,13836599417.36,-10.149,-11.19,ON_WATCHLIST,0,1,1,1,1754744971.79,116775909473.0,143975461172.83,gov_10q_ggdebt,2025-08-10
2012,HR,S1314,-8136040867.74,-3.048,113821823701.24,42.641,3964495358.93,-3.526,-1.936,OUT_EDP,0,1,0,1,304633383.3,113951262079.34,122087302947.08,gov_10dd_edpt2,2025-05-01
2013,FI,S1311,-9438170826.62,-3.505,430714493597.79,159.952,16270574621.99,-4.231,-2.032,IN_EDP,1,0,0,1,225494955.94,112301871922.33,121740042748.95,gov_10dd_sgpe,2024-04-27
2014,IE,S1313,-17923926476.06,-6.572,341746440517.82,125.305,13471729070.7,-6.999,-6.628,UNKNOWN,0,0,0,1,1425116042.06,125611628149.83,143535554625.89,gov_10dd_ma,2025-04-09
2015,MT,S13,-30620771925.7,-11.117,148245081030.25,53.821,5539862629.16,-9.858,-10.485,ON_WATCHLIST,0,1,0,1,-414207476.78,121024592906.36,151645364832.06,gov_10dd_edpt1,2024-07-04
2016,SK,S1312,13224629536.15,4.761,340409908482.33,122.551,13270710412.86,4.338,4.325,OUT_EDP,0,1,0,0,-1774382960.31,105663349412.86,92438719876.71,gov_10q_ggdebt,2024-01-20
2017,BE,S1314,-173247573.66,-0.062,272797864942.08,97.626,10570135742.07,-0.13,-0.852,IN_EDP,1,0,1,1,80613419.43,132612067054.74,132785314628.4,gov_10dd_edpt2,2024-10-24
2018,DK,S1311,6424021949.04,2.28,318003174244.72,112.865,6538275345.92,1.809,4.257,UNKNOWN,0,0,1,0,1239381671.09,138301784459.55,131877762510.51,gov_10dd_sgpe,2024-07-06
2019,GR,S1313,-20203446757.7,-7.086,527983978836.9,185.181,19069980015.97,-4.806,-8.56,ON_WATCHLIST,0,1,1,1,-1607305553.35,128653039517.92,148856486275.62,gov_10dd_ma,2026-01-13
2020,LT,S13,1784396528.11,0.619,300902873016.79,104.382,8370613092.51,3.043,-0.099,OUT_EDP,0,1,0,1,1958066114.25,144767980709.21,142983584181.1,gov_10dd_edpt1,2024-10-03
2021,PT,S1312,4015017191.17,1.386,262129058870.74,90.488,9251644430.06,3.83,0.844,IN_EDP,1,0,1,0,-1706169282.3,144222629552.06,140207612360.89,gov_10q_ggdebt,2024-12-21
2022,SE,S1314,3832756473.07,1.308,419475856380.92,143.154,8856702395.22,1.828,1.954,UNKNOWN,0,0,0,1,-244510862.36,136010136193.78,132177379720.71,gov_10dd_edpt2,2024-10-25
2023,CY,S1311,15842263039.96,5.383,333941249281.4,113.469,13439104986.82,5.806,4.57,ON_WATCHLIST,0,1,1,0,-600227798.79,137738636914.31,121896373874.35,gov_10dd_sgpe,2024-06-11
2024,FR,S1313,-6114262440.64,-2.056,67694044716.06,22.763,952518255.8,-3.281,-3.529,OUT_EDP,0,1,0,0,-1980476573.14,118504290730.22,124618553170.86,gov_10dd_ma,2025-09-10
2025,IT,S13,2082804579.79,0.693,448665560289.45,149.282,13675527093.2,-0.07,2.661,IN_EDP,1,0,0,1,1625472481.87,127735176239.68,125652371659.89,gov_10dd_edpt1,2024-12-11
2026,NL,S1312,-36019154792.51,-11.918,198310864240.66,65.617,4147623308.61,-9.88,-11.631,UNKNOWN,0,0,1,1,-1969116966.72,122336367199.69,158355521992.2,gov_10q_ggdebt,2025-11-10
2010,SI,S1314,17324418500.34,5.676,350849996863.15,114.949,12061759792.66,6.28,7.026,ON_WATCHLIST,0,1,0,0,737782946.23,145427696476.68,128103277976.34,gov_10dd_edpt2,2024-10-10
2011,BG,S1311,-7407420842.78,-2.412,200070997365.19,65.147,6276823492.54,-1.609,-1.463,OUT_EDP,0,1,1,0,-1700107460.51,159090140021.39,166497560864.17,gov_10dd_sgpe,2024-06-21
2012,EE,S1313,-3023001796.14,-0.977,369839671124.73,119.528,7451206256.62,0.963,0.963,IN_EDP,1,0,1,1,1444367267.73,140972029988.44,143995031784.58,gov_10dd_ma,2024-02-21
2013,HU,S13,-24106070757.11,-7.71,464096577539.85,148.435,9473730181.97,-8.11,-7.71,UNKNOWN,0,0,0,0,167784754.84,121304730131.78,145410800888.89,gov_10dd_edpt1,2025-05-28
2014,LU,S1312,-5371292490.6,-1.703,79159541355.92,25.098,2759079719.43,-1.387,-1.276,ON_WATCHLIST,0,1,0,1,-825626682.44,145121512090.14,150492804580.74,gov_10q_ggdebt,2024-11-08
2015,RO,S1314,8905654203.79,2.811,123326361149.4,38.927,3760347632.16,1.736,2.798,OUT_EDP,0,1,0,1,-620849489.73,161093692388.07,152188038184.28,gov_10dd_edpt2,2025-11-12
2016,AT,S1311,-21521691593.54,-6.719,551482536590.41,172.171,20232520391.17,-6.214,-6.876,IN_EDP,1,0,0,0,-1048380425.24,132094770333.75,153616461927.29,gov_10dd_sgpe,2024-10-08
2017,CZ,S1313,1230718677.28,0.382,343721684614.77,106.687,4844053825.11,2.089,-1.475,UNKNOWN,0,0,0,1,1755486868.36,130912262324.94,129681543647.66,gov_10dd_ma,2024-12-18
2018,DE,S13,-15901105691.13,-4.883,264802418899.3,81.317,4873098187.37,-5.756,-3.3,ON_WATCHLIST,0,1,0,1,-1474975967.88,143820257780.41,159721363471.54,gov_10dd_edpt1,2024-01-23
2019,LV,S1312,-5545836258.49,-1.697,328295859174.25,100.457,12042098408.16,0.579,-1.196,OUT_EDP,0,1,0,1,-1756897126.3,133576963789.9,139122800048.39,gov_10q_ggdebt,2025-11-13
2020,PL,S1314,-13529850743.02,-4.102,229826053126.09,69.679,9121732893.03,-3.559,-3.204,IN_EDP,1,0,1,1,-1514229338.25,155121039515.9,168650890258.92,gov_10dd_edpt2,2024-06-16
2021,ES,S1311,13321391940.3,4.014,555522620051.49,167.39,22043847621.49,4.341,2.592,UNKNOWN,0,0,0,1,-1188358476.94,154434976324.25,141113584383.95,gov_10dd_sgpe,2024-08-15
2022,HR,S1313,12100137236.36,3.615,248208458264.17,74.154,8896072954.27,3.633,3.134,ON_WATCHLIST,0,1,1,1,-1945836912.33,150104577145.17,138004439908.81,gov_10dd_ma,2024-08-16
2023,FI,S13,17323487717.34,5.13,339803757318.71,100.626,2930650530.71,7.441,5.755,OUT_EDP,0,1,1,1,-232721024.23,152115178889.76,134791691172.42,gov_10dd_edpt1,2024-12-06
2024,IE,S1312,-21386671028.95,-6.303,392842235716.1,115.777,15572359055.6,-7.439,-5.697,IN_EDP,1,0,0,0,-1166843356.67,144836619467.27,166223290496.22,gov_10q_ggdebt,2025-03-17
2025,MT,S1314,-4105613175.35,-1.201,412239798858.2,120.591,17717744536.95,0.265,-2.303,UNKNOWN,0,0,1,1,-1615432428.21,176493111596.43,180598724771.78,gov_10dd_edpt2,2025-07-19
2026,SK,S1311,-4361387777.03,-1.266,568148270773.77,164.919,7594200635.28,-1.173,-0.293,ON_WATCHLIST,0,1,0,1,-783817783.69,157800205153.07,162161592930.1,gov_10dd_sgpe,2025-06-15
2010,BE,S1313,-36764231735.47,-10.585,583406852439.38,167.972,18610074349.72,-11.337,-11.108,OUT_EDP,0,1,1,1,760221603.04,162988751240.61,199752982976.08,gov_10dd_ma,2024-04-14
2011,DK,S13,-12041912959.89,-3.448,467221333436.07,133.781,18829025134.15,-4.839,-4.875,IN_EDP,1,0,1,1,-1682116382.32,153248397223.34,165290310183.23,gov_10dd_edpt1,2024-07-10
2012,GR,S1312,-33691317408.12,-9.56,208561941863.26,59.18,3363916597.9,-8.302,-8.382,UNKNOWN,0,0,0,1,1022833442.33,179441087612.81,213132405020.93,gov_10q_ggdebt,2025-02-18
2013,LT,S1314,-3035500326.67,-0.857,156740910683.48,44.252,4215408857.07,1.074,-0.37,ON_WATCHLIST,0,1,0,0,1884432383.71,172256439466.2,175291939792.87,gov_10dd_edpt2,2025-01-31
2014,PT,S1311,-28238830974.61,-7.903,523577869506.44,146.53,23216776113.78,-8.666,-8.12,OUT_EDP,0,1,1,0,1557165096.47,183483612631.84,211722443606.45,gov_10dd_sgpe,2025-05-08
2015,SE,S1313,-41241319002.34,-11.456,574905282883.75,159.697,10124025900.92,-11.271,-11.055,IN_EDP,1,0,0,1,431591774.24,139556008763.9,180797327766.24,gov_10dd_ma,2025-11-18
