agri_livestock_reference_year,agri_livestock_country_iso2,agri_livestock_region_nuts_code,agri_livestock_species_code,agri_livestock_herd_count,agri_livestock_slaughtered_count,agri_livestock_meat_production_tonnes,agri_livestock_milk_production_tonnes,agri_livestock_egg_production_million,agri_livestock_feed_price_index,agri_livestock_veterinary_medicines_use_index,agri_livestock_antimicrobial_use_mg_pcu,agri_livestock_notifiable_disease_code,agri_livestock_outbreak_count,agri_livestock_animal_welfare_compliance_flag,agri_livestock_carbon_footprint_tco2e,agri_livestock_manure_management_type,agri_livestock_eurostat_table_code,agri_livestock_data_source,agri_livestock_data_extract_date
2026,SE,LT966,POULTRY,462,230,0.33,0.0,5.759,82.647,75.723,114.71,NONE,0,1,6.58,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-04-24
2010,CY,BE5,EQUINE,331,508,33.28,0.0,0.0,82.763,76.125,108.59,BRUCELLOSIS,6,1,138.49,SOLID_STORAGE,apro_mk_pobta,EFSA,2025-06-26
2011,FR,FI550,BOVINE,848,1393,370.42,4662.68,0.0,82.266,77.287,184.53,AVIAN_INFLUENZA,7,1,8187.83,LAGOON,apro_mk_pobta,FARM_REPORTING,2025-01-26
2012,IT,CY4,PIGS,209,365,38.25,0.0,0.0,83.706,77.251,188.75,TB,8,1,399.76,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2024-05-17
2013,NL,SE4,SHEEP,993,1003,21.32,4547.14,0.0,83.54,78.184,178.93,BSE,9,1,4263.9,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-07-17
2014,SI,LU737,GOATS,383,668,18.7,2009.34,0.0,84.126,76.896,46.44,ASF,10,1,1584.58,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-03-30
2015,BG,AT28,POULTRY,468,174,0.21,0.0,5.878,83.296,77.241,54.38,BLUETONGUE,11,0,3.33,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-07-01
2016,EE,LU8,EQUINE,798,611,39.3,0.0,0.0,85.172,77.049,37.63,FMD,12,1,688.84,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-01-03
2017,HU,ES655,BOVINE,254,227,54.54,209.45,0.0,85.356,78.963,17.6,NONE,0,0,1111.4,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-03-23
2018,LU,DE440,PIGS,835,572,51.9,0.0,0.0,85.13,78.973,5.01,BRUCELLOSIS,2,1,553.88,OTHER,apro_mt_lscatl,EUROSTAT,2026-01-16
2019,RO,DK3,SHEEP,865,491,14.04,1524.98,0.0,85.178,78.612,125.68,AVIAN_INFLUENZA,3,1,783.85,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2025-10-07
2020,AT,DE895,GOATS,558,617,11.56,325.88,0.0,85.378,79.035,85.62,TB,4,1,436.76,COMPOSTING,apro_mk_pobta,EFSA,2025-01-20
2021,CZ,IE53,POULTRY,392,141,0.24,0.0,2.834,86.504,79.118,154.03,BSE,5,1,3.76,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2024-11-16
2022,DE,MT68,EQUINE,469,228,14.68,0.0,0.0,87.537,78.996,154.62,ASF,6,0,55.49,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2025-08-31
2023,LV,NL82,BOVINE,692,644,174.18,42.41,0.0,88.52,80.751,160.6,BLUETONGUE,7,1,502.96,LAGOON,apro_mt_lscatl,EUROSTAT,2024-08-18
2024,PL,ES22,PIGS,734,923,104.03,0.0,0.0,88.718,80.14,124.03,FMD,8,1,923.54,OTHER,agr_r_animal,ECDC_ZOONOSES,2025-06-30
2025,ES,FR3,SHEEP,913,1080,27.9,3799.87,0.0,87.606,81.562,150.7,NONE,0,1,2189.42,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-04-24
2026,HR,HR5,GOATS,460,589,12.12,824.02,0.0,89.778,80.554,177.83,BRUCELLOSIS,10,0,690.04,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2024-03-21
2010,FI,MT90,POULTRY,990,1164,1.49,0.0,11.714,89.01,81.454,145.82,AVIAN_INFLUENZA,11,0,5.63,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-04-19
2011,IE,SI88,EQUINE,383,319,21.17,0.0,0.0,89.544,82.916,123.14,TB,12,1,190.12,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2025-06-19
2012,MT,FR26,BOVINE,740,1257,356.88,1254.42,0.0,90.523,81.708,204.4,BSE,1,1,7435.94,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-05-28
2013,SK,CZ357,PIGS,699,383,34.01,0.0,0.0,90.51,83.927,165.41,ASF,2,0,193.54,OTHER,apro_mk_pobta,EFSA,2024-07-20
2014,BE,SK19,SHEEP,1019,572,12.41,4230.96,0.0,91.198,82.929,80.9,BLUETONGUE,3,1,1790.84,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-03-02
2015,DK,LT161,GOATS,369,148,2.73,375.28,0.0,91.533,84.652,169.09,FMD,4,1,256.62,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-12-23
2016,GR,NL55,POULTRY,244,426,0.83,0.0,0.027,90.975,83.869,34.02,NONE,0,1,8.47,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2026-02-13
2017,LT,GR996,EQUINE,1076,1377,95.28,0.0,0.0,92.023,83.267,146.57,BRUCELLOSIS,6,1,1287.94,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2026-01-03
2018,PT,CY6,BOVINE,1030,1848,420.39,1515.03,0.0,91.724,84.62,126.83,AVIAN_INFLUENZA,7,1,5505.25,LAGOON,apro_mk_pobta,EFSA,2025-08-29
2019,SE,IE24,PIGS,193,84,7.67,0.0,0.0,93.592,85.241,73.26,TB,8,1,157.98,OTHER,apro_mk_pobta,FARM_REPORTING,2025-08-15
2020,CY,IT506,SHEEP,692,642,13.69,1539.64,0.0,94.465,84.87,195.52,BSE,9,0,863.34,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-08-06
2021,FR,IE933,GOATS,608,541,8.37,2928.4,0.0,94.279,86.914,65.23,ASF,10,1,2642.26,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-07-11
2022,IT,MT567,POULTRY,615,1005,1.71,0.0,5.176,94.423,87.263,202.85,BLUETONGUE,11,1,35.45,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2024-05-30
2023,NL,LV892,EQUINE,874,552,52.96,0.0,0.0,95.465,87.501,60.02,FMD,12,1,1316.51,SOLID_STORAGE,apro_mk_pobta,EFSA,2025-09-17
2024,SI,LV621,BOVINE,453,699,209.75,1799.21,0.0,95.868,85.646,65.57,NONE,0,1,4717.99,LAGOON,apro_mk_pobta,FARM_REPORTING,2025-09-16
2025,BG,SI86,PIGS,966,1502,166.53,0.0,0.0,94.921,88.107,139.5,BRUCELLOSIS,2,1,1759.88,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2024-10-27
2026,EE,SE778,SHEEP,592,1014,23.36,1592.05,0.0,95.752,87.058,213.8,AVIAN_INFLUENZA,3,1,948.63,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-06-12
2010,HU,DK506,GOATS,428,389,6.51,2394.03,0.0,95.816,87.709,34.31,TB,4,1,641.64,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-09-23
2011,LU,RO65,POULTRY,664,692,1.69,0.0,2.62,96.032,88.412,129.63,BSE,5,1,22.86,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-12-03
2012,RO,LU56,EQUINE,812,1461,109.93,0.0,0.0,97.439,88.395,204.26,ASF,6,1,853.41,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-09-19
2013,AT,DK44,BOVINE,352,322,74.69,730.78,0.0,96.923,89.978,98.11,BLUETONGUE,7,1,766.19,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2025-05-27
2014,CZ,BE40,PIGS,825,666,50.45,0.0,0.0,99.032,90.345,138.17,FMD,8,1,488.81,OTHER,apro_mt_lscatl,EUROSTAT,2025-12-26
2015,DE,FR475,SHEEP,511,441,10.0,294.9,0.0,98.966,90.335,96.29,NONE,0,1,362.42,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-08-11
2016,LV,LU267,GOATS,884,988,26.88,2017.71,0.0,99.52,89.648,141.9,BRUCELLOSIS,10,0,1627.66,COMPOSTING,apro_mk_pobta,EFSA,2024-09-20
2017,PL,BG54,POULTRY,1099,451,0.94,0.0,11.748,99.123,91.113,217.91,AVIAN_INFLUENZA,11,1,21.64,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2026-02-21
2018,ES,PL47,EQUINE,401,188,22.07,0.0,0.0,99.809,91.434,155.24,TB,12,1,103.74,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2024-11-26
2019,HR,SK8,BOVINE,984,1032,258.34,1216.76,0.0,100.65,90.355,214.04,BSE,1,1,4006.74,LAGOON,apro_mt_lscatl,EUROSTAT,2024-01-05
2020,FI,DK915,PIGS,1088,942,81.98,0.0,0.0,101.237,91.435,185.82,ASF,2,1,1343.78,OTHER,agr_r_animal,ECDC_ZOONOSES,2025-04-17
2021,IE,SK1,SHEEP,482,359,8.66,727.02,0.0,101.198,92.296,130.38,BLUETONGUE,3,1,403.38,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-12-17
2022,MT,HR85,GOATS,756,1104,22.68,383.54,0.0,101.748,92.595,90.76,FMD,4,1,536.98,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-04-07
2023,SK,HR672,POULTRY,401,398,0.93,0.0,2.476,100.949,92.286,11.14,NONE,0,1,17.8,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-09-11
2024,BE,IE458,EQUINE,570,966,105.18,0.0,0.0,101.687,92.899,63.68,BRUCELLOSIS,6,1,2023.33,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2026-02-22
2025,DK,DE19,BOVINE,636,951,206.21,1959.55,0.0,102.407,93.181,13.85,AVIAN_INFLUENZA,7,1,3057.62,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-01-11
2026,GR,PL45,PIGS,293,206,17.26,0.0,0.0,103.558,94.542,174.99,TB,8,1,182.58,OTHER,apro_mk_pobta,EFSA,2025-12-25
2010,LT,NL8,SHEEP,952,1058,23.24,2268.69,0.0,103.145,93.289,171.68,BSE,9,0,1022.53,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2024-04-26
2011,PT,AT8,GOATS,796,358,10.0,3343.05,0.0,104.304,93.108,139.0,ASF,10,1,1214.52,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2025-04-26
2012,SE,GR297,POULTRY,1132,1853,3.34,0.0,5.081,104.699,95.054,79.32,BLUETONGUE,11,0,27.87,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-04-07
2013,CY,CY56,EQUINE,693,1163,130.38,0.0,0.0,105.439,95.863,57.65,FMD,12,1,424.48,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-11-15
2014,FR,DE6,BOVINE,446,689,176.47,548.68,0.0,104.277,94.974,58.63,NONE,0,1,4231.87,LAGOON,apro_mk_pobta,EFSA,2024-07-22
2015,IT,HR820,PIGS,657,353,37.83,0.0,0.0,105.419,94.463,20.47,BRUCELLOSIS,2,1,876.74,OTHER,apro_mk_pobta,FARM_REPORTING,2025-12-26
2016,NL,AT657,SHEEP,890,1461,39.26,3270.56,0.0,105.494,95.393,114.46,AVIAN_INFLUENZA,3,1,2735.64,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-05-21
2017,SI,SE407,GOATS,606,754,13.89,2361.38,0.0,106.205,97.283,218.7,TB,4,1,2136.65,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-03-20
2018,BG,GR14,POULTRY,777,446,0.78,0.0,9.055,106.973,97.754,164.56,BSE,5,1,11.66,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2024-10-22
2019,EE,DE836,EQUINE,823,506,30.76,0.0,0.0,106.905,97.388,35.78,ASF,6,0,598.21,SOLID_STORAGE,apro_mk_pobta,EFSA,2024-06-12
2020,HU,CY3,BOVINE,403,647,133.77,348.44,0.0,107.253,96.913,32.85,BLUETONGUE,7,1,2075.02,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-01-07
2021,LU,EE6,PIGS,400,589,54.94,0.0,0.0,108.226,97.231,129.51,FMD,8,1,531.26,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-09-05
2022,RO,LT97,SHEEP,578,537,15.33,1873.15,0.0,108.044,98.341,218.62,NONE,0,1,1149.69,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2025-07-13
2023,AT,RO966,GOATS,676,733,11.85,3358.24,0.0,109.419,97.949,16.4,BRUCELLOSIS,10,1,1868.0,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2024-03-12
2024,CZ,NL37,POULTRY,721,259,0.34,0.0,9.897,109.206,98.242,109.75,AVIAN_INFLUENZA,11,1,4.05,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2025-11-08
2025,DE,SI248,EQUINE,657,545,53.65,0.0,0.0,109.022,100.118,92.33,TB,12,0,1249.85,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2024-03-09
2026,LV,RO676,BOVINE,694,394,110.71,3765.36,0.0,110.303,100.04,13.65,BSE,1,1,2077.12,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-01-02
2010,PL,PL63,PIGS,858,694,59.0,0.0,0.0,111.235,99.275,199.49,ASF,2,0,1422.16,OTHER,apro_mt_lscatl,EUROSTAT,2025-10-11
2011,ES,IE9,SHEEP,1056,1393,31.44,1860.47,0.0,110.306,101.287,102.28,BLUETONGUE,3,0,677.49,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2025-11-23
2012,HR,BE8,GOATS,318,176,4.22,257.24,0.0,111.909,101.525,208.4,FMD,4,1,211.24,COMPOSTING,apro_mk_pobta,EFSA,2025-01-30
2013,FI,IE14,POULTRY,1017,1807,3.68,0.0,11.357,111.339,101.436,134.18,NONE,0,1,29.76,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2025-01-06
2014,IE,SI62,EQUINE,391,243,16.1,0.0,0.0,112.635,102.329,37.93,BRUCELLOSIS,6,1,290.27,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2025-05-03
2015,MT,SK3,BOVINE,894,636,186.28,3163.71,0.0,111.947,102.04,106.24,AVIAN_INFLUENZA,7,1,6131.69,LAGOON,apro_mt_lscatl,EUROSTAT,2025-05-08
2016,SK,FR31,PIGS,848,719,57.42,0.0,0.0,112.712,102.114,100.65,TB,8,1,906.57,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-10-02
2017,BE,DK99,SHEEP,916,1527,38.79,1096.9,0.0,113.41,102.357,22.62,BSE,9,1,513.7,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-09-04
2018,DK,NL64,GOATS,845,615,11.84,1075.69,0.0,113.645,101.87,24.38,ASF,10,1,686.54,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-11-07
2019,GR,DE1,POULTRY,1151,1118,2.09,0.0,4.586,114.57,103.251,159.0,BLUETONGUE,11,1,22.4,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-07-17
2020,LT,BG6,EQUINE,1143,1619,151.27,0.0,0.0,114.536,102.987,204.01,FMD,12,1,871.66,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2025-09-28
2021,PT,ES99,BOVINE,535,421,81.2,525.55,0.0,114.416,104.106,148.09,NONE,0,1,1129.01,LAGOON,agr_r_animal,ECDC_ZOONOSES,2024-09-27
2022,SE,FR127,PIGS,1141,438,40.46,0.0,0.0,116.11,103.623,117.07,BRUCELLOSIS,2,1,993.32,OTHER,apro_mk_pobta,EFSA,2025-11-11
2023,CY,PT2,SHEEP,316,120,2.79,1006.3,0.0,115.311,103.412,218.17,AVIAN_INFLUENZA,3,1,871.14,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-03-09
2024,FR,FR64,GOATS,1084,1027,26.39,3389.31,0.0,116.578,103.89,83.06,TB,4,0,1682.16,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-09-23
2025,IT,EE84,POULTRY,695,806,1.02,0.0,4.583,116.437,104.742,91.56,BSE,5,0,14.15,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-07-23
2026,NL,SI73,EQUINE,306,523,34.66,0.0,0.0,118.298,106.445,120.84,ASF,6,0,638.64,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-03-19
2010,SI,LT6,BOVINE,624,301,70.71,3002.46,0.0,117.628,106.308,16.36,BLUETONGUE,7,1,4267.17,LAGOON,apro_mk_pobta,EFSA,2025-02-22
2011,BG,HR860,PIGS,443,482,47.78,0.0,0.0,117.29,105.106,199.52,FMD,8,1,577.65,OTHER,apro_mk_pobta,FARM_REPORTING,2026-02-03
2012,EE,MT259,SHEEP,1111,705,16.69,2504.49,0.0,118.919,106.14,131.11,NONE,0,1,2099.48,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-01-22
2013,HU,EE95,GOATS,327,475,7.24,965.18,0.0,119.874,105.665,191.3,BRUCELLOSIS,10,0,631.33,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-12-17
2014,LU,AT5,POULTRY,1137,654,1.57,0.0,15.973,118.741,107.392,138.91,AVIAN_INFLUENZA,11,0,9.25,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-05-15
2015,RO,LV470,EQUINE,628,349,32.07,0.0,0.0,120.915,106.889,143.93,TB,12,1,335.78,SOLID_STORAGE,apro_mk_pobta,EFSA,2024-02-14
2016,AT,NL149,BOVINE,477,830,154.95,2368.06,0.0,120.84,108.697,144.0,BSE,1,1,3552.74,LAGOON,apro_mk_pobta,FARM_REPORTING,2025-12-14
2017,CZ,SI33,PIGS,757,1253,146.61,0.0,0.0,119.866,109.009,142.0,ASF,2,1,711.57,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-02-09
2018,DE,HU581,SHEEP,415,158,3.19,1371.7,0.0,121.706,107.9,136.1,BLUETONGUE,3,0,264.88,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-02-01
2019,LV,BG8,GOATS,699,254,5.3,2390.47,0.0,120.865,109.613,86.24,FMD,4,1,2109.79,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2024-03-13
2020,PL,RO7,POULTRY,1217,889,1.16,0.0,6.782,122.285,109.787,185.88,NONE,0,1,3.51,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2026-01-09
2021,ES,EE540,EQUINE,1064,1306,95.94,0.0,0.0,122.073,110.213,81.25,BRUCELLOSIS,6,1,1667.79,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-05-15
2022,HR,SI1,BOVINE,505,289,58.25,848.57,0.0,123.561,109.573,180.27,AVIAN_INFLUENZA,7,0,1528.85,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-12-30
2023,FI,BE432,PIGS,955,1701,177.72,0.0,0.0,123.735,109.83,28.57,TB,8,0,3916.43,OTHER,apro_mt_lscatl,EUROSTAT,2024-07-16
2024,IE,IE291,SHEEP,716,496,10.49,3503.82,0.0,124.037,109.416,197.45,BSE,9,0,2218.54,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-02-15
2025,MT,ES35,GOATS,515,499,8.55,2169.96,0.0,123.625,110.076,216.56,ASF,10,1,657.84,COMPOSTING,apro_mk_pobta,EFSA,2024-04-02
2026,SK,SE5,POULTRY,659,510,0.8,0.0,1.212,125.088,110.158,92.51,BLUETONGUE,11,0,9.12,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2025-10-01
2010,BE,CZ48,EQUINE,1062,542,40.52,0.0,0.0,124.214,112.411,129.28,FMD,12,1,206.96,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2024-04-26
2011,DK,CY30,BOVINE,859,491,154.03,2022.37,0.0,124.583,110.891,213.64,NONE,0,1,3128.93,LAGOON,apro_mt_lscatl,EUROSTAT,2025-09-21
2012,GR,LU68,PIGS,1084,465,42.85,0.0,0.0,125.794,112.347,93.13,BRUCELLOSIS,2,1,609.01,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-08-25
2013,LT,PT841,SHEEP,460,601,13.47,2694.44,0.0,125.748,112.396,113.76,AVIAN_INFLUENZA,3,1,2372.24,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-06-30
2014,PT,LV3,GOATS,507,669,17.17,2485.45,0.0,126.26,113.538,124.82,TB,4,1,885.8,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-01-04
2015,SE,LV56,POULTRY,975,826,1.23,0.0,3.294,127.489,112.961,111.48,BSE,5,1,25.07,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-07-14
2016,CY,BE4,EQUINE,365,650,64.63,0.0,0.0,127.075,114.877,163.83,ASF,6,1,369.92,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2024-04-04
2017,FR,DE126,BOVINE,864,738,172.9,4875.99,0.0,128.707,114.593,19.63,BLUETONGUE,7,0,5561.23,LAGOON,agr_r_animal,ECDC_ZOONOSES,2024-01-07
2018,IT,LU25,PIGS,1187,919,80.61,0.0,0.0,128.6,114.678,94.7,FMD,8,1,281.5,OTHER,apro_mk_pobta,EFSA,2025-09-27
2019,NL,SK318,SHEEP,576,208,4.9,130.26,0.0,129.339,115.78,83.26,NONE,0,1,182.93,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2024-02-04
2020,SI,BE2,GOATS,588,501,10.01,1898.47,0.0,130.157,115.751,104.76,BRUCELLOSIS,10,1,384.04,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2025-10-10
2021,BG,EE8,POULTRY,761,791,1.09,0.0,1.029,130.098,116.429,104.05,AVIAN_INFLUENZA,11,1,8.16,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2026-01-19
2022,EE,NL79,EQUINE,802,717,52.81,0.0,0.0,129.579,116.033,10.33,TB,12,1,1222.3,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-05-20
2023,HU,AT4,BOVINE,1180,1572,483.12,5550.25,0.0,130.004,115.545,23.79,BSE,1,1,12088.06,LAGOON,apro_mk_pobta,EFSA,2026-01-15
2024,LU,PT24,PIGS,636,258,25.22,0.0,0.0,130.127,117.153,150.76,ASF,2,1,496.33,OTHER,apro_mk_pobta,FARM_REPORTING,2024-08-24
2025,RO,PT66,SHEEP,1073,782,22.53,1258.79,0.0,131.464,116.451,179.3,BLUETONGUE,3,1,491.29,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-04-12
2026,AT,MT12,GOATS,550,589,12.03,1272.19,0.0,131.522,117.187,11.17,FMD,4,1,460.89,COMPOSTING,apro_mt_lscatl,EUROSTAT,2026-01-09
2010,CZ,LU91,POULTRY,461,302,0.53,0.0,3.604,131.57,118.415,90.85,NONE,0,0,10.84,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-03-05
2011,DE,CZ602,EQUINE,832,1273,140.24,0.0,0.0,132.262,118.589,97.35,BRUCELLOSIS,6,1,3411.9,SOLID_STORAGE,apro_mk_pobta,EFSA,2025-03-05
