health_eh_reference_year,health_eh_country_iso2,health_eh_region_nuts_code,health_eh_ehr_coverage_pct,health_eh_e_prescription_coverage_pct,health_eh_e_referral_coverage_pct,health_eh_patient_portal_usage_pct,health_eh_interoperability_level_code,health_eh_eidas_authentication_supported_flag,health_eh_cross_border_ehealth_enabled_flag,health_eh_cyber_incidents_count,health_eh_gdpr_breach_notifications_count,health_eh_digital_health_apps_certified_count,health_eh_ai_in_clinical_use_cases_count,health_eh_telemedicine_visits_per_1k,health_eh_remote_monitoring_patients_count,health_eh_data_spaces_health_flag,health_eh_data_source,health_eh_methodology_version,health_eh_data_extract_date
2016,LT,PT32,52.06,45.23,36.51,46.57,LEVEL_0_NONE,0,0,16,5,932,98,95.83,6187,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-08-10
2017,SK,RO4,66.06,32.48,64.71,38.46,LEVEL_1_BASIC,1,0,44,4,1062,107,140.18,127602,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-04-18
2018,HR,HU526,75.49,49.57,52.96,55.22,LEVEL_2_STRUCTURED,0,0,37,37,909,25,212.16,141546,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-03-22
2019,DE,HR4,62.57,36.23,55.64,51.52,LEVEL_3_SEMANTIC,1,1,60,64,656,76,81.83,98443,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-07-27
2020,LU,SK2,85.41,83.86,42.48,66.4,LEVEL_4_FEDERATED,0,0,6,0,270,86,200.18,34570,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-09-29
2021,SI,CY46,82.61,72.54,77.04,34.35,LEVEL_0_NONE,1,0,75,56,14,362,79.3,96078,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-09-15
2022,CY,LV2,100.0,73.39,53.54,70.84,LEVEL_1_BASIC,0,0,41,31,2259,147,14.76,243185,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-07-06
2023,GR,RO54,78.17,57.56,69.32,52.62,LEVEL_2_STRUCTURED,1,0,78,19,2528,226,172.1,259574,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-05-27
2024,MT,LT1,75.47,100.0,68.04,74.41,LEVEL_3_SEMANTIC,0,0,77,47,1960,9,162.73,194,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-09-09
2025,ES,BG561,92.34,80.8,92.25,54.08,LEVEL_4_FEDERATED,1,1,87,60,1248,78,124.6,96183,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-01-15
2006,CZ,NL1,19.13,24.05,25.59,15.69,LEVEL_0_NONE,0,0,3,46,476,16,157.51,43225,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-05-10
2007,HU,PT616,35.04,27.85,10.82,24.25,LEVEL_1_BASIC,0,0,26,1,814,66,83.7,82107,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-12-05
2008,NL,HU149,39.23,19.68,39.7,27.91,LEVEL_2_STRUCTURED,0,0,9,38,1227,0,74.21,120309,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-02-15
2009,SE,EE3,50.96,32.31,25.8,13.73,LEVEL_3_SEMANTIC,0,0,38,38,767,16,100.29,47013,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-07-21
2010,DK,LV739,45.8,36.69,18.91,29.54,LEVEL_4_FEDERATED,0,0,36,36,36,72,83.82,35922,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-11-10
2011,IE,DK73,45.14,35.47,38.46,30.48,LEVEL_0_NONE,1,0,59,10,426,24,167.75,26134,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-03-08
2012,PL,IT166,50.8,46.25,34.46,40.67,LEVEL_1_BASIC,0,0,12,14,730,5,239.68,28023,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-02-01
2013,AT,SK367,37.42,45.46,51.56,25.28,LEVEL_2_STRUCTURED,0,1,44,37,806,1,182.61,11661,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-05-15
2014,EE,HR713,56.99,69.48,48.44,35.75,LEVEL_3_SEMANTIC,0,1,42,13,302,68,72.45,47783,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-01-26
2015,IT,FI5,42.38,42.33,58.62,33.68,LEVEL_4_FEDERATED,0,0,59,68,1228,11,110.43,85604,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-03-03
2016,PT,EE26,30.61,47.2,39.15,23.96,LEVEL_0_NONE,0,0,37,29,105,107,37.84,123476,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-09-11
2017,BE,ES16,68.21,80.53,47.23,53.47,LEVEL_1_BASIC,0,0,39,11,332,78,159.09,33310,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-07-05
2018,FI,SE33,68.79,64.22,51.7,62.12,LEVEL_2_STRUCTURED,1,0,55,38,2007,106,206.23,70160,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-06-07
2019,LV,FR35,41.66,80.35,77.04,51.76,LEVEL_3_SEMANTIC,0,1,6,9,819,25,206.25,515,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-08-08
2020,RO,PT1,68.78,73.34,66.81,36.38,LEVEL_4_FEDERATED,1,0,59,62,297,100,134.89,170530,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-10
2021,BG,IE6,76.55,70.26,58.09,40.6,LEVEL_0_NONE,1,0,106,9,1678,64,1.12,125434,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-04-11
2022,FR,DK47,73.3,53.68,73.14,48.79,LEVEL_1_BASIC,0,1,18,1,1020,181,158.95,94646,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-03-03
2023,LT,BG50,73.7,82.18,83.01,48.74,LEVEL_2_STRUCTURED,1,1,104,64,591,361,155.72,146018,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-12-15
2024,SK,PT487,79.66,81.78,63.38,51.99,LEVEL_3_SEMANTIC,1,1,34,1,851,26,163.3,142945,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-05-02
2025,HR,HR3,58.69,84.43,55.04,83.89,LEVEL_4_FEDERATED,1,0,95,41,476,275,3.49,236444,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-12-11
2006,DE,HU3,28.53,25.38,23.14,6.61,LEVEL_0_NONE,0,0,23,33,952,23,143.82,24315,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-07-31
2007,LU,PL8,39.05,11.16,17.2,29.01,LEVEL_1_BASIC,0,0,9,33,1091,110,103.01,104253,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-01-16
2008,SI,AT6,17.61,19.56,10.93,29.43,LEVEL_2_STRUCTURED,0,1,9,32,1227,31,188.82,62506,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-08-06
2009,CY,ES5,44.8,20.46,12.92,11.73,LEVEL_3_SEMANTIC,0,0,46,12,1177,77,82.95,103863,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-08-09
2010,GR,LT9,55.39,16.89,41.31,36.31,LEVEL_4_FEDERATED,0,1,2,33,246,0,196.6,112036,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-07-02
2011,MT,BG3,61.42,53.67,31.26,17.35,LEVEL_0_NONE,0,0,17,41,171,76,60.42,108300,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-11-06
2012,ES,GR5,32.17,53.77,50.28,31.38,LEVEL_1_BASIC,0,0,52,42,761,10,32.95,72388,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-05
2013,CZ,LV8,63.09,58.12,39.58,34.76,LEVEL_2_STRUCTURED,1,0,0,45,858,89,19.31,128007,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-02-11
2014,HU,ES24,28.38,60.34,35.26,38.17,LEVEL_3_SEMANTIC,0,0,0,41,595,56,67.8,108850,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-09-28
2015,NL,LU5,48.41,48.01,49.33,48.56,LEVEL_4_FEDERATED,1,0,26,7,542,47,94.89,110245,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-09-26
2016,SE,NL5,59.07,63.9,33.83,54.41,LEVEL_0_NONE,0,0,21,25,659,66,219.28,11019,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-08-12
2017,DK,NL39,54.52,77.75,32.76,49.92,LEVEL_1_BASIC,1,0,2,45,1488,14,125.15,17387,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-05-31
2018,IE,FI935,70.51,48.01,51.5,54.17,LEVEL_2_STRUCTURED,1,0,11,36,2982,34,199.27,4796,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-03-10
2019,PL,IT257,66.54,74.26,79.19,64.71,LEVEL_3_SEMANTIC,1,1,57,22,766,28,231.0,132524,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-11-28
2020,AT,SI1,57.12,48.53,53.97,51.43,LEVEL_4_FEDERATED,0,0,76,3,1750,108,51.17,262801,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-11-16
2021,EE,LV36,71.97,84.56,78.41,58.85,LEVEL_0_NONE,1,1,9,34,2153,54,165.7,169250,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-03-02
2022,IT,ES719,82.79,69.16,74.18,63.28,LEVEL_1_BASIC,1,0,60,60,2864,263,6.96,215438,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-01-24
2023,PT,ES770,67.85,72.23,86.88,63.93,LEVEL_2_STRUCTURED,1,1,13,6,2098,0,20.75,262262,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2026-01-03
2024,BE,LU9,89.99,65.52,68.95,70.49,LEVEL_3_SEMANTIC,1,1,62,20,1652,161,73.23,6015,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-02-07
2025,FI,NL87,83.92,97.6,68.72,81.92,LEVEL_4_FEDERATED,1,0,35,14,2917,268,2.39,226844,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-12-01
2006,LV,AT167,9.13,8.06,33.52,7.39,LEVEL_0_NONE,0,0,32,20,1065,12,151.39,81601,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-03-12
2007,RO,CZ239,33.07,23.68,22.08,25.58,LEVEL_1_BASIC,0,0,26,14,999,35,97.75,130104,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-06-15
2008,BG,GR85,48.2,27.12,35.52,23.38,LEVEL_2_STRUCTURED,0,0,30,7,52,83,180.32,82863,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-03-05
2009,FR,NL493,47.09,21.67,45.23,13.42,LEVEL_3_SEMANTIC,0,0,13,35,906,5,38.96,867,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-05-12
2010,LT,LU439,38.06,28.55,20.31,23.58,LEVEL_4_FEDERATED,0,0,39,31,188,4,11.0,56117,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-06-02
2011,SK,CY841,55.75,32.73,13.32,25.0,LEVEL_0_NONE,0,0,59,29,1449,85,113.89,43488,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-12-14
2012,HR,AT515,37.33,60.12,26.6,39.97,LEVEL_1_BASIC,0,0,24,0,955,44,13.2,25285,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-03-08
2013,DE,LT7,48.9,50.84,47.95,25.3,LEVEL_2_STRUCTURED,0,0,50,62,786,88,73.98,61099,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-03-10
2014,LU,CZ449,62.65,70.09,43.87,36.08,LEVEL_3_SEMANTIC,0,0,5,7,165,98,33.0,86017,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2026-02-10
2015,SI,AT45,53.51,62.1,30.43,55.19,LEVEL_4_FEDERATED,0,0,12,12,1511,15,139.92,41730,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-09-05
2016,CY,FI32,31.65,66.42,58.91,55.65,LEVEL_0_NONE,0,0,60,24,706,64,229.84,77704,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-10-24
2017,GR,FR538,65.14,81.62,43.03,35.88,LEVEL_1_BASIC,1,0,0,7,1401,50,1.78,69683,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-11-07
2018,MT,DE44,48.69,81.25,52.34,46.55,LEVEL_2_STRUCTURED,1,0,9,4,2371,13,152.03,95660,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2026-01-13
2019,ES,PT8,52.55,61.87,61.85,54.48,LEVEL_3_SEMANTIC,1,1,42,63,2294,17,46.84,85050,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-08-28
2020,CZ,SI26,77.73,56.79,49.47,60.9,LEVEL_4_FEDERATED,1,1,75,58,1052,20,347.31,119790,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-02-11
2021,HU,LV53,74.62,74.85,83.79,52.51,LEVEL_0_NONE,1,0,102,43,2348,37,111.79,82284,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-02-16
2022,NL,LU47,100.0,46.89,68.01,53.62,LEVEL_1_BASIC,1,1,83,66,302,16,126.5,104535,1,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-05-22
2023,SE,GR3,100.0,82.54,89.37,41.9,LEVEL_2_STRUCTURED,1,0,90,46,345,139,12.58,159884,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-02-23
2024,DK,IE25,84.22,88.8,77.8,67.13,LEVEL_3_SEMANTIC,0,0,96,57,2244,86,125.23,22835,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-09-28
2025,IE,CY183,79.78,91.52,64.27,70.24,LEVEL_4_FEDERATED,0,0,0,8,2816,70,5.36,186032,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-09-09
2006,PL,PL73,16.68,30.89,23.67,3.11,LEVEL_0_NONE,0,0,29,41,403,30,152.95,61950,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-12-30
2007,AT,AT371,34.03,40.34,4.76,13.8,LEVEL_1_BASIC,0,0,15,1,883,46,142.19,119879,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-06-13
2008,EE,MT95,12.75,24.23,12.6,14.25,LEVEL_2_STRUCTURED,0,0,60,4,299,9,31.72,75084,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-02-19
2009,IT,LU49,41.63,24.14,18.25,26.17,LEVEL_3_SEMANTIC,1,0,3,19,930,2,106.58,70939,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-05-28
2010,PT,LU40,40.7,26.09,17.07,37.33,LEVEL_4_FEDERATED,0,0,21,22,341,53,132.94,3569,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-05-29
2011,BE,SE34,56.9,27.36,29.95,38.71,LEVEL_0_NONE,1,0,22,22,423,17,76.33,6103,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-02-16
2012,FI,SI27,27.09,44.44,45.82,19.06,LEVEL_1_BASIC,0,0,9,14,1005,36,6.03,123493,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-07-14
2013,LV,SK6,36.7,39.84,49.63,21.09,LEVEL_2_STRUCTURED,0,0,14,36,1177,81,75.8,17000,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-06-21
2014,RO,BG68,49.59,28.74,48.97,37.81,LEVEL_3_SEMANTIC,0,0,22,17,1342,10,87.22,134103,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-05-10
2015,BG,SI67,36.13,59.69,59.12,30.45,LEVEL_4_FEDERATED,0,0,60,22,651,36,163.75,13959,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-10-30
2016,FR,SE18,55.46,43.02,69.32,30.02,LEVEL_0_NONE,1,0,8,36,988,50,204.32,88514,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2026-01-03
2017,LT,LV762,58.64,73.84,47.06,38.78,LEVEL_1_BASIC,1,0,4,34,899,40,32.95,142329,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-11-12
2018,SK,IE49,52.36,50.31,44.76,69.26,LEVEL_2_STRUCTURED,0,0,1,35,169,70,70.59,19056,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-04-25
2019,HR,PL72,75.44,62.41,40.32,55.58,LEVEL_3_SEMANTIC,1,0,49,40,1524,14,183.85,45936,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-11-04
2020,DE,EE14,74.03,81.15,50.91,74.07,LEVEL_4_FEDERATED,0,0,67,27,1729,60,117.74,46519,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-09-19
2021,LU,CZ804,70.27,56.07,67.96,59.88,LEVEL_0_NONE,1,0,99,1,3124,27,87.23,41472,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-08-31
2022,SI,CY88,94.04,75.03,85.62,62.43,LEVEL_1_BASIC,1,1,40,45,697,7,102.96,47018,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-03-26
2023,CY,LV586,70.36,82.16,61.41,50.14,LEVEL_2_STRUCTURED,1,0,100,49,344,123,181.39,82643,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-02-22
2024,GR,IE19,89.07,77.94,66.02,65.97,LEVEL_3_SEMANTIC,1,0,32,50,914,85,180.44,154002,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-12-24
2025,MT,EE43,100.0,100.0,79.11,45.23,LEVEL_4_FEDERATED,1,0,30,44,1053,271,63.36,97700,1,EHDS_PILOT_REPORT,EHEALTH_V1,2025-10-19
2006,ES,LT109,12.69,5.6,30.53,4.01,LEVEL_0_NONE,0,0,2,16,1306,88,44.79,16044,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-07-01
2007,CZ,EE8,13.26,38.77,32.42,20.78,LEVEL_1_BASIC,0,0,1,33,135,81,98.41,139945,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2026-02-18
2008,HU,LV74,44.38,32.84,31.0,23.41,LEVEL_2_STRUCTURED,0,0,24,30,1192,38,127.36,126669,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-05-28
2009,NL,FI762,36.6,23.35,18.49,20.73,LEVEL_3_SEMANTIC,0,0,1,13,966,0,37.9,142884,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-02-09
2010,SE,BE41,26.32,18.73,39.2,11.63,LEVEL_4_FEDERATED,0,0,4,34,668,109,73.03,121278,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-03-10
2011,DK,BE9,32.22,32.13,39.77,21.65,LEVEL_0_NONE,0,0,21,45,201,34,83.42,19586,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-10-28
2012,IE,SK63,48.01,38.28,36.33,35.17,LEVEL_1_BASIC,0,1,55,34,418,105,40.65,75097,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-01-29
2013,PL,SK95,42.91,32.52,43.44,46.51,LEVEL_2_STRUCTURED,0,0,7,33,74,87,247.77,3474,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-08-14
2014,AT,HU30,65.62,27.04,47.06,33.62,LEVEL_3_SEMANTIC,0,1,52,34,355,33,13.62,73570,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-04-01
2015,EE,MT21,70.31,63.99,53.09,24.28,LEVEL_4_FEDERATED,0,0,12,0,202,81,42.93,87660,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-01-09
2016,IT,EE1,37.83,72.2,50.95,39.3,LEVEL_0_NONE,1,0,28,48,665,52,9.37,100473,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-10-28
2017,PT,PT3,54.7,43.57,48.61,41.17,LEVEL_1_BASIC,0,0,27,21,770,50,145.6,10489,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-01-03
2018,BE,HU7,49.28,82.33,41.96,47.47,LEVEL_2_STRUCTURED,0,0,14,7,1244,95,237.11,41820,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-04-22
2019,FI,IT943,48.5,81.83,47.16,60.38,LEVEL_3_SEMANTIC,0,1,54,22,2637,103,62.28,9706,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-08-29
2020,LV,IE68,47.32,65.5,63.77,61.99,LEVEL_4_FEDERATED,0,1,38,32,751,65,153.13,119437,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-06-03
2021,RO,PT75,74.43,57.25,56.06,73.24,LEVEL_0_NONE,1,1,88,41,1096,39,296.64,128011,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-04-21
2022,BG,RO399,84.81,72.19,66.87,43.65,LEVEL_1_BASIC,1,1,10,26,3145,188,3.15,63129,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-02-03
2023,FR,DE3,93.44,97.21,73.77,61.68,LEVEL_2_STRUCTURED,1,0,92,62,163,226,133.33,248559,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-05-02
2024,LT,BG656,100.0,100.0,50.57,46.13,LEVEL_3_SEMANTIC,1,0,96,1,1608,200,237.38,3357,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-12-29
2025,SK,LT953,87.76,76.16,78.37,67.69,LEVEL_4_FEDERATED,1,0,81,39,881,215,65.97,88336,1,EHDS_PILOT_REPORT,EHEALTH_V2,2026-02-13
2006,HR,RO249,14.06,6.17,31.7,4.23,LEVEL_0_NONE,0,1,23,11,781,29,37.0,40778,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-07-31
2007,DE,SE508,15.76,27.27,8.44,26.3,LEVEL_1_BASIC,1,0,0,12,346,94,114.57,141282,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-02-12
2008,LU,AT99,20.43,17.45,15.37,28.94,LEVEL_2_STRUCTURED,0,0,54,61,907,41,45.59,68370,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-03-11
2009,SI,DK76,20.46,36.35,30.71,28.31,LEVEL_3_SEMANTIC,0,0,42,44,1359,86,5.71,117124,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-05-09
2010,CY,HU57,45.4,34.39,18.73,14.16,LEVEL_4_FEDERATED,0,0,57,57,1418,9,97.34,47161,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-08-31
2011,GR,RO345,51.5,31.27,46.7,36.96,LEVEL_0_NONE,0,0,12,7,1532,0,16.47,60221,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-09-20
2012,MT,IE844,62.6,43.79,41.1,34.43,LEVEL_1_BASIC,0,0,13,30,1149,77,168.93,90317,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-05-18
2013,ES,SE441,50.98,46.18,38.57,50.36,LEVEL_2_STRUCTURED,0,0,2,39,691,70,184.14,48294,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-04-10
2014,CZ,SE505,39.48,53.4,37.73,56.47,LEVEL_3_SEMANTIC,0,0,26,25,213,54,84.48,131829,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-02-22
2015,HU,DE971,52.92,57.93,62.69,46.3,LEVEL_4_FEDERATED,0,0,43,60,1182,41,83.11,77385,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-01-12
2016,NL,HR82,71.18,66.83,48.45,38.25,LEVEL_0_NONE,0,0,3,16,980,110,91.81,38046,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-12-30
2017,SE,AT2,58.73,71.97,31.12,35.35,LEVEL_1_BASIC,0,0,22,39,68,57,85.27,65125,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-08-05
2018,DK,DE65,68.12,47.0,62.06,62.79,LEVEL_2_STRUCTURED,1,0,39,23,2337,75,13.43,100939,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-10-11
2019,IE,SI83,48.92,72.08,44.78,68.74,LEVEL_3_SEMANTIC,0,0,57,53,1313,73,144.56,119686,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-06-07
2020,PL,FR34,62.42,44.86,58.59,47.71,LEVEL_4_FEDERATED,1,1,37,1,2225,68,61.64,267186,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-08-20
2021,AT,BE55,89.39,65.04,47.06,44.71,LEVEL_0_NONE,0,0,52,25,3352,2,211.02,99984,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-09-24
2022,EE,BG32,84.27,57.99,76.83,61.79,LEVEL_1_BASIC,1,1,95,30,2596,87,236.69,149409,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-12-15
2023,IT,NL78,87.23,66.82,81.64,75.35,LEVEL_2_STRUCTURED,1,0,55,42,3171,379,96.78,161784,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-01-14
