tech_adopt_survey_year,tech_adopt_community_digital_id,tech_adopt_households_with_internet_pct,tech_adopt_households_with_computer_pct,tech_adopt_smartphone_only_households_pct,tech_adopt_digital_literacy_score,tech_adopt_affordability_barrier_rate,tech_adopt_language_barrier_rate,tech_adopt_disability_access_barrier_rate,tech_adopt_public_wifi_access_points,tech_adopt_library_device_loan_count,tech_adopt_digital_navigator_program_flag,tech_adopt_training_sessions_completed,tech_adopt_telehealth_use_rate,tech_adopt_online_learning_use_rate,tech_adopt_remote_work_enablement_rate,tech_adopt_banking_online_adoption_rate,tech_adopt_cyber_safety_incident_rate,tech_adopt_privacy_concern_score,tech_adopt_equity_gap_index
2023,LGD535134094,52.46,27.42,84.75,43.3,7.91,31.88,1.78,798,847,0,4670,12.94,68.52,16.24,51.6,32.24,73.4,0.234
2024,LGD580695048,85.74,36.01,11.66,88.4,36.3,2.17,13.02,502,2134,0,5361,23.6,67.18,19.34,56.19,9.05,92.6,0.237
2022,LGD271342809,58.35,43.12,20.94,88.0,13.99,9.78,17.51,623,650,0,5524,67.63,51.64,54.88,64.31,16.18,47.1,0.678
2019,LGD156849302,24.67,21.17,83.91,78.4,37.54,17.55,1.69,1107,3862,0,7556,49.95,47.2,55.08,24.58,29.89,5.8,0.058
2025,LGD913280689,67.57,6.62,84.76,27.2,42.29,23.33,0.09,3,3410,0,430,70.22,80.83,52.94,75.2,25.69,86.2,0.521
2025,LGD162408512,25.01,24.37,66.45,10.4,26.87,4.78,23.63,1167,3607,0,527,42.62,1.34,58.54,81.27,6.81,5.6,0.675
2020,LGD385442370,31.95,11.7,39.33,91.5,46.3,10.28,6.77,1000,985,0,6198,26.86,19.64,30.77,38.47,25.79,90.8,0.011
2022,LGD525410119,89.6,82.01,68.99,40.5,51.37,1.68,16.48,871,3865,0,8067,23.48,41.62,47.45,54.49,30.98,78.5,0.449
2023,LGD008449586,63.37,39.41,14.28,88.9,12.63,22.14,2.71,16,4569,1,8085,38.44,7.05,14.83,84.43,2.48,61.9,0.591
2021,LGD647445555,81.16,23.27,40.63,37.8,1.29,2.37,17.56,158,1083,0,5591,51.67,80.28,22.37,33.37,6.85,11.7,0.67
2020,LGD882051922,20.1,18.39,45.32,68.8,51.05,20.78,24.0,115,4187,0,1773,36.64,74.64,24.56,70.02,10.97,58.2,0.843
2019,LGD572047563,39.06,20.15,10.76,13.2,23.62,20.82,4.47,940,1117,1,7291,30.56,85.79,50.67,29.28,28.56,49.4,0.644
2024,LGD020691301,41.06,22.76,47.23,13.9,23.43,4.71,21.66,239,76,0,4258,30.69,75.75,57.48,41.45,14.61,54.2,0.033
2020,LGD685624544,45.14,24.9,8.12,82.3,42.17,10.48,13.81,912,3543,0,4928,5.61,31.66,53.89,88.34,28.65,13.6,0.678
2019,LGD662952570,80.36,42.81,49.87,43.3,43.49,6.25,0.41,172,628,1,5995,2.08,57.76,14.79,45.8,18.18,85.8,0.287
2022,LGD642424124,93.91,55.88,29.41,85.9,16.28,26.61,10.88,518,3896,1,7481,51.52,3.82,4.49,74.33,31.49,9.3,0.5
2025,LGD095823655,32.69,28.02,24.58,4.0,0.67,5.86,17.04,760,2639,0,4442,74.34,42.25,7.5,14.37,15.43,97.9,0.088
2018,LGD535226446,95.32,22.82,80.04,56.8,32.18,20.21,13.77,697,4974,0,5940,37.66,27.06,7.61,77.02,26.51,31.0,0.183
2024,LGD868185874,18.79,5.25,10.89,42.3,12.88,27.77,12.26,1046,597,1,6493,18.4,76.46,60.47,48.65,2.47,37.2,0.561
2020,LGD333336996,77.69,39.6,82.86,82.1,3.67,34.42,1.8,749,2966,1,3901,24.42,49.34,18.75,23.31,16.51,48.6,0.076
2023,LGD295515811,27.79,10.49,57.78,73.4,4.82,19.37,12.26,92,453,0,4129,16.76,12.91,10.69,89.38,22.06,21.2,0.959
2025,LGD396239521,82.97,18.43,13.49,90.3,17.19,16.76,12.54,506,2006,1,3867,11.89,34.09,50.26,91.32,23.53,18.0,0.15
2025,LGD316995329,83.05,22.09,53.72,80.5,48.11,24.34,18.27,1055,683,0,2348,21.67,81.91,42.87,34.64,28.44,17.1,0.437
2021,LGD363162065,78.77,50.58,5.0,2.7,47.33,6.17,5.76,906,3594,0,1359,20.67,31.46,17.53,74.7,10.91,27.3,0.306
2025,LGD944172852,70.89,29.51,59.24,63.8,50.97,30.31,12.31,696,756,1,3209,73.37,6.87,56.22,95.77,11.55,11.4,0.86
2024,LGD296643431,87.01,12.68,53.63,8.7,32.39,31.79,19.73,463,1903,0,2734,57.93,58.81,24.18,11.51,7.2,76.2,0.305
2018,LGD722021606,69.37,13.52,8.89,94.3,13.71,28.67,24.96,258,3523,0,644,72.13,35.71,25.6,96.16,34.62,69.6,0.643
2024,LGD270642942,64.38,41.26,72.96,31.3,25.75,33.14,14.4,1165,2719,0,1325,6.48,1.62,40.19,56.24,20.36,20.8,0.86
2023,LGD051416325,47.89,42.42,56.81,5.5,55.56,29.53,18.14,26,3246,0,3230,15.12,21.34,44.92,44.5,29.33,60.9,0.826
2024,LGD387939387,83.24,77.32,68.15,60.5,8.83,21.76,19.42,967,4599,1,307,3.88,1.33,18.32,10.27,6.56,41.6,0.743
2022,LGD869062418,16.78,9.3,48.66,52.9,39.58,7.76,19.06,16,2547,0,4462,12.1,78.95,53.2,30.96,14.73,43.1,0.764
2018,LGD664786971,25.49,20.3,55.12,3.9,58.01,26.5,0.14,849,385,0,8030,60.59,27.22,31.34,12.3,32.84,64.0,0.7
2025,LGD698496290,94.26,34.82,8.37,72.7,47.4,24.81,6.96,275,1758,0,3905,12.33,7.15,57.76,52.38,24.3,64.4,0.346
2025,LGD981894906,90.31,74.77,78.4,51.5,4.99,32.69,19.49,586,4760,0,3508,74.43,0.82,64.32,45.04,15.27,51.2,0.946
2024,LGD204418332,35.0,11.26,11.87,82.4,6.14,7.41,12.83,1141,4466,1,2352,42.67,74.13,36.09,21.13,34.62,20.9,0.982
2023,LGD512862271,40.07,5.58,23.46,27.5,48.01,6.73,0.13,780,3198,0,7175,33.9,1.13,49.72,19.51,22.33,35.7,0.124
2022,LGD210395551,94.71,7.39,60.52,43.5,24.71,13.64,23.67,21,1228,0,6429,49.87,65.82,30.91,75.37,12.09,63.0,0.103
2024,LGD697129736,60.79,48.82,50.62,37.8,18.13,14.97,3.94,886,3011,0,657,13.72,85.85,30.75,92.82,24.44,41.1,0.975
2022,LGD953233286,97.78,8.68,11.05,49.0,23.18,8.65,23.15,326,4278,1,7947,9.68,23.76,57.02,14.07,10.07,74.8,0.227
2023,LGD166988174,60.7,54.42,68.99,4.7,43.29,1.71,0.96,390,1644,1,7959,34.77,75.6,46.95,66.03,4.56,8.9,0.36
2021,LGD153863088,55.3,33.03,6.22,20.0,35.75,12.82,6.89,1112,441,0,7372,66.93,34.32,45.89,48.1,22.27,79.5,0.963
2024,LGD330938984,37.62,30.6,7.36,30.3,21.8,8.25,11.25,1082,4036,0,440,0.47,47.67,17.62,40.44,14.24,59.7,0.806
2025,LGD365618899,95.47,63.74,37.7,96.4,9.27,7.23,24.43,114,1060,0,639,47.25,2.89,16.02,30.88,13.85,82.7,0.043
2019,LGD464070860,42.94,27.45,21.63,6.5,34.76,20.08,4.7,560,2197,0,1106,48.97,34.99,23.66,13.84,27.66,43.9,0.699
2020,LGD419338819,74.68,74.49,81.46,4.3,38.02,21.43,10.85,51,1901,0,4352,0.99,58.06,46.12,43.5,34.17,91.1,0.566
2019,LGD281327106,30.68,24.02,34.06,27.7,48.87,27.43,2.38,618,4792,0,6812,68.29,71.16,56.92,65.93,14.35,11.3,0.976
2019,LGD346048206,88.47,86.64,4.42,1.6,44.03,18.99,24.51,285,2817,0,1016,29.47,13.98,40.08,73.52,33.28,26.6,0.55
2025,LGD049468070,70.94,6.25,71.88,67.9,44.69,21.72,22.96,863,2485,0,7289,0.53,27.93,36.19,68.32,2.87,34.1,0.069
2022,LGD414508078,56.66,37.53,16.53,90.7,47.2,28.54,6.87,311,4307,0,4790,37.44,34.61,31.63,40.26,4.28,42.2,0.528
2022,LGD856239698,76.85,51.63,79.39,45.0,48.77,21.37,11.17,546,1018,1,1789,72.79,54.91,63.57,40.5,17.58,72.9,0.291
2021,LGD967167279,40.02,13.94,4.28,51.2,43.18,5.6,8.44,262,888,0,3869,40.81,30.83,8.71,91.33,7.64,95.2,0.311
2020,LGD803948668,15.71,14.33,62.77,68.7,46.09,23.18,23.53,466,640,0,2849,1.3,59.49,20.42,30.24,11.97,79.4,0.244
2020,LGD928015724,58.31,32.21,18.76,0.3,17.56,31.43,6.57,1080,3695,0,4605,13.39,19.52,57.01,61.48,1.83,75.3,0.533
2025,LGD076561712,21.61,11.27,71.95,93.1,5.27,14.54,19.88,950,1981,0,8496,7.85,51.68,57.4,65.08,22.44,3.2,0.491
2019,LGD586048664,88.37,24.45,82.95,92.8,3.01,5.25,17.07,1009,676,0,7448,10.11,41.16,20.64,69.42,29.94,92.9,0.259
2021,LGD666485512,74.31,16.93,74.12,50.7,34.59,19.83,6.04,51,2417,0,4497,45.47,14.11,37.82,46.32,30.4,62.5,0.401
2019,LGD441547005,19.97,17.62,41.44,44.3,54.85,15.28,8.04,969,944,0,5428,36.19,51.03,12.41,16.09,8.04,41.8,0.314
2025,LGD346899624,81.15,17.97,71.45,79.9,1.71,32.98,8.61,448,991,1,1921,52.34,6.69,60.4,12.67,20.95,60.4,0.175
2020,LGD985906013,58.15,29.16,74.03,8.6,53.62,3.23,1.45,519,2797,0,3761,38.35,54.7,39.61,90.86,7.9,65.7,0.322
2023,LGD785141186,15.75,14.32,21.35,19.7,46.79,23.87,20.97,979,293,0,5426,4.78,48.43,63.42,11.08,25.58,45.5,0.878
2021,LGD241067398,94.89,45.29,76.07,6.7,53.42,32.68,24.79,876,4576,0,7265,23.24,84.4,30.84,49.11,2.48,52.3,0.963
2020,LGD936637852,35.87,7.03,78.37,88.2,33.08,14.45,23.39,1077,2314,0,2813,33.35,14.37,16.65,84.6,5.92,53.0,0.84
2020,LGD281055901,95.42,57.25,18.15,44.0,58.23,34.76,24.57,219,390,1,4044,42.87,10.45,43.09,69.2,20.63,6.2,0.568
2018,LGD188260151,62.0,51.64,11.28,59.1,25.6,24.51,17.77,63,1451,0,1047,5.49,37.27,56.09,29.65,10.45,45.7,0.557
2025,LGD419294208,27.19,25.74,63.0,48.6,33.28,2.57,14.65,279,3962,0,457,53.56,5.0,48.14,67.25,33.24,39.4,0.178
2025,LGD936919571,22.24,20.01,32.36,72.8,10.82,19.66,11.74,654,3340,0,4764,23.42,20.2,13.36,89.99,3.87,74.6,0.932
2019,LGD252261779,15.32,10.34,26.31,68.3,40.28,34.12,0.84,272,2357,0,8660,69.73,74.01,49.27,19.57,16.72,62.1,0.483
2025,LGD995209946,21.0,16.76,15.46,32.2,0.84,22.2,23.95,871,678,0,3913,14.05,27.34,52.02,83.83,29.44,77.5,0.84
2021,LGD369679846,86.97,70.55,67.51,21.2,28.49,34.68,9.69,829,3748,0,7202,44.24,86.53,51.15,62.27,18.35,38.1,0.401
2025,LGD024546504,92.35,91.44,77.6,99.9,8.28,2.56,18.16,287,697,0,2020,57.97,72.04,57.82,94.29,21.24,40.3,0.154
2021,LGD142251814,49.37,9.09,39.14,84.4,0.56,10.51,8.71,231,1048,1,1734,9.5,33.98,53.09,87.12,16.45,10.6,0.266
2025,LGD496586879,94.32,54.55,10.14,72.9,41.24,20.86,5.84,1153,4610,1,8052,66.56,59.89,13.91,54.13,31.71,26.6,0.118
2019,LGD077395017,54.77,20.69,56.64,35.1,36.41,27.9,17.57,1005,3505,0,7653,17.12,72.12,27.4,84.44,10.75,97.9,0.436
2024,LGD740212646,37.22,14.11,84.82,45.8,42.0,31.49,10.15,993,3283,0,7877,39.64,77.57,19.99,48.21,22.43,38.4,0.99
2019,LGD274377681,40.21,9.14,83.48,35.5,24.64,21.03,1.3,533,4262,1,1175,4.39,38.62,22.02,62.24,26.08,68.7,0.961
2024,LGD861123376,32.39,31.15,61.76,1.0,9.5,19.6,22.45,373,2320,0,6152,67.57,46.5,61.85,81.63,20.83,98.4,0.717
2025,LGD801747033,76.5,34.5,80.17,10.6,31.49,17.33,7.96,268,2350,0,8795,37.16,24.59,6.47,76.51,22.96,83.6,0.37
2018,LGD444332713,81.21,48.45,27.78,84.8,42.95,2.16,7.07,400,3281,0,5297,5.94,89.92,46.3,84.29,1.76,64.1,0.708
2020,LGD493745133,86.07,78.0,62.49,9.7,27.81,19.01,16.43,618,4283,0,695,40.29,63.44,25.3,94.64,22.74,55.8,0.103
2024,LGD669968265,77.3,39.63,83.88,17.0,10.42,17.79,10.72,24,2053,1,7770,60.22,48.49,36.71,68.03,7.96,60.3,0.254
2018,LGD547582734,38.38,20.58,50.69,92.4,35.74,25.44,23.24,130,1233,0,5488,17.19,30.15,40.87,73.32,10.09,16.5,0.424
2024,LGD690534778,77.45,5.26,14.64,54.8,47.72,2.4,20.85,243,1078,1,5877,2.53,70.35,57.04,85.81,11.73,87.3,0.254
2020,LGD494860091,58.28,30.13,26.09,43.2,56.47,0.75,23.72,51,2066,0,5248,11.72,2.49,45.73,19.62,25.89,50.2,0.369
2022,LGD739848511,21.45,9.31,46.26,94.6,24.92,17.65,4.38,650,3011,1,8923,25.76,89.09,36.64,87.65,34.66,63.3,0.596
2023,LGD898384831,73.08,24.32,81.55,87.9,47.97,21.76,0.81,1108,721,0,6981,3.25,75.1,62.92,25.66,24.0,56.5,0.327
2024,LGD033190468,71.94,13.31,14.46,0.9,25.16,21.52,12.81,791,298,1,8128,35.01,61.58,29.07,18.21,12.67,89.3,0.386
2021,LGD524887023,57.35,24.58,70.86,87.0,39.81,0.24,8.41,1127,237,0,1001,26.87,1.59,13.99,21.28,29.39,83.9,0.764
2020,LGD730232582,15.06,14.55,24.94,48.4,28.82,23.26,18.64,1133,4546,0,7303,54.89,38.24,19.09,14.98,1.87,98.9,0.661
2019,LGD068641293,24.58,21.53,39.18,93.9,15.49,34.59,19.82,189,3596,0,1256,49.8,4.76,42.43,93.66,28.58,96.5,0.041
2021,LGD696352623,50.66,23.37,48.36,33.7,33.83,30.08,17.22,376,4155,0,3358,28.19,52.41,44.51,91.45,8.81,67.4,0.971
2023,LGD147630927,84.05,7.04,26.48,75.1,24.24,14.9,2.5,1047,1153,0,2890,34.21,30.51,49.56,96.84,8.63,62.5,0.037
2020,LGD818041319,35.1,26.3,67.87,94.6,47.14,3.65,3.31,1188,1302,0,3890,31.49,52.0,32.19,51.37,30.29,62.0,0.364
2021,LGD076545943,39.48,9.85,2.79,79.6,52.08,13.26,11.23,640,2041,0,8019,2.7,35.59,64.71,22.03,14.48,50.8,0.364
2024,LGD011792119,40.87,35.17,6.71,13.8,42.87,3.59,6.37,514,1499,1,6058,42.61,78.44,32.46,89.27,6.41,63.0,0.47
2022,LGD016366489,67.92,60.79,28.82,52.1,45.46,26.74,18.49,888,3554,0,4415,52.23,80.76,56.43,80.88,0.96,58.0,0.584
2021,LGD754019652,81.01,73.49,40.69,75.5,15.54,1.46,1.51,519,2046,0,2650,9.53,64.14,27.14,61.31,6.5,15.6,0.165
2022,LGD763095834,38.24,25.67,28.61,71.0,11.25,29.7,4.98,968,3894,0,2959,11.82,37.01,28.74,43.47,19.19,24.1,0.344
2022,LGD326103533,59.94,23.58,49.44,9.8,54.11,22.26,14.15,127,1800,0,7728,34.44,83.96,17.78,64.28,12.23,86.6,0.555
2021,LGD778188205,32.24,25.06,78.33,89.9,6.28,29.23,10.67,926,3437,1,1498,56.98,51.72,13.45,69.74,22.38,14.8,0.638
