soc_vuln_index_year,soc_vuln_community_geoid,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_social_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2017,GEO00000000011,12.64,2.68,38.96,38.08,39.04,26.76,2.5,14.878,26.1,17.23,31.74,637.06,25.66,95.42,0.2306,32.22,47.4,867
2015,GEO00000000012,47.99,30.2,6.45,50.33,0.23,5.96,22.91,10.759,49.2,26.83,21.9,531.13,52.83,39.62,0.7093,85.54,47.57,637
2013,GEO00000000013,53.25,32.4,24.67,52.59,24.63,20.02,35.07,6.062,35.65,7.68,14.04,763.6,12.45,50.31,0.5256,77.84,83.07,1950
2019,GEO00000000014,40.73,1.53,62.31,4.78,19.57,16.95,27.09,19.39,25.48,10.83,27.93,1467.11,28.98,90.36,0.3862,12.79,31.89,779
2009,GEO00000000015,19.7,24.97,34.36,38.25,10.33,38.64,24.6,17.77,33.6,10.53,13.81,907.65,72.59,98.64,0.7733,27.96,22.52,1531
2007,GEO00000000016,41.36,2.72,11.62,21.52,36.33,44.9,16.96,7.766,46.63,23.71,33.01,883.02,33.95,23.06,0.0398,2.56,99.47,491
2024,GEO00000000017,43.77,26.2,34.5,24.12,22.3,35.71,38.68,12.025,26.19,13.5,24.93,990.7,42.19,23.16,0.9636,0.32,8.91,41
2016,GEO00000000018,11.63,30.66,58.49,41.55,8.31,22.04,22.67,11.556,32.4,2.95,7.48,10.44,26.94,96.93,0.1907,7.02,5.93,998
2016,GEO00000000019,3.33,27.76,34.0,8.8,9.58,11.64,14.54,14.41,48.75,16.47,22.7,1187.27,4.89,87.23,0.5738,50.31,51.53,1324
2015,GEO00000000020,38.25,32.27,12.14,8.87,34.3,6.98,7.16,4.757,26.06,12.16,21.14,1111.98,18.23,47.26,0.8669,46.95,79.62,471
2011,GEO00000000021,10.34,3.62,24.31,14.55,2.84,37.66,19.6,3.996,38.45,2.35,31.32,1117.42,9.04,7.67,0.5027,82.11,68.92,1599
2022,GEO00000000022,23.08,32.99,13.16,32.42,4.88,13.89,0.9,16.375,9.3,1.79,5.81,1160.37,17.22,31.85,0.7851,62.28,52.33,354
2023,GEO00000000023,21.27,34.57,62.72,48.95,38.07,27.06,10.59,17.504,11.04,8.1,21.44,322.04,91.24,6.96,0.1174,57.68,93.51,543
2020,GEO00000000024,17.08,7.29,42.21,31.62,35.08,15.31,16.18,7.427,27.26,24.36,29.15,1148.29,38.22,96.0,0.6676,66.4,4.15,1912
2025,GEO00000000025,31.73,32.61,11.41,24.64,31.0,17.98,7.27,15.367,45.3,3.27,7.06,1303.2,98.29,11.26,0.1208,68.88,31.02,347
2015,GEO00000000026,17.98,27.75,12.09,47.73,18.56,7.28,17.88,0.306,42.88,7.4,21.54,1093.73,81.06,52.31,0.3074,54.88,74.55,68
2008,GEO00000000027,9.84,17.74,11.48,11.64,36.34,5.67,36.61,18.299,3.78,19.13,7.78,55.08,14.91,74.84,0.8672,56.96,77.91,1634
2009,GEO00000000028,12.26,4.99,10.03,37.49,12.46,29.53,11.67,12.208,46.6,19.1,3.36,796.64,83.88,39.73,0.4995,33.6,45.85,1736
2007,GEO00000000029,12.48,9.68,14.32,28.66,1.12,35.68,14.55,18.483,20.5,2.18,34.44,1342.92,29.64,19.3,0.3583,22.57,45.24,1640
2014,GEO00000000030,13.52,16.28,2.69,47.74,36.52,5.16,29.18,9.531,29.47,0.41,4.07,685.24,31.13,83.61,0.5317,92.37,64.64,1217
2024,GEO00000000031,25.05,9.87,54.16,15.4,39.25,34.38,14.01,0.153,25.6,24.25,21.54,491.26,88.6,3.25,0.3855,92.19,0.72,1999
2019,GEO00000000032,9.36,22.64,28.97,23.64,37.71,12.79,29.3,13.096,52.42,8.86,13.89,405.55,87.92,56.25,0.9887,39.28,45.19,1570
2020,GEO00000000033,18.26,33.11,7.38,31.16,12.37,33.95,26.43,10.068,49.96,25.58,16.6,697.98,22.15,77.91,0.1131,56.14,16.79,492
2013,GEO00000000034,21.88,27.29,27.12,29.87,26.06,23.54,2.63,1.002,3.42,20.4,35.71,1023.53,71.65,38.81,0.8557,70.82,16.0,1659
2010,GEO00000000035,33.05,22.17,52.32,28.12,13.3,35.84,33.76,7.247,16.46,22.94,5.81,857.91,39.2,0.05,0.3424,81.3,5.7,1393
2025,GEO00000000036,19.44,8.3,35.28,33.51,14.68,29.15,12.98,15.821,9.1,19.94,25.75,556.63,83.38,0.87,0.0474,47.32,75.47,798
2022,GEO00000000037,22.07,1.95,13.96,9.95,27.82,17.38,20.03,16.931,5.21,20.98,13.85,861.33,16.94,69.11,0.1026,93.11,89.68,1390
2018,GEO00000000038,41.64,27.9,55.62,49.61,4.75,8.46,2.55,0.606,50.56,26.96,19.83,593.21,49.35,82.12,0.4674,50.24,83.05,1673
2020,GEO00000000039,0.75,7.79,72.88,37.98,13.84,25.02,18.95,11.337,24.7,28.82,7.62,737.19,70.83,12.06,0.1756,83.28,71.08,1357
2022,GEO00000000040,18.09,34.66,2.78,36.0,16.61,40.75,2.59,5.659,7.67,19.39,23.42,221.83,85.83,42.03,0.349,98.11,34.73,1076
2023,GEO00000000041,5.66,33.03,49.0,46.48,14.86,23.17,7.64,12.208,22.89,7.07,14.27,1369.66,80.3,96.88,0.9556,7.89,93.76,1615
2013,GEO00000000042,40.77,28.52,0.3,43.7,10.3,19.16,3.35,19.146,1.61,4.14,2.19,797.49,99.04,46.56,0.0088,58.12,42.48,394
2025,GEO00000000043,15.82,0.59,29.34,45.41,18.8,18.97,35.52,5.834,15.98,24.59,2.54,1493.99,97.5,73.0,0.6847,62.31,0.06,1091
2022,GEO00000000044,15.72,12.1,72.32,6.24,1.98,40.61,35.87,12.35,27.76,25.17,16.56,1366.43,92.73,49.8,0.5334,50.42,76.98,1038
2007,GEO00000000045,37.9,6.62,13.06,10.09,2.83,8.7,26.0,16.886,26.56,7.84,8.63,1188.44,35.53,7.26,0.5753,42.44,79.01,308
2021,GEO00000000046,2.0,1.36,66.17,21.7,32.16,25.07,20.22,6.87,40.68,25.72,29.23,1326.6,69.8,68.37,0.7312,52.04,21.7,1953
2015,GEO00000000047,19.94,6.98,21.99,42.08,0.75,8.55,24.22,5.019,5.26,24.44,23.71,721.26,54.98,17.49,0.7684,3.26,64.92,1287
2008,GEO00000000048,28.47,13.22,8.68,16.02,39.3,13.52,26.63,15.015,55.64,20.75,0.47,1197.43,43.58,9.64,0.7441,70.62,28.47,1110
2022,GEO00000000049,30.59,20.19,22.53,24.55,8.73,10.73,33.76,17.053,43.05,4.98,5.51,897.53,71.26,79.16,0.9851,19.22,11.44,1123
2019,GEO00000000050,49.05,10.18,57.65,41.8,13.58,33.64,24.33,15.391,16.65,2.81,34.58,911.15,64.58,82.46,0.6675,6.61,48.81,1186
2021,GEO00000000051,32.8,16.12,61.16,2.1,13.9,34.84,5.93,0.744,58.98,10.93,26.59,448.29,25.17,24.66,0.137,89.07,41.43,158
2014,GEO00000000052,9.45,1.62,29.63,37.2,19.99,1.03,28.6,16.927,29.92,13.25,34.19,116.3,13.29,31.97,0.065,94.37,25.04,21
2025,GEO00000000053,35.91,5.62,60.71,39.56,37.94,37.74,38.35,13.228,5.26,8.12,37.05,1354.38,24.63,6.32,0.4928,46.11,68.53,1833
2014,GEO00000000054,25.98,1.98,31.36,15.99,26.26,42.94,23.12,16.173,20.23,11.18,37.81,15.62,10.83,44.55,0.0897,11.9,7.97,1544
2007,GEO00000000055,42.43,23.25,5.26,43.65,36.0,13.51,11.16,11.869,28.56,26.62,5.38,806.25,33.45,14.77,0.8519,65.4,55.0,357
2019,GEO00000000056,6.07,29.34,11.47,35.43,33.65,6.63,36.89,6.125,56.83,5.06,25.34,1256.51,80.0,57.05,0.0132,10.01,59.07,1338
2011,GEO00000000057,41.1,16.71,54.92,12.58,38.24,21.97,26.67,0.005,41.69,24.99,12.93,612.94,52.8,61.52,0.6703,40.6,76.01,1287
2015,GEO00000000058,25.14,30.9,62.83,38.65,39.89,10.93,39.01,3.67,24.87,11.06,6.07,164.35,94.3,78.03,0.2511,17.7,19.84,241
2011,GEO00000000059,28.25,0.57,46.54,1.37,20.05,12.95,9.34,5.023,29.41,4.93,31.61,1384.47,88.04,29.16,0.5608,77.0,5.42,936
2011,GEO00000000060,46.18,1.88,32.57,32.48,32.03,8.49,24.53,7.95,51.31,17.51,30.13,1028.63,1.27,27.77,0.7313,26.83,51.86,1112
2013,GEO00000000061,49.44,7.44,47.08,27.38,35.84,19.85,22.5,10.523,45.97,26.9,34.9,88.81,56.59,68.56,0.7675,71.83,70.47,494
2008,GEO00000000062,3.96,0.18,70.19,19.17,8.24,2.73,37.43,13.744,51.2,28.03,4.71,783.27,49.25,74.12,0.7013,95.62,53.3,1730
2020,GEO00000000063,2.61,24.29,64.17,12.65,6.89,17.53,20.07,16.086,48.09,7.05,29.27,1203.43,75.52,78.22,0.2387,20.7,6.09,1835
2020,GEO00000000064,32.63,20.09,22.45,48.69,37.29,29.25,36.02,12.755,35.19,15.78,16.53,512.29,57.76,94.46,0.2353,57.42,13.88,175
2016,GEO00000000065,35.78,0.39,35.92,26.04,13.95,10.46,7.26,8.038,7.21,7.22,3.12,787.3,61.82,82.73,0.4558,24.94,24.69,930
2009,GEO00000000066,40.02,5.25,11.75,15.07,9.36,15.98,3.1,11.577,49.66,2.76,4.97,99.27,85.45,14.55,0.8427,42.89,2.67,804
2024,GEO00000000067,43.36,17.19,8.15,18.57,8.58,31.33,8.74,10.507,31.51,20.61,2.66,796.27,81.62,59.43,0.7956,0.7,3.06,1876
2010,GEO00000000068,30.48,2.0,19.62,29.65,11.91,26.32,29.04,8.569,42.54,27.58,27.06,422.13,5.77,43.81,0.861,62.41,56.8,51
2019,GEO00000000069,2.39,4.69,52.1,9.8,5.86,31.73,16.91,12.017,28.39,7.93,1.81,259.5,39.53,45.34,0.4398,13.32,91.36,1156
2024,GEO00000000070,34.07,28.95,19.4,26.8,39.93,43.44,37.39,3.38,50.12,9.05,5.6,240.59,31.95,85.3,0.3207,17.6,95.52,1924
2008,GEO00000000071,34.3,34.34,45.34,18.4,31.97,2.76,23.07,16.789,14.07,3.25,15.71,1002.11,73.34,30.37,0.1135,33.4,57.46,1125
2024,GEO00000000072,30.29,13.42,24.9,21.08,32.88,0.04,32.26,3.928,9.81,15.94,6.4,1167.43,87.36,45.58,0.1942,56.29,3.74,108
2008,GEO00000000073,1.22,23.68,60.25,34.92,3.17,32.03,19.45,8.617,35.55,13.7,39.51,1446.78,48.95,99.47,0.8994,1.6,33.61,480
2022,GEO00000000074,46.51,4.83,30.04,42.92,3.74,26.96,27.4,0.424,54.35,0.34,34.87,581.15,68.81,67.27,0.7225,58.68,60.77,760
2019,GEO00000000075,11.02,29.27,58.55,15.89,5.12,19.64,18.28,14.673,6.1,14.18,27.32,429.37,56.16,97.92,0.0069,1.62,36.99,1065
2016,GEO00000000076,6.87,4.44,15.49,50.59,21.89,25.54,30.66,14.139,33.73,8.01,30.72,602.05,68.88,68.78,0.4447,21.63,93.64,656
2015,GEO00000000077,47.19,14.04,74.45,25.39,19.55,3.87,9.11,19.13,18.06,1.49,5.33,1481.62,5.03,72.75,0.5907,7.95,7.62,1139
2024,GEO00000000078,39.45,8.26,72.67,8.97,31.98,1.42,34.9,14.043,6.29,5.48,30.82,1420.32,10.86,44.77,0.7665,93.14,86.84,125
2007,GEO00000000079,31.39,18.2,58.87,43.82,23.98,1.05,25.41,7.272,16.55,23.49,9.69,418.08,21.62,41.36,0.3854,11.78,59.34,1302
2010,GEO00000000080,0.18,27.26,15.24,9.42,39.98,7.93,2.19,14.627,15.62,10.07,21.84,22.9,23.13,47.84,0.6541,32.65,17.75,768
2019,GEO00000000081,17.65,12.98,11.15,28.03,5.91,30.58,4.5,4.071,27.48,1.44,9.85,285.6,45.01,55.26,0.163,31.75,62.69,377
2012,GEO00000000082,34.27,3.65,12.01,2.47,32.08,14.7,38.14,12.45,29.0,9.46,5.99,1334.89,94.18,4.42,0.8865,48.73,6.05,1735
2019,GEO00000000083,29.74,20.98,68.61,14.82,24.44,21.48,26.39,18.122,52.53,18.13,34.38,240.7,71.19,32.7,0.8472,85.28,96.78,1123
2024,GEO00000000084,14.56,20.4,27.37,29.68,14.62,25.9,19.65,4.635,32.04,2.81,1.22,508.85,26.98,57.3,0.4691,54.69,10.24,1740
2017,GEO00000000085,17.76,29.18,70.76,54.28,37.91,1.48,10.63,16.278,8.23,29.1,19.03,83.61,62.01,71.36,0.5783,80.05,43.78,1233
2025,GEO00000000086,4.78,28.04,49.08,40.77,28.9,29.41,31.47,17.714,14.62,27.82,23.09,1248.37,92.72,82.74,0.0447,82.62,23.47,411
2023,GEO00000000087,38.29,18.34,65.44,34.08,11.55,29.01,4.92,5.669,6.78,19.13,9.49,465.86,45.99,98.71,0.3306,56.39,10.84,1239
2016,GEO00000000088,5.29,22.52,13.93,45.21,22.75,31.15,5.27,3.606,36.62,27.32,34.83,703.91,88.14,80.14,0.9694,85.72,98.18,623
2009,GEO00000000089,48.35,12.4,6.59,3.03,39.71,43.59,12.0,3.943,12.4,17.69,27.25,635.68,38.0,84.53,0.4697,31.87,33.53,1015
2020,GEO00000000090,37.62,2.63,0.33,52.46,0.47,18.92,1.78,16.609,11.05,10.46,30.03,60.26,0.79,41.63,0.5454,67.14,52.55,877
2009,GEO00000000091,35.56,28.46,64.13,27.59,4.88,19.02,10.35,14.43,8.07,8.96,35.08,1467.54,32.97,87.32,0.7012,29.55,45.1,239
2016,GEO00000000092,7.72,33.24,50.82,32.87,9.27,38.4,6.92,2.15,51.63,13.27,39.69,1484.23,31.38,99.72,0.4608,20.88,90.21,324
2018,GEO00000000093,8.14,11.07,70.56,45.62,27.71,29.33,12.4,5.335,22.81,16.28,28.43,409.69,67.97,59.88,0.9337,11.35,35.05,1967
2007,GEO00000000094,54.94,13.65,43.16,49.89,8.45,42.6,25.46,15.33,26.14,14.02,39.13,457.69,12.54,67.36,0.6257,58.2,48.0,1414
2016,GEO00000000095,48.69,9.06,9.55,3.7,1.49,6.47,29.36,16.662,2.87,7.45,2.88,700.17,82.48,95.58,0.6791,15.0,0.4,593
2013,GEO00000000096,25.92,3.58,2.57,0.95,38.7,7.05,8.91,2.822,22.82,18.32,27.94,1060.85,80.51,93.39,0.0835,1.35,85.41,1954
2013,GEO00000000097,32.46,29.93,34.64,30.62,5.63,40.28,20.73,3.384,53.09,0.39,37.46,754.64,50.2,14.77,0.785,44.73,37.71,779
2024,GEO00000000098,29.61,19.67,1.46,13.7,11.46,11.97,20.84,19.94,52.52,11.22,12.71,78.76,43.12,22.0,0.5581,24.08,56.9,741
2024,GEO00000000099,17.04,5.15,32.88,41.33,21.79,23.04,27.52,12.763,18.95,18.37,5.73,35.41,39.76,66.23,0.4083,40.15,60.91,1894
2023,GEO00000000100,16.54,0.45,5.85,17.67,0.8,37.02,27.55,10.699,43.34,6.48,39.61,448.1,76.17,98.0,0.5468,24.37,76.91,119
2024,GEO00000000101,13.9,1.6,9.36,53.97,20.45,33.41,38.94,4.105,1.54,10.48,22.97,729.5,42.21,46.55,0.8278,1.46,85.82,1305
2024,GEO00000000102,25.09,34.14,58.87,22.58,35.07,4.19,19.88,14.829,22.4,19.8,3.8,194.5,96.47,55.49,0.8989,95.95,89.71,907
2020,GEO00000000103,26.4,18.75,24.14,36.82,9.12,4.73,15.34,1.902,19.34,22.42,23.91,279.76,38.63,9.69,0.6844,80.59,22.22,547
2023,GEO00000000104,19.99,22.03,20.54,2.4,7.6,22.7,26.96,13.255,11.04,3.97,34.97,678.01,68.83,87.05,0.7485,59.67,28.87,1002
2007,GEO00000000105,0.13,19.74,35.2,17.53,24.48,22.61,36.02,5.229,38.01,22.35,32.12,1211.05,46.13,73.43,0.6363,78.22,76.48,259
2023,GEO00000000106,23.58,33.22,44.38,10.03,8.23,40.4,16.5,8.243,20.38,29.47,6.64,21.6,81.78,86.77,0.4778,60.88,49.24,418
2020,GEO00000000107,38.11,29.66,53.89,31.34,17.97,23.43,28.24,3.246,11.17,10.03,1.34,494.01,24.64,20.62,0.3024,7.82,88.15,863
2024,GEO00000000108,44.18,7.36,67.12,11.38,14.18,21.53,13.32,17.395,33.6,29.7,5.65,123.72,50.82,84.28,0.0413,43.01,20.11,1465
2022,GEO00000000109,49.7,6.34,1.84,5.41,39.92,26.56,12.97,9.349,16.51,10.38,8.08,842.6,2.1,24.15,0.6384,61.36,60.67,71
2023,GEO00000000110,10.89,17.5,72.17,29.54,32.86,36.43,33.26,1.004,33.23,13.69,24.11,222.98,37.89,51.22,0.534,50.54,9.53,1656
2022,GEO00000000111,47.68,32.22,21.87,52.93,0.72,12.61,32.09,10.399,4.99,4.59,5.39,619.8,20.16,40.55,0.9615,73.06,87.31,350
2011,GEO00000000112,42.21,12.23,45.05,27.26,26.02,26.31,35.31,18.016,35.29,20.28,14.24,188.83,87.39,14.12,0.2008,5.56,62.97,1073
2016,GEO00000000113,38.95,14.58,30.39,54.94,26.37,15.05,19.98,15.288,15.09,2.08,7.12,562.94,31.94,34.3,0.6375,74.4,56.21,1190
2007,GEO00000000114,44.49,3.98,2.71,1.91,19.38,18.55,0.9,15.942,15.75,24.78,11.02,260.84,74.17,17.31,0.0019,52.25,31.31,802
2025,GEO00000000115,0.03,5.48,59.58,53.62,36.53,36.62,28.87,5.369,34.35,10.0,19.32,1293.75,32.25,18.14,0.8059,52.78,51.23,541
2023,GEO00000000116,41.47,14.98,68.14,27.12,8.55,39.25,29.35,18.208,39.26,1.39,36.53,1085.03,9.88,66.24,0.1427,35.02,9.87,244
2016,GEO00000000117,14.68,21.41,20.82,42.1,37.18,44.88,12.56,5.133,2.93,15.59,35.9,519.43,71.27,87.09,0.8442,18.69,36.0,49
2012,GEO00000000118,3.73,19.33,43.26,17.34,10.55,24.13,4.32,1.237,56.61,6.5,30.48,1211.62,23.5,38.41,0.9946,47.23,54.24,1666
2017,GEO00000000119,17.95,10.41,16.37,20.12,24.18,22.64,31.26,11.889,25.29,23.5,4.11,228.19,99.82,12.77,0.8672,78.3,51.68,1676
2024,GEO00000000120,42.52,4.28,24.75,22.61,39.68,23.51,12.62,18.374,33.08,16.28,22.93,1223.94,92.7,24.21,0.1099,97.05,92.2,379
2008,GEO00000000121,13.07,1.26,15.09,33.94,12.83,12.48,11.52,12.845,22.51,18.65,22.19,1397.09,40.16,16.13,0.8691,86.81,32.42,362
2018,GEO00000000122,3.1,29.95,6.83,4.25,16.12,0.22,6.06,6.116,10.37,26.62,10.52,864.39,72.38,39.33,0.0557,0.8,6.48,99
2014,GEO00000000123,35.2,23.41,24.22,46.1,13.85,24.92,33.39,18.67,12.72,25.91,35.7,1035.23,43.92,76.53,0.0046,33.14,52.48,926
2023,GEO00000000124,40.76,16.02,35.21,40.25,25.88,40.82,32.52,17.748,49.82,24.7,28.33,373.46,12.44,58.7,0.4209,43.93,48.29,1934
2008,GEO00000000125,33.68,1.45,33.66,53.86,8.21,26.48,25.42,7.124,11.21,18.02,37.08,1035.01,96.76,31.88,0.0075,43.83,77.41,1241
2012,GEO00000000126,36.7,11.9,48.62,9.49,17.8,40.37,20.24,11.997,8.4,25.2,22.19,1029.06,92.72,73.81,0.9153,56.38,27.61,656
2025,GEO00000000127,44.74,4.04,62.71,45.01,38.81,0.16,13.7,4.177,12.07,10.62,29.35,915.15,35.18,10.11,0.4677,19.37,12.97,765
2016,GEO00000000128,4.38,19.69,64.34,21.58,24.31,40.12,7.02,19.87,16.29,15.67,30.59,1139.09,3.82,32.29,0.8479,15.58,25.5,656
2020,GEO00000000129,0.07,18.44,48.14,31.16,14.19,43.98,30.59,17.957,43.18,15.34,38.71,439.98,32.57,28.95,0.4977,2.68,45.21,1420
2008,GEO00000000130,32.38,20.69,35.95,7.18,15.24,29.41,38.94,18.836,58.93,20.28,27.69,939.55,20.46,89.84,0.0726,3.47,91.66,142
2015,GEO00000000131,47.26,17.14,72.9,48.59,28.26,24.11,14.71,12.33,0.67,18.16,15.05,194.71,85.46,96.51,0.9542,99.25,36.04,122
2015,GEO00000000132,29.2,32.41,59.07,50.93,2.33,1.0,36.96,15.932,55.92,1.06,26.1,733.33,23.63,63.06,0.7876,3.59,6.43,858
2008,GEO00000000133,16.06,0.76,68.2,39.89,17.66,22.46,32.22,12.788,41.23,12.17,8.3,598.92,19.15,53.84,0.1984,2.05,14.91,22
2023,GEO00000000134,34.64,28.75,69.18,25.71,39.13,11.17,36.5,8.381,43.0,22.99,5.99,149.38,41.69,69.72,0.7738,3.29,40.79,217
2016,GEO00000000135,18.18,19.53,68.16,38.04,16.4,38.97,28.96,19.297,42.55,17.33,6.16,969.76,28.85,60.84,0.7911,10.38,0.37,1879
2023,GEO00000000136,32.05,10.03,25.87,34.6,22.44,38.62,39.43,11.224,23.42,0.03,36.74,1036.03,90.75,39.85,0.9519,63.72,67.57,1684
2023,GEO00000000137,52.37,23.36,72.31,5.9,16.26,2.82,12.89,16.889,2.86,20.25,9.65,452.19,83.56,12.91,0.4144,98.84,74.67,1422
2014,GEO00000000138,21.89,13.25,35.18,0.94,11.32,23.08,37.39,16.002,45.43,26.26,27.27,1038.27,32.27,15.39,0.6677,16.27,41.95,80
2019,GEO00000000139,17.8,10.49,3.75,38.83,11.95,43.06,17.39,3.774,33.54,28.46,3.95,1433.38,72.0,74.48,0.4124,79.03,1.87,711
2013,GEO00000000140,32.19,19.5,44.45,54.56,35.9,28.57,29.05,17.699,48.86,1.79,27.68,618.45,36.76,23.91,0.2767,24.46,13.77,1553
2013,GEO00000000141,44.15,28.46,31.03,36.99,34.06,30.61,0.19,10.58,46.48,14.03,29.58,229.19,61.6,29.15,0.4861,33.39,79.28,1189
2016,GEO00000000142,4.3,26.03,55.83,42.73,33.67,43.45,25.27,8.869,4.63,10.3,38.35,1052.42,48.24,46.19,0.515,69.47,78.11,467
2010,GEO00000000143,37.62,1.74,23.73,40.72,3.42,18.62,11.11,2.088,51.19,8.71,6.86,644.4,47.98,19.26,0.4164,69.22,0.18,1286
2019,GEO00000000144,49.49,0.82,28.86,40.15,3.27,40.89,9.83,19.782,30.08,1.55,0.21,1268.46,85.3,78.3,0.5261,7.56,99.19,250
2007,GEO00000000145,29.42,16.61,2.91,18.78,24.04,3.63,26.7,4.865,12.46,0.09,29.81,292.59,42.55,11.63,0.8451,48.22,20.29,165
2019,GEO00000000146,25.4,8.11,0.11,19.46,10.43,25.61,13.25,19.899,53.82,24.32,18.86,304.96,42.58,62.39,0.412,92.48,72.03,136
2020,GEO00000000147,29.32,28.92,6.99,39.34,31.67,43.82,36.98,16.595,24.19,22.13,14.55,963.77,47.01,67.43,0.7417,8.97,46.45,1118
2015,GEO00000000148,45.57,21.1,72.72,21.37,30.83,6.29,14.86,7.539,48.19,9.63,22.62,733.99,64.2,84.15,0.392,84.62,86.61,1205
2021,GEO00000000149,35.94,24.66,55.28,37.13,38.6,7.99,30.66,13.582,48.33,2.31,31.51,1006.73,60.6,86.01,0.4163,17.0,84.97,1690
2011,GEO00000000150,8.13,33.35,40.79,1.68,32.26,7.55,29.75,17.954,23.98,2.2,24.9,70.52,63.51,93.11,0.3846,64.17,43.52,597
2011,GEO00000000151,1.78,16.83,12.83,6.24,9.51,34.41,38.89,5.75,30.81,29.99,17.25,219.52,34.42,78.43,0.4149,91.51,61.78,939
2014,GEO00000000152,48.52,13.51,66.62,29.88,38.64,6.92,13.0,0.387,14.91,3.38,32.77,434.73,82.64,39.2,0.9681,94.6,46.33,1879
2009,GEO00000000153,43.37,16.48,50.69,38.33,12.06,25.39,6.42,0.763,22.19,29.73,37.84,179.19,42.03,83.45,0.821,63.28,51.01,1411
2009,GEO00000000154,34.22,11.08,12.56,34.16,2.15,27.98,11.21,9.766,41.82,27.72,26.27,564.17,77.91,4.78,0.0352,62.14,30.0,273
2024,GEO00000000155,21.49,3.48,6.45,12.96,20.82,44.71,5.7,11.207,11.62,13.49,13.53,237.09,90.59,8.42,0.4455,41.31,81.48,883
2008,GEO00000000156,18.48,21.64,38.95,28.01,3.79,37.25,8.6,11.924,40.94,12.85,13.91,986.15,21.28,1.52,0.0397,68.76,35.66,1092
2015,GEO00000000157,29.97,14.19,46.89,48.51,21.15,30.2,18.11,9.667,25.05,18.92,30.6,1276.45,63.22,69.84,0.3992,39.82,26.61,953
2010,GEO00000000158,24.53,20.59,37.34,45.18,3.98,4.35,6.76,17.829,2.01,10.77,21.83,103.66,78.95,15.61,0.8521,11.6,96.63,352
2015,GEO00000000159,31.54,3.37,38.05,53.39,7.63,34.75,29.17,5.461,48.59,17.42,13.74,1321.95,64.03,20.75,0.4802,44.94,49.43,1795
2017,GEO00000000160,34.79,29.39,64.04,9.87,14.82,2.14,23.51,15.909,54.35,9.53,6.82,946.15,2.95,35.64,0.1456,99.63,45.12,1435
2015,GEO00000000161,41.14,31.15,13.71,49.05,32.86,40.93,25.79,18.166,14.78,11.84,26.76,693.2,31.18,64.64,0.3798,25.11,74.25,1030
