tax_income_tax_year,tax_income_agi_bracket_code,tax_income_return_count,tax_income_total_agi_usd,tax_income_taxable_income_usd,tax_income_total_tax_liability_usd,tax_income_effective_tax_rate_pct,tax_income_payroll_withholding_usd,tax_income_self_employment_tax_usd,tax_income_capital_gains_net_usd,tax_income_qualified_dividends_usd,tax_income_retirement_income_usd,tax_income_itemized_deduction_total,tax_income_standard_deduction_total,tax_income_earned_income_credit_total,tax_income_child_tax_credit_total,tax_income_audit_rate_pct,tax_income_underreporting_gap_estimate,tax_income_refund_amount_total,tax_income_processing_time_days_median
2013,AGI_100K_200K,759181,829463301059.18,464113941893.05,90552514687.68,10.917,81126519771.73,10127578561.02,26045198318.71,15161945773.77,76353427343.6,62024784825.03,122620211262.35,4880237406.92,9803358687.19,0.547,46472744541.77,466362560398.16,77
2020,AGI_100K_200K,7029183,1827331629272.18,1593066739891.12,115461039679.58,6.319,77490916386.55,1671158566.06,72487997746.21,37348534836.18,29938728518.09,32495384512.38,365050770168.22,8665884113.84,14159250116.0,1.108,184282318800.68,27752242862.57,34
2012,AGI_25K_50K,2235563,4156922487670.92,2447965835510.41,594125388935.88,14.292,353156471529.67,18972563751.19,98520134605.83,100587379917.33,2526192107.46,440214498779.19,442060188918.18,5825976945.45,23795170697.62,1.834,68048137104.33,476004290918.23,29
2018,AGI_200K_500K,6324796,6524487796724.18,5968561454259.55,1626303500524.2,24.926,1340296975329.69,69014679393.75,103186516878.06,66435152750.92,593248973100.49,603794671541.94,332792800698.36,736724825.54,2921615947.64,3.081,110415288930.8,177746907130.07,88
2010,AGI_200K_500K,7495060,7087060325496.72,4654405791533.28,804620964866.45,11.353,546950193481.29,9930818840.77,425133274900.32,146339683556.76,187709719582.59,580080489784.31,866075467584.68,4487680391.82,3750646209.46,1.632,228452319432.3,306087071068.4,85
2009,AGI_75K_100K,5532470,1908871927236.45,1301468332243.46,363522007848.31,19.044,168819718821.91,3927743801.24,1423377707.85,54553567552.79,151747458025.01,109851825152.45,350801499390.73,8891294432.82,34338254357.49,3.314,9365581861.31,16996517636.75,19
2006,AGI_200K_500K,3091456,5552680873731.12,3147285261916.33,430595254416.36,7.755,156896485111.99,34998390085.89,164508907828.15,9837157238.94,130520886848.63,532180326765.93,307355611315.75,2687751386.09,23256832448.38,0.518,133535628761.35,109747075486.42,113
2008,AGI_50K_75K,2212626,8397959441731.55,6815077837355.62,1731748761621.77,20.621,1230798990120.91,84448669541.1,589877966866.31,238100681729.27,818359582615.24,884551426651.23,1804856684472.1,3277382116.38,32779963128.19,1.421,136736201040.59,458144057596.97,69
2017,AGI_25K_50K,5922767,3464188995852.79,2901210504523.62,434810447133.88,12.552,405586693284.36,47572274413.76,17682699137.03,86388490993.95,308130860098.36,98662376499.27,337384903435.32,6106072173.94,21917039700.92,2.614,284210572417.25,100889383620.45,81
2008,AGI_500K_1M,427925,4838004425264.94,3447989658109.84,1001845382042.15,20.708,572004232823.99,70673904066.32,371221218986.13,34463832202.79,117260946886.98,43249743806.12,528204881342.56,1899435136.42,2898560790.36,2.069,108595511818.8,461707847947.56,16
2006,AGI_100K_200K,3998893,5678822835011.85,3442570065324.81,833414294022.52,14.676,420257632229.77,14302539818.53,294901048436.1,32580718673.18,280835170567.5,15496635189.27,403696639450.01,9911025640.14,22411372948.93,1.586,108611350302.78,110791569023.71,73
2024,AGI_200K_500K,4664099,3067928790115.16,2130974510196.25,530841334144.12,17.303,280938869665.07,58132345147.45,65849232512.78,21304963495.58,119002345389.84,131702124813.43,489416083784.06,2835993868.1,32866009340.51,2.002,266077734801.2,259744202567.49,105
2005,AGI_100K_200K,1451196,3106389653647.91,2215966418860.75,411522095940.75,13.248,227759923151.9,12024347119.7,70160149349.14,55381013110.8,290315473309.14,197413789883.73,562950605576.82,10754622820.68,25935245618.3,2.769,161076637679.09,465702422443.99,75
2023,AGI_0_25K,5061591,7907255872242.42,5753263716979.08,602378251005.8,7.618,272518585876.49,33426006786.13,594977340491.02,173834451849.18,36102562428.47,995894723088.06,1373058797541.81,4486281061.17,31725864533.35,0.659,20335715412.53,490098490449.26,102
2025,AGI_100K_200K,1288403,4176248995210.53,3400775513311.35,904217422392.99,21.651,782586080687.82,76639447496.37,298397891198.1,40584342634.3,326468855836.12,404751834374.36,240597951061.72,1363187977.76,34009879004.83,3.35,144355853194.56,221231645895.78,103
2005,AGI_75K_100K,4873015,1091104794204.18,674844239719.42,198269329759.05,18.171,174023968568.83,7374957620.08,81251393438.05,3222783594.27,66978675311.36,52140187873.23,148898421603.06,5094239886.55,14374272266.29,0.85,273316303754.98,261872753436.91,48
2009,AGI_0_25K,4881004,7857503115132.43,5190110465753.83,791306617894.9,10.071,578001389878.97,76581813202.51,605741552711.12,89334976277.95,668312835647.9,135090886105.24,935873461130.29,10336645094.18,3876222016.4,0.064,262061031560.36,307885733065.45,111
2005,AGI_50K_75K,5531477,7527546448306.86,4028576812575.51,825336045079.88,10.964,589372080684.92,40281923889.34,289443149894.23,151225191500.59,76979134908.28,352883727871.86,705324499589.48,1777139683.97,27259664541.64,2.802,7777830020.2,28975800403.2,11
2013,AGI_50K_75K,6360711,4096993911692.09,2929659705337.83,602008701531.23,14.694,375889018728.43,22208451747.71,6279966286.11,78152318772.63,377701348813.02,214791348705.71,606362690234.79,6442214084.83,21675802730.89,3.205,231685595850.85,15978876901.69,58
2023,AGI_50K_75K,2235824,4405543875336.63,3576732160082.39,631078307948.4,14.325,266703135343.3,37370106172.68,199823268520.59,75431405059.72,117693266776.91,34006086370.72,214095522277.26,5780637617.17,28066154707.36,1.247,3612192360.21,458137426211.67,104
2019,AGI_25K_50K,2565945,4283666242743.39,3690995928165.36,984328120462.58,22.979,426998489761.87,81175325668.01,269596087405.35,51015841091.27,15356990679.51,594494321413.08,770901362968.76,9386254331.62,5353102502.48,1.432,283613020789.18,407162149805.19,8
2011,AGI_75K_100K,3729772,6078823734470.98,4668034107996.9,587348075809.06,9.662,227780648024.14,100706146114.39,356615653215.76,62909891824.56,352604962832.28,662532082434.67,1040302426882.19,236301158.64,5384637813.88,1.957,77368567772.48,441252778939.71,52
2019,AGI_0_25K,7269848,913891750315.53,449913749336.46,47147158418.67,5.159,31011054933.44,16736428817.9,70294067874.42,5274409204.41,60651557312.41,53258974332.68,74428143445.76,1450720703.8,22316160102.79,0.086,132153813566.78,172884202678.07,52
2010,AGI_100K_200K,7085349,4475407899371.4,2962496008487.15,145547161171.52,3.252,130367480770.93,45824207608.37,27071716719.11,60375069283.53,372907200441.2,138341748506.71,758921549394.68,1403342392.02,10838200012.84,1.041,208635048713.05,84116390560.75,56
2013,AGI_25K_50K,5818771,66017114792.45,57290991202.27,11462469752.4,17.363,10887905829.61,340998465.89,3277516696.79,470097118.25,6529789848.45,485856177.39,3025069907.62,7767777387.04,22342149691.91,0.113,91635001705.6,62753864328.56,5
2009,AGI_25K_50K,7063480,1808999342205.6,1356347429194.4,231262029613.51,12.784,94089735662.67,16331541958.75,80930653114.21,39533157630.88,71973707930.48,204956324777.08,339295907604.05,10641174770.33,32686689375.55,1.645,153636482574.7,440609771297.42,19
2021,AGI_100K_200K,4523079,6713278413971.93,5770944384767.9,1723662772004.83,25.675,814751465996.84,85504896060.26,272931342226.37,70551165400.39,604234872954.16,112444016839.67,658307325976.73,2672821945.68,3354083256.36,1.27,180732521846.26,106841965249.57,62
2011,AGI_200K_500K,7902175,7697467571958.29,6788469623564.37,1612256888717.88,20.945,1457562000657.4,74983971354.76,351520833286.77,109393844467.06,560380533642.62,698798667886.95,1002956662197.26,10647837017.61,16771971687.32,1.501,225931641568.3,434153286400.48,25
2008,AGI_200K_500K,5718451,2628261548625.35,1270671021814.46,327322533619.61,12.454,195132368162.52,30036248890.73,48477398802.56,7590680775.11,167188917798.84,15002604093.82,233033354330.6,6487661791.15,21571097483.38,1.868,12208663401.89,237656250997.48,67
2014,AGI_25K_50K,51268,8917957957123.81,7580094165649.46,1384268596498.25,15.522,1031022270773.76,156370515999.03,485815924967.53,209068324912.79,229476073948.97,841805301246.03,2108144942152.12,10625237725.08,5797091243.57,1.44,181702367286.91,482237948718.28,26
2013,AGI_0_25K,5493379,8850789133157.85,5012909641630.06,413721416748.3,4.674,300145637914.96,35440729777.45,148534767908.74,243918290671.73,94267948785.87,118547713736.14,302661638947.97,3242837168.7,11778093086.62,1.533,275112438951.67,408478081254.5,55
2018,AGI_100K_200K,6824175,8792067514834.72,4355768828557.18,766771479123.11,8.721,625386541170.8,5746234305.9,399465575374.5,239759097249.36,817661874046.98,597559663391.44,919708862437.05,4517675197.92,1113635521.28,1.052,247674488537.25,169591874705.0,43
2023,AGI_200K_500K,4505593,8549757844961.99,6479390632990.75,1423348468837.05,16.648,1195710659137.85,37926191564.45,269581326847.28,6602778155.92,654014655054.68,46869831968.41,335445390779.08,9306858865.95,1562442469.71,0.634,24523274419.26,221578498324.92,119
2024,AGI_25K_50K,2218030,3605898520159.34,2847778689899.95,598756341106.12,16.605,484950220457.77,21109835365.91,129192099202.13,42933719801.13,73667059912.59,451057310609.39,652857800214.68,1028012403.92,23089021750.96,1.134,130235070757.67,13676867987.36,33
2013,AGI_500K_1M,1749121,3880124257504.18,3369949262654.69,314086832847.56,8.095,245404692072.89,31972003994.49,102755963815.8,114631179498.43,68422222037.02,447676641638.5,810795722819.94,8931445822.05,14551899189.06,1.946,125152000657.35,91942055080.24,20
2010,AGI_50K_75K,3823042,5288578386625.89,3237300466205.27,531531816526.81,10.051,396213999232.61,42966084990.05,183309907885.68,23262275377.48,103268234822.69,99970831478.99,216739654095.98,4779446640.81,15475583290.42,1.938,89212060662.39,345461485437.43,75
2024,AGI_100K_200K,3023282,8564196993966.56,7556565380966.27,787550524501.34,9.196,718707156499.66,24245475340.69,130313266937.03,80902755423.77,253580662071.29,746545215991.89,1488769550730.23,8467778199.1,7372005518.36,1.143,95511023252.96,469159216960.82,20
2018,AGI_25K_50K,2401209,8685116634250.43,6967176732936.88,524343017930.6,6.037,403894535389.18,65071888377.38,553918298540.57,148591417266.16,589943074809.0,553335937516.23,1501256793126.0,10911249120.0,28696394262.93,2.052,82907946432.71,152984245521.81,50
2018,AGI_200K_500K,2981207,525827509089.69,272442075491.6,39199470460.76,7.455,35733875670.81,9531476125.54,21614648400.37,8501092648.51,23402808458.95,2716373758.93,46476360595.56,827069078.9,11265088703.69,2.098,130191192464.12,450225104379.51,86
2018,AGI_100K_200K,1942381,4270660446292.02,2336883133578.32,440218307951.28,10.308,271539856877.57,16928038072.73,278174041346.24,127500908787.58,174540077116.28,374351838372.59,469069578700.39,10564838578.28,978724374.09,0.253,90051018891.66,302584657591.37,61
2007,AGI_200K_500K,4091888,2672383772590.75,1854832675420.62,207638442392.51,7.77,166142374397.07,8230487072.89,21499600661.04,75645846630.67,25811230011.7,228666534672.08,173336532939.94,10599262245.84,2560321525.11,3.331,286375541742.16,139442733635.61,59
2010,AGI_1M_PLUS,1751511,4382773350287.93,2498289671708.24,553646216238.06,12.632,464039423886.35,25945078133.46,167505785133.22,75008176874.58,406553724385.07,29378556916.48,352191265150.01,476621069.67,7634011343.73,0.36,8542435803.68,362196668977.6,72
2018,AGI_25K_50K,270627,1933066044538.67,1164034868962.06,194051667740.01,10.039,98814750211.26,10285603723.24,91663209312.89,13485433301.4,39839960465.12,155577568931.4,269807536041.35,8999876579.27,17125594762.88,0.287,240050671590.01,323085309990.44,33
2018,AGI_25K_50K,7820121,594280159372.77,305230935133.02,88698465994.75,14.925,73012529449.25,2765369429.85,1207871438.68,15305419425.41,39441210349.55,2976805364.55,19246580929.58,1231247103.3,29954130501.72,3.442,228715840475.33,363111785325.45,106
2021,AGI_100K_200K,3797329,2835301780943.36,1945303850949.54,280872451469.36,9.906,119525711955.2,46491386094.55,59518529089.66,33075600225.63,142076423354.23,214303058814.49,324052587021.94,6389658606.73,1662439973.08,3.405,48256567644.13,424409657021.31,51
2019,AGI_25K_50K,5825616,2494061991044.1,1884842175997.47,393795282098.21,15.789,353814741369.88,30365367819.72,60311352023.78,553304022.77,74920478926.8,217022974941.73,133679128782.37,4802615088.97,2411736302.47,3.07,92628034016.7,272679811305.31,93
2024,AGI_25K_50K,4676004,7960287918779.4,3594492001154.42,621517206361.43,7.808,434527783241.67,85678312679.63,472566382215.61,104886894879.88,272995977429.23,547161658652.39,602284682545.69,10075711533.03,1497750207.53,0.741,32073148451.02,226857468980.62,81
2019,AGI_75K_100K,2914001,8955044776092.47,4935811572060.27,981385281594.58,10.959,862600205262.58,170820887994.93,353656231952.43,95109981337.7,721382959260.7,691747047193.62,786017071462.12,1051824934.45,9635717711.4,3.06,195599258545.13,441972157915.2,44
2013,AGI_200K_500K,5088548,6625089390184.2,5133514675490.11,1370433555506.79,20.686,1280381595103.51,82251317599.82,220738730445.03,150054668032.5,112404745464.79,469469759819.28,563854637050.03,4342305327.2,10434159113.11,2.64,163569547747.11,388393358514.31,61
2012,AGI_100K_200K,7641507,8797023636936.0,6269845860789.04,288369350364.05,3.278,149521667785.13,106667816231.5,166440972037.6,19934836331.49,213112362149.25,742173878914.34,440403243535.33,8937993402.28,14609136360.76,2.471,129859756843.83,155220722480.48,8
2014,AGI_75K_100K,2288250,3667679854925.52,3206010455186.45,958929343100.25,26.145,482368334923.01,48820806792.76,162554455511.09,89697724566.65,205583434828.26,256874591564.46,749905707338.47,10422246870.48,7966452824.42,0.115,204898642981.62,467980491282.72,8
2022,AGI_1M_PLUS,5054396,8860425484664.07,5841496221445.24,1558163562652.5,17.586,1423797373577.08,71493480182.37,475125998917.25,68923000235.67,313417151299.83,574801349627.72,293174975015.85,6279904815.65,688087928.45,2.166,73948177778.04,320406497254.76,50
2005,AGI_0_25K,7142013,7258892105421.62,3721312262418.58,495936977010.41,6.832,419568401921.47,140517409433.32,341733757198.65,62458630980.64,712074492674.59,321088685883.87,733175919217.58,2047973313.59,8218376684.89,1.272,58173413275.53,123845578783.14,100
2021,AGI_0_25K,7797004,3075337543402.84,2074263175567.69,93932778723.3,3.054,59958666400.99,55466379578.61,81195181730.58,91155756709.33,26504085649.44,12550650091.41,235858669750.09,9052210796.36,25492497130.36,2.352,5602747837.34,413515964921.2,56
2023,AGI_100K_200K,4773328,7554619156758.43,5584655963045.07,646095479969.56,8.552,502689446168.6,133746161995.11,53097328182.93,109647603787.89,381047339697.11,254286968987.97,1022219691581.91,5900138236.7,11482232904.65,0.877,206562377386.81,40774435242.2,7
2023,AGI_100K_200K,852834,5901205761155.79,4433986888561.33,604289066451.37,10.24,446861578629.41,8833292057.78,384431052439.93,52341683131.8,197561718098.89,789197886612.14,306888619150.04,3654827309.0,26491881281.09,2.417,91728658715.38,398033705977.84,73
2022,AGI_100K_200K,3366751,259766748870.17,141930800986.16,30256483406.48,11.648,13120104062.02,217914551.57,3694451392.65,164808026.93,23934851216.69,21518212296.09,8223263059.86,9270730881.35,23726684188.57,0.766,24594903885.2,248586913685.0,84
2019,AGI_100K_200K,4987929,2039689495095.4,1627717553114.27,274043039019.66,13.436,106848553917.36,14456258759.2,139612100390.96,142264419.37,107801237333.59,147187405421.23,234364948957.85,21391824.1,4112783109.67,1.172,92007444802.77,137892523702.78,27
2016,AGI_100K_200K,5107944,3498023999170.36,2964735354371.63,488232908293.34,13.957,449900712099.88,33990062832.8,219654624343.52,22317662035.77,12254580660.26,314119030073.51,491890024865.54,9388609062.79,19740719928.76,0.252,195860305608.83,456076152098.64,28
2025,AGI_0_25K,4501187,2624023869208.84,2156710288740.99,399734401398.39,15.234,307288226927.15,47968382056.24,170414352868.1,52942065250.77,39636819577.5,71336877335.44,436804749772.33,11244302681.83,28319234063.01,2.458,227494776463.74,158713983631.45,10
2025,AGI_25K_50K,6971278,5671472902618.96,3730083543719.93,726771096713.27,12.815,611371122167.84,67243051331.02,337754722839.79,119892021482.58,172938921411.38,227572028536.28,604263696277.32,1495899163.56,18661096491.96,3.151,190811888350.67,70017475080.83,7
2005,AGI_100K_200K,2838997,7013948360232.59,3358654043348.32,564067572821.94,8.042,243700004211.04,45779714452.12,181084537728.22,45284107926.43,669728902931.97,25948811456.83,255493717852.24,10135386298.16,31063469483.94,2.37,229567859728.74,394047001774.0,88
2018,AGI_0_25K,5753101,7960562309692.71,7194017513577.09,2058412545297.6,25.858,1667547031964.38,50452395572.58,228938155969.97,138191055655.07,474875000371.6,1146285012377.52,1459139174115.07,5466735622.38,8315048662.94,0.888,25353392494.63,55226091200.51,66
2005,AGI_50K_75K,2511440,7779915551358.22,4086558939093.65,420355665484.84,5.403,382664296182.45,24165330069.83,249621524443.39,110129988753.51,149374912530.58,491919627075.29,257130071666.41,789104919.34,22104084962.7,1.978,299794805571.01,70019853597.61,49
2009,AGI_200K_500K,701791,1174489949606.19,541100426854.43,140371871733.5,11.952,95289268253.96,13473355912.8,69885425378.36,14434873487.91,71254323408.91,65971335526.99,30353466568.12,2754264104.0,6417988908.42,2.377,45287561692.65,432872374646.09,56
2021,AGI_50K_75K,205723,3014922143473.74,1512389767430.24,371340470885.11,12.317,315598649382.82,23738747709.76,12014846560.08,60325459167.8,206503240561.12,176433691437.52,317435440526.41,6060946144.96,27365415578.88,2.079,53996408416.23,142198168019.05,87
2007,AGI_0_25K,7379332,4849014181430.25,2828579080990.7,308891840473.61,6.37,131544210548.35,17810134386.17,219630289109.13,60610056784.1,22449256553.21,392434695207.6,441639197081.17,7608593839.41,18681861337.93,0.983,186802113390.57,49419871333.7,43
2023,AGI_25K_50K,4388203,5673129366332.21,4462646116218.38,1203538350409.26,21.215,822151063516.06,22143409634.6,852655053.15,140880240744.15,218654663448.33,495965987520.78,863198684568.45,6725500982.15,2192157022.65,2.014,4158342985.75,106214141456.91,86
2011,AGI_200K_500K,7533860,8291716930534.34,4350833813693.03,973006591951.51,11.735,460491174816.38,126790196273.17,501028324012.68,78702287985.91,652150842857.76,65038513119.48,1050155598016.74,1595013173.5,33118553280.98,0.869,24435207992.83,411821328702.85,97
2014,AGI_0_25K,5707509,2103403781926.64,1908445389581.14,292423709531.03,13.902,200677268499.14,36568943039.06,167247119493.91,5483036946.24,11511701711.29,312976467494.8,215727031718.35,3391374583.44,5573687435.26,2.642,34017709082.89,349577493814.82,105
2022,AGI_100K_200K,2478998,5965149944258.53,4033296965598.5,1034935778974.59,17.35,897271974318.8,75625357497.91,187067074664.84,48875730023.75,201528042681.47,155247693418.1,307667679605.46,8503917166.02,22070133101.46,2.878,26286667005.01,222980882267.4,90
2013,AGI_100K_200K,534161,4028231934419.23,3426165893574.94,198276907940.99,4.922,148349840051.98,9265327187.58,147884785708.86,66616249999.24,393405190107.36,416380416582.02,451023517685.14,6763138055.65,8711610969.32,1.323,272104975372.82,388718054860.61,103
2021,AGI_75K_100K,1270694,6780949055570.09,3839000270409.56,198709978180.32,2.93,162807550725.62,109701148147.11,149910530353.79,182151562402.11,331461244209.16,402536833322.34,860920589951.08,4526480015.73,13146850880.93,2.346,50174853750.04,183860987918.93,17
2025,AGI_500K_1M,2063260,5093444148896.58,3558172158468.9,851977427942.79,16.727,349062175620.96,81631853475.98,187549861623.9,68173786041.79,369747573265.99,610623498338.48,502555270967.64,11360246933.62,548295620.36,0.697,118200265693.26,235779405602.84,4
2018,AGI_0_25K,36434,800182659376.91,458079414767.14,35961438682.47,4.494,30575731266.3,353173641.44,43377814514.44,10378118293.3,80012599631.93,5534107873.24,30098843199.54,10742598554.15,2004222303.4,1.627,31688345862.55,314502076405.87,119
2021,AGI_100K_200K,7311592,2113197336496.21,1595046154805.65,85041470050.31,4.024,33536347522.84,9921652908.31,1969770584.94,4830338013.83,8689457603.23,169496692204.38,118496391648.1,152387706.96,15638347424.32,1.909,14673885559.28,177458773553.32,81
