care_util_claim_month,care_util_place_of_service_code,care_util_procedure_code,care_util_diagnosis_group_code,care_util_member_months,care_util_visit_count,care_util_admission_count,care_util_readmission_30day_rate,care_util_ed_visit_rate,care_util_preventive_visit_rate,care_util_telehealth_visit_rate,care_util_high_cost_claimant_share,care_util_generic_fill_rate,care_util_imaging_rate_per_1k,care_util_lab_rate_per_1k,care_util_post_acute_utilization_rate,care_util_home_health_utilization_rate,care_util_pmpm_cost_total,care_util_pmpm_cost_inpatient,care_util_pmpm_cost_outpatient
2023-04,DayCare,PROC-6988,DXG-717,1608382,335857,6583,11.78,466.49,120.07,368.94,6.99,72.78,72.25,705.0,20.51,7.88,2364.56,3140.6,519.47
2022-08,IPD,PROC-6709,DXG-93,1892170,97058,28425,27.54,302.34,543.3,218.66,11.96,99.26,408.62,377.46,22.55,19.96,3887.64,673.35,1778.48
2025-05,ER,PROC-6711,DXG-965,166979,244155,36251,17.82,94.71,265.0,621.64,3.47,76.1,191.46,178.48,31.11,3.78,330.35,378.1,1727.01
2023-04,DayCare,PROC-8506,DXG-315,390942,370526,43862,17.62,339.25,860.14,64.6,11.26,82.69,74.72,1564.06,26.26,23.66,1125.32,333.9,751.38
2021-05,ER,PROC-8068,DXG-662,1210018,106613,47860,14.42,54.65,410.72,54.53,9.01,59.49,361.14,119.83,15.01,26.73,3295.63,2035.5,660.35
2024-12,IPD,PROC-4300,DXG-158,630397,112235,28268,25.72,464.29,541.12,323.79,5.4,57.85,359.59,1233.36,12.37,5.46,2099.53,1816.13,1858.63
2023-03,DayCare,PROC-3621,DXG-280,1774164,8367,59922,1.85,464.87,503.26,206.04,7.81,90.96,172.12,786.77,0.48,34.27,2034.56,1591.36,1766.97
2023-07,Tele,PROC-2037,DXG-321,969770,22616,55685,17.57,472.06,362.6,358.68,3.89,64.53,73.91,760.87,6.13,34.06,2832.07,2560.86,1810.66
2021-07,DayCare,PROC-9107,DXG-581,1024283,296829,51619,20.31,493.61,115.46,350.31,4.7,84.42,301.87,1127.07,20.05,33.08,1307.08,316.69,724.13
2025-02,Tele,PROC-2727,DXG-932,713430,294592,60854,26.71,120.95,469.29,181.93,5.02,44.46,210.78,983.39,5.94,10.56,1132.61,2831.19,456.42
2020-07,OPD,PROC-2653,DXG-941,112548,162126,29424,30.4,277.14,870.55,475.4,8.32,47.84,196.84,1312.31,33.66,7.82,2678.84,2931.04,2240.45
2021-08,PHC,PROC-3458,DXG-429,352715,150494,64693,19.83,561.66,69.32,58.07,0.52,40.48,228.45,1520.38,25.68,0.72,1441.66,176.04,1093.36
2020-05,HomeHealth,PROC-5222,DXG-299,343914,286306,62924,12.04,549.76,314.19,379.31,10.67,57.9,125.06,1234.44,34.29,8.97,4362.88,2474.73,472.78
2025-11,DayCare,PROC-6188,DXG-654,357381,130397,25848,6.8,507.2,434.01,576.74,9.21,70.99,172.26,424.92,24.16,24.45,3559.74,973.32,1017.08
2024-05,ER,PROC-8005,DXG-838,1699791,126957,30603,14.23,100.71,560.32,533.93,0.51,66.23,46.88,929.55,11.22,7.29,2970.04,1839.55,1100.8
2025-08,IPD,PROC-1982,DXG-313,448718,160305,48083,33.13,394.82,73.96,306.42,7.83,60.25,64.86,242.83,9.15,34.36,1164.32,1198.65,2044.79
2023-04,DayCare,PROC-4237,DXG-349,1720807,312800,13793,11.52,271.08,523.8,380.57,2.98,45.36,200.08,1517.35,23.89,23.01,1938.39,458.54,2015.81
2024-11,OPD,PROC-4758,DXG-214,504992,199084,69965,21.25,181.6,408.86,510.86,7.06,97.31,17.34,754.37,26.27,10.89,2556.78,2729.89,219.94
2025-04,ER,PROC-9454,DXG-132,1743792,116768,55523,9.33,148.28,431.93,591.73,11.79,52.47,239.39,257.06,22.81,6.07,783.72,1072.2,1211.9
2020-11,PHC,PROC-8133,DXG-977,603542,19744,37236,12.92,381.61,269.12,395.71,9.79,54.35,79.2,583.83,0.53,9.24,2533.95,3015.73,2385.47
2021-08,ER,PROC-4363,DXG-514,1516069,93374,13274,3.39,118.65,300.28,168.22,9.57,47.38,111.16,963.63,18.18,28.26,4112.18,1566.92,2222.85
2023-01,DayCare,PROC-1325,DXG-438,660214,144380,11609,20.38,50.55,704.52,382.86,9.75,51.42,321.87,1036.76,11.03,17.14,2291.15,1818.86,921.84
2025-10,HomeHealth,PROC-8027,DXG-991,383771,216462,237,29.74,39.92,811.51,639.42,4.14,79.67,138.38,1219.15,17.63,9.46,2377.23,1327.07,599.87
2022-07,OPD,PROC-7666,DXG-255,1956928,10511,69536,25.16,484.91,157.91,511.32,3.32,98.07,138.09,577.5,4.0,24.97,3985.95,2786.19,1929.09
2023-01,ER,PROC-8748,DXG-907,1952660,323581,11314,18.74,144.94,762.85,51.11,11.11,83.22,208.49,1182.44,35.31,28.27,2402.78,1789.38,2264.57
2021-04,ER,PROC-4280,DXG-516,109815,72990,48577,1.51,515.27,545.17,512.05,11.58,72.02,389.97,119.22,30.86,23.78,4442.77,1813.9,2111.16
2023-07,PHC,PROC-5141,DXG-289,1588281,236004,31055,25.98,241.55,719.86,108.06,2.58,63.7,14.79,975.31,17.53,23.57,740.3,1208.12,2332.27
2025-03,DayCare,PROC-8406,DXG-885,633025,76258,7822,15.19,468.12,728.71,450.0,7.17,83.86,313.1,1221.99,0.12,0.07,2056.26,1273.16,266.51
2020-10,DayCare,PROC-6474,DXG-729,370771,307532,76132,2.76,387.0,35.35,549.91,0.62,98.31,86.32,602.49,33.23,19.55,2678.29,2112.63,1015.35
2022-07,ER,PROC-8093,DXG-80,818743,328264,78756,1.24,222.39,373.19,443.62,1.68,84.28,172.32,882.56,5.0,4.57,2000.21,2718.41,1824.95
2024-05,IPD,PROC-1821,DXG-934,449396,359838,28726,2.43,27.22,172.91,377.07,0.85,60.93,251.71,915.16,28.66,23.8,3726.44,697.0,169.73
2025-06,HomeHealth,PROC-9939,DXG-710,1383418,363771,39452,11.07,200.62,711.16,332.93,10.72,96.38,167.29,1148.73,37.27,8.8,971.75,2687.13,540.37
2024-05,OPD,PROC-3622,DXG-416,851143,114210,376,5.37,391.56,488.43,178.15,7.44,57.8,32.82,1081.22,19.93,2.53,3119.51,578.74,1498.56
2024-03,HomeHealth,PROC-1346,DXG-862,1629236,275982,52362,14.05,475.12,723.71,187.45,6.16,95.63,382.78,428.11,28.64,13.53,3738.96,314.97,1293.44
2023-05,Tele,PROC-4414,DXG-627,529312,340076,74519,14.56,316.2,610.61,213.78,7.14,98.75,16.56,645.44,36.28,20.76,1660.23,2295.28,1944.27
2022-10,PHC,PROC-3305,DXG-592,597174,138507,60964,5.37,504.55,212.08,136.33,5.24,54.24,44.79,1002.97,19.69,4.03,2849.03,1643.56,1788.15
2023-09,OPD,PROC-6931,DXG-139,684931,356871,71129,26.15,477.83,632.59,268.96,11.26,60.39,403.78,1203.32,15.67,22.55,695.05,513.09,117.02
2023-07,ER,PROC-6023,DXG-793,1997685,380823,40864,32.45,228.57,411.84,126.44,4.63,64.44,333.76,903.52,16.25,24.79,1432.21,1261.75,282.63
2023-05,HomeHealth,PROC-6808,DXG-127,135985,372697,30854,13.2,478.55,259.57,521.81,0.29,90.84,181.21,437.07,9.56,8.99,1851.5,941.72,616.86
2021-06,HomeHealth,PROC-5147,DXG-320,1209864,122352,2065,14.02,405.48,230.69,44.76,0.07,74.11,359.69,346.05,38.78,1.95,265.28,993.86,1670.8
2022-05,OPD,PROC-8131,DXG-265,1086670,147601,56052,9.4,41.71,80.61,26.08,1.22,59.59,46.07,1506.7,4.49,33.36,531.94,121.54,1461.13
2023-09,DayCare,PROC-7644,DXG-880,1672325,328451,22812,4.22,431.13,413.24,550.27,2.93,56.97,84.64,1283.44,16.69,1.3,1210.46,84.14,574.36
2022-08,Tele,PROC-4816,DXG-848,260185,74539,40724,27.62,293.35,709.88,543.5,3.7,77.56,407.27,708.84,34.87,4.57,3954.71,2880.33,2071.75
2021-04,HomeHealth,PROC-2377,DXG-295,1353240,10940,49257,22.66,257.73,16.93,377.1,0.09,86.11,261.88,923.72,24.87,24.76,2342.86,1982.77,2083.96
2023-10,DayCare,PROC-1819,DXG-419,1105451,61431,68348,18.42,20.68,617.83,19.43,10.7,89.46,279.53,34.47,1.93,13.22,726.83,1578.43,1786.97
2024-02,HomeHealth,PROC-5854,DXG-528,1366093,55684,24467,2.71,439.24,315.19,103.75,8.07,41.68,280.42,1106.95,19.83,16.38,979.21,2764.24,1626.67
2022-09,PHC,PROC-6704,DXG-624,318247,185627,10907,22.82,178.54,92.3,375.09,8.33,97.01,373.07,806.59,6.27,30.04,141.29,683.21,540.62
2021-07,Tele,PROC-8849,DXG-893,732629,393726,26777,0.21,536.23,469.71,207.98,0.79,98.07,419.72,92.67,32.84,32.57,4129.08,2637.75,2080.42
2023-07,Tele,PROC-6987,DXG-806,1771078,58860,772,33.79,85.21,878.63,647.72,6.85,44.19,8.01,1578.16,26.03,5.97,2013.49,329.5,217.61
2022-12,PHC,PROC-4829,DXG-205,1614414,26235,38887,31.68,320.29,839.28,644.9,5.22,59.25,354.86,1112.85,21.03,35.0,3127.79,1376.36,2172.07
2025-05,OPD,PROC-3606,DXG-660,1285611,67901,42024,30.36,371.29,877.0,349.27,5.22,97.41,311.11,704.0,36.52,18.67,1818.34,248.12,1563.04
2025-11,IPD,PROC-8748,DXG-66,803245,240219,31565,4.33,563.07,55.21,153.73,7.76,85.61,327.86,486.34,21.79,14.22,2340.76,1747.81,1942.91
2025-04,HomeHealth,PROC-7809,DXG-653,1786338,250515,14814,34.36,41.74,67.05,212.68,9.61,89.5,209.55,315.98,1.65,9.11,1804.28,294.11,163.27
2020-05,DayCare,PROC-5683,DXG-681,253766,10941,56742,20.18,431.01,54.53,590.34,0.88,90.98,80.75,878.51,2.05,6.71,3025.08,2266.11,1191.46
2022-04,PHC,PROC-5112,DXG-405,96473,62131,48953,8.82,449.11,514.63,73.34,9.39,83.7,124.81,769.95,24.78,12.73,221.75,988.15,941.09
2025-02,Tele,PROC-4133,DXG-733,733818,280679,25945,22.41,62.19,357.06,284.98,9.68,46.25,173.39,714.3,15.17,18.15,2049.17,2980.5,1700.22
2021-06,DayCare,PROC-8599,DXG-110,57271,40057,69984,30.59,189.48,235.89,498.11,0.86,73.99,401.91,402.74,5.05,18.07,1891.34,844.1,1126.65
2025-02,OPD,PROC-2922,DXG-276,1137951,231960,23685,34.5,37.13,708.55,509.29,0.08,49.7,29.86,1563.59,4.79,3.89,2723.13,2317.16,863.4
2020-03,DayCare,PROC-8189,DXG-768,1961621,387085,36890,10.95,353.55,786.25,490.61,4.7,64.26,146.51,628.46,28.26,22.99,2333.33,1267.89,2011.62
2020-04,OPD,PROC-8890,DXG-434,1764289,274557,29048,31.44,579.29,592.37,246.46,9.02,95.67,43.52,323.02,35.48,9.2,4403.7,3051.58,292.87
2020-04,ER,PROC-1027,DXG-752,1877257,311918,14657,25.3,116.13,533.89,167.27,10.64,76.21,319.94,1363.79,23.6,32.34,1757.68,1173.13,912.91
2022-04,DayCare,PROC-5493,DXG-636,1292609,155061,74086,26.92,29.58,894.32,45.42,10.63,57.05,38.32,407.87,20.24,30.62,3128.0,2801.51,2358.19
2021-05,Tele,PROC-8870,DXG-893,1484322,39059,1779,5.65,337.5,640.08,315.41,0.66,50.62,412.94,1188.16,32.27,1.7,3882.5,1384.97,1063.45
2021-11,IPD,PROC-7355,DXG-573,1748873,230313,38156,12.46,560.16,96.07,352.68,7.57,72.6,374.32,1117.48,28.7,5.9,2418.19,2446.14,1039.27
2025-03,IPD,PROC-7025,DXG-260,349140,50549,34315,9.21,329.18,600.15,157.61,1.89,87.92,409.96,1108.9,11.43,15.39,1932.12,1181.63,1865.71
