civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_inr,civic_ballot_campaign_spend_oppose_inr,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2022,BM2022-00015,REFERENDUM,HEALTH,HEALTH_MEASURE_GSEO,116426,127670,PENDING,39589798,67972533,13,4,978,51.32,38.36,65889,47907,1,2022-08-05,0
2014,BM2014-00016,STATE_POLICY,TAX,TAX_MEASURE_5OR4,94451,87340,FAILED,1296540,7648298,7,8,1157,35.45,42.05,99956,127498,0,2016-05-07,0
2016,BM2016-00017,STATE_POLICY,HEALTH,HEALTH_MEASURE_N9NS,6148,6782,QUALIFIED,12881203,60756729,9,9,120,56.97,20.98,289788,201113,1,2018-04-24,0
2018,BM2018-00018,STATE_POLICY,EDU,EDU_MEASURE_HT2I,158176,137234,FAILED,54114491,69108958,12,4,37,30.24,58.7,148203,127478,1,2018-04-23,0
2018,BM2018-00019,REFERENDUM,HEALTH,HEALTH_MEASURE_TRVX,176242,159857,FAILED,46908265,42262908,9,7,312,65.8,26.99,605759,566834,1,2020-01-19,0
2016,BM2016-00020,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_I41U,93290,92537,PENDING,36343909,25136558,7,10,1575,44.27,54.71,115481,113707,1,2018-01-13,0
2020,BM2020-00021,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_82Z8,173922,149259,PENDING,29856433,73802509,6,8,985,59.27,34.45,158367,107158,1,2020-11-11,0
2024,BM2024-00022,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_XRCL,126112,100526,FAILED,10621674,26045424,8,6,1363,65.71,32.04,55711,60678,0,2026-08-03,0
2024,BM2024-00023,INITIATIVE,HEALTH,HEALTH_MEASURE_C6B0,127766,141740,QUALIFIED,51740110,47560320,5,4,193,49.81,45.86,272864,298159,0,2026-09-28,0
2017,BM2017-00024,INITIATIVE,ENV,ENV_MEASURE_DTGS,51980,55652,QUALIFIED,68428508,79093064,6,3,1614,53.07,42.79,173047,275706,0,2019-04-24,0
2018,BM2018-00025,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_EGDE,6176,5567,FAILED,11027003,34242977,6,7,1577,50.04,33.22,473471,484481,0,2018-10-08,0
2017,BM2017-00026,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_B3MQ,72628,54243,PENDING,56891656,37354952,7,6,564,63.44,33.2,280108,161014,1,2017-01-05,1
2025,BM2025-00027,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_RKWW,230899,252988,QUALIFIED,41692270,3628678,8,1,97,66.3,33.35,139358,184183,0,2026-06-02,0
2016,BM2016-00028,REFERENDUM,HEALTH,HEALTH_MEASURE_F5DE,55652,57866,QUALIFIED,69162945,47477172,5,7,1105,60.24,39.29,317422,814298,0,2016-08-11,0
2022,BM2022-00029,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_429M,133031,95517,FAILED,42976648,87773874,5,11,1037,34.83,54.56,272134,255925,1,2023-08-21,0
2024,BM2024-00030,REFERENDUM,ENV,ENV_MEASURE_WX96,38260,40363,QUALIFIED,70050357,19319628,6,6,968,59.78,33.95,484819,365507,1,2026-01-25,0
2023,BM2023-00031,REFERENDUM,INFRA,INFRA_MEASURE_CH24,46426,34648,FAILED,13159388,71348630,2,1,1060,32.21,64.99,735768,400738,1,2025-06-29,0
2019,BM2019-00032,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_5DO3,230995,278323,PENDING,3074506,57286739,8,6,330,50.74,33.91,329945,233998,1,2020-02-11,0
2020,BM2020-00033,INITIATIVE,ENV,ENV_MEASURE_Q83Q,243879,244174,QUALIFIED,31563417,20464752,6,5,1564,57.95,26.86,68304,96528,0,2022-08-11,1
2019,BM2019-00034,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_5OPK,126319,153393,QUALIFIED,22450577,475394,5,6,1798,52.97,38.59,576877,578244,0,2020-11-04,0
2019,BM2019-00035,STATE_POLICY,TAX,TAX_MEASURE_RUCU,132179,136109,QUALIFIED,43267068,42870831,12,6,158,59.85,38.63,77231,77572,0,2020-03-09,0
2023,BM2023-00036,INITIATIVE,ENV,ENV_MEASURE_4ZX5,77998,74237,PENDING,4657082,66591557,6,5,1686,43.71,36.58,189673,224014,0,2023-10-15,0
2021,BM2021-00037,REFERENDUM,INFRA,INFRA_MEASURE_T8ZE,109281,122836,QUALIFIED,50562969,3442312,4,7,970,41.67,24.6,424817,234007,1,2022-01-16,1
2014,BM2014-00038,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_3RPR,142053,130234,PENDING,2988896,85099555,6,4,597,37.44,54.06,184223,157335,1,2015-03-17,0
2014,BM2014-00039,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_ZEH9,53578,39142,FAILED,44663926,59280358,10,8,337,54.13,42.99,432703,672671,0,2016-08-23,0
2023,BM2023-00040,INITIATIVE,INFRA,INFRA_MEASURE_72IQ,222691,204647,FAILED,31908206,56392708,7,7,1376,37.7,52.83,627847,547479,1,2024-01-07,0
2021,BM2021-00041,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_U1BY,86523,78316,FAILED,66423854,89914117,8,6,758,47.31,37.58,504389,691108,0,2022-10-06,0
2026,BM2026-00042,REFERENDUM,TAX,TAX_MEASURE_RFMK,39131,43535,QUALIFIED,66551354,24923190,5,9,378,44.37,51.52,303400,812316,0,2026-09-30,0
2016,BM2016-00043,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_IZ63,132424,94708,FAILED,54844314,50449996,9,6,1144,31.73,27.27,181010,166345,1,2018-03-29,0
2022,BM2022-00044,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_VV1E,175554,210892,QUALIFIED,62951990,3367112,7,6,1104,39.23,35.96,311096,451159,0,2024-04-05,0
2014,BM2014-00045,STATE_POLICY,HEALTH,HEALTH_MEASURE_9HWF,148120,152886,QUALIFIED,42518447,64666734,7,5,295,39.53,37.88,120808,120470,1,2016-03-05,0
2024,BM2024-00046,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_D3CV,158610,139048,FAILED,48161955,55504277,12,5,1134,63.92,25.38,594480,355018,1,2025-07-08,0
2016,BM2016-00047,INITIATIVE,HEALTH,HEALTH_MEASURE_U5W4,41160,48950,PENDING,60239923,57549097,4,9,109,44.64,41.89,362029,346165,1,2017-09-19,0
2020,BM2020-00048,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_566D,9139,7566,FAILED,42358351,85769355,4,4,336,65.06,24.11,399332,433304,0,2020-03-06,0
2023,BM2023-00049,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_G3ET,162130,131875,FAILED,61699721,82728824,8,8,1008,34.86,35.89,594077,387790,1,2024-09-03,0
2022,BM2022-00050,INITIATIVE,ENV,ENV_MEASURE_VMDH,134307,141638,QUALIFIED,41617289,7703210,11,7,1218,57.61,28.5,655149,528834,1,2023-07-05,0
2020,BM2020-00051,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_ILHB,186562,231061,PENDING,22727619,88435816,6,3,1727,64.09,22.1,352082,652164,0,2021-12-28,0
2021,BM2021-00052,INITIATIVE,EDU,EDU_MEASURE_62VS,164372,192763,QUALIFIED,30423407,57382033,3,3,80,58.81,37.75,638068,453892,1,2021-10-31,1
2017,BM2017-00053,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_BVZL,58668,44442,FAILED,39569999,30556630,2,5,1396,69.32,23.52,136336,69273,1,2019-07-18,0
2022,BM2022-00054,STATE_POLICY,TAX,TAX_MEASURE_W6B9,6531,7351,QUALIFIED,966860,47154429,6,7,886,65.87,32.87,414629,419178,0,2022-07-03,0
2023,BM2023-00055,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_DR1G,179470,185013,QUALIFIED,53477951,74562242,4,3,728,60.48,24.58,189396,127127,1,2025-02-22,0
2015,BM2015-00056,REFERENDUM,INFRA,INFRA_MEASURE_OC5H,211482,182924,PENDING,58846589,72550403,5,6,57,67.27,22.25,236979,258996,0,2016-08-02,1
2020,BM2020-00057,STATE_POLICY,TAX,TAX_MEASURE_7QRE,67854,79270,QUALIFIED,19491263,55281525,1,2,1402,60.6,26.53,228841,300160,0,2022-11-30,1
2016,BM2016-00058,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_IKA7,70184,52689,FAILED,11348490,27581561,8,3,177,38.67,36.91,43908,37494,1,2016-04-26,0
2014,BM2014-00059,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_XX08,210647,250798,QUALIFIED,41909972,3225470,3,6,665,32.29,31.2,402039,384584,1,2014-05-19,0
2023,BM2023-00060,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_W54I,18394,19869,QUALIFIED,14250876,57009853,8,3,627,46.55,31.75,359245,165204,1,2024-01-18,0
2017,BM2017-00061,REFERENDUM,INFRA,INFRA_MEASURE_YI0P,91766,74014,PENDING,4823253,1229027,7,9,1208,51.63,41.08,549573,462827,1,2017-12-18,0
2019,BM2019-00062,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_DTXL,97044,92782,FAILED,65451528,51993868,7,2,1401,43.98,45.0,339502,354732,0,2020-12-07,0
2022,BM2022-00063,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_K85J,7881,8637,PENDING,49725539,50135819,6,8,1485,54.39,20.45,366290,554446,0,2022-02-11,0
2023,BM2023-00064,REFERENDUM,TAX,TAX_MEASURE_YI4N,150102,117382,FAILED,35125271,329969,9,4,1025,44.77,21.47,186411,178999,1,2025-12-21,0
2022,BM2022-00065,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_OZ7E,147279,174822,PENDING,34922924,61866875,6,9,1450,42.54,30.71,551712,430936,1,2023-04-05,0
2014,BM2014-00066,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_CM9A,196915,218863,PENDING,59083596,86175805,10,9,271,38.88,59.69,506545,641032,0,2016-08-24,0
2026,BM2026-00067,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_LMWW,23969,17697,PENDING,68422435,53815764,3,3,1373,56.17,24.12,75520,31800,1,2026-07-01,0
2014,BM2014-00068,REFERENDUM,TAX,TAX_MEASURE_QL3E,64906,50903,FAILED,64800423,2723360,9,7,1223,32.81,46.96,323953,235661,1,2014-02-04,0
2018,BM2018-00069,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_YWS3,228209,175536,PENDING,18922572,47112214,7,7,244,40.82,26.75,531882,608824,0,2018-10-17,0
2024,BM2024-00070,STATE_POLICY,EDU,EDU_MEASURE_Y3CX,181911,161177,FAILED,20187873,65837188,11,3,455,48.94,27.67,494052,338838,1,2026-06-20,0
2019,BM2019-00071,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_LJ0V,178450,210764,QUALIFIED,49254679,42523159,5,6,60,61.83,30.71,85888,170191,0,2021-09-24,0
2021,BM2021-00072,INITIATIVE,EDU,EDU_MEASURE_WGRZ,244309,273796,PENDING,24527939,63820360,11,6,856,69.72,21.26,864232,289217,1,2022-01-16,0
2017,BM2017-00073,STATE_POLICY,ENV,ENV_MEASURE_X9V1,223859,236953,QUALIFIED,5171379,89900539,6,5,1744,66.52,32.79,44626,58262,0,2017-01-23,0
2017,BM2017-00074,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_INUD,156263,141210,FAILED,13715941,52841244,8,6,788,46.18,27.43,308494,298258,1,2018-06-01,0
2026,BM2026-00075,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_32GY,195151,241449,QUALIFIED,43770027,46169964,9,6,630,55.61,26.31,86314,71585,1,2026-04-09,1
2021,BM2021-00076,INITIATIVE,HEALTH,HEALTH_MEASURE_EX4K,98611,79065,PENDING,51019227,28276040,10,6,958,60.37,21.8,404170,198958,1,2023-05-29,0
2019,BM2019-00077,STATE_POLICY,INFRA,INFRA_MEASURE_YSGO,202052,233320,PENDING,66945845,4622260,7,7,1519,69.79,26.0,181147,318439,0,2020-10-24,0
2014,BM2014-00078,INITIATIVE,HEALTH,HEALTH_MEASURE_YTII,36366,27343,FAILED,9012580,2992574,8,8,2,30.44,36.04,421965,251954,1,2014-05-17,0
2026,BM2026-00079,INITIATIVE,INFRA,INFRA_MEASURE_N70N,143316,118233,PENDING,21678482,66564341,9,6,680,66.77,22.04,139687,155989,0,2026-01-15,0
2023,BM2023-00080,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_BP33,245827,261675,QUALIFIED,1482239,76179564,7,7,623,68.77,27.69,245252,85018,1,2023-02-11,0
2024,BM2024-00081,INITIATIVE,HEALTH,HEALTH_MEASURE_IUNW,58536,63214,QUALIFIED,57139323,12012556,6,8,1693,60.52,34.52,42214,31910,1,2024-05-12,0
2018,BM2018-00082,INITIATIVE,ENV,ENV_MEASURE_LAJM,123698,122947,FAILED,41183217,19224669,7,5,626,48.53,30.62,143385,109168,1,2018-03-29,0
2018,BM2018-00083,REFERENDUM,ENV,ENV_MEASURE_5F1U,47645,51768,QUALIFIED,13895519,43522222,7,6,1234,40.84,54.97,138281,128525,1,2018-11-23,0
2022,BM2022-00084,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_J9RW,62086,71310,QUALIFIED,39748671,30712661,7,6,885,38.47,32.82,492804,611907,0,2023-11-18,1
2020,BM2020-00085,REFERENDUM,TAX,TAX_MEASURE_U3V8,159095,112926,FAILED,49720265,3944594,8,5,418,63.69,35.17,624366,457107,1,2021-04-04,0
2026,BM2026-00086,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_HV4Q,170691,162310,FAILED,35454318,63910917,3,4,1518,37.16,49.63,483069,205586,1,2026-01-09,0
2025,BM2025-00087,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_JETH,118197,133947,QUALIFIED,4245301,57614869,5,8,135,62.47,26.6,114310,63640,1,2026-04-17,0
2015,BM2015-00088,REFERENDUM,ENV,ENV_MEASURE_2MES,229130,186998,PENDING,14884386,64095556,8,5,314,61.2,26.32,97336,107771,0,2017-01-08,0
2024,BM2024-00089,STATE_POLICY,TAX,TAX_MEASURE_790V,222362,208372,FAILED,55133551,17608173,8,5,1332,33.07,47.85,406941,300710,1,2024-12-05,0
2023,BM2023-00090,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_N8PV,77344,56684,FAILED,22351244,51616510,5,5,1469,32.44,60.33,601495,595665,1,2023-09-01,0
2014,BM2014-00091,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_AZQ4,34432,28480,FAILED,35806780,66517260,7,2,312,52.13,39.26,531088,276950,1,2015-05-08,0
2026,BM2026-00092,REFERENDUM,INFRA,INFRA_MEASURE_VDJP,51270,63652,QUALIFIED,47996827,27141137,4,9,1193,37.63,32.96,627427,537531,1,2026-11-07,0
2014,BM2014-00093,REFERENDUM,EDU,EDU_MEASURE_A12J,209037,224214,QUALIFIED,18871230,75242905,10,5,1205,33.7,56.31,463750,602884,0,2015-03-16,0
2022,BM2022-00094,STATE_POLICY,EDU,EDU_MEASURE_MRMP,171347,169255,FAILED,15279022,54780571,10,5,1086,58.81,36.86,360527,260804,1,2022-12-11,0
2019,BM2019-00095,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_XC0P,139687,116740,FAILED,25138480,61391333,11,3,1003,64.28,33.68,522349,510083,1,2021-06-12,0
2026,BM2026-00096,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_DRKU,9197,11201,QUALIFIED,8061811,73302266,9,7,229,36.14,57.05,395067,509474,0,2026-01-29,0
2025,BM2025-00097,INITIATIVE,TAX,TAX_MEASURE_KH8V,191723,138101,FAILED,69318423,87061989,9,6,1762,62.23,34.06,439568,370028,1,2026-02-22,0
2026,BM2026-00098,STATE_POLICY,ENV,ENV_MEASURE_SA97,158143,188784,QUALIFIED,6501594,68784515,9,7,1181,44.82,22.74,482973,516774,0,2026-04-21,0
2026,BM2026-00099,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_X2OZ,90683,92064,QUALIFIED,20528246,30025625,5,6,821,37.75,57.68,192744,170697,1,2026-10-16,0
2022,BM2022-00100,INITIATIVE,INFRA,INFRA_MEASURE_MB30,140144,139075,FAILED,49132442,1302437,3,5,1674,69.66,27.44,125002,228786,0,2023-08-21,0
2021,BM2021-00101,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_2PQZ,245095,174618,FAILED,15594066,20627089,9,9,934,35.92,45.66,548450,638230,0,2022-09-19,0
2024,BM2024-00102,INITIATIVE,HEALTH,HEALTH_MEASURE_2E84,151474,123074,FAILED,42520321,29321815,6,6,1681,65.25,29.0,779788,408580,1,2025-07-27,0
2019,BM2019-00103,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_9YIL,162615,132772,FAILED,36800036,73503528,7,6,85,66.31,20.52,89165,90117,0,2021-04-27,1
2017,BM2017-00104,STATE_POLICY,INFRA,INFRA_MEASURE_015K,93164,115417,QUALIFIED,18306189,49592403,5,2,129,50.82,47.74,549743,416837,1,2019-12-18,0
2015,BM2015-00105,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_O1SK,245144,244243,FAILED,55948186,49983814,11,10,1711,30.28,51.84,673460,472436,1,2016-08-27,0
2026,BM2026-00106,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_OUBN,77488,85192,QUALIFIED,17998066,1506788,5,2,1271,46.49,45.72,329249,261197,1,2026-11-01,0
2026,BM2026-00107,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_MA4A,179409,185455,QUALIFIED,8357311,26795657,12,4,1742,50.57,40.47,604931,530816,1,2026-04-16,0
2020,BM2020-00108,REFERENDUM,TAX,TAX_MEASURE_PUVD,59075,59716,QUALIFIED,17794405,77273186,7,4,480,57.91,27.11,479969,354942,1,2020-06-06,0
2014,BM2014-00109,INITIATIVE,EDU,EDU_MEASURE_1XSN,177284,217838,PENDING,45364934,8388128,6,6,455,41.84,28.41,228903,235800,0,2014-01-08,0
2020,BM2020-00110,STATE_POLICY,INFRA,INFRA_MEASURE_MNR6,198309,227983,QUALIFIED,71144027,35371201,10,7,796,45.0,35.51,68744,80101,0,2022-04-12,0
2021,BM2021-00111,STATE_POLICY,HEALTH,HEALTH_MEASURE_OBGP,98897,84135,FAILED,4256277,5499083,7,4,701,32.89,37.45,353556,353476,1,2022-08-13,0
2020,BM2020-00112,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_YHVO,192376,158141,FAILED,65996938,10785725,7,6,1393,44.38,36.32,538402,567516,0,2020-12-30,0
2020,BM2020-00113,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_0IDC,51704,38522,FAILED,70633969,55540876,11,7,877,54.17,37.94,638298,527018,1,2020-10-27,0
2025,BM2025-00114,INITIATIVE,TAX,TAX_MEASURE_IPPR,90679,88270,FAILED,22994549,2006058,8,5,922,51.32,30.84,32604,42151,0,2026-12-14,0
2021,BM2021-00115,REFERENDUM,INFRA,INFRA_MEASURE_545K,76730,55095,FAILED,5498711,67740208,5,7,1571,52.0,26.22,120598,84071,1,2021-07-12,1
2022,BM2022-00116,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_QPY6,61907,58357,FAILED,38729980,54047217,8,3,530,68.96,24.77,283212,152133,1,2022-01-25,0
2023,BM2023-00117,STATE_POLICY,TAX,TAX_MEASURE_7QLB,14468,16097,QUALIFIED,2753642,34970415,7,6,1560,64.52,35.44,663280,321029,1,2024-06-29,0
2025,BM2025-00118,STATE_POLICY,INFRA,INFRA_MEASURE_JR1N,178398,164420,FAILED,27048640,73143474,7,9,802,42.52,50.03,44516,34822,1,2026-05-17,0
2018,BM2018-00119,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_KIKS,239311,261710,QUALIFIED,17634817,21772623,3,9,118,43.23,26.81,547466,455108,1,2020-09-14,0
2014,BM2014-00120,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_V4QQ,103356,75449,FAILED,68582807,5550274,4,6,1039,42.43,23.93,565906,508052,1,2014-02-15,0
2017,BM2017-00121,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_82RQ,196224,175207,PENDING,29930805,9424136,7,10,23,38.76,28.36,436523,301495,1,2019-06-20,0
2015,BM2015-00122,STATE_POLICY,HEALTH,HEALTH_MEASURE_A5A5,83966,65305,PENDING,3051684,38795882,20,4,1152,44.02,22.03,143645,148732,0,2016-10-20,0
2025,BM2025-00123,STATE_POLICY,INFRA,INFRA_MEASURE_MLQH,168850,166288,FAILED,48307244,41956053,7,5,1190,45.27,29.78,479800,579096,0,2025-08-08,0
2024,BM2024-00124,REFERENDUM,EDU,EDU_MEASURE_LQH1,15630,17848,QUALIFIED,72432852,38902943,9,3,1771,43.27,34.54,359753,409941,0,2026-07-01,0
2014,BM2014-00125,REFERENDUM,ENV,ENV_MEASURE_V2XB,12043,9790,FAILED,9772575,28371806,10,4,487,67.9,22.69,367606,367005,1,2016-07-08,0
2022,BM2022-00126,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_BOO0,213636,227200,QUALIFIED,57202884,85957426,9,4,1265,38.66,24.74,165095,281306,0,2023-10-27,0
2019,BM2019-00127,INITIATIVE,TAX,TAX_MEASURE_00MS,19730,24137,PENDING,29542817,9674404,5,5,613,56.17,20.86,533710,491569,1,2021-10-16,0
2024,BM2024-00128,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_XNMG,130324,134315,QUALIFIED,27901320,27806516,6,2,961,45.49,51.68,156550,213069,0,2024-08-04,0
2021,BM2021-00129,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_EO9W,131873,119772,PENDING,72932623,32650089,8,9,578,54.2,27.03,170387,199096,0,2021-08-29,0
2017,BM2017-00130,REFERENDUM,EDU,EDU_MEASURE_JB90,223978,163962,PENDING,51443587,18541957,7,4,847,69.62,27.0,294883,371450,0,2017-10-22,0
2018,BM2018-00131,REFERENDUM,EDU,EDU_MEASURE_03V1,165888,149548,FAILED,62194221,81755693,9,3,1259,54.27,31.86,264919,151841,1,2020-09-16,0
2025,BM2025-00132,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_CV1S,9818,10715,QUALIFIED,40978277,59821599,3,6,113,66.04,26.15,24127,26538,0,2026-12-23,0
2021,BM2021-00133,STATE_POLICY,HEALTH,HEALTH_MEASURE_9DD5,162545,130536,FAILED,13331007,38488188,6,7,534,35.82,50.01,433496,226059,1,2021-07-07,0
2025,BM2025-00134,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_82JP,113853,83791,FAILED,8252179,85906453,7,8,1640,57.59,23.74,68702,42495,1,2026-06-27,0
2021,BM2021-00135,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_LQ7S,192968,233621,QUALIFIED,31864477,66533758,9,7,163,60.95,37.73,264426,272133,0,2022-03-02,0
2014,BM2014-00136,STATE_POLICY,ENV,ENV_MEASURE_RAZ0,129642,147322,QUALIFIED,16829667,471410,3,10,1138,66.58,26.77,70494,55346,1,2016-08-10,0
2017,BM2017-00137,STATE_POLICY,INFRA,INFRA_MEASURE_Y44T,152080,151931,FAILED,20025631,89167583,7,3,150,43.19,56.32,68779,56865,1,2018-09-18,0
2023,BM2023-00138,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_W0ZN,195746,145199,FAILED,5312385,14989348,5,9,1320,35.56,39.54,601038,548202,1,2025-08-02,0
2015,BM2015-00139,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_VAXC,32977,38467,PENDING,24228702,8059274,5,12,560,66.77,21.24,189124,240021,0,2017-06-25,0
2017,BM2017-00140,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_II0U,199707,139909,FAILED,70182051,27546573,7,5,774,34.22,39.0,353997,426517,0,2017-04-03,0
