gov_proc_notice_id,gov_proc_publication_date,gov_proc_country_iso2,gov_proc_contracting_authority_id,gov_proc_procedure_type_code,gov_proc_cpvs_main_code,gov_proc_lot_count,gov_proc_award_criteria_code,gov_proc_estimated_value_eur,gov_proc_awarded_value_eur,gov_proc_number_of_bidders,gov_proc_sme_winner_flag,gov_proc_cross_border_bid_flag,gov_proc_eea_coverage_flag,gov_proc_green_public_procurement_flag,gov_proc_social_clauses_flag,gov_proc_contract_duration_months,gov_proc_modification_count,gov_proc_data_source_ted_flag,gov_proc_data_extract_date
GR-TED-2022-000041,2022-05-17,GR,GR_AUTH_00041,INNOVATION_PARTNERSHIP,64376504,1,LOWEST_PRICE,171460738.29,131604699.84,42,1,1,1,0,1,88,3,1,2025-01-14
LT-TED-2020-000042,2020-09-20,LT,LT_AUTH_00042,DESIGN_CONTEST,96665585,2,COST_EFFECTIVENESS,305364071.78,283981970.08,58,0,0,1,0,1,9,4,1,2025-09-07
PT-TED-2022-000043,2022-10-26,PT,PT_AUTH_00043,OPEN,66351202,3,MEAT,158943160.96,160076600.63,61,1,0,1,0,1,49,6,1,2024-01-01
SE-TED-2024-000044,2024-04-12,SE,SE_AUTH_00044,RESTRICTED,31242939,4,LIFE_CYCLE_COST,114528688.84,115457152.95,56,0,0,1,0,0,86,3,0,2024-02-23
CY-TED-2022-000045,2022-03-23,CY,CY_AUTH_00045,NEGOTIATED,83009941,5,QUALITY,324470043.04,220220904.57,62,0,0,1,0,0,64,8,1,2025-04-07
FR-TED-2019-000046,2019-11-25,FR,FR_AUTH_00046,COMPETITIVE_DIALOGUE,45575370,6,LOWEST_PRICE,6236817.85,4426135.76,54,1,0,1,1,0,33,6,1,2024-05-02
IT-TED-2025-000047,2025-12-08,IT,IT_AUTH_00047,INNOVATION_PARTNERSHIP,49797362,7,COST_EFFECTIVENESS,134429856.87,92545661.3,67,1,1,1,1,1,21,2,1,2024-12-11
NL-TED-2019-000048,2019-07-13,NL,NL_AUTH_00048,DESIGN_CONTEST,72775974,8,MEAT,120649492.41,100295037.81,55,0,0,1,0,1,27,4,1,2024-02-04
SI-TED-2021-000049,2021-04-04,SI,SI_AUTH_00049,OPEN,44012144,9,LIFE_CYCLE_COST,161498339.71,112728035.57,54,1,0,1,1,0,15,5,1,2025-06-13
BG-TED-2018-000050,2018-03-02,BG,BG_AUTH_00050,RESTRICTED,31149126,10,QUALITY,192404535.8,196725832.51,65,1,0,1,0,0,25,3,1,2025-03-22
EE-TED-2021-000051,2021-11-04,EE,EE_AUTH_00051,NEGOTIATED,75765567,1,LOWEST_PRICE,1482317.75,1108835.04,7,1,0,1,0,0,3,4,0,2025-12-06
HU-TED-2023-000052,2023-07-24,HU,HU_AUTH_00052,COMPETITIVE_DIALOGUE,11377351,2,COST_EFFECTIVENESS,48496905.35,43057569.62,5,1,0,1,0,0,31,3,0,2024-01-16
LU-TED-2019-000053,2019-11-04,LU,LU_AUTH_00053,INNOVATION_PARTNERSHIP,15697272,3,MEAT,223072709.89,200769407.25,9,1,1,1,1,0,18,1,0,2025-10-07
RO-TED-2022-000054,2022-03-02,RO,RO_AUTH_00054,DESIGN_CONTEST,93816069,4,LIFE_CYCLE_COST,223925966.6,221045143.48,12,0,0,1,1,0,40,0,1,2025-05-03
AT-TED-2019-000055,2019-07-08,AT,AT_AUTH_00055,OPEN,84947299,5,QUALITY,6452342.88,5173776.17,17,1,0,1,0,1,28,7,1,2024-06-01
CZ-TED-2018-000056,2018-08-06,CZ,CZ_AUTH_00056,RESTRICTED,78660783,6,LOWEST_PRICE,22047840.86,16460606.96,8,1,0,1,1,0,41,5,1,2024-07-23
DE-TED-2020-000057,2020-12-01,DE,DE_AUTH_00057,NEGOTIATED,46561248,7,COST_EFFECTIVENESS,179768941.01,132065663.13,25,0,1,1,0,1,86,4,1,2025-04-06
LV-TED-2020-000058,2020-04-28,LV,LV_AUTH_00058,COMPETITIVE_DIALOGUE,53371980,8,MEAT,161341440.38,111981671.71,18,0,1,1,0,0,3,7,1,2025-01-21
PL-TED-2021-000059,2021-10-30,PL,PL_AUTH_00059,INNOVATION_PARTNERSHIP,50189336,9,LIFE_CYCLE_COST,129282633.66,107006093.84,16,0,0,1,0,0,66,0,1,2025-07-11
ES-TED-2019-000060,2019-09-19,ES,ES_AUTH_00060,DESIGN_CONTEST,37294758,10,QUALITY,245722510.08,242168744.64,16,1,0,1,1,1,12,5,1,2025-11-21
HR-TED-2020-000061,2020-12-21,HR,HR_AUTH_00061,OPEN,64545093,1,LOWEST_PRICE,228134875.81,182921489.96,12,0,0,1,1,0,50,1,1,2025-07-10
FI-TED-2022-000062,2022-08-13,FI,FI_AUTH_00062,RESTRICTED,86109793,2,COST_EFFECTIVENESS,13182937.05,12676726.95,20,1,0,1,1,0,23,7,1,2025-07-19
IE-TED-2022-000063,2022-09-16,IE,IE_AUTH_00063,NEGOTIATED,44162334,3,MEAT,105781697.94,73827265.15,18,0,0,1,1,1,11,8,1,2026-02-10
MT-TED-2023-000064,2023-09-28,MT,MT_AUTH_00064,COMPETITIVE_DIALOGUE,87502889,4,LIFE_CYCLE_COST,58336587.34,50312106.96,17,0,0,1,1,0,94,2,1,2025-09-24
SK-TED-2024-000065,2024-11-16,SK,SK_AUTH_00065,INNOVATION_PARTNERSHIP,22952064,5,QUALITY,254777481.17,249892478.88,34,0,0,1,0,1,7,5,1,2024-10-27
BE-TED-2024-000066,2024-03-13,BE,BE_AUTH_00066,DESIGN_CONTEST,64847119,6,LOWEST_PRICE,121085790.44,112788968.45,35,1,0,1,1,0,48,8,1,2024-02-01
DK-TED-2025-000067,2025-07-04,DK,DK_AUTH_00067,OPEN,41830270,7,COST_EFFECTIVENESS,130795720.64,89950778.78,30,0,1,1,0,0,68,6,1,2024-10-15
GR-TED-2025-000068,2025-10-19,GR,GR_AUTH_00068,RESTRICTED,21728210,8,MEAT,20191800.55,15347751.88,35,1,1,1,0,0,76,4,1,2024-10-08
LT-TED-2023-000069,2023-05-15,LT,LT_AUTH_00069,NEGOTIATED,47528238,9,LIFE_CYCLE_COST,54305968.02,53780245.74,20,0,0,1,1,0,42,5,1,2024-06-04
PT-TED-2020-000070,2020-09-15,PT,PT_AUTH_00070,COMPETITIVE_DIALOGUE,89833612,10,QUALITY,162838193.38,118398806.49,24,0,1,0,0,0,81,5,1,2024-04-02
SE-TED-2025-000071,2025-09-26,SE,SE_AUTH_00071,INNOVATION_PARTNERSHIP,45287324,1,LOWEST_PRICE,135586103.1,130620983.07,25,1,0,1,0,0,17,5,0,2025-12-09
CY-TED-2023-000072,2023-07-22,CY,CY_AUTH_00072,DESIGN_CONTEST,90607676,2,COST_EFFECTIVENESS,120228903.83,118171605.17,37,1,0,1,0,1,52,6,1,2024-08-17
FR-TED-2020-000073,2020-07-17,FR,FR_AUTH_00073,OPEN,17085701,3,MEAT,30159048.51,25481474.38,27,0,0,1,1,0,69,3,0,2025-01-29
IT-TED-2020-000074,2020-05-06,IT,IT_AUTH_00074,RESTRICTED,14403351,4,LIFE_CYCLE_COST,262224830.96,203825474.97,33,1,0,1,0,0,28,1,1,2025-11-17
NL-TED-2025-000075,2025-07-28,NL,NL_AUTH_00075,NEGOTIATED,48516254,5,QUALITY,179577891.28,121501578.18,39,1,0,1,1,1,58,2,1,2024-11-23
SI-TED-2024-000076,2024-04-01,SI,SI_AUTH_00076,COMPETITIVE_DIALOGUE,32400841,6,LOWEST_PRICE,19496158.42,18650225.63,42,1,0,0,0,0,24,5,1,2024-05-11
BG-TED-2024-000077,2024-03-01,BG,BG_AUTH_00077,INNOVATION_PARTNERSHIP,83743107,7,COST_EFFECTIVENESS,4876189.58,3505741.04,35,1,0,1,0,0,60,0,1,2025-11-07
EE-TED-2024-000078,2024-06-26,EE,EE_AUTH_00078,DESIGN_CONTEST,82398963,8,MEAT,194356870.57,193073270.52,36,1,1,1,0,0,13,8,1,2025-08-10
HU-TED-2019-000079,2019-06-19,HU,HU_AUTH_00079,OPEN,51965492,9,LIFE_CYCLE_COST,32293230.52,24942145.0,32,1,1,0,0,0,15,2,1,2025-01-11
LU-TED-2021-000080,2021-05-20,LU,LU_AUTH_00080,RESTRICTED,48147582,10,QUALITY,110700290.29,97376580.14,35,0,0,1,0,0,62,8,1,2025-07-10
RO-TED-2019-000081,2019-05-06,RO,RO_AUTH_00081,NEGOTIATED,65468783,1,LOWEST_PRICE,274738643.25,207475057.68,31,0,1,1,0,1,4,8,1,2024-04-13
AT-TED-2025-000082,2025-11-01,AT,AT_AUTH_00082,COMPETITIVE_DIALOGUE,45527920,2,COST_EFFECTIVENESS,258324009.01,211507608.79,48,0,1,1,1,1,45,6,1,2025-01-24
CZ-TED-2025-000083,2025-10-14,CZ,CZ_AUTH_00083,INNOVATION_PARTNERSHIP,43118948,3,MEAT,156406176.17,120923043.3,42,1,0,1,0,0,90,4,1,2025-01-13
DE-TED-2022-000084,2022-07-08,DE,DE_AUTH_00084,DESIGN_CONTEST,12582286,4,LIFE_CYCLE_COST,236470488.25,204345656.9,42,0,0,0,0,0,45,7,1,2025-05-04
LV-TED-2021-000085,2021-09-29,LV,LV_AUTH_00085,OPEN,42497803,5,QUALITY,27170172.97,27761310.54,52,1,0,1,0,0,92,5,1,2024-01-29
PL-TED-2026-000086,2026-01-30,PL,PL_AUTH_00086,RESTRICTED,39222062,6,LOWEST_PRICE,148502996.66,111481188.28,54,0,1,1,1,1,68,2,0,2024-07-04
ES-TED-2024-000087,2024-06-22,ES,ES_AUTH_00087,NEGOTIATED,15435659,7,COST_EFFECTIVENESS,131275337.57,100489383.23,52,1,0,1,1,0,20,0,1,2025-01-27
HR-TED-2019-000088,2019-09-18,HR,HR_AUTH_00088,COMPETITIVE_DIALOGUE,72132943,8,MEAT,12323979.76,9144012.6,51,0,0,1,1,1,19,7,1,2024-10-07
FI-TED-2023-000089,2023-10-16,FI,FI_AUTH_00089,INNOVATION_PARTNERSHIP,44638421,9,LIFE_CYCLE_COST,214406535.46,147344454.03,42,1,0,1,0,0,84,6,1,2024-01-11
IE-TED-2024-000090,2024-10-10,IE,IE_AUTH_00090,DESIGN_CONTEST,71022599,10,QUALITY,4216499.08,3056036.13,45,0,0,0,0,0,57,6,1,2024-09-25
MT-TED-2021-000091,2021-07-25,MT,MT_AUTH_00091,OPEN,33375342,1,LOWEST_PRICE,43284077.44,39016687.81,52,1,0,0,1,0,72,7,1,2026-01-24
SK-TED-2019-000092,2019-06-19,SK,SK_AUTH_00092,RESTRICTED,41319982,2,COST_EFFECTIVENESS,103746873.59,102403919.86,44,1,0,1,0,0,36,0,1,2025-06-20
BE-TED-2019-000093,2019-06-04,BE,BE_AUTH_00093,NEGOTIATED,58789336,3,MEAT,77511510.43,75087034.47,54,1,1,0,0,0,70,8,1,2025-07-03
DK-TED-2022-000094,2022-06-15,DK,DK_AUTH_00094,COMPETITIVE_DIALOGUE,10566579,4,LIFE_CYCLE_COST,18122372.12,17351926.44,60,0,0,1,1,0,63,10,1,2024-06-18
GR-TED-2021-000095,2021-10-25,GR,GR_AUTH_00095,INNOVATION_PARTNERSHIP,38846666,5,QUALITY,237481458.33,231959121.56,49,1,0,1,0,0,16,6,1,2024-02-04
LT-TED-2022-000096,2022-06-01,LT,LT_AUTH_00096,DESIGN_CONTEST,50811360,6,LOWEST_PRICE,75536389.23,54517124.0,64,0,0,1,1,0,23,8,1,2025-08-15
PT-TED-2026-000097,2026-01-17,PT,PT_AUTH_00097,OPEN,13936405,7,COST_EFFECTIVENESS,186567473.6,176747274.85,65,0,0,1,0,0,59,8,1,2025-12-16
SE-TED-2018-000098,2018-07-28,SE,SE_AUTH_00098,RESTRICTED,43930455,8,MEAT,169084828.59,138217458.09,56,1,0,1,0,0,44,9,1,2026-01-14
CY-TED-2019-000099,2019-03-12,CY,CY_AUTH_00099,NEGOTIATED,46029731,9,LIFE_CYCLE_COST,86499219.42,78235264.07,49,0,1,1,0,0,32,5,1,2024-03-24
FR-TED-2020-000100,2020-02-10,FR,FR_AUTH_00100,COMPETITIVE_DIALOGUE,11871542,10,QUALITY,9178737.51,8674760.84,65,1,0,1,1,0,71,0,1,2025-12-09
IT-TED-2021-000101,2021-10-13,IT,IT_AUTH_00101,INNOVATION_PARTNERSHIP,50893214,1,LOWEST_PRICE,137193174.73,133471740.6,1,0,0,1,1,1,92,2,1,2024-12-11
NL-TED-2018-000102,2018-03-10,NL,NL_AUTH_00102,DESIGN_CONTEST,60365022,2,COST_EFFECTIVENESS,65889093.56,57803693.29,10,0,0,0,0,1,17,4,1,2026-02-18
SI-TED-2019-000103,2019-07-03,SI,SI_AUTH_00103,OPEN,14294707,3,MEAT,70680989.45,60480058.25,8,0,0,1,0,1,63,3,1,2025-12-06
BG-TED-2020-000104,2020-01-10,BG,BG_AUTH_00104,RESTRICTED,31957157,4,LIFE_CYCLE_COST,140165758.14,146584435.94,19,0,0,1,0,0,47,5,1,2024-12-02
EE-TED-2020-000105,2020-07-07,EE,EE_AUTH_00105,NEGOTIATED,83586210,5,QUALITY,182296249.12,186846487.48,5,1,0,1,0,1,8,4,1,2025-07-05
HU-TED-2025-000106,2025-09-10,HU,HU_AUTH_00106,COMPETITIVE_DIALOGUE,63900300,6,LOWEST_PRICE,2657312.06,1921677.97,12,0,0,0,1,1,41,3,1,2025-03-15
LU-TED-2025-000107,2025-02-12,LU,LU_AUTH_00107,INNOVATION_PARTNERSHIP,11492244,7,COST_EFFECTIVENESS,162260118.42,110354398.62,24,0,0,1,1,0,33,2,1,2024-09-14
RO-TED-2022-000108,2022-03-18,RO,RO_AUTH_00108,DESIGN_CONTEST,89296426,8,MEAT,208480377.43,188201664.51,8,1,1,1,1,0,59,4,1,2024-09-18
AT-TED-2024-000109,2024-02-21,AT,AT_AUTH_00109,OPEN,83741548,9,LIFE_CYCLE_COST,81049157.99,53990063.33,25,0,0,1,0,1,41,7,1,2024-03-03
CZ-TED-2022-000110,2022-05-18,CZ,CZ_AUTH_00110,RESTRICTED,83947014,10,QUALITY,190898570.14,188055790.6,24,0,0,1,1,1,7,8,1,2024-05-03
DE-TED-2019-000111,2019-02-01,DE,DE_AUTH_00111,NEGOTIATED,26041850,1,LOWEST_PRICE,1819713.19,1828422.11,16,0,0,1,1,1,12,5,1,2025-03-26
LV-TED-2025-000112,2025-04-03,LV,LV_AUTH_00112,COMPETITIVE_DIALOGUE,51822075,2,COST_EFFECTIVENESS,27717988.49,21045374.57,24,0,0,1,1,0,95,2,1,2024-02-21
PL-TED-2021-000113,2021-01-20,PL,PL_AUTH_00113,INNOVATION_PARTNERSHIP,12937792,3,MEAT,97163325.69,101178004.8,18,0,0,1,1,0,93,3,1,2024-09-15
ES-TED-2026-000114,2026-01-29,ES,ES_AUTH_00114,DESIGN_CONTEST,32581762,4,LIFE_CYCLE_COST,91816047.58,84666275.34,28,1,1,1,1,1,92,4,1,2025-11-25
HR-TED-2018-000115,2018-08-07,HR,HR_AUTH_00115,OPEN,85024539,5,QUALITY,159312714.29,164863230.06,16,1,1,1,0,1,41,2,1,2024-06-27
FI-TED-2021-000116,2021-07-24,FI,FI_AUTH_00116,RESTRICTED,17971717,6,LOWEST_PRICE,84108709.36,73513064.6,22,0,1,1,1,1,32,3,1,2024-12-18
IE-TED-2020-000117,2020-07-24,IE,IE_AUTH_00117,NEGOTIATED,61465656,7,COST_EFFECTIVENESS,122302759.96,111271845.23,23,1,1,1,0,0,80,0,1,2026-02-04
MT-TED-2020-000118,2020-04-16,MT,MT_AUTH_00118,COMPETITIVE_DIALOGUE,15686302,8,MEAT,184170392.64,190423969.6,21,1,1,1,1,1,59,8,1,2025-03-04
SK-TED-2025-000119,2025-01-16,SK,SK_AUTH_00119,INNOVATION_PARTNERSHIP,28404522,9,LIFE_CYCLE_COST,263757052.77,209119947.25,35,1,0,0,1,0,8,10,1,2025-07-16
BE-TED-2025-000120,2025-03-20,BE,BE_AUTH_00120,DESIGN_CONTEST,69648790,10,QUALITY,162481692.27,132408228.22,26,1,0,1,0,0,30,4,1,2025-01-14
DK-TED-2020-000121,2020-03-26,DK,DK_AUTH_00121,OPEN,69691856,1,LOWEST_PRICE,45447957.26,39680608.43,33,1,0,1,1,1,32,2,1,2025-04-25
GR-TED-2019-000122,2019-03-09,GR,GR_AUTH_00122,RESTRICTED,12661285,2,COST_EFFECTIVENESS,81869786.28,58804323.19,38,0,1,1,1,0,79,4,0,2024-04-28
LT-TED-2021-000123,2021-01-25,LT,LT_AUTH_00123,NEGOTIATED,63730869,3,MEAT,130318877.93,132244033.06,23,0,0,1,0,0,32,8,0,2024-06-11
PT-TED-2025-000124,2025-05-04,PT,PT_AUTH_00124,COMPETITIVE_DIALOGUE,17885256,4,LIFE_CYCLE_COST,169642420.1,137549211.79,28,1,0,1,0,0,77,6,0,2025-09-12
SE-TED-2025-000125,2025-12-15,SE,SE_AUTH_00125,INNOVATION_PARTNERSHIP,67356009,5,QUALITY,201889344.67,202668239.02,36,1,0,1,0,0,80,5,1,2024-04-13
CY-TED-2019-000126,2019-04-22,CY,CY_AUTH_00126,DESIGN_CONTEST,10873329,6,LOWEST_PRICE,203847778.35,186484405.58,46,1,1,1,0,0,24,1,1,2024-10-17
FR-TED-2022-000127,2022-04-13,FR,FR_AUTH_00127,OPEN,23775914,7,COST_EFFECTIVENESS,151826454.7,109142216.64,37,1,0,0,0,0,14,4,0,2024-03-27
IT-TED-2021-000128,2021-03-27,IT,IT_AUTH_00128,RESTRICTED,71376849,8,MEAT,51971198.14,42732402.59,41,1,0,0,1,0,6,4,1,2024-10-05
NL-TED-2021-000129,2021-02-27,NL,NL_AUTH_00129,NEGOTIATED,87009197,9,LIFE_CYCLE_COST,25490983.41,19194375.01,31,1,0,1,0,0,72,6,1,2025-11-08
SI-TED-2024-000130,2024-09-14,SI,SI_AUTH_00130,COMPETITIVE_DIALOGUE,22647084,10,QUALITY,174588073.88,173210375.25,33,1,1,1,1,1,24,1,1,2026-01-12
BG-TED-2022-000131,2022-07-22,BG,BG_AUTH_00131,INNOVATION_PARTNERSHIP,39066529,1,LOWEST_PRICE,147206383.86,123356796.69,44,0,0,0,0,1,45,7,1,2024-04-30
EE-TED-2025-000132,2025-07-22,EE,EE_AUTH_00132,DESIGN_CONTEST,20308014,2,COST_EFFECTIVENESS,66062709.96,66074401.83,40,1,0,1,1,0,67,3,1,2024-06-02
HU-TED-2019-000133,2019-08-27,HU,HU_AUTH_00133,OPEN,34586949,3,MEAT,179554677.08,127613558.28,33,0,0,1,0,1,5,8,1,2026-02-04
LU-TED-2026-000134,2026-01-18,LU,LU_AUTH_00134,RESTRICTED,21284494,4,LIFE_CYCLE_COST,221732951.2,190757708.19,44,1,0,1,1,0,31,0,1,2026-01-29
RO-TED-2021-000135,2021-07-17,RO,RO_AUTH_00135,NEGOTIATED,54300327,5,QUALITY,196552300.36,200321069.93,45,1,0,1,0,0,90,7,1,2025-05-07
AT-TED-2024-000136,2024-06-09,AT,AT_AUTH_00136,COMPETITIVE_DIALOGUE,80006645,6,LOWEST_PRICE,64766978.69,65058781.8,36,1,0,0,0,1,46,0,1,2025-05-23
CZ-TED-2026-000137,2026-02-05,CZ,CZ_AUTH_00137,INNOVATION_PARTNERSHIP,68140905,7,COST_EFFECTIVENESS,61909464.38,57340299.75,39,1,0,1,0,0,80,3,1,2024-10-30
