edu_he_reference_year,edu_he_country_iso2,edu_he_institution_id,edu_he_institution_type_code,edu_he_students_total,edu_he_international_students_share_pct,edu_he_graduation_rate_pct,edu_he_staff_fte_total,edu_he_research_expenditure_eur,edu_he_publications_count,edu_he_citations_normalised_index,edu_he_horizon_participation_count,edu_he_patents_count,edu_he_spinouts_count,edu_he_open_access_share_pct,edu_he_microcredential_offers_count,edu_he_european_universities_alliance_flag,edu_he_data_source,edu_he_revision_round,edu_he_data_extract_date
2016,SK,HEI_SK_0070,PUBLIC_UNIVERSITY,14375,2.74,74.78,1456,2432624282.8,15582,0.739,39,19,19,53.56,2,0,NATIONAL_HE_REGISTRY,SECOND,2024-11-20
2017,BE,HEI_BE_0077,PRIVATE_UNIVERSITY,29027,29.12,74.58,2594,3229129894.84,17210,1.103,167,66,24,16.0,188,0,INSTITUTIONAL_REPORT,FIRST,2024-01-09
2018,DK,HEI_DK_0084,UNIVERSITY_OF_APPLIED_SCIENCES,54896,19.42,75.51,4860,1573880851.58,5089,1.42,418,148,59,32.17,74,0,EUROSTAT_EDU,FLASH,2025-05-21
2019,GR,HEI_GR_0091,RESEARCH_INSTITUTE,41443,19.27,48.04,6311,4539137929.67,27815,1.106,352,266,88,53.08,74,0,SCIMAGO_EXPORT,BENCHMARK,2024-05-07
2020,LT,HEI_LT_0098,TECHNICAL_UNIVERSITY,90330,11.65,69.19,11466,1300199043.9,14488,1.508,109,126,12,47.88,172,0,NATIONAL_HE_REGISTRY,SECOND,2024-10-26
2021,PT,HEI_PT_0105,PUBLIC_UNIVERSITY,81858,17.09,54.14,9374,2353241239.98,2257,0.782,150,85,100,26.69,269,1,INSTITUTIONAL_REPORT,FIRST,2025-12-11
2022,SE,HEI_SE_0112,PRIVATE_UNIVERSITY,60485,19.78,63.71,4322,2432184556.17,361,1.19,173,159,51,67.62,550,1,EUROSTAT_EDU,FLASH,2025-09-24
2023,CY,HEI_CY_0119,UNIVERSITY_OF_APPLIED_SCIENCES,33732,8.7,71.01,3522,2912459333.05,3291,1.15,24,175,98,71.36,349,0,SCIMAGO_EXPORT,BENCHMARK,2025-01-25
2024,FR,HEI_FR_0126,RESEARCH_INSTITUTE,37075,22.57,59.08,5680,2389580599.91,9117,1.759,469,122,32,23.85,526,0,NATIONAL_HE_REGISTRY,SECOND,2024-07-14
2025,IT,HEI_IT_0133,TECHNICAL_UNIVERSITY,22175,21.35,78.37,1629,969941571.59,6957,1.99,525,343,20,47.32,253,0,INSTITUTIONAL_REPORT,FIRST,2026-01-01
2006,NL,HEI_NL_0140,PUBLIC_UNIVERSITY,27528,34.16,66.86,2911,2614544242.1,7771,1.603,106,124,42,56.15,112,0,EUROSTAT_EDU,FLASH,2024-04-21
2007,SI,HEI_SI_0147,PRIVATE_UNIVERSITY,51588,10.44,75.81,3501,384215667.73,19185,1.609,233,150,50,49.27,32,0,SCIMAGO_EXPORT,BENCHMARK,2025-02-13
2008,BG,HEI_BG_0154,UNIVERSITY_OF_APPLIED_SCIENCES,5681,20.17,76.72,217,414005649.31,16967,0.976,120,139,96,22.3,169,0,NATIONAL_HE_REGISTRY,SECOND,2024-06-02
2009,EE,HEI_EE_0161,RESEARCH_INSTITUTE,7059,17.23,46.81,439,90390073.28,31514,0.819,344,329,59,53.94,56,0,INSTITUTIONAL_REPORT,FIRST,2024-04-21
2010,HU,HEI_HU_0168,TECHNICAL_UNIVERSITY,35488,24.51,61.5,4357,4065735579.21,31475,1.732,341,111,38,65.62,38,0,EUROSTAT_EDU,FLASH,2024-12-13
2011,LU,HEI_LU_0175,PUBLIC_UNIVERSITY,90818,29.63,67.1,7577,1862480038.18,16253,1.443,47,124,107,42.12,18,0,SCIMAGO_EXPORT,BENCHMARK,2025-03-22
2012,RO,HEI_RO_0182,PRIVATE_UNIVERSITY,41094,9.68,61.15,1300,1522265413.53,15531,1.264,162,49,93,38.96,117,0,NATIONAL_HE_REGISTRY,SECOND,2024-02-15
2013,AT,HEI_AT_0189,UNIVERSITY_OF_APPLIED_SCIENCES,18662,8.8,67.83,1778,1510305014.49,18904,0.837,131,63,2,31.81,198,0,INSTITUTIONAL_REPORT,FIRST,2025-11-07
2014,CZ,HEI_CZ_0196,RESEARCH_INSTITUTE,17990,15.01,77.49,2452,3967852199.08,26401,1.058,454,295,71,66.11,174,0,EUROSTAT_EDU,FLASH,2024-05-05
2015,DE,HEI_DE_0203,TECHNICAL_UNIVERSITY,56183,39.15,58.5,4585,2046511774.08,9832,1.546,409,190,55,55.04,187,0,SCIMAGO_EXPORT,BENCHMARK,2026-02-10
2016,LV,HEI_LV_0210,PUBLIC_UNIVERSITY,96662,12.8,63.57,5075,2387236334.88,261,0.898,242,176,107,24.46,91,0,NATIONAL_HE_REGISTRY,SECOND,2025-03-07
2017,PL,HEI_PL_0217,PRIVATE_UNIVERSITY,2263,22.43,44.32,274,3477417924.32,13078,1.255,177,90,53,62.74,164,0,INSTITUTIONAL_REPORT,FIRST,2024-02-25
2018,ES,HEI_ES_0224,UNIVERSITY_OF_APPLIED_SCIENCES,48972,16.76,65.82,5670,977586715.79,20950,2.041,75,14,24,49.34,195,0,EUROSTAT_EDU,FLASH,2025-08-13
2019,HR,HEI_HR_0231,RESEARCH_INSTITUTE,26773,2.02,49.35,2879,1652538128.04,21693,1.586,374,292,21,77.58,147,0,SCIMAGO_EXPORT,BENCHMARK,2025-04-27
2020,FI,HEI_FI_0238,TECHNICAL_UNIVERSITY,54893,6.63,81.4,1568,4286498093.17,2332,1.122,583,154,98,25.94,120,1,NATIONAL_HE_REGISTRY,SECOND,2025-07-20
2021,IE,HEI_IE_0245,PUBLIC_UNIVERSITY,42124,12.1,83.67,2884,1002472675.84,5996,0.914,87,146,42,68.32,200,0,INSTITUTIONAL_REPORT,FIRST,2024-02-29
2022,MT,HEI_MT_0252,PRIVATE_UNIVERSITY,52669,28.17,59.48,6585,2714387394.99,12450,1.867,268,11,43,24.33,376,0,EUROSTAT_EDU,FLASH,2024-11-02
2023,SK,HEI_SK_0259,UNIVERSITY_OF_APPLIED_SCIENCES,9033,2.95,69.53,1070,2460618162.03,11762,1.098,99,8,41,26.57,29,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-09
2024,BE,HEI_BE_0266,RESEARCH_INSTITUTE,10157,3.14,60.61,1099,5886107429.18,1403,0.725,354,308,111,57.47,531,1,NATIONAL_HE_REGISTRY,SECOND,2024-03-16
2025,DK,HEI_DK_0273,TECHNICAL_UNIVERSITY,41561,14.88,59.14,3579,7321245227.32,34329,0.837,377,205,40,85.71,39,1,INSTITUTIONAL_REPORT,FIRST,2024-09-01
2006,GR,HEI_GR_0280,PUBLIC_UNIVERSITY,34961,23.74,73.49,3576,846136203.41,11934,1.735,337,121,107,46.18,6,0,EUROSTAT_EDU,FLASH,2025-09-05
2007,LT,HEI_LT_0287,PRIVATE_UNIVERSITY,35658,20.08,60.26,2355,1041655043.4,18652,1.726,49,114,16,31.8,90,0,SCIMAGO_EXPORT,BENCHMARK,2025-01-22
2008,PT,HEI_PT_0294,UNIVERSITY_OF_APPLIED_SCIENCES,39325,29.0,58.1,3422,1069625153.61,20469,1.416,29,165,90,31.98,43,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-06
2009,SE,HEI_SE_0301,RESEARCH_INSTITUTE,8661,41.3,54.21,570,1048415746.95,22732,1.777,208,141,59,24.44,179,0,INSTITUTIONAL_REPORT,FIRST,2024-10-28
2010,CY,HEI_CY_0308,TECHNICAL_UNIVERSITY,46226,10.06,73.58,4374,1347683145.14,11584,1.801,4,89,68,58.33,115,0,EUROSTAT_EDU,FLASH,2025-11-16
2011,FR,HEI_FR_0315,PUBLIC_UNIVERSITY,34839,15.38,79.72,1944,1247686876.59,2378,1.347,154,28,92,21.8,167,0,SCIMAGO_EXPORT,BENCHMARK,2024-06-28
2012,IT,HEI_IT_0322,PRIVATE_UNIVERSITY,13286,1.72,76.65,390,2202426623.25,5728,1.798,171,12,41,27.63,114,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-30
2013,NL,HEI_NL_0329,UNIVERSITY_OF_APPLIED_SCIENCES,9337,6.22,73.6,786,298793031.41,19925,0.716,182,70,87,41.25,186,0,INSTITUTIONAL_REPORT,FIRST,2026-01-02
2014,SI,HEI_SI_0336,RESEARCH_INSTITUTE,58745,12.43,63.72,3979,3977304571.59,28082,1.802,453,327,16,26.98,50,0,EUROSTAT_EDU,FLASH,2024-11-13
2015,BG,HEI_BG_0343,TECHNICAL_UNIVERSITY,94857,20.0,70.82,3873,2933785864.53,2863,1.487,600,160,15,17.52,201,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-08
2016,EE,HEI_EE_0350,PUBLIC_UNIVERSITY,26683,10.53,50.5,2818,612455692.02,19945,1.472,278,68,10,33.86,23,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-14
2017,HU,HEI_HU_0357,PRIVATE_UNIVERSITY,41836,5.32,74.75,4033,2814127907.78,10295,2.063,214,175,30,56.42,97,0,INSTITUTIONAL_REPORT,FIRST,2025-10-31
2018,LU,HEI_LU_0364,UNIVERSITY_OF_APPLIED_SCIENCES,26534,13.72,67.18,2176,1891109900.18,7231,0.84,386,18,40,46.15,139,0,EUROSTAT_EDU,FLASH,2024-09-01
2019,RO,HEI_RO_0371,RESEARCH_INSTITUTE,33130,4.03,75.96,5216,4866209247.67,27238,0.863,52,196,76,67.27,117,0,SCIMAGO_EXPORT,BENCHMARK,2024-07-19
2020,AT,HEI_AT_0378,TECHNICAL_UNIVERSITY,12445,29.3,69.07,473,5724177972.61,727,0.839,393,280,15,78.69,99,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-13
2021,CZ,HEI_CZ_0385,PUBLIC_UNIVERSITY,67936,22.48,65.9,6459,470168777.94,6313,0.772,184,143,42,21.07,364,0,INSTITUTIONAL_REPORT,FIRST,2025-09-27
2022,DE,HEI_DE_0392,PRIVATE_UNIVERSITY,35032,14.57,46.31,4352,1311029848.68,12967,2.051,381,47,66,82.18,442,1,EUROSTAT_EDU,FLASH,2025-06-30
2023,LV,HEI_LV_0399,UNIVERSITY_OF_APPLIED_SCIENCES,7737,9.35,54.08,333,17190556.24,20218,1.054,416,153,35,83.41,26,0,SCIMAGO_EXPORT,BENCHMARK,2025-10-30
2024,PL,HEI_PL_0406,RESEARCH_INSTITUTE,56732,14.23,62.41,7340,488907562.31,12560,1.942,337,159,49,63.78,101,1,NATIONAL_HE_REGISTRY,SECOND,2025-12-08
2025,ES,HEI_ES_0413,TECHNICAL_UNIVERSITY,81799,16.64,48.4,2575,2967665359.74,20140,1.78,62,130,103,24.77,15,0,INSTITUTIONAL_REPORT,FIRST,2026-01-27
2006,HR,HEI_HR_0420,PUBLIC_UNIVERSITY,4635,16.85,56.78,408,2849311738.34,7008,1.414,248,14,53,24.64,113,0,EUROSTAT_EDU,FLASH,2024-06-24
2007,FI,HEI_FI_0427,PRIVATE_UNIVERSITY,14780,6.97,75.77,1739,1866054541.83,5296,1.07,88,34,49,16.15,192,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-29
2008,IE,HEI_IE_0434,UNIVERSITY_OF_APPLIED_SCIENCES,10587,26.93,71.15,303,940871098.81,19713,1.864,28,15,56,45.56,140,0,NATIONAL_HE_REGISTRY,SECOND,2026-02-13
2009,MT,HEI_MT_0441,RESEARCH_INSTITUTE,41539,3.35,59.41,5482,618579098.36,31391,1.534,50,333,30,59.46,7,0,INSTITUTIONAL_REPORT,FIRST,2025-07-24
2010,SK,HEI_SK_0448,TECHNICAL_UNIVERSITY,59823,29.34,71.7,5678,3241160468.54,26099,1.625,348,63,50,40.27,73,0,EUROSTAT_EDU,FLASH,2024-11-30
2011,BE,HEI_BE_0455,PUBLIC_UNIVERSITY,51211,32.79,79.14,2796,1699176048.57,5743,1.532,50,94,7,21.74,65,0,SCIMAGO_EXPORT,BENCHMARK,2025-12-09
2012,DK,HEI_DK_0462,PRIVATE_UNIVERSITY,57007,38.24,44.44,5226,2297860837.46,3371,1.176,207,147,109,40.43,156,0,NATIONAL_HE_REGISTRY,SECOND,2024-05-03
2013,GR,HEI_GR_0469,UNIVERSITY_OF_APPLIED_SCIENCES,24232,21.08,76.39,2360,3096501910.11,5345,1.709,145,146,85,43.18,159,0,INSTITUTIONAL_REPORT,FIRST,2024-12-25
2014,LT,HEI_LT_0476,RESEARCH_INSTITUTE,15974,17.24,76.28,2563,1176653617.95,20717,0.954,224,327,43,23.45,92,0,EUROSTAT_EDU,FLASH,2025-09-24
2015,PT,HEI_PT_0483,TECHNICAL_UNIVERSITY,45135,28.79,53.98,2552,2297917627.95,22866,0.783,513,285,21,56.64,129,0,SCIMAGO_EXPORT,BENCHMARK,2025-03-05
2016,SE,HEI_SE_0490,PUBLIC_UNIVERSITY,40954,26.45,51.49,1115,3154207171.3,5090,0.695,442,176,6,29.85,84,0,NATIONAL_HE_REGISTRY,SECOND,2024-03-18
2017,CY,HEI_CY_0497,PRIVATE_UNIVERSITY,35180,30.18,46.31,3126,2829362672.32,4609,0.994,399,48,35,52.15,94,0,INSTITUTIONAL_REPORT,FIRST,2024-01-05
2018,FR,HEI_FR_0504,UNIVERSITY_OF_APPLIED_SCIENCES,50014,8.87,70.82,1769,2403082384.66,3580,1.128,65,153,79,61.19,136,0,EUROSTAT_EDU,FLASH,2025-12-09
2019,IT,HEI_IT_0511,RESEARCH_INSTITUTE,15078,25.52,59.63,618,932821033.99,30399,1.101,381,335,14,29.81,140,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-04
2020,NL,HEI_NL_0518,TECHNICAL_UNIVERSITY,78702,8.73,47.54,2040,3898890203.93,212,0.942,48,30,102,35.58,165,1,NATIONAL_HE_REGISTRY,SECOND,2025-01-19
2021,SI,HEI_SI_0525,PUBLIC_UNIVERSITY,35630,17.01,79.27,1924,614896982.26,12598,1.609,548,158,79,31.29,336,0,INSTITUTIONAL_REPORT,FIRST,2024-10-15
2022,BG,HEI_BG_0532,PRIVATE_UNIVERSITY,12332,28.58,51.53,719,3129014716.99,13161,0.727,255,69,65,85.73,362,0,EUROSTAT_EDU,FLASH,2024-04-25
2023,EE,HEI_EE_0539,UNIVERSITY_OF_APPLIED_SCIENCES,9268,26.24,43.76,334,1610054876.73,14464,1.202,378,39,52,37.26,442,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-23
2024,HU,HEI_HU_0546,RESEARCH_INSTITUTE,396,13.29,48.95,66,1940985368.96,24600,1.174,292,295,97,34.88,444,1,NATIONAL_HE_REGISTRY,SECOND,2024-09-12
2025,LU,HEI_LU_0553,TECHNICAL_UNIVERSITY,31935,29.61,80.02,3835,1060100435.71,28724,1.507,19,340,55,45.94,102,0,INSTITUTIONAL_REPORT,FIRST,2024-01-22
2006,RO,HEI_RO_0560,PUBLIC_UNIVERSITY,92036,24.79,55.32,6108,2311141459.69,17303,0.79,219,77,105,22.79,63,0,EUROSTAT_EDU,FLASH,2024-09-02
2007,AT,HEI_AT_0567,PRIVATE_UNIVERSITY,55782,19.74,47.85,1820,2527356079.76,841,1.346,241,172,53,58.36,118,0,SCIMAGO_EXPORT,BENCHMARK,2024-07-06
2008,CZ,HEI_CZ_0574,UNIVERSITY_OF_APPLIED_SCIENCES,24451,10.68,61.46,2311,1187945492.64,19604,1.556,28,133,98,20.13,102,0,NATIONAL_HE_REGISTRY,SECOND,2025-06-19
2009,DE,HEI_DE_0581,RESEARCH_INSTITUTE,56379,11.0,76.81,3365,3497027044.03,22814,1.7,171,212,64,61.44,92,0,INSTITUTIONAL_REPORT,FIRST,2025-02-17
2010,LV,HEI_LV_0588,TECHNICAL_UNIVERSITY,51220,15.81,54.67,1936,4987431094.33,16036,0.838,257,54,49,28.93,83,0,EUROSTAT_EDU,FLASH,2025-12-24
2011,PL,HEI_PL_0595,PUBLIC_UNIVERSITY,31940,16.52,51.76,3311,3220434499.58,17958,1.348,230,10,6,57.67,24,0,SCIMAGO_EXPORT,BENCHMARK,2025-09-29
2012,ES,HEI_ES_0602,PRIVATE_UNIVERSITY,56193,14.12,74.04,2026,3087499079.33,11784,1.885,195,3,35,22.91,149,0,NATIONAL_HE_REGISTRY,SECOND,2025-04-24
2013,HR,HEI_HR_0609,UNIVERSITY_OF_APPLIED_SCIENCES,61803,2.66,46.14,6083,1255335828.42,131,1.316,182,1,34,18.47,121,0,INSTITUTIONAL_REPORT,FIRST,2025-05-22
2014,FI,HEI_FI_0616,RESEARCH_INSTITUTE,50605,6.38,61.01,5852,5261629745.75,28561,2.057,514,300,82,51.12,121,0,EUROSTAT_EDU,FLASH,2024-07-16
2015,IE,HEI_IE_0623,TECHNICAL_UNIVERSITY,7942,35.38,80.48,335,1299972843.02,34836,1.634,532,110,110,30.49,57,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-25
2016,MT,HEI_MT_0630,PUBLIC_UNIVERSITY,49239,2.92,64.88,4466,1621083458.45,12800,1.488,102,115,114,26.17,116,0,NATIONAL_HE_REGISTRY,SECOND,2024-11-27
2017,SK,HEI_SK_0637,PRIVATE_UNIVERSITY,24918,11.58,45.21,2438,1225160209.75,19952,0.856,123,26,51,46.91,199,0,INSTITUTIONAL_REPORT,FIRST,2024-07-07
2018,BE,HEI_BE_0644,UNIVERSITY_OF_APPLIED_SCIENCES,31050,32.31,58.34,2771,1723144271.15,14322,0.966,87,130,24,26.14,117,0,EUROSTAT_EDU,FLASH,2025-03-28
2019,DK,HEI_DK_0651,RESEARCH_INSTITUTE,20579,7.93,73.14,2647,6464427376.7,32076,1.022,513,287,112,22.63,71,0,SCIMAGO_EXPORT,BENCHMARK,2025-10-12
2020,GR,HEI_GR_0658,TECHNICAL_UNIVERSITY,26451,5.97,68.92,2719,3238694435.01,8290,0.805,381,327,57,68.6,186,1,NATIONAL_HE_REGISTRY,SECOND,2025-06-01
2021,LT,HEI_LT_0665,PUBLIC_UNIVERSITY,81541,23.31,80.67,6637,260428981.53,1698,1.401,273,149,70,77.73,516,0,INSTITUTIONAL_REPORT,FIRST,2024-06-30
2022,PT,HEI_PT_0672,PRIVATE_UNIVERSITY,44283,17.94,69.17,1364,3643453544.6,5379,1.712,375,176,38,67.05,538,0,EUROSTAT_EDU,FLASH,2024-12-01
2023,SE,HEI_SE_0679,UNIVERSITY_OF_APPLIED_SCIENCES,61494,13.94,51.46,4811,1277006233.46,3423,0.841,112,36,37,85.55,48,1,SCIMAGO_EXPORT,BENCHMARK,2025-05-26
2024,CY,HEI_CY_0686,RESEARCH_INSTITUTE,39402,28.86,43.36,5524,1569980060.12,22211,0.862,332,192,67,34.78,415,0,NATIONAL_HE_REGISTRY,SECOND,2025-02-11
2025,FR,HEI_FR_0693,TECHNICAL_UNIVERSITY,88952,19.41,67.84,6034,5758378380.21,13881,1.344,381,226,77,81.91,300,0,INSTITUTIONAL_REPORT,FIRST,2024-07-01
2006,IT,HEI_IT_0700,PUBLIC_UNIVERSITY,64458,30.47,69.12,3227,1239756138.1,15532,0.716,22,27,73,58.84,95,0,EUROSTAT_EDU,FLASH,2026-01-06
2007,NL,HEI_NL_0707,PRIVATE_UNIVERSITY,3707,5.73,48.93,283,2140322015.46,6596,1.01,112,104,115,35.69,178,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-21
2008,SI,HEI_SI_0714,UNIVERSITY_OF_APPLIED_SCIENCES,17121,23.66,76.26,1145,2339985839.83,16267,1.072,112,15,42,37.61,134,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-31
2009,BG,HEI_BG_0721,RESEARCH_INSTITUTE,60341,15.36,45.66,8197,1289190052.0,24092,1.517,107,229,62,56.07,89,0,INSTITUTIONAL_REPORT,FIRST,2025-04-16
2010,EE,HEI_EE_0728,TECHNICAL_UNIVERSITY,12101,28.25,53.63,1262,2385368302.65,21063,1.798,213,49,74,31.96,147,0,EUROSTAT_EDU,FLASH,2025-02-19
2011,HU,HEI_HU_0735,PUBLIC_UNIVERSITY,18053,4.38,50.26,1901,276909313.53,12091,1.666,15,137,19,37.0,13,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-20
2012,LU,HEI_LU_0742,PRIVATE_UNIVERSITY,42114,6.68,47.36,3532,2979379768.15,481,0.704,125,101,102,17.13,42,0,NATIONAL_HE_REGISTRY,SECOND,2025-02-27
2013,RO,HEI_RO_0749,UNIVERSITY_OF_APPLIED_SCIENCES,38126,26.23,58.98,2260,749515396.38,11774,1.117,75,85,25,38.3,48,0,INSTITUTIONAL_REPORT,FIRST,2025-03-14
2014,AT,HEI_AT_0756,RESEARCH_INSTITUTE,12319,35.55,65.42,730,4388401802.38,25964,1.589,64,271,65,26.67,87,0,EUROSTAT_EDU,FLASH,2025-09-29
2015,CZ,HEI_CZ_0763,TECHNICAL_UNIVERSITY,40599,10.38,52.64,1322,4798903474.54,6472,1.673,441,219,59,61.95,183,0,SCIMAGO_EXPORT,BENCHMARK,2025-11-09
2016,DE,HEI_DE_0770,PUBLIC_UNIVERSITY,86621,12.9,50.74,10283,1486580135.31,14154,0.815,269,27,39,31.65,127,0,NATIONAL_HE_REGISTRY,SECOND,2024-02-07
2017,LV,HEI_LV_0777,PRIVATE_UNIVERSITY,41056,13.7,52.35,4121,3586359616.66,11686,0.97,388,150,17,25.78,197,0,INSTITUTIONAL_REPORT,FIRST,2024-12-21
2018,PL,HEI_PL_0784,UNIVERSITY_OF_APPLIED_SCIENCES,55403,27.65,54.41,5105,3331510891.33,2262,0.872,296,49,5,54.18,17,0,EUROSTAT_EDU,FLASH,2024-01-17
2019,ES,HEI_ES_0791,RESEARCH_INSTITUTE,42670,2.46,75.33,7296,1635991991.66,11398,1.283,233,165,74,24.9,180,0,SCIMAGO_EXPORT,BENCHMARK,2025-05-22
2020,HR,HEI_HR_0798,TECHNICAL_UNIVERSITY,8776,23.03,65.09,691,2409668561.66,12223,1.251,376,1,22,33.93,88,0,NATIONAL_HE_REGISTRY,SECOND,2025-10-11
2021,FI,HEI_FI_0805,PUBLIC_UNIVERSITY,42514,29.16,50.84,1350,470656435.91,14084,1.872,284,153,12,56.85,218,0,INSTITUTIONAL_REPORT,FIRST,2024-04-08
2022,IE,HEI_IE_0812,PRIVATE_UNIVERSITY,22709,29.54,77.21,1849,1270006709.28,10368,1.561,368,5,3,21.99,262,0,EUROSTAT_EDU,FLASH,2024-04-25
2023,MT,HEI_MT_0819,UNIVERSITY_OF_APPLIED_SCIENCES,20565,27.16,47.31,1471,965288782.59,14623,1.491,357,64,19,52.07,222,0,SCIMAGO_EXPORT,BENCHMARK,2024-11-30
2024,SK,HEI_SK_0826,RESEARCH_INSTITUTE,32898,28.09,59.34,3070,739972136.65,11608,1.557,74,6,21,52.79,6,0,NATIONAL_HE_REGISTRY,SECOND,2024-03-16
2025,BE,HEI_BE_0833,TECHNICAL_UNIVERSITY,86781,10.55,69.06,4133,2005129472.12,19061,0.749,351,270,116,85.54,446,0,INSTITUTIONAL_REPORT,FIRST,2024-02-09
2006,DK,HEI_DK_0840,PUBLIC_UNIVERSITY,16332,12.94,64.93,1505,1081780156.92,14497,1.216,331,148,48,35.3,181,0,EUROSTAT_EDU,FLASH,2024-08-14
2007,GR,HEI_GR_0847,PRIVATE_UNIVERSITY,5895,24.55,62.05,398,1523008971.79,1360,0.927,11,73,12,33.12,195,0,SCIMAGO_EXPORT,BENCHMARK,2024-04-20
2008,LT,HEI_LT_0854,UNIVERSITY_OF_APPLIED_SCIENCES,47914,4.96,56.07,5778,1160917922.53,11839,1.813,93,58,107,44.19,121,0,NATIONAL_HE_REGISTRY,SECOND,2026-02-05
2009,PT,HEI_PT_0861,RESEARCH_INSTITUTE,8417,16.45,56.51,1372,1044002227.99,25265,1.382,44,2,11,31.14,192,0,INSTITUTIONAL_REPORT,FIRST,2025-02-07
2010,SE,HEI_SE_0868,TECHNICAL_UNIVERSITY,82087,39.95,85.07,8459,4319030987.51,9644,2.006,270,226,85,44.33,103,0,EUROSTAT_EDU,FLASH,2025-06-16
2011,CY,HEI_CY_0875,PUBLIC_UNIVERSITY,60881,4.17,75.91,6749,308008432.07,2555,1.609,102,151,101,55.3,139,0,SCIMAGO_EXPORT,BENCHMARK,2025-05-19
2012,FR,HEI_FR_0882,PRIVATE_UNIVERSITY,2649,10.59,70.81,93,2889481215.69,11455,1.948,104,179,71,25.96,121,0,NATIONAL_HE_REGISTRY,SECOND,2024-04-23
2013,IT,HEI_IT_0889,UNIVERSITY_OF_APPLIED_SCIENCES,31492,18.45,76.2,1424,2840753816.5,12012,0.732,164,12,51,32.2,88,0,INSTITUTIONAL_REPORT,FIRST,2025-03-15
2014,NL,HEI_NL_0896,RESEARCH_INSTITUTE,21137,12.42,71.57,3198,3303543988.35,2949,1.22,577,106,95,42.15,42,0,EUROSTAT_EDU,FLASH,2024-05-23
2015,SI,HEI_SI_0903,TECHNICAL_UNIVERSITY,12420,19.08,55.27,1217,260664908.83,462,0.82,500,104,100,19.42,170,0,SCIMAGO_EXPORT,BENCHMARK,2025-05-07
2016,BG,HEI_BG_0910,PUBLIC_UNIVERSITY,20509,17.33,80.31,778,2190223569.0,9537,0.98,210,129,5,35.71,133,0,NATIONAL_HE_REGISTRY,SECOND,2025-02-19
