safe_crime_reference_year,safe_crime_country_iso2,safe_crime_region_nuts_code,safe_crime_offence_code,safe_crime_reported_cases_count,safe_crime_victim_age_group,safe_crime_victim_sex,safe_crime_suspect_age_group,safe_crime_suspect_sex,safe_crime_clearance_rate_pct,safe_crime_convictions_count,safe_crime_imprisonment_rate_per_100k,safe_crime_prison_population_count,safe_crime_alternative_sanctions_count,safe_crime_domestic_violence_flag,safe_crime_hate_crime_flag,safe_crime_eurostat_table_code,safe_crime_data_source,safe_crime_revision_round,safe_crime_data_extract_date
2024,BE,PT809,CYBER_ENABLED_FRAUD,17091,65_PLUS,X,35_44,X,35.02,3061,127.31,27505,4491,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-01-03
2025,FI,AT719,SEXUAL_VIOLENCE,1859,20_24,U,45_54,M,24.89,370,176.46,75428,233,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-02-07
2006,LV,IT81,ROBBERY,2721,55_64,F,55_64,F,51.84,965,75.23,4226,1294,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-06-17
2007,RO,MT588,HUMAN_TRAFFICKING,59,15_19,M,65_PLUS,U,50.86,22,50.6,6318,7,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-04-14
2008,BG,ES88,PROPERTY_DAMAGE,11024,45_54,X,UNKNOWN,X,18.26,817,126.91,83457,1329,0,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-04-06
2009,FR,IT11,DRUG_TRAFFICKING,3068,0_14,U,0_14,M,20.42,477,167.96,5335,174,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-28
2010,LT,IT74,HOMICIDE,102,35_44,F,15_19,F,55.12,42,154.57,117636,25,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-02
2011,SK,PT734,BURGLARY,8758,UNKNOWN,M,20_24,U,11.21,715,71.05,91633,997,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-05-14
2012,HR,DE42,DOMESTIC_VIOLENCE,15797,25_34,X,25_34,X,57.59,5773,109.4,22695,8026,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-20
2013,DE,EE7,HATE_SPEECH,4577,65_PLUS,U,35_44,M,22.6,715,63.83,74232,487,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-08-27
2014,LU,DE24,FRAUD,8965,20_24,F,45_54,F,20.03,1107,158.23,77674,1872,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-03-10
2015,SI,IE428,ASSAULT,10164,55_64,M,55_64,U,29.11,1985,56.35,66492,662,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-11
2016,CY,IT4,THEFT,1464,15_19,X,65_PLUS,X,20.03,119,46.72,140180,135,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-08-11
2017,GR,CY225,VEHICLE_THEFT,11049,45_54,U,UNKNOWN,M,23.42,2107,136.45,120983,1351,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-03
2018,MT,LT329,CYBER_ENABLED_FRAUD,4606,0_14,F,0_14,F,36.17,1196,61.21,12268,1701,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-20
2019,ES,DK712,SEXUAL_VIOLENCE,489,35_44,M,15_19,U,50.6,105,154.44,25145,132,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-08-22
2020,CZ,PL442,ROBBERY,364,UNKNOWN,X,20_24,X,30.75,94,164.81,10483,92,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-04-09
2021,HU,CZ38,HUMAN_TRAFFICKING,213,25_34,U,25_34,M,46.89,39,197.37,72121,15,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-03-22
2022,NL,GR9,PROPERTY_DAMAGE,15265,65_PLUS,F,35_44,F,52.82,5149,130.98,8000,1034,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-07-07
2023,SE,PL87,DRUG_TRAFFICKING,3579,20_24,M,45_54,U,46.34,982,140.22,65818,515,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-02-07
2024,DK,ES901,HOMICIDE,17,55_64,X,55_64,X,58.02,7,71.13,34449,6,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-01-17
2025,IE,SE8,BURGLARY,9908,15_19,U,65_PLUS,M,31.03,2213,95.37,25898,2677,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-10-25
2006,PL,LV782,DOMESTIC_VIOLENCE,1613,45_54,F,UNKNOWN,F,38.12,241,163.57,34020,369,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-02-09
2007,AT,LV95,HATE_SPEECH,9421,0_14,M,0_14,U,30.16,2226,165.75,56399,3398,1,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-29
2008,EE,AT35,FRAUD,405,35_44,X,15_19,X,13.77,26,135.61,58464,11,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-03-10
2009,IT,IE537,ASSAULT,2764,UNKNOWN,U,20_24,M,43.27,492,36.61,50525,267,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-18
2010,PT,CZ5,THEFT,15544,25_34,F,25_34,F,23.55,2162,164.99,11791,2828,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-10-09
2011,BE,FR24,VEHICLE_THEFT,1552,65_PLUS,M,35_44,U,32.29,419,49.18,138484,501,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-02-26
2012,FI,LU10,CYBER_ENABLED_FRAUD,820,20_24,X,45_54,X,44.7,216,108.47,123923,109,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-12-29
2013,LV,LT9,SEXUAL_VIOLENCE,1294,55_64,U,55_64,M,44.94,375,106.47,117763,645,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-02-07
2014,RO,BE93,ROBBERY,1633,15_19,F,65_PLUS,F,12.18,105,124.08,85690,143,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-04-06
2015,BG,BE8,HUMAN_TRAFFICKING,104,45_54,M,UNKNOWN,U,45.31,26,188.83,4734,46,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-09
2016,FR,PL71,PROPERTY_DAMAGE,15212,0_14,X,0_14,X,55.46,5799,89.16,98102,3020,0,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-08-08
2017,LT,CZ1,DRUG_TRAFFICKING,5248,35_44,U,15_19,M,20.12,802,157.93,60245,966,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-11
2018,SK,ES946,HOMICIDE,103,UNKNOWN,F,20_24,F,60.7,35,177.37,36893,57,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-16
2019,HR,PT16,BURGLARY,10397,25_34,M,25_34,U,8.87,749,80.77,20303,184,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-02-14
2020,DE,MT993,DOMESTIC_VIOLENCE,2850,65_PLUS,X,35_44,X,67.09,797,50.29,63412,1294,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-12-31
2021,LU,IE749,HATE_SPEECH,21288,20_24,U,45_54,M,46.27,5382,69.93,48053,1614,1,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-10-24
2022,SI,HU719,FRAUD,8532,55_64,F,55_64,F,57.93,2936,44.41,14394,2813,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-05-18
2023,CY,EE69,ASSAULT,12031,15_19,M,65_PLUS,U,28.54,2714,54.77,34088,3669,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-02-25
2024,GR,LV4,THEFT,1118,45_54,X,UNKNOWN,X,8.68,35,126.95,10389,41,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-05
2025,MT,PL704,VEHICLE_THEFT,13750,0_14,U,0_14,M,31.37,3298,117.43,106170,669,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-14
2006,ES,ES28,CYBER_ENABLED_FRAUD,15138,35_44,F,15_19,F,49.22,5492,75.84,109218,8190,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-24
2007,CZ,EE236,SEXUAL_VIOLENCE,537,UNKNOWN,M,20_24,U,19.47,80,122.12,133025,40,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-05-13
2008,HU,HR323,ROBBERY,2586,25_34,X,25_34,X,42.56,640,31.86,75963,370,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-03-11
2009,NL,DK732,HUMAN_TRAFFICKING,242,65_PLUS,U,35_44,M,19.5,39,193.42,27082,40,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-03-15
2010,SE,FR939,PROPERTY_DAMAGE,7246,20_24,F,45_54,F,16.5,765,68.91,125379,674,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-02-21
2011,DK,SK61,DRUG_TRAFFICKING,11091,55_64,M,55_64,U,43.78,2874,139.97,75709,2011,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-01-19
2012,IE,DK3,HOMICIDE,23,15_19,X,65_PLUS,X,80.42,13,186.13,977,8,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-07-17
2013,PL,IT2,BURGLARY,14850,45_54,U,UNKNOWN,M,20.83,1723,110.52,1003,1365,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-25
2014,AT,LV3,DOMESTIC_VIOLENCE,5074,0_14,F,0_14,F,62.19,2452,98.15,13281,3476,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-26
2015,EE,CY58,HATE_SPEECH,15524,35_44,M,15_19,U,38.36,3822,157.34,70939,5843,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-02-10
2016,IT,SE27,FRAUD,3698,UNKNOWN,X,20_24,X,42.36,1202,91.51,103050,964,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-03
2017,PT,MT528,ASSAULT,18769,25_34,U,25_34,M,54.32,8516,81.57,21989,14172,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-09-19
2018,BE,BG873,THEFT,3304,65_PLUS,F,35_44,F,21.1,563,101.87,65794,894,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-05-04
2019,FI,CY63,VEHICLE_THEFT,20573,20_24,M,45_54,U,27.81,3320,30.53,39841,2172,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-03-20
2020,LV,MT3,CYBER_ENABLED_FRAUD,7017,55_64,X,55_64,X,35.91,2075,74.76,85871,1149,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-06-27
2021,RO,SI467,SEXUAL_VIOLENCE,3355,15_19,U,65_PLUS,M,44.65,642,107.73,95879,1126,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-17
2022,BG,EE78,ROBBERY,4727,45_54,F,UNKNOWN,F,35.16,954,154.45,112581,400,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-06
2023,FR,HR6,HUMAN_TRAFFICKING,434,0_14,M,0_14,U,49.71,169,179.89,96002,269,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-21
2024,LT,SI490,PROPERTY_DAMAGE,7079,35_44,X,15_19,X,17.95,453,140.73,80009,681,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-24
2025,SK,GR908,DRUG_TRAFFICKING,5939,UNKNOWN,U,20_24,M,23.89,782,181.55,10093,439,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-04-21
2006,HR,IE347,HOMICIDE,47,25_34,F,25_34,F,67.27,20,195.9,96431,35,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-07-29
2007,DE,ES64,BURGLARY,1113,65_PLUS,M,35_44,U,31.71,274,50.18,28364,68,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-21
2008,LU,NL26,DOMESTIC_VIOLENCE,16099,20_24,X,45_54,X,53.16,6913,83.77,53705,5511,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-03-27
2009,SI,FR91,HATE_SPEECH,3920,55_64,U,55_64,M,57.96,1026,125.98,8554,638,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-25
2010,CY,RO328,FRAUD,6953,15_19,F,65_PLUS,F,41.96,1947,168.5,55462,2940,0,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-10
2011,GR,CZ572,ASSAULT,22352,45_54,M,UNKNOWN,U,30.58,3536,131.73,62191,2225,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-02-10
2012,MT,IE104,THEFT,7070,0_14,X,0_14,X,10.53,572,176.04,96927,343,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-08-19
2013,ES,MT5,VEHICLE_THEFT,6839,35_44,U,15_19,M,17.74,766,163.3,25564,169,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-11
2014,CZ,PT4,CYBER_ENABLED_FRAUD,18765,UNKNOWN,F,20_24,F,15.22,1609,119.68,49906,2199,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-07-12
2015,HU,SE26,SEXUAL_VIOLENCE,4803,25_34,M,25_34,U,35.06,1295,139.85,77130,1088,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-10-10
2016,NL,SE639,ROBBERY,1106,65_PLUS,X,35_44,X,16.21,139,106.75,38040,93,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-17
2017,SE,NL9,HUMAN_TRAFFICKING,35,20_24,U,45_54,M,12.24,1,193.09,83959,1,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-01-26
2018,DK,HR269,PROPERTY_DAMAGE,19420,55_64,F,55_64,F,49.82,6113,50.91,55750,7972,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-19
2019,IE,ES450,DRUG_TRAFFICKING,5031,15_19,M,65_PLUS,U,12.49,504,70.45,2833,687,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-04-07
2020,PL,RO573,HOMICIDE,80,45_54,X,UNKNOWN,X,78.03,22,136.63,15499,36,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-03-10
2021,AT,SI3,BURGLARY,1961,0_14,U,0_14,M,28.0,263,36.39,64064,411,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-04
2022,EE,DE9,DOMESTIC_VIOLENCE,3955,35_44,F,15_19,F,40.78,1368,129.24,59209,2005,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-06-05
2023,IT,CZ13,HATE_SPEECH,7198,UNKNOWN,M,20_24,U,53.7,2938,85.2,62213,3531,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-13
2024,PT,RO134,FRAUD,20321,25_34,X,25_34,X,25.93,3292,133.49,95798,2133,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-23
2025,BE,DE6,ASSAULT,8589,65_PLUS,U,35_44,M,40.43,1702,42.71,25308,1841,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-18
2006,FI,BE549,THEFT,11399,20_24,F,45_54,F,31.06,1524,78.51,63427,2212,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-31
2007,LV,HR46,VEHICLE_THEFT,10856,55_64,M,55_64,U,34.15,3001,138.69,1908,2946,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-11-29
2008,RO,GR87,CYBER_ENABLED_FRAUD,5009,15_19,X,65_PLUS,X,39.61,764,98.55,26443,1248,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-18
2009,BG,IT347,SEXUAL_VIOLENCE,4344,45_54,U,UNKNOWN,M,33.3,892,76.59,26276,1307,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-05-15
