gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_inr,gov_grants_award_max_inr,gov_grants_award_median_inr,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_inr,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2013,GOV1UQ1C,1,GOVA0MG1,GOV5UJ3R,61.62,72881,785,406700,205127,228415,213957,GOVCVGQ0,90.6,81.93,8.79,0,28.37,85072,CPGRAMS
2022,GOVPQQ8J,1,GOVJKKL9,GOVEOLYL,87.68,53927,482143,390990,20313,374760,436288,GOVT75FU,17.07,98.44,27.45,1,81.37,70200,GeM
2026,GOVEVZXR,1,GOVCR6LK,GOV8X0J3,19.62,442001,72737,272859,410175,496133,369195,GOVUCUQK,95.98,27.65,81.69,0,58.65,363622,CAG
2024,GOV5EGCU,1,GOVZ58OG,GOV8F8SU,82.07,410326,120745,132290,266466,79525,460159,GOVDQ62X,51.63,60.97,17.31,0,83.92,100533,GeM
2024,GOVU1QSI,1,GOVNBPZ2,GOVYMB17,8.33,355917,193974,80702,275171,192845,304226,GOVFF3NJ,6.41,59.09,75.02,1,3.72,302195,CAG
2015,GOVF0FSJ,0,GOVYM62S,GOVC4SDA,51.56,306522,435483,184642,458001,133966,99414,GOVONK3T,20.04,25.94,91.95,0,0.0,471546,IFMIS
2019,GOVOP0NL,0,GOVYS3AE,GOV6U2JU,46.35,203005,91074,462105,121178,216548,470976,GOV2Y6NJ,20.49,89.13,52.29,1,7.11,21771,CPGRAMS
2011,GOVPD0BE,1,GOVZHQ4C,GOV5YGK5,37.85,310936,339825,337372,271380,211413,471283,GOVRI5EU,91.34,27.12,94.86,0,99.81,142334,eProcure
2023,GOVBXZ1I,1,GOVK2YZZ,GOVM7IND,94.8,179312,112669,170496,5433,317331,461213,GOV5JZZO,63.19,26.69,5.18,1,25.71,462850,DBT
2020,GOVZMZBR,1,GOV4PKNW,GOV8CJGU,83.52,373776,300322,103628,99788,77189,137247,GOVEUZQQ,94.33,6.85,64.79,1,17.44,446840,GeM
2013,GOV8VURP,1,GOVEDFWA,GOVGUS6L,2.39,267664,405329,248169,80268,282557,7398,GOVB3LDK,5.4,59.7,12.37,1,13.59,4828,PFMS
2012,GOVMZQF6,1,GOVKLFMA,GOV2S45A,34.89,20015,14429,410199,362211,158639,238148,GOV4JBCB,46.02,5.41,84.71,0,62.56,424681,CAG
2014,GOVJXU6X,0,GOVJNWI0,GOVELFNA,2.82,368895,113826,429137,300428,315833,460713,GOVOXCTW,41.0,72.54,61.81,1,0.52,272068,CAG
2010,GOV6OBM5,0,GOVP0LL7,GOVVGFPQ,43.24,54449,164039,62414,126551,159846,122055,GOV6XN06,47.56,84.95,69.32,0,58.8,442557,CAG
2022,GOVK58SB,1,GOVMKOAJ,GOV1SQKM,94.29,13291,421238,409209,296398,131804,202743,GOV48I6W,27.08,46.24,58.28,1,24.29,344612,DBT
2011,GOVKAW83,1,GOV9A49C,GOV53TCY,93.98,188179,130311,131081,383013,189328,169341,GOVON7JH,69.85,23.41,96.67,0,19.87,443283,PFMS
2012,GOVZ9WZZ,1,GOVJRC6F,GOV3E2LQ,33.05,34206,268995,26731,356957,282001,161307,GOVR7O49,95.44,2.57,19.47,1,50.75,61704,GeM
2021,GOVBYK9H,0,GOVBI8C7,GOV8QKZA,75.17,61941,106610,409780,214361,258326,64889,GOV64TE9,79.81,79.64,50.41,1,54.3,151805,GeM
2023,GOV8EGTO,1,GOVG7YBY,GOVIU8XN,13.28,233540,499249,163824,85715,231206,175981,GOV5GWUY,71.69,74.18,24.65,0,25.97,392837,DBT
2012,GOVW7L7J,0,GOVNBICJ,GOVWIJTX,39.91,295796,396713,84050,225827,187683,485528,GOVD78DA,23.73,55.17,53.8,0,13.64,266756,eProcure
2014,GOV9U9ZZ,1,GOV3QJNG,GOVK7W8H,16.83,336884,339442,379905,103636,259250,205464,GOVCP1UP,17.78,58.23,13.08,1,76.84,46469,IFMIS
2017,GOVSR2VN,0,GOVSZ7XA,GOVJHJ42,47.28,295893,45602,260688,499693,117305,460331,GOVH79B1,77.72,69.42,89.07,0,40.14,131096,eProcure
2013,GOVJLFDB,1,GOVS9JDJ,GOVTM8AY,53.2,49624,476920,119679,61859,95114,459808,GOV1PSO3,10.31,56.82,9.9,1,94.05,380089,eProcure
2023,GOVM05LX,0,GOV9PVPO,GOV6RNXZ,9.13,250140,170034,49899,69615,224874,270203,GOV4TJ78,81.86,16.24,79.01,1,9.14,113091,CPGRAMS
2014,GOV1MHI1,0,GOVE5ABL,GOV6CFR5,63.0,444782,180966,46852,365179,334636,54913,GOVDQWMS,82.92,66.6,38.21,0,68.39,234202,GeM
2010,GOVHZC0F,1,GOVTKPSJ,GOVJOE6D,76.98,73968,449629,466614,301102,472765,94200,GOVL2RX2,11.41,55.31,43.01,0,39.4,418382,CPGRAMS
2013,GOVLVK3V,1,GOVA5IM7,GOVNWMRU,35.73,246294,168640,105446,62116,362692,110779,GOVSJ1YV,97.52,44.51,49.66,0,78.4,136835,IFMIS
2021,GOV0OBRD,1,GOVNP7JK,GOV5ET7X,6.12,381259,35861,135404,379206,497618,427974,GOV3COJ1,56.2,86.56,13.62,1,28.22,385144,CPGRAMS
2012,GOVKNJQ1,1,GOVEQUS6,GOV0YELA,11.14,345597,451940,295806,199048,483418,4782,GOV2HGA2,80.02,32.62,86.74,1,1.46,306116,GeM
2022,GOV1QDOH,0,GOVWU1LM,GOVW9ZSN,21.19,49670,52234,357587,311044,497413,450460,GOVBM509,11.81,3.56,20.64,0,95.36,145330,IFMIS
2025,GOVYHT95,0,GOVWJJ2L,GOVEXLSQ,50.73,121764,2347,355592,396276,356077,175049,GOVA601X,24.18,38.71,87.4,0,55.01,349203,CPGRAMS
2020,GOVVEG0L,1,GOVJI9JH,GOV3MVVT,98.29,105356,210837,56259,308015,222793,52008,GOV5P9G4,86.73,19.27,42.79,1,32.87,498093,PFMS
2023,GOVCJBFQ,1,GOVOOZV5,GOVXUOFH,49.61,280894,340392,197676,472254,258278,390497,GOVWX6QR,78.98,97.09,54.9,0,33.65,298318,CPGRAMS
2025,GOVR3U34,0,GOVQXNXX,GOVL3N24,23.76,396415,479760,450783,486530,290209,475390,GOVQ5ARA,0.41,29.22,7.46,1,84.98,62119,CAG
2024,GOVR1DV4,1,GOVEN31K,GOV6B1ZZ,90.69,424013,281074,499864,59958,233046,156153,GOVV8QW0,14.99,3.31,35.21,1,35.04,199958,PFMS
2021,GOVAU2GE,0,GOVPK0P1,GOVRFJ5A,67.7,426080,25227,495958,129264,87385,423066,GOVMBNVU,37.34,8.72,42.12,0,67.95,108908,CAG
2011,GOV5OA7Q,1,GOVOQ8C2,GOVHZOX5,53.33,109910,154240,192415,189691,363547,400814,GOVQBCGD,44.14,84.9,59.43,1,21.75,389445,eProcure
2015,GOV2R7YV,0,GOVMNIQ3,GOVNRFSZ,93.19,464046,26414,245663,102177,68655,279316,GOVPNK4X,0.2,79.21,43.77,0,94.56,197765,IFMIS
2020,GOV263ZG,0,GOV5MWKL,GOV9LHV0,62.54,113555,76263,163783,200719,8733,455121,GOVYN17X,53.92,39.15,91.8,1,92.09,479804,DBT
2015,GOVE79BO,0,GOVD07LU,GOVI6ZK6,34.4,279586,133699,404035,166924,448799,244015,GOVN8NCQ,18.36,89.14,26.09,1,69.73,251553,CAG
2016,GOV89M21,1,GOVUFX2G,GOV5YXTE,10.81,186689,368945,151458,445229,385917,434336,GOV9O6K3,10.32,33.97,28.96,0,0.02,42015,DBT
2011,GOVLT1QS,1,GOVL1JFJ,GOVIMU8J,51.87,175803,91640,126476,428658,181186,366014,GOVFP88Y,10.83,27.66,56.65,0,71.08,403690,GeM
2012,GOV8IL2P,0,GOV18WUV,GOVN61YW,89.66,417215,488333,334942,367504,245453,487744,GOVO9KN0,4.13,58.0,86.02,0,47.14,495688,DBT
2014,GOVHCI4E,1,GOV9BVMM,GOVAB0SQ,98.25,112989,20584,442777,94543,27992,86309,GOVTY4PM,67.26,4.65,11.85,0,83.39,330839,eProcure
2014,GOVQXYU2,0,GOVOMYSV,GOV7G9LP,66.32,440067,179068,75569,199106,173833,255036,GOVHS6J8,14.56,63.82,25.82,0,62.96,437024,GeM
2013,GOVLKCFZ,0,GOVBNO5B,GOVNJOAR,11.75,225458,295710,305757,45640,298074,115376,GOVQ6LX6,29.96,97.12,45.69,0,25.75,459693,IFMIS
2016,GOVNZZLY,0,GOVIDXHT,GOV828JY,61.27,488594,173839,240038,451564,439454,441002,GOVQ3KUZ,56.37,47.29,29.57,1,56.4,211427,PFMS
2026,GOV69LUF,0,GOV4CEID,GOVXM341,69.12,376540,262098,394141,22439,98486,365378,GOVA2DYB,37.8,68.31,58.1,1,70.25,264132,eProcure
2026,GOV1LJL2,0,GOV3SQ5X,GOV6Y206,64.35,45710,140624,482659,416183,130185,377565,GOV43UML,61.81,9.34,31.38,0,4.74,392206,IFMIS
2020,GOVBT54L,1,GOVGJD3Y,GOVJQM5M,9.96,244224,59618,327521,417105,156464,16702,GOV7F1N3,37.06,25.23,70.35,0,61.77,440781,CPGRAMS
2011,GOVGB4XE,0,GOVGULIA,GOVI93BC,50.32,335206,363982,373389,213165,20237,106286,GOVK6NE9,12.3,58.21,52.93,0,94.65,472173,CAG
2019,GOVVEFNB,0,GOVBMX5N,GOVKVU8K,10.52,251813,213525,396488,223512,314751,268365,GOVVD0X1,13.99,52.59,36.9,1,29.33,407180,eProcure
2025,GOVKHS7I,1,GOV3PRI0,GOVJ0UFW,68.93,355394,430046,418572,14370,494388,459578,GOV7TDC4,65.97,67.13,19.88,1,67.43,350016,eProcure
2022,GOV9R5W5,0,GOVOALCK,GOVMVVK2,30.51,291673,43654,438749,308084,217919,64731,GOVAYU70,84.01,17.44,29.68,0,59.99,261300,CAG
2026,GOV5HYGE,0,GOVFATJH,GOVC12YO,81.55,446096,77307,387743,350642,368144,207383,GOVBOV99,37.33,57.18,83.55,0,82.23,54368,IFMIS
2019,GOVTYGU8,1,GOVBLCJX,GOVBXXB0,57.96,420902,426146,394526,351147,129492,433590,GOV4D0EF,7.54,14.96,37.51,1,66.82,139515,IFMIS
2025,GOVOC5E6,1,GOVZ4V0C,GOVALRJW,10.06,37681,409507,478838,38830,341818,136134,GOV5E7HL,10.66,91.56,48.85,0,45.37,382704,CAG
2026,GOVWMZCI,1,GOVZP6QZ,GOV7NQLZ,82.66,431819,174067,295192,419756,411116,120054,GOVKC9W1,21.01,51.19,45.87,0,45.35,103801,CAG
2025,GOV61NKS,0,GOV7FJ54,GOVBIDVP,99.6,244332,208596,381253,109710,23770,463801,GOVK49WT,51.59,11.82,12.8,0,34.76,94562,CAG
2018,GOVY4KQU,0,GOVQ0117,GOVN23RL,21.66,380278,101,469501,15089,256994,55011,GOVANW8X,53.56,69.1,44.31,0,45.97,163519,CAG
2018,GOV0M3YR,0,GOVM4WA1,GOVD7W5F,61.51,317005,159645,280959,415630,276483,489312,GOV58B1N,82.87,30.85,94.36,0,53.16,246822,CPGRAMS
2026,GOVYQLFE,1,GOVP3EKE,GOVTIFQA,51.32,31045,319725,385799,259891,51566,85331,GOVST46B,14.02,90.6,39.44,0,44.93,251381,PFMS
2019,GOVG9MEZ,0,GOVQUVH6,GOVGPEPH,3.79,306599,312743,244874,48144,159843,19159,GOVQ8RSF,67.52,9.7,92.92,1,94.01,286470,CAG
2017,GOVEV6SF,0,GOVXPW1K,GOV90GMG,36.84,62292,273731,37942,396176,367134,150758,GOVZIPQH,48.81,68.84,54.31,0,72.91,322723,eProcure
2026,GOVXBL1N,0,GOVM4JIR,GOVYTU7Y,80.83,388779,272882,397764,482556,282166,76701,GOV5WKFN,35.65,28.81,30.92,1,19.42,466810,CPGRAMS
2026,GOVRB2KR,0,GOVBVCXI,GOVYHOX0,13.18,189964,300511,26423,28246,285491,358204,GOV0A97Q,60.75,5.18,17.07,1,69.52,53353,PFMS
2011,GOVE1KPI,1,GOVV35YJ,GOV0GI78,25.66,127412,304212,284125,59139,441457,493353,GOVE4X6C,59.36,71.8,8.5,0,91.24,228482,DBT
2024,GOV8L10B,1,GOVM783A,GOVJP7HA,20.23,491607,350787,420838,431790,401119,113139,GOV6N0DJ,44.72,57.8,5.28,1,40.29,277747,eProcure
2014,GOVC9NK0,0,GOVJ1VS4,GOVKPI90,60.03,280675,82636,51410,374427,424377,59446,GOVHPJMZ,15.64,94.86,63.08,1,92.43,272087,PFMS
2011,GOVL9LE1,0,GOVJ5BKO,GOVQ1MHL,54.53,180641,87541,126292,33572,490844,334021,GOVWN2CY,19.4,30.96,77.24,1,34.12,202531,GeM
2024,GOVDGBVR,1,GOVJNI7V,GOVEJGRO,77.26,383969,285299,308630,495279,418290,43337,GOVCLHMJ,57.5,43.0,27.63,1,97.71,44063,GeM
2016,GOV9IKJS,1,GOVB9TBW,GOV32460,8.75,17989,42576,23563,371903,394383,465914,GOVZO98Q,60.35,5.81,94.31,1,63.56,51756,PFMS
2018,GOVSN10N,1,GOVJ2E2U,GOV4DJ5B,99.69,129636,64996,196321,182115,202457,189233,GOVQQ6JX,85.55,11.44,55.51,0,20.2,120284,DBT
2014,GOVOEQ16,0,GOVXMEI9,GOV53AJ5,76.65,5898,324866,287637,419798,396076,311966,GOV1NEPM,28.66,78.44,77.23,0,71.77,200228,DBT
2010,GOVK5MJV,0,GOV7N46I,GOV909W2,95.26,255524,260190,91283,460018,192657,208332,GOVAR1OM,85.81,43.63,49.14,0,52.74,3068,eProcure
2025,GOV3EG75,0,GOVOJU10,GOVRAOMU,4.06,263778,255004,334180,122386,52880,420750,GOV55E54,20.48,79.87,77.56,0,61.36,197874,PFMS
2011,GOVRVKC2,0,GOV92E0T,GOVXPZLO,44.19,62859,288259,368101,2162,487757,186823,GOVIY0US,22.22,94.25,43.74,1,83.67,195554,CPGRAMS
2014,GOVQBMG4,0,GOVI8JEG,GOV2O8UO,16.37,243233,103803,361258,215992,245117,313955,GOVH1FJB,9.55,61.32,0.32,1,27.32,387141,DBT
2026,GOV4RU0Y,0,GOV3S0HJ,GOV4C6YY,55.33,77855,424253,136339,289824,318611,147000,GOVJEF6V,64.11,84.93,56.14,1,23.45,443881,CAG
2019,GOVKPZ77,1,GOV8LMSJ,GOV8QYDE,76.24,361316,38650,70940,107511,486472,68816,GOVJNDIX,88.75,62.99,37.95,1,72.64,446619,CAG
2013,GOVDYFN5,1,GOVYVZ13,GOVHME4C,26.46,273888,130804,200842,270487,129906,84777,GOVDE921,59.21,60.02,54.07,0,82.35,69610,IFMIS
2017,GOV8SK4V,0,GOVNEZ8Y,GOV2G7EO,9.75,42238,484143,436367,350206,37050,465745,GOVFPLKX,16.28,29.43,45.29,1,68.2,20488,GeM
2024,GOV4E2N2,1,GOVL9ZV2,GOVWELJH,23.07,159087,221032,142,405990,56423,54542,GOVRUACC,24.62,50.66,75.67,1,52.81,245425,DBT
2017,GOVR9CW6,1,GOV0SLYC,GOV34GWS,20.05,201078,237973,429793,324512,127292,355432,GOVDBLZ0,55.46,77.0,19.31,0,16.93,303302,CPGRAMS
2025,GOV4ZVTQ,1,GOVVK5QL,GOV9UTLV,8.28,363509,358163,263983,224392,495649,240094,GOV0CRV8,32.22,54.46,92.15,0,19.03,372696,eProcure
2026,GOVQQ0DH,0,GOV6E507,GOVP19Y0,21.12,231805,178755,363786,370922,113436,134131,GOVFOUH3,60.22,82.8,13.68,0,59.81,395983,CPGRAMS
2020,GOVHLOHL,1,GOVRM6TG,GOVS6QZL,61.09,261859,178492,95043,313520,388739,485599,GOVAVC59,26.68,41.78,66.03,1,12.49,237809,CPGRAMS
2013,GOVNQ61B,1,GOVFXJMC,GOV0AOUJ,41.76,365675,496279,169877,44512,62669,105360,GOVJUS45,22.98,93.29,46.94,1,50.07,156768,CPGRAMS
2010,GOVALX0R,1,GOVR4E3T,GOV9I4UT,69.31,339995,209915,284141,209137,149848,413957,GOV4KDWO,48.43,7.12,98.62,1,19.36,252469,PFMS
2022,GOVWQFI7,0,GOVOSGWP,GOVNK5XI,91.75,421167,225946,481132,193186,282749,266699,GOVKE7OF,79.86,20.46,82.36,0,46.87,41271,eProcure
2021,GOV8GGI7,1,GOVW1398,GOVDENZE,27.63,390532,434294,155887,83958,82283,387845,GOV5WHQ1,70.28,46.9,22.37,1,67.72,115953,GeM
2023,GOVSC12W,1,GOVYZ8RF,GOVELL1Z,63.03,173362,291141,495730,216119,88926,439383,GOVW622A,5.4,37.07,33.29,1,59.33,102016,DBT
2015,GOV0VBKI,1,GOVN0YMW,GOV3RXJ9,6.51,183147,14464,441017,479975,454076,92366,GOVTP1D3,87.56,21.04,70.22,1,5.03,449297,eProcure
2023,GOVJFA77,1,GOVUOWQ0,GOVL5JY6,75.1,304210,445623,270440,389611,76136,411148,GOVZBKX8,86.39,66.81,6.04,1,3.55,393330,DBT
2010,GOV97R91,0,GOVEHW0R,GOVEIDV2,73.87,312855,217690,351467,245918,110989,163132,GOVZXIWW,78.78,22.05,89.28,1,56.82,327972,CAG
2012,GOVCI7MT,1,GOVHF1NH,GOVBM24C,98.97,398628,355112,144794,257839,122338,308787,GOVMWN6W,47.6,25.78,61.74,1,3.33,402971,PFMS
2011,GOVD2SFO,1,GOV6W092,GOV3VFUW,15.09,248085,325457,213816,170876,401221,71238,GOV0T0JA,34.2,91.76,83.87,1,72.54,418052,PFMS
2025,GOVTRZ7N,1,GOVCXD02,GOVT53PD,21.26,422487,358338,260590,15561,8660,325860,GOVC0V0X,10.43,25.85,29.79,0,9.68,329991,CPGRAMS
2024,GOV42DCK,1,GOVUL3ZN,GOV8KS1Q,79.89,389101,410742,339365,241240,116916,135278,GOVBJKHP,8.99,26.58,71.36,0,82.11,41927,GeM
2026,GOVV8X3W,1,GOVQZIQS,GOVQGCNK,69.83,150473,249777,259739,336964,331489,414018,GOVDJ0JV,24.84,11.61,40.99,0,57.88,467165,DBT
2017,GOVHH7E7,1,GOV5I192,GOVY87S4,4.64,25128,220386,115524,458719,492589,286000,GOVFPDLY,54.39,27.2,52.94,0,43.62,45981,GeM
2025,GOVKQ0AW,1,GOVFXF8A,GOVWAVSG,84.69,220241,192417,92528,115910,341423,286744,GOVJD79W,31.05,38.31,39.05,1,78.94,446001,GeM
2026,GOVQ3J6U,0,GOVZG2AH,GOVRAHIK,56.36,153893,349200,375223,159587,140163,257509,GOVS3PQU,39.69,50.41,90.92,0,37.68,184753,eProcure
2013,GOV916BP,1,GOVNAU0A,GOVNYNCU,81.73,445050,73448,477099,473165,82213,354717,GOVH25VN,49.27,61.84,19.66,1,85.77,126864,GeM
2018,GOVFFLA3,1,GOVRRVQZ,GOVZLBIK,11.81,28220,264098,144611,489400,348443,430686,GOVFTR1J,43.27,7.46,4.76,1,85.29,305387,DBT
2010,GOVS2WUF,0,GOV60I0D,GOVSS810,12.19,47829,449688,151619,106632,113550,354804,GOVC48S9,74.95,98.67,45.8,1,47.67,426975,PFMS
2019,GOVC2HAT,0,GOVI6KO7,GOVCT8ZK,16.98,49263,272328,17868,204824,39188,268748,GOVQQKJE,3.65,75.38,55.76,0,37.19,273131,PFMS
2023,GOVUGDS9,0,GOVCBAL8,GOVHDKDT,3.68,181389,481432,416365,154755,470823,364790,GOVM8PJ4,35.67,6.73,96.58,1,88.61,138109,CAG
2026,GOVEXESK,0,GOVVV3L4,GOVJVQ45,76.42,65880,274345,448598,101439,292558,78584,GOVKVI2T,34.52,75.55,87.24,0,2.8,454839,CPGRAMS
2018,GOV8OW3S,0,GOV4Y1RB,GOVMBGVL,39.09,347414,487509,59616,420847,378320,323813,GOV3G0CX,81.13,71.35,50.74,1,15.88,470702,CAG
2026,GOVVK7GW,1,GOVS5ITF,GOV4UTSX,97.22,323141,54068,253190,338889,33331,333146,GOVRXWJH,6.06,54.91,15.95,0,41.18,454046,DBT
2012,GOVG5IEZ,0,GOVT4THY,GOVSZY2S,70.0,252239,337395,373438,257223,338920,156395,GOVLRX7B,15.45,44.87,8.99,1,69.27,265315,eProcure
2014,GOV6SAHM,1,GOVI3T82,GOVR5DRS,5.06,307558,186018,440277,379077,13804,388846,GOVHBR7X,34.43,90.35,27.97,1,53.45,130970,PFMS
2024,GOVW73HW,1,GOV87HEG,GOVUPT8W,84.46,1492,110333,224009,427711,457940,297727,GOV3L1HR,97.34,4.08,9.29,0,49.14,329239,IFMIS
2011,GOVNDQ7C,1,GOVRT2E3,GOVUM05S,78.52,391587,217429,73082,265071,226047,130187,GOVDZ1ZP,96.33,23.3,7.45,1,13.76,377480,CAG
2021,GOV0XUXS,0,GOVW2OPO,GOVSBXOT,32.95,192474,38231,200792,381715,163664,396594,GOVO12EA,73.51,97.52,19.43,1,38.83,191211,GeM
2025,GOVWBJ8X,1,GOVNANWC,GOV7XA6Z,32.2,69750,267038,121001,216481,16537,28065,GOVCQ6L5,30.76,61.47,83.76,1,29.36,483560,eProcure
2018,GOVLTCEI,0,GOVJ1IO0,GOV2E047,90.51,378617,46525,156837,73137,139672,373909,GOVOC3R4,13.93,43.82,99.34,1,36.31,336072,DBT
2013,GOVYZBX0,1,GOVK6GPB,GOVZ8BV9,55.63,399748,209897,11008,433332,382561,69053,GOVJCBA1,18.07,15.85,8.95,1,65.25,374126,CPGRAMS
2014,GOVRZHK4,1,GOVBPUC2,GOVQM540,4.42,161193,78739,156540,393495,78358,238671,GOV1NPO3,59.05,20.83,8.35,1,27.01,234500,DBT
2015,GOVKIUL5,0,GOV86AIS,GOV51NWA,18.01,31188,67249,283488,373650,184083,130697,GOVU0B3M,17.96,53.84,73.77,1,90.95,314310,CPGRAMS
2010,GOV8MPQF,0,GOVG7HW7,GOVG55A4,12.85,335915,290101,359225,34424,451741,185860,GOV10RK7,55.49,4.41,65.67,0,2.05,303619,PFMS
2011,GOVMD4KR,0,GOVB3TA6,GOV768JV,2.73,406839,340674,490500,434866,314654,179654,GOVU56H2,79.04,27.83,62.17,1,19.68,336839,CAG
2024,GOVOSRPR,0,GOV0B4XM,GOVFGIJY,46.15,347189,490190,369035,424576,216751,442206,GOVPB175,27.78,10.74,37.36,1,99.47,444005,eProcure
2024,GOVQPYDC,0,GOVWNDME,GOV0VETZ,34.78,121100,311673,356879,297219,96589,290964,GOVU4Q9E,31.68,88.74,4.39,1,52.44,30334,PFMS
2015,GOVYUW64,0,GOV0OIMA,GOV7QT3F,72.73,17340,33543,174555,72783,194007,155793,GOV1TP8B,97.14,84.1,72.9,0,71.86,198001,PFMS
2018,GOVKFLNZ,1,GOV109S8,GOVR1I0Z,91.8,4195,476676,285431,473326,262977,440177,GOVG4JQE,6.4,96.91,17.87,1,63.0,69374,GeM
2026,GOVJB3JV,0,GOVJ0ZWY,GOVOOOF7,2.27,281279,369492,468856,208066,137169,16707,GOVVTADH,89.96,40.21,88.25,0,82.04,39090,PFMS
2022,GOVYR1N2,1,GOVDCSWD,GOVDRCP8,11.67,459822,398970,259417,399642,186450,187447,GOVONGHQ,79.65,39.07,33.57,1,75.6,215963,PFMS
2018,GOV5JV5W,1,GOVGV53U,GOV0PW4X,37.65,327201,377415,272685,433616,177684,143143,GOVXXO71,97.63,22.93,11.03,1,73.7,459268,CPGRAMS
2025,GOVF8N6B,0,GOVRPGZA,GOVXGO97,78.53,48016,54444,349469,368531,6358,194800,GOVXYXP7,50.71,24.43,48.83,1,96.71,348338,DBT
2016,GOVMTZIM,0,GOVGFJ32,GOV7LFYL,82.48,396309,362446,405165,101594,279204,258187,GOVQXE2K,76.75,66.27,31.42,1,67.56,111267,eProcure
2019,GOV1LH66,1,GOVIZIIV,GOVBA481,96.49,49000,412867,53826,80138,388171,265243,GOV9PYSE,79.24,9.81,44.83,1,73.95,4441,GeM
2023,GOV2QMY6,1,GOVLPNZ8,GOVAMP7N,8.85,270967,116470,357357,128051,291102,478571,GOVCPPQX,83.36,11.7,55.74,0,17.85,42579,GeM
2014,GOVMB5P4,1,GOVRRS2A,GOVX104Q,43.2,264778,198357,292625,18654,245342,138463,GOVZHFGA,72.42,86.02,80.59,0,75.83,88377,PFMS
