tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_inr,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2020,511586665706,COM,7407738,9358105,13.03,83299,0,0,0,1,INCREASED,0.792,0.863,6.48,0,0,0.52,0.48,0
2018,776776221984,RES,16073892,18622311,19.82,301381,0,0,0,0,NA,0.863,0.946,1.61,0,0,0.62,0.38,0
2025,757333765823,RES,20143738,23883631,11.33,197418,0,0,0,0,NA,0.843,0.865,3.28,0,0,0.48,0.52,1
2023,829452085839,COM,3416695,4576145,14.07,44660,1,0,0,0,NA,0.747,0.929,8.78,0,0,0.49,0.51,0
2020,194170352133,COM,10285044,14810738,8.84,82646,1,0,0,0,NA,0.694,0.909,8.03,0,1,0.69,0.31,0
2023,147336191577,RES,22380636,28482499,19.03,479567,1,0,0,0,NA,0.786,1.126,1.28,0,0,0.53,0.47,0
2023,721549561572,AGR,16541460,19399501,14.21,235759,1,0,0,0,NA,0.853,1.003,7.33,0,0,0.49,0.51,0
2018,685560418851,COM,4356123,6588835,19.48,78832,0,0,0,0,NA,0.661,0.929,1.41,0,0,0.71,0.29,0
2022,858046058905,RES,15411275,25545620,2.34,36856,0,0,0,0,NA,0.603,1.022,4.51,0,0,0.63,0.37,1
2018,848553411815,COM,23241490,28644982,8.16,224167,0,0,0,0,NA,0.811,1.182,6.93,0,0,0.31,0.69,1
2021,530920585772,IND,1338075,2168557,19.46,22315,1,0,0,0,NA,0.617,0.857,7.71,0,0,0.27,0.73,0
2023,422683519826,RES,8210752,11775892,6.48,52727,0,0,0,1,UPHELD,0.697,0.991,1.68,0,1,0.63,0.37,1
2019,528773851025,RES,7398828,11723796,5.21,38124,0,0,0,0,NA,0.631,0.989,1.64,0,0,0.47,0.53,0
2024,309777199078,RES,21429280,29234978,23.07,476082,0,0,0,0,NA,0.733,0.963,6.32,0,0,0.65,0.35,0
2023,254574514904,COM,12494762,15740747,18.36,236515,1,0,0,0,NA,0.794,1.031,7.53,0,0,0.68,0.32,0
2023,826210563058,AGR,8409608,11580075,12.11,114876,1,0,0,0,NA,0.726,1.128,6.91,0,1,0.61,0.39,0
2018,279932422013,RES,16182288,26829266,15.75,292337,0,0,0,0,NA,0.603,1.147,8.79,0,1,0.55,0.45,0
2022,283940468404,RES,2840606,4966540,21.64,60241,0,0,0,0,NA,0.572,0.98,0.3,0,0,0.73,0.27,0
2024,202418522877,RES,12979641,19837212,7.56,105387,0,0,0,0,NA,0.654,1.074,0.48,0,0,0.55,0.45,0
2024,345006471191,RES,12763603,20166572,6.02,70152,1,0,0,0,NA,0.633,0.913,8.96,0,0,0.74,0.26,1
2024,126743424098,IND,24801352,29140141,15.03,408177,1,0,0,0,NA,0.851,1.095,3.83,0,0,0.7,0.3,0
2023,208626556894,MIX,861878,1297185,6.94,6795,0,0,0,0,NA,0.664,1.136,6.54,0,0,0.48,0.52,0
2024,565121869981,COM,8096215,11669176,7.46,53633,0,0,0,1,REDUCED,0.694,0.888,1.35,0,0,0.29,0.71,0
2020,878055319731,RES,21043832,29735478,22.01,492355,1,0,0,0,NA,0.708,1.063,3.36,0,0,0.46,0.54,0
2018,969440296425,AGR,8406765,10116431,3.1,23794,0,0,0,0,NA,0.831,0.913,8.96,0,0,0.61,0.39,0
2024,369987749870,AGR,1494144,2004052,13.64,23233,0,1,0,0,NA,0.746,1.14,6.97,0,0,0.42,0.58,0
2025,456515030351,RES,2663116,4227170,10.02,25510,0,0,0,0,NA,0.63,0.956,7.42,0,0,0.49,0.51,0
2021,299356827078,RES,7012894,11288746,15.7,97991,0,0,0,0,NA,0.621,0.89,4.22,0,1,0.48,0.52,1
2018,542208229673,RES,7596662,11254648,4.95,44334,1,0,0,0,NA,0.675,1.179,1.43,0,0,0.25,0.75,0
2021,682265728400,IND,19008213,26333917,15.03,267123,0,1,1,0,NA,0.722,0.935,8.6,0,0,0.57,0.43,1
2020,855765148356,IND,7363029,10581789,18.73,141219,0,0,0,0,NA,0.696,1.024,0.0,0,0,0.43,0.57,0
2020,349334485113,RES,12812017,16324234,10.53,120070,0,1,0,0,NA,0.785,0.89,8.06,0,0,0.71,0.29,0
2021,873831089803,RES,11440765,13661045,6.37,86287,0,0,0,0,NA,0.837,1.184,1.95,0,0,0.31,0.69,0
2025,680499876503,IND,3998160,4702558,15.81,71049,1,0,0,1,INCREASED,0.85,1.124,8.9,0,0,0.61,0.39,0
2025,902862180189,COM,14552072,20534440,23.94,313191,1,1,0,0,NA,0.709,0.899,0.92,0,0,0.54,0.46,1
2020,315350685044,RES,9737343,13275407,24.99,271563,0,0,0,0,NA,0.733,1.116,0.21,0,1,0.67,0.33,0
2023,396328346852,MIX,1333406,1432121,3.92,4532,1,0,0,0,NA,0.931,0.867,0.49,0,1,0.44,0.56,0
2020,116817453473,RES,5197738,6511677,1.34,6728,0,1,0,0,NA,0.798,0.966,2.79,0,0,0.32,0.68,1
2020,531141476532,RES,22690656,28690551,15.04,388021,1,0,0,0,NA,0.791,1.137,7.56,0,0,0.37,0.63,0
2024,439030125924,RES,20669666,26434877,8.1,164076,0,1,0,0,NA,0.782,0.98,4.74,0,0,0.52,0.48,0
2023,953116693081,MIX,2861571,5007650,19.87,52652,0,0,0,0,NA,0.571,0.926,2.6,0,1,0.48,0.52,1
2023,804777471713,AGR,3461726,5862049,21.38,73494,1,0,0,1,UPHELD,0.591,0.993,2.13,0,1,0.28,0.72,0
2019,942178658246,COM,19773151,29939125,9.2,195556,0,0,0,0,NA,0.66,1.075,0.51,0,0,0.49,0.51,0
2018,794914062577,RES,22332581,25283307,24.21,611500,0,0,0,0,NA,0.883,1.131,8.29,0,0,0.37,0.63,0
2021,401113468418,RES,6755143,9204057,8.59,56576,1,0,1,1,UPHELD,0.734,0.975,4.76,0,0,0.55,0.45,0
2023,621971950078,AGR,23178679,28278709,4.35,89131,1,0,0,0,NA,0.82,0.884,7.23,0,1,0.58,0.42,0
2019,714894318280,RES,3938891,6366080,9.68,44305,0,0,0,0,NA,0.619,1.162,1.61,0,0,0.33,0.67,1
2025,768158534318,RES,929106,1246315,19.96,19750,0,1,0,0,NA,0.745,1.065,8.4,0,1,0.47,0.53,0
2019,727142871251,RES,19150772,21841496,22.81,473523,1,0,0,0,NA,0.877,1.084,2.1,0,0,0.26,0.74,1
2021,231178628212,COM,24374992,26045978,20.26,504702,0,0,0,0,NA,0.936,1.022,1.49,0,0,0.64,0.36,0
2025,449322931803,COM,3682552,6523130,22.12,81784,0,1,0,0,NA,0.565,1.004,5.15,0,1,0.31,0.69,1
2024,131891856185,COM,12849896,18745389,8.91,118729,0,0,0,1,UPHELD,0.685,1.037,0.92,0,1,0.49,0.51,0
2023,373841452075,RES,12070351,17920396,21.61,236843,0,0,1,0,NA,0.674,0.908,6.5,0,1,0.57,0.43,1
2019,793610564110,RES,20282990,28096395,21.0,456185,0,1,0,0,NA,0.722,1.071,8.4,0,0,0.51,0.49,0
2018,429812382273,RES,20896171,24484229,17.84,393291,0,0,0,0,NA,0.853,1.055,5.31,0,1,0.69,0.31,0
2018,143029816176,RES,8715628,15261143,22.44,217875,1,0,0,0,NA,0.571,1.114,6.52,0,0,0.62,0.38,0
2021,990805276740,RES,20192104,21869333,8.74,209834,1,0,0,0,NA,0.923,1.189,3.67,0,0,0.27,0.73,0
2024,267820849751,RES,3049233,3419551,11.68,32089,0,0,0,1,INCREASED,0.892,0.901,4.43,0,0,0.54,0.46,1
2024,392721541256,RES,15051053,25997337,6.86,115330,1,0,0,0,NA,0.579,1.117,1.64,0,1,0.42,0.58,0
2023,165925526575,RES,1925831,2812390,14.4,27954,0,1,0,0,NA,0.685,1.008,3.57,0,0,0.44,0.56,0
2020,889290979051,AGR,6131929,8143724,2.31,14873,1,0,0,1,REDUCED,0.753,1.05,5.12,0,0,0.38,0.62,0
2019,391585090107,COM,1419386,1822367,1.69,2159,0,0,0,0,NA,0.779,0.9,3.04,0,0,0.55,0.45,0
2024,325671900580,RES,15100599,18724377,3.06,51429,0,0,0,0,NA,0.806,1.113,5.88,0,1,0.69,0.31,0
2025,826351505924,COM,3005054,4000200,6.53,21212,0,0,1,0,NA,0.751,1.081,4.05,0,0,0.54,0.46,0
2018,606887270698,IND,10813314,12446289,4.9,58390,0,1,0,0,NA,0.869,1.102,4.99,0,1,0.35,0.65,0
2024,936922231648,AGR,19978476,21550889,21.69,502233,0,0,0,0,NA,0.927,1.159,0.22,0,1,0.27,0.73,1
2020,782169248667,IND,7907187,11139981,22.19,155283,1,0,0,0,NA,0.71,0.885,7.88,0,0,0.37,0.63,0
2021,304110087531,RES,12018483,15444719,14.46,179348,1,0,0,0,NA,0.778,1.032,1.34,0,1,0.59,0.41,1
2022,325050546022,RES,22447861,25039023,8.68,195627,1,0,0,0,NA,0.897,1.004,7.08,0,0,0.68,0.32,0
2022,540917135023,MIX,7126390,8224592,7.18,57666,1,1,0,0,NA,0.866,1.127,6.58,0,0,0.71,0.29,1
2021,596757219234,RES,8370559,12795102,12.08,89994,0,0,0,0,NA,0.654,0.89,4.24,0,0,0.71,0.29,0
2023,525377400962,MIX,15392621,27296721,23.17,407648,0,0,1,0,NA,0.564,1.143,0.59,0,0,0.72,0.28,0
2024,582714497935,AGR,6639079,8298786,16.8,131167,0,0,0,0,NA,0.8,1.176,5.06,0,0,0.56,0.44,0
2021,993931941400,RES,20694565,28953116,22.44,504323,1,0,0,0,NA,0.715,1.086,1.51,0,0,0.31,0.69,0
2024,474962280328,RES,2937211,5260669,16.27,42532,1,0,0,0,NA,0.558,0.89,7.49,0,0,0.32,0.68,0
2021,458309042027,RES,6297404,11335105,6.36,47902,0,0,0,0,NA,0.556,1.196,4.85,0,0,0.54,0.46,0
2018,804417733677,AGR,25252996,27655751,5.69,143546,1,0,0,0,NA,0.913,0.999,3.81,0,0,0.3,0.7,0
2018,890048978948,RES,15857773,27041945,17.2,285028,0,0,0,0,NA,0.586,1.045,6.27,0,0,0.57,0.43,1
2020,368121608858,RES,16221452,18491599,14.55,215960,0,1,0,0,NA,0.877,0.915,8.99,0,0,0.6,0.4,1
2019,891082216551,RES,11434577,13513110,9.2,115297,1,0,0,0,NA,0.846,1.096,4.72,0,0,0.32,0.68,0
2025,863088413307,COM,17650816,22749505,7.47,129215,0,0,0,0,NA,0.776,0.98,8.1,0,0,0.63,0.37,0
2019,356011709706,RES,12496912,14369588,22.39,266935,1,0,0,0,NA,0.87,0.954,0.24,0,0,0.47,0.53,0
2023,318615190831,RES,7309505,9174531,15.52,122179,0,0,0,0,NA,0.797,1.077,4.68,0,0,0.28,0.72,0
2023,729563019110,RES,20366620,26796947,24.52,475419,1,0,0,1,INCREASED,0.76,0.952,1.61,0,0,0.41,0.59,0
2020,759982166057,RES,9077301,15828584,13.01,125772,1,0,0,0,NA,0.573,1.065,7.6,0,1,0.74,0.26,0
2020,753930335193,AGR,15114380,24832471,13.62,216974,0,0,0,0,NA,0.609,1.054,3.24,0,0,0.68,0.32,0
2022,131485774640,RES,10346882,12436439,16.93,194967,0,0,0,0,NA,0.832,1.113,4.5,0,1,0.65,0.35,0
2020,722210543322,RES,4737731,5739298,19.12,91310,0,0,0,0,NA,0.825,1.008,7.55,0,1,0.66,0.34,0
2019,948298983085,AGR,19652410,23867175,23.67,524249,0,0,1,0,NA,0.823,1.127,8.47,0,0,0.49,0.51,0
2020,420310527018,RES,8154227,9886437,1.18,9612,0,1,0,0,NA,0.825,0.999,1.43,0,1,0.52,0.48,0
2025,234422383946,RES,21142589,27313371,5.98,124789,0,0,0,0,NA,0.774,0.987,1.83,0,1,0.7,0.3,0
2024,654895193267,RES,10185043,12238494,10.11,89379,1,1,0,0,NA,0.832,0.868,5.79,0,0,0.28,0.72,0
2024,250995556007,IND,7828103,10614867,15.52,126109,0,0,0,0,NA,0.737,1.038,8.3,0,1,0.44,0.56,0
2018,293776291697,RES,14917911,20908079,1.39,18704,1,0,0,0,NA,0.713,0.902,2.62,0,0,0.28,0.72,0
2020,151960102870,RES,16049929,28433303,21.76,384870,0,0,0,0,NA,0.564,1.102,3.69,0,0,0.41,0.59,0
2023,336882781079,IND,15184905,17781571,17.11,271246,1,0,0,0,NA,0.854,1.044,1.57,0,1,0.36,0.64,0
2021,667457917067,COM,6129996,8775754,16.73,92402,0,0,0,0,NA,0.699,0.901,8.16,0,0,0.52,0.48,1
2019,305709308648,AGR,15531601,17101156,18.98,289778,0,0,0,0,NA,0.908,0.983,7.63,0,1,0.6,0.4,0
2024,594082209409,RES,4285961,6263611,9.23,41498,1,0,0,0,NA,0.684,1.049,5.29,0,0,0.51,0.49,0
2019,795641094432,RES,15412530,20479433,18.26,244284,0,0,0,0,NA,0.753,0.868,1.24,0,0,0.66,0.34,0
2022,515418265007,RES,17133180,19513828,6.82,121756,0,0,0,1,REDUCED,0.878,1.042,5.48,0,0,0.36,0.64,0
2022,882492446419,RES,3973303,4313360,6.61,31096,0,0,0,0,NA,0.921,1.184,5.1,0,0,0.67,0.33,0
2022,288650685573,RES,18908967,21390347,21.71,410514,1,1,1,0,NA,0.884,1.0,3.55,0,0,0.63,0.37,0
2018,977559158664,IND,16165352,18618988,5.8,112136,1,0,0,0,NA,0.868,1.196,1.62,0,0,0.25,0.75,0
2019,291104906591,RES,14891227,23053850,21.41,346240,0,0,0,0,NA,0.646,1.086,8.79,0,0,0.67,0.33,0
2020,688625060769,RES,7481739,13040509,12.78,90071,0,0,0,0,NA,0.574,0.942,5.11,0,0,0.69,0.31,0
2022,585994357357,RES,11022787,16142589,2.82,29996,1,1,0,0,NA,0.683,0.965,4.42,0,1,0.45,0.55,0
2025,353821510784,IND,18613423,29411775,4.52,77402,0,1,0,0,NA,0.633,0.92,1.76,0,0,0.43,0.57,0
2025,287174608660,RES,5317019,6034021,8.13,37521,1,0,0,0,NA,0.881,0.868,7.01,0,0,0.5,0.5,0
2020,174463998155,COM,18490498,19697416,16.15,284586,0,1,0,0,NA,0.939,0.953,8.65,0,0,0.37,0.63,1
2020,813082049064,RES,16814393,29040374,13.75,203917,1,0,0,0,NA,0.579,0.882,7.94,0,0,0.62,0.38,0
2019,247928364410,RES,7111268,8532743,24.78,173222,0,0,0,0,NA,0.833,0.983,8.04,0,0,0.53,0.47,1
2023,668988778421,MIX,1170140,1398793,24.74,32597,0,0,0,0,NA,0.837,1.126,2.67,0,0,0.29,0.71,0
2019,269742953901,AGR,16560635,28696486,8.29,123147,0,0,0,0,NA,0.577,0.897,1.87,0,0,0.68,0.32,0
2018,597447630390,RES,5890191,6953788,10.12,69444,1,0,0,0,NA,0.847,1.165,7.59,0,1,0.41,0.59,0
2019,190323838646,RES,1732707,1836140,1.38,2487,0,0,1,0,NA,0.944,1.04,1.65,0,0,0.37,0.63,0
2024,434615564924,RES,15034257,23244444,14.08,247457,0,1,0,0,NA,0.647,1.169,1.24,0,0,0.64,0.36,0
2021,688623149379,RES,12326095,16980674,4.64,55477,1,0,0,0,NA,0.726,0.97,3.71,0,0,0.5,0.5,0
2023,830836766074,RES,10231007,15305519,10.64,102762,0,0,0,0,NA,0.668,0.944,8.49,0,1,0.72,0.28,0
2021,944368398234,RES,18907611,22367565,7.87,166957,0,0,0,1,INCREASED,0.845,1.122,7.97,0,0,0.37,0.63,0
2018,884905491794,RES,20910137,25316225,15.38,370802,0,0,0,0,NA,0.826,1.153,3.0,0,0,0.55,0.45,0
2025,314387500023,COM,13547888,18282037,6.78,107194,0,0,0,0,NA,0.741,1.167,4.83,0,1,0.27,0.73,0
2025,276224678893,RES,6034252,8602386,11.47,82017,1,0,0,0,NA,0.701,1.185,2.67,0,1,0.74,0.26,0
2024,332886008767,RES,22875346,26162983,12.64,278735,0,0,0,0,NA,0.874,0.964,5.62,0,0,0.26,0.74,0
2025,976174185614,COM,2550209,4315418,12.04,30336,0,1,0,0,NA,0.591,0.988,3.23,0,1,0.39,0.61,0
2022,984091628202,IND,11008204,12074621,11.87,151966,0,0,0,0,NA,0.912,1.163,4.2,0,0,0.26,0.74,1
2023,987566799826,RES,241348,337189,9.49,2737,0,0,0,0,NA,0.716,1.195,8.21,0,0,0.39,0.61,1
2023,723729299183,AGR,19667379,25250321,8.92,174380,0,0,0,0,NA,0.779,0.994,7.96,0,1,0.72,0.28,0
2023,482289852141,RES,7925313,10053683,8.27,67640,1,0,0,0,NA,0.788,1.032,3.68,0,0,0.44,0.56,0
2024,846575700025,RES,9539488,10943727,15.44,149499,0,0,0,1,INCREASED,0.872,1.015,3.88,0,1,0.48,0.52,1
2021,880328923172,RES,3460881,5757580,11.81,46105,0,0,0,0,NA,0.601,1.128,2.93,0,0,0.7,0.3,0
2020,366451745515,COM,14678321,23403555,14.65,235466,1,0,1,0,NA,0.627,1.095,5.48,0,0,0.26,0.74,1
2018,359772841910,AGR,18901777,24906337,20.86,348553,0,0,0,0,NA,0.759,0.884,8.21,0,0,0.71,0.29,0
2025,985371776549,COM,13350186,16397050,9.61,124190,1,0,0,0,NA,0.814,0.968,0.43,0,0,0.74,0.26,0
2022,642862943856,RES,16347681,26536717,2.47,41711,1,0,0,0,NA,0.616,1.033,3.23,0,0,0.47,0.53,0
2019,998104715821,COM,1009466,1535428,18.55,20711,1,1,0,0,NA,0.657,1.106,8.94,0,0,0.35,0.65,0
2025,673748651796,IND,9069664,13215609,9.57,102767,0,0,0,0,NA,0.686,1.184,1.68,0,0,0.6,0.4,0
2025,993725811321,RES,16993897,19532338,11.14,170191,0,0,0,0,NA,0.87,0.899,5.98,0,1,0.64,0.36,0
2022,568760328635,AGR,5423436,7711009,2.06,10346,0,1,0,0,NA,0.703,0.926,1.14,0,0,0.46,0.54,0
2022,832619944084,RES,15821397,17136901,1.84,24832,0,0,0,0,NA,0.923,0.853,1.99,0,1,0.66,0.34,0
2025,551275897992,RES,19605082,28785102,6.16,106879,0,0,1,0,NA,0.681,0.885,8.0,0,0,0.37,0.63,0
2019,921476017753,AGR,5171588,8535940,8.75,43170,0,0,1,0,NA,0.606,0.954,6.78,0,0,0.27,0.73,0
2025,410648098365,IND,9849494,16685555,18.04,162937,1,0,0,0,NA,0.59,0.917,8.79,0,0,0.57,0.43,1
2024,574858617346,RES,16615712,19991259,3.14,59373,1,0,0,0,NA,0.831,1.138,2.17,0,0,0.51,0.49,0
2020,261762435572,RES,9679792,11712769,9.93,109193,1,0,0,0,NA,0.826,1.136,3.62,0,0,0.27,0.73,0
2019,826143330268,AGR,18940119,22563455,15.65,305898,0,0,0,1,INCREASED,0.839,1.032,3.08,0,0,0.36,0.64,0
2023,386999638605,RES,12364037,17511924,21.43,240850,0,0,0,0,NA,0.706,0.909,2.56,0,0,0.54,0.46,0
2023,108529881802,RES,4234176,6075298,9.55,39668,0,0,0,1,INCREASED,0.697,0.981,8.16,0,0,0.58,0.42,1
2023,290987674482,COM,10064398,18215052,6.24,55580,1,0,0,0,NA,0.553,0.885,1.02,0,0,0.59,0.41,0
2018,914233441776,RES,15600057,22325797,24.95,367036,0,0,0,0,NA,0.699,0.943,8.77,0,1,0.45,0.55,0
2025,488662288223,RES,10525258,18162922,18.74,236298,1,0,1,0,NA,0.579,1.198,0.81,0,0,0.62,0.38,0
2025,214395206748,RES,21088917,26853995,9.68,213735,0,1,0,0,NA,0.785,1.047,7.02,0,0,0.59,0.41,1
2020,651626144894,AGR,9480135,16324974,14.25,147115,0,0,0,0,NA,0.581,1.089,0.37,0,0,0.32,0.68,0
2019,946102467792,COM,24369165,26960300,20.6,559233,1,0,0,0,NA,0.904,1.114,2.83,0,1,0.54,0.46,0
2018,761847698383,RES,7260292,9557245,9.09,59924,0,0,0,1,UPHELD,0.76,0.908,4.18,0,0,0.34,0.66,0
2018,675614146632,RES,2220138,2523206,7.6,19606,0,0,0,0,NA,0.88,1.162,0.71,0,0,0.59,0.41,0
2018,657217143823,RES,9820539,12555816,1.56,18231,0,0,0,0,NA,0.782,1.19,1.11,0,0,0.56,0.44,0
2019,557002119616,RES,22962623,28852273,7.76,188525,1,1,0,0,NA,0.796,1.058,5.7,1,0,0.71,0.29,1
2022,479062369578,RES,20496146,24011891,21.38,429443,0,0,0,1,INCREASED,0.854,0.98,1.0,0,1,0.35,0.65,0
2021,347750563212,RES,4757523,8026668,22.53,124873,0,0,0,0,NA,0.593,1.165,8.37,0,1,0.47,0.53,0
2024,589047451941,COM,14477545,23911986,8.13,124176,0,0,0,0,NA,0.605,1.055,1.46,0,0,0.3,0.7,1
2024,182467636260,RES,20269673,22191542,24.44,584561,0,0,0,0,NA,0.913,1.18,6.52,0,1,0.41,0.59,0
2022,120639312497,AGR,2036611,3336760,24.85,52280,0,0,0,0,NA,0.61,1.033,7.25,0,0,0.59,0.41,0
2023,636337674653,RES,11993424,13001422,8.47,96302,0,0,0,0,NA,0.922,0.948,3.35,0,1,0.34,0.66,0
2025,402734014666,RES,1727299,2908831,1.55,2337,0,1,0,0,NA,0.594,0.873,8.41,0,1,0.67,0.33,0
2021,818441863340,COM,21201589,26408312,18.62,356875,0,0,0,0,NA,0.803,0.904,3.77,0,0,0.47,0.53,0
2024,794630399141,RES,20757692,23752286,2.7,54084,0,0,0,0,NA,0.874,0.965,2.78,0,0,0.43,0.57,0
2018,875924181910,RES,8836591,10478237,2.22,21971,0,0,0,0,NA,0.843,1.12,6.43,0,0,0.65,0.35,0
2025,536879363390,AGR,16108496,18667984,16.19,261057,0,0,0,0,NA,0.863,1.001,3.1,0,1,0.66,0.34,0
2021,866723221102,COM,19598148,28196156,22.44,477604,1,1,0,1,PENDING,0.695,1.086,6.62,0,0,0.3,0.7,0
2018,694044779670,IND,14586131,15860516,2.05,32922,0,0,0,1,REDUCED,0.92,1.101,2.12,0,0,0.74,0.26,1
2018,930425412688,IND,19915357,26064075,18.35,314284,0,1,0,0,NA,0.764,0.86,2.15,0,0,0.64,0.36,0
2018,519004595694,RES,10151800,16110955,18.9,165199,0,0,1,0,NA,0.63,0.861,3.23,0,0,0.44,0.56,0
2018,706249679998,MIX,1020179,1117820,6.5,7506,0,0,0,0,NA,0.913,1.132,6.05,0,1,0.28,0.72,0
2025,324262504037,RES,15658142,17722623,5.34,92979,0,0,0,1,REDUCED,0.884,1.112,8.33,0,0,0.36,0.64,0
2020,824929713166,RES,11217298,14067561,24.5,298459,1,0,0,0,NA,0.797,1.086,6.92,0,0,0.32,0.68,1
2020,760148756442,RES,7344762,10244110,5.47,37725,0,0,0,0,NA,0.717,0.939,3.19,0,0,0.27,0.73,1
2020,678230612843,RES,1729039,1960125,8.42,13598,0,0,0,0,NA,0.882,0.934,3.84,0,1,0.43,0.57,1
2018,232652812536,IND,22661444,26272601,6.47,125506,0,0,0,0,NA,0.863,0.856,4.61,0,1,0.33,0.67,0
2018,518843026599,RES,16505428,21722257,7.73,120187,1,0,0,0,NA,0.76,0.942,0.65,0,0,0.52,0.48,0
2020,983874661924,RES,3202639,4944006,12.4,47417,0,0,0,0,NA,0.648,1.194,4.47,0,1,0.6,0.4,0
2025,992776727604,RES,20496072,24409861,7.84,161814,0,0,0,1,INCREASED,0.84,1.007,4.25,0,0,0.4,0.6,0
2019,958820815087,IND,15726186,17824468,6.2,86972,0,0,0,0,NA,0.882,0.892,5.4,0,1,0.35,0.65,0
2025,959748015406,AGR,2176215,3494516,22.01,49958,0,0,0,0,NA,0.623,1.043,7.5,0,1,0.53,0.47,0
2024,718811966246,RES,9691894,16006166,10.51,108483,0,0,0,0,NA,0.606,1.065,8.35,0,0,0.73,0.27,0
2018,681880753915,RES,18112744,21173793,10.75,186534,1,0,0,0,NA,0.855,0.958,7.98,0,0,0.61,0.39,0
2025,888567708596,RES,12980985,14511444,8.59,99910,0,1,0,0,NA,0.895,0.896,4.91,0,0,0.47,0.53,0
2022,512166820272,COM,1147582,1707113,1.64,1935,1,0,0,0,NA,0.672,1.028,8.49,0,0,0.37,0.63,0
2024,386724138034,RES,14069835,17881341,10.87,173280,0,0,0,0,NA,0.787,1.133,8.84,0,0,0.45,0.55,0
2021,885828876127,IND,13836079,23192874,15.46,215189,0,0,0,0,NA,0.597,1.006,0.97,0,1,0.3,0.7,1
2018,186497461960,AGR,10429941,12106480,5.09,57070,1,1,0,0,NA,0.862,1.075,1.21,0,0,0.54,0.46,0
2023,456530857234,RES,5163009,5910637,24.72,116271,0,0,0,0,NA,0.874,0.911,5.47,0,0,0.37,0.63,0
