biz_demog_reference_year,biz_demog_country_iso2,biz_demog_region_nuts_code,biz_demog_nace_section,biz_demog_enterprise_size_class,biz_demog_enterprises_active_count,biz_demog_births_count,biz_demog_deaths_count,biz_demog_survival_rate_1y_pct,biz_demog_survival_rate_3y_pct,biz_demog_employment_total,biz_demog_turnover_total_eur,biz_demog_value_added_total_eur,biz_demog_high_growth_enterprise_count,biz_demog_scaleup_count,biz_demog_business_register_source,biz_demog_missing_data_flag,biz_demog_data_revision_round,biz_demog_eurostat_table_code,biz_demog_data_extract_date
2010,RO,CZ311,C,MEDIUM,1109,89,32,76.9,48.59,12920,2913214483.9,1112112700.3,11,1,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-03-11
2011,BG,FI6,H,SMALL,853,82,72,90.35,60.32,7549,2251295700.83,844800621.71,8,1,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-12-31
2012,FR,AT25,M,MICRO,992,118,129,74.1,56.91,6998,526313681.36,266337087.42,11,3,EU_BUSINESS_REGISTER_NETWORK,1,FLASH,bd_9bd_sz_cl_r2f,2025-06-10
2013,LT,LT7,R,LARGE,614,19,33,58.11,38.87,1198,330077613.33,137281807.86,2,0,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2026-01-23
2014,SK,BG4,B,MEDIUM,1078,49,121,88.12,54.5,12029,1061012655.01,372827536.32,12,6,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-10-31
2015,HR,HU266,G,SMALL,654,46,17,87.57,57.21,7845,387137652.87,71237982.56,5,2,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2026-02-15
2016,DE,DE1,L,MICRO,683,45,47,72.67,61.89,4160,502975741.92,170629364.54,6,3,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-04-27
2017,LU,HU93,Q,LARGE,1077,153,145,84.37,53.35,14053,2810127908.69,555523264.45,9,2,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-02-04
2018,SI,AT461,A,MEDIUM,877,60,69,77.76,55.83,6575,1537975813.99,484248536.52,13,3,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-11-03
2019,CY,IT1,F,SMALL,622,57,45,88.75,75.9,6285,331331827.92,120498477.07,5,2,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-06-27
2020,GR,CZ515,K,MICRO,1132,97,64,88.72,79.1,13144,1626757513.4,645788722.78,2,1,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-10-15
2021,MT,GR376,P,LARGE,644,38,29,85.06,70.66,6286,613222244.8,132628296.09,2,1,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2025-09-23
2022,ES,SE433,U,MEDIUM,636,58,41,69.62,56.69,7863,1224650586.05,490092575.49,8,4,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2026-01-23
2023,CZ,LU23,E,SMALL,1095,120,92,91.77,83.55,17347,2783993479.77,739668719.92,21,11,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-01-16
2024,HU,FR67,J,MICRO,678,75,52,55.31,31.32,11677,1157211659.66,583852291.53,11,5,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-05-25
2025,NL,HU7,O,LARGE,887,126,27,55.11,26.29,3140,251397013.57,122024886.73,3,0,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-04-29
2026,SE,BE78,T,MEDIUM,968,78,46,91.79,66.2,15623,1197332318.36,217716047.42,5,1,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-01-18
2010,DK,IT5,D,SMALL,919,118,89,77.47,68.18,14184,796246874.3,409966039.95,16,7,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-07-11
2011,IE,SE5,I,MICRO,721,66,85,94.25,81.39,10750,3312675188.82,967819036.51,10,5,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-09-03
2012,PL,SI121,N,LARGE,619,29,26,55.78,46.66,6038,360259444.8,183788709.82,2,0,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-09-08
2013,AT,IE59,S,MEDIUM,1198,101,74,66.33,43.54,21441,985919982.48,190399832.08,14,4,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-10-27
2014,EE,DE261,C,SMALL,910,97,80,61.4,34.86,5938,1521770500.71,567725674.07,2,0,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-12-12
2015,IT,BE510,H,MICRO,1090,79,127,74.51,42.2,4620,1321596852.49,383640673.76,4,1,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-08-18
2016,PT,FI948,M,LARGE,1056,112,135,89.47,66.85,18431,5443242149.03,1744649854.55,13,3,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-02-17
2017,BE,PL89,R,MEDIUM,902,137,74,89.04,69.0,3715,1175267047.02,599800657.62,17,7,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2024-10-23
2018,FI,SK97,B,SMALL,633,58,70,90.84,71.34,2799,810909424.38,282948661.99,7,3,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-03-13
2019,LV,PL48,G,MICRO,1010,71,104,91.65,77.71,7966,899627197.34,280018195.69,4,1,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2026-01-19
2020,RO,NL971,L,LARGE,870,133,104,62.94,32.26,9747,1393134059.55,612608872.62,15,4,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-02-27
2021,BG,RO95,Q,MEDIUM,1072,58,103,55.86,23.33,10867,1427270868.55,672409965.73,5,2,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-09-22
2022,FR,SK8,A,SMALL,758,64,35,67.73,52.29,11877,3134496729.04,851290098.71,4,2,MIXED_SOURCE,1,BENCHMARK,bd_9bd_sz_cl_r2d,2025-04-17
2023,LT,NL708,F,MICRO,1111,46,79,55.81,37.67,16496,3604639810.19,1693317514.43,15,4,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-08-12
2024,SK,NL4,K,LARGE,835,110,51,66.09,38.63,6137,763956747.52,152479546.67,14,4,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-05-25
2025,HR,CZ819,P,MEDIUM,1096,134,45,55.62,45.63,12574,1558283916.0,309788074.91,7,2,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-12-14
2026,DE,BE13,U,SMALL,672,103,13,66.87,56.91,3614,242168199.04,50938543.55,8,2,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-05-26
2010,LU,FI316,E,MICRO,797,112,66,72.2,48.91,10111,2329762164.65,1211127073.5,15,8,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-01-23
2011,SI,SE559,J,LARGE,1022,66,26,83.83,67.65,16249,3812872529.35,941920999.21,3,0,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-09-05
2012,CY,IE7,O,MEDIUM,942,92,51,78.58,44.85,5295,1587618855.85,513823502.89,13,3,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-05-22
2013,GR,FI609,T,SMALL,746,116,101,70.98,57.9,2461,258726023.07,126787238.88,3,1,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-02-17
2014,MT,DK189,D,MICRO,1105,36,129,75.26,54.69,10278,483613372.69,181170486.77,14,6,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-11-23
2015,ES,DK40,I,LARGE,902,27,82,68.85,60.0,7420,755930728.64,233450239.56,17,9,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-02-09
2016,CZ,CZ72,N,MEDIUM,1239,156,59,58.88,49.57,7763,2473366560.28,1047018810.78,5,1,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-12-28
2017,HU,BG63,S,SMALL,1237,192,101,72.36,57.66,3199,862134682.0,187074783.41,3,0,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-10-01
2018,NL,SK236,C,MICRO,691,59,36,57.27,27.64,10538,2507057001.4,649012852.02,5,1,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-07-02
2019,SE,BE647,H,LARGE,829,80,74,79.1,45.37,9966,1238905489.72,440759921.75,15,8,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-03-05
2020,DK,EE40,M,MEDIUM,1001,49,40,80.74,49.66,10496,1497507479.32,572470263.69,3,0,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-01-11
2021,IE,MT19,R,SMALL,868,90,44,64.16,35.27,13797,3606610305.66,1474833419.75,6,1,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-11-12
2022,PL,ES861,B,MICRO,887,75,40,59.13,50.26,6088,1177363659.89,524063032.49,17,5,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-11-19
2023,AT,IE55,G,LARGE,861,35,35,79.3,58.39,1455,201577721.4,94079249.99,11,6,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-10-30
2024,EE,FI17,L,MEDIUM,1030,137,120,57.73,35.97,4378,1143323536.22,325883070.2,16,8,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-09-15
2025,IT,NL3,Q,SMALL,1183,184,156,76.75,63.23,21279,1903552626.53,629510121.5,4,2,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-12-20
2026,PT,MT2,A,MICRO,952,32,120,74.32,42.63,5420,1053824491.67,275837764.61,6,2,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-07-10
2010,BE,PL55,F,LARGE,1245,107,154,80.35,63.2,20586,6000510448.47,1578597657.96,17,7,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-01-23
2011,FI,GR88,K,MEDIUM,912,122,47,89.4,72.66,15463,1868224357.75,388565318.78,6,2,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-12-12
2012,LV,AT620,P,SMALL,1180,87,143,75.59,54.53,5114,1264578509.92,401623178.06,6,1,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-03-15
2013,RO,PL96,U,MICRO,1059,71,57,74.74,63.86,13346,2102232994.15,884955880.49,16,6,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-03-12
2014,BG,IT312,E,LARGE,1203,36,50,69.01,52.45,18654,4400552292.31,1420246420.4,15,6,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-05-14
2015,FR,FR119,J,MEDIUM,785,62,35,72.04,52.11,2907,765916280.5,191086921.81,8,3,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-05-06
2016,LT,ES8,O,SMALL,807,85,110,86.38,65.08,9656,2724910039.41,677474986.11,16,2,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-02-04
2017,SK,MT25,T,MICRO,1053,123,118,70.17,42.54,3913,645125216.88,270217439.8,15,7,VAT_REGISTER,1,FLASH,bd_9bd_sz_cl_r2e,2024-09-20
2018,HR,LV3,D,LARGE,765,97,21,84.94,68.51,13628,2247124038.6,1089179691.36,4,0,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-10-05
2019,DE,HR839,I,MEDIUM,1128,51,90,66.1,47.88,12396,2662482984.11,565450879.38,10,5,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-05-06
2020,LU,HR559,N,SMALL,742,100,67,62.4,49.55,6200,1628542494.42,646412320.76,10,4,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2026-02-07
2021,SI,HR4,S,MICRO,1224,133,96,85.49,60.83,22003,1543142748.28,426515119.44,4,1,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-04-20
2022,CY,AT79,C,LARGE,1135,126,38,89.4,75.58,1636,304131183.26,85700767.33,20,5,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-11-02
2023,GR,SK854,H,MEDIUM,750,95,100,81.67,73.32,11611,848915089.84,414870726.48,5,2,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2024-11-14
2024,MT,RO6,M,SMALL,704,55,58,93.72,81.53,12121,2620270732.37,1065558336.51,3,1,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2026-01-31
2025,ES,MT806,R,MICRO,768,72,15,59.87,44.14,8352,1779494576.64,582040290.54,8,3,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-12-20
2026,CZ,SK91,B,LARGE,861,58,118,91.63,79.21,11905,1791530604.1,470165627.55,6,3,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2026-01-12
2010,HU,LU355,G,MEDIUM,1138,84,127,58.96,29.63,6554,1414190913.76,486613462.21,3,0,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-06-27
2011,NL,PL40,L,SMALL,1023,143,22,68.11,54.94,3088,199376918.2,74335689.12,5,1,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2026-01-04
2012,SE,PT7,Q,MICRO,1178,126,126,91.55,72.09,7980,2008036716.07,496215544.48,17,7,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-06-05
2013,DK,DK643,A,LARGE,771,91,98,83.82,59.63,6550,1532908764.12,508357600.51,13,4,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-03-24
2014,IE,PL746,F,MEDIUM,841,124,20,60.43,27.24,6140,1229048543.15,502208201.32,2,1,EU_BUSINESS_REGISTER_NETWORK,1,SECOND,bd_9bd_sz_cl_r2f,2024-11-27
2015,PL,EE7,K,SMALL,782,93,27,60.44,47.47,8969,2322999997.08,428499242.73,14,5,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-05-28
2016,AT,SK78,P,MICRO,851,31,54,82.66,56.4,10568,1115596588.64,345289443.38,5,1,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-02-26
2017,EE,DK836,U,LARGE,868,41,77,61.77,45.47,7878,2326442441.08,1040918564.14,12,1,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-08-09
2018,IT,NL81,E,MEDIUM,1137,56,47,64.18,55.23,6199,1020381841.37,300881471.51,2,1,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-04-15
2019,PT,PT85,J,SMALL,1125,47,66,63.32,35.44,4266,921794545.62,312510739.99,16,9,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2026-01-03
2020,BE,EE27,O,MICRO,958,139,94,57.51,29.21,5938,546429778.85,270953954.52,2,0,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-10-23
2021,FI,LU59,T,LARGE,1021,87,40,94.0,80.8,15669,2461594855.71,1247095420.84,13,4,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-01-26
2022,LV,CZ455,D,MEDIUM,820,51,104,68.43,56.46,14171,2953976933.49,1217419127.34,12,3,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-07-27
2023,RO,GR522,I,SMALL,1227,97,133,62.16,49.56,3150,942620112.85,260529656.25,10,1,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-12-31
2024,BG,CY513,N,MICRO,853,113,69,66.82,41.73,9475,2515036931.34,1021830991.27,13,5,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-09-14
2025,FR,LV957,S,LARGE,859,111,56,61.89,37.92,3275,608593743.55,185190986.63,14,2,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-01-31
2026,LT,BG557,C,MEDIUM,759,77,25,65.57,56.82,2224,131639508.5,33002419.34,10,5,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-05-25
2010,SK,IE807,H,SMALL,915,117,47,94.34,61.87,10526,2606318997.49,651314880.93,2,0,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-04-28
2011,HR,PL195,M,MICRO,999,58,98,64.93,31.44,4404,529454019.16,264794691.17,13,6,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-04-21
2012,DE,FR833,R,LARGE,1301,97,175,88.61,73.08,3434,1044459978.22,323342362.88,25,5,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-10-06
2013,LU,FR95,B,MEDIUM,1151,90,150,85.86,60.23,6219,826261445.22,149987915.14,6,3,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-09-14
2014,SI,BG28,G,SMALL,881,92,46,56.61,46.12,15123,3610251724.67,1034105482.72,13,3,MIXED_SOURCE,1,BENCHMARK,bd_9bd_sz_cl_r2d,2024-05-04
2015,CY,SE957,L,MICRO,851,94,96,61.08,42.38,11089,2619650187.86,1183835556.93,5,2,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-01-23
2016,GR,LV5,Q,LARGE,1285,147,157,55.12,42.16,22382,4811036616.08,2414296144.16,15,4,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2025-01-11
2017,MT,SI856,A,MEDIUM,1216,98,164,68.29,46.82,10377,1503947930.14,587806815.85,5,1,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-05-26
2018,ES,LT181,F,SMALL,1188,79,130,79.65,48.63,16965,1037351376.23,473381951.46,22,6,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-06-23
2019,CZ,BE4,K,MICRO,1155,88,43,91.88,63.33,9833,1349163787.73,536855510.97,10,5,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2026-01-29
2020,HU,PT884,P,LARGE,810,80,93,82.72,56.22,7345,1311114713.88,318709584.94,12,3,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-05-25
2021,NL,ES4,U,MEDIUM,982,99,94,78.47,65.96,9040,2090803600.63,449435365.66,7,1,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2026-01-14
2022,SE,SK550,E,SMALL,1349,161,65,92.91,83.23,11159,3170404961.69,1437720895.88,7,2,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-01-31
2023,DK,RO750,J,MICRO,1243,58,104,57.94,33.49,7117,1552665296.53,713336644.25,24,6,VAT_REGISTER,1,FLASH,bd_9bd_sz_cl_r2e,2025-06-27
2024,IE,FR199,O,LARGE,804,105,59,68.39,40.48,6862,338186806.48,78779837.53,13,2,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-07-06
