edu_credential_reporting_quarter,edu_credential_training_provider_id,edu_credential_credential_type,edu_credential_credential_framework_level,edu_credential_program_duration_hours,edu_credential_tuition_cost_inr,edu_credential_completion_count,edu_credential_completion_rate_pct,edu_credential_employment_placement_rate,edu_credential_median_wage_post_training,edu_credential_industry_alignment_nic,edu_credential_occupation_alignment_nco,edu_credential_work_based_learning_flag,edu_credential_apprenticeship_registered_flag,edu_credential_license_required_flag,edu_credential_exam_pass_rate_pct,edu_credential_recredentialing_interval_months,edu_credential_stackable_credential_flag,edu_credential_online_delivery_flag,edu_credential_equity_access_index
2023-Q4,TP31081,Diploma,NSQF_2,901,82412.04,2223,83.54,28.73,101025.27,79,694377,N,N,N,33.38,60,N,N,72.08
2024-Q1,TP81135,SkillBadge,NSQF_3,1306,38025.49,90,11.72,3.0,90433.56,63,494182,Y,N,N,11.28,43,Y,Y,23.02
2025-Q1,TP63731,Certificate,NSQF_5,1506,207222.48,1546,78.08,31.73,138701.08,82,489345,N,N,N,75.44,104,N,N,70.79
2020-Q1,TP50981,SkillBadge,NSQF_2,206,104246.31,1302,65.92,27.02,33505.9,15,700031,N,Y,N,99.46,31,N,N,85.09
2025-Q4,TP25656,MicroCredential,NSQF_5,1244,157460.35,2428,76.02,58.31,96881.45,24,406055,Y,Y,N,62.99,41,Y,Y,52.13
2024-Q4,TP67282,LicensePrep,NSQF_6,586,42198.25,2417,78.58,87.91,34854.7,23,637968,N,Y,N,32.01,91,Y,N,0.27
2018-Q4,TP99389,Apprenticeship,NSQF_6,1361,41023.79,687,84.09,49.16,36603.76,46,814237,Y,Y,Y,51.07,16,N,N,37.37
2021-Q4,TP40805,MicroCredential,NSQF_3,663,180999.6,1424,68.89,6.13,60784.31,30,943097,Y,Y,N,53.85,36,Y,N,33.5
2025-Q1,TP59639,Certificate,NSQF_7,482,178586.48,1142,69.76,56.76,10994.61,77,956997,Y,N,N,22.74,99,N,Y,7.03
2022-Q3,TP40321,Diploma,NSQF_1,1720,76592.12,1336,66.53,62.01,113131.56,14,380109,Y,Y,N,95.69,99,Y,Y,73.37
2024-Q1,TP69679,MicroCredential,NSQF_4,1661,37842.02,1497,70.58,27.03,20025.91,91,222509,N,Y,N,48.79,61,Y,N,25.81
2022-Q3,TP55605,MicroCredential,NSQF_7,1404,44388.32,1177,95.0,15.22,137129.92,93,398769,N,N,N,47.69,15,N,N,27.09
2018-Q4,TP64850,LicensePrep,NSQF_5,1099,178751.33,1487,95.81,9.57,31748.07,67,582260,N,Y,N,84.17,20,N,N,32.11
2024-Q4,TP82187,LicensePrep,NSQF_3,1654,16439.32,2493,82.36,59.8,85007.11,44,874312,Y,Y,Y,56.89,63,N,Y,9.78
2025-Q3,TP21462,Apprenticeship,NSQF_4,396,148650.06,379,88.55,20.55,66081.69,48,271863,N,N,Y,18.79,68,N,N,45.21
2017-Q3,TP70984,Certificate,NSQF_2,1180,192790.43,1159,59.56,90.19,120592.42,04,411269,Y,Y,N,21.21,83,Y,Y,63.02
2018-Q4,TP67900,Diploma,NSQF_3,360,3881.82,1807,99.45,7.29,123936.32,93,263079,Y,N,Y,72.53,20,Y,N,11.87
2018-Q3,TP20138,MicroCredential,NSQF_6,312,160485.53,2422,87.0,58.41,89502.49,50,221600,N,N,N,65.07,6,Y,N,96.7
2023-Q4,TP17107,LicensePrep,NSQF_1,1652,127713.98,361,33.3,61.52,139807.3,99,805560,N,Y,Y,37.45,70,N,Y,68.1
2016-Q3,TP25293,Apprenticeship,NSQF_7,1136,71451.61,1064,64.48,28.91,130300.49,92,667491,Y,N,Y,0.1,54,N,N,25.05
2023-Q3,TP60632,Apprenticeship,NSQF_1,13,217099.8,144,27.48,30.12,80751.75,13,687687,Y,Y,N,61.67,18,Y,N,8.85
2022-Q1,TP73313,LicensePrep,NSQF_6,89,126737.3,18,3.9,48.14,57678.75,66,181561,N,Y,Y,31.78,82,Y,N,54.48
2020-Q2,TP69466,MicroCredential,NSQF_2,1601,109995.06,101,16.13,5.56,25329.21,62,871855,Y,N,Y,82.43,120,Y,Y,73.1
2018-Q4,TP82010,LicensePrep,NSQF_1,1139,4131.83,765,49.42,85.68,85753.43,03,420490,N,Y,Y,88.72,19,N,N,19.93
2023-Q4,TP99584,Apprenticeship,NSQF_7,861,230090.6,435,58.47,78.39,7758.95,71,751983,Y,Y,Y,50.48,81,N,Y,28.4
2024-Q4,TP66285,LicensePrep,NSQF_2,442,203960.82,1871,96.69,26.64,84652.74,70,008031,N,N,N,88.95,96,N,Y,94.91
2021-Q1,TP90435,Certificate,NSQF_3,1245,118915.53,2239,82.62,89.47,129546.97,64,625846,Y,Y,Y,44.25,26,N,N,76.06
2023-Q2,TP10495,SkillBadge,NSQF_1,1532,67830.07,1006,71.91,58.23,79591.3,68,615967,N,Y,Y,11.95,3,N,N,67.81
2022-Q4,TP34239,Diploma,NSQF_6,1399,68258.41,858,75.46,52.56,31586.6,50,989264,Y,Y,N,66.51,90,Y,Y,58.65
2020-Q2,TP16369,MicroCredential,NSQF_3,791,94994.29,1799,88.58,19.61,97648.38,63,251352,N,Y,N,18.16,106,N,Y,72.84
2018-Q2,TP41260,Certificate,NSQF_6,248,168528.1,1744,73.25,36.88,96630.18,71,539939,N,N,N,51.11,100,N,N,80.65
2022-Q1,TP78325,Diploma,NSQF_1,1058,103913.56,2065,94.86,50.04,138871.2,23,962795,N,Y,Y,65.39,60,N,N,24.42
2019-Q4,TP14282,LicensePrep,NSQF_4,1594,11747.85,1986,90.27,25.53,81910.69,70,500623,Y,N,N,60.07,104,Y,Y,95.89
2018-Q4,TP99337,LicensePrep,NSQF_7,1238,190378.4,2323,84.66,3.86,55366.21,45,907146,N,N,N,85.54,107,N,Y,54.39
2025-Q2,TP46730,Certificate,NSQF_3,1729,169069.33,498,65.79,50.52,93061.08,83,782645,Y,N,Y,61.12,62,N,Y,8.23
2023-Q2,TP40385,SkillBadge,NSQF_7,1075,144840.09,1996,79.78,0.65,137168.24,28,023511,N,N,N,93.84,85,Y,Y,66.07
2025-Q4,TP26975,LicensePrep,NSQF_2,800,152769.53,112,14.6,88.12,89681.38,72,193348,N,N,N,29.85,29,Y,Y,51.0
2025-Q4,TP10607,Apprenticeship,NSQF_3,889,48777.8,1592,78.31,83.21,62502.92,94,491676,Y,Y,Y,64.22,97,N,N,30.98
2021-Q3,TP80400,LicensePrep,NSQF_7,1358,161138.79,2187,86.44,87.04,44543.02,31,879092,Y,Y,Y,1.36,111,Y,Y,30.01
2016-Q4,TP23379,Apprenticeship,NSQF_4,347,66268.88,205,52.16,10.3,12318.08,38,802055,Y,N,N,7.32,49,Y,Y,11.58
2020-Q2,TP78355,Diploma,NSQF_5,516,58183.45,1065,77.17,80.14,51218.86,86,765019,Y,Y,Y,88.57,34,Y,N,3.48
2019-Q2,TP47474,Certificate,NSQF_7,877,193561.93,295,86.26,35.27,38507.0,16,048497,Y,N,Y,89.55,10,N,N,22.91
2016-Q4,TP91749,LicensePrep,NSQF_1,1150,164821.74,1170,61.71,14.2,14648.56,99,047887,N,Y,N,55.55,13,Y,N,72.1
2024-Q4,TP86397,SkillBadge,NSQF_4,1227,217037.46,2393,93.4,52.94,23282.47,49,972694,N,Y,Y,81.71,51,Y,Y,78.6
2019-Q3,TP14584,Diploma,NSQF_5,1664,92793.47,1609,76.36,61.2,48955.03,77,545831,Y,Y,N,23.36,21,N,N,39.94
2025-Q2,TP71079,Certificate,NSQF_7,1085,185049.9,1933,84.74,68.57,41249.6,26,112356,Y,N,N,42.53,109,Y,Y,21.59
2023-Q2,TP42567,LicensePrep,NSQF_1,1420,239284.65,1620,75.45,88.69,139729.98,12,751104,N,N,N,78.98,96,Y,N,80.74
2017-Q1,TP96883,Certificate,NSQF_6,592,225422.12,1901,96.06,37.82,54726.78,44,905839,Y,Y,N,87.23,67,N,Y,61.05
2019-Q4,TP22070,Certificate,NSQF_7,1088,40207.67,959,61.51,63.77,9007.09,30,069978,Y,N,N,59.96,29,Y,Y,36.32
2022-Q1,TP88324,Apprenticeship,NSQF_1,155,71968.42,1494,74.74,46.67,132409.31,09,804763,N,N,N,27.36,105,N,Y,32.29
2018-Q4,TP40526,Diploma,NSQF_6,1632,81710.56,1945,74.29,38.51,11797.83,60,199375,N,Y,Y,33.6,93,N,Y,88.07
2025-Q2,TP93451,Diploma,NSQF_5,619,109488.6,717,86.91,93.05,47729.75,13,292007,Y,N,N,60.24,11,N,N,8.75
2018-Q2,TP46920,LicensePrep,NSQF_2,1507,45908.03,1429,82.22,78.83,82672.05,19,104934,N,Y,Y,77.08,110,N,Y,25.85
2022-Q2,TP16826,Diploma,NSQF_1,790,78439.03,1448,64.44,48.45,101339.99,64,924163,Y,Y,N,25.28,43,N,N,20.94
2023-Q1,TP91221,SkillBadge,NSQF_4,1238,103412.64,1454,91.39,82.96,111145.71,76,078846,N,Y,Y,75.58,73,N,N,42.82
2020-Q4,TP82615,Apprenticeship,NSQF_7,1577,22506.42,1389,91.99,8.99,55428.96,18,087997,Y,N,N,67.31,112,Y,Y,27.32
2021-Q1,TP39419,Certificate,NSQF_7,1228,232825.89,1232,91.33,13.46,61538.09,17,595749,Y,Y,Y,57.87,11,Y,Y,60.05
2018-Q4,TP14173,MicroCredential,NSQF_1,244,67920.52,379,53.53,62.64,51356.33,55,469102,N,Y,Y,48.7,38,Y,N,6.97
2016-Q3,TP37888,Diploma,NSQF_3,920,86655.57,1502,99.34,52.71,20869.65,16,768820,Y,N,Y,73.18,35,Y,Y,90.06
2022-Q1,TP13118,Diploma,NSQF_6,1092,116850.43,1382,78.43,28.29,45949.75,43,033421,Y,Y,N,25.94,40,N,Y,76.04
2017-Q1,TP41466,Apprenticeship,NSQF_3,1790,165337.8,1588,92.7,8.52,71583.99,34,017542,N,Y,N,73.98,91,Y,N,43.99
2017-Q1,TP79486,Certificate,NSQF_4,1120,2085.52,2393,84.5,49.17,110820.8,71,559845,Y,N,N,71.88,110,Y,Y,31.15
2022-Q1,TP18621,SkillBadge,NSQF_6,254,55325.47,1173,87.02,84.31,122355.71,91,725438,N,N,N,6.29,85,Y,N,91.6
2024-Q4,TP11624,LicensePrep,NSQF_4,798,76907.92,379,35.03,46.24,69613.71,79,101421,Y,N,Y,90.01,114,N,Y,44.62
2016-Q1,TP52766,Certificate,NSQF_2,1263,92949.02,2413,79.09,47.83,19067.27,71,620777,Y,Y,N,74.59,102,Y,N,64.77
2022-Q4,TP64052,LicensePrep,NSQF_4,1757,46332.79,906,54.35,65.66,21616.88,52,112851,N,Y,Y,8.14,32,Y,Y,38.77
2021-Q3,TP55489,Certificate,NSQF_1,252,56540.06,406,92.27,72.79,138760.43,57,591180,N,Y,Y,23.72,87,Y,Y,23.24
2019-Q4,TP72621,LicensePrep,NSQF_4,1569,132957.18,1513,90.54,46.02,113975.07,74,962557,N,N,N,69.89,21,Y,N,94.03
2021-Q3,TP89696,Apprenticeship,NSQF_5,1614,215983.89,2341,89.18,5.61,139331.2,96,298904,N,Y,Y,25.22,30,N,N,76.24
2019-Q3,TP97897,Certificate,NSQF_1,1254,243685.74,2254,73.83,40.29,47140.44,18,571608,N,N,N,2.06,93,N,N,99.93
2016-Q1,TP46335,Certificate,NSQF_6,84,15859.09,2281,81.49,8.53,20994.14,54,524985,Y,Y,Y,77.52,56,Y,N,67.29
2018-Q1,TP82150,Apprenticeship,NSQF_4,458,180587.81,702,71.12,37.64,65342.93,35,714746,Y,Y,N,31.23,91,Y,Y,48.52
2018-Q4,TP48345,SkillBadge,NSQF_6,404,169224.92,604,87.54,54.47,41024.92,40,792279,N,Y,Y,85.57,12,N,Y,66.57
2021-Q3,TP76295,Certificate,NSQF_3,137,103072.87,2335,82.74,60.66,32472.92,65,543797,Y,N,Y,40.2,64,Y,N,44.35
2023-Q4,TP95719,Diploma,NSQF_1,698,3526.94,2098,92.63,72.13,115610.64,23,358208,N,N,N,63.91,44,N,Y,44.32
2016-Q1,TP31866,LicensePrep,NSQF_6,1467,107406.23,408,34.23,23.1,52719.83,63,704895,N,N,N,45.77,116,Y,Y,67.02
2025-Q3,TP12603,Apprenticeship,NSQF_5,562,195853.76,339,51.6,55.59,36785.67,31,506185,N,N,Y,19.96,54,N,Y,85.94
2017-Q1,TP94903,SkillBadge,NSQF_6,1615,11055.33,1559,92.52,72.46,70849.42,66,487158,Y,Y,Y,63.23,63,N,Y,35.47
2024-Q3,TP66645,SkillBadge,NSQF_2,1181,214866.31,972,69.58,1.78,74762.44,26,522857,Y,Y,Y,14.0,58,Y,Y,6.6
2018-Q3,TP28631,MicroCredential,NSQF_2,1055,148835.89,1051,92.6,18.61,112008.16,22,990531,N,N,N,36.23,112,N,N,98.62
2019-Q2,TP69268,SkillBadge,NSQF_4,1721,123609.54,739,57.38,64.97,10726.26,62,160076,N,N,Y,61.11,78,N,N,43.27
2016-Q3,TP84455,SkillBadge,NSQF_2,1374,106327.72,332,51.47,21.2,12709.82,87,361020,Y,Y,N,82.57,80,N,Y,58.36
2022-Q1,TP56661,SkillBadge,NSQF_5,1305,199692.59,371,39.43,29.7,34280.52,20,393176,N,Y,Y,15.64,24,N,Y,61.52
2023-Q2,TP65451,MicroCredential,NSQF_3,1245,43691.25,2085,80.75,15.37,130336.69,30,227671,N,N,N,24.43,70,N,Y,10.25
2024-Q3,TP31552,SkillBadge,NSQF_1,1641,61500.7,1185,92.65,12.28,53192.46,32,219192,N,N,Y,16.23,105,Y,N,31.18
2021-Q2,TP99547,SkillBadge,NSQF_5,550,148707.33,53,7.51,43.93,88918.8,84,446550,Y,Y,Y,66.61,85,N,N,30.05
2020-Q3,TP15933,Diploma,NSQF_2,1533,121005.47,1977,76.75,6.58,30147.13,47,321522,N,Y,Y,17.38,43,N,N,36.82
2025-Q1,TP93124,Diploma,NSQF_4,564,185004.32,915,54.69,11.27,52183.88,66,353511,Y,Y,N,42.31,97,N,N,32.97
2018-Q4,TP32943,Diploma,NSQF_5,714,63653.14,2164,85.8,78.87,39161.25,73,617986,N,Y,Y,4.53,120,Y,Y,15.17
2025-Q4,TP37316,SkillBadge,NSQF_7,936,10237.48,305,35.34,73.66,59375.92,23,320168,Y,Y,Y,0.25,79,Y,N,69.45
2020-Q1,TP45019,Apprenticeship,NSQF_7,1712,71859.85,492,86.93,22.98,106782.72,45,989698,Y,Y,Y,72.01,9,N,Y,39.13
2019-Q3,TP39947,Certificate,NSQF_1,89,92738.74,1494,81.33,37.24,17329.78,39,800578,Y,N,Y,66.64,59,N,Y,85.61
2017-Q3,TP52124,Certificate,NSQF_1,833,86924.89,925,62.58,37.63,134684.25,12,234383,Y,Y,N,1.29,72,N,Y,92.17
2025-Q4,TP54218,Diploma,NSQF_2,1307,95304.5,1721,69.79,17.44,94925.44,97,113285,N,N,N,45.87,34,Y,Y,72.44
2023-Q1,TP86070,LicensePrep,NSQF_7,175,112605.69,1391,72.11,19.15,11363.68,87,361879,N,Y,Y,0.24,21,Y,N,12.63
2025-Q4,TP46440,Certificate,NSQF_5,866,150777.54,2298,79.24,1.97,39093.73,66,719012,N,N,Y,66.8,43,N,N,43.71
2022-Q1,TP55846,MicroCredential,NSQF_7,538,235068.36,439,64.37,86.77,79274.75,74,869940,Y,Y,Y,48.36,82,N,N,34.01
2016-Q3,TP36238,MicroCredential,NSQF_6,329,204223.13,2227,80.4,78.04,118654.29,53,216258,Y,Y,Y,0.33,44,N,Y,77.02
2017-Q4,TP83449,Apprenticeship,NSQF_3,1276,189879.45,1209,75.75,81.91,113024.08,24,197488,Y,Y,Y,11.94,68,N,Y,35.77
2025-Q1,TP69379,Diploma,NSQF_3,1253,145443.46,2482,77.25,10.07,82314.47,71,895120,N,N,N,44.17,47,Y,N,64.17
2022-Q3,TP46151,Diploma,NSQF_5,516,116194.17,2251,84.85,31.44,46427.08,01,442734,Y,N,Y,91.6,51,N,Y,31.46
2016-Q4,TP90393,Apprenticeship,NSQF_4,999,174015.51,817,61.8,4.94,62671.37,97,433476,Y,N,N,23.37,56,N,N,60.37
2017-Q1,TP38035,LicensePrep,NSQF_6,157,55892.31,681,46.36,60.41,39861.54,62,853604,Y,N,N,25.6,3,Y,Y,89.75
2017-Q1,TP34197,Apprenticeship,NSQF_6,1762,173519.58,1730,80.06,40.03,75389.86,40,453247,N,N,Y,90.09,99,N,N,12.56
2019-Q2,TP81788,SkillBadge,NSQF_7,858,98701.72,262,28.32,82.98,65470.36,34,525796,Y,N,N,38.78,9,Y,Y,21.18
2022-Q1,TP41248,Diploma,NSQF_5,1298,68803.75,950,54.63,53.52,46581.68,83,901768,Y,N,Y,31.97,6,N,Y,76.24
2016-Q2,TP58997,Diploma,NSQF_7,1410,3086.26,2435,99.8,73.27,13924.55,35,178263,Y,Y,Y,11.66,55,N,Y,80.41
2024-Q2,TP75605,SkillBadge,NSQF_4,1541,74252.51,2180,95.99,56.21,17393.17,09,353293,N,N,Y,17.04,2,N,N,40.42
2018-Q3,TP48512,Diploma,NSQF_5,562,222304.35,2120,91.81,90.51,56627.97,13,563518,Y,N,N,1.59,73,N,N,39.58
2022-Q2,TP84745,Diploma,NSQF_4,672,98106.27,1408,72.06,66.83,32995.25,76,766726,Y,Y,N,95.18,34,Y,Y,47.47
2018-Q4,TP48932,Apprenticeship,NSQF_1,1399,48393.79,1340,66.21,69.99,104625.08,50,850793,Y,Y,Y,86.13,56,Y,N,74.31
2025-Q1,TP57287,Certificate,NSQF_5,506,26483.17,2076,85.19,14.87,103353.19,61,663692,Y,Y,N,51.34,34,Y,Y,33.27
2022-Q4,TP57126,Apprenticeship,NSQF_2,1690,108640.88,2113,74.51,4.16,98945.0,18,483512,Y,Y,N,40.79,64,Y,Y,58.19
2025-Q4,TP54651,SkillBadge,NSQF_6,1523,51152.34,602,71.24,41.34,117190.79,97,033883,Y,Y,Y,38.43,54,Y,Y,63.04
