qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_km_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2024,SA3283,22.85,440,75.8,99,9.55,24,224046,183,87,0,63.54,36,458,190576,0.95,58.14,78.9,0.554
2020,SA1575,16.09,402,25.3,32,12.52,44,111260,215,3,433,47.21,3,516,238546,36.73,47.85,60.3,0.563
2019,SA3772,8.1,126,865.2,8,19.06,15,227770,185,10,675,46.42,20,355,205732,40.08,25.06,93.2,0.086
2018,SA8526,4.21,410,279.7,103,11.06,19,123113,7,45,99,9.9,25,386,181370,38.91,82.0,72.0,0.644
2026,SA6595,17.83,269,42.2,2,10.9,39,96004,220,104,516,66.96,63,426,133235,25.33,35.51,81.6,0.43
2020,SA5486,6.86,77,180.6,101,7.24,47,84346,225,91,174,25.51,23,624,194446,34.29,60.65,39.7,0.823
2023,SA9646,10.06,174,607.5,116,4.51,50,234808,34,119,85,33.22,9,219,145702,31.95,45.49,52.2,0.905
2021,SA1648,12.01,263,388.3,93,9.19,30,169109,235,94,167,47.1,45,68,177872,6.79,8.27,40.2,0.888
2021,SA9876,14.09,74,619.4,77,21.38,49,38818,159,37,825,49.82,20,304,93536,10.41,79.19,43.4,0.472
2025,SA3648,7.2,120,386.8,9,22.01,24,125343,71,41,684,69.26,26,384,53256,37.14,28.31,97.3,0.935
2019,SA7595,12.14,351,723.1,42,12.02,27,58929,38,1,892,74.63,65,506,20548,7.59,16.01,27.7,0.468
2024,SA9921,12.14,125,387.0,75,2.57,30,169680,143,56,831,31.95,50,390,68698,3.32,6.21,30.5,0.771
2020,SA5874,4.76,385,514.1,76,1.2,34,210791,63,12,53,37.94,17,144,84646,42.2,42.04,79.3,0.051
2018,SA6140,15.98,47,286.3,116,0.99,16,224559,225,54,136,3.47,25,84,226091,51.12,15.06,3.2,0.262
2017,SA7541,7.38,144,895.3,2,16.88,46,90539,16,89,80,60.83,26,70,22617,22.8,51.63,6.9,0.151
2018,SA5101,21.81,224,274.3,66,9.48,9,123859,138,95,231,25.81,36,247,125059,40.26,88.38,50.9,0.61
2024,SA3463,3.75,153,779.1,21,7.73,3,236687,246,62,681,23.1,45,502,75148,10.55,27.55,10.9,0.989
2016,SA8482,13.89,335,142.8,60,5.1,22,216452,84,119,895,25.07,19,554,11399,19.41,69.92,88.2,0.772
2018,SA1188,13.43,37,409.5,43,15.18,6,101211,51,116,691,65.81,40,641,227760,24.89,0.5,35.1,0.127
2021,SA9873,7.55,156,321.4,103,17.9,45,244616,242,37,335,41.75,42,436,239386,21.7,5.14,63.1,0.987
2026,SA2693,19.0,131,673.8,109,23.65,15,215328,160,73,833,12.79,3,104,163197,53.68,67.17,30.9,0.236
2019,SA2554,16.26,52,496.0,31,13.4,18,95256,224,112,429,33.67,66,77,156823,20.7,56.2,83.9,0.839
2026,SA5673,23.82,290,466.7,113,7.27,47,236852,219,74,543,75.26,11,573,169986,36.25,98.75,3.1,0.464
2019,SA3216,8.4,192,272.3,103,21.67,27,36363,15,96,162,16.73,9,179,103646,11.65,89.26,88.9,0.387
2020,SA8434,23.41,65,273.6,59,14.99,52,53636,30,47,799,27.81,33,350,10394,19.12,87.2,39.3,0.558
2026,SA9239,21.42,215,88.3,48,22.23,56,16321,18,112,868,43.01,32,88,45701,14.03,67.51,33.7,0.604
2024,SA3561,20.22,19,178.1,38,10.58,9,3751,140,84,481,12.92,72,541,118144,8.79,95.05,99.3,0.778
2016,SA2915,10.27,46,250.1,104,9.65,7,105082,173,42,76,40.0,8,200,243442,49.9,21.12,62.2,0.5
2020,SA8922,9.15,233,651.6,34,20.12,23,199883,230,11,802,39.23,77,509,66855,5.68,85.6,86.3,0.468
2026,SA9644,16.57,212,245.5,24,0.52,6,193383,155,79,44,7.14,11,594,212080,26.89,50.88,58.0,0.656
2025,SA6973,10.94,289,8.8,78,11.03,15,30118,133,109,583,14.45,55,338,44178,29.55,33.62,97.6,0.557
2016,SA5938,7.57,115,796.8,69,9.65,58,57379,48,89,469,79.32,1,480,130383,10.04,70.49,70.5,0.35
2021,SA7789,20.85,375,684.5,42,10.32,40,4479,117,34,791,8.11,39,598,142560,0.78,21.42,15.4,0.102
2017,SA6265,8.09,84,590.6,21,22.2,24,66648,218,73,349,42.48,20,160,196650,36.26,20.13,8.6,0.229
2024,SA2286,10.9,17,309.4,116,11.99,24,182839,0,97,182,35.18,80,159,227287,31.43,20.27,39.3,0.686
2024,SA2307,3.69,403,138.4,105,24.35,18,148688,103,62,81,60.0,26,38,106781,8.36,12.0,52.9,0.071
2026,SA1136,16.23,116,456.4,46,17.43,9,75073,36,103,165,58.32,34,70,69739,46.94,24.47,46.2,0.579
2026,SA4634,24.68,219,252.7,35,4.23,54,194477,179,93,795,11.2,29,44,60965,21.15,30.04,51.3,0.318
2025,SA6127,18.75,405,672.9,87,5.04,27,118064,150,87,309,9.92,22,579,151597,54.77,21.73,42.2,0.128
2020,SA7718,17.88,164,306.9,29,15.83,15,160839,207,10,757,72.68,17,611,121354,1.7,83.75,69.8,0.56
2017,SA8829,13.59,264,797.3,114,11.39,36,210501,227,43,130,52.51,3,567,126887,26.41,60.81,36.8,0.106
2022,SA6932,4.53,423,695.7,63,8.73,9,63041,101,84,157,49.14,34,505,125748,3.33,35.9,58.5,0.06
2019,SA7730,1.5,146,27.1,59,24.1,13,155993,239,88,306,37.52,9,543,190798,24.12,65.11,16.2,0.695
2022,SA7412,20.48,109,319.2,39,24.52,45,40708,1,105,797,63.99,9,584,22736,18.36,21.58,95.6,0.62
2017,SA7241,7.6,66,682.7,12,22.25,19,128990,160,33,305,73.7,6,617,95129,46.72,8.26,38.4,0.331
2023,SA9046,1.88,77,588.9,120,7.07,42,98766,147,111,20,26.48,58,328,78271,47.99,24.69,2.4,0.433
2016,SA2459,5.89,387,524.3,95,13.76,31,29764,233,66,567,20.67,16,399,15882,24.74,58.53,38.0,0.466
2025,SA6289,10.38,385,99.2,112,0.93,33,168842,210,62,797,48.9,26,191,107088,22.1,71.98,57.8,0.528
2022,SA2871,14.69,111,877.0,25,23.93,1,93597,204,100,499,38.95,69,458,70000,20.54,5.29,62.5,0.19
2026,SA8317,2.76,332,553.5,18,17.76,36,136140,144,117,644,17.48,38,78,90420,33.38,23.71,49.6,0.108
2022,SA1712,22.71,2,325.4,1,7.03,24,30623,235,6,255,78.24,62,292,215107,35.97,78.83,61.6,0.87
2022,SA6435,4.96,291,483.0,47,22.99,5,94084,192,114,614,23.16,73,624,117399,41.12,0.93,99.5,0.883
2016,SA5303,7.04,412,217.3,16,1.29,35,94626,167,22,200,0.82,79,188,1503,41.6,93.43,83.0,0.402
2020,SA9701,8.93,207,757.1,20,23.41,54,22008,154,19,222,72.11,77,559,48159,30.73,3.46,36.3,0.919
2021,SA6092,11.77,208,22.5,80,4.03,6,147420,144,87,455,44.32,32,412,27154,51.19,71.83,27.9,0.683
2020,SA3697,19.0,440,318.3,27,13.09,43,224006,143,83,92,55.35,6,469,174605,46.81,7.4,81.0,0.173
2018,SA7090,16.19,298,98.1,115,14.12,19,218505,146,116,490,11.69,70,103,144369,31.26,20.02,30.8,0.325
2022,SA7808,21.39,105,838.6,19,11.67,51,90305,128,54,619,53.9,4,249,109963,32.55,37.75,27.4,0.918
2025,SA5905,3.82,117,451.3,118,3.33,54,197722,171,82,825,31.44,31,533,119350,26.83,18.53,44.2,0.362
2018,SA2245,17.43,369,602.1,120,1.13,57,163033,62,15,728,14.5,63,211,249463,11.05,19.5,88.1,0.113
2017,SA3115,13.43,132,396.3,25,17.88,3,234781,189,61,848,8.56,56,248,78938,52.36,97.37,27.9,0.483
2016,SA5105,1.94,275,139.1,117,24.65,11,201229,105,47,693,60.69,54,269,184321,54.69,90.59,67.8,0.943
2022,SA3398,10.3,354,491.6,78,21.95,15,196630,176,98,775,59.41,20,34,141798,48.51,88.12,40.9,0.238
2019,SA6628,23.25,392,777.7,102,20.57,38,161932,184,25,188,67.33,80,497,1565,53.74,33.15,96.4,0.3
2017,SA7322,5.46,221,298.3,109,4.89,43,81232,203,14,452,44.14,49,194,239876,47.89,58.66,42.2,0.082
2024,SA9982,15.83,92,556.7,34,16.38,9,93567,55,33,64,79.17,42,527,246462,46.32,85.98,62.8,0.583
2022,SA1485,15.97,271,639.8,107,0.89,44,128356,155,91,413,74.23,76,428,127218,9.24,37.53,4.8,0.162
2017,SA9551,6.12,167,771.9,117,22.73,19,194463,77,23,45,6.75,47,397,241385,7.3,10.32,46.0,0.376
2022,SA7315,3.11,169,821.7,120,12.59,37,139398,58,68,197,62.83,10,129,25310,37.89,51.73,73.8,0.879
2024,SA8091,17.35,132,492.8,60,23.77,36,29303,194,29,30,10.09,5,445,1308,1.44,51.89,58.1,0.035
2020,SA8782,13.46,94,341.4,14,5.26,9,100869,23,96,571,64.1,73,557,137583,8.82,4.81,60.6,0.411
2017,SA5852,10.38,190,733.3,110,6.71,21,86058,40,16,318,23.56,17,327,125186,31.38,48.07,23.3,0.174
2020,SA3800,3.73,175,173.1,82,3.69,34,17985,2,14,570,34.86,63,129,157853,20.2,49.49,42.7,0.823
2024,SA9758,6.25,45,11.7,59,7.36,22,151294,228,36,267,38.4,12,372,196640,11.06,44.77,70.4,0.331
2020,SA5945,13.01,198,534.9,52,24.14,43,128578,241,106,243,22.36,50,108,130445,46.54,93.46,26.9,0.607
2024,SA6600,9.22,82,168.7,119,15.64,59,137061,64,39,24,27.77,45,99,38275,27.88,8.64,13.6,0.41
2024,SA2725,1.52,439,354.4,84,12.2,50,51545,240,118,832,61.81,26,440,73654,26.35,34.73,2.4,0.909
2020,SA1527,5.55,414,877.2,100,19.75,8,238849,109,42,65,47.74,76,380,109790,26.77,40.48,65.0,0.937
2018,SA5221,3.49,231,683.7,59,13.72,10,242627,142,91,71,41.73,14,406,239035,30.2,73.63,81.7,0.515
2022,SA5853,4.09,326,379.4,1,24.37,37,55471,212,106,85,0.73,72,240,35841,22.51,61.27,38.6,0.261
2020,SA4319,7.66,295,349.6,102,18.81,33,219929,180,47,794,23.92,18,80,44796,54.72,92.3,0.2,0.551
2018,SA6729,10.88,292,309.8,79,0.72,13,17759,250,62,114,36.9,25,534,86384,6.37,78.66,55.9,0.231
2018,SA4750,7.66,275,880.0,118,16.13,41,192200,130,26,858,48.56,23,385,155013,52.5,30.11,12.5,0.63
2022,SA3150,2.12,375,798.4,0,20.95,0,199650,39,108,6,14.89,33,433,166212,17.76,8.93,19.7,0.794
2025,SA8360,3.88,445,850.4,118,7.48,41,131739,243,2,219,31.3,53,208,22091,43.76,20.94,40.5,0.958
2026,SA3138,19.8,350,299.1,40,12.43,47,165104,105,21,864,24.12,78,303,46614,9.41,86.52,25.4,0.227
2021,SA5148,4.65,128,93.1,119,7.74,23,224034,205,67,872,20.14,56,150,121421,30.61,20.8,23.5,0.161
2025,SA7111,0.22,57,95.6,97,23.79,37,134273,86,39,211,45.65,34,618,68959,17.72,61.31,62.4,0.842
2017,SA5439,20.6,412,200.1,2,2.34,44,132272,221,112,121,78.41,4,311,178593,19.1,29.9,33.5,0.039
2023,SA5436,11.54,149,735.0,29,12.56,9,200386,166,92,344,10.16,28,259,69831,10.23,35.43,1.5,0.167
2023,SA8172,3.41,54,742.6,101,14.31,48,82032,81,89,782,68.64,29,539,81363,26.2,10.2,20.7,0.815
2026,SA3620,25.0,117,264.8,14,5.78,30,29791,97,54,277,56.52,71,395,1494,32.87,16.9,17.5,0.492
2024,SA5127,2.55,135,895.2,27,2.98,42,208612,35,116,287,44.75,48,220,186769,46.52,22.36,96.6,0.905
2019,SA5431,15.98,380,92.7,82,18.62,50,34727,246,1,671,6.03,17,486,3519,40.75,21.96,9.8,0.478
2024,SA4595,12.65,89,605.5,65,2.74,49,96962,88,97,128,57.62,51,606,54947,36.4,86.27,32.3,0.08
2026,SA7097,0.3,160,510.1,29,2.76,26,190040,53,5,260,39.65,13,33,88232,51.53,90.64,88.5,0.786
2020,SA4738,2.27,177,192.1,64,24.96,53,216675,202,104,488,0.16,37,41,204969,13.05,67.3,83.0,0.979
2016,SA4135,1.25,184,739.0,25,21.77,45,245222,112,42,736,49.47,55,528,34839,40.24,51.35,55.5,0.586
2018,SA1352,18.74,221,48.2,91,17.63,1,200652,100,73,423,58.12,5,145,136712,5.02,87.5,68.1,0.927
2021,SA6801,9.63,71,325.6,1,3.93,25,176459,36,89,35,74.44,65,20,79494,14.1,45.17,16.8,0.446
2020,SA6495,21.54,245,161.0,63,13.22,3,21658,197,97,232,14.55,59,427,100079,41.26,7.12,42.8,0.988
2017,SA6346,17.58,89,624.0,82,3.32,52,174611,72,83,26,36.97,4,329,162184,6.93,35.45,93.2,0.725
2026,SA5309,17.68,17,526.7,30,13.55,56,184838,4,20,645,35.82,34,105,246102,21.0,24.98,98.6,0.428
2024,SA8238,3.08,68,670.5,18,11.63,21,18137,49,88,510,41.15,60,469,126009,29.92,31.03,99.3,0.631
2021,SA9015,2.75,135,244.7,114,17.0,29,232731,72,75,152,56.51,50,486,85703,52.43,72.86,95.5,0.277
2019,SA8867,17.83,16,870.2,83,23.2,10,58778,37,27,409,60.86,31,181,27544,52.01,99.87,91.0,0.108
2020,SA6328,11.81,341,135.5,64,7.92,9,42248,12,119,300,74.47,5,359,79147,44.52,46.94,11.6,0.838
2017,SA9196,6.81,116,842.7,5,8.26,22,132445,231,83,600,11.81,62,110,85934,34.89,4.52,14.2,0.589
2025,SA8028,5.83,428,568.5,8,9.53,35,138352,104,14,864,65.64,26,200,164650,39.78,44.63,92.4,0.702
2016,SA9121,11.92,395,414.6,9,1.64,0,148544,60,106,94,42.75,34,394,234691,8.99,74.9,58.0,0.461
2023,SA5371,21.29,237,764.2,63,16.65,35,122472,68,108,179,74.1,70,407,112276,42.1,2.0,51.7,0.573
2017,SA3292,15.36,114,59.7,74,21.83,55,217511,119,49,364,9.58,48,47,5765,32.05,36.25,92.0,0.496
2016,SA1186,1.39,356,325.4,34,14.58,60,196451,26,77,886,41.29,56,471,203542,53.3,84.73,58.4,0.391
2023,SA7503,7.42,28,65.5,16,5.42,57,206378,190,116,720,38.65,57,90,54826,54.27,54.0,96.3,0.202
2024,SA8497,24.67,245,388.2,53,2.13,21,232636,185,53,274,20.7,33,555,28532,8.27,30.61,26.1,0.296
2020,SA5373,6.26,397,731.8,14,2.85,13,53106,194,21,608,63.02,6,339,212998,41.18,53.6,40.4,0.252
2025,SA9834,10.05,335,36.9,119,23.22,19,197339,213,99,573,0.01,52,333,226732,29.46,39.85,20.0,0.856
2022,SA2920,5.28,123,296.3,68,22.09,55,105591,11,106,806,35.31,11,544,179967,14.63,94.33,98.6,0.526
2024,SA3090,16.08,428,850.7,36,15.6,24,133986,196,44,317,37.72,76,33,100449,43.51,91.87,95.1,0.084
2023,SA2924,16.27,369,104.0,65,22.87,19,81283,142,93,439,44.76,8,247,245875,5.69,34.71,42.7,0.479
2017,SA2094,8.22,203,815.5,15,11.32,31,68735,169,10,579,75.18,51,327,202430,35.99,69.56,28.2,0.255
2024,SA9417,23.65,62,8.5,70,24.15,12,244726,244,63,804,27.09,9,161,27692,40.57,88.45,58.9,0.435
2023,SA8881,23.34,90,353.7,35,14.32,39,76522,130,30,827,25.32,44,371,128497,54.83,47.36,38.4,0.553
2023,SA2838,2.98,47,101.7,117,23.57,57,23536,38,88,132,43.74,51,135,58771,7.55,38.87,62.1,0.046
2019,SA5576,16.98,220,615.4,74,6.41,55,31573,151,84,867,26.11,15,513,74920,41.69,72.4,4.4,0.523
2021,SA1187,9.69,10,796.3,86,0.58,14,121288,191,97,614,30.65,2,231,3338,33.02,26.21,2.7,0.962
2022,SA3058,13.29,297,42.8,91,3.16,24,157047,133,59,115,62.03,40,187,26662,30.42,92.93,68.9,0.926
2026,SA6565,15.55,96,796.4,64,4.41,39,44603,84,4,354,61.32,28,409,207931,53.57,4.48,38.1,0.159
2025,SA4827,7.51,221,378.0,39,11.5,1,233589,135,73,638,67.37,42,432,161903,29.28,78.52,51.4,0.332
2019,SA9963,16.16,153,532.3,93,5.31,40,191685,178,102,730,27.57,79,557,175715,9.96,33.1,38.0,0.493
2024,SA2007,14.13,90,302.4,111,19.22,53,16362,6,111,377,67.65,33,595,145964,43.11,86.69,25.5,0.494
2019,SA8325,8.39,32,700.6,109,9.98,42,177830,124,85,294,11.89,30,318,216088,2.2,49.62,86.2,0.455
2020,SA9345,12.27,139,99.1,0,4.69,47,99360,195,114,177,75.85,59,435,243586,11.17,82.84,45.6,0.368
2021,SA8034,11.11,214,104.6,117,2.8,32,42177,9,82,167,4.82,42,343,86027,29.46,9.1,74.7,0.981
2022,SA3709,16.3,222,23.3,6,21.81,33,46274,62,1,108,79.94,44,641,94451,20.74,35.21,85.1,0.575
2016,SA5872,11.41,363,846.0,107,11.41,60,125721,116,43,845,67.5,73,484,30714,41.95,22.79,61.4,0.255
2022,SA7519,16.79,245,215.4,58,3.09,2,179852,20,21,174,79.68,48,406,49146,16.97,14.58,34.1,0.635
2018,SA5002,4.18,439,444.6,50,5.55,25,121354,127,23,392,78.23,70,137,68320,31.38,92.33,17.7,0.367
2025,SA7902,16.12,378,416.2,10,13.55,17,188117,57,99,657,65.14,51,299,230302,8.88,89.17,7.2,0.353
2024,SA8374,21.87,140,175.0,24,20.63,17,204537,137,96,611,65.43,4,214,99906,27.89,67.31,7.0,0.813
2016,SA8109,0.5,444,504.5,101,14.11,51,147320,74,10,359,37.75,35,182,4482,10.72,37.6,49.7,0.36
2020,SA7976,23.41,221,401.3,74,18.46,60,226505,226,39,484,71.28,0,415,37463,25.65,50.44,43.2,0.262
2023,SA7433,24.55,435,813.1,95,23.2,27,28505,48,44,587,57.32,59,439,116199,13.14,25.05,32.0,0.718
2025,SA1686,18.0,411,80.7,29,6.19,10,101581,67,99,896,12.28,36,148,237655,54.02,11.57,52.6,0.077
2020,SA9511,4.12,110,803.7,92,13.7,27,62896,168,17,157,79.87,55,72,17353,5.3,26.02,55.3,0.561
2023,SA2252,4.94,162,324.0,9,1.14,6,172122,93,75,615,18.99,55,76,77247,13.1,73.86,24.8,0.396
2025,SA2664,20.96,137,97.3,43,9.99,56,96673,28,101,462,53.46,17,560,150716,18.34,62.77,55.6,0.651
2023,SA3135,4.06,272,333.3,75,21.09,34,93357,107,4,300,70.73,57,297,167773,53.09,37.58,4.3,0.589
2018,SA1649,14.2,361,240.3,0,7.32,24,70859,111,102,200,50.68,62,408,28125,2.19,44.56,7.8,0.316
2017,SA1602,16.48,34,614.8,5,9.93,22,74715,140,11,138,76.66,48,563,181308,53.91,45.63,86.1,0.888
2026,SA7580,17.94,231,451.4,83,21.87,18,52579,117,46,538,30.28,19,491,39209,17.97,51.93,79.5,0.688
2021,SA4133,14.31,325,531.8,101,17.36,5,26906,1,5,828,70.12,64,393,180489,47.58,72.76,66.4,0.789
2024,SA4154,22.37,427,130.5,50,5.55,4,208805,5,50,141,78.71,51,67,231530,49.52,7.69,13.1,0.261
2025,SA4784,9.67,335,215.6,105,19.6,55,140544,60,66,724,77.39,41,605,154682,54.42,29.29,61.8,0.694
2021,SA3046,19.58,162,643.3,80,15.47,39,123728,184,58,605,30.94,36,125,65291,28.41,15.01,56.7,0.727
2016,SA8796,15.74,333,444.6,15,17.25,42,211901,89,78,867,24.46,80,449,166910,4.85,85.51,94.2,0.78
2019,SA1729,23.6,190,821.7,117,12.03,60,36032,0,8,586,31.6,14,486,125121,1.35,26.24,10.7,0.94
2019,SA8964,2.53,416,882.3,64,21.09,47,215637,47,36,717,54.64,5,325,21302,50.2,44.72,16.1,0.8
2024,SA4713,4.77,278,343.1,114,2.27,47,115206,158,62,55,50.08,62,79,79131,32.05,92.1,0.7,0.668
2017,SA5914,2.09,161,156.5,93,15.02,35,88314,212,82,885,57.99,62,387,137300,39.51,62.61,11.3,0.924
2017,SA5723,20.62,326,199.2,10,7.34,60,2364,26,46,339,28.16,14,429,213915,20.13,45.89,31.8,0.612
2021,SA3258,15.91,69,99.9,25,20.65,13,171965,223,111,859,7.08,40,641,59908,12.6,88.83,48.1,0.315
2024,SA7473,7.4,2,323.4,35,4.63,50,143085,177,62,417,57.59,9,538,107096,23.09,62.92,9.3,0.758
2016,SA9591,16.4,328,136.5,76,1.45,34,184469,212,47,625,35.29,66,149,9800,52.41,22.1,72.9,0.945
2021,SA4981,5.51,81,749.1,6,17.58,2,86179,104,88,859,38.62,59,381,31816,7.48,36.29,25.9,0.619
2016,SA2469,19.27,223,27.1,22,19.68,39,206741,191,103,382,41.61,53,246,142475,27.85,61.61,6.4,0.032
2016,SA3680,11.68,19,601.9,21,5.57,25,40986,187,33,598,79.21,51,566,237814,27.55,5.92,19.4,0.218
2025,SA2773,13.56,368,587.3,67,6.08,26,58090,38,14,344,43.48,60,591,197300,22.48,63.98,97.8,0.304
2023,SA5742,11.65,176,725.6,96,2.3,53,17126,161,74,655,39.43,39,518,36452,6.7,4.08,77.8,0.33
2020,SA8044,11.99,118,508.0,19,24.87,26,60380,152,57,114,47.77,1,361,44006,29.72,5.74,69.3,0.221
2023,SA2005,24.5,368,847.6,19,12.42,23,228391,134,68,773,52.76,8,105,15168,15.34,23.03,74.9,0.295
2020,SA9901,20.09,14,101.8,91,16.99,45,171462,214,108,597,28.01,65,504,218228,18.72,36.37,0.3,0.845
2019,SA7820,17.64,72,245.6,68,24.85,26,141014,164,45,609,64.83,22,502,114251,47.11,87.89,56.2,0.326
2025,SA1207,7.08,339,23.4,28,14.76,54,196285,165,66,231,0.62,75,636,240427,17.18,25.38,84.0,0.866
2018,SA9720,2.73,374,103.9,62,5.94,40,194817,180,33,124,71.79,73,551,205510,9.22,10.66,34.7,0.04
2023,SA7892,6.22,197,749.8,40,5.7,1,127991,148,33,85,78.16,32,123,160613,10.1,56.18,72.9,0.571
2018,SA6669,0.34,214,689.5,99,7.17,58,125417,41,105,198,78.39,39,488,41751,15.31,98.11,98.4,0.472
2019,SA2681,13.77,254,867.2,85,20.46,13,223865,172,27,387,24.78,62,332,15350,49.94,8.23,15.5,0.228
2019,SA8493,19.82,220,168.3,5,3.73,21,69507,236,112,133,42.66,62,345,146547,33.02,23.27,77.1,0.644
2020,SA2925,20.67,168,520.5,4,15.52,16,206034,108,64,356,76.37,3,425,162733,54.8,15.97,53.7,0.213
2026,SA5832,5.47,115,728.4,52,7.34,31,114433,79,80,820,66.97,4,259,161079,3.79,26.39,53.9,0.793
2024,SA5444,3.67,275,90.8,86,11.41,21,143744,20,47,490,60.18,4,220,42972,28.97,82.49,21.1,0.13
2018,SA2259,1.65,224,248.1,50,3.32,26,44448,146,24,581,15.41,48,16,192660,44.6,56.32,99.4,0.069
2023,SA8888,11.49,272,657.2,24,7.92,42,5819,28,11,355,11.03,52,572,188318,44.96,78.1,52.4,0.946
2018,SA5065,5.18,253,213.5,4,13.97,42,198642,190,78,38,62.66,20,73,84763,27.12,35.09,79.7,0.05
