demo_household_survey_year,demo_household_household_id_sample,demo_household_country_iso2,demo_household_region_nuts_code,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_household_size,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly_eur,demo_household_sampling_stratum
2021,EUHH2021000050,NL,DE8,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,2,0,0,63.38,2.23,2,FIBER,EN,SOME,19,493.2,RURAL_LOW_DENSITY
2022,EUHH2022000051,PT,NL802,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,0,0,0,43.83,1.17,2,DSL,PT,NONE,9,0.0,RURAL_AGRI
2023,EUHH2023000052,SK,CY8,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,4,0,0,48.06,1.24,2,MOBILE,DE,SEVERE,16,770.81,INTERMEDIATE_TOWNS
2024,EUHH2024000053,ES,SI22,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,3,0,0,40.56,0.61,3,NONE,BG,SOME,11,1006.26,COASTAL_TOURISM
2025,EUHH2025000054,AT,LT399,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,0,0,0,47.26,1.44,4,CABLE,FR,NONE,15,0.0,URBAN_HIGH_INCOME
2026,EUHH2026000055,BG,HR47,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,2,0,0,18.8,1.14,2,FIBER,HR,SEVERE,22,30.11,URBAN_MIXED
2019,EUHH2019000056,CY,BE19,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,28.36,1.95,2,DSL,ES,SOME,55,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000057,DK,RO88,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,12.1,2.11,2,MOBILE,DA,NONE,9,526.05,RURAL_AGRI
2021,EUHH2021000058,FI,IT72,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,19.81,1.65,4,NONE,IT,SEVERE,34,10.81,INTERMEDIATE_TOWNS
2022,EUHH2022000059,DE,SI47,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,1,0,22.36,1.98,4,CABLE,ET,SOME,8,23.4,COASTAL_TOURISM
2023,EUHH2023000060,HU,IE81,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,0,0,0,42.3,1.66,0,FIBER,PL,NONE,38,0.0,URBAN_HIGH_INCOME
2024,EUHH2024000061,IT,FR254,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,2,1,0,42.89,0.82,4,DSL,LV,SEVERE,45,490.34,URBAN_MIXED
2025,EUHH2025000062,LT,IT64,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,6,1,0,36.61,1.07,4,MOBILE,RO,SOME,4,1433.54,RURAL_LOW_DENSITY
2026,EUHH2026000063,MT,LT23,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,3,1,0,30.61,2.2,4,NONE,LT,NONE,6,802.65,RURAL_AGRI
2019,EUHH2019000064,PL,GR86,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,63.16,1.74,0,CABLE,NL,SEVERE,48,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000065,RO,DK2,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,40.16,1.76,3,FIBER,GA,SOME,21,1468.55,COASTAL_TOURISM
2021,EUHH2021000066,SI,PL785,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,62.55,2.41,4,DSL,SV,NONE,4,683.51,URBAN_HIGH_INCOME
2022,EUHH2022000067,SE,FI11,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,0,0,0,52.03,1.45,2,MOBILE,MT,SEVERE,43,0.0,URBAN_MIXED
2023,EUHH2023000068,BE,MT3,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,0,0,0,48.09,1.43,0,NONE,FI,SOME,33,0.0,RURAL_LOW_DENSITY
2024,EUHH2024000069,HR,BE1,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,2,0,0,13.08,1.94,0,CABLE,SK,NONE,65,125.47,RURAL_AGRI
2025,EUHH2025000070,CZ,ES25,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,4,0,0,18.72,0.66,3,FIBER,EL,SEVERE,48,358.74,INTERMEDIATE_TOWNS
2026,EUHH2026000071,EE,BG589,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,1,0,0,34.7,0.97,3,DSL,SL,SOME,28,1249.09,COASTAL_TOURISM
2019,EUHH2019000072,FR,BG531,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,60.71,0.73,1,MOBILE,HU,NONE,18,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000073,GR,ES70,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,30.08,0.7,4,NONE,CY,SEVERE,6,390.55,URBAN_MIXED
2021,EUHH2021000074,IE,DE34,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,1,0,0,28.18,1.32,1,CABLE,CS,SOME,21,627.49,RURAL_LOW_DENSITY
2022,EUHH2022000075,LV,EE36,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,3,0,0,28.79,1.9,0,FIBER,EN,NONE,44,1291.82,RURAL_AGRI
2023,EUHH2023000076,LU,RO475,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,4,0,0,17.34,1.27,2,DSL,PT,SEVERE,12,292.11,INTERMEDIATE_TOWNS
2024,EUHH2024000077,NL,AT22,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,5,0,0,44.95,1.56,1,MOBILE,DE,SOME,53,88.85,COASTAL_TOURISM
2025,EUHH2025000078,PT,DE471,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,3,0,0,51.48,1.94,4,NONE,BG,NONE,58,234.5,URBAN_HIGH_INCOME
2026,EUHH2026000079,SK,MT762,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,2,0,0,50.54,0.8,1,CABLE,FR,SEVERE,14,1375.29,URBAN_MIXED
2019,EUHH2019000080,ES,FR379,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,23.91,2.34,4,FIBER,HR,SOME,78,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000081,AT,RO696,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,10.79,1.04,2,DSL,ES,NONE,53,465.71,RURAL_AGRI
2021,EUHH2021000082,BG,LV394,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,0,0,0,68.27,2.75,1,MOBILE,DA,SEVERE,46,0.0,INTERMEDIATE_TOWNS
2022,EUHH2022000083,CY,MT397,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,2,0,0,16.27,0.69,3,NONE,IT,SOME,16,810.03,COASTAL_TOURISM
2023,EUHH2023000084,DK,DK812,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,4,0,0,16.9,1.02,2,CABLE,ET,NONE,26,540.0,URBAN_HIGH_INCOME
2024,EUHH2024000085,FI,SK426,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,3,0,0,45.04,1.78,4,FIBER,PL,SEVERE,40,1385.69,URBAN_MIXED
2025,EUHH2025000086,DE,ES476,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,2,0,0,63.81,1.84,1,DSL,LV,SOME,41,95.69,RURAL_LOW_DENSITY
2026,EUHH2026000087,HU,IE718,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,3,0,0,36.6,0.99,2,MOBILE,RO,NONE,79,667.8,RURAL_AGRI
2019,EUHH2019000088,IT,CZ858,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,30.88,1.29,1,NONE,LT,SEVERE,65,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000089,LT,SK43,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,55.5,1.73,4,CABLE,NL,SOME,42,1492.86,COASTAL_TOURISM
2021,EUHH2021000090,MT,HR7,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,1,0,0,39.84,1.54,3,FIBER,GA,NONE,54,520.58,URBAN_HIGH_INCOME
2022,EUHH2022000091,PL,GR44,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,3,1,0,10.22,0.61,1,DSL,SV,SEVERE,16,941.11,URBAN_MIXED
2023,EUHH2023000092,RO,CY9,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,1,0,0,54.41,2.14,4,MOBILE,MT,SOME,63,534.66,RURAL_LOW_DENSITY
2024,EUHH2024000093,SI,FR37,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,1,0,0,49.22,1.18,0,NONE,FI,NONE,38,430.87,RURAL_AGRI
2025,EUHH2025000094,SE,SE9,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,4,1,0,56.53,1.23,2,CABLE,SK,SEVERE,58,432.81,INTERMEDIATE_TOWNS
2026,EUHH2026000095,BE,EE2,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,4,0,0,45.87,1.96,4,FIBER,EL,SOME,25,842.89,COASTAL_TOURISM
2019,EUHH2019000096,HR,EE4,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,28.53,1.42,2,DSL,SL,NONE,27,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000097,CZ,RO972,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,0,0,0,45.51,1.02,2,MOBILE,HU,SEVERE,31,0.0,URBAN_MIXED
2021,EUHH2021000098,EE,IE954,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,27.08,2.72,2,NONE,CY,SOME,8,735.28,RURAL_LOW_DENSITY
2022,EUHH2022000099,FR,AT941,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,0,0,56.33,1.52,0,CABLE,CS,NONE,55,1429.28,RURAL_AGRI
2023,EUHH2023000100,GR,LU2,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,4,0,0,41.73,2.17,1,FIBER,EN,SEVERE,32,705.32,INTERMEDIATE_TOWNS
2024,EUHH2024000101,IE,SK73,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,2,0,0,25.86,2.56,0,DSL,PT,SOME,69,69.64,COASTAL_TOURISM
2025,EUHH2025000102,LV,GR669,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,0,1,0,18.87,0.64,1,MOBILE,DE,NONE,13,0.0,URBAN_HIGH_INCOME
2026,EUHH2026000103,LU,DK72,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,5,1,0,42.84,2.71,0,NONE,BG,SEVERE,22,144.8,URBAN_MIXED
2019,EUHH2019000104,NL,CY1,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,32.14,1.73,1,CABLE,FR,SOME,24,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000105,PT,IT8,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,41.11,2.6,0,FIBER,HR,NONE,33,1464.27,RURAL_AGRI
2021,EUHH2021000106,SK,LU70,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,1,0,0,31.6,1.11,1,DSL,ES,SEVERE,52,1115.73,INTERMEDIATE_TOWNS
2022,EUHH2022000107,ES,CY906,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,3,1,0,24.17,1.3,3,MOBILE,DA,SOME,13,504.11,COASTAL_TOURISM
2023,EUHH2023000108,AT,DK3,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,0,0,0,13.1,1.96,3,NONE,IT,NONE,69,0.0,URBAN_HIGH_INCOME
2024,EUHH2024000109,BG,LT606,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,5,0,0,40.78,2.38,0,CABLE,ET,SEVERE,15,958.3,URBAN_MIXED
2025,EUHH2025000110,CY,FI580,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,6,0,0,18.52,1.53,2,FIBER,PL,SOME,23,293.54,RURAL_LOW_DENSITY
2026,EUHH2026000111,DK,FR41,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,1,0,0,30.56,1.34,2,DSL,LV,NONE,53,916.24,RURAL_AGRI
2019,EUHH2019000112,FI,HR5,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,18.5,2.18,4,MOBILE,RO,SEVERE,24,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000113,DE,IE19,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,0,0,0,7.28,2.53,2,NONE,LT,SOME,56,0.0,COASTAL_TOURISM
2021,EUHH2021000114,HU,NL571,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,0,0,0,41.89,1.14,1,CABLE,NL,NONE,70,0.0,URBAN_HIGH_INCOME
2022,EUHH2022000115,IT,DE225,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,0,0,0,27.15,0.9,4,FIBER,GA,SEVERE,60,0.0,URBAN_MIXED
2023,EUHH2023000116,LT,RO20,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,3,0,0,15.51,1.44,1,DSL,SV,SOME,27,494.6,RURAL_LOW_DENSITY
2024,EUHH2024000117,MT,FI68,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,2,1,0,48.93,1.11,4,MOBILE,MT,NONE,78,1139.77,RURAL_AGRI
2025,EUHH2025000118,PL,HR802,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,4,0,0,44.46,0.77,2,NONE,FI,SEVERE,1,722.55,INTERMEDIATE_TOWNS
2026,EUHH2026000119,RO,GR72,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,4,0,0,65.97,2.78,4,CABLE,SK,SOME,73,910.05,COASTAL_TOURISM
2019,EUHH2019000120,SI,RO84,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,48.41,2.69,4,FIBER,EL,NONE,15,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000121,SE,BE621,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,41.93,1.84,3,DSL,SL,SEVERE,34,583.16,URBAN_MIXED
2021,EUHH2021000122,BE,SE613,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,1,0,0,20.24,2.05,4,MOBILE,HU,SOME,1,54.18,RURAL_LOW_DENSITY
2022,EUHH2022000123,HR,IT6,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,2,1,0,26.9,1.69,2,NONE,CY,NONE,66,1140.79,RURAL_AGRI
2023,EUHH2023000124,CZ,AT49,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,1,0,0,64.89,1.06,1,CABLE,CS,SEVERE,25,248.73,INTERMEDIATE_TOWNS
2024,EUHH2024000125,EE,LV811,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,3,1,0,37.81,2.39,4,FIBER,EN,SOME,51,612.6,COASTAL_TOURISM
2025,EUHH2025000126,FR,CY811,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,3,0,0,57.6,2.66,2,DSL,PT,NONE,69,1249.99,URBAN_HIGH_INCOME
2026,EUHH2026000127,GR,LU24,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,2,1,0,10.78,0.96,0,MOBILE,DE,SEVERE,7,1068.59,URBAN_MIXED
2019,EUHH2019000128,IE,DE6,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,31.33,2.5,0,NONE,BG,SOME,39,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000129,LV,FR3,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,45.02,2.45,1,CABLE,FR,NONE,78,1402.31,RURAL_AGRI
2021,EUHH2021000130,LU,AT39,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,2,0,0,28.64,2.34,1,FIBER,HR,SEVERE,10,27.31,INTERMEDIATE_TOWNS
2022,EUHH2022000131,NL,DE627,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,2,0,0,9.32,0.7,1,DSL,ES,SOME,7,1497.43,COASTAL_TOURISM
2023,EUHH2023000132,PT,BE25,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,4,1,0,26.48,1.51,4,MOBILE,DA,NONE,80,818.69,URBAN_HIGH_INCOME
