tax_sales_collection_month,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_tax_rate_pct,tax_sales_gross_taxable_sales_usd,tax_sales_tax_collected_usd,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_usd,tax_sales_interest_assessed_usd,tax_sales_exempt_sales_usd,tax_sales_ecommerce_sales_share_pct,tax_sales_marketplace_facilitator_flag,tax_sales_audit_assessment_total_usd,tax_sales_compliance_gap_estimate,tax_sales_seasonality_index,tax_sales_holiday_sales_event_flag,tax_sales_refunds_issued_usd,tax_sales_data_certification_level
2014-05,JUR0000029,GROCERY,1.276,155042505662.57,1937372708.1,161674,MONTHLY,12.18,894050953.78,749662905.93,10762333828.37,73.85,0,3441606639.3,0.0887,0.6106,0,8678149244.42,CERTIFIED
2014-06,JUR0000030,LODGING,11.407,91504224502.09,8808199716.44,420993,MONTHLY,2.78,1751679392.73,144432982.95,13641883495.84,61.47,0,7654832881.65,0.0873,1.2838,0,1811091256.37,PROVISIONAL
2014-07,JUR0000031,LODGING,7.077,218356021590.86,11715567997.81,67834,QUARTERLY,9.47,2370802229.22,409127860.49,8315239473.02,55.12,1,8572250503.99,0.4536,1.3293,1,3764761413.96,CERTIFIED
2014-08,JUR0000032,ALCOHOL,8.907,17441960947.26,1284905327.75,341970,MONTHLY,17.0,111616113.01,295710135.69,2152750138.7,27.17,1,9595672396.83,0.3534,0.6454,1,3107892330.03,CERTIFIED
2014-09,JUR0000033,LODGING,11.788,182526234247.62,16775118117.45,433228,MIXED,5.66,70876143.71,247992482.34,51039384402.53,48.55,0,10537879538.98,0.5723,1.4993,0,565753631.16,CERTIFIED
2014-10,JUR0000034,RESTAURANT,3.778,80846017584.22,2839091962.69,241754,MONTHLY,11.67,1458267142.91,119642007.7,7252970747.45,9.85,0,531850077.03,0.166,1.0473,0,7947503421.65,CERTIFIED
2014-11,JUR0000035,TOBACCO,6.703,138405678902.23,6987503633.0,341784,MIXED,17.73,610267862.87,524362272.83,21713632771.74,21.68,0,79857690.16,0.3252,1.3248,1,8765599441.3,PROVISIONAL
2014-12,JUR0000036,ALCOHOL,5.303,178542726726.63,7528209524.3,74785,MONTHLY,12.83,570659443.69,837763628.34,59626336307.96,17.73,1,597090550.91,0.1966,1.3261,0,8789618111.66,CERTIFIED
2015-01,JUR0000037,FUEL,7.686,123100388242.27,7169692022.08,44318,MONTHLY,0.95,1422302865.23,797526404.11,23565738930.0,12.0,1,2835160393.89,0.1325,1.0922,0,2485201598.68,CERTIFIED
2015-02,JUR0000038,LODGING,6.763,112026094593.24,6177634426.68,61204,MONTHLY,4.74,319554413.74,76228107.81,14670039268.88,73.73,0,4690138146.11,0.4362,0.7145,0,5825201697.69,CERTIFIED
2015-03,JUR0000039,FUEL,4.655,159249018409.08,6265712722.9,375897,MONTHLY,6.92,2200468003.82,354424857.02,21620617466.11,83.12,1,10857736487.12,0.829,1.1718,0,5150747770.07,CERTIFIED
2015-04,JUR0000040,GROCERY,2.881,10982029372.92,221858214.05,320279,MONTHLY,12.65,2113903384.33,732749189.78,622942929.68,44.75,0,2815221830.04,0.5701,0.7039,0,4250583791.18,CERTIFIED
2015-05,JUR0000041,AUTO,6.494,200530941914.17,10855581269.7,434629,QUARTERLY,12.43,202785616.1,702122097.09,29605650313.53,56.59,1,1844085265.62,0.0221,1.3285,0,5767377275.49,CERTIFIED
2015-06,JUR0000042,SERVICES,4.166,23507455171.97,804950451.59,169433,MONTHLY,0.86,1826785249.65,681299848.2,272244931.44,18.67,1,9488713874.1,0.5922,1.4603,0,3539096247.14,PROVISIONAL
2015-07,JUR0000043,LODGING,8.381,11855789433.06,780734769.84,396140,MONTHLY,8.29,235571001.76,332725370.63,3171959616.07,9.45,1,8987386579.65,0.3325,1.1302,0,2850340240.01,CERTIFIED
2015-08,JUR0000044,FUEL,4.268,164739758328.28,5598461193.88,327734,MONTHLY,13.6,1605654208.75,505454381.01,29721960817.25,58.89,1,6633199800.33,0.9158,0.8477,0,8891984730.97,CERTIFIED
2015-09,JUR0000045,SERVICES,9.939,34546263335.02,2721087059.13,43673,QUARTERLY,9.4,1890544971.29,83667967.16,8144658005.42,37.74,0,3089787733.2,0.7097,1.4059,0,1609016381.65,CERTIFIED
2015-10,JUR0000046,GROCERY,8.525,174977276716.97,13263480096.78,410497,MIXED,6.54,1735299487.22,664483645.11,54222042866.41,67.2,0,3111547691.92,0.3384,1.2578,0,8628386570.71,UNCERTIFIED
2015-11,JUR0000047,AUTO,2.012,138527598383.14,2437924687.8,63014,MONTHLY,10.79,825669216.61,389553719.82,26188430367.63,46.57,0,638085221.59,0.4275,0.6172,0,7732239476.18,AUDITED
2015-12,JUR0000048,SERVICES,5.634,146342349825.61,6972485685.1,154440,MONTHLY,17.01,1555183160.97,771787058.34,7966917674.86,72.36,0,4303595098.44,0.4202,1.3816,0,2530879176.71,PROVISIONAL
2016-01,JUR0000049,DIGITAL_GOODS,9.756,142242418269.85,10871460225.97,264831,MONTHLY,16.67,1544195290.19,580835017.13,41759169100.33,57.75,1,484841587.74,0.0253,1.4288,1,3895239853.98,UNCERTIFIED
2016-02,JUR0000050,SERVICES,7.289,201086014175.22,11345740069.61,228236,MONTHLY,13.13,1104380538.41,743241206.19,11618054197.98,23.13,1,7061320843.98,0.258,0.9824,1,1552236015.12,PROVISIONAL
2016-03,JUR0000051,SERVICES,7.324,236242589680.76,14588164209.75,134914,MIXED,14.16,1798127484.28,568325209.95,52987050487.69,68.98,1,1243842270.76,0.8204,1.2354,1,8665705816.68,PROVISIONAL
2016-04,JUR0000052,LODGING,2.645,164802607008.82,4116963351.41,393085,ANNUAL,3.76,156537487.26,824006925.05,36340583258.11,40.13,1,4831851495.81,0.7788,0.9313,0,180732992.09,AUDITED
2016-05,JUR0000053,LODGING,3.352,241363321745.67,6332312418.46,106227,MONTHLY,2.95,856853250.13,126621726.35,46998125347.83,52.93,1,6113878314.61,0.8458,1.1859,0,6287013732.18,CERTIFIED
2016-06,JUR0000054,GROCERY,9.847,116346052399.09,10773372857.7,89096,MONTHLY,12.22,684426568.51,187783985.45,5229440881.72,41.11,0,9740990450.25,0.7031,1.4719,0,7375802535.66,CERTIFIED
2016-07,JUR0000055,GENERAL,3.689,157501067586.14,5228666717.65,373704,QUARTERLY,2.72,22202495.48,66928905.44,43429432470.36,44.97,0,1277471620.68,0.7994,1.33,0,7225193212.52,PROVISIONAL
2016-08,JUR0000056,ALCOHOL,4.509,47807453150.49,1539788286.47,206251,QUARTERLY,15.1,2329635202.68,511060442.21,15505284783.89,13.46,1,5004387416.3,0.5403,0.9595,0,5089242881.42,AUDITED
2016-09,JUR0000057,ALCOHOL,11.314,52880239743.53,5837373883.4,38048,MONTHLY,3.26,1420991914.38,338992818.95,2654366917.17,77.15,1,2115922851.34,0.2428,0.8405,0,5387603097.62,CERTIFIED
2016-10,JUR0000058,DIGITAL_GOODS,9.628,40521994240.66,3545703857.1,106327,QUARTERLY,2.65,2185542585.48,842467844.59,11688791288.82,32.5,0,9323295215.59,0.9807,1.1074,1,7769187826.4,UNCERTIFIED
2016-11,JUR0000059,LODGING,7.785,59676375900.6,3838951008.53,338408,MONTHLY,14.86,679127074.63,258967377.94,20588121825.73,32.81,0,2070093400.01,0.5823,0.6439,0,5308495523.4,UNCERTIFIED
2016-12,JUR0000060,TOBACCO,3.42,80413212409.97,2616693203.29,128560,QUARTERLY,15.24,1570032534.43,95235067.16,13064784836.47,67.94,0,5883776296.83,0.8909,1.129,0,4158361055.77,PROVISIONAL
2017-01,JUR0000061,GENERAL,0.413,244397755320.59,765841930.42,441152,MONTHLY,5.28,2156994068.66,383142152.11,53388661931.16,34.18,1,9934431915.18,0.5882,1.3401,0,1685898030.11,UNCERTIFIED
2017-02,JUR0000062,RESTAURANT,1.523,47120168763.78,701240578.84,361357,MONTHLY,11.08,2208255206.52,247548225.83,270649169.89,44.53,0,7309846049.75,0.1274,0.7308,1,4702095370.3,UNCERTIFIED
2017-03,JUR0000063,DIGITAL_GOODS,7.467,17679503432.42,979330465.45,106997,MONTHLY,6.85,175141027.59,625783541.75,3982147609.65,56.74,1,7194837647.13,0.5335,1.2845,1,1428790657.3,CERTIFIED
2017-04,JUR0000064,AUTO,8.334,201785493860.01,13581936310.03,23936,MONTHLY,13.74,1583248088.72,520418861.32,40586701561.38,64.19,0,3745022482.6,0.951,1.4067,0,2341345204.7,CERTIFIED
2017-05,JUR0000065,FUEL,8.339,106988084895.19,7962566684.22,42628,MIXED,16.61,954565508.79,748162616.62,7015421886.73,52.41,0,1131355071.12,0.236,0.8121,0,3173508908.97,CERTIFIED
2017-06,JUR0000066,SERVICES,1.194,198641557414.2,1813577419.99,249031,MONTHLY,0.94,1769633137.53,540886085.02,23617716497.37,59.38,1,4337973601.34,0.9826,0.706,0,3165187349.27,CERTIFIED
2017-07,JUR0000067,FUEL,11.576,103780351601.67,9184150151.12,219095,MONTHLY,14.32,2272312902.14,589476869.24,30664439121.8,69.28,1,3330452299.7,0.2241,0.7681,0,4978856990.06,AUDITED
2017-08,JUR0000068,ALCOHOL,2.887,160173144370.05,3647764172.89,70343,QUARTERLY,8.21,658753299.87,283808141.18,45810305153.12,63.42,0,4552480430.8,0.9195,1.0843,0,5835788702.19,CERTIFIED
2017-09,JUR0000069,LODGING,3.12,231554429145.0,6640561779.3,399044,QUARTERLY,15.08,894226650.28,564120592.93,80264611588.08,75.62,1,5754261582.07,0.2246,0.8187,0,5020243273.31,CERTIFIED
2017-10,JUR0000070,LODGING,3.972,188061698459.36,6169021874.74,1272,MIXED,11.46,383645497.48,497057621.81,60006908612.96,20.05,0,9862434004.52,0.9,1.1769,1,3989682180.1,CERTIFIED
2017-11,JUR0000071,DIGITAL_GOODS,2.446,175391276339.04,3280645054.38,250469,MONTHLY,4.46,165038828.56,475117894.94,33846706357.34,79.35,0,9357072005.64,0.8278,1.3915,0,3088997462.24,CERTIFIED
2017-12,JUR0000072,AUTO,8.648,134249360207.95,10406949488.35,383239,MIXED,11.04,736706572.86,251364825.77,17234914961.44,71.19,1,8014645850.5,0.3333,0.6595,0,8083101865.47,AUDITED
2018-01,JUR0000073,GENERAL,0.718,4064752956.73,22805848.78,331835,QUARTERLY,2.44,2443414384.74,703506324.52,43753459.44,3.76,0,3659217410.64,0.1787,1.4911,0,5391070354.84,CERTIFIED
2018-02,JUR0000074,TOBACCO,3.623,205077255375.97,6972990379.88,431552,MONTHLY,3.47,1127772101.16,130486996.14,39363144904.29,0.55,0,5295486295.33,0.0946,1.0221,1,117241101.32,UNCERTIFIED
2018-03,JUR0000075,GENERAL,8.488,105159664025.03,6462777125.14,325734,MONTHLY,12.37,1197917848.63,803670214.87,16718944128.91,60.11,0,2042278257.46,0.2623,1.2719,0,5965045102.59,CERTIFIED
2018-04,JUR0000076,RESTAURANT,5.437,53399807236.63,2574164730.8,104399,QUARTERLY,0.82,146943224.31,710724793.82,16022174984.94,26.51,0,10397412709.86,0.7997,1.0169,0,6047654841.97,CERTIFIED
2018-05,JUR0000077,SERVICES,10.982,168843279052.33,16382708050.01,188848,MONTHLY,10.56,2385389251.37,337881961.65,39418995315.06,17.95,0,4980765631.14,0.3622,1.0147,0,2926246763.14,UNCERTIFIED
2018-06,JUR0000078,FUEL,0.704,224082524332.36,1235830876.51,258730,MONTHLY,16.58,431774148.13,9436000.96,55787985819.35,52.57,0,4374326713.0,0.7505,1.0896,1,7558512055.69,CERTIFIED
2018-07,JUR0000079,FUEL,0.686,45033129488.25,283750002.57,168853,MONTHLY,14.26,2260058534.67,58457343.08,10933455452.92,3.98,0,10387843865.44,0.13,0.9972,0,4143551803.6,UNCERTIFIED
2018-08,JUR0000080,AUTO,8.87,94772050879.06,6863526150.96,146078,QUARTERLY,1.5,738009292.77,542395073.88,7578833338.79,10.54,1,2154637377.03,0.561,1.3759,0,7175982610.87,PROVISIONAL
2018-09,JUR0000081,SERVICES,4.031,106291959769.02,3222587638.91,172037,MIXED,4.83,2204664018.85,158719793.72,8326545389.42,38.65,1,5886207686.38,0.5259,1.1592,0,2599474305.74,CERTIFIED
2018-10,JUR0000082,TOBACCO,10.97,237505443985.74,18411753322.99,130051,MONTHLY,14.3,1619917823.73,767176880.75,38448626843.01,79.85,0,7711336846.36,0.9828,1.2744,0,1671968985.68,PROVISIONAL
2018-11,JUR0000083,SERVICES,10.403,167868857887.62,16001796663.61,44029,QUARTERLY,7.53,861865899.67,196835936.69,34420479041.07,36.33,1,4098349718.05,0.3773,1.2946,0,4232872939.67,CERTIFIED
2018-12,JUR0000084,SERVICES,3.697,164795777834.45,5361276643.14,203062,MIXED,4.97,934158533.86,614532635.71,24382693059.28,4.74,0,8378317484.05,0.6307,1.4843,1,1351690577.2,CERTIFIED
2019-01,JUR0000085,DIGITAL_GOODS,3.775,239927372016.42,7955620256.5,445117,MIXED,12.95,2218633084.63,586802868.5,2435370315.4,16.44,0,8335057872.62,0.1158,0.7701,0,628005852.61,CERTIFIED
2019-02,JUR0000086,RESTAURANT,3.422,199306161632.27,4976314175.25,310865,MIXED,10.45,1719005634.44,444492410.06,58226846700.11,82.5,0,9746704344.72,0.5434,1.499,0,2187769915.95,PROVISIONAL
2019-03,JUR0000087,FUEL,4.315,234823826810.51,8809213352.49,173070,MONTHLY,12.66,2434737540.98,714440314.76,72218549414.17,54.27,0,4314802779.75,0.0516,1.3973,0,6041602590.94,AUDITED
2019-04,JUR0000088,RESTAURANT,3.902,10834829507.47,327836052.88,242407,MONTHLY,10.91,536853797.09,727075474.39,1818822981.27,83.99,0,8716915150.33,0.7154,1.3347,0,5936393160.29,CERTIFIED
2019-05,JUR0000089,ALCOHOL,9.616,24849865537.15,1982850486.91,247588,ANNUAL,7.96,2218299479.18,689261454.74,4666946391.79,69.57,0,2203973418.18,0.2259,1.2211,0,6780390115.46,AUDITED
2019-06,JUR0000090,LODGING,10.625,14931879698.08,1464269384.45,3436,MONTHLY,9.75,629320431.36,195462682.55,718499106.8,37.35,0,8423918948.28,0.1732,1.3085,0,7740744813.99,UNCERTIFIED
2019-07,JUR0000091,SERVICES,7.694,126320914231.92,9477443157.21,340668,QUARTERLY,17.57,2158444142.15,6887504.37,20823937665.4,62.04,0,11821088739.05,0.5388,1.1081,0,8208937353.5,AUDITED
2019-08,JUR0000092,SERVICES,4.722,190827354901.12,8026742458.88,241882,MONTHLY,12.52,1552468195.19,306381267.68,36806955733.17,64.86,0,7804834711.93,0.0876,1.367,0,6210475482.49,PROVISIONAL
2019-09,JUR0000093,DIGITAL_GOODS,10.527,3013270908.25,265025893.86,126090,MONTHLY,6.08,1622722785.1,500179954.59,967190944.09,2.22,0,6048388652.46,0.2664,1.3886,0,2714619087.75,PROVISIONAL
2019-10,JUR0000094,FUEL,2.34,208226305137.52,4219679421.23,317083,QUARTERLY,3.49,1415643332.76,419481282.76,50968075043.21,83.28,1,1669438506.65,0.6254,1.324,0,3070377954.8,PROVISIONAL
2019-11,JUR0000095,AUTO,6.728,9000216913.02,572071242.84,233557,MIXED,3.83,188575909.13,328844820.2,1552585850.44,9.31,0,1844136056.26,0.9088,1.4859,1,5871023485.67,CERTIFIED
2019-12,JUR0000096,AUTO,2.297,152958059367.58,2695593273.93,361678,QUARTERLY,17.31,1433647011.03,523481169.89,29410454081.99,58.46,1,956558139.14,0.7709,1.0447,0,6466782674.8,PROVISIONAL
2020-01,JUR0000097,RESTAURANT,3.111,197592650107.96,5364941975.92,84492,MONTHLY,4.51,2339385751.64,643927966.7,8974850601.56,37.5,1,831442526.02,0.4987,1.423,0,8212952584.5,AUDITED
2020-02,JUR0000098,FUEL,8.721,84978520650.16,7135853189.97,267222,MONTHLY,12.27,1858671030.4,151817951.65,22244505434.79,68.85,1,10324191160.06,0.6581,1.2506,0,3259922529.97,CERTIFIED
2020-03,JUR0000099,FUEL,5.059,106238552659.46,5182907190.69,449814,MONTHLY,14.47,543202227.08,640770488.49,27868924364.47,11.11,1,6940234387.65,0.0812,1.202,0,1820975676.4,CERTIFIED
2020-04,JUR0000100,SERVICES,8.141,138794416661.38,8136805949.82,391225,MONTHLY,5.64,2159232784.46,289913341.71,15804034068.65,5.23,1,1535177370.77,0.5433,0.6904,0,4877237043.29,CERTIFIED
2020-05,JUR0000101,LODGING,3.405,182405846231.37,5009671141.75,85729,QUARTERLY,3.17,1635945681.23,242845284.99,22821472294.13,10.11,0,7818758723.83,0.3365,0.6255,1,3892509579.1,PROVISIONAL
2020-06,JUR0000102,ALCOHOL,0.666,236458616580.89,1160289127.93,174328,MIXED,15.18,1041617479.82,78858876.26,76931148372.24,70.27,1,11817576029.2,0.9793,1.383,1,1500412333.19,CERTIFIED
2020-07,JUR0000103,GROCERY,4.342,189713276284.31,6301077337.86,179329,MONTHLY,15.01,701621925.13,726568315.04,30929067256.31,66.53,1,2247396048.79,0.3836,1.3825,1,4358767033.28,PROVISIONAL
2020-08,JUR0000104,AUTO,1.082,24709621512.94,240865906.32,98315,MONTHLY,10.69,9765446.28,420690676.68,714902544.57,71.58,1,7265548049.03,0.8669,1.0403,1,2397900994.55,PROVISIONAL
2020-09,JUR0000105,GENERAL,4.065,164512554882.75,5087232494.87,366569,MONTHLY,14.29,1351818915.58,723959574.34,44812021237.84,43.1,0,10079149288.47,0.4313,1.1512,0,3726156481.12,UNCERTIFIED
2020-10,JUR0000106,TOBACCO,10.432,3050544190.29,243729958.41,332543,MONTHLY,13.51,2234593631.8,144209078.96,180854080.31,19.74,0,6697738272.3,0.3175,0.7038,0,1415833023.93,PROVISIONAL
2020-11,JUR0000107,ALCOHOL,6.282,146494013885.3,7909735933.02,364273,MONTHLY,17.07,1150155427.06,761246625.34,2391077597.05,71.32,0,8627606379.72,0.0788,0.976,0,5519082138.33,CERTIFIED
2020-12,JUR0000108,GENERAL,0.115,7257608555.2,7300378.69,374656,QUARTERLY,7.26,1453934934.75,160442886.86,100895929.01,79.66,1,10028719445.58,0.6732,0.6185,0,5120025079.4,UNCERTIFIED
2021-01,JUR0000109,AUTO,8.814,75994057593.14,4912591154.01,314094,QUARTERLY,10.92,1514658748.92,483099170.99,7840879079.3,70.72,0,7552788040.66,0.0516,0.8183,0,8064064286.23,CERTIFIED
2021-02,JUR0000110,FUEL,2.405,104862783063.89,2330467649.08,297983,MONTHLY,2.78,1196758648.69,408496679.72,16139863049.93,13.68,0,11439039319.87,0.9066,0.7,0,1523251237.91,PROVISIONAL
2021-03,JUR0000111,AUTO,7.766,129007611945.32,7241958849.19,120023,QUARTERLY,7.63,1541730157.01,611721412.78,2772547375.14,81.04,1,9422946413.79,0.8473,0.8487,0,1986975090.16,PROVISIONAL
2021-04,JUR0000112,RESTAURANT,4.164,106046355090.71,3166218519.83,25801,QUARTERLY,10.67,2047084762.35,428883987.57,9527351812.34,62.43,0,4138301110.89,0.7638,0.96,0,20466466.68,UNCERTIFIED
2021-05,JUR0000113,ALCOHOL,2.801,99282523114.76,2144361041.64,409959,MONTHLY,15.26,1986269773.85,340598503.73,3512975495.07,25.32,0,2122746175.54,0.3081,0.7699,0,5247604924.68,PROVISIONAL
2021-06,JUR0000114,RESTAURANT,10.639,79625455415.3,7143357841.14,428574,MONTHLY,2.07,1299842083.28,44058522.28,2182450355.13,21.16,1,3757474320.12,0.2649,1.0866,0,4152751323.76,AUDITED
2021-07,JUR0000115,DIGITAL_GOODS,0.657,246624036331.03,1272856163.0,430660,MONTHLY,3.42,48223786.5,606378735.8,20727579752.83,32.84,0,3732406681.69,0.0278,1.2771,0,872767713.59,CERTIFIED
2021-08,JUR0000116,ALCOHOL,6.982,65853363606.65,3965222626.24,131721,MONTHLY,8.01,973883012.77,576988098.18,20903743702.73,21.89,1,8135515455.23,0.0576,0.7496,1,7413330275.24,UNCERTIFIED
2021-09,JUR0000117,TOBACCO,0.821,120600189265.6,710084354.57,7937,MONTHLY,8.79,2286521758.56,576100104.96,38026727977.42,50.66,1,2113645236.7,0.3363,1.3798,0,8066756905.98,AUDITED
2021-10,JUR0000118,RESTAURANT,9.102,154711238788.11,11876097466.68,278604,QUARTERLY,11.21,1118503348.83,716370943.25,18047290540.22,53.96,0,4959140983.12,0.8941,1.1826,0,4649511129.72,CERTIFIED
2021-11,JUR0000119,GROCERY,9.229,47545932867.85,3384684492.07,359037,MONTHLY,8.52,1744421340.05,766757462.23,16255707426.84,4.91,0,2836836444.87,0.3942,1.0064,0,1264001898.46,PROVISIONAL
2021-12,JUR0000120,LODGING,9.776,191577234033.13,16995873757.14,194370,MONTHLY,11.21,418478234.65,105179907.7,9098642089.43,47.6,1,3670239901.91,0.7356,0.8823,0,5301056103.96,PROVISIONAL
2022-01,JUR0000121,ALCOHOL,11.689,219374550964.18,23999076302.63,303124,MONTHLY,9.42,1419247030.7,655725986.25,5801745514.18,52.41,1,10912951337.13,0.0929,0.6152,0,8422834992.48,CERTIFIED
