trans_urban_reference_year,trans_urban_city_id,trans_urban_country_iso2,trans_urban_population_city,trans_urban_modal_share_public_transport_pct,trans_urban_modal_share_car_pct,trans_urban_modal_share_walk_pct,trans_urban_modal_share_bike_pct,trans_urban_pt_service_km_per_capita,trans_urban_pt_fare_affordability_index,trans_urban_bike_lane_km,trans_urban_shared_mobility_trips_per_capita,trans_urban_vision_zero_policy_flag,trans_urban_zero_emission_bus_share_pct,trans_urban_air_quality_low_emission_zone_flag,trans_urban_urban_logistics_plan_flag,trans_urban_congestion_charge_flag,trans_urban_data_source,trans_urban_data_quality_flag,trans_urban_data_extract_date
2024,MT_CITY_019,MT,379605,49.24,14.93,9.42,26.41,84.37,1.1035,214.51,107.47,1,59.15,1,0,0,NATIONAL_URBAN_STAT,1,2025-02-23
2025,ES_CITY_020,ES,4808259,26.32,43.3,22.57,7.81,33.309,0.4719,2152.0,150.48,0,98.41,0,0,1,CITY_MOBILITY_SURVEY,1,2025-03-23
2006,CZ_CITY_021,CZ,522183,43.31,35.96,7.84,12.89,20.965,0.4411,3176.46,55.02,1,42.91,1,0,1,URBAN_AUDIT,1,2026-02-16
2007,HU_CITY_022,HU,4401620,17.45,40.21,9.47,15.78,39.707,0.4036,664.37,89.5,1,9.15,1,0,0,MODEL_ESTIMATE,1,2024-05-04
2008,NL_CITY_023,NL,2451540,27.83,43.79,28.04,0.34,54.201,1.3404,1956.96,69.62,0,9.6,0,0,0,NATIONAL_URBAN_STAT,1,2024-12-07
2009,SE_CITY_024,SE,12427658,31.33,43.2,21.19,4.28,40.319,0.4638,741.97,126.01,1,13.03,1,0,0,CITY_MOBILITY_SURVEY,1,2025-04-05
2010,DK_CITY_025,DK,3901705,31.94,53.98,9.59,4.49,4.763,0.5919,303.08,120.51,0,23.65,0,1,0,URBAN_AUDIT,1,2024-12-23
2011,IE_CITY_026,IE,11981222,28.47,33.5,29.32,8.71,53.975,0.9463,1829.53,48.97,0,51.16,1,0,0,MODEL_ESTIMATE,1,2024-06-11
2012,PL_CITY_027,PL,5849212,38.37,24.99,12.76,23.88,18.528,1.0907,92.8,53.07,0,33.58,0,0,0,NATIONAL_URBAN_STAT,1,2024-11-29
2013,AT_CITY_028,AT,57658,26.46,33.43,35.02,5.09,7.719,1.0108,687.82,17.68,1,50.22,0,0,0,CITY_MOBILITY_SURVEY,1,2024-09-12
2014,EE_CITY_029,EE,4119478,12.75,37.53,43.1,6.62,17.095,0.5995,23.84,105.87,0,10.21,0,0,0,URBAN_AUDIT,1,2025-11-19
2015,IT_CITY_030,IT,2332861,27.19,17.12,37.25,18.44,24.855,1.59,1692.27,46.1,1,8.33,1,1,0,MODEL_ESTIMATE,1,2025-11-18
2016,PT_CITY_031,PT,8880434,11.18,42.08,9.13,8.09,15.963,0.9462,250.84,62.74,1,47.18,0,0,1,NATIONAL_URBAN_STAT,1,2025-05-26
2017,BE_CITY_032,BE,10539526,40.32,23.47,15.03,15.02,57.672,0.7754,2789.84,98.93,1,48.88,1,0,0,CITY_MOBILITY_SURVEY,1,2024-06-13
2018,FI_CITY_033,FI,3331529,31.26,20.26,32.29,16.19,5.351,0.5642,2236.61,151.14,0,45.84,1,1,1,URBAN_AUDIT,1,2025-05-26
2019,LV_CITY_034,LV,4460380,20.32,23.02,28.06,7.94,84.312,0.7636,606.33,142.79,1,6.69,0,1,1,MODEL_ESTIMATE,1,2025-09-15
2020,RO_CITY_035,RO,1910570,42.47,33.15,11.74,12.64,73.772,0.775,814.04,154.68,0,59.83,0,0,0,NATIONAL_URBAN_STAT,1,2024-02-26
2021,BG_CITY_036,BG,1862441,23.42,37.52,26.47,12.59,36.742,1.2902,286.36,204.14,0,70.15,0,1,0,CITY_MOBILITY_SURVEY,1,2025-01-19
2022,FR_CITY_037,FR,4248399,46.06,31.86,21.65,0.43,56.634,0.5459,610.83,134.04,0,28.4,0,0,0,URBAN_AUDIT,1,2024-12-07
2023,LT_CITY_038,LT,5503542,37.63,33.44,23.47,5.46,45.145,0.3995,863.44,90.31,0,74.9,0,0,0,MODEL_ESTIMATE,1,2024-10-17
2024,SK_CITY_039,SK,8551024,7.3,55.16,37.14,0.4,16.587,1.1302,2356.42,90.04,0,83.41,0,1,0,NATIONAL_URBAN_STAT,1,2025-02-03
2025,HR_CITY_040,HR,12853830,22.2,35.74,27.54,14.52,63.183,0.3776,620.68,174.45,0,60.39,0,1,0,CITY_MOBILITY_SURVEY,1,2025-10-28
2006,DE_CITY_041,DE,10795184,13.04,37.57,32.12,17.27,67.175,1.22,258.0,112.75,1,26.58,0,1,0,URBAN_AUDIT,1,2025-05-15
2007,LU_CITY_042,LU,8933874,25.43,37.56,15.96,18.96,82.061,0.3838,1564.67,103.41,1,1.15,1,0,0,MODEL_ESTIMATE,1,2025-11-20
2008,SI_CITY_043,SI,2959791,20.12,36.52,32.14,11.22,19.302,1.0184,562.78,76.43,1,25.92,1,1,0,NATIONAL_URBAN_STAT,1,2025-11-24
2009,CY_CITY_044,CY,2371723,10.71,47.31,34.77,7.21,61.304,1.6145,2215.91,6.43,0,1.84,0,0,0,CITY_MOBILITY_SURVEY,1,2024-03-28
2010,GR_CITY_045,GR,4860268,30.3,28.5,33.67,7.53,27.505,0.6334,1739.68,106.89,0,37.6,1,1,0,URBAN_AUDIT,1,2024-06-14
2011,MT_CITY_046,MT,2102197,14.23,21.36,25.64,17.26,83.848,0.6908,928.47,116.95,0,54.19,0,1,0,MODEL_ESTIMATE,1,2024-01-14
2012,ES_CITY_047,ES,1551945,51.35,22.81,9.59,16.25,27.967,0.368,113.59,50.27,1,23.94,1,0,0,NATIONAL_URBAN_STAT,1,2024-05-02
2013,CZ_CITY_048,CZ,1614843,31.27,13.5,33.68,1.6,55.598,1.6408,2035.1,31.71,1,34.46,0,0,0,CITY_MOBILITY_SURVEY,0,2024-09-04
2014,HU_CITY_049,HU,6847345,34.73,34.2,17.64,13.43,33.365,1.3362,1769.31,36.53,1,31.04,0,0,0,URBAN_AUDIT,1,2024-11-12
2015,NL_CITY_050,NL,9287676,33.14,18.87,30.56,17.43,27.707,1.0841,2048.91,11.14,0,42.82,1,0,0,MODEL_ESTIMATE,1,2024-03-11
2016,SE_CITY_051,SE,10494977,33.25,40.91,14.71,11.13,56.159,0.6055,356.86,27.49,1,24.47,1,0,0,NATIONAL_URBAN_STAT,1,2025-06-14
2017,DK_CITY_052,DK,5361300,19.1,52.83,15.15,12.92,5.087,0.4413,897.72,97.11,0,29.9,1,0,0,CITY_MOBILITY_SURVEY,1,2025-11-23
2018,IE_CITY_053,IE,7017033,30.7,30.12,24.48,14.7,77.307,1.1178,1036.58,44.63,0,22.89,0,1,1,URBAN_AUDIT,1,2026-02-19
2019,PL_CITY_054,PL,8423342,38.08,23.83,20.31,16.51,1.221,0.6778,1365.57,169.89,1,35.58,1,0,0,MODEL_ESTIMATE,1,2025-07-22
2020,AT_CITY_055,AT,7660640,32.6,46.03,7.28,14.09,8.313,0.6021,3106.73,67.46,0,55.55,1,0,0,NATIONAL_URBAN_STAT,0,2025-02-17
2021,EE_CITY_056,EE,7627617,40.67,20.57,11.54,27.22,78.997,0.6847,756.31,39.8,0,30.62,0,0,0,CITY_MOBILITY_SURVEY,0,2025-02-19
2022,IT_CITY_057,IT,11003088,61.17,15.48,10.55,9.87,83.511,1.4743,362.92,228.99,1,43.89,0,0,0,URBAN_AUDIT,1,2025-10-24
2023,PT_CITY_058,PT,8587304,39.53,34.52,8.11,17.84,70.391,0.3543,1482.95,33.32,0,43.23,1,1,0,MODEL_ESTIMATE,1,2025-08-18
2024,BE_CITY_059,BE,6829594,34.59,49.96,5.64,9.81,32.319,1.5399,170.7,159.69,0,6.25,0,1,0,NATIONAL_URBAN_STAT,1,2026-02-16
2025,FI_CITY_060,FI,6007106,33.39,35.81,21.8,9.0,4.922,1.2883,1224.13,105.67,1,69.33,0,0,1,CITY_MOBILITY_SURVEY,1,2024-02-07
2006,LV_CITY_061,LV,11141658,21.24,37.85,11.11,29.8,81.59,0.7834,2015.97,120.1,1,22.29,0,1,0,URBAN_AUDIT,1,2025-04-27
2007,RO_CITY_062,RO,7655709,33.6,43.88,13.8,8.72,13.08,0.7034,491.83,134.48,1,2.05,1,1,0,MODEL_ESTIMATE,1,2024-10-10
2008,BG_CITY_063,BG,1254343,12.24,14.55,11.94,3.15,38.268,1.6199,2241.51,15.17,0,12.25,1,1,0,NATIONAL_URBAN_STAT,1,2024-12-11
2009,FR_CITY_064,FR,13127986,20.88,53.3,17.93,7.89,18.419,0.5613,417.15,120.58,1,36.02,0,0,0,CITY_MOBILITY_SURVEY,0,2024-09-04
2010,LT_CITY_065,LT,8003246,22.79,17.62,18.63,2.26,43.762,1.1321,1986.65,99.13,0,38.67,1,0,0,URBAN_AUDIT,0,2025-01-16
2011,SK_CITY_066,SK,6339692,19.47,51.38,18.36,1.99,84.866,1.1118,1304.6,72.78,1,15.58,1,0,0,MODEL_ESTIMATE,1,2024-01-08
2012,HR_CITY_067,HR,9187137,41.43,38.99,19.12,0.46,57.494,0.6239,1935.79,60.53,1,37.44,1,0,0,NATIONAL_URBAN_STAT,1,2024-01-30
2013,DE_CITY_068,DE,4835764,28.07,26.44,22.02,12.9,26.107,0.7425,1127.95,133.94,1,38.54,1,0,1,CITY_MOBILITY_SURVEY,1,2025-09-11
2014,LU_CITY_069,LU,8739092,34.39,21.39,41.12,3.1,70.201,0.8503,1387.35,100.17,1,8.57,0,0,0,URBAN_AUDIT,1,2025-02-06
2015,SI_CITY_070,SI,4280899,30.97,37.58,19.02,12.43,5.352,0.6324,542.11,139.21,0,0.16,1,0,0,MODEL_ESTIMATE,1,2024-02-17
2016,CY_CITY_071,CY,4659045,9.31,24.69,20.74,14.27,18.032,1.3755,1779.66,31.22,1,39.51,0,0,0,NATIONAL_URBAN_STAT,1,2025-09-02
2017,GR_CITY_072,GR,1872611,38.17,31.14,19.96,9.71,76.206,1.4023,438.67,17.83,1,3.95,0,0,1,CITY_MOBILITY_SURVEY,1,2025-05-23
2018,MT_CITY_073,MT,5979727,35.67,37.7,16.24,10.23,8.715,0.4762,624.38,222.45,0,11.04,0,0,0,URBAN_AUDIT,1,2025-03-24
2019,ES_CITY_074,ES,8122927,21.96,37.97,23.06,17.01,2.632,0.3707,909.52,186.07,0,49.41,0,1,0,MODEL_ESTIMATE,1,2024-02-18
2020,CZ_CITY_075,CZ,6773982,14.97,38.47,14.42,12.35,77.838,1.3494,917.32,248.95,0,19.3,0,1,0,NATIONAL_URBAN_STAT,1,2024-03-09
2021,HU_CITY_076,HU,5918732,36.48,36.57,13.56,13.39,75.769,1.0466,3194.1,30.66,1,5.04,0,0,0,CITY_MOBILITY_SURVEY,1,2025-11-12
2022,NL_CITY_077,NL,8544487,10.8,52.22,19.79,17.19,49.557,0.5695,571.55,229.96,1,52.3,0,0,0,URBAN_AUDIT,1,2025-02-15
2023,SE_CITY_078,SE,3954943,35.64,41.31,11.95,11.1,53.694,0.8503,2328.25,164.77,0,107.85,0,1,0,MODEL_ESTIMATE,1,2024-02-25
2024,DK_CITY_079,DK,4204873,18.05,47.18,21.64,13.13,79.776,0.3724,1892.68,68.66,0,110.16,1,0,0,NATIONAL_URBAN_STAT,1,2025-04-04
2025,IE_CITY_080,IE,5961533,27.49,26.94,44.27,1.3,58.318,0.9571,1559.76,262.5,0,85.08,0,0,0,CITY_MOBILITY_SURVEY,1,2025-11-15
2006,PL_CITY_081,PL,6480329,33.04,29.28,28.03,9.65,25.984,1.2831,125.48,57.38,1,14.72,0,0,0,URBAN_AUDIT,1,2024-03-20
2007,AT_CITY_082,AT,2167786,32.87,35.67,31.11,0.35,10.967,1.2401,1528.68,57.01,1,38.68,0,1,0,MODEL_ESTIMATE,1,2025-03-19
2008,EE_CITY_083,EE,4134685,31.85,21.1,6.69,4.69,55.734,0.7739,1077.1,19.53,1,47.47,1,0,0,NATIONAL_URBAN_STAT,1,2024-05-07
2009,IT_CITY_084,IT,8571066,38.11,30.94,22.19,8.76,41.524,1.4208,1086.31,20.19,0,0.7,1,0,0,CITY_MOBILITY_SURVEY,1,2025-01-04
2010,PT_CITY_085,PT,3408627,16.59,33.69,30.67,15.17,28.709,1.0345,2631.16,108.92,1,29.47,1,0,0,URBAN_AUDIT,1,2026-01-08
2011,BE_CITY_086,BE,10741684,43.17,20.31,36.07,0.45,5.249,0.6755,470.82,132.74,0,31.07,0,1,0,MODEL_ESTIMATE,1,2025-05-30
2012,FI_CITY_087,FI,8592839,40.69,49.78,9.14,0.39,70.915,1.315,147.31,87.24,0,54.82,0,0,0,NATIONAL_URBAN_STAT,1,2024-07-19
2013,LV_CITY_088,LV,12594308,15.79,40.72,39.18,4.31,32.097,0.8134,1450.96,21.12,0,38.58,1,1,0,CITY_MOBILITY_SURVEY,1,2024-01-29
2014,RO_CITY_089,RO,604831,23.71,41.28,28.52,6.49,13.746,1.4581,1625.6,24.31,0,4.71,0,0,0,URBAN_AUDIT,1,2025-04-07
2015,BG_CITY_090,BG,9464086,10.19,12.79,31.13,22.99,80.198,0.964,1887.16,48.18,0,10.81,1,1,0,MODEL_ESTIMATE,1,2026-01-22
2016,FR_CITY_091,FR,7801698,27.12,34.4,23.53,14.95,34.713,1.6332,3407.16,69.18,0,18.82,1,1,0,NATIONAL_URBAN_STAT,1,2024-12-29
2017,LT_CITY_092,LT,2638547,34.68,38.37,19.78,7.17,0.544,0.982,1334.09,71.84,1,28.74,0,0,0,CITY_MOBILITY_SURVEY,1,2024-03-05
2018,SK_CITY_093,SK,3270625,19.12,16.64,40.9,7.89,56.377,0.4619,45.07,221.83,1,50.33,0,1,0,URBAN_AUDIT,1,2025-07-28
2019,HR_CITY_094,HR,6143337,35.36,30.83,21.3,12.51,13.642,1.5569,685.64,21.5,0,33.76,0,1,0,MODEL_ESTIMATE,0,2025-09-10
2020,DE_CITY_095,DE,3949635,21.64,29.2,39.94,7.67,32.085,0.6324,2147.07,27.27,1,95.49,0,0,1,NATIONAL_URBAN_STAT,1,2024-11-02
2021,LU_CITY_096,LU,10727582,11.52,46.95,25.4,16.13,4.014,1.4822,2427.44,93.8,1,35.37,0,0,0,CITY_MOBILITY_SURVEY,1,2024-05-05
2022,SI_CITY_097,SI,9579117,28.14,57.45,14.01,0.4,11.055,0.8453,837.9,255.53,0,15.17,0,1,1,URBAN_AUDIT,1,2024-05-09
2023,CY_CITY_098,CY,9341020,32.38,41.54,9.47,16.61,53.071,0.894,2282.79,163.91,1,4.79,1,1,0,MODEL_ESTIMATE,0,2025-10-17
2024,GR_CITY_099,GR,12211194,36.12,46.47,5.52,11.89,43.314,0.3723,1903.79,80.6,0,45.23,1,0,0,NATIONAL_URBAN_STAT,0,2024-06-20
2025,MT_CITY_100,MT,1835693,27.32,37.56,34.76,0.36,57.348,1.2551,2305.32,140.58,0,42.52,0,0,0,CITY_MOBILITY_SURVEY,1,2025-11-07
2006,ES_CITY_101,ES,5840301,51.72,26.83,8.24,13.21,55.518,0.8121,1210.84,67.64,1,46.7,1,0,1,URBAN_AUDIT,1,2024-01-31
2007,CZ_CITY_102,CZ,3430152,11.44,56.52,16.42,15.62,18.403,1.1798,636.36,136.74,1,23.25,0,0,0,MODEL_ESTIMATE,1,2025-02-25
2008,HU_CITY_103,HU,6798360,33.83,34.5,19.75,11.92,53.913,1.0311,104.3,89.78,0,50.89,0,1,0,NATIONAL_URBAN_STAT,1,2024-12-11
2009,NL_CITY_104,NL,6751586,51.77,23.05,19.73,5.45,19.026,0.5707,226.86,83.87,0,44.12,1,0,1,CITY_MOBILITY_SURVEY,1,2025-10-12
2010,SE_CITY_105,SE,12528795,34.68,42.98,16.81,5.53,55.218,0.7953,144.38,130.37,0,45.29,0,0,1,URBAN_AUDIT,1,2024-09-03
2011,DK_CITY_106,DK,5443993,30.48,54.04,15.06,0.42,54.736,1.6445,287.75,87.19,1,15.28,0,0,0,MODEL_ESTIMATE,1,2024-01-30
2012,IE_CITY_107,IE,4181921,50.96,24.21,16.85,7.98,65.862,1.3691,1099.59,105.57,1,19.25,0,1,0,NATIONAL_URBAN_STAT,1,2025-09-01
2013,PL_CITY_108,PL,4941013,10.78,37.12,10.3,41.8,11.923,1.1088,2768.46,107.42,0,55.22,1,1,0,CITY_MOBILITY_SURVEY,1,2024-07-16
2014,AT_CITY_109,AT,7442991,8.01,64.83,24.01,3.15,37.439,0.3735,53.25,65.32,0,2.72,1,0,0,URBAN_AUDIT,1,2024-01-27
2015,EE_CITY_110,EE,1422134,27.85,43.69,21.72,6.74,41.606,1.6438,1050.76,114.11,0,33.38,1,0,1,MODEL_ESTIMATE,0,2025-06-28
2016,IT_CITY_111,IT,782471,38.68,33.12,16.75,11.45,24.342,0.8288,768.27,138.1,1,18.63,1,0,0,NATIONAL_URBAN_STAT,1,2025-02-02
2017,PT_CITY_112,PT,3817039,21.97,27.31,24.48,26.24,38.482,0.555,924.24,125.6,0,10.12,0,0,0,CITY_MOBILITY_SURVEY,1,2025-12-15
2018,BE_CITY_113,BE,3905505,15.24,18.33,44.13,6.85,18.735,1.1867,2013.17,224.71,1,2.02,1,0,0,URBAN_AUDIT,1,2025-03-03
2019,FI_CITY_114,FI,5754550,10.74,61.09,25.52,2.65,3.537,1.5335,1408.24,87.77,1,7.01,0,0,0,MODEL_ESTIMATE,1,2025-08-09
2020,LV_CITY_115,LV,4806620,36.89,47.05,7.66,8.4,18.016,1.0612,1108.06,70.36,1,89.71,0,1,0,NATIONAL_URBAN_STAT,1,2024-09-30
2021,RO_CITY_116,RO,5813092,45.87,23.55,21.5,9.08,15.709,0.646,2222.98,258.18,1,6.15,1,1,0,CITY_MOBILITY_SURVEY,1,2024-07-26
2022,BG_CITY_117,BG,2683361,16.04,66.5,16.99,0.47,48.525,1.4178,1707.07,37.97,1,19.16,1,0,0,URBAN_AUDIT,1,2025-05-01
2023,FR_CITY_118,FR,7295399,17.9,51.88,25.04,5.18,78.968,1.2244,36.73,49.49,0,14.95,1,1,0,MODEL_ESTIMATE,1,2024-07-17
2024,LT_CITY_119,LT,6130555,47.92,14.75,31.94,5.39,21.034,0.9969,1123.66,191.78,1,82.88,0,0,1,NATIONAL_URBAN_STAT,1,2024-11-16
2025,SK_CITY_120,SK,5737771,22.19,15.87,44.59,17.35,61.999,0.7453,441.93,193.85,0,48.14,1,0,0,CITY_MOBILITY_SURVEY,1,2024-09-24
2006,HR_CITY_121,HR,4687970,37.75,18.7,32.38,11.17,51.6,0.6452,2236.21,72.15,1,4.05,0,0,0,URBAN_AUDIT,1,2025-12-28
2007,DE_CITY_122,DE,4144704,27.96,16.01,22.45,7.91,59.877,0.6716,719.76,43.4,0,22.03,0,1,0,MODEL_ESTIMATE,1,2025-05-03
2008,LU_CITY_123,LU,6135546,37.59,33.56,28.45,0.4,11.538,0.9113,262.92,79.16,0,37.04,0,1,0,NATIONAL_URBAN_STAT,1,2025-02-01
2009,SI_CITY_124,SI,10725678,29.97,54.97,5.52,9.54,55.131,1.3727,274.59,119.76,0,23.55,1,0,1,CITY_MOBILITY_SURVEY,1,2024-09-15
2010,CY_CITY_125,CY,30350,25.45,22.29,47.1,2.03,61.852,0.4179,2085.56,43.81,1,6.01,1,1,0,URBAN_AUDIT,1,2025-12-15
2011,GR_CITY_126,GR,1550559,15.82,30.18,29.22,14.67,61.356,1.5132,830.48,65.47,0,36.48,0,0,0,MODEL_ESTIMATE,1,2025-01-06
2012,MT_CITY_127,MT,4149493,21.39,32.44,16.3,29.87,55.854,1.5504,367.09,70.85,1,7.82,0,0,0,NATIONAL_URBAN_STAT,1,2024-05-06
2013,ES_CITY_128,ES,8142960,39.63,35.65,7.12,17.6,19.795,0.3707,2041.95,84.38,0,25.93,0,0,0,CITY_MOBILITY_SURVEY,1,2024-05-24
2014,CZ_CITY_129,CZ,11395133,39.54,26.44,22.98,11.04,81.077,1.0022,2016.98,137.82,0,19.97,0,0,0,URBAN_AUDIT,1,2024-02-02
2015,HU_CITY_130,HU,6388912,36.47,46.95,12.53,4.05,38.35,1.1771,1426.4,48.74,0,12.84,1,0,0,MODEL_ESTIMATE,1,2024-10-09
2016,NL_CITY_131,NL,7155977,10.44,37.14,36.25,16.17,13.079,1.1193,524.1,66.11,0,53.21,0,0,1,NATIONAL_URBAN_STAT,1,2026-01-10
2017,SE_CITY_132,SE,6024785,36.64,34.14,16.03,13.19,23.94,0.4774,2589.36,27.69,0,53.48,1,0,0,CITY_MOBILITY_SURVEY,0,2024-05-08
2018,DK_CITY_133,DK,8809694,19.65,20.92,23.06,6.92,65.117,1.0809,2208.5,147.84,1,8.23,1,0,0,URBAN_AUDIT,1,2025-10-16
2019,IE_CITY_134,IE,5989903,33.26,28.22,18.97,19.55,75.859,0.6517,2751.54,88.86,1,23.28,0,1,0,MODEL_ESTIMATE,1,2026-01-23
2020,PL_CITY_135,PL,6111987,21.52,37.89,14.14,19.08,36.936,0.4855,275.6,150.4,0,76.4,0,0,0,NATIONAL_URBAN_STAT,1,2024-11-10
2021,AT_CITY_136,AT,2453263,14.82,18.56,47.62,19.0,8.249,0.6922,1937.12,184.98,0,107.68,0,1,0,CITY_MOBILITY_SURVEY,1,2024-01-20
2022,EE_CITY_137,EE,6595175,10.04,39.44,15.53,4.29,80.596,1.0916,567.48,224.64,0,9.13,1,1,0,URBAN_AUDIT,0,2025-10-28
2023,IT_CITY_138,IT,3038734,27.65,13.13,14.75,16.43,64.019,0.5982,1681.35,185.23,0,105.42,0,0,1,MODEL_ESTIMATE,1,2025-06-12
2024,PT_CITY_139,PT,7099190,39.72,12.77,12.98,13.04,71.284,0.9228,1357.9,136.31,1,82.29,1,0,0,NATIONAL_URBAN_STAT,1,2024-10-10
2025,BE_CITY_140,BE,8961028,14.09,61.8,18.57,3.86,19.088,0.6022,1275.62,94.88,0,17.91,0,1,0,CITY_MOBILITY_SURVEY,1,2025-08-31
2006,FI_CITY_141,FI,442991,54.66,14.2,23.15,7.99,77.14,0.5825,1278.02,36.43,0,36.27,0,0,0,URBAN_AUDIT,1,2024-03-03
2007,LV_CITY_142,LV,5331603,44.08,21.76,7.9,13.13,70.077,0.4691,1304.92,134.91,0,41.97,1,1,1,MODEL_ESTIMATE,1,2026-01-06
2008,RO_CITY_143,RO,12698570,33.83,36.32,16.73,3.18,28.656,0.7958,930.51,7.49,1,35.27,0,1,1,NATIONAL_URBAN_STAT,1,2025-09-20
2009,BG_CITY_144,BG,7535103,20.11,38.01,25.95,15.93,47.904,0.9243,2552.36,5.98,1,43.09,0,0,0,CITY_MOBILITY_SURVEY,1,2025-09-27
2010,FR_CITY_145,FR,3844681,33.2,26.33,26.95,13.52,79.356,1.0996,2010.62,115.99,1,54.8,0,0,0,URBAN_AUDIT,1,2024-09-19
2011,LT_CITY_146,LT,4722639,24.81,37.92,36.3,0.97,69.921,1.2161,1305.06,120.35,0,9.28,1,0,0,MODEL_ESTIMATE,1,2025-05-12
2012,SK_CITY_147,SK,7493290,30.16,14.4,36.93,18.51,10.336,0.8369,1462.36,78.91,0,46.75,1,1,0,NATIONAL_URBAN_STAT,0,2024-01-20
2013,HR_CITY_148,HR,3119692,30.75,16.64,19.02,18.46,73.822,0.6873,2840.48,105.86,0,17.6,0,1,0,CITY_MOBILITY_SURVEY,1,2024-11-03
2014,DE_CITY_149,DE,4861919,19.73,45.45,24.34,10.48,19.21,0.6305,757.3,68.48,1,43.16,1,0,0,URBAN_AUDIT,1,2024-08-12
2015,LU_CITY_150,LU,1853433,39.26,51.51,8.86,0.37,12.278,0.4042,1202.43,56.43,0,16.77,1,0,0,MODEL_ESTIMATE,1,2024-05-04
2016,SI_CITY_151,SI,1991528,13.71,60.12,22.42,3.75,82.626,1.0268,118.0,134.11,0,23.91,0,0,0,NATIONAL_URBAN_STAT,0,2025-01-30
2017,CY_CITY_152,CY,5018411,10.74,47.02,30.93,11.31,22.268,1.2083,48.77,8.7,1,10.91,0,1,0,CITY_MOBILITY_SURVEY,1,2025-12-14
