agri_crops_harvest_year,agri_crops_country_iso2,agri_crops_region_nuts_code,agri_crops_crop_code,agri_crops_area_harvested_ha,agri_crops_production_tonnes,agri_crops_yield_t_per_ha,agri_crops_irrigated_area_ha,agri_crops_input_fertiliser_kg_per_ha,agri_crops_input_pesticide_kg_per_ha,agri_crops_seed_type_code,agri_crops_gmo_flag,agri_crops_extreme_weather_event_code,agri_crops_soil_moisture_index,agri_crops_market_price_eur_per_t,agri_crops_storage_capacity_tonnes,agri_crops_supply_chain_disruption_flag,agri_crops_eurostat_table_code,agri_crops_methodology_version,agri_crops_data_extract_date
2014,HU,FR596,BARLEY,361.23,964.48,2.67,234.09,159.44,4.568,HYBRID,0,DROUGHT,0.2708,217.29,2109.25,0,prc_hicp_midx,CROPS_2025D,2025-04-26
2015,NL,NL62,POTATO,165.6,4707.18,28.425,27.55,152.91,6.268,DROUGHT_TOLERANT,0,STORM,0.1422,253.85,11479.72,1,aei_pr_gnb,CROPS_2024C,2025-04-24
2016,SE,FI67,OATS,246.21,1174.67,4.771,133.02,186.9,0.655,CERTIFIED,0,HEATWAVE,0.1092,130.73,722.47,0,apro_cpshr,CROPS_2023B,2024-01-13
2017,DK,RO64,RAPESEED,507.62,1407.63,2.773,305.75,165.45,1.648,ORGANIC,0,NONE,0.796,488.64,2126.48,1,apro_cpnh1,CROPS_2022A,2024-03-05
2018,IE,CZ95,OLIVES,520.68,1273.06,2.445,49.9,152.18,4.755,CONVENTIONAL,0,HAIL,0.8454,463.19,923.36,0,apro_cpsh1,CROPS_2025D,2025-06-14
2019,PL,IT720,WHEAT,224.69,1270.17,5.653,145.41,87.94,0.941,HYBRID,0,FLOOD,0.2196,937.6,1205.02,0,prc_hicp_midx,CROPS_2024C,2024-07-30
2020,AT,HR5,SUGAR_BEET,225.38,9206.55,40.849,123.55,228.71,1.094,DROUGHT_TOLERANT,0,WILDFIRE,0.5541,212.83,15090.48,0,aei_pr_gnb,CROPS_2023B,2025-09-15
2021,EE,NL42,SOY,376.72,897.35,2.382,194.23,29.07,6.975,CERTIFIED,0,FROST,0.4919,568.2,1267.55,1,apro_cpshr,CROPS_2022A,2024-08-20
2022,IT,SE58,MAIZE,329.0,2064.47,6.275,84.38,160.5,0.479,ORGANIC,0,DROUGHT,0.2583,886.5,4411.47,0,apro_cpnh1,CROPS_2025D,2024-07-08
2023,PT,IT945,TOMATO,251.85,20182.0,80.135,121.27,35.2,4.223,CONVENTIONAL,0,STORM,0.464,841.73,20942.92,0,apro_cpsh1,CROPS_2024C,2024-03-12
2024,BE,RO37,RYE,245.8,729.04,2.966,85.63,175.1,0.739,HYBRID,0,HEATWAVE,0.5058,571.23,802.56,0,prc_hicp_midx,CROPS_2023B,2025-01-11
2025,FI,LV6,SUNFLOWER,124.23,342.25,2.755,18.67,118.85,3.351,DROUGHT_TOLERANT,0,NONE,0.1893,101.14,266.54,0,aei_pr_gnb,CROPS_2022A,2026-01-09
2026,LV,LU736,GRAPES,1337.82,8612.89,6.438,685.94,208.93,5.763,CERTIFIED,0,HAIL,0.8351,919.67,17289.7,0,apro_cpshr,CROPS_2025D,2026-01-24
2010,RO,SE667,BARLEY,84.05,440.0,5.235,34.35,144.52,3.187,ORGANIC,0,FLOOD,0.7434,606.76,879.19,0,apro_cpnh1,CROPS_2024C,2026-01-21
2011,BG,PL183,POTATO,780.88,11195.48,14.337,170.56,165.4,1.636,CONVENTIONAL,0,WILDFIRE,0.7334,592.71,6884.75,0,apro_cpsh1,CROPS_2023B,2025-09-19
2012,FR,IT506,OATS,124.97,195.95,1.568,41.03,119.74,1.264,HYBRID,0,FROST,0.4794,158.56,342.11,0,prc_hicp_midx,CROPS_2022A,2025-01-08
2013,LT,CZ7,RAPESEED,347.41,1287.5,3.706,108.64,81.09,0.263,DROUGHT_TOLERANT,0,DROUGHT,0.3156,900.77,2734.16,0,aei_pr_gnb,CROPS_2025D,2025-06-13
2014,SK,SI77,OLIVES,290.11,886.0,3.054,29.93,110.15,0.54,CERTIFIED,0,STORM,0.7268,109.39,513.07,0,apro_cpshr,CROPS_2024C,2024-04-24
2015,HR,PT61,WHEAT,572.92,3705.65,6.468,71.17,63.87,6.212,ORGANIC,0,HEATWAVE,0.6902,293.47,4498.46,1,apro_cpnh1,CROPS_2023B,2025-08-02
2016,DE,GR6,SUGAR_BEET,185.74,9959.75,53.622,92.92,44.62,5.131,CONVENTIONAL,0,NONE,0.8053,677.12,16011.0,1,apro_cpsh1,CROPS_2022A,2025-06-07
2017,LU,LV65,SOY,645.44,1617.47,2.506,262.08,153.9,6.735,HYBRID,0,HAIL,0.8697,528.88,1982.38,0,prc_hicp_midx,CROPS_2025D,2025-05-15
2018,SI,CY144,MAIZE,713.51,5718.07,8.014,385.16,68.34,4.534,DROUGHT_TOLERANT,0,FLOOD,0.1933,763.43,3743.06,0,aei_pr_gnb,CROPS_2024C,2024-10-17
2019,CY,RO1,TOMATO,932.51,31117.86,33.37,182.65,229.13,0.5,CERTIFIED,0,WILDFIRE,0.6135,760.77,30346.23,0,apro_cpshr,CROPS_2023B,2024-04-28
2020,GR,BG239,RYE,1165.63,3641.43,3.124,67.89,199.39,2.818,ORGANIC,0,FROST,0.7712,152.97,8902.39,0,apro_cpnh1,CROPS_2022A,2024-06-24
2021,MT,BE40,SUNFLOWER,1363.92,1673.53,1.227,698.51,182.3,2.506,CONVENTIONAL,0,DROUGHT,0.8692,817.62,2670.63,0,apro_cpsh1,CROPS_2025D,2025-12-13
2022,ES,DK474,GRAPES,1212.63,7400.68,6.103,267.43,44.37,1.999,HYBRID,0,STORM,0.3632,303.21,13351.46,0,prc_hicp_midx,CROPS_2024C,2025-03-22
2023,CZ,SI96,BARLEY,261.58,1086.86,4.155,158.92,118.39,1.47,DROUGHT_TOLERANT,0,HEATWAVE,0.4113,167.89,2157.71,0,aei_pr_gnb,CROPS_2023B,2025-02-22
2024,HU,BG891,POTATO,285.54,12944.1,45.332,95.06,136.79,4.093,CERTIFIED,0,NONE,0.7309,202.44,13896.99,0,apro_cpshr,CROPS_2022A,2025-03-14
2025,NL,GR508,OATS,336.35,947.83,2.818,90.86,109.33,6.964,ORGANIC,0,HAIL,0.8383,854.48,1287.3,0,apro_cpnh1,CROPS_2025D,2025-04-22
2026,SE,FI5,RAPESEED,373.2,1049.44,2.812,101.93,114.62,7.128,CONVENTIONAL,0,FLOOD,0.292,105.59,2140.19,1,apro_cpsh1,CROPS_2024C,2024-04-18
2010,DK,AT7,OLIVES,282.59,556.7,1.97,182.09,31.16,4.593,HYBRID,0,WILDFIRE,0.4248,503.1,1095.07,0,prc_hicp_midx,CROPS_2023B,2024-12-11
2011,IE,IE10,WHEAT,272.46,1450.85,5.325,99.43,132.13,0.881,DROUGHT_TOLERANT,0,FROST,0.205,891.49,2147.17,0,aei_pr_gnb,CROPS_2022A,2025-09-19
2012,PL,DE72,SUGAR_BEET,486.88,20440.2,41.982,213.26,140.98,3.427,CERTIFIED,0,DROUGHT,0.7039,489.31,7672.98,0,apro_cpshr,CROPS_2025D,2024-08-11
2013,AT,DE19,SOY,549.7,1684.83,3.065,124.27,151.24,1.686,ORGANIC,0,STORM,0.8963,863.61,2046.22,0,apro_cpnh1,CROPS_2024C,2025-02-14
2014,EE,SK9,MAIZE,228.24,2263.23,9.916,31.04,132.17,7.267,CONVENTIONAL,0,HEATWAVE,0.1094,856.82,3368.01,1,apro_cpsh1,CROPS_2023B,2025-06-29
2015,IT,DE937,TOMATO,457.68,23704.62,51.793,189.52,193.47,1.171,HYBRID,0,NONE,0.0944,977.56,38456.42,0,prc_hicp_midx,CROPS_2022A,2024-10-10
2016,PT,EE611,RYE,163.38,530.99,3.25,18.47,140.79,5.992,DROUGHT_TOLERANT,0,HAIL,0.2197,393.12,592.88,1,aei_pr_gnb,CROPS_2025D,2024-03-15
2017,BE,HU75,SUNFLOWER,463.83,946.68,2.041,143.9,204.81,2.767,CERTIFIED,0,FLOOD,0.239,542.61,1207.44,0,apro_cpshr,CROPS_2024C,2025-08-29
2018,FI,CY260,GRAPES,356.36,3397.18,9.533,180.97,50.92,6.57,ORGANIC,0,WILDFIRE,0.7807,399.95,6925.34,0,apro_cpnh1,CROPS_2023B,2025-05-10
2019,LV,DE435,BARLEY,552.08,2828.86,5.124,253.76,229.37,2.38,CONVENTIONAL,0,FROST,0.0727,735.15,2811.63,0,apro_cpsh1,CROPS_2022A,2025-03-03
2020,RO,PT96,POTATO,105.81,4489.94,42.434,18.44,128.52,7.175,HYBRID,0,DROUGHT,0.1673,917.85,2329.49,0,prc_hicp_midx,CROPS_2025D,2025-03-11
2021,BG,PL3,OATS,154.97,384.95,2.484,58.09,108.33,0.896,DROUGHT_TOLERANT,0,STORM,0.262,387.3,174.43,0,aei_pr_gnb,CROPS_2024C,2024-05-06
2022,FR,DE836,RAPESEED,411.71,1160.2,2.818,103.54,223.48,6.571,CERTIFIED,0,HEATWAVE,0.9283,963.42,668.54,0,apro_cpshr,CROPS_2023B,2025-04-16
2023,LT,CZ6,OLIVES,608.88,1083.2,1.779,310.17,93.61,4.876,ORGANIC,0,NONE,0.2617,265.94,1930.16,0,apro_cpnh1,CROPS_2022A,2025-01-07
2024,SK,DK30,WHEAT,926.08,3635.79,3.926,526.8,225.19,1.962,CONVENTIONAL,0,HAIL,0.3414,929.1,4919.82,0,apro_cpsh1,CROPS_2025D,2026-02-21
2025,HR,HU4,SUGAR_BEET,1196.47,55658.59,46.519,714.38,239.39,0.789,HYBRID,0,FLOOD,0.808,279.04,74985.22,0,prc_hicp_midx,CROPS_2024C,2024-10-13
2026,DE,CZ870,SOY,230.07,353.16,1.535,148.9,74.97,0.577,DROUGHT_TOLERANT,0,WILDFIRE,0.3573,608.66,184.57,0,aei_pr_gnb,CROPS_2023B,2024-04-12
2010,LU,PL94,MAIZE,395.48,3066.55,7.754,246.67,222.57,2.597,CERTIFIED,0,FROST,0.5295,853.47,1418.08,0,apro_cpshr,CROPS_2022A,2025-09-05
2011,SI,IE3,TOMATO,143.87,7373.48,51.251,22.63,81.79,5.179,ORGANIC,0,DROUGHT,0.3444,938.4,14862.01,0,apro_cpnh1,CROPS_2025D,2025-03-05
2012,CY,EE304,RYE,435.5,1644.01,3.775,205.58,88.42,3.814,CONVENTIONAL,0,STORM,0.3151,716.9,3868.95,0,apro_cpsh1,CROPS_2024C,2024-01-18
2013,GR,IT393,SUNFLOWER,1052.31,1993.08,1.894,417.79,161.64,7.445,HYBRID,0,HEATWAVE,0.9093,108.84,877.6,0,prc_hicp_midx,CROPS_2023B,2024-12-08
2014,MT,IE14,GRAPES,352.79,1481.37,4.199,110.17,43.85,6.444,DROUGHT_TOLERANT,0,NONE,0.4159,900.14,889.37,0,aei_pr_gnb,CROPS_2022A,2025-02-26
2015,ES,BG907,BARLEY,950.63,3728.37,3.922,608.7,109.03,2.512,CERTIFIED,0,HAIL,0.2746,645.89,1948.49,0,apro_cpshr,CROPS_2025D,2026-02-02
2016,CZ,SE33,POTATO,422.7,12586.74,29.777,34.9,38.17,3.336,ORGANIC,0,FLOOD,0.4906,493.4,19160.93,0,apro_cpnh1,CROPS_2024C,2024-05-30
2017,HU,CY36,OATS,406.17,1214.85,2.991,192.4,86.19,4.448,CONVENTIONAL,0,WILDFIRE,0.6322,637.53,1555.25,0,apro_cpsh1,CROPS_2023B,2026-02-11
2018,NL,DE538,RAPESEED,295.17,1026.31,3.477,181.98,129.96,3.126,HYBRID,0,FROST,0.1713,612.14,1520.24,0,prc_hicp_midx,CROPS_2022A,2024-10-30
2019,SE,LU66,OLIVES,776.88,3142.48,4.045,193.44,52.67,4.363,DROUGHT_TOLERANT,0,DROUGHT,0.5712,734.44,5016.64,0,aei_pr_gnb,CROPS_2025D,2024-11-17
2020,DK,MT648,WHEAT,261.43,1756.55,6.719,116.54,200.25,6.047,CERTIFIED,0,STORM,0.138,461.09,2542.98,0,apro_cpshr,CROPS_2024C,2025-12-03
2021,IE,DE63,SUGAR_BEET,237.55,13043.87,54.91,63.78,72.8,5.509,ORGANIC,0,HEATWAVE,0.2007,534.39,7085.55,0,apro_cpnh1,CROPS_2023B,2025-12-01
2022,PL,BG301,SOY,370.38,888.91,2.4,235.29,50.89,5.371,CONVENTIONAL,0,NONE,0.6617,972.17,1025.26,1,apro_cpsh1,CROPS_2022A,2024-12-25
2023,AT,FR64,MAIZE,783.14,3939.98,5.031,439.24,107.87,1.662,HYBRID,0,HAIL,0.6114,501.37,1193.86,0,prc_hicp_midx,CROPS_2025D,2024-09-17
2024,EE,CZ88,TOMATO,557.3,26204.8,47.021,263.98,119.0,4.74,DROUGHT_TOLERANT,0,FLOOD,0.1888,439.52,16832.61,0,aei_pr_gnb,CROPS_2024C,2025-01-03
2025,IT,HU19,RYE,277.58,666.47,2.401,93.95,203.34,3.91,CERTIFIED,0,WILDFIRE,0.3485,968.41,988.2,0,apro_cpshr,CROPS_2023B,2024-08-08
2026,PT,NL98,SUNFLOWER,946.68,1749.46,1.848,146.78,207.11,0.354,ORGANIC,0,FROST,0.5023,626.52,4040.29,0,apro_cpnh1,CROPS_2022A,2024-10-09
2010,BE,ES39,GRAPES,596.66,6215.41,10.417,286.69,51.16,3.569,CONVENTIONAL,0,DROUGHT,0.5169,626.74,6684.82,0,apro_cpsh1,CROPS_2025D,2024-11-20
2011,FI,IT675,BARLEY,662.47,3157.99,4.767,279.37,44.2,6.288,HYBRID,0,STORM,0.8744,486.34,4178.74,0,prc_hicp_midx,CROPS_2024C,2024-11-18
2012,LV,SI8,POTATO,440.71,12495.89,28.354,230.2,174.99,6.275,DROUGHT_TOLERANT,0,HEATWAVE,0.6539,249.48,11309.41,0,aei_pr_gnb,CROPS_2023B,2025-01-09
2013,RO,DE528,OATS,442.81,1804.45,4.075,248.19,146.44,5.808,CERTIFIED,0,NONE,0.2065,478.3,3048.12,0,apro_cpshr,CROPS_2022A,2024-07-24
2014,BG,FI63,RAPESEED,244.97,605.08,2.47,30.58,92.46,4.037,ORGANIC,0,HAIL,0.8523,457.89,1033.15,0,apro_cpnh1,CROPS_2025D,2024-08-26
2015,FR,HU581,OLIVES,265.17,277.1,1.045,111.67,90.71,0.367,CONVENTIONAL,0,FLOOD,0.6684,369.57,122.51,0,apro_cpsh1,CROPS_2024C,2025-12-31
2016,LT,RO677,WHEAT,137.34,414.22,3.016,13.44,145.85,2.392,HYBRID,0,WILDFIRE,0.2202,805.71,310.79,1,prc_hicp_midx,CROPS_2023B,2024-09-17
2017,SK,LT871,SUGAR_BEET,344.39,21388.69,62.106,48.19,59.65,7.389,DROUGHT_TOLERANT,0,FROST,0.9112,305.87,31278.39,0,aei_pr_gnb,CROPS_2022A,2024-03-27
2018,HR,HR76,SOY,186.94,649.43,3.474,24.66,35.33,5.635,CERTIFIED,0,DROUGHT,0.8015,832.61,756.35,0,apro_cpshr,CROPS_2025D,2025-01-07
2019,DE,FR180,MAIZE,135.83,1131.06,8.327,65.23,81.47,7.329,ORGANIC,0,STORM,0.3756,800.03,1103.11,0,apro_cpnh1,CROPS_2024C,2024-05-05
2020,LU,HU7,TOMATO,843.81,63056.23,74.728,115.38,186.02,5.925,CONVENTIONAL,0,HEATWAVE,0.3526,888.24,48435.44,0,apro_cpsh1,CROPS_2023B,2025-07-31
2021,SI,CZ82,RYE,255.8,1163.89,4.55,122.47,87.23,2.194,HYBRID,0,NONE,0.7845,276.4,979.58,1,prc_hicp_midx,CROPS_2022A,2025-04-10
2022,CY,SK91,SUNFLOWER,987.73,1628.77,1.649,369.87,172.22,0.804,DROUGHT_TOLERANT,0,HAIL,0.7189,834.71,3850.2,0,aei_pr_gnb,CROPS_2025D,2024-01-15
2023,GR,GR29,GRAPES,476.22,3704.52,7.779,63.74,155.43,2.535,CERTIFIED,0,FLOOD,0.6912,163.63,6295.16,1,apro_cpshr,CROPS_2024C,2024-03-01
2024,MT,LU68,BARLEY,199.66,657.88,3.295,56.13,223.09,4.413,ORGANIC,0,WILDFIRE,0.0574,265.73,1547.1,0,apro_cpnh1,CROPS_2023B,2024-05-11
2025,ES,GR341,POTATO,649.28,18619.4,28.677,36.71,135.42,7.301,CONVENTIONAL,0,FROST,0.4643,108.87,6996.06,0,apro_cpsh1,CROPS_2022A,2024-04-06
2026,CZ,MT6,OATS,456.84,1289.2,2.822,273.9,40.98,1.667,HYBRID,0,DROUGHT,0.1817,601.38,731.67,1,prc_hicp_midx,CROPS_2025D,2025-05-16
2010,HU,SE365,RAPESEED,322.14,750.59,2.33,67.42,109.24,1.22,DROUGHT_TOLERANT,0,STORM,0.4098,452.72,343.88,0,aei_pr_gnb,CROPS_2024C,2024-04-16
2011,NL,PT43,OLIVES,242.58,488.07,2.012,84.54,44.73,0.677,CERTIFIED,0,HEATWAVE,0.2907,802.14,972.85,1,apro_cpshr,CROPS_2023B,2025-12-01
2012,SE,HU21,WHEAT,434.64,3108.98,7.153,48.57,215.95,3.672,ORGANIC,0,NONE,0.0623,236.16,3667.28,0,apro_cpnh1,CROPS_2022A,2024-09-02
2013,DK,RO12,SUGAR_BEET,779.1,35818.34,45.974,61.89,59.63,4.623,CONVENTIONAL,0,HAIL,0.3791,569.51,13152.05,1,apro_cpsh1,CROPS_2025D,2025-05-19
2014,IE,ES655,SOY,1016.74,2433.06,2.393,185.54,132.35,7.052,HYBRID,0,FLOOD,0.6961,689.04,5987.21,0,prc_hicp_midx,CROPS_2024C,2024-11-24
2015,PL,HU254,MAIZE,390.05,2743.22,7.033,108.06,236.75,0.742,DROUGHT_TOLERANT,0,WILDFIRE,0.4602,776.41,2166.33,0,aei_pr_gnb,CROPS_2023B,2025-10-30
2016,AT,AT4,TOMATO,460.65,18022.93,39.125,198.45,84.08,1.763,CERTIFIED,0,FROST,0.6382,676.57,36012.03,0,apro_cpshr,CROPS_2022A,2024-11-20
2017,EE,AT58,RYE,148.95,700.36,4.702,69.39,234.82,5.755,ORGANIC,0,DROUGHT,0.4871,719.84,683.56,0,apro_cpnh1,CROPS_2025D,2025-12-14
2018,IT,BE633,SUNFLOWER,257.18,534.93,2.08,67.63,110.63,4.948,CONVENTIONAL,0,STORM,0.6873,224.07,384.83,0,apro_cpsh1,CROPS_2024C,2024-09-10
2019,PT,SI800,GRAPES,518.88,4119.91,7.94,99.25,118.25,0.377,HYBRID,0,HEATWAVE,0.3208,891.38,2724.6,0,prc_hicp_midx,CROPS_2023B,2025-05-24
2020,BE,LT864,BARLEY,442.6,2122.27,4.795,159.92,201.57,0.289,DROUGHT_TOLERANT,0,NONE,0.1552,727.47,1701.67,0,aei_pr_gnb,CROPS_2022A,2024-03-22
2021,FI,FR719,POTATO,63.88,2801.65,43.858,31.71,160.46,5.1,CERTIFIED,0,HAIL,0.9105,368.03,3969.73,1,apro_cpshr,CROPS_2025D,2025-04-21
2022,LV,FR950,OATS,348.86,844.94,2.422,121.13,203.36,4.05,ORGANIC,0,FLOOD,0.1658,104.16,1059.9,0,apro_cpnh1,CROPS_2024C,2025-02-12
2023,RO,SI88,RAPESEED,750.4,1536.82,2.048,168.73,112.59,2.617,CONVENTIONAL,0,WILDFIRE,0.374,204.2,3458.71,0,apro_cpsh1,CROPS_2023B,2025-11-22
2024,BG,IE478,OLIVES,307.62,546.64,1.777,132.08,214.51,0.546,HYBRID,0,FROST,0.1355,706.98,987.88,0,prc_hicp_midx,CROPS_2022A,2025-09-27
2025,FR,HR3,WHEAT,464.01,2711.21,5.843,135.26,145.91,5.769,DROUGHT_TOLERANT,0,DROUGHT,0.6833,408.12,2089.39,0,aei_pr_gnb,CROPS_2025D,2025-05-01
2026,LT,PT8,SUGAR_BEET,317.9,19417.97,61.082,41.26,228.49,3.883,CERTIFIED,0,STORM,0.8522,829.04,28350.12,0,apro_cpshr,CROPS_2024C,2025-06-24
2010,SK,FR576,SOY,327.38,505.15,1.543,23.19,68.29,6.254,ORGANIC,1,HEATWAVE,0.0987,825.32,1209.22,0,apro_cpnh1,CROPS_2023B,2024-10-26
2011,HR,GR33,MAIZE,465.77,3570.13,7.665,144.31,172.65,4.95,CONVENTIONAL,0,NONE,0.5151,837.91,2851.0,0,apro_cpsh1,CROPS_2022A,2025-07-29
2012,DE,MT490,TOMATO,400.76,25308.39,63.151,143.26,90.94,3.551,HYBRID,0,HAIL,0.8776,484.58,51621.94,0,prc_hicp_midx,CROPS_2025D,2025-12-29
2013,LU,GR603,RYE,390.43,672.71,1.723,97.28,78.94,7.093,DROUGHT_TOLERANT,0,FLOOD,0.2271,184.84,1415.65,0,aei_pr_gnb,CROPS_2024C,2025-04-03
2014,SI,IT643,SUNFLOWER,628.73,1053.75,1.676,55.55,31.79,7.044,CERTIFIED,0,WILDFIRE,0.4747,671.91,357.48,0,apro_cpshr,CROPS_2023B,2025-10-06
2015,CY,MT567,GRAPES,327.81,1510.22,4.607,120.05,145.24,6.346,ORGANIC,0,FROST,0.1995,467.78,2775.35,1,apro_cpnh1,CROPS_2022A,2025-03-23
2016,GR,LV528,BARLEY,443.8,1974.02,4.448,114.02,155.03,4.586,CONVENTIONAL,0,DROUGHT,0.5445,563.34,1375.28,0,apro_cpsh1,CROPS_2025D,2025-04-03
2017,MT,IE63,POTATO,443.4,11980.22,27.019,155.91,33.3,7.012,HYBRID,0,STORM,0.8826,703.85,16551.89,1,prc_hicp_midx,CROPS_2024C,2025-07-06
2018,ES,FI9,OATS,425.29,1700.31,3.998,112.37,226.19,3.592,DROUGHT_TOLERANT,0,HEATWAVE,0.2372,483.33,3585.45,0,aei_pr_gnb,CROPS_2023B,2024-02-24
2019,CZ,DE4,RAPESEED,364.05,1458.38,4.006,72.26,228.6,1.488,CERTIFIED,0,NONE,0.0668,921.52,1044.97,0,apro_cpshr,CROPS_2022A,2024-01-17
2020,HU,DE28,OLIVES,369.05,437.69,1.186,48.7,197.86,6.956,ORGANIC,0,HAIL,0.5369,422.65,227.73,0,apro_cpnh1,CROPS_2025D,2025-05-25
2021,NL,ES12,WHEAT,903.37,5637.93,6.241,238.75,201.42,3.054,CONVENTIONAL,0,FLOOD,0.3956,354.78,9224.78,0,apro_cpsh1,CROPS_2024C,2025-07-24
2022,SE,FR8,SUGAR_BEET,303.89,18690.45,61.504,60.2,231.08,3.843,HYBRID,0,WILDFIRE,0.4768,657.94,19719.7,0,prc_hicp_midx,CROPS_2023B,2026-01-04
2023,DK,PT21,SOY,190.3,505.25,2.655,19.47,49.31,3.339,DROUGHT_TOLERANT,1,FROST,0.4643,282.88,1164.16,0,aei_pr_gnb,CROPS_2022A,2024-04-08
2024,IE,LU267,MAIZE,345.56,2988.06,8.647,193.27,65.06,5.693,CERTIFIED,0,DROUGHT,0.1568,767.2,7095.43,1,apro_cpshr,CROPS_2025D,2024-03-23
2025,PL,AT419,TOMATO,354.14,13121.24,37.051,45.47,166.17,6.711,ORGANIC,0,STORM,0.0968,632.1,25685.79,0,apro_cpnh1,CROPS_2024C,2025-03-16
