house_build_permit_issue_date,house_build_permit_jurisdiction_id,house_build_permit_type_code,house_build_project_valuation_usd,house_build_units_authorized_count,house_build_square_footage_authorized,house_build_building_height_feet,house_build_stories_count,house_build_construction_type_code,house_build_energy_code_version,house_build_solar_ready_flag,house_build_accessory_dwelling_flag,house_build_mixed_use_flag,house_build_zoning_district_code,house_build_setback_variance_flag,house_build_impact_fee_usd,house_build_inspection_pass_rate_pct,house_build_average_permit_cycle_days,house_build_contractor_license_id,house_build_stop_work_order_flag
2016-01-11,JUR0000011,NEW_RES,74170976.96,205,526541,236.9,3,MIXED,IECC_2021,1,0,0,C1,1,172005,96.71,140,LIC00000011,0
2016-01-12,JUR0000012,MEP,77910637.97,59,234010,63.7,86,STEEL,LOCAL,0,1,0,C2,0,29622,88.39,95,LIC00000012,0
2016-01-13,JUR0000013,ADDITION,66009208.37,142,375714,371.8,80,STEEL,IECC_2009,0,0,1,MU,0,39294,76.42,237,LIC00000013,0
2016-01-14,JUR0000014,ADDITION,76721751.7,110,1295536,190.9,36,STEEL,IECC_2018,0,0,0,R1,0,73451,62.01,214,LIC00000014,1
2016-01-15,JUR0000015,MEP,7730851.9,264,1335215,293.4,31,MIXED,IECC_2009,0,0,0,R2,0,70379,92.5,135,LIC00000015,0
2016-01-16,JUR0000016,ALTERATION,61562596.12,321,844373,277.3,54,STEEL,IECC_2018,1,0,0,R3,1,213445,77.9,93,LIC00000016,0
2016-01-17,JUR0000017,MEP,6496107.29,56,750603,168.6,14,MASONRY,IECC_2021,0,0,1,OVERLAY,0,223291,63.82,77,LIC00000017,1
2016-01-18,JUR0000018,ALTERATION,19113563.54,153,2168980,290.8,84,WOOD,IECC_2009,1,0,0,PUD,0,61245,95.01,58,LIC00000018,0
2016-01-19,JUR0000019,NEW_COMM,22773272.18,280,1675001,321.9,19,MIXED,IECC_2018,1,0,0,MU,0,238249,59.89,46,LIC00000019,1
2016-01-20,JUR0000020,ALTERATION,4407320.99,287,690373,417.4,23,MODULAR,IECC_2009,0,0,0,C2,0,82434,99.15,46,LIC00000020,0
2016-01-21,JUR0000021,ALTERATION,72168296.13,383,1790961,195.5,39,MASONRY,IECC_2018,0,0,0,MU,0,205941,83.47,76,LIC00000021,0
2016-01-22,JUR0000022,ALTERATION,47089026.39,392,6345,107.9,36,MIXED,IECC_2018,1,1,0,I1,0,135488,67.58,204,LIC00000022,0
2016-01-23,JUR0000023,ALTERATION,13809164.22,398,1139703,286.2,58,WOOD,IECC_2021,1,0,0,C1,0,139334,86.05,137,LIC00000023,0
2016-01-24,JUR0000024,MEP,28699513.94,438,881307,281.1,54,MIXED,IECC_2021,0,0,0,MU,0,124824,99.35,99,LIC00000024,0
2016-01-25,JUR0000025,ADDITION,68308220.14,378,1635275,307.1,69,MASONRY,IECC_2015,0,1,0,C1,0,81822,91.82,177,LIC00000025,0
2016-01-26,JUR0000026,MEP,78697922.14,12,1255967,52.7,15,MASONRY,IECC_2021,0,1,0,C2,0,37552,88.67,42,LIC00000026,0
2016-01-27,JUR0000027,NEW_COMM,82592448.66,277,701938,172.4,28,WOOD,IECC_2009,0,0,0,C2,0,132369,74.87,122,LIC00000027,0
2016-01-28,JUR0000028,NEW_COMM,17160438.7,41,479933,362.0,38,MIXED,IECC_2021,1,0,0,C2,0,135248,75.6,126,LIC00000028,0
2016-01-29,JUR0000029,MEP,62747870.33,158,482862,35.5,72,MODULAR,IECC_2015,1,0,0,R2,0,217607,73.93,226,LIC00000029,0
2016-01-30,JUR0000030,NEW_COMM,83866716.57,342,1087093,187.4,32,MIXED,IECC_2015,0,0,0,R3,0,137059,69.27,120,LIC00000030,0
2016-01-31,JUR0000031,MEP,67056319.94,351,709802,426.2,36,MIXED,IECC_2018,1,0,1,R1,0,216045,87.01,103,LIC00000031,0
2016-02-01,JUR0000032,DEMOLITION,80564968.25,237,1743592,388.4,46,WOOD,IECC_2012,0,1,0,R2,0,50071,78.61,194,LIC00000032,0
2016-02-02,JUR0000033,NEW_RES,24533607.41,89,495080,346.6,57,WOOD,IECC_2009,0,0,0,R2,0,212085,63.97,119,LIC00000033,0
2016-02-03,JUR0000034,ALTERATION,62327958.07,372,1329702,335.6,30,CONCRETE,IECC_2009,0,1,0,R3,0,198616,81.6,100,LIC00000034,0
2016-02-04,JUR0000035,NEW_RES,29872377.83,436,835306,19.1,21,CONCRETE,IECC_2021,0,0,0,PUD,1,173206,76.46,43,LIC00000035,0
2016-02-05,JUR0000036,NEW_COMM,77022865.45,332,854973,144.3,88,CONCRETE,IECC_2012,0,0,0,MU,0,106958,80.99,156,LIC00000036,0
2016-02-06,JUR0000037,NEW_RES,42290060.53,207,404605,61.9,66,WOOD,IECC_2018,0,0,0,MU,1,14352,61.86,135,LIC00000037,0
2016-02-07,JUR0000038,NEW_COMM,47000333.89,50,1885511,51.0,86,MIXED,LOCAL,1,1,0,RM,0,64476,96.08,68,LIC00000038,0
2016-02-08,JUR0000039,NEW_COMM,78116842.87,105,386719,343.0,57,MODULAR,LOCAL,0,0,0,PUD,0,58756,76.43,64,LIC00000039,0
2016-02-09,JUR0000040,NEW_RES,13137889.45,121,788784,324.4,15,WOOD,IECC_2021,0,0,0,RM,1,34208,95.45,204,LIC00000040,0
2016-02-10,JUR0000041,ADDITION,45759161.03,87,1479277,129.9,43,STEEL,IECC_2018,1,0,1,OVERLAY,1,46266,72.95,55,LIC00000041,0
2016-02-11,JUR0000042,NEW_COMM,50901700.38,135,1215527,309.4,56,MIXED,IECC_2018,0,0,0,R2,0,235033,60.01,107,LIC00000042,0
2016-02-12,JUR0000043,MEP,7867011.76,11,31793,334.2,56,MODULAR,IECC_2015,1,0,0,C2,0,23248,68.96,73,LIC00000043,0
2016-02-13,JUR0000044,NEW_RES,19900433.53,172,953907,233.5,83,CONCRETE,IECC_2015,0,0,0,RM,0,181441,81.07,156,LIC00000044,0
2016-02-14,JUR0000045,NEW_COMM,29471168.84,393,264749,437.1,3,MIXED,IECC_2012,1,0,0,C2,0,59666,67.15,199,LIC00000045,0
2016-02-15,JUR0000046,ADDITION,48158788.2,210,1028307,260.8,33,STEEL,IECC_2012,0,0,0,RM,0,242537,90.88,140,LIC00000046,0
2016-02-16,JUR0000047,DEMOLITION,77412148.63,405,363613,69.1,19,CONCRETE,IECC_2009,1,0,1,R2,0,112320,98.85,120,LIC00000047,0
2016-02-17,JUR0000048,NEW_RES,8173339.87,122,942010,435.2,48,MASONRY,IECC_2015,1,0,0,R1,0,118655,87.19,162,LIC00000048,0
2016-02-18,JUR0000049,MEP,43951739.2,434,2127102,402.0,61,MASONRY,IECC_2012,0,0,0,R2,0,113901,65.56,232,LIC00000049,0
2016-02-19,JUR0000050,NEW_COMM,69262741.56,410,1874090,298.2,89,MIXED,IECC_2018,0,0,0,PUD,0,118738,93.69,187,LIC00000050,1
2016-02-20,JUR0000051,MEP,66925088.57,151,1556840,243.9,42,CONCRETE,IECC_2015,0,0,0,C1,1,22915,90.17,236,LIC00000051,0
2016-02-21,JUR0000052,NEW_COMM,15260465.52,282,853457,254.6,63,MODULAR,IECC_2009,0,0,0,MU,0,26464,83.93,88,LIC00000052,0
2016-02-22,JUR0000053,DEMOLITION,1308700.3,228,1411013,224.5,60,MIXED,IECC_2015,0,1,0,R3,0,244374,75.54,130,LIC00000053,0
2016-02-23,JUR0000054,ADDITION,31435174.98,220,1677081,449.4,13,CONCRETE,IECC_2018,1,0,0,RM,0,157845,67.03,190,LIC00000054,0
2016-02-24,JUR0000055,MEP,26569761.1,250,741394,91.5,4,WOOD,LOCAL,0,0,0,C2,0,140230,79.05,198,LIC00000055,0
2016-02-25,JUR0000056,ALTERATION,8860456.74,233,618672,228.2,41,MASONRY,IECC_2021,0,0,0,PUD,0,204884,94.07,38,LIC00000056,0
2016-02-26,JUR0000057,MEP,31298421.0,338,365261,335.8,71,CONCRETE,IECC_2015,1,0,1,PUD,0,189802,79.53,190,LIC00000057,0
2016-02-27,JUR0000058,NEW_COMM,2554967.48,344,1685924,429.0,5,CONCRETE,IECC_2015,0,0,0,OVERLAY,0,93942,64.13,71,LIC00000058,0
2016-02-28,JUR0000059,ADDITION,41635202.99,440,933003,103.4,46,WOOD,IECC_2015,1,0,0,I1,1,27191,78.38,10,LIC00000059,0
2016-02-29,JUR0000060,ADDITION,81371669.48,335,865262,241.3,38,CONCRETE,IECC_2012,0,1,0,OVERLAY,0,133765,75.42,235,LIC00000060,0
2016-03-01,JUR0000061,NEW_RES,27971163.36,201,539614,199.7,78,CONCRETE,IECC_2009,0,0,0,R1,0,154055,74.37,119,LIC00000061,0
2016-03-02,JUR0000062,MEP,43037163.46,413,43190,110.8,16,WOOD,IECC_2012,0,0,0,R1,0,102034,77.53,38,LIC00000062,0
2016-03-03,JUR0000063,NEW_RES,30373263.63,262,721205,79.9,59,MODULAR,IECC_2021,1,0,0,R2,0,2045,59.21,111,LIC00000063,0
2016-03-04,JUR0000064,NEW_COMM,26831929.11,318,1943047,423.7,76,MASONRY,IECC_2018,0,0,0,RM,0,231174,64.71,107,LIC00000064,0
2016-03-05,JUR0000065,MEP,25143890.48,287,780811,370.8,6,CONCRETE,IECC_2009,0,0,0,MU,1,222020,68.38,153,LIC00000065,0
2016-03-06,JUR0000066,NEW_COMM,26293686.63,23,842724,261.3,17,WOOD,LOCAL,1,1,0,RM,0,57201,80.42,198,LIC00000066,0
2016-03-07,JUR0000067,NEW_RES,15695501.37,365,1714937,296.6,53,WOOD,IECC_2021,0,0,0,R3,0,116017,55.12,91,LIC00000067,0
2016-03-08,JUR0000068,ALTERATION,71361450.2,39,1324866,393.7,89,WOOD,LOCAL,0,0,0,C2,0,91477,91.45,147,LIC00000068,0
2016-03-09,JUR0000069,ALTERATION,81869811.47,225,2125511,229.0,86,MASONRY,IECC_2018,1,0,1,PUD,0,94565,61.96,29,LIC00000069,0
2016-03-10,JUR0000070,ALTERATION,29836229.41,187,218459,68.9,76,WOOD,IECC_2018,1,1,0,R3,0,47358,84.56,23,LIC00000070,0
2016-03-11,JUR0000071,DEMOLITION,61995407.99,366,160734,171.0,21,CONCRETE,LOCAL,0,0,1,R3,0,165313,82.71,238,LIC00000071,0
2016-03-12,JUR0000072,NEW_RES,31297865.74,260,1605454,162.3,75,MODULAR,IECC_2018,1,0,0,C1,0,124390,88.63,228,LIC00000072,0
2016-03-13,JUR0000073,ADDITION,76565010.79,351,2147744,45.9,23,CONCRETE,IECC_2012,0,0,0,I1,0,149540,80.88,173,LIC00000073,0
2016-03-14,JUR0000074,MEP,51293463.87,245,155694,49.3,54,MASONRY,LOCAL,1,0,1,MU,0,20569,76.81,44,LIC00000074,0
2016-03-15,JUR0000075,DEMOLITION,50164560.9,40,757826,370.6,42,WOOD,IECC_2015,0,1,1,I1,0,180869,62.31,186,LIC00000075,0
2016-03-16,JUR0000076,NEW_COMM,74784635.44,240,322133,16.8,87,MASONRY,IECC_2012,0,0,0,R2,0,17360,77.62,12,LIC00000076,0
2016-03-17,JUR0000077,MEP,30174481.89,37,302789,75.5,60,MASONRY,IECC_2018,0,0,1,R1,0,101871,89.44,58,LIC00000077,0
2016-03-18,JUR0000078,NEW_COMM,36355311.37,311,53364,60.5,47,STEEL,LOCAL,1,0,0,C2,0,82750,94.51,19,LIC00000078,1
2016-03-19,JUR0000079,NEW_COMM,23375287.8,50,578769,290.1,61,MIXED,IECC_2009,0,0,0,PUD,0,248972,83.34,74,LIC00000079,0
2016-03-20,JUR0000080,MEP,4663117.04,232,1131431,60.1,26,STEEL,IECC_2009,0,0,0,R2,0,173740,91.56,28,LIC00000080,0
2016-03-21,JUR0000081,ALTERATION,45223448.96,247,1826384,188.7,15,MASONRY,LOCAL,0,0,0,R2,0,245930,58.51,28,LIC00000081,1
2016-03-22,JUR0000082,ADDITION,7020958.55,403,384725,150.4,44,MODULAR,IECC_2018,0,0,0,R3,0,230873,96.3,198,LIC00000082,0
2016-03-23,JUR0000083,MEP,80191660.43,344,515728,278.2,54,MIXED,IECC_2018,0,0,0,R1,1,164619,93.66,148,LIC00000083,0
2016-03-24,JUR0000084,NEW_RES,78660315.33,50,1809835,126.7,36,WOOD,IECC_2009,0,0,0,R3,0,148785,84.93,146,LIC00000084,0
2016-03-25,JUR0000085,ADDITION,83771075.87,231,359993,160.8,79,MIXED,IECC_2015,1,0,0,OVERLAY,0,105187,91.8,19,LIC00000085,0
2016-03-26,JUR0000086,NEW_RES,76651948.89,125,858209,421.7,18,STEEL,IECC_2012,1,1,0,MU,0,86191,74.75,175,LIC00000086,0
2016-03-27,JUR0000087,ADDITION,44307177.92,299,1353407,446.7,44,MODULAR,IECC_2015,0,0,0,RM,1,11518,99.43,191,LIC00000087,0
2016-03-28,JUR0000088,ALTERATION,70360824.38,269,1962383,335.6,88,MASONRY,IECC_2021,0,0,0,R3,0,216013,84.52,90,LIC00000088,0
2016-03-29,JUR0000089,NEW_RES,23607001.65,329,1003352,43.2,32,MODULAR,IECC_2012,0,0,1,OVERLAY,1,19167,84.43,110,LIC00000089,0
2016-03-30,JUR0000090,ALTERATION,18682657.54,237,598663,102.3,8,MASONRY,IECC_2015,0,0,0,C1,0,166652,90.08,71,LIC00000090,0
2016-03-31,JUR0000091,ADDITION,28629588.86,230,2118946,362.8,31,MIXED,IECC_2021,1,0,0,OVERLAY,0,188681,76.72,163,LIC00000091,0
2016-04-01,JUR0000092,MEP,40188873.46,285,230809,45.4,60,MODULAR,LOCAL,0,0,0,RM,0,5573,79.88,81,LIC00000092,0
2016-04-02,JUR0000093,ADDITION,9188039.4,154,252777,141.5,59,MIXED,LOCAL,1,0,1,RM,0,249407,89.69,68,LIC00000093,0
2016-04-03,JUR0000094,MEP,23247028.64,78,1822266,198.8,4,MIXED,IECC_2009,0,0,0,PUD,0,35417,72.77,122,LIC00000094,0
2016-04-04,JUR0000095,ALTERATION,9546981.33,154,1565661,152.3,74,STEEL,IECC_2012,0,0,1,R1,0,216622,90.36,149,LIC00000095,0
2016-04-05,JUR0000096,DEMOLITION,57510134.45,99,523759,389.2,24,CONCRETE,IECC_2015,0,0,0,RM,0,158708,75.69,102,LIC00000096,0
2016-04-06,JUR0000097,ADDITION,17546728.24,448,780135,334.5,32,WOOD,IECC_2018,0,0,1,R3,0,11916,93.07,60,LIC00000097,0
2016-04-07,JUR0000098,NEW_RES,3366486.62,223,1196249,356.3,48,STEEL,IECC_2021,0,0,0,RM,0,53789,92.12,130,LIC00000098,0
2016-04-08,JUR0000099,NEW_RES,76590638.0,269,22802,232.8,89,WOOD,IECC_2018,0,1,0,R2,0,53579,85.77,7,LIC00000099,0
2016-04-09,JUR0000100,MEP,84628414.06,161,1950687,449.1,37,WOOD,IECC_2012,0,0,0,MU,0,147097,67.22,57,LIC00000100,0
2016-04-10,JUR0000101,DEMOLITION,49155939.45,316,586375,255.5,47,CONCRETE,IECC_2018,0,0,0,R3,0,105341,95.46,224,LIC00000101,0
2016-04-11,JUR0000102,ALTERATION,34862547.58,195,318234,69.4,7,MIXED,IECC_2021,0,0,0,C1,0,5448,86.73,106,LIC00000102,0
2016-04-12,JUR0000103,NEW_COMM,66972167.08,66,372784,369.2,21,MASONRY,IECC_2009,1,0,0,MU,0,134675,96.77,135,LIC00000103,0
2016-04-13,JUR0000104,ADDITION,49389361.89,380,889805,46.4,81,MASONRY,IECC_2015,1,0,0,PUD,0,168492,63.48,9,LIC00000104,0
2016-04-14,JUR0000105,ADDITION,71475312.27,144,389783,109.1,12,STEEL,IECC_2009,0,0,1,R1,0,226926,61.9,219,LIC00000105,0
2016-04-15,JUR0000106,MEP,39261608.29,5,1929037,338.1,18,CONCRETE,IECC_2012,0,0,1,C2,0,158909,79.0,13,LIC00000106,0
2016-04-16,JUR0000107,MEP,61830110.74,258,143478,184.7,60,MODULAR,LOCAL,0,0,0,RM,0,181929,85.45,194,LIC00000107,0
2016-04-17,JUR0000108,NEW_COMM,62661323.3,107,255901,93.1,85,MASONRY,IECC_2012,0,0,0,PUD,0,38458,93.21,78,LIC00000108,0
2016-04-18,JUR0000109,NEW_RES,17401916.84,216,789254,139.5,65,MODULAR,IECC_2009,1,0,0,RM,0,78654,63.12,13,LIC00000109,0
2016-04-19,JUR0000110,ALTERATION,43831775.93,49,634446,197.9,41,MASONRY,IECC_2012,0,0,0,R1,0,5988,94.85,65,LIC00000110,0
2016-04-20,JUR0000111,NEW_RES,29889921.85,394,1425840,402.9,28,STEEL,IECC_2018,0,1,0,OVERLAY,0,115325,61.3,237,LIC00000111,0
2016-04-21,JUR0000112,DEMOLITION,15979732.89,361,194904,185.9,72,CONCRETE,IECC_2021,0,0,0,OVERLAY,1,169369,71.09,191,LIC00000112,0
2016-04-22,JUR0000113,DEMOLITION,45453391.24,232,829630,180.6,23,STEEL,IECC_2009,0,0,0,I1,0,229937,81.58,167,LIC00000113,0
2016-04-23,JUR0000114,ALTERATION,28021878.87,184,1864562,204.4,58,WOOD,IECC_2021,0,0,0,RM,0,180962,85.45,7,LIC00000114,0
2016-04-24,JUR0000115,MEP,36801092.26,418,1569254,49.0,6,CONCRETE,LOCAL,1,0,0,I1,0,99183,64.13,103,LIC00000115,0
2016-04-25,JUR0000116,DEMOLITION,62780991.71,70,126072,164.8,7,MODULAR,IECC_2009,1,0,0,R2,0,169136,84.51,119,LIC00000116,0
2016-04-26,JUR0000117,DEMOLITION,24835302.99,149,2073353,96.7,26,MODULAR,LOCAL,0,0,0,C2,1,244402,89.84,112,LIC00000117,0
2016-04-27,JUR0000118,NEW_RES,49268116.08,24,1086795,241.0,15,MODULAR,IECC_2012,0,0,0,PUD,0,233328,89.8,139,LIC00000118,0
2016-04-28,JUR0000119,MEP,65876539.23,26,1855412,185.1,23,MIXED,IECC_2009,0,1,0,R1,0,175282,67.03,7,LIC00000119,0
2016-04-29,JUR0000120,MEP,78994787.97,124,2188514,147.5,8,MASONRY,IECC_2015,0,0,0,R3,0,225340,59.77,114,LIC00000120,1
2016-04-30,JUR0000121,ADDITION,20124917.11,398,453793,143.4,79,WOOD,IECC_2009,0,0,0,R1,0,193759,60.02,60,LIC00000121,0
2016-05-01,JUR0000122,ALTERATION,72333.51,134,668298,131.3,21,MIXED,IECC_2009,0,0,0,PUD,1,195065,92.69,103,LIC00000122,0
2016-05-02,JUR0000123,NEW_COMM,77077800.39,102,1818540,94.2,59,STEEL,LOCAL,0,0,0,R2,0,14105,82.09,40,LIC00000123,0
2016-05-03,JUR0000124,NEW_COMM,10687859.3,50,951943,167.7,69,MODULAR,LOCAL,1,0,0,MU,0,35673,63.05,109,LIC00000124,0
2016-05-04,JUR0000125,ALTERATION,555269.64,391,1023853,58.5,55,WOOD,IECC_2009,0,0,1,MU,0,118687,96.58,92,LIC00000125,0
2016-05-05,JUR0000126,ADDITION,35840089.94,41,1333138,145.2,23,WOOD,IECC_2009,1,0,1,RM,1,194451,59.83,88,LIC00000126,0
2016-05-06,JUR0000127,ADDITION,70400194.08,318,732257,79.1,48,MASONRY,LOCAL,1,0,0,R1,0,202591,71.01,23,LIC00000127,0
2016-05-07,JUR0000128,ADDITION,37369668.43,33,1968176,397.7,76,MODULAR,IECC_2021,0,0,0,R3,0,245532,71.96,157,LIC00000128,0
2016-05-08,JUR0000129,NEW_COMM,22312946.23,67,75964,101.5,26,MODULAR,IECC_2009,0,0,0,R2,1,169014,57.03,113,LIC00000129,0
2016-05-09,JUR0000130,DEMOLITION,43881053.25,184,743960,414.6,69,STEEL,IECC_2015,0,0,0,RM,1,52938,92.96,146,LIC00000130,0
2016-05-10,JUR0000131,NEW_RES,37393167.08,310,804151,422.8,63,MASONRY,IECC_2009,0,0,0,MU,0,230613,82.68,37,LIC00000131,0
2016-05-11,JUR0000132,ADDITION,39301411.5,175,1631736,252.9,82,MASONRY,IECC_2021,0,0,0,R1,0,153540,96.02,29,LIC00000132,0
2016-05-12,JUR0000133,NEW_COMM,61902518.48,378,1439129,321.5,4,WOOD,LOCAL,0,1,0,RM,0,249627,95.31,42,LIC00000133,0
2016-05-13,JUR0000134,NEW_RES,20886478.16,96,1021352,153.1,35,MIXED,IECC_2012,0,0,1,PUD,1,28876,65.13,174,LIC00000134,0
2016-05-14,JUR0000135,NEW_COMM,11489722.58,402,1641764,11.3,60,STEEL,IECC_2018,1,0,0,C1,0,193145,69.96,31,LIC00000135,0
2016-05-15,JUR0000136,NEW_COMM,4224726.5,29,1169269,292.3,84,WOOD,LOCAL,0,0,0,C2,0,218368,85.38,235,LIC00000136,0
2016-05-16,JUR0000137,MEP,48680428.55,183,464643,379.6,67,MASONRY,IECC_2021,0,0,0,OVERLAY,0,177397,68.57,233,LIC00000137,0
2016-05-17,JUR0000138,NEW_COMM,74188403.92,59,673563,87.5,68,MASONRY,IECC_2012,1,0,0,MU,0,186733,90.72,119,LIC00000138,0
2016-05-18,JUR0000139,DEMOLITION,4665374.39,331,1739699,235.5,88,STEEL,IECC_2018,0,0,0,R1,0,162256,81.57,50,LIC00000139,0
2016-05-19,JUR0000140,NEW_COMM,76268862.58,398,494232,343.5,43,MODULAR,IECC_2012,0,0,1,MU,0,213486,94.82,68,LIC00000140,0
2016-05-20,JUR0000141,MEP,21252223.61,16,465369,315.5,27,CONCRETE,LOCAL,1,0,1,R1,0,185075,58.2,124,LIC00000141,0
2016-05-21,JUR0000142,MEP,17001210.34,305,1368285,198.1,32,CONCRETE,IECC_2015,0,0,0,OVERLAY,0,49636,89.92,42,LIC00000142,0
2016-05-22,JUR0000143,ADDITION,31383866.83,323,110984,215.0,50,STEEL,LOCAL,1,0,0,RM,0,217748,75.44,213,LIC00000143,0
2016-05-23,JUR0000144,NEW_COMM,4836817.91,315,83891,155.6,42,WOOD,IECC_2012,1,0,0,RM,0,211380,61.79,96,LIC00000144,0
2016-05-24,JUR0000145,NEW_COMM,74821708.49,197,803004,250.4,83,WOOD,IECC_2018,0,0,0,C1,0,231123,64.9,41,LIC00000145,0
2016-05-25,JUR0000146,NEW_RES,18324382.54,12,1603831,412.8,33,MODULAR,IECC_2012,0,0,1,R2,0,207410,56.54,213,LIC00000146,0
2016-05-26,JUR0000147,DEMOLITION,53574441.11,397,166202,13.2,57,CONCRETE,IECC_2021,0,0,1,C1,0,234186,78.17,74,LIC00000147,0
2016-05-27,JUR0000148,ALTERATION,71216484.61,153,91609,392.1,74,MODULAR,IECC_2018,0,0,0,R3,0,121047,86.75,12,LIC00000148,0
2016-05-28,JUR0000149,ADDITION,9668281.71,256,599357,408.0,73,MIXED,IECC_2009,1,0,1,RM,0,247809,86.99,236,LIC00000149,0
2016-05-29,JUR0000150,ALTERATION,68986093.63,175,48657,75.2,88,MIXED,IECC_2009,0,0,1,MU,0,122397,71.8,151,LIC00000150,0
2016-05-30,JUR0000151,DEMOLITION,5791151.1,357,379963,300.1,22,WOOD,LOCAL,0,0,1,RM,0,68815,60.85,57,LIC00000151,0
2016-05-31,JUR0000152,MEP,51387165.13,100,1521922,372.4,54,MODULAR,IECC_2021,0,1,0,MU,0,76556,66.49,129,LIC00000152,0
2016-06-01,JUR0000153,NEW_COMM,31777597.91,420,742466,348.3,77,WOOD,IECC_2009,0,0,1,R3,0,233422,89.71,129,LIC00000153,0
2016-06-02,JUR0000154,NEW_RES,12795718.61,59,1563263,233.4,31,MIXED,IECC_2018,0,1,0,C2,0,39814,84.8,53,LIC00000154,0
2016-06-03,JUR0000155,MEP,40054120.08,262,60718,98.7,79,MODULAR,IECC_2018,0,0,0,OVERLAY,1,138552,84.2,84,LIC00000155,0
2016-06-04,JUR0000156,NEW_COMM,31615158.41,327,1928023,94.8,34,MIXED,LOCAL,0,0,0,C1,1,15396,85.22,226,LIC00000156,0
2016-06-05,JUR0000157,NEW_RES,1428130.15,164,1791819,331.5,77,MODULAR,IECC_2009,0,0,0,I1,0,77047,85.24,87,LIC00000157,0
2016-06-06,JUR0000158,ADDITION,43867380.13,151,50172,23.1,74,MASONRY,IECC_2021,0,0,0,C1,1,17995,85.89,126,LIC00000158,0
2016-06-07,JUR0000159,MEP,76670691.21,156,362545,72.0,55,CONCRETE,IECC_2021,1,0,0,PUD,0,211345,79.55,140,LIC00000159,0
2016-06-08,JUR0000160,NEW_RES,75355112.37,200,1568984,441.8,65,MASONRY,IECC_2015,0,0,0,PUD,0,191069,56.3,220,LIC00000160,0
2016-06-09,JUR0000161,MEP,84779370.76,125,2131034,262.8,1,CONCRETE,IECC_2012,0,0,1,R3,0,210204,75.41,154,LIC00000161,0
2016-06-10,JUR0000162,NEW_COMM,5980358.68,135,2126844,139.2,15,MASONRY,IECC_2015,0,0,0,R2,1,246664,96.04,46,LIC00000162,0
2016-06-11,JUR0000163,MEP,76689776.02,23,1038599,222.7,3,MODULAR,IECC_2012,1,0,1,C2,1,109520,70.58,43,LIC00000163,0
2016-06-12,JUR0000164,ADDITION,16572017.51,430,928854,61.7,11,WOOD,IECC_2009,0,1,0,I1,1,107938,67.5,138,LIC00000164,0
2016-06-13,JUR0000165,ALTERATION,14736489.16,42,2134543,187.7,43,MIXED,IECC_2021,0,0,0,R3,1,225278,66.62,192,LIC00000165,0
2016-06-14,JUR0000166,MEP,19660512.45,340,904963,292.7,27,WOOD,IECC_2012,1,0,1,PUD,0,183473,94.17,223,LIC00000166,0
2016-06-15,JUR0000167,NEW_RES,8559226.63,157,1737238,303.4,55,CONCRETE,IECC_2015,0,0,0,OVERLAY,0,171061,62.58,25,LIC00000167,0
2016-06-16,JUR0000168,ALTERATION,76871607.98,296,1285309,203.2,12,MODULAR,IECC_2012,1,0,0,MU,0,179911,90.38,100,LIC00000168,0
