safe_incident_incident_datetime_local,safe_incident_incident_type_code,safe_incident_ipc_ncrb_offense_code,safe_incident_call_priority_level,safe_incident_reporting_agency_ori,safe_incident_location_block_id,safe_incident_premise_type,safe_incident_weapon_involved_flag,safe_incident_injury_severity_code,safe_incident_victim_count,safe_incident_suspect_count,safe_incident_clearance_status_code,safe_incident_bias_motivation_flag,safe_incident_gang_related_flag,safe_incident_domestic_related_flag,safe_incident_property_loss_value_inr,safe_incident_body_worn_camera_flag,safe_incident_response_time_seconds,safe_incident_geocoding_accuracy_level,safe_incident_case_update_timestamp
2018-05-21 10:59:04,Vandalism,IPC-380,P3,IN-ORI-2805,BLK-b399791d6cb575,Office,N,Moderate,6,1,ExceptionallyCleared,N,N,Y,2963728,Y,3845,StreetSegment,2022-12-20 19:22:50
2019-10-08 15:19:39,DomesticViolence,IT-66C,P3,IN-ORI-3898,BLK-cba5417690312b,Office,N,Minor,7,0,Open,N,N,Y,1658144,N,2102,Neighborhood,2021-01-15 09:10:59
2018-02-18 00:52:59,Burglary,NDPS-20,P2,IN-ORI-1952,BLK-7b5e0faadf782f,Shop,N,Minor,1,3,ExceptionallyCleared,N,Y,Y,7313871,Y,4166,Rooftop,2020-01-09 06:53:09
2023-10-29 10:39:31,Homicide,IT-66C,P2,IN-ORI-7690,BLK-a1186efc426118,Apartment,Y,Moderate,6,2,ClearedByArrest,Y,N,Y,1570540,Y,1725,Parcel,2020-01-17 23:24:36
2024-01-25 17:25:09,Fraud,IPC-420,P3,IN-ORI-8834,BLK-63a2b614dd5b80,School,N,None,7,0,ExceptionallyCleared,Y,N,N,1493331,N,2381,Unknown,2020-08-22 15:34:20
2025-10-06 11:07:37,Theft,IPC-392,P1,IN-ORI-2119,BLK-bdb954f8f78b9c,Shop,N,None,5,4,UnderInvestigation,N,N,Y,4152107,Y,1154,StreetSegment,2024-01-12 18:11:51
2020-06-12 12:37:49,Assault,IPC-392,P4,IN-ORI-7718,BLK-67bbfc1f4a09ed,School,Y,None,1,0,ExceptionallyCleared,N,Y,N,4340433,N,5282,StreetSegment,2023-09-15 14:02:49
2020-08-24 19:30:27,Kidnapping,IPC-363,P3,IN-ORI-8967,BLK-6dcc7013f216f0,Market,Y,Minor,1,4,ClearedByArrest,Y,N,Y,7664841,N,958,Unknown,2024-05-09 01:34:10
2024-11-21 19:08:10,CyberCrime,IPC-363,P1,IN-ORI-5101,BLK-2796e7dba989bc,Market,N,Minor,6,5,ClearedByArrest,N,Y,Y,599337,Y,6891,Parcel,2023-11-29 01:57:59
2019-12-10 02:18:34,Fraud,NDPS-20,P3,IN-ORI-1976,BLK-e7f3396efe8602,ATM,N,None,1,1,UnderInvestigation,Y,Y,N,523436,Y,4277,Unknown,2021-08-31 12:40:57
2022-03-12 11:59:57,Burglary,IPC-420,P2,IN-ORI-5116,BLK-cbfef76f6dcff8,Park,Y,Fatal,2,3,UnderInvestigation,Y,N,Y,7678098,N,1045,Unknown,2024-10-01 02:14:51
2024-03-24 09:34:09,Narcotics,IPC-498A,P2,IN-ORI-6376,BLK-9335d00ae531e2,Warehouse,Y,Minor,6,3,UnderInvestigation,Y,N,Y,7722258,N,906,Parcel,2023-02-23 10:53:00
2022-06-19 22:44:23,CyberCrime,IPC-392,P2,IN-ORI-7892,BLK-37e566fed93e45,Apartment,N,Minor,5,4,UnderInvestigation,N,Y,N,6661925,Y,1138,Rooftop,2024-05-19 20:49:19
2019-07-10 16:39:46,Burglary,IPC-302,P3,IN-ORI-5735,BLK-b26794fc0dcbe8,Street,N,None,5,3,Open,N,N,N,1180470,N,5486,Ward,2025-09-16 17:14:28
2024-05-21 17:23:53,Vandalism,IPC-363,P1,IN-ORI-6745,BLK-95d52bb9e1d142,Apartment,Y,Fatal,5,0,ExceptionallyCleared,N,N,Y,594161,N,64,Ward,2025-04-06 17:11:18
2025-03-22 17:51:01,Vandalism,IPC-354,P2,IN-ORI-9245,BLK-37752b778d16b1,Warehouse,N,None,5,2,Open,Y,Y,N,1780328,Y,912,Rooftop,2024-11-04 14:36:30
2020-06-24 01:58:35,Vandalism,IPC-436,P3,IN-ORI-7018,BLK-35dcabbc1f9eb2,Residence,N,Minor,0,5,ExceptionallyCleared,Y,N,Y,7328681,N,4783,Neighborhood,2020-02-05 10:50:55
2025-07-04 20:07:54,Burglary,NDPS-20,P3,IN-ORI-5789,BLK-0027be992cb440,School,N,Severe,5,0,Open,N,Y,N,8206826,Y,2798,Neighborhood,2024-08-01 16:43:12
2018-08-23 12:55:38,Homicide,IPC-354,P3,IN-ORI-2163,BLK-6e1928aae43a7e,Park,Y,None,3,0,ClearedByArrest,N,Y,Y,6645270,Y,175,Neighborhood,2022-05-21 15:34:43
2021-06-16 11:35:27,Homicide,IPC-392,P1,IN-ORI-3026,BLK-da36b381d8bbed,Hospital,N,None,2,0,ExceptionallyCleared,Y,N,Y,2380441,N,2248,Parcel,2019-08-04 03:23:54
2021-07-19 16:47:36,DomesticViolence,IPC-392,P1,IN-ORI-7705,BLK-d97f0e5d983825,Warehouse,N,Moderate,3,1,UnderInvestigation,N,N,Y,5392978,N,2757,StreetSegment,2021-01-18 12:28:58
2021-06-24 20:12:01,Theft,IPC-354,P4,IN-ORI-7637,BLK-6e465954199f79,Apartment,N,Moderate,5,3,UnderInvestigation,Y,Y,N,3139664,N,3830,Neighborhood,2021-09-12 21:46:04
2024-05-06 13:00:04,Assault,IPC-380,P3,IN-ORI-6300,BLK-5d040504ac2c56,Apartment,N,None,4,2,UnderInvestigation,N,Y,N,2535497,N,1312,Parcel,2023-06-10 01:02:04
2018-10-23 08:23:06,Homicide,IPC-436,P3,IN-ORI-1658,BLK-b13a74453b4e90,Office,Y,None,2,2,ExceptionallyCleared,Y,N,Y,145186,Y,5362,Unknown,2020-06-13 17:45:31
2019-07-24 17:51:24,Assault,IPC-392,P4,IN-ORI-3729,BLK-467991a60a053f,Office,N,Minor,6,1,ExceptionallyCleared,N,Y,Y,224063,N,5737,Unknown,2021-03-31 18:54:01
2021-10-25 22:40:12,Vandalism,NDPS-21,P3,IN-ORI-2002,BLK-dc07ee5ce37fe4,Hospital,Y,Moderate,0,4,ClearedByArrest,Y,Y,Y,5068347,Y,6664,Ward,2022-12-08 00:38:52
2018-10-24 02:57:29,Narcotics,IPC-392,P3,IN-ORI-6435,BLK-226f8a2fd94443,Residence,N,Minor,2,1,Open,N,N,Y,2909186,Y,474,StreetSegment,2023-09-12 04:25:58
2022-11-15 22:57:28,Kidnapping,IPC-380,P3,IN-ORI-9772,BLK-400309ac6e9332,Park,N,None,0,5,Unfounded,N,N,N,3794692,N,1014,Rooftop,2024-06-10 06:14:30
2022-06-24 04:29:14,Kidnapping,NDPS-20,P2,IN-ORI-6662,BLK-70440ff4b62e02,Hospital,N,None,2,3,ClearedByArrest,N,N,N,6450612,Y,6703,Ward,2023-09-17 10:48:18
2023-02-24 07:14:34,CyberCrime,IPC-302,P3,IN-ORI-7934,BLK-0d13356795d7c8,Park,Y,None,0,1,ClearedByArrest,N,Y,Y,4409407,N,2725,StreetSegment,2019-03-14 13:38:45
2019-07-18 20:22:19,Narcotics,IPC-354,P3,IN-ORI-8374,BLK-4438a270a1d122,Shop,N,None,6,2,ExceptionallyCleared,N,N,N,4364850,N,2177,Parcel,2023-08-13 09:28:28
2025-07-22 18:56:00,Theft,NDPS-20,P2,IN-ORI-6715,BLK-606049899f92c3,Park,Y,Moderate,5,3,ClearedByArrest,N,Y,Y,2570805,N,4005,Rooftop,2023-01-05 16:15:12
2019-06-20 02:51:10,Burglary,IPC-302,P4,IN-ORI-9616,BLK-030580a82bfeb5,Apartment,Y,None,1,5,UnderInvestigation,Y,N,N,3047158,N,1215,Parcel,2022-12-30 15:25:48
2025-02-12 12:08:01,Vandalism,IPC-392,P2,IN-ORI-4885,BLK-bb2aeca7f8442b,Office,Y,Moderate,6,0,ClearedByArrest,Y,Y,Y,1970794,Y,4222,Rooftop,2021-03-09 18:28:34
2025-07-11 00:18:09,Vandalism,IPC-302,P2,IN-ORI-9490,BLK-cd76ab430a794e,Park,N,Moderate,3,1,Open,N,Y,N,8230453,N,1361,Parcel,2023-08-01 11:19:49
2024-03-24 11:24:48,Robbery,NDPS-21,P3,IN-ORI-5745,BLK-4be2d7c31b82db,Shop,N,Moderate,1,1,Open,Y,Y,Y,7916527,Y,2575,StreetSegment,2019-03-17 07:09:03
2019-08-20 04:30:09,Vandalism,NDPS-20,P2,IN-ORI-3630,BLK-5995dbf7cc8cb0,Warehouse,N,Moderate,3,2,Unfounded,N,N,N,5883401,Y,6046,StreetSegment,2019-09-16 07:31:39
2022-06-11 10:36:41,Fraud,IPC-354,P4,IN-ORI-5215,BLK-f3f8b87dabc889,Hospital,N,Minor,1,0,ClearedByArrest,N,Y,Y,4714142,N,6605,Unknown,2023-08-30 07:32:01
2025-12-14 09:07:44,Assault,IPC-498A,P3,IN-ORI-3257,BLK-15944a4cbcae4c,Street,N,None,2,2,UnderInvestigation,N,N,Y,6085599,Y,4866,Ward,2025-08-15 10:18:50
2018-08-09 12:39:47,Assault,IPC-354,P2,IN-ORI-2387,BLK-eaaa55eb0e3443,Residence,Y,None,7,1,UnderInvestigation,N,Y,Y,15503,Y,6809,Rooftop,2024-11-20 02:53:27
2023-06-22 18:04:48,CyberCrime,NDPS-21,P1,IN-ORI-2804,BLK-808129cf8ecc4a,Hospital,Y,None,1,4,UnderInvestigation,N,N,Y,3781343,N,531,Rooftop,2024-06-29 17:00:28
2019-06-21 22:22:47,Fraud,IPC-302,P4,IN-ORI-4389,BLK-2cb73f9bf721e9,Street,N,Minor,4,4,Open,Y,N,Y,4474748,Y,3700,StreetSegment,2023-12-15 12:32:08
2024-07-02 09:36:00,Narcotics,IPC-379,P4,IN-ORI-7039,BLK-0966f377a4c555,ATM,Y,Minor,4,1,Open,Y,Y,Y,8099820,N,3447,Parcel,2021-08-27 00:27:06
2020-03-17 17:20:45,Narcotics,IPC-498A,P1,IN-ORI-4017,BLK-6cd43829515a7a,Shop,Y,Moderate,5,0,Open,N,Y,Y,6702211,N,6475,Unknown,2021-04-15 05:18:13
2018-04-10 19:52:26,Vandalism,IPC-436,P1,IN-ORI-5160,BLK-eca03441f81119,School,N,None,6,3,Open,Y,N,Y,905353,N,122,StreetSegment,2023-01-01 17:36:42
2023-01-15 20:52:21,Kidnapping,IPC-498A,P2,IN-ORI-2383,BLK-606fec7c313581,Market,N,None,1,0,ExceptionallyCleared,N,Y,N,1235318,N,6862,Rooftop,2025-05-16 15:22:02
2019-12-15 18:23:14,Homicide,IPC-379,P3,IN-ORI-6745,BLK-dee7e2ff5344dd,Warehouse,N,Severe,5,0,UnderInvestigation,N,N,N,2878149,Y,78,Parcel,2021-10-06 07:35:04
2023-09-26 23:05:42,Fraud,IPC-498A,P4,IN-ORI-4398,BLK-54ed218d492f9b,Residence,N,None,2,3,UnderInvestigation,Y,N,N,1931115,N,5632,Neighborhood,2019-06-18 16:28:06
2024-01-10 01:34:40,Assault,IPC-392,P3,IN-ORI-4235,BLK-1864aa16229dfe,Residence,Y,None,2,4,UnderInvestigation,Y,N,Y,971369,N,1896,StreetSegment,2023-05-02 10:50:05
2024-12-14 04:49:27,DomesticViolence,IPC-380,P1,IN-ORI-8421,BLK-7195a05fade964,Apartment,Y,Moderate,4,2,ClearedByArrest,N,N,N,3996117,N,4480,Ward,2024-01-06 08:41:52
2022-02-10 04:02:19,Fraud,IPC-392,P2,IN-ORI-4076,BLK-df1984e8b33a00,Market,Y,None,2,0,Open,N,N,Y,8369046,N,2877,Neighborhood,2019-04-16 13:19:29
2021-01-14 17:02:14,Theft,IT-66C,P2,IN-ORI-8467,BLK-fcd68364de38e5,Warehouse,Y,None,6,2,UnderInvestigation,N,N,N,3217250,N,2197,Parcel,2022-07-22 05:06:46
2018-10-24 03:03:41,Theft,IT-66C,P3,IN-ORI-5022,BLK-3861b272bdbdf3,Residence,Y,None,2,0,ExceptionallyCleared,Y,N,Y,5720272,N,3351,Parcel,2024-08-11 01:37:34
2019-07-07 19:06:29,Fraud,IPC-498A,P3,IN-ORI-8776,BLK-1984b251da7501,Residence,Y,Minor,1,2,Open,Y,N,N,2075482,Y,5668,Unknown,2022-12-27 08:47:43
2020-06-05 23:01:23,Fraud,IPC-380,P1,IN-ORI-9725,BLK-16e6f8ab085269,Shop,Y,Severe,2,3,Unfounded,Y,Y,N,3821603,Y,5124,Unknown,2019-10-14 01:09:56
2021-07-07 04:11:46,Fraud,NDPS-20,P4,IN-ORI-2949,BLK-263f699d6ffc1d,Hospital,N,Minor,6,1,ExceptionallyCleared,Y,Y,N,5920417,Y,5348,Ward,2024-01-08 00:28:08
2019-09-26 01:18:30,Robbery,NDPS-20,P3,IN-ORI-8723,BLK-149dd8b3034628,Office,Y,Minor,2,2,UnderInvestigation,N,Y,N,5654227,N,5272,Unknown,2024-08-28 13:36:00
2024-05-31 22:54:38,Homicide,IPC-436,P4,IN-ORI-6249,BLK-852297297dbce5,Transit,N,None,3,3,Open,Y,Y,N,2537178,N,77,Rooftop,2021-06-01 17:22:10
2018-07-20 22:11:43,Arson,NDPS-21,P2,IN-ORI-3168,BLK-067c2bcb72a587,Office,N,None,0,5,Open,N,Y,Y,671841,Y,943,Neighborhood,2020-12-10 09:49:56
2024-03-12 03:50:03,Theft,IPC-420,P4,IN-ORI-5013,BLK-5756c596470f8e,Transit,N,None,2,1,UnderInvestigation,Y,Y,N,5582125,Y,792,Neighborhood,2023-10-11 03:01:49
2022-06-22 23:00:09,Vandalism,NDPS-21,P3,IN-ORI-3863,BLK-5870c0068544d3,School,Y,None,0,1,ClearedByArrest,N,N,Y,7171353,N,184,Parcel,2020-10-02 17:51:24
2024-01-01 12:29:39,CyberCrime,IPC-392,P2,IN-ORI-3761,BLK-a8b02e4b4ba4ef,Apartment,N,None,4,2,Unfounded,N,Y,Y,8298401,N,3496,Ward,2024-12-13 16:52:56
2025-02-11 05:01:51,Fraud,IPC-392,P2,IN-ORI-7910,BLK-a3bda01b6ef2c4,Hospital,N,None,4,4,ClearedByArrest,Y,Y,N,1229933,N,3602,Ward,2021-01-22 06:56:01
2022-10-17 15:55:48,Burglary,IPC-354,P2,IN-ORI-5679,BLK-1c55e8a18b9b9c,Market,N,Severe,7,1,Open,N,Y,N,6912705,N,6757,Ward,2020-12-26 08:57:23
2020-11-27 20:28:30,Vandalism,IPC-363,P3,IN-ORI-3544,BLK-9ba9997049ab7b,Apartment,N,None,1,2,UnderInvestigation,Y,N,Y,844747,Y,3656,Parcel,2019-11-26 03:25:02
2020-12-16 11:37:18,Fraud,IPC-380,P3,IN-ORI-2347,BLK-32e46032759e5e,Market,Y,None,3,0,UnderInvestigation,Y,N,Y,759090,N,4383,StreetSegment,2019-12-29 13:04:32
2021-07-16 19:11:47,Homicide,IPC-354,P3,IN-ORI-7840,BLK-67418e2496145c,Office,N,None,1,2,Unfounded,Y,Y,Y,286071,N,3582,Unknown,2025-06-05 14:10:45
2022-09-07 00:47:48,Robbery,IPC-498A,P2,IN-ORI-6835,BLK-2d897f9c5a4ccc,School,Y,Minor,4,5,Open,Y,Y,Y,5842925,Y,1136,Unknown,2021-11-19 09:46:52
2019-12-02 14:51:01,Fraud,IPC-379,P4,IN-ORI-4144,BLK-b28de5e6296e0d,Hospital,N,Moderate,5,0,ClearedByArrest,N,Y,Y,450876,N,6562,Parcel,2019-08-26 23:05:15
2023-10-01 18:53:09,Kidnapping,IPC-436,P1,IN-ORI-4301,BLK-b9b452fde53664,Street,N,None,4,5,Unfounded,Y,Y,N,1175213,N,2685,StreetSegment,2024-10-04 11:23:44
2025-10-23 15:19:34,Arson,IPC-354,P2,IN-ORI-8786,BLK-c82f06628dfe63,Warehouse,N,None,1,5,UnderInvestigation,Y,Y,Y,3597497,N,7114,Ward,2020-07-16 14:54:18
2025-04-01 12:05:54,Burglary,IPC-392,P3,IN-ORI-3407,BLK-2751cabb5c3ee5,Residence,Y,Fatal,3,1,ExceptionallyCleared,Y,N,Y,7334058,Y,6297,Parcel,2023-10-16 13:46:12
2023-10-29 14:38:38,Vandalism,IPC-354,P2,IN-ORI-1460,BLK-46a5d45a56c15a,Apartment,Y,None,0,3,Open,N,Y,N,6798320,Y,5267,Parcel,2025-08-11 11:40:40
2020-09-06 02:22:19,Fraud,IT-66C,P2,IN-ORI-6228,BLK-2c7fb651e178c5,Park,N,Minor,0,2,Open,N,N,Y,2478674,N,4822,Neighborhood,2021-08-05 15:35:26
2019-02-14 01:42:12,DomesticViolence,IPC-354,P2,IN-ORI-6261,BLK-31ce0767520346,Transit,N,Moderate,1,4,Unfounded,N,Y,N,5921969,N,4941,Rooftop,2020-04-13 13:11:45
2025-04-02 18:23:36,Robbery,IPC-420,P4,IN-ORI-9553,BLK-03009bfe6c53b2,Hospital,Y,None,6,0,Unfounded,N,Y,N,3274517,Y,2347,Unknown,2025-01-03 19:05:01
2019-08-26 18:20:55,Vandalism,IPC-436,P4,IN-ORI-9627,BLK-8f806994cba25e,Warehouse,N,None,3,1,Unfounded,Y,Y,Y,711371,Y,6340,Rooftop,2022-05-10 11:52:32
2021-04-14 03:06:01,Vandalism,IPC-420,P3,IN-ORI-3220,BLK-2ddeb93a99750d,Market,Y,None,0,0,Open,Y,Y,N,5667667,Y,7002,Unknown,2023-02-27 05:45:07
2019-06-16 22:38:20,Burglary,IPC-498A,P4,IN-ORI-1976,BLK-05c27bfe3bc241,ATM,N,Severe,2,4,UnderInvestigation,Y,Y,Y,4613974,Y,273,Ward,2022-12-21 20:40:58
2024-01-20 01:36:03,CyberCrime,IPC-392,P2,IN-ORI-9301,BLK-bf2c4287018d69,Warehouse,N,Minor,7,0,Unfounded,N,Y,N,4114320,Y,6970,Rooftop,2020-10-08 19:59:56
2021-04-24 22:45:46,DomesticViolence,IPC-379,P4,IN-ORI-8393,BLK-ef6f368ad661aa,Residence,Y,Minor,4,4,Open,Y,Y,Y,6949515,N,538,Ward,2021-03-09 16:04:13
2022-11-20 08:34:00,Kidnapping,IPC-392,P1,IN-ORI-2923,BLK-340cf396824481,Apartment,Y,Severe,3,3,ClearedByArrest,Y,N,N,4256064,Y,6697,Ward,2024-06-27 18:41:57
2024-09-29 17:58:03,DomesticViolence,IPC-498A,P4,IN-ORI-9686,BLK-3a5776a4547d10,Warehouse,Y,None,0,5,ExceptionallyCleared,Y,N,Y,1288076,Y,6153,Neighborhood,2024-01-30 22:55:56
2020-11-01 01:19:30,Burglary,IPC-379,P3,IN-ORI-7870,BLK-5bda1a491f2f17,Street,Y,None,6,4,ClearedByArrest,Y,N,N,1873667,N,5552,Unknown,2023-02-07 16:48:19
2023-06-18 15:33:14,Assault,IPC-380,P2,IN-ORI-4780,BLK-52ca1f44230ec8,Warehouse,N,None,3,2,ExceptionallyCleared,Y,Y,N,3338023,N,3440,Rooftop,2023-12-24 18:34:48
2018-05-13 00:11:07,DomesticViolence,IT-66C,P3,IN-ORI-5527,BLK-2c15b91296da86,Transit,Y,Minor,2,5,ExceptionallyCleared,N,N,N,636496,N,4059,Ward,2020-03-21 02:27:34
2020-03-16 10:04:59,Arson,NDPS-20,P1,IN-ORI-7187,BLK-1d4ad917c0b067,Apartment,N,Minor,4,1,Unfounded,Y,Y,Y,6546978,Y,4336,Parcel,2023-01-26 01:23:02
2019-08-22 07:30:31,Robbery,IPC-420,P4,IN-ORI-7582,BLK-2b1b707fa14fef,Warehouse,N,Moderate,7,2,Open,Y,N,Y,5217377,Y,3906,Parcel,2025-12-21 09:21:32
2022-02-04 07:59:27,Homicide,IPC-380,P1,IN-ORI-2406,BLK-c9b1814308bb51,Office,Y,None,0,0,Unfounded,N,N,Y,357677,Y,6821,Rooftop,2019-10-09 20:52:53
2023-06-03 12:52:06,Robbery,IPC-436,P4,IN-ORI-1661,BLK-a262a2c2ecba45,Shop,N,Minor,2,5,UnderInvestigation,Y,N,Y,1805402,N,5184,Rooftop,2025-07-21 12:15:24
2018-04-19 10:02:07,Theft,NDPS-20,P2,IN-ORI-8011,BLK-022c926b7cf8f4,Street,Y,None,0,2,ClearedByArrest,Y,Y,N,8126874,N,1473,StreetSegment,2019-11-07 10:46:24
2023-08-21 17:33:08,DomesticViolence,IPC-498A,P2,IN-ORI-9964,BLK-5cdcc58241f974,Park,Y,Moderate,7,5,Unfounded,Y,N,N,1840172,N,7009,Unknown,2021-06-14 11:21:52
2019-03-12 02:13:00,Vandalism,IT-66C,P3,IN-ORI-9562,BLK-be5997c2ee6cda,Office,Y,None,6,3,Unfounded,N,N,N,489590,N,3117,Neighborhood,2025-10-15 01:07:07
2024-10-12 06:16:49,Vandalism,IPC-380,P4,IN-ORI-6104,BLK-75e310c566f250,Office,Y,None,3,4,ClearedByArrest,Y,N,N,46194,Y,5026,Unknown,2025-02-27 09:09:11
2022-12-23 15:55:59,DomesticViolence,IPC-380,P3,IN-ORI-8256,BLK-7af2c2ed6a8df6,School,Y,None,1,0,ExceptionallyCleared,N,Y,Y,6340346,N,1443,Parcel,2020-01-14 22:04:48
2024-02-25 16:28:49,Arson,NDPS-21,P3,IN-ORI-7625,BLK-438ee4b254859c,Warehouse,Y,None,1,2,Unfounded,Y,Y,Y,570549,Y,2895,Ward,2022-01-11 22:04:35
2021-05-16 02:08:59,Homicide,IPC-392,P4,IN-ORI-3697,BLK-6bc9e5bcaad270,Hospital,N,None,4,5,ExceptionallyCleared,N,Y,N,8340848,Y,1005,Ward,2024-01-16 01:28:57
2023-09-30 14:18:34,Theft,IPC-498A,P3,IN-ORI-7481,BLK-ee6f188f06b64c,Hospital,Y,Severe,7,5,UnderInvestigation,Y,N,Y,1183898,N,4009,Parcel,2024-04-06 05:20:43
2019-11-30 15:06:57,Fraud,IPC-302,P1,IN-ORI-4416,BLK-4ef2f8b542b4bf,Warehouse,N,Minor,6,0,UnderInvestigation,Y,N,Y,5714132,Y,6342,Unknown,2019-05-07 13:44:19
2025-07-08 03:07:01,Homicide,IPC-363,P3,IN-ORI-7611,BLK-669fbbedfe2718,Transit,N,Fatal,1,4,Open,Y,N,N,2591524,N,5227,StreetSegment,2024-08-13 21:28:54
2022-04-08 06:32:40,DomesticViolence,IPC-302,P4,IN-ORI-6156,BLK-81e60ecd5219fe,Park,Y,None,6,3,UnderInvestigation,Y,N,N,5768710,N,4122,Rooftop,2022-03-23 13:05:28
2021-03-21 13:46:14,Vandalism,IPC-302,P3,IN-ORI-4367,BLK-95fbefc1d58c8c,Warehouse,N,None,1,3,UnderInvestigation,Y,N,Y,8288716,N,2054,StreetSegment,2023-09-14 02:46:57
2022-05-26 10:09:19,Kidnapping,IPC-420,P4,IN-ORI-2627,BLK-e8c04c5099eead,Office,Y,Minor,1,3,Unfounded,Y,N,N,8091843,N,1910,StreetSegment,2025-02-12 03:29:30
2025-11-22 07:06:47,Arson,IPC-379,P3,IN-ORI-4451,BLK-4cc56ef88897d0,School,Y,None,1,1,ClearedByArrest,Y,N,Y,1435645,N,7021,Unknown,2021-03-23 22:22:01
2020-09-19 02:20:30,CyberCrime,NDPS-20,P2,IN-ORI-9416,BLK-727fa25baa1c1d,Market,Y,None,4,4,UnderInvestigation,Y,Y,Y,2820989,N,7096,StreetSegment,2022-09-23 23:58:31
2025-06-28 10:17:55,Narcotics,IPC-420,P2,IN-ORI-2729,BLK-e584b97a8153a6,Market,Y,None,5,1,Unfounded,N,Y,N,4116180,N,1932,Ward,2024-10-22 23:48:02
2019-12-15 21:21:25,CyberCrime,NDPS-20,P1,IN-ORI-9511,BLK-535024fd3c13b8,ATM,Y,None,7,5,UnderInvestigation,Y,N,N,4555655,N,3650,Parcel,2019-11-07 12:34:31
2025-11-06 12:34:14,DomesticViolence,NDPS-21,P4,IN-ORI-3693,BLK-c1e0ed52c667a0,Street,Y,Moderate,5,2,ExceptionallyCleared,N,Y,Y,5214208,N,1272,StreetSegment,2021-05-26 03:41:30
2021-08-01 03:33:10,Kidnapping,IPC-302,P3,IN-ORI-2042,BLK-9ba616688ac6b8,Street,N,Minor,6,4,ClearedByArrest,N,Y,Y,7218267,Y,7102,StreetSegment,2020-10-30 15:12:35
2023-05-30 10:33:03,Kidnapping,IPC-363,P4,IN-ORI-5731,BLK-3961a01207944a,Office,N,Moderate,7,5,ExceptionallyCleared,N,Y,N,4369538,Y,2341,Parcel,2025-10-22 05:42:44
2024-09-05 06:07:11,Kidnapping,IT-66C,P2,IN-ORI-4254,BLK-9aa21c9e0e139b,Office,Y,None,5,0,Open,Y,Y,Y,4038846,Y,5839,Parcel,2019-04-11 03:29:55
