civic_results_election_id,civic_results_contest_id,civic_results_office_type_code,civic_results_district_code,civic_results_polling_station_reporting_status,civic_results_vote_total_candidate_1,civic_results_vote_total_candidate_2,civic_results_vote_total_candidate_3,civic_results_vote_total_writein,civic_results_vote_total_overvotes,civic_results_vote_total_undervotes,civic_results_margin_votes,civic_results_margin_pct,civic_results_swing_from_prior_pct,civic_results_incumbent_flag,civic_results_party_primary_flag,civic_results_ranked_choice_rounds_count,civic_results_recount_trigger_flag,civic_results_certification_date,civic_results_result_source_file_hash
IN-2017-PANCHAYAT-00099,CT2017000099,WARD_MEMBER,DD-16,FINAL,6306,2977,216,9,8,16,3329,35.05,-10.87,0,0,1,0,2017-01-29,a6516695d365ea58861ddf59
IN-2020-VIDHANSABHA-00100,CT2020000100,MLA,KL-61,FINAL,2524,5190,449,14,19,7,2666,32.66,-3.59,1,0,1,0,2020-11-19,feb0c30e8b726744360080d4
IN-2019-BYE-00101,CT2019000101,WARD_MEMBER,OD-66,FINAL,5488,3042,380,0,21,12,2446,27.45,-11.29,1,0,1,0,2019-08-20,23a0d16ce7ab4a39aabf9228
IN-2021-VIDHANSABHA-00102,CT2021000102,MLA,AR-52,FINAL,683,2291,641,25,21,72,1608,44.48,-5.59,0,1,1,0,2021-11-02,b5d5eab8b3cfab6e02474d48
IN-2021-BYE-00103,CT2021000103,MLA,TN-01,FINAL,3710,868,1249,29,29,15,2461,42.23,-11.77,1,0,1,0,2021-08-22,9a820406c8ee8e2fd832d3b1
IN-2022-BYE-00104,CT2022000104,MP,LD-17,FINAL,2833,1850,999,12,25,43,983,17.3,3.41,0,0,1,0,2022-08-01,810301563e826a77c30e093f
IN-2014-MUNICIPAL-00105,CT2014000105,WARD_MEMBER,AN-18,FINAL,4968,5205,1482,50,17,53,237,2.03,4.94,0,0,1,0,2014-06-27,1fdeef877c846a64bf9bbd9d
IN-2017-BYE-00106,CT2017000106,MLA,HR-68,PARTIAL,6127,5233,620,42,9,9,894,7.46,4.52,1,0,1,0,2018-01-27,c00eb314fd3804da27c0db1a
IN-2024-LOKSABHA-00107,CT2024000107,SARPANCH,CG-10,FINAL,5332,3585,1125,44,17,52,1747,17.4,9.1,0,0,1,0,2024-03-13,7a38a3510753d5e169f8882c
IN-2022-BYE-00108,CT2022000108,MAYOR,UK-78,PARTIAL,2309,2407,3648,25,22,56,1241,14.84,4.69,0,0,1,0,2022-11-10,9b39ebda34f37b6332d57536
IN-2022-BYE-00109,CT2022000109,MLA,RJ-42,FINAL,3712,1986,383,17,15,15,1726,28.38,3.12,1,0,1,0,2022-08-16,024a348906e9c224afdc5c05
IN-2021-VIDHANSABHA-00110,CT2021000110,MAYOR,AS-23,FINAL,706,634,592,3,30,62,72,3.73,-2.44,0,0,1,0,2021-11-16,6635d88e4b2f9f5de5695a72
IN-2019-VIDHANSABHA-00111,CT2019000111,MP,DL-39,PARTIAL,1485,451,21,15,20,38,1034,52.84,1.27,1,0,1,0,2019-07-25,6e6722d4a3c26136edfbd843
IN-2018-PANCHAYAT-00112,CT2018000112,WARD_MEMBER,GJ-44,FINAL,1886,2232,5792,30,6,8,3560,35.92,4.69,0,0,1,0,2018-12-17,652ed8e81fb181f20ba7315b
IN-2015-VIDHANSABHA-00113,CT2015000113,MP,AS-34,FINAL,3936,1387,1834,19,22,78,2102,29.37,4.29,0,0,1,0,2015-02-25,245a15b32c9e17e163928e88
IN-2022-MUNICIPAL-00114,CT2022000114,MAYOR,HP-54,FINAL,921,56,419,45,5,26,502,35.96,0.38,0,1,1,0,2022-07-18,99b03bbce67552e8970493b1
IN-2020-PANCHAYAT-00115,CT2020000115,MAYOR,ML-28,FINAL,5613,3243,1467,26,28,4,2370,22.96,8.45,1,0,1,0,2020-04-02,2fe6d499f9955c9b9840809a
IN-2017-BYE-00116,CT2017000116,WARD_MEMBER,AR-37,FINAL,4191,3977,1604,23,22,48,214,2.19,0.76,1,0,1,0,2017-11-29,c855362e328df2792d2b1330
IN-2017-LOKSABHA-00117,CT2017000117,MP,UK-45,FINAL,2022,538,608,38,6,38,1414,44.63,2.35,0,1,1,0,2017-11-11,6752d07711d6fc56a3581f94
IN-2024-VIDHANSABHA-00118,CT2024000118,MLA,AP-20,FINAL,4448,497,197,2,1,40,3951,76.84,11.72,0,1,1,0,2024-10-12,aa15a148e18f43a0c0e63702
IN-2018-PANCHAYAT-00119,CT2018000119,SARPANCH,DN-04,FINAL,2216,4603,626,35,16,14,2387,32.06,3.43,1,0,1,0,2018-02-26,f3f5d363568c73c56c24d90e
IN-2021-LOKSABHA-00120,CT2021000120,MLA,PY-66,FINAL,1349,1758,394,42,20,5,409,11.68,3.41,1,0,1,0,2021-09-21,fcb293bca74047a94ac11fd3
IN-2020-BYE-00121,CT2020000121,SARPANCH,MH-66,FINAL,258,3094,4713,36,22,50,1619,20.07,-3.38,1,0,1,0,2020-11-16,1dfb4aee9b5536a486523415
IN-2014-PANCHAYAT-00122,CT2014000122,MLA,MH-31,FINAL,8432,1637,607,29,9,63,6795,63.65,-6.96,0,0,1,0,2014-11-02,53f6d5aa3f359759bfca78bb
IN-2014-VIDHANSABHA-00123,CT2014000123,MP,MH-44,FINAL,4929,3258,3515,50,15,37,1414,12.08,10.58,1,0,1,0,2014-07-31,6250d9141d1eea5dd26226d3
IN-2017-VIDHANSABHA-00124,CT2017000124,MP,JK-24,FINAL,3213,2558,4951,29,23,24,1738,16.21,-6.59,0,0,1,0,2017-02-25,1817bb6c4f1edd0ae5161e77
IN-2015-PANCHAYAT-00125,CT2015000125,MLA,MZ-54,FINAL,2510,3930,4050,42,10,53,120,1.14,-4.89,1,0,1,0,2015-03-01,b52ee51ac3d1bfd253333f21
IN-2021-VIDHANSABHA-00126,CT2021000126,MP,SK-51,FINAL,3590,828,1334,24,8,21,2256,39.22,-10.2,0,0,1,0,2021-12-29,465b4e153e23ba798eba88d2
IN-2017-BYE-00127,CT2017000127,WARD_MEMBER,AS-65,FINAL,4321,2030,734,41,5,19,2291,32.34,0.53,0,0,1,0,2018-01-03,a9e80c13ef20c08f00e4f395
IN-2025-PANCHAYAT-00128,CT2025000128,MLA,HP-03,PARTIAL,3133,1286,818,27,26,68,1847,35.27,3.47,1,0,1,0,2025-05-31,e2620db02f091b6048b4f906
IN-2023-BYE-00129,CT2023000129,WARD_MEMBER,GJ-63,PARTIAL,4022,2492,357,7,9,26,1530,22.27,5.63,1,0,1,0,2023-04-09,35a6d42da87037d27fb7c207
IN-2025-PANCHAYAT-00130,CT2025000130,MAYOR,DD-17,FINAL,3304,1000,4273,40,8,31,969,11.3,4.91,1,0,1,0,2025-08-02,b7612878d75d5de8e3a3687b
IN-2022-PANCHAYAT-00131,CT2022000131,MLA,MN-11,FINAL,4181,2093,1665,26,2,39,2088,26.3,5.54,0,0,1,0,2022-11-29,a57d4cd0a6ac38752f0ffe61
IN-2025-MUNICIPAL-00132,CT2025000132,MLA,ML-43,FINAL,2262,862,2339,28,22,0,77,1.41,-3.68,0,0,1,0,2025-12-17,5386455c76c03878ccf88823
IN-2021-VIDHANSABHA-00133,CT2021000133,MP,WB-08,PARTIAL,2798,1279,751,43,26,67,1519,31.46,-5.59,0,0,1,0,2021-11-19,faec6050d85c68a7f047965d
IN-2015-LOKSABHA-00134,CT2015000134,MAYOR,DD-52,FINAL,1251,1828,1135,33,3,68,577,13.69,-8.96,0,0,1,0,2016-01-24,4d7fc80940b1da811b5af83a
IN-2025-LOKSABHA-00135,CT2025000135,WARD_MEMBER,RJ-38,FINAL,682,3112,180,18,0,29,2430,61.15,-3.47,0,0,3,0,2025-12-12,d610b43e7da3222787f12937
IN-2015-PANCHAYAT-00136,CT2015000136,MLA,ML-34,FINAL,3896,1539,2644,37,7,13,1252,15.5,1.88,1,0,1,0,2015-12-14,06d75da6bbe3d04ee594a615
IN-2017-VIDHANSABHA-00137,CT2017000137,MAYOR,GA-39,FINAL,3455,1080,703,48,26,27,2375,45.34,-8.89,1,0,1,0,2018-01-04,e101105c01a9cd6533c6ff03
IN-2016-BYE-00138,CT2016000138,MLA,WB-10,FINAL,4536,2437,2931,7,29,12,1605,16.21,6.76,0,1,1,0,2017-01-01,ca16d5652fb6ed1ecd7ae790
IN-2025-BYE-00139,CT2025000139,MLA,CH-06,FINAL,1445,1288,1608,10,2,29,163,3.75,-7.51,0,0,1,0,2025-06-02,30c21c3a8e156010a39682f2
