biz_sme_reference_year,biz_sme_country_iso2,biz_sme_region_nuts_code,biz_sme_sector_nace_section,biz_sme_sme_definition_code,biz_sme_micro_enterprises_count,biz_sme_small_enterprises_count,biz_sme_medium_enterprises_count,biz_sme_employment_sme_total,biz_sme_value_added_sme_eur,biz_sme_access_to_finance_index,biz_sme_venture_capital_investment_eur,biz_sme_interest_rate_on_loans_pct,biz_sme_digital_intensity_score,biz_sme_exporting_sme_share_pct,biz_sme_innovation_active_share_pct,biz_sme_sustainability_reporting_csrd_flag,biz_sme_late_payment_days_avg,biz_sme_eurostat_table_code,biz_sme_data_extract_date
2011,PT,GR437,F,EU_SME_2003_361_EC,1618,349,71,12282,801978974.33,83.61,17832234.35,1.957,72.06,9.41,36.34,0,26.99,bd_9bd_sz_cl_r2,2025-01-30
2012,SI,SI84,Q,NATIONAL_SME,1510,265,44,9073,1109110546.57,36.67,61831330.46,2.807,13.57,35.25,19.39,0,35.89,sbs_na_sca_r2,2025-01-15
2013,AT,AT48,G,BANKING_SME,1120,182,79,7704,660378436.18,77.37,197887825.5,7.535,40.61,10.69,27.7,0,27.45,isoc_sme,2024-04-18
2014,HR,FI6,R,MIXED,1468,312,56,14021,685170375.28,52.31,80578255.2,6.366,88.61,7.3,24.25,0,40.13,sbs_sc_sca_r2,2025-11-05
2015,DK,FR95,H,EU_SME_2003_361_EC,1004,176,26,5395,474126423.54,81.23,62240930.22,1.267,71.64,48.11,27.72,1,64.39,tin00145,2024-07-13
2016,FR,GR95,S,NATIONAL_SME,1532,235,74,10384,708253443.98,36.78,33059527.31,0.389,15.13,20.38,45.21,0,54.21,bd_9bd_sz_cl_r2,2025-08-07
2017,HU,DE333,I,BANKING_SME,1474,118,37,7703,835809689.82,53.72,159998502.12,4.286,17.89,57.52,51.64,1,34.77,sbs_na_sca_r2,2024-09-02
2018,LV,DK752,T,MIXED,1662,342,102,10278,1418193775.21,39.85,30748706.14,2.914,43.22,58.2,20.79,1,28.03,isoc_sme,2024-10-18
2019,MT,MT252,J,EU_SME_2003_361_EC,1215,108,84,10080,923255847.62,50.79,103813967.99,7.097,20.15,40.79,18.95,0,45.38,sbs_sc_sca_r2,2024-03-30
2020,PT,PT12,U,NATIONAL_SME,1761,181,43,8781,549451701.84,78.35,112774760.94,8.091,58.98,17.62,13.64,0,43.76,tin00145,2025-10-27
2021,SI,DK5,K,BANKING_SME,1017,181,60,4818,639356784.83,71.93,41991915.06,6.362,10.35,9.91,55.98,0,58.58,bd_9bd_sz_cl_r2,2025-07-10
2022,AT,GR6,A,MIXED,1559,125,114,12150,1482026805.11,82.44,106556166.09,4.839,84.92,44.54,57.8,1,49.97,sbs_na_sca_r2,2025-03-19
2023,HR,HU17,L,EU_SME_2003_361_EC,1500,258,92,7943,1062752139.12,63.15,25240759.46,3.755,75.39,54.8,30.07,1,32.82,isoc_sme,2024-04-30
2024,DK,GR49,B,NATIONAL_SME,1034,112,44,7376,244198055.48,45.87,102613430.77,8.994,85.06,60.72,13.18,0,2.2,sbs_sc_sca_r2,2025-07-01
2025,FR,AT461,M,BANKING_SME,1226,133,76,6841,219839926.15,49.5,55319370.48,9.051,22.6,27.45,31.4,0,19.58,tin00145,2024-04-09
2026,HU,PT884,C,MIXED,1208,261,63,11511,1566280376.42,54.79,42860373.51,3.177,47.26,51.07,25.94,1,37.19,bd_9bd_sz_cl_r2,2024-03-30
2010,LV,SE584,N,EU_SME_2003_361_EC,1212,190,86,9209,394306741.56,43.19,90317934.49,5.808,43.18,42.31,18.94,0,50.16,sbs_na_sca_r2,2024-08-31
2011,MT,NL35,D,NATIONAL_SME,1486,123,76,8245,546555593.83,78.1,384954628.26,3.007,22.37,6.52,21.05,1,63.43,isoc_sme,2025-02-07
2012,PT,LT16,O,BANKING_SME,1774,372,139,13060,1640671698.05,61.99,89942739.01,1.222,70.92,22.1,26.94,1,42.36,sbs_sc_sca_r2,2024-08-27
2013,SI,SK9,E,MIXED,1372,136,46,8374,550138178.54,77.81,137896269.51,1.237,67.95,51.58,27.76,0,35.94,tin00145,2024-01-30
2014,AT,ES2,P,EU_SME_2003_361_EC,1843,376,112,18136,1202648907.15,59.39,44773367.57,5.026,70.6,11.48,30.85,1,3.54,bd_9bd_sz_cl_r2,2026-02-17
2015,HR,SI68,F,NATIONAL_SME,1696,340,49,13196,511319452.23,52.18,1248959.77,9.365,29.86,34.36,18.13,1,12.47,sbs_na_sca_r2,2025-09-30
2016,DK,LV25,Q,BANKING_SME,1645,359,69,14454,769000847.5,78.85,142620534.11,7.128,41.46,8.45,23.37,0,24.62,isoc_sme,2024-06-18
2017,FR,IT32,G,MIXED,1153,175,89,6848,344986031.46,42.32,34855415.94,3.911,56.55,48.67,7.92,0,23.81,sbs_sc_sca_r2,2025-06-11
2018,HU,LU15,R,EU_SME_2003_361_EC,1537,223,70,9863,838291160.54,44.2,84496710.79,8.274,73.64,11.48,12.55,0,29.79,tin00145,2025-11-19
2019,LV,HU7,H,NATIONAL_SME,1731,265,71,9730,852777237.3,45.11,84189655.73,5.498,30.6,10.5,46.41,0,6.14,bd_9bd_sz_cl_r2,2025-09-26
2020,MT,BE1,S,BANKING_SME,1755,152,102,12609,1402387809.46,61.27,20249268.21,6.32,44.43,27.76,50.67,0,63.34,sbs_na_sca_r2,2024-10-27
2021,PT,GR87,I,MIXED,1356,173,91,9190,1174184338.98,37.15,57029319.29,1.734,93.48,32.66,11.28,1,20.04,isoc_sme,2025-09-05
2022,SI,LT587,T,EU_SME_2003_361_EC,1788,341,40,10738,662848629.89,60.86,61332805.45,3.105,76.43,24.83,19.49,0,54.58,sbs_sc_sca_r2,2025-06-06
2023,AT,LV48,J,NATIONAL_SME,1445,290,43,9429,873251398.75,44.25,58501371.31,2.113,72.36,14.96,21.15,1,13.72,tin00145,2025-08-10
2024,HR,LU4,U,BANKING_SME,1485,292,87,6996,935080528.09,76.28,238573194.6,0.341,34.77,50.21,17.28,1,13.32,bd_9bd_sz_cl_r2,2025-05-23
2025,DK,IT44,K,MIXED,1139,242,63,6863,612712902.3,43.97,980745.79,9.273,33.67,53.52,7.43,0,25.44,sbs_na_sca_r2,2025-04-18
2026,FR,LV386,A,EU_SME_2003_361_EC,1214,252,39,9019,689594425.41,62.59,101902355.25,6.861,71.3,33.53,9.79,0,19.24,isoc_sme,2025-01-24
2010,HU,CZ838,L,NATIONAL_SME,1386,121,53,7008,465619281.56,50.19,181454474.15,8.824,36.05,8.9,14.81,1,36.0,sbs_sc_sca_r2,2025-07-06
2011,LV,FI35,B,BANKING_SME,1022,142,26,4970,646062400.92,57.0,139472450.57,0.323,34.82,31.7,50.55,0,47.19,tin00145,2025-07-24
2012,MT,EE4,M,MIXED,1192,209,82,9249,1245072486.56,33.19,104415106.15,7.904,46.39,41.65,45.99,1,18.37,bd_9bd_sz_cl_r2,2025-02-01
2013,PT,BE510,C,EU_SME_2003_361_EC,1855,274,108,10132,444139311.2,35.64,111956630.15,6.187,10.96,47.51,51.27,1,60.65,sbs_na_sca_r2,2024-05-27
2014,SI,DE10,N,NATIONAL_SME,1563,300,34,7622,706524515.68,83.24,214690703.13,7.46,94.51,27.18,24.58,0,2.44,isoc_sme,2025-09-14
2015,AT,LT73,D,BANKING_SME,1713,265,91,10846,1118030004.89,52.27,137085090.92,7.812,16.67,42.67,24.73,1,35.68,sbs_sc_sca_r2,2024-02-24
2016,HR,FI87,O,MIXED,1609,178,100,13618,1475282029.55,66.21,125505212.67,3.361,50.81,60.21,20.14,1,61.14,tin00145,2025-09-17
2017,DK,FI24,E,EU_SME_2003_361_EC,1469,280,107,8641,1138103370.96,61.36,178968462.17,6.447,62.09,7.23,21.54,0,47.54,bd_9bd_sz_cl_r2,2025-05-04
2018,FR,IE1,P,NATIONAL_SME,1575,276,85,12597,1103507271.72,35.74,111898901.58,9.055,40.04,7.2,27.83,1,3.25,sbs_na_sca_r2,2025-06-21
2019,HU,EE6,F,BANKING_SME,1366,157,30,7443,838593823.58,58.69,80716142.48,3.443,10.35,53.47,32.03,0,42.39,isoc_sme,2024-10-22
2020,LV,HR361,Q,MIXED,1630,335,84,9079,1117626385.61,51.78,549312.73,2.231,15.5,18.08,55.98,0,30.11,sbs_sc_sca_r2,2025-11-02
2021,MT,LV330,G,EU_SME_2003_361_EC,1676,147,84,9219,544642479.62,76.06,33319029.89,6.235,32.04,14.98,6.85,0,12.87,tin00145,2024-11-13
2022,PT,IT33,R,NATIONAL_SME,1427,171,64,5859,714255225.33,79.24,99737939.68,1.705,92.99,5.32,12.03,0,60.58,bd_9bd_sz_cl_r2,2026-01-26
2023,SI,MT8,H,BANKING_SME,1642,151,67,8243,896314267.94,78.02,67259388.03,4.987,89.95,61.94,36.96,0,48.88,sbs_na_sca_r2,2024-09-14
2024,AT,SK8,S,MIXED,1215,208,59,10583,775120490.21,86.23,71120855.44,2.086,33.64,13.98,11.81,0,23.67,isoc_sme,2025-05-05
2025,HR,FR91,I,EU_SME_2003_361_EC,1089,113,42,5485,748282987.8,73.49,52354182.37,0.773,19.48,25.61,45.59,0,42.23,sbs_sc_sca_r2,2025-08-17
2026,DK,IT69,T,NATIONAL_SME,1471,195,73,8281,472335683.34,83.52,117274419.52,9.208,93.41,42.31,29.56,1,37.27,tin00145,2024-09-20
2010,FR,SI170,J,BANKING_SME,1076,230,75,10032,760839374.11,72.1,75127149.8,3.803,46.68,46.85,27.95,0,20.73,bd_9bd_sz_cl_r2,2026-02-03
2011,HU,FI441,U,MIXED,1805,344,62,8883,321998162.45,63.04,18311608.68,3.96,57.77,32.7,56.42,0,64.42,sbs_na_sca_r2,2024-03-08
2012,LV,PL431,K,EU_SME_2003_361_EC,1378,116,40,7715,395072211.63,78.52,211567822.46,5.333,69.08,35.03,27.71,0,50.15,isoc_sme,2025-02-11
2013,MT,BG40,A,NATIONAL_SME,1481,217,30,5096,502983005.63,68.86,154531332.87,7.587,54.77,32.26,28.97,0,18.37,sbs_sc_sca_r2,2024-04-23
2014,PT,IT2,L,BANKING_SME,1158,151,74,6873,325548025.77,53.41,200565668.33,1.604,15.86,48.08,7.31,0,25.72,tin00145,2024-02-03
2015,SI,RO473,B,MIXED,1838,148,93,9609,560059826.43,66.12,120064710.17,6.068,81.07,61.64,17.23,0,65.57,bd_9bd_sz_cl_r2,2025-02-17
2016,AT,NL6,M,EU_SME_2003_361_EC,1668,263,112,14671,1961786593.66,47.68,116902538.95,3.959,84.39,5.86,10.79,0,13.96,sbs_na_sca_r2,2026-01-16
2017,HR,FR766,C,NATIONAL_SME,1458,229,79,10010,660315761.83,55.41,108587676.61,6.608,85.2,31.44,19.14,0,50.41,isoc_sme,2024-12-17
2018,DK,IE7,N,BANKING_SME,1616,223,96,9376,514197384.62,61.77,13534443.91,5.79,56.12,19.39,52.85,0,8.05,sbs_sc_sca_r2,2025-05-17
2019,FR,DK518,D,MIXED,1264,181,85,12661,1400057858.59,37.19,113658593.65,2.794,13.26,52.82,37.12,1,10.05,tin00145,2024-03-20
2020,HU,LT609,O,EU_SME_2003_361_EC,1269,143,68,9397,670865907.63,57.6,157610295.95,3.907,67.79,32.37,24.14,0,67.95,bd_9bd_sz_cl_r2,2024-07-22
2021,LV,ES209,E,NATIONAL_SME,1911,280,109,11360,434385290.87,70.68,186077527.99,6.65,81.85,50.7,19.56,0,3.68,sbs_na_sca_r2,2024-02-07
2022,MT,BG1,P,BANKING_SME,1568,187,72,11072,1265365803.3,69.38,71642111.66,3.595,21.37,22.75,32.65,0,67.65,isoc_sme,2024-09-12
2023,PT,SE749,F,MIXED,1440,270,65,8656,975689852.15,55.3,14759810.42,3.392,38.35,48.09,12.85,1,57.18,sbs_sc_sca_r2,2024-03-24
2024,SI,LV714,Q,EU_SME_2003_361_EC,1053,152,76,7782,1020342998.75,37.8,41722415.59,6.028,84.39,23.97,36.18,0,43.74,tin00145,2025-11-25
2025,AT,SK676,G,NATIONAL_SME,1794,191,134,17521,841463940.01,65.88,214286352.0,1.03,37.19,48.51,17.12,1,7.09,bd_9bd_sz_cl_r2,2024-10-25
2026,HR,SE994,R,BANKING_SME,1415,294,105,14408,1015415837.34,72.99,158219528.07,0.835,52.01,58.52,42.07,0,9.77,sbs_na_sca_r2,2026-01-19
2010,DK,FI976,H,MIXED,1882,293,39,11345,904125064.84,44.85,67025679.73,2.212,44.6,32.37,28.66,1,11.28,isoc_sme,2025-06-17
2011,FR,CZ75,S,EU_SME_2003_361_EC,1072,144,30,5375,670384203.01,83.5,234405874.3,7.824,59.12,59.74,32.58,1,34.4,sbs_sc_sca_r2,2024-06-05
2012,HU,BE647,I,NATIONAL_SME,1144,130,54,6912,199251448.17,81.57,193562211.71,6.222,47.68,57.52,25.36,1,66.94,tin00145,2024-11-08
2013,LV,CZ77,T,BANKING_SME,1307,235,62,8067,389977945.68,47.87,120859949.26,4.903,88.39,45.75,48.78,1,29.52,bd_9bd_sz_cl_r2,2025-01-01
2014,MT,CZ28,J,MIXED,1345,131,53,8018,631814145.58,35.05,54959905.42,8.939,36.3,47.92,36.5,0,23.31,sbs_na_sca_r2,2025-06-03
2015,PT,FI919,U,EU_SME_2003_361_EC,1077,100,81,5325,508755401.96,66.27,96381584.72,0.928,45.03,10.37,41.5,0,53.0,isoc_sme,2025-11-03
2016,SI,EE88,K,NATIONAL_SME,1445,118,82,12330,1039623706.9,79.45,203361333.69,2.402,64.71,11.76,12.5,1,35.8,sbs_sc_sca_r2,2026-01-05
2017,AT,CZ793,A,BANKING_SME,1343,260,51,7880,250809694.32,41.8,75708964.67,6.293,27.73,14.3,24.35,0,44.75,tin00145,2024-02-27
2018,HR,CZ233,L,MIXED,1594,345,112,16128,766002986.55,73.22,209117337.73,1.146,48.69,50.39,33.37,0,26.0,bd_9bd_sz_cl_r2,2024-07-26
2019,DK,SI59,B,EU_SME_2003_361_EC,1719,291,102,14624,1431034020.84,44.3,178527643.91,2.545,26.77,23.44,31.6,0,4.97,sbs_na_sca_r2,2024-06-14
2020,FR,PT5,M,NATIONAL_SME,1569,210,57,7491,257088788.82,75.91,261219734.88,4.247,12.77,49.15,36.47,0,18.96,isoc_sme,2025-02-12
2021,HU,IE361,C,BANKING_SME,1758,181,117,10761,1279329632.9,42.52,130971543.14,2.517,26.71,57.57,40.99,1,63.68,sbs_sc_sca_r2,2025-01-16
2022,LV,FI3,N,MIXED,1268,144,78,10412,930205926.76,54.12,64088878.58,6.515,55.33,16.34,6.41,1,32.03,tin00145,2025-09-09
2023,MT,MT2,D,EU_SME_2003_361_EC,1755,235,70,9765,1304365566.57,74.3,113949442.4,6.624,58.36,12.64,39.55,0,51.45,bd_9bd_sz_cl_r2,2025-05-31
2024,PT,ES280,O,NATIONAL_SME,1183,256,36,8789,368596645.14,57.09,165027451.01,6.905,28.6,11.19,41.67,0,46.93,sbs_na_sca_r2,2025-09-24
2025,SI,DE99,E,BANKING_SME,1622,242,125,9468,906245768.36,55.66,177889019.23,6.193,38.48,42.89,26.35,1,65.19,isoc_sme,2025-07-05
2026,AT,EE173,P,MIXED,1456,144,49,7866,304681106.22,65.55,132262353.92,8.785,40.18,35.33,30.81,1,4.16,sbs_sc_sca_r2,2026-01-02
2010,HR,LT47,F,EU_SME_2003_361_EC,1802,244,79,11614,1133896193.65,65.16,36553568.58,8.52,48.8,59.77,21.6,0,33.15,tin00145,2025-01-16
2011,DK,PT3,Q,NATIONAL_SME,1908,164,115,14873,1358864657.03,76.6,254408504.3,7.233,35.37,13.58,41.62,0,46.91,bd_9bd_sz_cl_r2,2026-02-03
2012,FR,AT56,G,BANKING_SME,1859,385,73,14611,1854411088.94,30.36,1382062.38,9.035,57.64,59.15,44.63,0,30.13,sbs_na_sca_r2,2025-09-20
2013,HU,LU6,R,MIXED,1965,184,54,10485,1135617182.04,70.1,87790467.95,7.918,15.96,36.58,49.22,0,39.53,isoc_sme,2025-07-12
2014,LV,MT1,H,EU_SME_2003_361_EC,1145,146,24,5327,605797309.56,31.27,138518612.09,2.016,63.29,58.08,21.54,1,11.09,sbs_sc_sca_r2,2024-04-04
2015,MT,DK56,S,NATIONAL_SME,1309,203,73,8389,638564872.7,71.85,273557739.14,7.426,50.14,38.27,39.38,0,52.59,tin00145,2025-11-20
2016,PT,AT9,I,BANKING_SME,1746,297,98,11492,1236173742.29,60.91,47306384.93,7.455,18.48,57.21,15.37,1,38.17,bd_9bd_sz_cl_r2,2024-07-20
2017,SI,ES8,T,MIXED,1459,201,89,9490,1190824195.28,46.87,27618794.67,2.058,15.63,39.7,12.59,0,51.79,sbs_na_sca_r2,2024-10-26
2018,AT,SE89,J,EU_SME_2003_361_EC,1688,178,87,6197,750331035.51,67.28,55297786.98,6.656,36.8,25.42,36.17,1,25.87,isoc_sme,2025-06-13
2019,HR,LV675,U,NATIONAL_SME,1751,235,128,11251,1489183945.45,38.67,46965676.44,8.19,42.24,53.33,17.22,0,22.41,sbs_sc_sca_r2,2024-05-06
2020,DK,PT49,K,BANKING_SME,1478,250,37,7586,340050257.05,87.64,97790304.42,4.193,19.14,52.43,53.0,0,36.68,tin00145,2025-09-29
2021,FR,BE6,A,MIXED,1973,336,105,12999,1090443612.28,53.64,198472446.62,1.154,68.92,59.39,34.16,1,46.57,bd_9bd_sz_cl_r2,2025-10-30
2022,HU,SK123,L,EU_SME_2003_361_EC,1406,147,110,12511,1663564514.65,36.23,49513688.46,1.904,71.48,51.58,18.73,0,56.13,sbs_na_sca_r2,2025-03-17
2023,LV,ES7,B,NATIONAL_SME,1996,201,71,9980,936952402.83,60.48,50194088.01,5.545,88.5,37.78,46.39,1,51.47,isoc_sme,2025-07-21
2024,MT,BE9,M,BANKING_SME,1597,278,56,7673,510998494.88,86.89,152928672.59,5.079,45.05,5.09,34.4,0,25.4,sbs_sc_sca_r2,2025-07-02
2025,PT,NL2,C,MIXED,2002,409,48,10189,773464335.33,46.85,119888317.87,1.508,10.68,57.45,18.07,1,36.5,tin00145,2025-12-15
2026,SI,HU21,N,EU_SME_2003_361_EC,1405,221,104,11254,356036189.99,76.67,231722684.59,0.468,82.73,52.35,19.94,0,66.31,bd_9bd_sz_cl_r2,2024-04-30
