econ_prices_pricing_month,econ_prices_country_iso2,econ_prices_region_nuts_code,econ_prices_hicp_coicop_code,econ_prices_hicp_index_level,econ_prices_hicp_monthly_change_pct,econ_prices_hicp_12mo_change_pct,econ_prices_core_hicp_index_level,econ_prices_ppi_nace_code,econ_prices_ppi_index_level,econ_prices_energy_price_index,econ_prices_food_price_index,econ_prices_rent_index,econ_prices_wage_growth_pct,econ_prices_terms_of_trade_index,econ_prices_eurostat_table_code,econ_prices_reference_base_year,econ_prices_methodology_version,econ_prices_outlier_flag,econ_prices_data_extract_date
2024-10,MT,FI12,CP10,91.785,1.563,3.752,90.567,H49,89.077,85.201,84.121,95.546,2.657,89.743,prc_hicp_midx,2020,HICP_2023A,0,2024-04-07
2025-05,PT,IT590,CP09,91.212,-0.066,10.145,89.865,M69,88.785,85.325,85.814,96.081,7.706,89.43,sts_inpp_m,2015,PPI_2025B,0,2024-10-31
2026-12,SI,BE92,CP08,92.321,1.016,3.22,94.267,C20,88.798,84.119,85.071,96.264,2.351,90.01,prc_ppi_m,2020,PPI_2024A,1,2024-02-18
2018-07,AT,ES9,CP07,91.719,-0.96,4.77,92.101,C27,90.656,85.974,87.909,96.044,8.311,89.844,prc_hicp_manr,2015,HICP_2025C,0,2024-02-26
2019-02,HR,EE2,CP06,92.548,1.183,8.609,92.987,D35,91.268,85.315,87.053,97.008,8.458,90.264,prc_hicp_cow,2020,HICP_2024B,0,2024-03-27
2020-09,DK,LT6,CP05,93.018,0.72,3.1,94.878,F41,91.999,86.509,88.505,96.88,4.272,90.667,prc_hicp_midx,2015,HICP_2023A,0,2025-01-04
2021-04,FR,BE37,CP04,93.448,1.333,2.937,94.208,J61,92.39,90.56,89.879,97.406,9.084,91.77,sts_inpp_m,2020,PPI_2025B,0,2024-08-19
2022-11,HU,BE9,CP03,93.962,0.253,5.087,92.762,C10,92.6,89.518,90.059,98.123,5.408,91.609,prc_ppi_m,2015,PPI_2024A,0,2024-11-24
2023-06,LV,CZ6,CP02,93.925,1.113,1.383,96.944,C24,92.317,91.252,88.735,98.253,8.438,92.094,prc_hicp_manr,2020,HICP_2025C,0,2024-02-05
2024-01,MT,PT6,CP01,95.371,-0.813,9.907,95.464,C28,93.419,92.463,91.635,97.826,4.312,92.669,prc_hicp_cow,2015,HICP_2024B,0,2025-11-10
2025-08,PT,SE1,CP12,95.083,1.106,1.368,95.8,E36,93.66,92.317,90.353,99.086,3.191,92.209,prc_hicp_midx,2020,HICP_2023A,0,2024-04-02
2026-03,SI,GR360,CP11,96.08,-0.778,4.579,94.663,H49,93.417,93.549,93.158,99.6,5.461,92.95,sts_inpp_m,2015,PPI_2025B,0,2026-01-02
2018-10,AT,DE29,CP10,95.5,-0.671,6.235,94.974,M69,94.145,95.44,91.391,100.008,4.58,93.483,prc_ppi_m,2020,PPI_2024A,0,2025-05-27
2019-05,HR,AT12,CP09,95.48,0.312,9.765,93.591,C20,96.321,96.23,91.809,99.232,6.842,92.97,prc_hicp_manr,2015,HICP_2025C,0,2024-09-20
2020-12,DK,GR5,CP08,96.979,1.115,5.181,99.873,C27,96.753,96.283,94.288,100.368,0.83,93.004,prc_hicp_cow,2020,HICP_2024B,0,2025-08-21
2021-07,FR,SI75,CP07,97.094,-0.959,-2.21,98.596,D35,97.354,96.124,94.75,100.387,3.101,94.683,prc_hicp_midx,2015,HICP_2023A,0,2025-05-17
2022-02,HU,AT7,CP06,97.375,-0.512,1.451,95.479,F41,96.215,97.833,96.106,100.607,1.509,94.605,sts_inpp_m,2020,PPI_2025B,0,2025-04-21
2023-09,LV,BE22,CP05,98.281,0.51,4.433,100.232,J61,98.033,99.223,95.756,101.088,6.906,95.046,prc_ppi_m,2015,PPI_2024A,0,2025-02-01
2024-04,MT,BG2,CP04,98.55,-0.964,3.566,100.196,C10,97.693,99.594,97.277,102.146,7.291,95.393,prc_hicp_manr,2020,HICP_2025C,0,2024-11-26
2025-11,PT,HU36,CP03,98.138,0.72,3.871,100.586,C24,97.818,99.541,97.256,102.191,5.146,95.383,prc_hicp_cow,2015,HICP_2024B,0,2025-03-03
2026-06,SI,CZ981,CP02,99.244,0.523,3.288,98.562,C28,98.893,100.631,96.878,101.813,9.026,96.021,prc_hicp_midx,2020,HICP_2023A,0,2024-07-23
2018-01,AT,SE632,CP01,99.444,-0.029,-2.273,100.295,E36,99.167,103.277,98.991,102.073,1.503,96.467,sts_inpp_m,2015,PPI_2025B,0,2024-06-21
2019-08,HR,HU9,CP12,100.53,0.849,-0.475,99.882,H49,99.512,104.283,97.806,103.516,5.46,96.521,prc_ppi_m,2020,PPI_2024A,0,2024-03-23
2020-03,DK,PT33,CP11,99.65,-1.056,9.761,97.805,M69,101.764,105.99,100.76,102.875,4.777,96.717,prc_hicp_manr,2015,HICP_2025C,0,2024-03-09
2021-10,FR,SI90,CP10,101.27,-0.388,8.186,100.653,C20,102.334,103.566,99.403,103.177,7.094,97.354,prc_hicp_cow,2020,HICP_2024B,0,2025-01-23
2022-05,HU,BE655,CP09,100.696,1.669,10.247,101.494,C27,102.614,105.436,101.837,103.704,2.584,96.532,prc_hicp_midx,2015,HICP_2023A,0,2025-11-10
2023-12,LV,GR345,CP08,101.761,0.036,7.59,102.142,D35,102.86,105.414,102.765,103.754,5.919,97.109,sts_inpp_m,2020,PPI_2025B,0,2025-10-03
2024-07,MT,CZ45,CP07,102.37,0.015,2.478,103.897,F41,103.919,108.087,102.001,104.368,9.152,98.273,prc_ppi_m,2015,PPI_2024A,0,2025-07-24
2025-02,PT,GR4,CP06,102.835,1.34,1.854,100.994,J61,103.879,107.088,103.164,104.8,7.494,98.124,prc_hicp_manr,2020,HICP_2025C,0,2024-12-15
2026-09,SI,LT75,CP05,102.909,1.668,8.51,102.467,C10,104.672,107.746,104.727,104.988,4.182,97.981,prc_hicp_cow,2015,HICP_2024B,0,2024-04-26
2018-04,AT,ES64,CP04,102.833,0.024,-1.052,105.644,C24,104.611,111.823,102.755,105.661,8.613,98.648,prc_hicp_midx,2020,HICP_2023A,0,2024-07-22
2019-11,HR,LU5,CP03,103.855,0.164,-2.031,102.583,C28,105.438,111.86,106.133,106.222,2.255,98.659,sts_inpp_m,2015,PPI_2025B,0,2024-08-01
2020-06,DK,IT6,CP02,103.321,0.671,2.865,104.605,E36,106.2,112.602,105.628,106.827,0.219,98.526,prc_ppi_m,2020,PPI_2024A,0,2025-12-02
2021-01,FR,SI38,CP01,103.427,0.075,2.469,101.74,H49,106.557,112.378,106.765,106.365,6.644,99.55,prc_hicp_manr,2015,HICP_2025C,0,2025-10-19
2022-08,HU,IT49,CP12,105.159,-1.108,10.905,104.619,M69,106.438,112.991,107.032,107.537,1.88,100.353,prc_hicp_cow,2020,HICP_2024B,0,2026-01-15
2023-03,LV,BE4,CP11,105.073,-1.068,-0.096,104.922,C20,106.611,116.539,107.645,106.933,3.788,99.797,prc_hicp_midx,2015,HICP_2023A,0,2024-10-11
2024-10,MT,SK19,CP10,105.227,0.927,5.654,104.536,C27,108.162,117.12,107.467,107.779,5.478,100.088,sts_inpp_m,2020,PPI_2025B,0,2024-05-01
2025-05,PT,SK2,CP09,105.193,0.925,2.722,105.146,D35,109.59,117.922,108.256,108.228,5.185,100.804,prc_ppi_m,2015,PPI_2024A,0,2024-05-28
2026-12,SI,CY430,CP08,106.405,0.621,2.137,106.262,F41,109.861,115.725,110.742,109.142,0.257,100.672,prc_hicp_manr,2020,HICP_2025C,0,2024-06-29
2018-07,AT,PL3,CP07,106.264,-1.043,9.369,107.852,J61,109.807,119.974,109.534,109.031,3.456,101.356,prc_hicp_cow,2015,HICP_2024B,0,2025-06-14
2019-02,HR,AT657,CP06,107.752,-0.963,2.118,110.04,C10,109.822,117.85,109.962,109.568,8.472,101.875,prc_hicp_midx,2020,HICP_2023A,0,2025-12-04
2020-09,DK,CZ66,CP05,108.192,0.396,0.586,106.732,C24,110.466,119.631,111.977,109.326,3.607,102.241,sts_inpp_m,2015,PPI_2025B,0,2026-02-22
2021-04,FR,IT130,CP04,108.21,1.41,-1.842,106.777,C28,110.95,121.328,112.151,110.148,1.658,102.322,prc_ppi_m,2020,PPI_2024A,0,2024-01-23
2022-11,HU,BE74,CP03,108.223,-0.355,3.587,110.771,E36,112.42,121.789,113.618,110.393,2.302,101.701,prc_hicp_manr,2015,HICP_2025C,0,2025-02-24
2023-06,LV,NL1,CP02,108.069,0.936,2.997,110.489,H49,112.854,122.734,112.202,111.094,5.7,103.247,prc_hicp_cow,2020,HICP_2024B,0,2025-04-27
2024-01,MT,BG987,CP01,108.674,1.61,2.393,106.634,M69,113.622,124.91,114.673,111.132,1.288,103.444,prc_hicp_midx,2015,HICP_2023A,0,2024-07-28
2025-08,PT,FI52,CP12,109.835,1.247,4.727,113.598,C20,114.324,125.294,114.026,111.155,-0.398,103.321,sts_inpp_m,2020,PPI_2025B,1,2025-05-29
2026-03,SI,SK612,CP11,109.129,1.346,4.18,108.422,C27,113.7,126.959,115.584,111.628,7.253,102.92,prc_ppi_m,2015,PPI_2024A,1,2025-12-30
2018-10,AT,RO575,CP10,109.991,0.877,-2.235,111.953,D35,113.948,127.702,115.043,112.499,-0.076,103.936,prc_hicp_manr,2020,HICP_2025C,0,2024-09-13
2019-05,HR,NL5,CP09,110.004,-0.153,8.374,113.733,F41,115.115,127.648,115.817,112.422,3.514,103.787,prc_hicp_cow,2015,HICP_2024B,0,2024-05-25
2020-12,DK,BE65,CP08,111.204,-0.269,2.961,114.351,J61,116.042,126.646,116.887,112.571,9.294,104.914,prc_hicp_midx,2020,HICP_2023A,0,2024-02-27
2021-07,FR,MT126,CP07,112.13,0.031,2.29,111.981,C10,115.953,129.317,118.117,113.561,-0.636,104.512,sts_inpp_m,2015,PPI_2025B,0,2024-04-05
2022-02,HU,IT1,CP06,112.205,0.589,7.938,110.007,C24,117.074,131.501,118.824,113.996,3.716,105.274,prc_ppi_m,2020,PPI_2024A,0,2025-12-28
2023-09,LV,HR25,CP05,111.486,0.167,10.244,110.187,C28,118.378,131.017,119.934,113.263,9.18,104.846,prc_hicp_manr,2015,HICP_2025C,0,2024-03-22
2024-04,MT,GR23,CP04,111.804,-0.968,9.657,115.484,E36,118.576,132.885,119.743,113.703,8.735,105.345,prc_hicp_cow,2020,HICP_2024B,0,2025-11-24
2025-11,PT,ES2,CP03,113.554,-0.916,0.381,113.769,H49,117.867,131.727,121.312,114.91,6.38,105.924,prc_hicp_midx,2015,HICP_2023A,0,2024-06-20
2026-06,SI,PL541,CP02,113.427,1.414,6.592,117.712,M69,118.062,133.35,119.928,114.824,4.615,106.378,sts_inpp_m,2020,PPI_2025B,0,2024-11-19
2018-01,AT,DE52,CP01,113.056,-1.053,10.696,117.499,C20,119.317,133.557,120.65,115.294,9.156,105.977,prc_ppi_m,2015,PPI_2024A,0,2024-01-22
2019-08,HR,LU181,CP12,113.508,0.521,9.519,117.13,C27,120.268,134.789,123.458,115.262,5.09,106.595,prc_hicp_manr,2020,HICP_2025C,0,2025-06-30
2020-03,DK,HR552,CP11,114.157,0.191,4.243,116.158,D35,120.084,135.582,123.729,115.799,2.306,107.246,prc_hicp_cow,2015,HICP_2024B,0,2025-08-07
2021-10,FR,DK23,CP10,114.885,-0.104,2.238,118.221,F41,122.059,136.483,124.189,116.453,8.839,107.404,prc_hicp_midx,2020,HICP_2023A,0,2024-12-16
2022-05,HU,FR137,CP09,115.882,1.002,6.603,119.506,J61,120.901,138.702,125.449,116.075,4.506,108.367,sts_inpp_m,2015,PPI_2025B,0,2024-11-03
2023-12,LV,CZ988,CP08,116.569,-0.402,1.639,120.723,C10,122.075,139.257,125.878,117.395,3.783,108.78,prc_ppi_m,2020,PPI_2024A,0,2024-10-05
2024-07,MT,NL689,CP07,116.725,-1.144,7.096,118.055,C24,123.172,138.945,125.501,117.777,9.203,108.968,prc_hicp_manr,2015,HICP_2025C,0,2026-01-15
2025-02,PT,SK31,CP06,116.764,0.071,-1.043,117.089,C28,123.114,141.665,125.401,117.458,2.222,108.096,prc_hicp_cow,2020,HICP_2024B,0,2024-09-09
2026-09,SI,SE83,CP05,116.674,1.508,2.746,119.663,E36,123.299,140.625,127.605,118.531,-0.769,109.527,prc_hicp_midx,2015,HICP_2023A,0,2025-09-27
2018-04,AT,MT1,CP04,117.754,1.495,0.33,115.588,H49,123.908,141.305,128.888,118.156,6.423,108.892,sts_inpp_m,2020,PPI_2025B,0,2025-08-06
2019-11,HR,IE253,CP03,117.821,0.578,8.976,121.601,M69,124.297,143.818,126.991,118.203,8.327,109.73,prc_ppi_m,2015,PPI_2024A,0,2024-05-19
2020-06,DK,FR11,CP02,117.495,-0.451,-1.681,118.82,C20,125.98,143.856,129.748,118.77,6.801,110.326,prc_hicp_manr,2020,HICP_2025C,0,2025-03-15
2021-01,FR,CZ439,CP01,118.037,-0.134,9.357,118.968,C27,127.031,145.481,129.895,119.215,8.834,109.663,prc_hicp_cow,2015,HICP_2024B,0,2024-12-30
2022-08,HU,DE690,CP12,118.415,-0.637,2.34,123.148,D35,126.062,145.405,130.964,120.144,1.907,110.782,prc_hicp_midx,2020,HICP_2023A,0,2025-08-09
2023-03,LV,GR757,CP11,118.619,-0.26,2.858,117.704,F41,127.374,147.407,129.985,119.954,7.575,110.99,sts_inpp_m,2015,PPI_2025B,0,2024-10-13
2024-10,MT,PT613,CP10,120.009,-0.918,4.269,119.501,J61,127.359,149.746,131.198,120.964,-0.595,111.731,prc_ppi_m,2020,PPI_2024A,0,2025-07-29
2025-05,PT,DE9,CP09,119.874,1.517,8.887,122.441,C10,128.476,148.744,131.729,121.157,0.198,111.099,prc_hicp_manr,2015,HICP_2025C,0,2025-03-30
2026-12,SI,HR28,CP08,119.853,-0.37,4.363,119.714,C24,128.819,149.141,132.519,120.681,6.694,111.393,prc_hicp_cow,2020,HICP_2024B,0,2024-05-12
2018-07,AT,AT43,CP07,121.62,-0.63,7.321,119.242,C28,129.08,149.599,134.121,121.683,6.1,111.52,prc_hicp_midx,2015,HICP_2023A,0,2024-04-01
2019-02,HR,HU62,CP06,120.785,1.329,10.333,123.452,E36,129.885,150.837,134.869,121.634,7.346,112.419,sts_inpp_m,2020,PPI_2025B,0,2024-02-03
2020-09,DK,IE77,CP05,121.889,-0.989,2.527,124.69,H49,129.854,152.231,133.602,122.38,5.232,112.849,prc_ppi_m,2015,PPI_2024A,0,2026-01-13
2021-04,FR,RO696,CP04,121.792,0.253,10.425,124.914,M69,131.798,153.442,134.602,123.101,1.799,112.248,prc_hicp_manr,2020,HICP_2025C,0,2026-01-05
2022-11,HU,GR93,CP03,122.252,-1.115,10.041,123.946,C20,131.226,152.896,135.52,123.315,4.413,113.808,prc_hicp_cow,2015,HICP_2024B,0,2026-01-05
2023-06,LV,EE803,CP02,123.474,0.12,9.214,125.081,C27,133.142,154.407,136.775,123.073,4.852,113.32,prc_hicp_midx,2020,HICP_2023A,0,2024-05-12
2024-01,MT,DK562,CP01,122.968,1.218,4.997,125.548,D35,133.463,157.584,137.861,124.162,5.12,113.189,sts_inpp_m,2015,PPI_2025B,0,2025-04-03
2025-08,PT,FI93,CP12,123.594,0.531,5.828,123.641,F41,132.651,156.947,137.166,124.212,5.756,114.302,prc_ppi_m,2020,PPI_2024A,0,2025-04-13
2026-03,SI,PT7,CP11,124.861,-0.314,3.988,123.934,J61,134.33,159.751,139.855,123.828,3.097,114.382,prc_hicp_manr,2015,HICP_2025C,0,2025-10-18
2018-10,AT,BE95,CP10,124.721,-0.137,0.878,126.56,C10,134.296,159.586,139.832,125.248,6.82,114.385,prc_hicp_cow,2020,HICP_2024B,0,2025-09-03
2019-05,HR,AT88,CP09,125.152,-0.89,6.236,127.78,C24,134.506,159.284,139.232,124.553,7.145,115.125,prc_hicp_midx,2015,HICP_2023A,0,2024-08-08
2020-12,DK,AT351,CP08,125.329,1.611,-1.128,123.789,C28,135.428,162.494,139.325,125.738,6.202,114.864,sts_inpp_m,2020,PPI_2025B,0,2025-10-23
2021-07,FR,SI36,CP07,126.424,-1.077,0.553,126.597,E36,135.746,161.988,140.972,126.234,8.04,115.382,prc_ppi_m,2015,PPI_2024A,0,2025-07-12
2022-02,HU,LV671,CP06,125.514,0.17,8.325,127.9,H49,137.094,163.548,141.999,125.946,4.741,115.98,prc_hicp_manr,2020,HICP_2025C,0,2024-09-09
2023-09,LV,LT59,CP05,126.513,0.889,1.052,127.756,M69,136.403,162.133,142.743,126.606,0.081,115.687,prc_hicp_cow,2015,HICP_2024B,0,2025-12-27
2024-04,MT,LV21,CP04,126.338,-0.202,-1.225,129.35,C20,138.499,164.081,141.903,126.732,1.1,116.726,prc_hicp_midx,2020,HICP_2023A,0,2025-10-11
2025-11,PT,BG774,CP03,127.451,-0.527,3.915,127.342,C27,137.428,165.907,145.373,127.549,7.772,116.851,sts_inpp_m,2015,PPI_2025B,0,2024-11-21
2026-06,SI,AT243,CP02,127.264,1.079,5.272,125.296,D35,137.931,167.74,144.619,127.115,4.229,117.741,prc_ppi_m,2020,PPI_2024A,0,2025-03-03
2018-01,AT,SK30,CP01,127.614,0.264,7.829,127.511,F41,138.946,167.723,146.045,127.891,1.012,117.2,prc_hicp_manr,2015,HICP_2025C,0,2025-11-24
2019-08,HR,IE72,CP12,128.163,0.505,8.541,130.889,J61,140.029,167.02,144.458,128.01,8.337,117.572,prc_hicp_cow,2020,HICP_2024B,0,2025-04-14
2020-03,DK,HU54,CP11,128.359,0.237,7.389,128.087,C10,140.508,169.805,146.3,128.994,7.427,117.76,prc_hicp_midx,2015,HICP_2023A,0,2024-05-05
2021-10,FR,EE67,CP10,128.641,-0.604,5.29,133.304,C24,140.617,171.548,148.337,128.923,4.063,117.753,sts_inpp_m,2020,PPI_2025B,0,2026-01-01
2022-05,HU,SK624,CP09,130.576,0.359,1.909,135.164,C28,142.205,169.932,147.02,129.174,3.368,118.688,prc_ppi_m,2015,PPI_2024A,0,2026-01-18
2023-12,LV,CZ493,CP08,129.894,-1.069,7.282,132.559,E36,141.943,170.448,148.112,129.417,3.991,118.742,prc_hicp_manr,2020,HICP_2025C,0,2024-12-31
2024-07,MT,CY956,CP07,131.007,1.391,8.783,132.291,H49,142.678,171.244,149.782,129.419,6.502,119.648,prc_hicp_cow,2015,HICP_2024B,0,2024-01-18
2025-02,PT,BG362,CP06,130.98,0.321,0.144,132.875,M69,142.79,171.772,148.338,130.349,6.7,119.827,prc_hicp_midx,2020,HICP_2023A,0,2024-01-28
2026-09,SI,NL90,CP05,131.594,0.031,10.0,135.241,C20,144.087,172.678,151.629,130.378,7.852,119.113,sts_inpp_m,2015,PPI_2025B,0,2025-05-17
2018-04,AT,ES52,CP04,132.556,-0.857,4.958,130.178,C27,144.213,173.546,151.772,130.654,5.576,119.748,prc_ppi_m,2020,PPI_2024A,0,2024-02-23
2019-11,HR,CY633,CP03,131.537,0.078,-1.156,130.922,D35,145.466,177.571,152.018,131.729,1.289,120.307,prc_hicp_manr,2015,HICP_2025C,0,2025-11-03
2020-06,DK,RO71,CP02,132.667,1.205,6.272,131.601,F41,146.063,178.946,152.738,131.139,2.14,120.863,prc_hicp_cow,2020,HICP_2024B,0,2024-09-01
2021-01,FR,IT468,CP01,133.515,0.312,4.901,132.506,J61,145.727,178.954,153.975,132.024,7.71,121.498,prc_hicp_midx,2015,HICP_2023A,0,2025-12-02
2022-08,HU,RO732,CP12,133.146,1.59,5.903,138.232,C10,146.087,178.649,152.723,132.586,6.467,121.538,sts_inpp_m,2020,PPI_2025B,0,2025-10-24
2023-03,LV,HR49,CP11,133.228,1.45,6.524,138.137,C24,146.849,181.516,154.88,132.216,6.975,121.071,prc_ppi_m,2015,PPI_2024A,0,2025-10-29
2024-10,MT,CY75,CP10,134.963,0.837,5.763,136.803,C28,146.994,181.852,153.974,133.232,5.87,122.161,prc_hicp_manr,2020,HICP_2025C,0,2025-03-20
2025-05,PT,ES970,CP09,135.364,-0.303,-2.168,137.197,E36,147.835,183.237,154.202,133.381,4.188,121.773,prc_hicp_cow,2015,HICP_2024B,0,2024-03-05
2026-12,SI,CY60,CP08,135.235,0.114,7.363,139.834,H49,149.22,183.657,157.58,133.709,8.251,122.476,prc_hicp_midx,2020,HICP_2023A,0,2025-06-08
2018-07,AT,PT56,CP07,134.696,-0.203,7.013,135.147,M69,148.385,183.69,156.726,134.686,0.392,122.963,sts_inpp_m,2015,PPI_2025B,0,2025-01-07
2019-02,HR,SE38,CP06,135.097,1.108,0.324,132.614,C20,149.733,185.332,156.609,134.924,5.788,122.786,prc_ppi_m,2020,PPI_2024A,0,2024-05-18
2020-09,DK,SK940,CP05,136.7,0.331,0.947,137.645,C27,149.461,186.814,156.831,134.813,0.979,124.061,prc_hicp_manr,2015,HICP_2025C,0,2024-11-04
2021-04,FR,PL20,CP04,136.179,-0.96,10.267,133.962,D35,150.131,184.366,158.442,134.598,3.269,123.516,prc_hicp_cow,2020,HICP_2024B,0,2024-01-26
2022-11,HU,BG31,CP03,136.807,-0.606,-1.253,140.486,F41,150.89,188.47,159.945,135.558,1.428,123.896,prc_hicp_midx,2015,HICP_2023A,0,2024-11-17
2023-06,LV,AT6,CP02,137.526,0.41,9.503,139.483,J61,152.161,189.506,159.183,136.437,2.058,124.075,sts_inpp_m,2020,PPI_2025B,0,2025-02-03
2024-01,MT,AT414,CP01,137.026,-0.121,9.703,137.309,C10,153.434,188.545,159.97,136.069,1.671,125.166,prc_ppi_m,2015,PPI_2024A,0,2024-04-02
2025-08,PT,DK70,CP12,138.641,1.263,9.048,137.992,C24,153.893,190.792,161.24,136.748,3.391,124.796,prc_hicp_manr,2020,HICP_2025C,0,2025-05-13
2026-03,SI,CZ729,CP11,138.679,1.044,2.922,137.468,C28,154.564,191.631,161.515,137.22,5.911,125.363,prc_hicp_cow,2015,HICP_2024B,0,2025-03-15
2018-10,AT,SE52,CP10,138.869,1.168,-1.393,142.267,E36,153.47,193.157,163.39,137.01,6.576,125.279,prc_hicp_midx,2020,HICP_2023A,0,2025-03-17
2019-05,HR,HR401,CP09,139.285,0.442,10.753,141.239,H49,153.978,192.572,163.695,137.734,0.218,125.967,sts_inpp_m,2015,PPI_2025B,0,2025-08-19
2020-12,DK,HU80,CP08,139.236,1.48,0.452,140.943,M69,155.017,192.359,164.916,137.464,0.352,126.579,prc_ppi_m,2020,PPI_2024A,0,2024-12-17
2021-07,FR,EE51,CP07,139.466,0.249,0.933,139.253,C20,155.78,194.328,164.577,138.153,9.393,126.679,prc_hicp_manr,2015,HICP_2025C,0,2024-01-29
2022-02,HU,ES81,CP06,140.084,0.087,3.573,140.423,C27,157.265,194.929,164.141,139.103,7.651,127.058,prc_hicp_cow,2020,HICP_2024B,0,2025-06-16
2023-09,LV,IT10,CP05,140.818,0.27,5.605,144.656,D35,156.298,195.305,165.933,139.353,8.946,127.465,prc_hicp_midx,2015,HICP_2023A,0,2025-08-09
2024-04,MT,ES522,CP04,141.431,-1.158,10.355,141.245,F41,157.814,197.726,167.429,139.298,9.398,126.893,sts_inpp_m,2020,PPI_2025B,0,2024-01-20
2025-11,PT,DK9,CP03,141.726,0.035,6.684,145.714,J61,157.888,198.381,166.426,139.37,9.247,128.292,prc_ppi_m,2015,PPI_2024A,0,2026-02-14
2026-06,SI,LV22,CP02,142.226,-1.017,4.438,140.201,C10,159.46,200.488,167.498,140.632,0.527,127.5,prc_hicp_manr,2020,HICP_2025C,1,2025-10-25
2018-01,AT,DE228,CP01,141.945,1.572,6.823,139.628,C24,159.899,200.693,167.81,140.409,1.778,127.932,prc_hicp_cow,2015,HICP_2024B,0,2025-11-21
2019-08,HR,FR844,CP12,143.403,-0.637,0.121,144.646,C28,159.638,199.553,168.98,141.063,4.55,128.801,prc_hicp_midx,2020,HICP_2023A,0,2024-05-05
2020-03,DK,MT19,CP11,143.218,-0.437,-1.006,140.66,E36,159.724,200.105,170.953,140.624,5.211,128.549,sts_inpp_m,2015,PPI_2025B,0,2024-07-07
2021-10,FR,BE2,CP10,144.032,-0.05,1.556,148.274,H49,161.809,203.012,170.129,141.776,-0.777,129.17,prc_ppi_m,2020,PPI_2024A,0,2024-03-23
2022-05,HU,MT23,CP09,144.323,-1.018,5.084,147.672,M69,160.635,202.242,170.476,142.043,8.882,128.82,prc_hicp_manr,2015,HICP_2025C,0,2025-10-30
2023-12,LV,LV19,CP08,144.064,1.129,2.088,146.093,C20,161.247,202.144,171.805,142.179,2.917,129.049,prc_hicp_cow,2020,HICP_2024B,1,2025-04-22
