tax_sales_collection_month,tax_sales_state_ut_code,tax_sales_gstin_hash,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_gst_rate_pct,tax_sales_gross_taxable_sales_inr,tax_sales_gst_collected_inr,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_e_invoice_share_pct,tax_sales_e_waybill_count,tax_sales_itc_claimed_inr,tax_sales_reverse_charge_liability_inr,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_inr,tax_sales_interest_assessed_inr,tax_sales_compliance_gap_estimate,tax_sales_refunds_issued_inr,tax_sales_data_certification_level
2024-10,WB,36f1ebe237335ef49233bd86364b39a158fa5261be505ce5e180f27c87bd93d4,GST-RJ-35,MIXED,12,167888407,19322952,2821,MONTHLY,0.23,4873,12065280,1429767,5.36,494678,349075,6.64,10586,L2
2026-12,PB,b2134bbe567ed3a7e23002b4aadcb5767b9039726ae7e93a3fa7d741adafd88f,GST-RJ-32,GOODS,5,95632866,4161242,4138,QUARTERLY,72.92,192109,1076978,248719,1.18,106055,62497,2.56,694637,L3
2022-03,DL,e15a099a8edb68993bce32d2328b01768050a93e6d8b9963518926a246a71d30,GST-MZ-15,GOODS,18,71860449,11936753,6204,MONTHLY,96.23,9488,3102905,256617,7.21,350414,231214,1.17,2821929,L1
2021-10,GJ,42f549133e1318acdd76aae9a058cb8853ebe74fe70ee650a519f1bf555ce83c,GST-LD-77,SERVICES,3,40466503,1224952,29722,MONTHLY,23.83,148863,273365,92926,3.93,22552,19740,4.41,161930,L3
2026-03,AS,b05cc01be877b0d65a90e93dfec12d0578a67f5d102f18fb93f2b843305a660d,GST-KL-54,GOODS,12,208347832,22171904,44743,MONTHLY,93.62,146221,16999358,1624821,1.36,200875,381537,9.62,853298,L1
2023-01,HP,78e34064e8a4dadf71b2eec229aeb45cc8bb7bef5e96cb468300cd4beaac31ef,GST-OD-06,GOODS,18,140143684,16936864,23959,QUARTERLY,98.1,74720,9389684,1160170,6.06,444921,310007,10.87,4218843,L2
2024-09,BR,ad7abf67526a087d90cc3607fe6a84b01a38c68af87ee48d2b43aa0731014c17,GST-TN-51,GOODS,18,228989401,31700185,19119,MONTHLY,66.27,71836,22572557,1855733,4.82,901275,161152,13.59,3719162,L1
2021-12,DH,099d6b1c92a1352364984b26cefee2424d0a12a624a994887dfef85d26f2aa08,GST-TR-24,GOODS,5,84989499,3324216,28053,MONTHLY,63.67,12039,533631,204642,7.56,29232,65512,10.79,282092,L1
2026-12,OD,d3bdad8591f053415c1d08702ad807d2157cde50567a259db6f6d2cf88375681,GST-DH-73,MIXED,3,1648408,51604,10824,MONTHLY,84.0,163849,24916,1956,2.75,644,261,1.27,11578,L2
2026-01,ML,c84813be99570e15d21ee7b0ef49d3d7a2d4e87c1483bc5afe56f9a1beb11852,GST-HR-56,GOODS,0,115593401,0,41928,MONTHLY,97.37,65536,0,0,1.82,0,0,10.61,0,L2
2023-06,NL,0c6e337d14a2a12b50ea992b2ca0a1a454748906fae2c4c1198095ba2e4197de,GST-DL-03,GOODS,18,84738368,12525984,16493,MONTHLY,62.39,189968,9910982,525018,4.11,162654,199187,1.27,1388623,L1
2020-12,BR,2e75ce7c695fface7568cef65a28610d9e8b6d04469f473a7d8a7eb4a0383025,GST-BR-81,SERVICES,12,123951940,11763224,24402,QUARTERLY,2.25,130284,6697646,716727,11.03,206086,172379,12.45,1093231,L2
2020-09,TS,d0b8e48e786806f8d67a6e1ea2ad147c05aca3d26db4c1318693e07c79417211,GST-AS-36,SERVICES,5,121340700,6277446,10193,MONTHLY,76.01,4470,1519363,191223,2.57,170094,28882,0.56,1399463,L1
2022-08,PY,b1767222e5726ca07022bc0523fe731a3de089a52842c6e76a236bc2dc61d668,GST-DL-76,GOODS,18,131421416,22620108,39363,QUARTERLY,29.9,179729,14643033,593009,3.55,621139,138751,8.25,1789429,L2
2023-03,GA,4b2f69dbf7c720ecfd942c1a660286bc0330dc16f93c2d16da8ff585ec208857,GST-KL-57,SERVICES,5,198633633,7270425,31572,MONTHLY,50.92,180634,2904638,87216,9.41,22520,22513,12.3,813061,L2
2023-09,JH,0bbf24df86f68b55f5e5a29cfb6748d14b849eb4689b8679c187fa0b5a5258a3,GST-AN-40,SERVICES,18,46164405,6978296,46778,MONTHLY,62.38,149533,2231072,426702,9.12,150006,41224,5.45,703887,L1
2023-03,WB,aba2ef53f2fe0011e82cd8c31e108ff88e7317192f25c0f0271cc9a4a1e6ccfb,GST-WB-83,GOODS,18,244294077,32555097,41009,MONTHLY,36.95,183858,24229510,1728183,4.74,125303,598895,6.25,7905045,L2
2021-09,AN,36e6976d88de13ad490c048102dd6a40e7eded906388e4b2d606a31e0b18036b,GST-TR-67,MIXED,28,3446699,1009429,4596,QUARTERLY,11.87,154031,546636,43873,9.74,9875,9267,9.87,221578,L3
2021-08,KA,17081b07eda6a4eb2fc36e0ce9221d27edd2a3928d6f28009d36f69a6b85b78e,GST-HR-83,MIXED,12,132429924,13965914,30863,QUARTERLY,54.21,120336,6910714,343561,8.97,166552,267366,4.83,2434249,L2
2026-07,AP,e8dbff3280682322f0a85482e652506d1244f889aad29fd2cbc9b18f4251b027,GST-ML-53,GOODS,18,143362035,17613677,3893,MONTHLY,47.71,26068,13011513,781109,3.42,480331,208415,14.2,2582961,L1
2021-09,UK,55365ddef22f0e6b1103fecff08e3e10670433d4b1496e32341399126d09ec6a,GST-CH-31,GOODS,0,195843443,0,33323,MONTHLY,97.67,91128,0,0,7.45,0,0,2.97,0,L1
2026-08,JH,b8960bd1a2144c04673f94044e9149fe1255658c9e0131b57fb5b45f4299f095,GST-BR-02,SERVICES,12,76084563,7874954,9265,MONTHLY,7.85,45872,4702802,95616,3.14,142101,53173,0.56,206613,L2
2024-08,CH,85cbe4176669d0d7c76f2afde4c7c5359ff0f377c16376dab73662404d3db58f,GST-OD-55,GOODS,12,176422068,18104729,10868,QUARTERLY,86.85,74659,13424696,428908,6.25,344300,123597,14.1,4065857,L2
2020-01,MP,18227f52ad581187229e0303bab5c7400278cf6bf5a77a69f7b1ac54c8b8f6c3,GST-GA-59,GOODS,12,16332468,1446716,36370,QUARTERLY,49.43,158088,644609,11401,5.32,15652,12320,6.92,353289,L2
2024-06,PY,d2b7cf3c1facb5c2053973db2dcebf0e913fa9ea3fd8ecbe7c8ac32fc6f1ba4e,GST-BR-61,GOODS,28,109728098,28392431,11827,QUARTERLY,21.02,169821,22215569,67047,5.72,594649,380461,12.14,5265979,L3
2026-06,DH,b80e2b2fc8dedf9b9a03b83780243a076a971c57ac0d41db8bba069352eacfa9,GST-ML-98,GOODS,18,94026513,12580531,31839,MONTHLY,29.46,75273,8221928,227436,11.45,198939,67473,10.08,899148,L1
2025-08,AS,162ac4e08a91da4a4daed179f62573926cb88b1a731046eae5c4696bb638dabb,GST-KL-78,GOODS,18,240426626,45145785,9830,MONTHLY,0.86,38656,35550963,3184588,9.51,438589,367189,11.74,4414412,L3
2022-11,UP,c4e754617a39353380e03ea3caedb6781719a75f3b75b86329c34423520e3363,GST-CH-93,SERVICES,5,247159038,12108489,30158,MONTHLY,54.16,171678,9138862,6097,7.42,165761,241616,5.3,2457279,L2
2020-09,UK,fa50167f44fdfa10f00fccd2c746f84549726a13ebe50d6d401babbcd86ea70b,GST-NL-50,SERVICES,18,221047604,32982036,49093,MONTHLY,92.34,131640,13154367,2112946,0.62,201607,239103,14.2,6887479,L3
2023-09,KL,4725095dcc67da7ce363f6bfbec6d299fdaa7c6583291d1fa40a6ad0420eed1b,GST-UP-50,SERVICES,12,154584897,14776757,33680,MONTHLY,75.19,8080,11365547,673725,1.53,15007,149177,3.98,1129353,L2
2020-03,LA,8c6f9b67db39c0390c53b26db277c6d943e617ad1569f83e2b22a069fb89831f,GST-TS-45,MIXED,18,10718753,1390422,10586,MONTHLY,29.07,86140,739118,5458,7.68,15220,14277,9.36,236510,L3
2022-07,AN,a658d47f19177d40ad5e81c828774e3cbfe28fb0369add7438fa6f6c0af821c8,GST-LD-97,GOODS,18,180818823,22252246,22938,MONTHLY,35.38,123400,15723689,745067,11.02,612107,86835,7.94,5248773,L2
2026-11,JH,87391df8656fc358ec39d9c2b0d223877579e285df21bddb06c42b07dc09851e,GST-JH-13,GOODS,18,50177706,8597346,11860,MONTHLY,29.69,24572,5559269,435683,0.58,97986,85210,0.97,1581202,L1
2024-02,CH,bfe794d3d148bc23bc281ecfc9d6ceb22d2179f3331d71c7cd32ce5727c7963c,GST-AN-19,GOODS,12,210962446,25436949,14561,QUARTERLY,12.6,101783,20272966,165066,11.88,675985,112538,12.21,2596375,L3
2025-11,UK,d5796941528e6c65e609ee566f764371989209a334ecbd62b1db9a6b94b9dc5c,GST-GJ-82,SERVICES,18,95243655,14567340,21415,QUARTERLY,15.85,101996,9364515,125406,5.65,35494,31380,1.37,1827623,L2
2023-01,OD,601521a3af4ddb4d4c6a18362accd6dabe57c52edcbf3afe8ef974371391f62b,GST-DL-06,GOODS,12,169246892,20474369,9301,MONTHLY,71.65,160966,13398529,176654,4.57,289378,330883,11.55,3927228,L1
2021-10,JK,261189fc8ee435387b16a58ef4f1583d6e8218304af6e55e78d4982f0aa33861,GST-DL-97,GOODS,18,139973943,25943617,13077,QUARTERLY,58.25,79526,21996115,1565554,8.19,229110,370760,6.74,193217,L3
2021-05,OD,efa2c44a687cbc6911ed3fe0be55f2ba4f5306ccb3b150fb6351f4528102515b,GST-CH-23,GOODS,12,110205542,11718982,46977,QUARTERLY,28.84,33906,8886245,80908,11.87,146622,63346,10.32,2557660,L2
2025-02,JH,ddf0a1e292dc5fa307343bef68aab8d410d802934c3b44149987b95a35c5d1c4,GST-KL-63,SERVICES,18,160182838,21674422,35716,MONTHLY,26.27,81799,12542804,1084611,2.45,454322,58346,5.82,801788,L1
2023-09,OD,9562e1bf486b1b05385b3150f72f0433e33378d1650fe7d472982c836be18b3e,GST-GA-82,SERVICES,12,217020832,25438868,12441,QUARTERLY,72.39,39616,17182549,610342,11.55,236274,500150,9.98,5653220,L2
2023-11,NL,21e3bdf3ee165f221ff180923a87f9892bb16e6519489ce228df232d11c42d40,GST-DH-84,SERVICES,5,183303881,6759866,1060,QUARTERLY,9.53,156711,2221851,323310,1.49,28026,123922,9.57,1678290,L2
2021-07,GJ,d486333f4d67e300b0c0c0094dc1b9c344aa80eab68d49ec04f06dd2888fecf9,GST-SK-92,SERVICES,28,45774118,13095121,17090,MONTHLY,21.68,98537,6992469,25623,9.73,16088,94781,5.99,167191,L2
2022-07,RJ,fe4549fd55341680547d5a85bbb9051d0ce420032c4c1efa4b775bc68dbab394,GST-MZ-36,GOODS,12,63755303,5556686,8134,MONTHLY,35.29,101719,4651758,233556,8.44,50162,71669,12.8,1336405,L3
2020-09,CH,7e068f66d8f4935fd8f7f920f3585ffcd778cf48fc2863bd26a749465524b03e,GST-MN-26,SERVICES,28,131304187,29116824,36078,MONTHLY,87.52,120847,7868450,1912423,5.85,626273,167320,14.18,1652421,L2
2021-10,DL,a613305b8e4836c5757401d124485b4bc02aa52418be171d9a19ea6279ebaf39,GST-BR-47,GOODS,18,65103956,8183553,21604,MONTHLY,81.8,173192,6363599,509797,6.56,115276,61538,14.21,952578,L1
2026-05,UK,1d6c251827b9da64e342e09220148fdeb96775802f4b5deef1ea6bee3c8b5514,GST-TS-77,SERVICES,12,199195362,18244299,37553,QUARTERLY,8.26,32494,12232061,776961,11.72,540092,196629,12.11,376638,L1
2025-07,NL,a6d22d523d44a585cdf099c8013a3465021b7403f3e34aa443db8d946b53f127,GST-OD-97,SERVICES,12,87407876,8932934,41370,QUARTERLY,55.6,7969,3149081,151531,9.19,61157,48073,2.64,518728,L2
2025-12,DH,81fcb8862efdf1b2772792a751d6655b4e80a6246d45330ca58cc4952d3daffb,GST-LD-15,GOODS,3,50009596,1208206,26424,MONTHLY,83.65,181261,981656,73654,11.88,33059,2093,14.47,73876,L2
2026-04,LA,8b81dea6b5b4c263244ec26a69ceb5aec0f741a5c635f3c19cd5ba70656c39f7,GST-TR-63,GOODS,5,194379831,8761627,38447,MONTHLY,54.47,192106,3922758,380693,1.36,216423,126162,8.64,407605,L1
2024-02,CH,7a52a4722bf5620e40d4a94370335bbe75835e544518be70d00b13129297ba07,GST-LD-83,GOODS,18,186856396,26785806,25914,MONTHLY,46.26,168617,12867328,621010,4.76,623015,102398,3.23,5664182,L3
2022-05,AN,280de55bc6895998cb8d01cd650fd16231982fcd89ce942bd2faba14dee4ebca,GST-GA-21,SERVICES,12,27157724,2860679,32346,MONTHLY,89.23,37325,1395222,212469,2.98,59735,17188,8.92,698220,L1
2023-10,AN,127aac321d8ddf2d7513184d616d2d243cb90dd47c8506eb24b48ff8350f15fc,GST-TR-26,GOODS,5,130392378,5879204,48337,MONTHLY,73.43,25126,1685380,250341,3.91,3652,112368,9.07,448302,L1
2020-06,NL,3868ee258972716a4739cfc8ff1c2be301a354079aec16c056db46318d891d1a,GST-CH-54,MIXED,3,130941250,4007737,47965,MONTHLY,50.9,71740,2391274,289904,11.6,92582,48315,6.46,740447,L1
2025-03,AN,b38e6804ea61e7b74d636fa3d3556fe78ac244b50534eecd49487407c51daa37,GST-TN-84,SERVICES,12,95013405,11434054,23151,MONTHLY,17.55,169907,5889358,393656,6.65,71329,52116,1.66,434034,L1
2025-01,MH,19c7ada5e4239745840136656a37a63fb09106377e767de781a9fa6fd02b39d6,GST-TN-59,GOODS,18,150169675,20432614,26512,QUARTERLY,17.8,176092,17121515,741384,10.01,184050,116666,9.98,4829452,L1
2023-12,LD,25d97e2288c28411a6457baf2dd48ac9ab783a24d2568e248737653537d09c75,GST-GA-84,GOODS,18,129952139,19611339,44943,MONTHLY,23.68,182897,13583216,562142,0.11,129695,87774,2.54,3419036,L1
2022-08,DL,7048f0e3ea7615320dcb2b31e88eeab2840d6a219384a5ca54df66f7a8c9c99b,GST-KL-28,GOODS,18,232595834,28878747,3165,MONTHLY,58.63,55823,13190915,876078,6.27,372219,502322,3.92,5052325,L2
2021-06,SK,11e818aff6eaaf7dc61135e7354e397e68eb02cf73539b9195b74c3f079a5e63,GST-TN-13,SERVICES,5,33173255,1225637,49332,MONTHLY,54.71,48900,946951,33475,11.48,7879,19621,11.84,75588,L2
2020-02,UK,0221288b24772babd5284345148c2208485db8487c6dc86de9b222e687f75a91,GST-NL-65,MIXED,12,96133262,8855262,31615,MONTHLY,63.31,59523,7060610,537009,4.1,226651,97082,9.99,1162255,L1
2022-12,CH,5a74f58d7fa4cce27d44a5aa131dfec619794ed69a323a36a950bdfb5d3c63a1,GST-DL-23,SERVICES,18,100923968,18742823,3210,MONTHLY,19.73,172921,10322674,420062,5.93,382310,48354,2.26,1907620,L3
2026-01,RJ,8248a2e90e57143ecf48bcd875acebf92f8671bc013d4e854409a0245ba57ce6,GST-WB-79,GOODS,5,119475745,5689129,28089,MONTHLY,51.87,14851,4676435,101525,3.6,109951,84036,8.49,1234446,L2
2020-09,AN,c02f81716444ba5effa3e96d683915fea9b729d2666e9310d14c143afa2f7d57,GST-PB-86,GOODS,12,181992711,22028080,32834,QUARTERLY,61.03,112615,11324070,1544708,8.54,489487,373979,3.94,3614462,L2
2026-07,UP,2669756e4b781dc29d495889979bf8e23993b9137f261ac97a6c4ba48723865f,GST-TN-28,MIXED,18,172109977,23837492,27933,QUARTERLY,85.76,20064,7235689,1865305,0.11,226664,251527,10.82,1667094,L2
2023-08,JH,cdcca93e373f00f00968cb49b7d2d8c4ec4e81d8b1b7d18d3d8ac8cc6ebe4db6,GST-TS-61,GOODS,3,235989353,7033901,48171,QUARTERLY,27.55,160479,3640961,290199,6.85,116632,29695,5.25,182659,L1
2023-09,GA,ef1089b03c764420aad354e411a3453e705fc9d0b8f284635a084b5084a278da,GST-TS-16,SERVICES,18,41547336,7170379,22988,QUARTERLY,27.81,58053,3521643,93430,1.34,138364,99605,2.99,1446809,L2
2020-01,RJ,b3b97a89feb06e2c34e4eba39dd52003a2405d13959fce1078718313c4ef4616,GST-UK-84,GOODS,18,64443381,8214703,22226,MONTHLY,99.28,120506,4179272,65306,5.43,138833,53659,5.09,135087,L2
2020-03,AP,94cc427622392524e98ff899d860b2b3a0867b71bd4bc92aae9b0f9ad61c36d1,GST-NL-50,GOODS,12,101995460,9530046,10418,QUARTERLY,6.23,85313,2600237,467634,6.05,165494,174707,13.18,1100552,L2
2023-04,UP,daca2309c4cbedbb750a6d5e70a1e2068d4d1e7113081f19a2e7e60405325069,GST-CG-32,GOODS,12,182828434,20502917,19024,MONTHLY,48.82,59612,6004480,1280486,4.89,37876,340432,0.72,3323062,L1
2024-01,TR,d9efb24887d0509f2b223a3853d24ce8dd57d2f5d08a680787e5dad0c1b4a8a5,GST-LD-90,GOODS,5,8127640,317165,26135,MONTHLY,92.85,155139,135052,18131,0.61,4334,2577,10.97,47644,L1
2023-02,BR,1e64555afffdde5d0ade5ab6a1f0e1c72198ead7e4ec149f167c68c9edb1e90a,GST-AP-65,GOODS,0,56745281,0,18754,QUARTERLY,54.95,138450,0,0,6.69,0,0,14.0,0,L3
2022-08,KL,fd90bc6057505acfe6d14042bf9255d8522b6b5d229324e8097463fcdd7d0d2e,GST-AP-66,SERVICES,18,653385,123085,4056,MONTHLY,58.02,162109,38428,4088,3.01,400,2333,3.85,19923,L1
2020-10,PB,0c135ebb0a2b28986ce74d56df6685301241e5c2fd98c805660a9d8a7b088c0f,GST-LA-58,GOODS,18,15638823,2374868,38097,MONTHLY,26.83,139930,491420,178426,5.29,12990,45339,2.44,142629,L3
2021-11,UP,1e4fb36d3abc6477a07a71daaea27af55b70b8b18b544af8079195007d6c105b,GST-NL-26,SERVICES,5,106239401,4192677,13531,MONTHLY,73.45,152987,1413154,228960,1.09,71517,40722,14.07,583614,L2
2025-11,AP,eaa3f2691a84c7a16606301d4da38c11ed4afca2e53f91f0b91a49b1acfc429a,GST-CH-90,GOODS,12,65398207,6221215,33507,QUARTERLY,96.18,144232,2661694,371956,1.96,32561,767,6.1,386663,L2
2024-05,PB,f8a06577f8c72ef94c7c36dc8e001f903028b25c970e5586faf3c7b4bccc38aa,GST-MH-68,MIXED,12,204074055,21973588,48728,QUARTERLY,46.57,22898,4149876,1119439,7.39,337431,317628,3.1,2125828,L2
2021-01,HP,63b14c51364e936400efad2ccf32fb59fded1f6f45fdf499d916c3708534e680,GST-ML-23,GOODS,5,27822185,1263122,21988,QUARTERLY,86.57,152020,551998,8269,11.92,8365,7091,4.73,235605,L1
2025-08,MN,0eb1b5062f6e5072f901c2a9f4279f66151215c87bb346d8fe598d83a68cc15c,GST-UK-58,MIXED,12,96111465,11489162,1893,MONTHLY,3.47,79827,6444593,805258,11.77,61022,172186,7.76,728320,L2
2021-02,NL,5e45b8de23a0b912a96296b5639349aedd385aa57916584575037bb97d215c2a,GST-OD-79,GOODS,12,18289917,2003629,29264,MONTHLY,84.15,129267,1457004,42514,1.38,47656,1168,6.26,426871,L2
2025-01,HR,ea81d50b0be6fb75f49e40ebcf44f011a6878f5ffb458ff69cf94e951df0b3b8,GST-JK-27,GOODS,18,138368571,25527209,2544,MONTHLY,95.78,13417,12483980,200886,6.96,620489,314911,7.95,2895717,L2
2023-04,KL,e652344754864be6c5b78142872af33af2d4517b5cc556c28ae5885f32406e46,GST-TR-44,SERVICES,5,161274257,7094080,29968,MONTHLY,85.01,86814,4694454,515018,10.85,70223,133283,5.82,1759962,L3
2025-01,MN,c518dbaaf1306624a21b4158b1ced7b58fe98cbaf21f54844d6b334af0463c5a,GST-OD-31,SERVICES,5,117917808,4995964,48777,MONTHLY,8.76,67717,3119840,109836,4.79,48454,51894,7.96,762149,L1
2020-02,WB,034f428494f0c92bfbefd3034d97d031431741f206e9663733d1110b20ea5e07,GST-CH-01,SERVICES,12,28916603,3345730,14628,MONTHLY,63.63,66498,1767360,264661,9.65,41438,63302,13.54,133739,L2
2025-09,KA,edb4dbccfa587d14cf7bd61434e54534f4e993b3e589d11b3517c178472c7849,GST-PB-46,GOODS,5,107578495,3955207,17140,MONTHLY,7.45,85388,2143566,271574,1.71,23612,57095,12.29,740500,L2
2025-07,TN,258bf794ee114406c02774333a17d6f032c7c3290dc5968395c5b07c82c2c4bc,GST-KA-34,SERVICES,5,212865984,9619364,359,MONTHLY,6.77,181920,3396447,509283,11.83,158659,114747,8.93,1468026,L2
2021-03,MH,edf3ce027714db41a62905b86ca7fe4d396904df494d4e083f7ca758802c8f54,GST-CG-17,GOODS,28,153126578,34735925,12830,MONTHLY,7.73,139849,8772991,2470532,7.72,1012750,587807,6.32,1028182,L1
2020-02,JH,da78bb18e6c42cbf4273d900e3585f8e017e0aa5e245ceb9c9461dc0667f3f3c,GST-MP-11,GOODS,18,237411930,30067985,238,MONTHLY,14.29,162807,15662800,1960174,7.41,687259,553506,12.72,514207,L2
2025-06,BR,539294799050dd834c6db4d831b3bb39de1d1a73647c0f0c71536300b72be4d5,GST-TN-56,SERVICES,5,51855651,2015090,26896,QUARTERLY,53.6,116164,683726,105794,6.97,16884,34609,5.32,415450,L2
2022-02,AP,d00857a107265a111e77140db4e7522f449beb32c57cb8d8a2b5cb7b083f365a,GST-PY-90,SERVICES,12,137808681,14932408,22483,MONTHLY,74.66,167040,6108660,698210,10.83,157430,274208,13.21,1819684,L3
2024-10,MP,896292a9f2f50d47ffe6798bd733ebd42fefb7d904439f05ef60086bc27f3885,GST-UP-51,GOODS,18,212205558,39217768,30728,MONTHLY,16.29,147498,26452233,2317467,3.71,228367,50026,2.83,6801596,L2
