house_rent_rent_month,house_rent_building_id_hash,house_rent_unit_bedroom_count,house_rent_asking_rent_usd,house_rent_effective_rent_usd,house_rent_rent_concession_weeks,house_rent_vacancy_rate_building,house_rent_lease_term_months,house_rent_tenant_income_requirement,house_rent_rent_to_income_ratio,house_rent_utility_included_flag,house_rent_pet_fee_usd,house_rent_application_fee_usd,house_rent_security_deposit_usd,house_rent_eviction_filing_rate,house_rent_rent_control_coverage_flag,house_rent_affordability_target_ami,house_rent_subsidy_waitlist_length,house_rent_move_in_incentive_flag,house_rent_renter_turnover_rate
2010-11,BLDG0000000011,3,3586.51,3542.11,3,19.8,12,3.24,0.329,1,496,47,1175,8.05,0,120_AMI,5324,0,12.83
2010-12,BLDG0000000012,3,2113.62,2106.28,3,21.46,12,2.27,0.537,0,588,85,3706,2.58,0,80_AMI,5420,0,94.21
2011-01,BLDG0000000013,2,2920.91,2659.63,1,6.41,12,2.89,0.395,0,463,2,1270,7.2,1,MARKET,6094,0,79.56
2011-02,BLDG0000000014,2,2269.88,2158.0,9,3.3,12,2.91,0.463,0,588,111,4300,8.88,1,80_AMI,149,0,42.88
2011-03,BLDG0000000015,1,2710.26,2541.84,4,3.15,12,3.46,0.418,0,182,91,3770,4.49,1,50_AMI,6347,0,56.15
2011-04,BLDG0000000016,3,3120.34,2878.7,9,13.29,15,2.72,0.356,1,113,89,5194,0.42,0,MARKET,3857,0,53.35
2011-05,BLDG0000000017,1,2981.05,2814.15,10,13.95,15,3.97,0.528,0,278,21,5320,2.65,0,50_AMI,3379,0,39.34
2011-06,BLDG0000000018,3,1452.22,1174.98,3,2.99,12,2.16,0.524,0,236,87,3111,4.93,0,80_AMI,2097,1,62.28
2011-07,BLDG0000000019,1,1807.63,1725.09,5,10.89,9,3.58,0.508,0,237,3,827,3.67,0,30_AMI,1766,1,47.3
2011-08,BLDG0000000020,2,3081.83,2825.99,5,12.11,12,4.21,0.28,0,153,114,1637,6.35,0,60_AMI,6226,1,45.24
2011-09,BLDG0000000021,1,3642.69,3380.26,7,16.95,12,2.85,0.326,0,576,108,4777,1.94,0,50_AMI,7676,1,72.06
2011-10,BLDG0000000022,3,1295.34,1283.55,5,6.79,12,4.23,0.437,0,263,108,2202,2.85,1,120_AMI,5427,0,13.24
2011-11,BLDG0000000023,2,4985.95,4927.98,12,11.53,6,2.33,0.224,1,339,63,2063,6.13,0,60_AMI,5400,0,69.26
2011-12,BLDG0000000024,2,4045.56,4013.3,8,15.73,12,2.47,0.249,1,85,69,1980,3.58,0,100_AMI,2483,1,73.02
2012-01,BLDG0000000025,1,4853.46,4788.65,2,10.61,15,3.73,0.194,1,71,124,2742,8.45,0,50_AMI,5885,0,41.1
2012-02,BLDG0000000026,1,4434.51,4371.76,6,5.87,12,2.36,0.514,0,23,40,4127,4.76,1,50_AMI,2927,0,28.05
2012-03,BLDG0000000027,1,1419.99,1394.87,0,4.77,12,3.19,0.481,1,632,99,3035,5.49,0,80_AMI,3422,0,48.58
2012-04,BLDG0000000028,3,2455.23,2301.99,5,9.17,6,3.89,0.541,0,470,139,5711,7.67,0,100_AMI,2873,0,89.35
2012-05,BLDG0000000029,2,1676.82,1430.74,7,19.37,12,4.19,0.216,1,10,114,2752,3.97,0,30_AMI,54,0,92.28
2012-06,BLDG0000000030,0,2454.08,2336.23,8,15.75,12,4.39,0.534,1,596,78,4689,8.58,0,60_AMI,984,1,85.46
2012-07,BLDG0000000031,2,1675.14,1413.23,6,7.73,9,2.3,0.537,0,184,90,2183,1.52,0,80_AMI,5431,0,84.15
2012-08,BLDG0000000032,2,1712.57,1608.33,7,2.52,18,3.84,0.39,0,573,6,1409,2.78,0,50_AMI,3191,1,23.98
2012-09,BLDG0000000033,4,4218.6,4000.48,9,11.87,9,2.54,0.239,1,348,118,692,5.8,0,80_AMI,3967,1,68.96
2012-10,BLDG0000000034,2,790.27,534.32,9,10.36,12,3.66,0.214,0,337,148,140,6.13,0,MARKET,208,0,28.83
2012-11,BLDG0000000035,2,2928.91,2682.64,6,9.13,12,3.64,0.47,0,650,14,2910,1.29,1,MARKET,6996,1,60.74
2012-12,BLDG0000000036,2,4794.36,4632.62,7,16.36,12,4.5,0.209,1,646,149,3577,4.79,0,120_AMI,7966,1,60.08
2013-01,BLDG0000000037,2,2457.73,2284.13,7,9.3,12,4.13,0.24,1,587,115,3001,0.86,0,120_AMI,6864,0,27.11
2013-02,BLDG0000000038,1,1004.43,986.84,11,1.82,18,2.89,0.471,1,304,45,202,3.01,0,80_AMI,3138,0,85.86
2013-03,BLDG0000000039,2,2488.94,2392.42,3,10.86,18,4.24,0.344,0,33,50,3458,6.62,1,120_AMI,3728,0,13.1
2013-04,BLDG0000000040,1,3982.44,3751.87,7,0.64,12,2.98,0.359,0,457,71,1284,5.51,0,120_AMI,3607,0,27.49
2013-05,BLDG0000000041,2,4348.73,4341.74,10,8.87,12,3.24,0.366,0,329,8,4754,4.49,0,100_AMI,7972,1,69.4
2013-06,BLDG0000000042,2,4143.34,3948.92,0,5.07,6,3.2,0.441,0,32,34,3288,8.9,0,60_AMI,6087,0,90.13
2013-07,BLDG0000000043,2,4855.74,4706.46,7,10.08,12,3.97,0.355,0,250,38,4325,3.92,0,120_AMI,1914,0,21.3
2013-08,BLDG0000000044,2,769.49,428.59,5,16.34,12,2.97,0.266,0,242,24,5842,0.85,0,MARKET,7350,0,56.79
2013-09,BLDG0000000045,4,2178.17,2108.17,11,0.2,6,3.77,0.314,0,231,114,3261,6.87,0,120_AMI,3417,0,84.02
2013-10,BLDG0000000046,1,1168.93,905.66,4,15.35,24,2.77,0.54,1,387,88,4181,6.27,0,80_AMI,3084,0,90.59
2013-11,BLDG0000000047,0,1072.01,822.43,9,13.49,12,3.23,0.246,1,229,123,3391,3.93,1,30_AMI,2667,0,56.82
2013-12,BLDG0000000048,1,2030.26,1825.71,8,11.25,12,4.04,0.354,1,92,82,271,4.96,1,30_AMI,4066,1,38.3
2014-01,BLDG0000000049,2,2131.38,2068.03,0,0.69,12,4.04,0.352,1,589,87,1873,1.97,1,100_AMI,4628,1,49.4
2014-02,BLDG0000000050,1,4350.04,4321.52,2,1.57,6,3.18,0.512,0,402,66,5179,0.24,1,MARKET,7784,0,35.14
2014-03,BLDG0000000051,2,2320.92,2307.13,6,17.23,12,4.49,0.205,0,428,98,4879,8.0,1,50_AMI,2554,0,10.81
2014-04,BLDG0000000052,3,3966.17,3941.23,9,17.29,18,4.38,0.445,0,319,82,4709,3.21,0,100_AMI,6206,1,14.38
2014-05,BLDG0000000053,2,5108.74,4897.19,2,14.76,18,3.33,0.24,1,657,81,4069,5.09,0,100_AMI,2583,0,56.38
2014-06,BLDG0000000054,0,1059.35,849.51,6,1.37,12,3.35,0.529,1,477,137,5256,5.78,0,MARKET,5750,0,67.03
2014-07,BLDG0000000055,2,5084.37,4811.82,12,6.03,6,3.62,0.305,0,35,96,3788,3.13,0,30_AMI,6152,1,51.87
2014-08,BLDG0000000056,1,4821.36,4499.14,4,18.17,12,4.18,0.326,0,466,80,96,1.5,0,80_AMI,7693,0,38.15
2014-09,BLDG0000000057,0,4043.92,3818.16,3,18.95,12,2.27,0.271,0,406,21,374,2.06,0,100_AMI,4261,1,80.05
2014-10,BLDG0000000058,2,2239.07,2030.53,5,4.64,12,2.78,0.419,0,197,62,1027,3.74,0,50_AMI,5741,0,55.7
2014-11,BLDG0000000059,3,2067.19,1927.98,11,5.46,24,4.32,0.268,0,330,99,1396,7.93,1,MARKET,766,1,15.61
2014-12,BLDG0000000060,2,2807.89,2732.87,2,16.87,6,4.4,0.402,0,59,134,5445,6.14,0,30_AMI,4118,1,20.92
2015-01,BLDG0000000061,3,5037.61,4772.54,3,18.0,12,2.41,0.226,1,480,47,2606,2.87,0,120_AMI,2413,0,12.01
2015-02,BLDG0000000062,2,4587.45,4282.12,5,15.15,24,3.45,0.272,0,30,61,4634,4.4,0,100_AMI,1522,0,41.5
2015-03,BLDG0000000063,2,3416.56,3298.24,8,16.33,12,2.83,0.294,1,227,72,1494,5.3,0,80_AMI,3801,0,46.98
2015-04,BLDG0000000064,2,4893.48,4749.2,1,3.75,6,3.01,0.539,0,10,114,5861,4.74,0,120_AMI,299,0,41.67
2015-05,BLDG0000000065,1,3424.53,3217.96,7,3.33,12,3.42,0.28,0,466,8,3636,7.94,0,80_AMI,6582,0,92.15
2015-06,BLDG0000000066,1,3682.08,3420.48,0,1.6,12,3.66,0.18,1,177,0,2144,1.79,0,80_AMI,3999,1,83.8
2015-07,BLDG0000000067,2,4578.56,4429.57,4,12.73,12,3.99,0.469,1,400,114,1032,5.81,0,100_AMI,5931,1,73.05
2015-08,BLDG0000000068,3,2366.01,2053.68,10,12.59,12,2.62,0.339,1,297,68,1360,2.41,0,60_AMI,2664,0,44.94
2015-09,BLDG0000000069,2,3490.17,3477.8,8,0.33,12,2.23,0.213,1,718,2,3447,5.2,0,80_AMI,7390,1,29.43
2015-10,BLDG0000000070,2,4816.64,4684.84,2,5.48,15,3.7,0.283,0,648,1,5442,3.13,0,50_AMI,4824,0,27.05
2015-11,BLDG0000000071,2,3781.19,3637.65,3,6.44,12,3.05,0.43,0,468,103,2945,8.54,0,30_AMI,543,0,44.3
2015-12,BLDG0000000072,4,849.82,786.18,5,0.66,12,4.22,0.455,0,768,81,3645,2.37,0,120_AMI,4388,0,86.79
2016-01,BLDG0000000073,1,4416.9,4164.9,2,8.95,24,4.09,0.365,1,382,34,2960,0.08,0,80_AMI,2875,0,55.77
2016-02,BLDG0000000074,2,3834.07,3561.2,5,19.13,18,4.36,0.202,0,660,96,2162,7.19,0,80_AMI,5206,1,36.36
2016-03,BLDG0000000075,3,5076.82,5031.3,2,21.84,12,2.71,0.235,0,505,35,1270,3.38,0,120_AMI,5058,1,31.24
2016-04,BLDG0000000076,1,2538.52,2421.46,7,19.06,12,2.59,0.199,0,619,41,5949,1.76,1,60_AMI,9,0,89.12
2016-05,BLDG0000000077,1,1460.78,1425.0,3,13.08,12,2.99,0.344,1,114,87,1955,7.43,0,80_AMI,1679,1,67.63
2016-06,BLDG0000000078,1,4480.36,4263.37,7,20.17,12,3.83,0.296,1,755,109,3531,7.3,0,MARKET,473,1,50.25
2016-07,BLDG0000000079,3,4239.83,4204.58,8,14.33,12,2.72,0.329,1,216,36,2070,3.82,0,80_AMI,756,0,14.37
2016-08,BLDG0000000080,3,4508.82,4480.59,11,20.35,6,2.78,0.282,0,360,31,4249,2.75,0,50_AMI,3797,0,60.21
2016-09,BLDG0000000081,1,4668.64,4383.48,12,3.04,12,3.21,0.26,1,105,66,1342,2.44,0,100_AMI,1616,0,35.46
2016-10,BLDG0000000082,3,1645.6,1309.12,7,6.02,24,2.54,0.442,0,261,104,5775,2.68,0,60_AMI,2079,0,74.57
2016-11,BLDG0000000083,1,4867.8,4584.48,4,18.07,12,2.51,0.423,1,368,63,3973,1.47,0,80_AMI,1554,0,93.58
2016-12,BLDG0000000084,1,3009.13,2918.32,9,14.27,12,2.41,0.217,0,43,38,5572,3.4,0,60_AMI,1365,0,10.3
2017-01,BLDG0000000085,4,1207.19,861.17,4,11.0,12,3.98,0.348,0,675,1,1720,5.31,0,100_AMI,7021,0,74.76
2017-02,BLDG0000000086,2,2515.53,2352.82,10,7.79,12,3.36,0.41,0,557,74,667,7.7,0,30_AMI,6945,1,45.03
2017-03,BLDG0000000087,1,3249.22,3092.57,1,9.36,15,2.91,0.533,0,237,102,1752,3.88,0,80_AMI,7070,0,89.34
2017-04,BLDG0000000088,3,4935.13,4827.4,10,11.28,12,3.66,0.486,0,572,116,2061,2.79,0,30_AMI,489,1,56.82
2017-05,BLDG0000000089,4,4758.47,4507.29,1,14.02,12,2.57,0.418,0,492,1,4060,5.84,1,120_AMI,5588,0,69.28
2017-06,BLDG0000000090,1,2759.29,2503.42,1,1.25,12,2.89,0.501,0,637,8,198,6.32,0,MARKET,2222,0,18.82
2017-07,BLDG0000000091,2,4811.44,4706.47,1,8.51,12,3.83,0.365,0,288,138,1181,4.62,0,30_AMI,5216,0,34.97
2017-08,BLDG0000000092,2,2203.68,1917.07,2,21.56,12,3.13,0.474,0,790,4,2266,7.03,0,80_AMI,6381,0,66.6
2017-09,BLDG0000000093,2,1621.75,1503.27,5,12.16,9,3.13,0.442,0,434,133,4322,1.52,0,50_AMI,4776,0,72.17
2017-10,BLDG0000000094,3,4393.61,4163.39,1,5.66,12,2.41,0.39,0,388,60,5354,1.86,0,100_AMI,7574,0,26.48
2017-11,BLDG0000000095,2,1039.53,874.46,12,17.25,6,3.67,0.351,0,284,89,5226,4.64,0,80_AMI,5715,0,77.83
2017-12,BLDG0000000096,2,3647.09,3352.75,1,11.94,12,3.05,0.357,0,219,39,4112,2.18,0,30_AMI,7598,0,15.55
2018-01,BLDG0000000097,3,3699.02,3691.7,9,11.29,15,3.29,0.531,0,321,113,1801,8.33,0,MARKET,1847,1,44.5
2018-02,BLDG0000000098,1,4693.35,4387.76,1,13.01,12,2.09,0.298,0,610,97,840,1.06,0,80_AMI,4758,0,75.51
2018-03,BLDG0000000099,3,4476.97,4458.3,2,10.38,24,3.89,0.448,1,74,30,701,0.81,0,50_AMI,436,1,33.19
2018-04,BLDG0000000100,1,3882.63,3848.78,4,20.87,12,3.76,0.445,1,769,68,2676,3.02,0,120_AMI,1193,1,73.01
2018-05,BLDG0000000101,1,2885.77,2843.08,9,14.65,12,2.86,0.51,0,31,147,4392,0.08,0,100_AMI,7116,0,41.48
2018-06,BLDG0000000102,0,3849.61,3783.68,9,3.99,12,2.15,0.459,0,463,134,4558,5.18,0,100_AMI,7477,0,31.37
2018-07,BLDG0000000103,4,1005.67,902.9,5,6.76,12,3.53,0.278,0,550,99,5400,2.91,1,60_AMI,2404,0,78.75
2018-08,BLDG0000000104,1,4776.64,4584.17,9,5.45,12,4.03,0.381,0,476,78,5881,7.92,0,50_AMI,851,0,60.97
2018-09,BLDG0000000105,3,4224.41,4002.11,4,6.15,15,2.41,0.185,0,66,55,915,8.77,1,120_AMI,5028,1,78.27
2018-10,BLDG0000000106,3,4509.06,4360.55,4,3.51,18,2.65,0.447,0,198,76,4638,4.39,1,100_AMI,4054,0,66.31
2018-11,BLDG0000000107,2,4047.78,3754.45,8,3.98,12,2.7,0.19,1,151,140,3808,3.6,0,100_AMI,7330,0,34.46
2018-12,BLDG0000000108,0,1413.95,1064.4,10,5.88,12,4.48,0.25,1,1,56,4472,7.25,1,50_AMI,420,1,82.44
2019-01,BLDG0000000109,1,4813.28,4542.88,5,5.07,6,2.88,0.195,0,389,97,1380,5.65,0,120_AMI,4542,0,81.28
2019-02,BLDG0000000110,3,3624.11,3411.44,2,2.65,6,2.22,0.253,0,557,61,3364,5.73,0,50_AMI,7468,0,76.59
2019-03,BLDG0000000111,0,4854.65,4638.01,10,7.8,12,2.4,0.46,0,279,121,3786,5.18,0,100_AMI,2837,0,88.04
2019-04,BLDG0000000112,0,1097.2,809.61,11,18.91,6,2.63,0.394,0,666,138,4082,1.58,1,30_AMI,7381,0,60.21
2019-05,BLDG0000000113,1,2980.02,2712.34,7,5.22,18,3.59,0.399,0,69,10,4844,6.23,0,30_AMI,2285,1,76.7
2019-06,BLDG0000000114,0,2229.01,1962.62,6,21.94,18,2.55,0.461,0,121,8,5604,8.57,0,100_AMI,6493,0,80.99
2019-07,BLDG0000000115,1,4777.99,4746.58,7,13.84,12,4.41,0.36,1,642,54,3803,7.61,0,80_AMI,989,0,73.0
2019-08,BLDG0000000116,0,4975.35,4827.61,8,20.04,6,3.72,0.264,0,550,32,2361,6.58,1,30_AMI,2279,1,34.83
2019-09,BLDG0000000117,1,2288.4,2089.04,5,21.17,12,2.95,0.393,1,211,126,4768,8.89,1,80_AMI,4998,1,32.21
2019-10,BLDG0000000118,1,4546.01,4403.72,2,4.87,12,2.96,0.535,1,477,141,1472,5.42,0,50_AMI,1888,0,18.83
2019-11,BLDG0000000119,0,4358.74,4217.1,1,9.77,18,4.12,0.247,0,687,133,1179,4.41,0,100_AMI,6400,1,65.08
2019-12,BLDG0000000120,3,2618.72,2424.52,8,19.57,12,4.42,0.312,1,155,119,1322,0.97,0,MARKET,418,0,35.31
2020-01,BLDG0000000121,2,1340.17,996.58,5,5.55,12,3.15,0.353,1,216,121,2865,0.82,1,60_AMI,2542,0,93.19
2020-02,BLDG0000000122,1,3368.09,3083.01,0,4.75,6,4.01,0.4,0,46,56,2901,8.42,0,30_AMI,2984,0,47.31
2020-03,BLDG0000000123,3,1292.71,1163.42,10,6.95,12,3.0,0.489,0,313,16,525,2.74,0,120_AMI,2922,1,52.75
2020-04,BLDG0000000124,3,1344.17,1052.43,9,21.42,12,4.46,0.443,0,591,21,2917,2.79,0,100_AMI,2138,0,39.82
2020-05,BLDG0000000125,1,1290.3,1017.8,2,19.23,6,2.37,0.428,0,525,26,5496,0.55,1,MARKET,1146,0,73.36
2020-06,BLDG0000000126,3,1033.06,823.85,5,4.21,9,3.05,0.493,0,630,138,3129,7.68,0,50_AMI,5998,0,56.45
2020-07,BLDG0000000127,3,1174.42,882.63,4,11.05,12,2.18,0.527,0,564,108,4999,2.39,0,30_AMI,1017,0,35.99
2020-08,BLDG0000000128,2,1480.49,1455.14,2,18.0,15,2.46,0.252,1,322,82,3080,8.52,0,MARKET,5149,0,73.24
2020-09,BLDG0000000129,2,873.07,675.47,8,5.77,18,4.0,0.243,1,325,113,1851,1.73,0,MARKET,700,1,86.55
2020-10,BLDG0000000130,1,1635.58,1522.43,4,10.08,12,4.43,0.486,0,182,26,3045,3.14,0,120_AMI,1465,0,71.19
2020-11,BLDG0000000131,2,4455.62,4245.79,12,5.21,6,2.61,0.409,0,442,141,3906,2.81,0,120_AMI,7085,0,57.2
2020-12,BLDG0000000132,1,1197.78,962.14,1,17.48,12,2.83,0.452,0,623,70,4670,4.18,0,30_AMI,1278,1,66.89
2021-01,BLDG0000000133,0,4465.95,4296.67,11,7.65,15,2.03,0.393,0,676,7,2353,8.23,0,MARKET,4789,1,82.35
2021-02,BLDG0000000134,3,1740.01,1402.05,0,0.05,12,2.81,0.482,1,238,53,2840,6.43,0,60_AMI,5562,0,15.17
2021-03,BLDG0000000135,0,3641.35,3351.2,6,19.52,12,2.3,0.48,0,734,141,4275,5.34,0,30_AMI,7053,1,37.13
2021-04,BLDG0000000136,2,3418.63,3163.73,2,11.73,12,4.43,0.19,0,536,92,3670,1.17,0,100_AMI,3715,0,51.26
2021-05,BLDG0000000137,4,3372.91,3092.18,4,6.64,12,2.98,0.398,0,482,20,1873,8.19,0,120_AMI,3822,0,15.24
2021-06,BLDG0000000138,2,5029.45,4940.48,9,10.69,12,4.21,0.437,0,18,26,1034,4.02,0,60_AMI,6034,0,23.68
2021-07,BLDG0000000139,2,3776.88,3442.06,11,5.51,12,3.39,0.269,0,350,21,2567,8.17,0,80_AMI,1666,0,12.05
2021-08,BLDG0000000140,0,1896.09,1706.44,2,0.58,12,2.75,0.359,1,740,121,5609,5.61,0,50_AMI,7611,0,30.44
2021-09,BLDG0000000141,0,3377.96,3255.46,5,7.15,12,4.41,0.409,1,326,89,1670,5.11,1,60_AMI,2418,0,11.16
2021-10,BLDG0000000142,3,1223.06,1033.34,8,20.64,12,2.08,0.345,0,577,102,1833,6.85,0,50_AMI,5155,0,84.91
2021-11,BLDG0000000143,2,4848.98,4583.32,8,19.85,12,3.41,0.414,0,455,147,2099,3.54,0,50_AMI,1738,0,63.02
2021-12,BLDG0000000144,2,2291.41,2003.58,4,1.2,24,3.62,0.286,1,673,16,3644,8.72,1,80_AMI,4899,0,72.5
2022-01,BLDG0000000145,1,4735.95,4609.85,8,21.38,12,4.26,0.396,1,628,58,2245,8.45,0,MARKET,7206,0,78.95
2022-02,BLDG0000000146,2,2060.46,1775.6,4,6.42,18,2.69,0.452,0,760,88,904,6.3,0,80_AMI,1443,1,11.39
2022-03,BLDG0000000147,1,2563.0,2269.79,5,10.49,12,2.14,0.535,0,782,78,1254,3.95,1,100_AMI,242,1,82.56
2022-04,BLDG0000000148,2,3992.38,3918.61,11,5.72,15,3.54,0.372,0,663,1,1054,1.39,0,60_AMI,2995,0,62.8
2022-05,BLDG0000000149,4,4059.04,3998.88,8,17.36,12,3.42,0.215,0,610,47,3275,3.44,0,MARKET,1818,0,72.61
2022-06,BLDG0000000150,3,2561.3,2306.95,0,7.02,9,2.68,0.488,1,794,21,5109,6.58,0,100_AMI,7248,0,85.27
2022-07,BLDG0000000151,3,4854.25,4817.12,0,17.61,12,3.85,0.51,0,26,120,5470,0.19,0,80_AMI,5711,1,78.11
2022-08,BLDG0000000152,3,3748.61,3669.61,10,16.69,24,4.08,0.346,1,72,119,3833,3.1,0,100_AMI,7885,0,49.32
2022-09,BLDG0000000153,3,1620.55,1339.52,12,1.09,12,3.29,0.292,1,597,31,52,8.93,1,100_AMI,4242,1,58.77
2022-10,BLDG0000000154,2,3932.77,3856.78,0,5.8,18,2.25,0.44,1,145,85,1686,5.07,0,30_AMI,5904,1,54.02
2022-11,BLDG0000000155,2,2750.11,2434.71,9,5.77,12,4.37,0.214,0,531,82,1097,1.84,0,80_AMI,6368,1,71.12
2022-12,BLDG0000000156,2,4995.48,4941.12,7,17.5,12,2.37,0.388,0,782,46,3163,2.75,0,MARKET,3478,1,33.62
2023-01,BLDG0000000157,3,767.53,586.14,2,2.58,12,3.63,0.22,0,759,12,1678,8.53,0,80_AMI,1990,1,13.32
2023-02,BLDG0000000158,3,4065.54,3959.24,8,20.05,12,3.98,0.236,0,369,78,4569,2.66,0,60_AMI,1513,0,16.65
2023-03,BLDG0000000159,2,1009.32,939.36,10,4.1,15,2.1,0.284,0,46,101,2920,2.28,0,80_AMI,6543,1,23.06
2023-04,BLDG0000000160,3,4901.05,4812.06,12,4.56,12,2.35,0.421,1,395,57,2538,2.27,1,MARKET,4822,1,81.98
2023-05,BLDG0000000161,1,2290.11,2002.58,7,7.48,12,4.45,0.511,1,65,110,5023,6.64,0,100_AMI,4235,0,37.56
2023-06,BLDG0000000162,0,4580.58,4519.92,5,15.28,15,2.64,0.342,0,764,0,3861,8.06,1,30_AMI,2350,0,68.04
2023-07,BLDG0000000163,2,3761.97,3564.2,3,21.98,12,4.17,0.4,0,538,83,2672,4.98,0,MARKET,3819,1,25.76
2023-08,BLDG0000000164,2,4124.38,4102.96,4,16.98,18,4.18,0.394,0,258,82,130,3.33,0,80_AMI,6729,1,34.43
2023-09,BLDG0000000165,2,1523.16,1373.8,2,17.51,9,3.91,0.387,0,365,45,5596,1.27,0,100_AMI,6875,0,22.99
2023-10,BLDG0000000166,2,3972.16,3687.09,3,10.36,12,3.14,0.497,0,491,90,3602,5.25,1,60_AMI,3991,0,94.02
2023-11,BLDG0000000167,2,4737.28,4498.17,5,1.17,12,2.32,0.525,0,756,95,529,2.35,0,60_AMI,2068,0,47.71
2023-12,BLDG0000000168,3,3336.18,3334.1,3,0.78,12,2.83,0.391,1,112,116,4775,2.83,0,60_AMI,2487,1,12.85
2024-01,BLDG0000000169,2,2147.96,2101.23,1,15.84,12,4.21,0.269,1,463,29,3201,1.18,0,50_AMI,7827,1,38.85
2024-02,BLDG0000000170,2,3115.58,2981.15,12,12.21,12,2.0,0.293,0,60,100,5387,4.14,0,MARKET,7292,1,63.84
2024-03,BLDG0000000171,2,2165.42,1898.15,12,5.54,12,3.39,0.453,0,464,87,178,5.59,0,100_AMI,514,1,26.02
2024-04,BLDG0000000172,0,4315.42,4052.81,5,6.31,18,3.99,0.42,0,576,77,4526,3.55,0,100_AMI,3252,1,16.91
2024-05,BLDG0000000173,2,3955.28,3715.62,10,9.03,12,3.02,0.289,0,3,37,5594,1.39,1,50_AMI,7572,1,89.24
2024-06,BLDG0000000174,3,4213.68,3963.59,1,11.75,24,2.12,0.481,1,204,102,4769,4.65,0,80_AMI,3912,0,85.94
2024-07,BLDG0000000175,1,4638.31,4380.02,4,11.68,12,4.12,0.543,1,25,24,3293,4.55,0,50_AMI,1472,0,31.12
2024-08,BLDG0000000176,2,2044.79,2030.66,4,6.1,6,3.57,0.532,1,7,29,1767,1.91,1,60_AMI,6197,0,37.34
2024-09,BLDG0000000177,2,1180.82,1127.63,10,6.64,12,3.61,0.449,1,157,147,4940,3.29,0,100_AMI,3232,0,19.32
2024-10,BLDG0000000178,4,3053.53,2725.52,4,5.21,12,2.76,0.474,0,585,132,1054,1.81,0,80_AMI,1130,0,64.14
2024-11,BLDG0000000179,3,2390.42,2203.3,2,7.72,12,4.11,0.455,1,243,97,894,7.13,0,MARKET,3752,1,72.87
2024-12,BLDG0000000180,2,2464.1,2193.61,4,19.09,9,2.84,0.411,1,307,109,1984,5.84,0,50_AMI,3144,1,31.3
2025-01,BLDG0000000181,1,1205.3,1097.08,10,3.6,12,3.77,0.212,0,483,38,3397,2.38,0,30_AMI,2935,0,49.15
2025-02,BLDG0000000182,2,4645.68,4506.04,7,16.6,12,2.62,0.312,1,455,48,400,0.0,0,80_AMI,1446,0,10.57
2025-03,BLDG0000000183,3,2072.88,2029.08,2,17.84,12,2.41,0.3,0,10,65,3430,7.96,0,50_AMI,4420,1,61.86
2025-04,BLDG0000000184,1,2426.09,2272.03,5,12.09,12,3.69,0.319,0,273,35,3779,7.87,0,80_AMI,1212,1,68.46
2025-05,BLDG0000000185,1,2632.23,2375.18,7,11.97,12,3.84,0.273,0,683,134,4039,1.68,0,MARKET,4042,0,93.85
2025-06,BLDG0000000186,2,3922.37,3626.11,12,13.46,12,2.07,0.402,0,217,134,4914,7.54,0,30_AMI,4752,0,93.0
2025-07,BLDG0000000187,2,3442.94,3168.87,0,21.7,15,2.76,0.289,0,596,2,493,1.17,0,MARKET,481,0,51.74
