labor_skills_posting_month,labor_skills_posting_source_type,labor_skills_job_title_normalized,labor_skills_occupation_code_crosswalk,labor_skills_skills_cluster_id,labor_skills_top_skill_1,labor_skills_top_skill_2,labor_skills_top_skill_3,labor_skills_credential_required_flag,labor_skills_years_experience_min,labor_skills_remote_work_indicator,labor_skills_salary_range_low,labor_skills_salary_range_high,labor_skills_employment_type,labor_skills_schedule_type,labor_skills_industry_employer_nic,labor_skills_posting_duration_days,labor_skills_applicant_count_estimate,labor_skills_hard_to_fill_score,labor_skills_text_embedding_version
2021-06,RecruiterFeed,Chef_0014,NCO_508503,SCL1850,Nursing,ML,SAP,N,5,N,492938.51,1002611.69,Apprenticeship,Rotational,22,9,2171,0.9203,emb_v3
2019-06,RecruiterFeed,Security_Guard_0015,NCO_522562,SCL5190,Java,Nursing,PowerBI,Y,6,Y,250930.46,2076305.3,Apprenticeship,Flexible,73,56,528,0.4782,emb_v3
2021-10,GovExchange,HR_Generalist_0016,NCO_207820,SCL8573,ML,ML,AWS,N,3,Y,125729.0,1544073.83,Apprenticeship,Rotational,50,5,3411,0.5275,emb_v3
2019-11,JobPortal,Operations_Lead_0017,NCO_406902,SCL5796,PowerBI,Kubernetes,QA,Y,4,Y,436942.46,651678.124823207,Internship,Day,47,55,3951,0.5343,emb_v1
2025-12,Social,Customer_Support_0018,NCO_087111,SCL9435,DataEntry,Nursing,PowerBI,N,4,Hybrid,574037.37,1058156.42,Full_time,Rotational,67,9,4660,0.7023,emb_v2
2023-12,RecruiterFeed,Accountant_0019,NCO_438593,SCL8685,Marketing,UIUX,React,N,7,Hybrid,529225.76,2136255.08,Internship,Weekend,95,79,1098,0.589,emb_v1
2020-11,JobPortal,HR_Generalist_0020,NCO_261680,SCL9593,Accounting,ML,AWS,Y,3,Y,391333.51,588981.7854423805,Contract,Day,41,57,2895,0.121,emb_v3
2024-06,CompanySite,Mechanic_0021,NCO_408461,SCL1475,HR,Kubernetes,NodeJS,N,3,N,493208.28,885643.7,Contract,Night,47,55,254,0.0913,emb_v2
2025-09,RecruiterFeed,Mechanic_0022,NCO_107961,SCL3973,React,Sales,Tableau,Y,3,Hybrid,560753.34,2009387.22,Full_time,Day,85,44,1571,0.3232,emb_v1
2020-01,CompanySite,Software_Engineer_0023,NCO_916167,SCL2716,UIUX,DevOps,Docker,Y,1,Y,271353.9,2230772.78,Apprenticeship,Day,89,15,571,0.2793,emb_v1
2022-07,RecruiterFeed,Mechanic_0024,NCO_764175,SCL6752,Marketing,React,SQL,Y,6,Hybrid,292931.72,2112760.2,Part_time,Night,02,10,2296,0.4192,emb_v3
2022-11,Social,Nurse_0025,NCO_844149,SCL1193,UIUX,Docker,Python,Y,7,Y,242520.01,2048487.36,Contract,Rotational,35,34,1132,0.9917,emb_v1
2020-07,JobPortal,Chef_0026,NCO_476059,SCL2543,CustomerSupport,Kubernetes,CustomerSupport,Y,11,Hybrid,270755.91,1690275.98,Contract,Weekend,90,41,2745,0.5856,emb_v1
2021-08,CompanySite,Research_Assistant_0027,NCO_226795,SCL8223,Tableau,SQL,CustomerSupport,Y,7,N,283744.07,1777773.09,Apprenticeship,Flexible,20,80,3452,0.6212,emb_v1
2025-05,GovExchange,Software_Engineer_0028,NCO_371472,SCL6927,SAP,Java,SAP,Y,12,Hybrid,406071.12,1820050.16,Internship,Rotational,82,31,4131,0.1279,emb_v3
2019-02,CompanySite,Research_Assistant_0029,NCO_616792,SCL5551,Security,Java,UIUX,Y,2,Y,328576.64,1637306.51,Internship,Weekend,25,38,3619,0.6595,emb_v1
2019-05,RecruiterFeed,Teacher_0030,NCO_645603,SCL6762,DevOps,Excel,React,N,12,N,201522.04,2332268.87,Internship,Day,90,43,4838,0.8988,emb_v1
2022-08,RecruiterFeed,Chef_0031,NCO_148089,SCL9750,React,QA,NodeJS,N,9,N,193146.27,368065.2124845791,Full_time,Rotational,79,75,3631,0.9223,emb_v1
2024-06,CompanySite,Driver_0032,NCO_234390,SCL4473,Kubernetes,Sales,Kubernetes,Y,9,Hybrid,392360.92,1698440.06,Internship,Night,46,53,1769,0.2404,emb_v2
2019-02,Social,Accountant_0033,NCO_107728,SCL5797,Docker,Tableau,Nursing,Y,7,N,127599.25,1252686.77,Full_time,Flexible,40,39,1046,0.4629,emb_v1
2021-11,GovExchange,Clerk_0034,NCO_300186,SCL2380,Docker,ML,AWS,Y,1,Hybrid,412707.11,1917883.01,Apprenticeship,Night,94,54,4137,0.166,emb_v2
2021-03,GovExchange,Pharmacist_0035,NCO_767183,SCL5823,Prompting,Sales,React,N,6,Y,278007.47,1751716.15,Full_time,Flexible,95,49,4973,0.414,emb_v1
2022-02,RecruiterFeed,Clerk_0036,NCO_151033,SCL9563,PowerBI,Java,Azure,Y,4,Hybrid,269403.93,1788582.0,Internship,Day,95,88,4128,0.7187,emb_v2
2025-11,Social,Operations_Lead_0037,NCO_838979,SCL4988,React,ML,AWS,N,1,Y,445524.78,1515539.25,Full_time,Night,17,31,3406,0.155,emb_v1
2021-11,GovExchange,Clerk_0038,NCO_886065,SCL8622,HR,CustomerSupport,Accounting,Y,1,Y,184745.95,791480.92,Full_time,Night,88,18,1394,0.2272,emb_v3
2022-09,RecruiterFeed,Nurse_0039,NCO_520845,SCL1065,SQL,UIUX,Accounting,N,2,Hybrid,236407.21,849288.87,Internship,Day,52,76,1094,0.1587,emb_v2
2020-08,CompanySite,Sales_Associate_0040,NCO_118920,SCL9788,UIUX,CustomerSupport,Tableau,N,3,Hybrid,443920.36,1594773.96,Part_time,Rotational,02,15,75,0.8358,emb_v1
2020-07,Social,Designer_0041,NCO_775473,SCL1033,Accounting,Kubernetes,Docker,Y,11,N,456783.34,1373205.57,Contract,Day,48,70,3344,0.5512,emb_v2
2021-02,JobPortal,Teacher_0042,NCO_138714,SCL8385,Accounting,UIUX,HR,N,11,N,597254.03,1195862.94,Internship,Night,01,55,1901,0.1891,emb_v3
2022-04,JobPortal,Nurse_0043,NCO_372536,SCL3084,Azure,React,AWS,Y,11,N,565941.32,1094307.34,Apprenticeship,Weekend,49,13,2859,0.9259,emb_v2
2019-03,Social,Security_Guard_0044,NCO_479875,SCL5656,DevOps,Prompting,DataEntry,N,4,Y,499471.27,754911.35,Full_time,Weekend,77,13,2366,0.996,emb_v2
2023-11,RecruiterFeed,Teacher_0045,NCO_699864,SCL6670,PowerBI,Security,NodeJS,Y,8,N,170366.56,1832849.26,Internship,Day,23,4,765,0.287,emb_v2
2022-05,Social,Sales_Associate_0046,NCO_322779,SCL8456,QA,AWS,Marketing,Y,11,Hybrid,551759.61,1098388.57,Apprenticeship,Night,87,21,147,0.4688,emb_v2
2019-07,CompanySite,Clerk_0047,NCO_169626,SCL8193,Nursing,UIUX,Docker,N,9,N,199905.94,833026.56,Apprenticeship,Weekend,30,63,705,0.6523,emb_v3
2023-11,GovExchange,Operations_Lead_0048,NCO_373548,SCL7900,Excel,Kubernetes,AWS,N,0,Hybrid,277833.04,609822.1,Apprenticeship,Day,09,81,2536,0.2169,emb_v1
2024-04,RecruiterFeed,Project_Manager_0049,NCO_895671,SCL5669,Nursing,React,ETL,N,7,Hybrid,396846.38,618527.3368916436,Apprenticeship,Rotational,54,12,568,0.7567,emb_v1
2025-02,JobPortal,Chef_0050,NCO_891489,SCL2666,SQL,React,Sales,Y,10,Hybrid,381521.64,1802197.29,Internship,Flexible,69,29,3927,0.8841,emb_v2
2020-12,CompanySite,Software_Engineer_0051,NCO_101733,SCL2062,Prompting,Security,Docker,Y,8,Y,200282.66,2027582.75,Part_time,Weekend,38,32,2283,0.157,emb_v3
2022-01,RecruiterFeed,Operations_Lead_0052,NCO_295570,SCL6989,ML,DataEntry,Prompting,Y,3,N,354748.95,1176527.54,Contract,Weekend,63,89,2711,0.2214,emb_v1
2025-04,Social,Data_Analyst_0053,NCO_184233,SCL5856,Prompting,DevOps,GCP,Y,11,Y,231555.15,1808064.64,Contract,Weekend,51,32,4217,0.0855,emb_v1
2022-12,Social,Clerk_0054,NCO_643861,SCL8683,Docker,SQL,ETL,Y,6,Hybrid,550993.68,1832825.61,Apprenticeship,Weekend,29,75,812,0.2352,emb_v3
2025-06,JobPortal,Clerk_0055,NCO_568275,SCL6499,GCP,PowerBI,Nursing,Y,10,N,288621.99,1912237.77,Internship,Night,65,45,68,0.5212,emb_v1
2021-10,JobPortal,Electrician_0056,NCO_760718,SCL7022,AWS,Nursing,React,N,5,N,181582.32,2044936.46,Contract,Rotational,24,75,109,0.276,emb_v3
2022-11,Social,Data_Analyst_0057,NCO_662029,SCL4222,Accounting,Excel,NodeJS,Y,6,Hybrid,507207.13,1299344.12,Full_time,Weekend,42,78,1624,0.0458,emb_v1
2023-08,Social,Driver_0058,NCO_777489,SCL9329,DevOps,Docker,Prompting,N,8,Y,461892.32,1876973.52,Apprenticeship,Flexible,57,49,1657,0.6929,emb_v3
2024-04,CompanySite,HR_Generalist_0059,NCO_987779,SCL9616,PowerBI,SAP,Python,Y,4,Hybrid,368561.83,474762.34,Internship,Flexible,59,28,171,0.6692,emb_v2
2025-02,RecruiterFeed,Security_Guard_0060,NCO_925255,SCL5955,NodeJS,React,Security,Y,9,Y,177651.54,966052.8,Apprenticeship,Night,11,74,2684,0.2698,emb_v3
2024-09,Social,Electrician_0061,NCO_180756,SCL1232,Nursing,DevOps,Prompting,Y,10,Hybrid,309280.21,1657320.64,Full_time,Rotational,24,45,352,0.3526,emb_v1
2023-10,RecruiterFeed,Mechanic_0062,NCO_384769,SCL8907,CustomerSupport,HR,Java,Y,7,Hybrid,135444.49,1540905.22,Apprenticeship,Night,26,78,950,0.8313,emb_v3
2025-03,CompanySite,Data_Analyst_0063,NCO_817258,SCL6001,SAP,HR,Prompting,Y,7,Y,280018.5,1869204.69,Full_time,Rotational,86,74,3222,0.28,emb_v2
2025-05,GovExchange,Designer_0064,NCO_800924,SCL6443,NodeJS,SQL,AWS,N,11,Hybrid,469973.23,1343027.78,Contract,Flexible,67,63,4952,0.1189,emb_v2
2020-04,RecruiterFeed,Data_Analyst_0065,NCO_610727,SCL2647,Security,Prompting,HR,Y,1,Hybrid,547289.45,1683675.06,Full_time,Rotational,53,62,4514,0.3101,emb_v3
2025-04,GovExchange,Teacher_0066,NCO_137172,SCL2666,Prompting,ML,Prompting,Y,4,Hybrid,499709.87,1582722.89,Contract,Weekend,09,20,2737,0.0087,emb_v2
2023-08,GovExchange,Operations_Lead_0067,NCO_649632,SCL9769,ML,Accounting,QA,Y,9,Hybrid,415134.38,1367919.35,Part_time,Weekend,29,22,4878,0.5318,emb_v2
2020-08,GovExchange,Mechanic_0068,NCO_419218,SCL8733,AWS,Security,SAP,N,9,N,401218.72,1340587.31,Contract,Night,02,90,1218,0.6183,emb_v2
2020-03,CompanySite,Mechanic_0069,NCO_342418,SCL1104,DevOps,Java,Sales,Y,4,N,222559.91,458838.69457185024,Internship,Night,17,22,2452,0.1694,emb_v1
2021-07,CompanySite,Security_Guard_0070,NCO_802314,SCL1409,Security,Accounting,DevOps,Y,0,N,537202.79,673711.05,Part_time,Night,17,15,857,0.0313,emb_v2
2019-07,Social,Data_Analyst_0071,NCO_032941,SCL2065,HR,Python,DevOps,Y,7,Y,589366.23,1981955.89,Apprenticeship,Rotational,36,22,4065,0.6028,emb_v1
2024-06,RecruiterFeed,Data_Analyst_0072,NCO_657101,SCL2227,DataEntry,SAP,SAP,Y,11,Y,193577.67,1608496.98,Apprenticeship,Day,17,68,1157,0.2416,emb_v2
2021-07,GovExchange,Customer_Support_0073,NCO_920928,SCL1472,SAP,Azure,QA,Y,12,Hybrid,553555.81,2125319.01,Internship,Weekend,24,66,4976,0.8675,emb_v3
2019-11,CompanySite,Data_Analyst_0074,NCO_406475,SCL5631,PowerBI,Accounting,Sales,Y,9,Y,219361.19,500806.87,Apprenticeship,Night,05,25,4204,0.7258,emb_v3
2023-01,JobPortal,Data_Analyst_0075,NCO_398662,SCL2612,Excel,DataEntry,React,Y,8,N,132986.38,322978.2,Full_time,Weekend,09,29,1154,0.9855,emb_v3
2024-01,CompanySite,Designer_0076,NCO_216723,SCL4687,Prompting,Marketing,GCP,N,2,N,355659.85,2119065.62,Apprenticeship,Day,86,14,2313,0.1963,emb_v3
2020-07,RecruiterFeed,Data_Analyst_0077,NCO_057736,SCL5108,SQL,DataEntry,SAP,Y,11,Y,187363.69,1021717.88,Contract,Flexible,32,58,3543,0.2313,emb_v3
2021-01,GovExchange,Software_Engineer_0078,NCO_426408,SCL3091,HR,ETL,Kubernetes,N,3,Y,349627.14,2159084.85,Internship,Day,84,87,4678,0.5266,emb_v1
2023-10,CompanySite,Accountant_0079,NCO_371910,SCL6168,UIUX,ML,Sales,N,4,N,481706.83,987669.25,Part_time,Night,40,36,4177,0.7106,emb_v3
2023-06,JobPortal,Product_Manager_0080,NCO_022446,SCL2838,Java,Sales,HR,Y,1,Hybrid,312092.58,602563.26,Apprenticeship,Night,96,54,3711,0.8495,emb_v3
2025-11,Social,Security_Guard_0081,NCO_856725,SCL6628,DevOps,HR,Prompting,Y,6,Y,276203.2,2340470.12,Internship,Flexible,48,52,3692,0.6273,emb_v1
2019-11,GovExchange,Teacher_0082,NCO_914509,SCL9200,HR,GCP,DevOps,Y,0,N,566431.23,1192448.55,Apprenticeship,Rotational,04,37,4703,0.3219,emb_v2
2022-10,Social,Accountant_0083,NCO_648914,SCL2516,Accounting,PowerBI,Prompting,N,9,Y,588288.54,1318047.41,Contract,Weekend,24,51,152,0.2826,emb_v3
2022-05,JobPortal,Data_Analyst_0084,NCO_865364,SCL1285,Kubernetes,SAP,ML,N,2,Y,466395.4,917597.77,Internship,Night,41,15,1209,0.8333,emb_v1
2019-08,RecruiterFeed,Research_Assistant_0085,NCO_933178,SCL7477,Excel,ML,HR,Y,11,Y,190007.67,402991.82,Part_time,Day,12,79,750,0.6456,emb_v2
2019-10,Social,Accountant_0086,NCO_419314,SCL4845,SAP,Tableau,DevOps,Y,3,Y,376389.46,863014.45,Contract,Flexible,25,80,1748,0.8011,emb_v2
2019-07,RecruiterFeed,Chef_0087,NCO_962010,SCL7252,Accounting,Excel,Azure,N,2,N,511590.78,2065094.02,Part_time,Rotational,61,46,639,0.1845,emb_v1
2020-10,Social,Driver_0088,NCO_595280,SCL5602,ML,Excel,NodeJS,Y,8,Hybrid,510863.65,2258546.52,Contract,Rotational,47,4,1045,0.2598,emb_v3
2024-05,JobPortal,Software_Engineer_0089,NCO_471491,SCL5275,Sales,React,SAP,Y,10,Hybrid,350021.92,2192136.85,Contract,Night,51,47,3372,0.4674,emb_v1
2022-11,CompanySite,Teacher_0090,NCO_555772,SCL4318,UIUX,CustomerSupport,UIUX,N,9,Hybrid,536124.92,907899.0,Full_time,Flexible,44,48,329,0.1025,emb_v2
2022-05,JobPortal,Sales_Associate_0091,NCO_930307,SCL9973,DataEntry,Marketing,Excel,Y,5,N,565910.74,1513492.56,Internship,Weekend,95,56,227,0.7443,emb_v2
2020-04,CompanySite,Product_Manager_0092,NCO_003821,SCL5790,DevOps,NodeJS,GCP,Y,8,N,287982.29,967739.84,Full_time,Day,70,58,3185,0.5147,emb_v1
2022-04,CompanySite,Sales_Associate_0093,NCO_221889,SCL7780,GCP,PowerBI,Java,N,4,Y,136378.25,1350114.98,Apprenticeship,Flexible,65,5,2491,0.6196,emb_v2
2022-06,GovExchange,Sales_Associate_0094,NCO_379160,SCL3132,Nursing,AWS,Excel,N,1,Hybrid,237030.81,2287704.2,Full_time,Night,38,78,2090,0.5966,emb_v2
2021-01,GovExchange,Research_Assistant_0095,NCO_404417,SCL2870,Tableau,Python,Java,Y,6,Y,583252.72,876708.31,Contract,Weekend,42,77,1404,0.0937,emb_v3
2020-02,Social,Clerk_0096,NCO_331057,SCL2924,CustomerSupport,SAP,Security,Y,7,Y,331563.59,761409.15,Internship,Day,77,40,4578,0.1205,emb_v3
2024-08,JobPortal,Sales_Associate_0097,NCO_019208,SCL8120,HR,DevOps,Python,Y,1,Y,174798.76,1232821.13,Contract,Flexible,05,33,2959,0.2984,emb_v2
2019-08,RecruiterFeed,Electrician_0098,NCO_475909,SCL2664,SQL,PowerBI,DataEntry,N,6,Hybrid,368081.21,2186932.03,Part_time,Night,88,63,1788,0.2599,emb_v3
2023-04,Social,Pharmacist_0099,NCO_757221,SCL6027,PowerBI,DataEntry,HR,N,7,Hybrid,599453.09,772052.3122760656,Internship,Rotational,30,47,4847,0.3451,emb_v1
2023-11,CompanySite,Clerk_0100,NCO_817046,SCL6393,Azure,Marketing,Docker,N,3,N,239565.67,1362304.54,Internship,Night,86,29,2427,0.5785,emb_v3
2024-07,Social,Accountant_0101,NCO_591524,SCL9499,GCP,QA,Marketing,Y,6,Y,469323.63,1595026.99,Internship,Flexible,45,8,2882,0.7703,emb_v1
2019-06,Social,HR_Generalist_0102,NCO_052551,SCL7352,NodeJS,ETL,UIUX,Y,0,N,419491.88,1252485.61,Internship,Night,83,65,1758,0.1377,emb_v3
2025-08,Social,Product_Manager_0103,NCO_777741,SCL4345,PowerBI,Kubernetes,AWS,Y,8,N,529252.12,1310895.9,Part_time,Night,59,88,1845,0.0507,emb_v2
2025-07,RecruiterFeed,Project_Manager_0104,NCO_650408,SCL4509,Accounting,GCP,React,N,11,Hybrid,346394.02,989615.87,Part_time,Weekend,30,69,1809,0.0938,emb_v1
2021-12,GovExchange,Product_Manager_0105,NCO_640962,SCL6115,Nursing,SQL,Prompting,Y,1,N,529679.22,1031513.04,Internship,Weekend,01,86,1444,0.9364,emb_v1
2022-12,GovExchange,Electrician_0106,NCO_918648,SCL1071,QA,UIUX,Sales,N,3,Hybrid,195831.3,2308767.54,Contract,Rotational,50,54,1460,0.1294,emb_v1
2025-05,RecruiterFeed,Designer_0107,NCO_705114,SCL7084,Python,Tableau,SQL,Y,1,Hybrid,142388.7,1980265.87,Part_time,Weekend,12,44,4898,0.034,emb_v1
2019-09,GovExchange,Teacher_0108,NCO_093290,SCL4034,Python,HR,SAP,Y,8,Y,230220.9,1827792.81,Apprenticeship,Weekend,98,26,2197,0.0622,emb_v2
2024-03,GovExchange,Accountant_0109,NCO_141951,SCL8279,CustomerSupport,Nursing,Docker,N,11,Y,545888.95,2032222.94,Internship,Day,06,56,2890,0.3288,emb_v3
2022-10,Social,Operations_Lead_0110,NCO_787246,SCL7351,NodeJS,HR,CustomerSupport,Y,9,Hybrid,302259.57,1925453.07,Internship,Day,69,27,2710,0.8007,emb_v1
2023-01,GovExchange,Mechanic_0111,NCO_219656,SCL9734,Docker,Docker,Accounting,Y,0,Hybrid,280331.87,523878.21685308137,Contract,Day,03,14,892,0.4968,emb_v3
2023-03,GovExchange,Accountant_0112,NCO_069979,SCL9492,React,AWS,NodeJS,N,4,N,153178.43,1132280.89,Full_time,Weekend,24,38,2285,0.1431,emb_v1
2025-08,GovExchange,Teacher_0113,NCO_863408,SCL7423,Azure,SAP,UIUX,Y,4,Hybrid,251382.02,1974815.94,Contract,Weekend,21,7,4535,0.16,emb_v3
2022-08,CompanySite,Research_Assistant_0114,NCO_569398,SCL2132,DataEntry,Sales,Marketing,N,5,N,286919.48,1671390.93,Contract,Day,05,28,4660,0.8648,emb_v1
2020-02,CompanySite,Teacher_0115,NCO_124188,SCL1260,Tableau,Security,Security,Y,0,N,263939.88,1487721.84,Internship,Rotational,40,11,2349,0.4286,emb_v3
2024-03,Social,Pharmacist_0116,NCO_125697,SCL8444,React,Security,Sales,Y,12,Hybrid,287846.35,472116.13,Part_time,Weekend,08,44,1461,0.1601,emb_v2
2022-03,CompanySite,Electrician_0117,NCO_054125,SCL5414,HR,GCP,Sales,N,4,Hybrid,497326.94,706611.4324626141,Apprenticeship,Flexible,48,77,2676,0.5237,emb_v2
2022-06,Social,HR_Generalist_0118,NCO_320305,SCL1874,GCP,Sales,PowerBI,N,5,Hybrid,448657.17,1807401.15,Full_time,Day,40,70,2123,0.4734,emb_v3
2024-12,Social,Teacher_0119,NCO_487370,SCL4230,NodeJS,Tableau,PowerBI,N,5,N,162686.77,2320836.06,Apprenticeship,Rotational,99,7,696,0.3596,emb_v3
2020-01,JobPortal,Nurse_0120,NCO_876932,SCL1924,SQL,Excel,Azure,N,12,N,529540.94,1767103.39,Full_time,Weekend,33,76,687,0.4506,emb_v2
2021-09,RecruiterFeed,HR_Generalist_0121,NCO_243987,SCL6957,QA,ETL,UIUX,N,8,N,435660.96,1079707.62,Part_time,Flexible,99,26,2113,0.6383,emb_v3
2024-11,RecruiterFeed,Data_Analyst_0122,NCO_719114,SCL4854,DataEntry,Accounting,Kubernetes,N,2,Hybrid,257350.62,1193641.38,Apprenticeship,Day,62,13,1791,0.9029,emb_v1
2021-05,RecruiterFeed,Nurse_0123,NCO_337219,SCL6372,QA,QA,ETL,Y,3,N,419943.22,1562328.39,Contract,Weekend,16,70,1540,0.1495,emb_v3
2022-02,RecruiterFeed,Accountant_0124,NCO_278637,SCL6401,DataEntry,Docker,React,N,2,Y,268147.07,1349092.94,Contract,Flexible,67,76,849,0.7117,emb_v3
2022-01,CompanySite,Accountant_0125,NCO_988453,SCL3136,CustomerSupport,React,SQL,Y,5,Hybrid,381819.65,1899420.71,Full_time,Rotational,25,81,2801,0.8311,emb_v1
2021-10,GovExchange,Data_Analyst_0126,NCO_491238,SCL8136,Kubernetes,CustomerSupport,Docker,N,3,N,409402.04,1016921.5,Contract,Flexible,02,76,3911,0.406,emb_v1
2024-08,JobPortal,Customer_Support_0127,NCO_321651,SCL6958,Kubernetes,Marketing,Prompting,Y,4,Y,562241.68,2389448.82,Apprenticeship,Night,74,89,1049,0.785,emb_v1
2021-01,JobPortal,Pharmacist_0128,NCO_051646,SCL4022,HR,CustomerSupport,Excel,Y,1,Y,380129.85,2346857.86,Apprenticeship,Night,79,62,3678,0.4639,emb_v2
2023-03,JobPortal,Project_Manager_0129,NCO_114502,SCL9957,AWS,Azure,HR,N,12,N,224399.14,1805909.72,Contract,Night,17,70,3124,0.4643,emb_v3
2020-09,Social,Project_Manager_0130,NCO_494378,SCL4532,Azure,DataEntry,Tableau,Y,4,Hybrid,461630.88,1679474.62,Internship,Rotational,51,90,2380,0.7312,emb_v3
2025-03,GovExchange,Security_Guard_0131,NCO_605080,SCL4324,ETL,HR,ETL,N,3,N,145863.44,496016.04,Part_time,Night,27,79,2449,0.7644,emb_v2
2024-03,CompanySite,Designer_0132,NCO_427487,SCL5177,Sales,AWS,Nursing,N,0,Hybrid,236034.72,2018993.98,Part_time,Day,43,40,1059,0.7002,emb_v1
2022-05,CompanySite,Research_Assistant_0133,NCO_511864,SCL6973,QA,Excel,ETL,Y,11,N,477684.14,569022.4451797066,Apprenticeship,Rotational,30,29,2852,0.7308,emb_v2
2024-01,JobPortal,Product_Manager_0134,NCO_827518,SCL6818,DevOps,ML,Excel,N,2,Y,227184.74,1880139.54,Contract,Day,06,67,4429,0.1508,emb_v1
2019-02,JobPortal,Data_Analyst_0135,NCO_172709,SCL3768,Java,Kubernetes,ML,Y,9,Hybrid,552067.76,628322.3481349379,Full_time,Day,27,41,4206,0.3431,emb_v1
2024-05,GovExchange,Sales_Associate_0136,NCO_642338,SCL5404,QA,Sales,ETL,Y,6,Hybrid,446605.0,2067051.27,Apprenticeship,Flexible,03,6,4176,0.5976,emb_v3
2019-11,CompanySite,Mechanic_0137,NCO_969964,SCL9337,QA,Excel,SAP,Y,2,N,525891.68,747608.84,Apprenticeship,Weekend,06,14,4971,0.472,emb_v3
2024-11,CompanySite,Sales_Associate_0138,NCO_704073,SCL9026,Kubernetes,QA,Excel,N,5,Y,121075.42,1175383.01,Apprenticeship,Flexible,16,13,2165,0.5427,emb_v2
2020-02,GovExchange,Designer_0139,NCO_334056,SCL7434,DataEntry,Azure,QA,Y,10,Y,542363.99,1604280.11,Part_time,Flexible,34,81,844,0.5976,emb_v1
2020-07,GovExchange,Pharmacist_0140,NCO_555246,SCL2179,UIUX,Kubernetes,Prompting,N,1,N,494280.74,1428849.23,Full_time,Rotational,06,86,1155,0.0194,emb_v1
2019-11,JobPortal,Data_Analyst_0141,NCO_053892,SCL8104,SQL,DataEntry,Docker,Y,1,Hybrid,204629.6,1745419.19,Part_time,Night,76,23,2532,0.9016,emb_v1
2020-10,GovExchange,Software_Engineer_0142,NCO_441518,SCL9421,Marketing,Azure,SQL,N,6,N,368215.82,699161.55,Contract,Rotational,70,35,2809,0.4753,emb_v2
2022-12,CompanySite,Product_Manager_0143,NCO_357902,SCL2319,ETL,ETL,Excel,Y,9,N,285166.66,2200651.02,Contract,Day,36,11,244,0.9392,emb_v1
