edu_vet_reference_year,edu_vet_country_iso2,edu_vet_region_nuts_code,edu_vet_programme_code,edu_vet_field_of_education_code,edu_vet_participants_count,edu_vet_apprenticeships_count,edu_vet_employer_partners_count,edu_vet_completion_rate_pct,edu_vet_job_placement_rate_pct,edu_vet_wage_premium_pct,edu_vet_dual_system_flag,edu_vet_microcredentials_flag,edu_vet_recognition_framework_code,edu_vet_funding_amount_eur,edu_vet_esf_plus_support_flag,edu_vet_quality_assurance_flag,edu_vet_data_source,edu_vet_last_update_date,edu_vet_data_extract_date
2010,DK,DE150,VET_DK_0216,05_SCIENCE,74857,22433,9299,89.43,50.52,10.16,0,0,EQF_LINKED,1918699717.58,0,1,CEDEFOP_EXPORT,2019-12-16,2024-10-31
2011,IE,CZ188,VET_IE_0225,06_ICT,16287,3802,553,84.15,82.51,5.62,0,0,NQF_ONLY,1778584753.14,0,1,NATIONAL_VET_AGENCY,2020-01-14,2024-01-27
2012,PL,DK68,VET_PL_0234,07_ENGINEERING,85863,60550,7677,68.68,79.15,0.58,0,0,SECTORAL,1221115601.33,0,1,PROVIDER_ADMIN_DATA,2020-02-12,2024-02-01
2013,AT,SK31,VET_AT_0243,08_AGRI,125020,74209,118,56.34,44.12,6.74,1,0,NONE,440556178.96,0,1,ESF_PLUS_MONITORING,2020-03-12,2025-09-22
2014,EE,AT9,VET_EE_0252,09_HEALTH,50144,10953,607,52.58,73.04,5.63,1,0,EQF_LINKED,1365047406.79,0,0,CEDEFOP_EXPORT,2020-04-10,2024-06-24
2015,IT,BE868,VET_IT_0261,10_SERVICES,49020,41337,7238,84.39,90.81,2.47,0,0,NQF_ONLY,1964743858.05,0,1,NATIONAL_VET_AGENCY,2020-05-09,2025-12-13
2016,PT,PL522,VET_PT_0270,01_EDUCATION,94750,19164,4318,91.55,59.11,10.66,0,0,SECTORAL,594170025.26,0,1,PROVIDER_ADMIN_DATA,2020-06-07,2025-08-03
2017,BE,RO8,VET_BE_0279,02_ARTS,77731,47780,1791,60.94,53.52,16.94,0,0,NONE,1240134907.75,0,1,ESF_PLUS_MONITORING,2020-07-06,2025-01-29
2018,FI,SI794,VET_FI_0288,03_HUMANITIES,73749,37561,8802,83.23,84.91,19.27,0,0,EQF_LINKED,417775511.4,0,1,CEDEFOP_EXPORT,2020-08-04,2025-10-05
2019,LV,LT4,VET_LV_0297,04_BUSINESS,1184,667,1550,75.86,52.3,9.05,0,0,NQF_ONLY,1852630316.37,0,1,NATIONAL_VET_AGENCY,2020-09-02,2024-01-09
2020,RO,LU691,VET_RO_0306,05_SCIENCE,5558,3162,5956,84.91,72.41,11.21,0,1,SECTORAL,1942546014.91,0,1,PROVIDER_ADMIN_DATA,2020-10-01,2025-04-30
2021,BG,ES17,VET_BG_0315,06_ICT,26400,7764,2551,84.61,64.42,17.5,0,0,NONE,2426929987.19,1,1,ESF_PLUS_MONITORING,2020-10-30,2025-05-25
2022,FR,PL4,VET_FR_0324,07_ENGINEERING,51857,38353,8112,89.11,75.36,6.59,0,1,EQF_LINKED,3156716508.15,0,1,CEDEFOP_EXPORT,2020-11-28,2025-04-13
2023,LT,NL71,VET_LT_0333,08_AGRI,79793,51840,7119,73.62,60.21,0.37,0,1,NQF_ONLY,1561366159.02,1,1,NATIONAL_VET_AGENCY,2020-12-27,2024-05-12
2024,SK,DK835,VET_SK_0342,09_HEALTH,21490,9959,5427,61.54,45.78,15.96,1,1,SECTORAL,311939320.74,0,1,PROVIDER_ADMIN_DATA,2021-01-25,2024-03-26
2025,HR,LV6,VET_HR_0351,10_SERVICES,59029,31538,8060,74.06,80.04,5.8,0,0,NONE,38928700.48,0,1,ESF_PLUS_MONITORING,2021-02-23,2024-09-14
2006,DE,PT218,VET_DE_0360,01_EDUCATION,123096,63826,6422,61.03,59.61,18.57,0,0,EQF_LINKED,87888666.6,0,1,CEDEFOP_EXPORT,2021-03-24,2025-02-14
2007,LU,RO731,VET_LU_0369,02_ARTS,4826,2246,6350,62.71,64.81,1.98,0,0,NQF_ONLY,1142163472.57,0,1,NATIONAL_VET_AGENCY,2021-04-22,2025-06-10
2008,SI,SI546,VET_SI_0378,03_HUMANITIES,31246,12995,7542,93.09,74.95,18.57,1,0,SECTORAL,1230423995.17,0,1,PROVIDER_ADMIN_DATA,2021-05-21,2025-01-24
2009,CY,LV250,VET_CY_0387,04_BUSINESS,98245,35823,1626,71.95,65.74,11.09,0,0,NONE,1984974858.29,0,1,ESF_PLUS_MONITORING,2021-06-19,2025-08-21
2010,GR,MT336,VET_GR_0396,05_SCIENCE,68071,21082,7260,92.03,52.53,9.54,0,0,EQF_LINKED,1944001657.09,0,1,CEDEFOP_EXPORT,2021-07-18,2025-01-06
2011,MT,SK22,VET_MT_0405,06_ICT,18013,8355,1836,67.84,46.33,19.57,0,0,NQF_ONLY,2250994081.33,0,1,NATIONAL_VET_AGENCY,2021-08-16,2026-01-01
2012,ES,BE34,VET_ES_0414,07_ENGINEERING,24347,19365,555,55.98,67.02,16.93,0,0,SECTORAL,191496888.1,0,1,PROVIDER_ADMIN_DATA,2021-09-14,2024-03-15
2013,CZ,SK194,VET_CZ_0423,08_AGRI,38915,14016,619,72.3,79.62,1.15,1,0,NONE,873643854.91,0,1,ESF_PLUS_MONITORING,2021-10-13,2024-07-15
2014,HU,BE5,VET_HU_0432,09_HEALTH,20831,4142,3199,88.04,63.63,7.53,0,0,EQF_LINKED,762610584.13,0,1,CEDEFOP_EXPORT,2021-11-11,2025-10-29
2015,NL,LV57,VET_NL_0441,10_SERVICES,63190,35935,8619,96.6,72.42,17.4,1,0,NQF_ONLY,1079370285.26,0,0,NATIONAL_VET_AGENCY,2021-12-10,2026-01-20
2016,SE,MT41,VET_SE_0450,01_EDUCATION,87962,62638,3209,93.16,83.25,12.94,0,0,SECTORAL,1233124552.65,0,1,PROVIDER_ADMIN_DATA,2022-01-08,2024-04-10
2017,DK,GR26,VET_DK_0459,02_ARTS,128021,58443,3024,77.84,78.28,14.42,1,0,NONE,248499284.04,0,1,ESF_PLUS_MONITORING,2022-02-06,2025-05-18
2018,IE,ES81,VET_IE_0468,03_HUMANITIES,15260,3960,4583,73.28,82.41,11.07,0,0,EQF_LINKED,1622273639.53,0,1,CEDEFOP_EXPORT,2022-03-07,2024-01-20
2019,PL,HU51,VET_PL_0477,04_BUSINESS,37477,23551,5574,73.94,59.74,0.43,0,0,NQF_ONLY,933230316.35,0,1,NATIONAL_VET_AGENCY,2022-04-05,2024-05-18
2020,AT,HU579,VET_AT_0486,05_SCIENCE,120495,62505,7730,91.35,70.04,12.18,1,0,SECTORAL,1778457000.05,0,1,PROVIDER_ADMIN_DATA,2022-05-04,2025-07-13
2021,EE,LT118,VET_EE_0495,06_ICT,35571,8531,4391,81.49,95.92,1.15,0,1,NONE,3518681276.92,0,1,ESF_PLUS_MONITORING,2022-06-02,2025-06-28
2022,IT,HR985,VET_IT_0504,07_ENGINEERING,60080,48289,2790,60.3,79.05,21.52,0,0,EQF_LINKED,147218795.54,0,1,CEDEFOP_EXPORT,2022-07-01,2025-12-25
2023,PT,IT32,VET_PT_0513,08_AGRI,94421,42608,6801,80.67,49.64,15.19,0,0,NQF_ONLY,2957754637.18,0,1,NATIONAL_VET_AGENCY,2022-07-30,2025-09-18
2024,BE,PT61,VET_BE_0522,09_HEALTH,67445,44705,8631,88.59,69.33,17.87,0,1,SECTORAL,1199993803.62,0,0,PROVIDER_ADMIN_DATA,2022-08-28,2024-05-27
2025,FI,HR87,VET_FI_0531,10_SERVICES,97830,53598,2555,93.79,67.19,10.8,0,0,NONE,2894054379.47,1,1,ESF_PLUS_MONITORING,2022-09-26,2024-08-03
2006,LV,IT144,VET_LV_0540,01_EDUCATION,95047,44309,488,59.52,52.71,19.0,0,0,EQF_LINKED,19241609.78,0,1,CEDEFOP_EXPORT,2022-10-25,2026-01-11
2007,RO,GR4,VET_RO_0549,02_ARTS,45142,13152,3734,73.4,72.17,6.61,0,0,NQF_ONLY,717518321.52,0,1,NATIONAL_VET_AGENCY,2022-11-23,2025-09-16
2008,BG,HU85,VET_BG_0558,03_HUMANITIES,63465,43857,5361,67.59,43.04,18.01,0,0,SECTORAL,1157927728.4,0,1,PROVIDER_ADMIN_DATA,2022-12-22,2025-08-24
2009,FR,AT355,VET_FR_0567,04_BUSINESS,78042,30537,5336,63.78,81.93,9.31,0,0,NONE,1338732936.09,0,0,ESF_PLUS_MONITORING,2023-01-20,2024-04-17
2010,LT,DK157,VET_LT_0576,05_SCIENCE,27868,14595,8753,86.26,61.9,11.22,0,0,EQF_LINKED,830542760.46,0,0,CEDEFOP_EXPORT,2023-02-18,2024-01-07
2011,SK,DK887,VET_SK_0585,06_ICT,33966,26139,4478,87.91,77.6,2.18,1,0,NQF_ONLY,2068664474.67,0,0,NATIONAL_VET_AGENCY,2023-03-19,2025-04-25
2012,HR,IE6,VET_HR_0594,07_ENGINEERING,20912,4747,5817,70.54,54.07,2.37,0,0,SECTORAL,227094269.12,0,1,PROVIDER_ADMIN_DATA,2023-04-17,2024-08-31
2013,DE,IT963,VET_DE_0603,08_AGRI,90151,49090,9161,61.76,65.62,1.49,1,0,NONE,1201739642.09,0,1,ESF_PLUS_MONITORING,2023-05-16,2025-05-13
2014,LU,BG867,VET_LU_0612,09_HEALTH,49662,24495,6346,76.98,71.54,10.57,0,0,EQF_LINKED,1239570550.36,0,1,CEDEFOP_EXPORT,2023-06-14,2026-01-03
2015,SI,LT70,VET_SI_0621,10_SERVICES,70987,38338,3243,75.91,80.42,19.57,1,0,NQF_ONLY,1757427595.63,0,1,NATIONAL_VET_AGENCY,2023-07-13,2024-10-14
2016,CY,FI828,VET_CY_0630,01_EDUCATION,37323,18675,3621,89.13,82.93,13.18,0,0,SECTORAL,1697117846.11,0,1,PROVIDER_ADMIN_DATA,2023-08-11,2025-03-29
2017,GR,DK868,VET_GR_0639,02_ARTS,15615,9541,2805,78.24,76.67,10.0,0,0,NONE,241574181.95,0,0,ESF_PLUS_MONITORING,2023-09-09,2024-10-21
2018,MT,PL602,VET_MT_0648,03_HUMANITIES,85954,35225,3375,75.98,92.59,1.8,0,0,EQF_LINKED,430679065.8,0,1,CEDEFOP_EXPORT,2023-10-08,2024-07-15
2019,ES,MT673,VET_ES_0657,04_BUSINESS,20243,11857,3251,58.16,62.61,3.69,0,0,NQF_ONLY,1695807425.3,0,1,NATIONAL_VET_AGENCY,2023-11-06,2024-12-11
2020,CZ,HR38,VET_CZ_0666,05_SCIENCE,3287,936,3329,68.28,78.82,1.24,0,0,SECTORAL,269935098.66,0,1,PROVIDER_ADMIN_DATA,2023-12-05,2024-05-14
2021,HU,SI17,VET_HU_0675,06_ICT,29841,13465,5109,75.18,78.94,11.93,0,0,NONE,2115863019.66,1,1,ESF_PLUS_MONITORING,2024-01-03,2026-02-11
2022,NL,RO98,VET_NL_0684,07_ENGINEERING,84680,69595,3718,87.13,69.1,18.71,1,1,EQF_LINKED,3598795720.87,0,1,CEDEFOP_EXPORT,2024-02-01,2026-02-01
2023,SE,FI32,VET_SE_0693,08_AGRI,17451,2688,2362,89.66,51.19,12.49,0,1,NQF_ONLY,803425695.04,0,1,NATIONAL_VET_AGENCY,2024-03-01,2025-11-27
2024,DK,AT5,VET_DK_0702,09_HEALTH,15494,9316,429,61.03,58.3,8.25,0,1,SECTORAL,813081132.73,1,0,PROVIDER_ADMIN_DATA,2024-03-30,2024-07-22
2025,IE,IE728,VET_IE_0711,10_SERVICES,95902,22701,582,57.31,61.15,3.97,0,0,NONE,528719383.34,1,1,ESF_PLUS_MONITORING,2024-04-28,2025-06-25
2006,PL,CZ4,VET_PL_0720,01_EDUCATION,20803,10014,7343,68.94,70.45,3.22,0,0,EQF_LINKED,585791085.63,0,1,CEDEFOP_EXPORT,2024-05-27,2024-04-17
2007,AT,BE1,VET_AT_0729,02_ARTS,131732,57270,6133,93.72,51.75,6.36,1,0,NQF_ONLY,1875506021.4,0,1,NATIONAL_VET_AGENCY,2024-06-25,2024-03-26
2008,EE,IE874,VET_EE_0738,03_HUMANITIES,69253,40281,5482,89.48,87.73,13.53,0,0,SECTORAL,884026567.06,0,1,PROVIDER_ADMIN_DATA,2024-07-24,2025-12-08
2009,IT,GR49,VET_IT_0747,04_BUSINESS,51919,16667,6368,78.47,64.46,12.11,0,0,NONE,2173718880.1,0,1,ESF_PLUS_MONITORING,2024-08-22,2025-01-16
2010,PT,HR925,VET_PT_0756,05_SCIENCE,94271,61944,6773,80.61,49.88,8.39,0,0,EQF_LINKED,646077910.8,0,1,CEDEFOP_EXPORT,2024-09-20,2024-01-07
2011,BE,CZ857,VET_BE_0765,06_ICT,35694,21198,4512,96.2,83.94,17.5,0,0,NQF_ONLY,735375199.5,0,0,NATIONAL_VET_AGENCY,2024-10-19,2024-06-25
2012,FI,DK54,VET_FI_0774,07_ENGINEERING,83767,29184,4390,86.72,68.02,2.96,0,0,SECTORAL,1952343275.39,0,1,PROVIDER_ADMIN_DATA,2024-11-17,2024-03-08
2013,LV,HU152,VET_LV_0783,08_AGRI,60259,12341,3332,90.86,98.02,16.81,0,0,NONE,151959443.33,0,1,ESF_PLUS_MONITORING,2024-12-16,2024-05-28
2014,RO,LV62,VET_RO_0792,09_HEALTH,83827,42130,4202,86.66,80.2,22.65,0,0,EQF_LINKED,782524611.32,0,0,CEDEFOP_EXPORT,2025-01-14,2026-01-12
2015,BG,BG89,VET_BG_0801,10_SERVICES,14510,7975,2902,93.26,77.72,9.52,0,0,NQF_ONLY,2214932767.93,0,0,NATIONAL_VET_AGENCY,2025-02-12,2025-11-08
2016,FR,HU2,VET_FR_0810,01_EDUCATION,40189,15356,5658,86.96,79.15,14.74,0,0,SECTORAL,2239189376.2,0,1,PROVIDER_ADMIN_DATA,2025-03-13,2025-09-01
2017,LT,DK777,VET_LT_0819,02_ARTS,53864,27441,7396,93.57,87.26,10.07,0,0,NONE,683867320.62,0,1,ESF_PLUS_MONITORING,2025-04-11,2025-03-26
2018,SK,MT771,VET_SK_0828,03_HUMANITIES,36943,9146,4449,63.65,69.36,13.76,0,0,EQF_LINKED,1445287390.16,0,1,CEDEFOP_EXPORT,2025-05-10,2024-05-14
2019,HR,DK1,VET_HR_0837,04_BUSINESS,16791,11247,1302,69.98,49.29,12.13,0,0,NQF_ONLY,1112839382.47,0,1,NATIONAL_VET_AGENCY,2025-06-08,2024-10-01
2020,DE,LU28,VET_DE_0846,05_SCIENCE,54367,26826,3151,61.71,65.39,0.86,0,0,SECTORAL,2038148464.26,0,1,PROVIDER_ADMIN_DATA,2025-07-07,2025-09-07
2021,LU,DE528,VET_LU_0855,06_ICT,69533,47607,8994,69.43,77.07,8.0,0,0,NONE,1340142382.1,1,1,ESF_PLUS_MONITORING,2025-08-05,2025-11-19
2022,SI,HR438,VET_SI_0864,07_ENGINEERING,55160,13225,5326,79.82,96.5,2.35,1,0,EQF_LINKED,39933107.12,1,1,CEDEFOP_EXPORT,2025-09-03,2025-09-13
2023,CY,SI53,VET_CY_0873,08_AGRI,65169,42810,6085,86.55,69.49,2.88,0,0,NQF_ONLY,2238862357.11,1,1,NATIONAL_VET_AGENCY,2025-10-02,2024-05-01
2024,GR,SK393,VET_GR_0882,09_HEALTH,7514,3469,4252,76.37,61.92,2.67,0,0,SECTORAL,1821037585.88,0,1,PROVIDER_ADMIN_DATA,2025-10-31,2024-06-01
2025,MT,LT356,VET_MT_0891,10_SERVICES,2356,1823,3489,87.28,97.32,11.16,0,0,NONE,734692458.6,1,1,ESF_PLUS_MONITORING,2025-11-29,2025-02-07
2006,ES,EE96,VET_ES_0900,01_EDUCATION,42822,10251,3771,76.79,67.97,10.52,0,0,EQF_LINKED,720502444.42,0,1,CEDEFOP_EXPORT,2025-12-28,2025-01-11
2007,CZ,DE833,VET_CZ_0909,02_ARTS,122251,37775,2230,70.21,42.31,2.06,1,0,NQF_ONLY,906810995.75,0,0,NATIONAL_VET_AGENCY,2026-01-26,2024-11-11
2008,HU,RO95,VET_HU_0918,03_HUMANITIES,93302,42778,8765,73.8,52.04,0.52,0,0,SECTORAL,330539458.7,0,1,PROVIDER_ADMIN_DATA,2026-02-24,2026-01-08
2009,NL,LV149,VET_NL_0927,04_BUSINESS,127063,31655,1999,92.48,91.27,0.01,1,1,NONE,779908255.17,0,0,ESF_PLUS_MONITORING,2010-01-28,2024-11-10
2010,SE,SI8,VET_SE_0936,05_SCIENCE,83186,16908,1967,95.71,80.95,10.85,1,0,EQF_LINKED,1584076564.35,0,1,CEDEFOP_EXPORT,2010-02-26,2025-02-22
2011,DK,FR714,VET_DK_0945,06_ICT,3913,1178,3499,96.11,50.74,6.91,1,0,NQF_ONLY,541682346.95,0,1,NATIONAL_VET_AGENCY,2010-03-27,2025-08-06
2012,IE,SK367,VET_IE_0954,07_ENGINEERING,7339,2403,4983,68.98,73.14,23.58,0,0,SECTORAL,140924051.34,0,1,PROVIDER_ADMIN_DATA,2010-04-25,2025-12-26
2013,PL,BG5,VET_PL_0963,08_AGRI,82764,53790,1253,72.03,72.59,13.44,0,0,NONE,1973380686.0,0,1,ESF_PLUS_MONITORING,2010-05-24,2025-09-30
2014,AT,LU87,VET_AT_0972,09_HEALTH,103286,59112,4007,72.05,60.68,23.88,0,1,EQF_LINKED,2042609128.15,0,1,CEDEFOP_EXPORT,2010-06-22,2025-01-21
2015,EE,MT374,VET_EE_0981,10_SERVICES,83543,44112,5034,81.84,96.24,10.35,0,0,NQF_ONLY,1430985067.87,0,1,NATIONAL_VET_AGENCY,2010-07-21,2026-01-21
2016,IT,LV1,VET_IT_0990,01_EDUCATION,54387,33445,8559,84.72,89.34,9.54,0,0,SECTORAL,3945445.67,0,0,PROVIDER_ADMIN_DATA,2010-08-19,2024-08-26
2017,PT,MT725,VET_PT_0999,02_ARTS,57430,9908,3884,70.4,80.75,10.15,0,0,NONE,2066048644.93,0,1,ESF_PLUS_MONITORING,2010-09-17,2024-05-18
2018,BE,LT2,VET_BE_1008,03_HUMANITIES,67292,26192,1390,69.07,75.79,6.39,0,1,EQF_LINKED,1018610417.92,0,0,CEDEFOP_EXPORT,2010-10-16,2024-09-06
2019,FI,ES63,VET_FI_1017,04_BUSINESS,56453,34352,2873,90.42,57.7,5.15,0,0,NQF_ONLY,1655289342.55,0,1,NATIONAL_VET_AGENCY,2010-11-14,2025-08-27
2020,LV,ES34,VET_LV_1026,05_SCIENCE,54874,19957,5651,63.13,74.12,7.73,0,0,SECTORAL,951446041.72,0,1,PROVIDER_ADMIN_DATA,2010-12-13,2025-09-01
2021,RO,FR43,VET_RO_1035,06_ICT,95586,46686,4236,72.94,50.72,19.13,0,0,NONE,3265289448.91,0,1,ESF_PLUS_MONITORING,2011-01-11,2025-11-13
2022,BG,EE472,VET_BG_1044,07_ENGINEERING,54792,35655,6857,94.48,85.68,12.65,0,1,EQF_LINKED,1704389948.4,1,1,CEDEFOP_EXPORT,2011-02-09,2025-03-07
2023,FR,ES85,VET_FR_1053,08_AGRI,50186,29828,7090,85.76,74.74,8.83,0,0,NQF_ONLY,1499764474.0,1,1,NATIONAL_VET_AGENCY,2011-03-10,2025-06-08
2024,LT,NL54,VET_LT_1062,09_HEALTH,16930,3187,370,57.73,61.16,9.27,0,0,SECTORAL,610131032.38,1,1,PROVIDER_ADMIN_DATA,2011-04-08,2025-04-08
2025,SK,FR6,VET_SK_1071,10_SERVICES,48980,19632,1958,79.36,79.0,10.1,1,0,NONE,258234585.38,0,1,ESF_PLUS_MONITORING,2011-05-07,2025-11-17
2006,HR,GR39,VET_HR_1080,01_EDUCATION,42121,18350,431,56.93,71.86,5.32,1,1,EQF_LINKED,1458162696.25,0,1,CEDEFOP_EXPORT,2011-06-05,2025-11-20
2007,DE,PL43,VET_DE_1089,02_ARTS,67418,47581,2097,67.54,53.76,14.78,1,0,NQF_ONLY,505527310.54,0,1,NATIONAL_VET_AGENCY,2011-07-04,2025-06-19
2008,LU,LU3,VET_LU_1098,03_HUMANITIES,56339,33295,3423,71.55,46.37,15.44,0,0,SECTORAL,211934908.84,0,1,PROVIDER_ADMIN_DATA,2011-08-02,2025-04-30
2009,SI,CY21,VET_SI_1107,04_BUSINESS,61152,15018,5793,82.34,57.45,0.93,1,0,NONE,1814427609.89,0,1,ESF_PLUS_MONITORING,2011-08-31,2025-02-14
2010,CY,IT910,VET_CY_1116,05_SCIENCE,19630,13103,9176,79.06,88.01,9.04,0,0,EQF_LINKED,1843041600.1,0,1,CEDEFOP_EXPORT,2011-09-29,2025-02-23
2011,GR,GR87,VET_GR_1125,06_ICT,6002,2285,277,65.57,82.72,14.95,0,0,NQF_ONLY,1662264927.68,0,1,NATIONAL_VET_AGENCY,2011-10-28,2026-01-10
2012,MT,FR444,VET_MT_1134,07_ENGINEERING,92055,25019,8218,58.45,51.07,20.9,0,0,SECTORAL,1166446064.57,0,1,PROVIDER_ADMIN_DATA,2011-11-26,2025-03-02
2013,ES,BG985,VET_ES_1143,08_AGRI,85988,32672,9205,94.15,60.62,12.85,0,0,NONE,1604476846.6,0,1,ESF_PLUS_MONITORING,2011-12-25,2024-05-21
2014,CZ,DE651,VET_CZ_1152,09_HEALTH,70370,15476,1794,65.25,72.57,1.62,1,1,EQF_LINKED,2155716459.04,0,1,CEDEFOP_EXPORT,2012-01-23,2024-02-24
2015,HU,HR288,VET_HU_1161,10_SERVICES,30747,9584,2010,74.76,48.91,0.52,0,0,NQF_ONLY,1368686773.31,0,1,NATIONAL_VET_AGENCY,2012-02-21,2024-11-03
2016,NL,IE84,VET_NL_1170,01_EDUCATION,92943,40430,9312,62.0,59.56,17.12,1,0,SECTORAL,1160832503.8,0,1,PROVIDER_ADMIN_DATA,2012-03-21,2025-07-17
2017,SE,LU2,VET_SE_1179,02_ARTS,46822,14698,8912,82.11,96.23,1.99,1,1,NONE,1266294947.04,0,1,ESF_PLUS_MONITORING,2012-04-19,2025-12-17
2018,DK,BE8,VET_DK_1188,03_HUMANITIES,17391,6390,4894,68.44,43.91,4.52,1,0,EQF_LINKED,815274397.28,0,0,CEDEFOP_EXPORT,2012-05-18,2024-06-09
2019,IE,IE647,VET_IE_1197,04_BUSINESS,94690,52107,8778,89.32,68.94,13.18,0,0,NQF_ONLY,1178329549.38,0,1,NATIONAL_VET_AGENCY,2012-06-16,2024-12-07
