labor_skills_posting_month,labor_skills_posting_source_type,labor_skills_job_title_normalized,labor_skills_occupation_code_crosswalk,labor_skills_skills_cluster_id,labor_skills_top_skill_1,labor_skills_top_skill_2,labor_skills_top_skill_3,labor_skills_credential_required_flag,labor_skills_years_experience_min,labor_skills_remote_work_indicator,labor_skills_salary_range_low,labor_skills_salary_range_high,labor_skills_employment_type,labor_skills_schedule_type,labor_skills_industry_employer_naics,labor_skills_posting_duration_days,labor_skills_applicant_count_estimate,labor_skills_hard_to_fill_score,labor_skills_text_embedding_version
2018-11,COMPANY_SITE,Role_35_Analyst,OCCXW200035,SKC00035,SAP,Kubernetes,AWS,1,7,1,120887,196764,FULL_TIME,WEEKEND,611,59,34,0.2773,emb_v3
2018-12,JOB_BOARD,Role_36_Engineer,OCCXW200036,SKC00036,ProjectMgmt,CustomerSupport,Airflow,1,2,0,87471,145922,FULL_TIME,DAY,523,7,36,0.5809,emb_v3
2019-01,JOB_BOARD,Role_37_Manager,OCCXW200037,SKC00037,Salesforce,GCP,Communication,1,1,0,57364,69029,TEMP,FLEX,511,13,45,0.1547,emb_v2
2019-02,JOB_BOARD,Role_38_Technician,OCCXW200038,SKC00038,Linux,RetailOps,CustomerSupport,0,0,0,146943,229399,PART_TIME,SHIFT,711,30,29,0.9615,emb_v1
2019-03,STAFFING_FIRM,Role_39_Specialist,OCCXW200039,SKC00039,CustomerSupport,Python,SAP,0,9,0,55991,140291,PART_TIME,WEEKEND,722,11,39,0.5021,emb_v1
2019-04,ATS_FEED,Role_40_Analyst,OCCXW200040,SKC00040,RetailOps,Cybersecurity,SupplyChain,0,10,0,64061,107589,CONTRACT,NIGHT,711,79,28,0.824,emb_v2
2019-05,JOB_BOARD,Role_41_Engineer,OCCXW200041,SKC00041,SAP,Java,Linux,0,10,0,132450,157606,PART_TIME,DAY,517,63,29,0.8378,emb_v4
2019-06,ATS_FEED,Role_42_Manager,OCCXW200042,SKC00042,CustomerSupport,Salesforce,Accounting,1,2,0,51112,84316,FULL_TIME,WEEKEND,622,79,36,0.7584,emb_v1
2019-07,AGGREGATOR,Role_43_Technician,OCCXW200043,SKC00043,Kubernetes,NLP,RetailOps,0,9,1,136196,214994,TEMP,SHIFT,517,37,34,0.6293,emb_v3
2019-08,STAFFING_FIRM,Role_44_Specialist,OCCXW200044,SKC00044,Kubernetes,Communication,SAP,0,4,0,75128,86276,FULL_TIME,WEEKEND,921,19,38,0.8818,emb_v3
2019-09,JOB_BOARD,Role_45_Analyst,OCCXW200045,SKC00045,Kubernetes,SAP,Airflow,1,4,1,52711,87377,PART_TIME,SHIFT,622,25,36,0.4704,emb_v2
2019-10,ATS_FEED,Role_46_Engineer,OCCXW200046,SKC00046,SupplyChain,Spark,SupplyChain,0,9,1,155115,181727,PART_TIME,NIGHT,531,41,42,0.8866,emb_v1
2019-11,ATS_FEED,Role_47_Manager,OCCXW200047,SKC00047,GCP,Docker,SQL,0,9,0,43967,81653,INTERN,NIGHT,711,42,22,0.3976,emb_v4
2019-12,COMPANY_SITE,Role_48_Technician,OCCXW200048,SKC00048,RetailOps,JavaScript,Communication,1,5,0,149634,223764,INTERN,SHIFT,622,55,28,0.4272,emb_v2
2020-01,JOB_BOARD,Role_49_Specialist,OCCXW200049,SKC00049,Salesforce,GCP,Accounting,0,4,0,58947,83747,PART_TIME,DAY,511,63,22,0.6994,emb_v2
2020-02,JOB_BOARD,Role_50_Analyst,OCCXW200050,SKC00050,ProjectMgmt,Tableau,NLP,1,7,1,125887,199672,CONTRACT,WEEKEND,541,50,50,0.5009,emb_v4
2020-03,STAFFING_FIRM,Role_51_Engineer,OCCXW200051,SKC00051,Python,Spark,Salesforce,1,10,1,130357,143850,CONTRACT,DAY,811,81,27,0.2257,emb_v1
2020-04,ATS_FEED,Role_52_Manager,OCCXW200052,SKC00052,Tableau,ComputerVision,React,1,0,0,46532,78373,FULL_TIME,NIGHT,511,62,29,0.506,emb_v2
2020-05,JOB_BOARD,Role_53_Technician,OCCXW200053,SKC00053,CustomerSupport,Java,Salesforce,0,2,1,131026,165823,PART_TIME,NIGHT,519,66,34,0.3978,emb_v2
2020-06,COMPANY_SITE,Role_54_Specialist,OCCXW200054,SKC00054,Cybersecurity,Cybersecurity,NodeJS,1,0,0,81015,125136,TEMP,WEEKEND,622,33,35,0.6962,emb_v4
2020-07,STAFFING_FIRM,Role_55_Analyst,OCCXW200055,SKC00055,Python,Airflow,ComputerVision,0,8,0,66831,122303,INTERN,SHIFT,332,8,42,0.7368,emb_v3
2020-08,ATS_FEED,Role_56_Engineer,OCCXW200056,SKC00056,Spark,PowerBI,Python,0,3,1,49405,134271,FULL_TIME,DAY,423,53,37,0.2583,emb_v3
2020-09,JOB_BOARD,Role_57_Manager,OCCXW200057,SKC00057,Kubernetes,JavaScript,Cybersecurity,1,7,1,100311,154507,CONTRACT,NIGHT,621,83,44,0.5101,emb_v4
2020-10,ATS_FEED,Role_58_Technician,OCCXW200058,SKC00058,Salesforce,Statistics,ProjectMgmt,0,10,1,45594,57841,FULL_TIME,WEEKEND,524,63,41,0.1415,emb_v4
2020-11,AGGREGATOR,Role_59_Specialist,OCCXW200059,SKC00059,GCP,Java,Excel,1,4,1,105552,138993,FULL_TIME,NIGHT,445,65,43,0.0212,emb_v2
2020-12,AGGREGATOR,Role_60_Analyst,OCCXW200060,SKC00060,ComputerVision,GCP,Docker,0,5,0,125624,168995,FULL_TIME,FLEX,511,78,37,0.6802,emb_v1
2021-01,COMPANY_SITE,Role_61_Engineer,OCCXW200061,SKC00061,Accounting,Kubernetes,Accounting,0,1,1,61685,102753,FULL_TIME,WEEKEND,531,20,39,0.4792,emb_v3
2021-02,STAFFING_FIRM,Role_62_Manager,OCCXW200062,SKC00062,Accounting,React,Python,0,5,0,65233,111621,PART_TIME,WEEKEND,711,36,35,0.7374,emb_v3
2021-03,AGGREGATOR,Role_63_Technician,OCCXW200063,SKC00063,Cybersecurity,JavaScript,JavaScript,0,1,1,128945,160761,TEMP,DAY,623,10,38,0.3118,emb_v2
2021-04,AGGREGATOR,Role_64_Specialist,OCCXW200064,SKC00064,Docker,SupplyChain,Accounting,0,9,0,83177,165884,INTERN,SHIFT,611,10,39,0.7815,emb_v2
2021-05,STAFFING_FIRM,Role_65_Analyst,OCCXW200065,SKC00065,Docker,Java,Healthcare,1,3,0,129155,162966,PART_TIME,SHIFT,518,65,35,0.3048,emb_v2
2021-06,COMPANY_SITE,Role_66_Engineer,OCCXW200066,SKC00066,ProjectMgmt,NLP,Java,0,10,0,116215,156373,FULL_TIME,NIGHT,531,38,48,0.0403,emb_v2
2021-07,ATS_FEED,Role_67_Manager,OCCXW200067,SKC00067,Tableau,NodeJS,JavaScript,1,5,0,36594,69150,FULL_TIME,WEEKEND,522,33,26,0.0289,emb_v4
2021-08,STAFFING_FIRM,Role_68_Technician,OCCXW200068,SKC00068,SupplyChain,Accounting,GCP,0,0,0,98866,182649,PART_TIME,DAY,711,76,40,0.4385,emb_v2
2021-09,ATS_FEED,Role_69_Specialist,OCCXW200069,SKC00069,NodeJS,SQL,React,0,5,0,69720,80021,FULL_TIME,DAY,722,67,37,0.1739,emb_v4
2021-10,JOB_BOARD,Role_70_Analyst,OCCXW200070,SKC00070,NodeJS,SupplyChain,Salesforce,1,3,1,121767,194871,PART_TIME,WEEKEND,332,27,24,0.4693,emb_v3
2021-11,AGGREGATOR,Role_71_Engineer,OCCXW200071,SKC00071,Linux,AWS,Accounting,0,5,1,92456,151522,FULL_TIME,DAY,621,16,36,0.3655,emb_v1
2021-12,JOB_BOARD,Role_72_Manager,OCCXW200072,SKC00072,Excel,JavaScript,ProjectMgmt,1,2,1,91784,130832,FULL_TIME,SHIFT,332,54,36,0.9676,emb_v4
2022-01,AGGREGATOR,Role_73_Technician,OCCXW200073,SKC00073,Cybersecurity,Kubernetes,Python,0,8,1,146226,173640,PART_TIME,FLEX,523,17,34,0.4989,emb_v4
2022-02,STAFFING_FIRM,Role_74_Specialist,OCCXW200074,SKC00074,Salesforce,PowerBI,CustomerSupport,0,7,1,56661,69382,PART_TIME,FLEX,511,79,36,0.8056,emb_v3
2022-03,AGGREGATOR,Role_75_Analyst,OCCXW200075,SKC00075,NodeJS,Communication,NLP,0,3,1,132491,214678,TEMP,NIGHT,511,50,35,0.505,emb_v2
2022-04,COMPANY_SITE,Role_76_Engineer,OCCXW200076,SKC00076,GCP,Java,RetailOps,0,1,0,114318,176225,TEMP,DAY,621,42,40,0.6093,emb_v3
2022-05,JOB_BOARD,Role_77_Manager,OCCXW200077,SKC00077,Kubernetes,NodeJS,SupplyChain,0,6,0,107146,156677,FULL_TIME,DAY,423,68,30,0.2869,emb_v4
2022-06,JOB_BOARD,Role_78_Technician,OCCXW200078,SKC00078,AWS,JavaScript,AWS,0,8,0,154822,211644,FULL_TIME,NIGHT,236,54,31,0.7426,emb_v4
2022-07,JOB_BOARD,Role_79_Specialist,OCCXW200079,SKC00079,Azure,RetailOps,NLP,0,4,1,97153,183784,TEMP,WEEKEND,524,85,48,0.1903,emb_v1
2022-08,ATS_FEED,Role_80_Analyst,OCCXW200080,SKC00080,PowerBI,Salesforce,SQL,0,6,1,107454,172241,INTERN,NIGHT,511,40,45,0.5536,emb_v3
2022-09,AGGREGATOR,Role_81_Engineer,OCCXW200081,SKC00081,Java,ProjectMgmt,Java,0,8,1,87497,94271,CONTRACT,DAY,621,18,33,0.748,emb_v2
2022-10,ATS_FEED,Role_82_Manager,OCCXW200082,SKC00082,Python,Communication,Linux,0,0,1,156153,210568,FULL_TIME,FLEX,541,6,38,0.4275,emb_v3
2022-11,COMPANY_SITE,Role_83_Technician,OCCXW200083,SKC00083,Excel,Tableau,ProjectMgmt,0,2,0,140002,200780,INTERN,FLEX,524,3,35,0.6304,emb_v4
2022-12,ATS_FEED,Role_84_Specialist,OCCXW200084,SKC00084,Accounting,Airflow,JavaScript,0,10,0,39273,56984,INTERN,NIGHT,522,16,39,0.2028,emb_v4
2023-01,STAFFING_FIRM,Role_85_Analyst,OCCXW200085,SKC00085,PowerBI,Accounting,Communication,0,4,1,55151,137369,FULL_TIME,WEEKEND,622,43,37,0.1879,emb_v4
2023-02,COMPANY_SITE,Role_86_Engineer,OCCXW200086,SKC00086,Communication,SAP,Accounting,0,1,0,99055,133900,CONTRACT,WEEKEND,524,78,32,0.4251,emb_v1
2023-03,JOB_BOARD,Role_87_Manager,OCCXW200087,SKC00087,React,SupplyChain,RetailOps,0,2,0,64723,70508,PART_TIME,DAY,711,19,39,0.9339,emb_v2
2023-04,ATS_FEED,Role_88_Technician,OCCXW200088,SKC00088,CustomerSupport,NodeJS,Cybersecurity,0,10,0,116066,162486,INTERN,NIGHT,524,80,32,0.3145,emb_v3
2023-05,AGGREGATOR,Role_89_Specialist,OCCXW200089,SKC00089,SupplyChain,Python,Kubernetes,1,0,0,109630,172823,INTERN,DAY,519,37,28,0.5778,emb_v4
2023-06,STAFFING_FIRM,Role_90_Analyst,OCCXW200090,SKC00090,Spark,ProjectMgmt,NLP,1,9,1,41466,78683,INTERN,DAY,519,27,37,0.7936,emb_v2
2023-07,STAFFING_FIRM,Role_91_Engineer,OCCXW200091,SKC00091,ComputerVision,Cybersecurity,Linux,0,9,0,39313,56013,INTERN,NIGHT,541,3,35,0.0801,emb_v2
2023-08,STAFFING_FIRM,Role_92_Manager,OCCXW200092,SKC00092,Statistics,Healthcare,Spark,1,6,0,87608,131904,INTERN,NIGHT,518,9,45,0.3414,emb_v3
2023-09,COMPANY_SITE,Role_93_Technician,OCCXW200093,SKC00093,Airflow,Java,PowerBI,1,9,1,134540,183811,TEMP,WEEKEND,523,89,42,0.0551,emb_v1
2023-10,AGGREGATOR,Role_94_Specialist,OCCXW200094,SKC00094,JavaScript,React,React,1,1,0,143653,169295,PART_TIME,WEEKEND,711,8,36,0.1807,emb_v4
2023-11,AGGREGATOR,Role_95_Analyst,OCCXW200095,SKC00095,Spark,CustomerSupport,Healthcare,0,9,1,50578,129399,CONTRACT,NIGHT,332,12,32,0.7389,emb_v1
2023-12,ATS_FEED,Role_96_Engineer,OCCXW200096,SKC00096,NLP,Salesforce,Statistics,0,2,1,52801,127935,TEMP,DAY,517,83,33,0.8676,emb_v4
2024-01,JOB_BOARD,Role_97_Manager,OCCXW200097,SKC00097,Docker,Communication,GCP,0,7,1,64461,130227,CONTRACT,WEEKEND,531,49,53,0.1808,emb_v2
2024-02,ATS_FEED,Role_98_Technician,OCCXW200098,SKC00098,Kubernetes,CustomerSupport,ProjectMgmt,1,7,0,63440,97126,TEMP,FLEX,811,38,35,0.5818,emb_v3
2024-03,AGGREGATOR,Role_99_Specialist,OCCXW200099,SKC00099,NodeJS,NodeJS,Linux,1,8,1,84424,124406,PART_TIME,NIGHT,811,88,46,0.9623,emb_v4
2024-04,STAFFING_FIRM,Role_100_Analyst,OCCXW200100,SKC00100,RetailOps,SAP,ProjectMgmt,1,7,0,115614,131716,INTERN,SHIFT,332,36,44,0.1409,emb_v1
2024-05,STAFFING_FIRM,Role_101_Engineer,OCCXW200101,SKC00101,Communication,NodeJS,Excel,1,1,1,45724,98541,TEMP,NIGHT,561,11,30,0.1903,emb_v1
2024-06,STAFFING_FIRM,Role_102_Manager,OCCXW200102,SKC00102,Java,Azure,AWS,1,7,0,94992,149598,CONTRACT,WEEKEND,511,62,40,0.4939,emb_v4
2024-07,COMPANY_SITE,Role_103_Technician,OCCXW200103,SKC00103,JavaScript,SQL,JavaScript,1,10,1,69522,156102,FULL_TIME,SHIFT,531,18,34,0.1332,emb_v4
2024-08,ATS_FEED,Role_104_Specialist,OCCXW200104,SKC00104,Tableau,ComputerVision,Java,0,10,0,78675,87052,CONTRACT,DAY,518,3,34,0.5619,emb_v2
2024-09,STAFFING_FIRM,Role_105_Analyst,OCCXW200105,SKC00105,RetailOps,ProjectMgmt,Airflow,1,4,0,126979,210853,CONTRACT,SHIFT,711,76,42,0.4037,emb_v4
2024-10,JOB_BOARD,Role_106_Engineer,OCCXW200106,SKC00106,React,SAP,Communication,0,4,1,58178,77701,FULL_TIME,FLEX,332,30,31,0.2384,emb_v2
2024-11,AGGREGATOR,Role_107_Manager,OCCXW200107,SKC00107,Cybersecurity,Accounting,AWS,0,6,0,110066,117708,CONTRACT,SHIFT,518,71,25,0.2374,emb_v1
2024-12,ATS_FEED,Role_108_Technician,OCCXW200108,SKC00108,React,Healthcare,Healthcare,0,4,0,119046,173813,PART_TIME,FLEX,524,45,30,0.7942,emb_v2
2025-01,STAFFING_FIRM,Role_109_Specialist,OCCXW200109,SKC00109,JavaScript,SAP,SAP,1,2,0,122094,131855,TEMP,FLEX,561,60,45,0.6114,emb_v3
2025-02,STAFFING_FIRM,Role_110_Analyst,OCCXW200110,SKC00110,NodeJS,CustomerSupport,JavaScript,0,0,0,158866,242317,FULL_TIME,SHIFT,623,19,39,0.3324,emb_v1
2025-03,AGGREGATOR,Role_111_Engineer,OCCXW200111,SKC00111,SupplyChain,NLP,Java,0,9,0,88743,137779,PART_TIME,WEEKEND,445,8,48,0.8146,emb_v4
2025-04,ATS_FEED,Role_112_Manager,OCCXW200112,SKC00112,Java,Airflow,SAP,0,6,0,149355,229927,PART_TIME,FLEX,622,83,40,0.6825,emb_v2
2025-05,JOB_BOARD,Role_113_Technician,OCCXW200113,SKC00113,GCP,PowerBI,RetailOps,0,2,0,44149,102180,CONTRACT,FLEX,622,69,38,0.7647,emb_v1
2025-06,AGGREGATOR,Role_114_Specialist,OCCXW200114,SKC00114,Python,Accounting,PowerBI,0,9,1,74218,97756,CONTRACT,NIGHT,236,17,34,0.6824,emb_v4
2025-07,COMPANY_SITE,Role_115_Analyst,OCCXW200115,SKC00115,Salesforce,Statistics,Kubernetes,0,3,0,69025,82938,INTERN,SHIFT,623,12,31,0.0254,emb_v3
2025-08,JOB_BOARD,Role_116_Engineer,OCCXW200116,SKC00116,CustomerSupport,SupplyChain,Statistics,1,8,1,143543,184569,FULL_TIME,DAY,621,65,30,0.1238,emb_v3
2025-09,ATS_FEED,Role_117_Manager,OCCXW200117,SKC00117,Cybersecurity,NodeJS,Docker,0,1,0,50413,111055,TEMP,WEEKEND,518,58,32,0.1985,emb_v1
2025-10,AGGREGATOR,Role_118_Technician,OCCXW200118,SKC00118,Java,Spark,Spark,1,10,0,151429,231495,TEMP,SHIFT,811,20,34,0.854,emb_v4
2025-11,ATS_FEED,Role_119_Specialist,OCCXW200119,SKC00119,React,Java,SupplyChain,1,6,0,144554,172243,INTERN,NIGHT,561,86,37,0.16,emb_v4
2025-12,JOB_BOARD,Role_120_Analyst,OCCXW200120,SKC00120,CustomerSupport,Excel,Docker,1,3,1,127539,187250,FULL_TIME,SHIFT,541,43,31,0.6526,emb_v2
2026-01,AGGREGATOR,Role_121_Engineer,OCCXW200121,SKC00121,Docker,RetailOps,Airflow,1,8,1,140552,211702,FULL_TIME,WEEKEND,519,83,37,0.8681,emb_v1
2026-02,ATS_FEED,Role_122_Manager,OCCXW200122,SKC00122,Azure,Java,React,0,0,1,40998,76423,PART_TIME,SHIFT,921,80,50,0.4011,emb_v2
2026-03,COMPANY_SITE,Role_123_Technician,OCCXW200123,SKC00123,Salesforce,Kubernetes,Azure,1,10,1,64760,146903,CONTRACT,SHIFT,236,36,37,0.6644,emb_v2
2026-04,COMPANY_SITE,Role_124_Specialist,OCCXW200124,SKC00124,Kubernetes,Accounting,Azure,0,2,1,153453,185751,INTERN,NIGHT,561,26,33,0.7517,emb_v3
2026-05,AGGREGATOR,Role_125_Analyst,OCCXW200125,SKC00125,Azure,ComputerVision,Cybersecurity,1,2,0,114589,125218,PART_TIME,SHIFT,711,72,37,0.0172,emb_v1
2026-06,COMPANY_SITE,Role_126_Engineer,OCCXW200126,SKC00126,Statistics,Salesforce,Communication,0,4,0,130711,197966,CONTRACT,DAY,811,89,32,0.7567,emb_v4
2026-07,ATS_FEED,Role_127_Manager,OCCXW200127,SKC00127,Java,React,SupplyChain,0,2,0,47779,126361,CONTRACT,NIGHT,445,69,34,0.1472,emb_v3
2026-08,ATS_FEED,Role_128_Technician,OCCXW200128,SKC00128,Tableau,SQL,Spark,0,8,1,117375,193391,TEMP,SHIFT,522,33,28,0.9695,emb_v2
2026-09,STAFFING_FIRM,Role_129_Specialist,OCCXW200129,SKC00129,Statistics,Tableau,Tableau,1,9,0,129798,195830,TEMP,NIGHT,711,25,31,0.5409,emb_v2
2026-10,COMPANY_SITE,Role_130_Analyst,OCCXW200130,SKC00130,Airflow,Linux,Azure,1,3,0,154995,165366,TEMP,DAY,524,20,44,0.0857,emb_v3
2026-11,COMPANY_SITE,Role_131_Engineer,OCCXW200131,SKC00131,SAP,SupplyChain,RetailOps,1,2,1,64245,91241,INTERN,WEEKEND,622,78,37,0.2054,emb_v3
2026-12,ATS_FEED,Role_132_Manager,OCCXW200132,SKC00132,RetailOps,Linux,Tableau,1,3,1,109156,180617,INTERN,FLEX,541,84,31,0.6401,emb_v3
2027-01,ATS_FEED,Role_133_Technician,OCCXW200133,SKC00133,SupplyChain,GCP,Communication,1,2,1,95438,151053,FULL_TIME,DAY,519,58,48,0.2603,emb_v2
2027-02,STAFFING_FIRM,Role_134_Specialist,OCCXW200134,SKC00134,Salesforce,Accounting,RetailOps,0,7,1,104819,127273,CONTRACT,DAY,445,14,38,0.551,emb_v2
2027-03,STAFFING_FIRM,Role_135_Analyst,OCCXW200135,SKC00135,Spark,Excel,SupplyChain,0,4,1,53468,115487,INTERN,WEEKEND,622,49,31,0.9356,emb_v4
2027-04,AGGREGATOR,Role_136_Engineer,OCCXW200136,SKC00136,Airflow,Tableau,CustomerSupport,1,2,0,128865,134865,TEMP,WEEKEND,511,75,36,0.3493,emb_v2
2027-05,JOB_BOARD,Role_137_Manager,OCCXW200137,SKC00137,RetailOps,JavaScript,Spark,1,0,0,149172,186432,FULL_TIME,WEEKEND,518,27,41,0.6105,emb_v1
2027-06,COMPANY_SITE,Role_138_Technician,OCCXW200138,SKC00138,Accounting,Excel,Accounting,0,5,0,142479,228077,FULL_TIME,FLEX,423,90,34,0.2611,emb_v3
2027-07,STAFFING_FIRM,Role_139_Specialist,OCCXW200139,SKC00139,AWS,Spark,Excel,1,4,0,115463,168904,PART_TIME,DAY,518,19,41,0.2468,emb_v3
2027-08,COMPANY_SITE,Role_140_Analyst,OCCXW200140,SKC00140,Docker,ComputerVision,PowerBI,1,3,1,78708,100242,TEMP,DAY,611,26,35,0.1156,emb_v3
2027-09,JOB_BOARD,Role_141_Engineer,OCCXW200141,SKC00141,Airflow,CustomerSupport,Linux,0,7,0,129121,214905,PART_TIME,DAY,561,79,34,0.891,emb_v4
