tech_adopt_survey_year,tech_adopt_community_digital_id,tech_adopt_households_with_internet_pct,tech_adopt_households_with_computer_pct,tech_adopt_smartphone_only_households_pct,tech_adopt_digital_literacy_score,tech_adopt_affordability_barrier_rate,tech_adopt_language_barrier_rate,tech_adopt_disability_access_barrier_rate,tech_adopt_public_wifi_access_points,tech_adopt_library_device_loan_count,tech_adopt_digital_navigator_program_flag,tech_adopt_training_sessions_completed,tech_adopt_telehealth_use_rate,tech_adopt_online_learning_use_rate,tech_adopt_remote_work_enablement_rate,tech_adopt_banking_online_adoption_rate,tech_adopt_cyber_safety_incident_rate,tech_adopt_privacy_concern_score,tech_adopt_equity_gap_index
2025,CDI0000000011,87.6,62.7,1.58,40.65,21.59,18.53,17.74,3148,9501,0,16264,60.75,42.45,71.97,53.49,23.777,77.12,0.14
2025,CDI0000000012,90.64,72.62,53.2,4.25,14.11,24.5,26.88,3115,9934,0,6827,5.6,83.35,64.0,75.38,15.099,60.78,0.9092
2015,CDI0000000013,50.11,41.92,8.25,57.32,55.88,1.56,33.37,2700,15603,1,10382,73.68,86.83,21.55,60.74,7.912,50.69,0.0024
2011,CDI0000000014,77.37,55.33,26.07,55.01,5.67,18.89,18.18,1578,2991,0,19081,24.55,30.5,14.13,83.91,2.85,88.49,0.4026
2020,CDI0000000015,54.05,34.63,1.26,80.26,18.09,25.89,15.81,1310,10814,1,6995,49.12,37.23,56.8,10.62,24.1,65.56,0.1636
2024,CDI0000000016,63.27,40.43,8.82,61.22,46.66,9.17,6.84,1509,21959,1,746,14.99,31.07,34.76,80.37,18.901,18.63,0.945
2024,CDI0000000017,42.64,27.02,18.5,68.89,35.1,34.89,21.16,2251,11875,1,18280,2.76,77.42,44.31,84.53,3.632,1.03,0.1178
2016,CDI0000000018,72.48,67.6,10.5,10.18,55.82,25.77,32.33,1312,7761,1,9560,60.98,63.43,29.47,91.43,10.083,38.19,0.9214
2010,CDI0000000019,51.31,39.15,18.87,13.82,13.79,12.17,20.44,368,4515,0,12391,60.52,53.57,75.81,35.61,23.15,45.21,0.2331
2024,CDI0000000020,35.56,29.69,41.19,6.45,59.5,15.67,28.49,3689,10050,0,13187,21.05,70.52,65.25,81.92,7.335,7.26,0.2946
2011,CDI0000000021,75.93,52.42,12.77,52.97,3.37,21.71,6.59,4635,333,0,21202,55.14,15.04,42.67,66.6,20.085,41.1,0.6831
2020,CDI0000000022,48.79,38.0,13.75,94.49,47.74,4.22,26.73,4211,10507,1,12910,12.89,60.84,76.17,47.91,16.387,8.31,0.5787
2011,CDI0000000023,62.33,57.85,50.45,64.34,4.6,25.97,22.67,375,16241,0,14778,58.55,72.25,17.78,4.89,18.386,40.62,0.9503
2015,CDI0000000024,63.5,44.76,30.89,83.98,8.2,31.57,30.49,236,10021,1,10607,41.02,29.72,56.11,17.32,4.095,3.08,0.9302
2018,CDI0000000025,94.64,62.99,46.06,10.67,51.27,27.47,19.32,3639,24004,1,3685,11.41,3.84,52.93,50.72,1.67,26.58,0.9977
2024,CDI0000000026,94.99,99.31,30.71,33.16,6.2,19.05,11.19,4386,8887,0,20987,58.21,45.63,44.85,5.64,24.236,62.17,0.0644
2012,CDI0000000027,67.66,70.39,49.0,92.77,6.03,30.18,16.23,3048,3333,0,6476,26.22,79.52,34.09,20.0,17.406,72.97,0.1578
2019,CDI0000000028,72.76,74.91,4.28,30.11,33.12,10.25,25.93,4363,16238,0,17424,33.14,74.6,31.78,39.21,0.479,4.49,0.0598
2021,CDI0000000029,48.7,49.59,48.93,71.34,34.49,34.92,33.22,4672,11181,0,23935,34.92,31.49,15.79,69.77,13.64,71.95,0.4444
2023,CDI0000000030,76.59,58.37,0.33,32.91,6.67,6.57,24.79,3431,5749,0,24181,53.6,58.08,64.09,19.27,1.316,25.42,0.3414
2010,CDI0000000031,47.57,28.74,8.79,14.83,52.11,23.82,16.01,2576,8830,0,16914,48.07,84.01,48.25,86.71,0.133,24.06,0.873
2014,CDI0000000032,88.93,63.06,21.01,24.64,32.35,27.37,8.34,2543,10898,0,16103,29.0,66.55,75.24,27.58,14.286,59.21,0.1654
2020,CDI0000000033,80.54,83.53,18.93,24.72,32.31,17.68,6.71,4899,17124,1,1799,13.88,42.03,33.75,73.04,16.147,9.29,0.4664
2018,CDI0000000034,43.77,45.77,3.13,77.21,53.98,28.95,26.92,1693,1635,0,16365,75.24,61.37,71.83,39.2,14.178,17.35,0.411
2021,CDI0000000035,37.21,23.11,4.52,88.62,30.89,13.3,14.36,3055,5422,0,7399,28.72,63.55,5.45,15.76,5.226,89.15,0.1941
2022,CDI0000000036,65.97,56.28,19.38,70.12,48.0,9.51,7.71,2011,1079,0,18987,83.66,39.16,16.71,42.69,20.159,68.43,0.8857
2016,CDI0000000037,42.48,32.42,6.88,92.89,47.26,24.03,18.95,4518,11617,0,914,45.05,85.05,0.81,76.77,15.096,30.96,0.5306
2017,CDI0000000038,66.79,49.97,11.24,95.78,38.95,29.07,31.79,3352,23619,0,17961,77.32,57.56,72.91,53.16,17.781,14.45,0.9829
2019,CDI0000000039,68.14,62.89,2.64,6.27,11.09,12.38,17.63,2640,20900,0,1589,63.18,69.56,70.24,68.26,14.644,71.33,0.8712
2020,CDI0000000040,46.47,37.99,18.81,50.61,9.98,25.82,1.26,4466,8376,0,17028,23.99,69.49,55.01,11.91,11.439,25.42,0.9892
2024,CDI0000000041,91.41,57.78,9.29,96.17,29.16,6.96,31.54,4147,18886,0,6622,82.27,49.1,79.04,28.76,0.236,23.49,0.5594
2020,CDI0000000042,71.68,60.58,5.69,6.22,40.32,16.81,12.62,2143,19154,0,9569,13.86,76.67,72.51,48.8,14.666,21.1,0.3523
2011,CDI0000000043,74.49,64.99,44.93,93.34,27.6,27.01,26.7,4712,22836,0,11407,21.12,81.34,2.94,30.43,3.891,33.91,0.4636
2021,CDI0000000044,82.0,59.21,35.51,41.52,0.38,23.26,19.19,3502,2241,0,4890,48.54,73.09,1.72,82.63,23.036,8.25,0.6062
2024,CDI0000000045,65.82,45.69,35.75,69.89,53.43,27.14,31.03,2463,10238,1,13933,18.6,5.53,10.81,70.85,18.148,58.56,0.6646
2018,CDI0000000046,94.02,62.24,49.57,55.67,57.14,9.81,3.44,1444,8766,1,14594,27.77,79.01,53.69,5.89,17.948,19.58,0.6338
2017,CDI0000000047,63.85,58.23,22.65,26.17,56.51,5.47,22.01,1561,10675,0,11528,76.79,62.46,13.26,63.47,23.18,4.05,0.8588
2016,CDI0000000048,89.63,82.01,35.01,77.54,8.09,12.24,23.48,2864,18563,0,19731,75.85,40.33,45.24,20.1,12.199,24.67,0.627
2021,CDI0000000049,49.09,50.77,48.56,25.41,31.3,12.52,19.93,4672,13653,0,2027,81.31,59.55,63.73,90.78,21.327,11.57,0.8786
2015,CDI0000000050,47.41,31.04,26.58,78.05,46.83,14.56,21.83,2868,5117,1,6936,74.94,15.16,64.5,15.4,0.418,40.61,0.8355
2014,CDI0000000051,56.12,37.4,0.92,97.03,4.43,25.36,23.93,2608,9330,0,9660,48.62,44.43,15.72,44.42,15.924,60.62,0.2894
2013,CDI0000000052,94.72,78.19,34.04,69.54,6.17,32.15,32.89,2493,5500,0,18288,61.05,66.77,11.44,34.13,23.043,54.05,0.0777
2022,CDI0000000053,45.16,43.66,28.99,51.58,40.8,1.61,0.66,149,10790,0,3777,30.55,53.11,65.87,15.46,14.903,92.36,0.4128
2023,CDI0000000054,40.05,35.52,4.42,36.52,40.34,5.8,4.51,3996,23773,1,7801,42.15,31.42,60.7,75.31,24.204,74.9,0.5664
2016,CDI0000000055,79.28,68.51,28.09,3.89,53.72,19.87,13.32,2743,16800,0,15336,83.98,82.16,36.93,27.33,15.835,11.32,0.0548
2016,CDI0000000056,59.95,38.55,46.03,79.72,56.07,25.8,1.55,4379,15292,1,11592,9.87,41.29,17.6,43.99,9.909,34.19,0.3802
2015,CDI0000000057,99.82,100.0,7.26,30.88,12.88,25.19,11.55,216,18878,1,3405,75.4,38.9,16.01,18.51,12.308,41.66,0.6675
2021,CDI0000000058,82.56,75.5,19.2,94.22,33.47,0.32,28.18,2205,24656,0,24390,47.32,35.51,42.16,59.41,1.893,9.41,0.3381
2015,CDI0000000059,84.21,80.62,37.35,13.51,30.07,1.8,33.4,4515,18341,0,13718,74.04,53.37,46.29,26.96,23.838,8.06,0.7274
2020,CDI0000000060,44.72,33.31,41.85,33.44,59.61,27.81,18.14,4213,6584,1,7343,72.7,5.51,61.0,63.81,6.451,92.32,0.7385
2013,CDI0000000061,90.62,60.68,19.57,48.25,35.24,27.31,32.72,1971,14988,1,910,65.5,73.04,13.07,37.64,2.361,88.26,0.2461
2019,CDI0000000062,55.86,56.21,30.08,23.05,27.45,33.71,34.67,2043,4186,0,13123,24.77,5.73,47.21,28.39,22.501,42.65,0.1326
2017,CDI0000000063,53.3,47.33,47.98,86.59,24.25,28.36,24.41,169,10129,1,332,72.06,58.51,79.36,27.39,24.745,34.19,0.2219
2013,CDI0000000064,56.24,57.64,7.41,30.9,45.73,12.53,1.11,4185,17950,0,23855,73.51,22.72,30.38,27.01,12.396,54.02,0.6218
2013,CDI0000000065,67.96,44.21,28.4,50.96,10.76,27.36,15.71,911,4885,1,13704,69.38,10.34,46.1,22.91,24.277,94.26,0.5082
2016,CDI0000000066,91.1,81.92,54.33,33.18,6.4,12.57,32.1,3269,22301,0,22122,47.31,5.71,78.93,55.75,14.585,20.25,0.8423
2021,CDI0000000067,74.25,49.0,12.99,82.87,4.69,17.15,31.86,2077,19633,0,8135,4.2,71.51,58.93,29.53,18.702,4.12,0.7869
2021,CDI0000000068,67.0,69.05,41.05,71.43,23.81,8.51,14.61,4093,10283,0,13655,78.55,5.81,19.92,46.66,6.937,7.41,0.9089
2011,CDI0000000069,42.06,28.75,4.45,5.97,56.77,14.54,25.99,3407,3465,0,11481,75.67,41.24,1.59,10.53,2.195,3.36,0.8135
2019,CDI0000000070,78.24,72.41,32.32,13.63,51.06,23.56,12.57,66,13359,1,4033,12.83,62.32,21.45,72.5,24.629,73.43,0.7426
2020,CDI0000000071,86.44,64.17,34.01,19.72,30.51,19.58,0.16,1304,3663,0,14505,4.46,1.44,62.81,80.57,17.95,49.87,0.7897
2023,CDI0000000072,82.45,78.24,51.71,19.69,23.76,4.46,23.12,1293,24003,0,10763,0.98,22.95,30.38,16.62,17.024,46.03,0.4614
2022,CDI0000000073,95.77,71.58,36.0,7.06,50.94,9.13,17.38,186,16623,0,21643,3.88,61.12,12.21,27.99,17.378,52.69,0.7459
2011,CDI0000000074,66.23,59.48,21.97,41.11,15.74,5.75,15.69,508,23246,0,7254,32.43,79.35,31.2,12.49,19.517,56.5,0.1368
2022,CDI0000000075,66.82,54.76,23.75,50.57,55.26,19.62,10.52,2845,3473,1,14447,8.97,4.04,34.14,74.21,9.335,80.18,0.874
2024,CDI0000000076,90.43,70.63,43.49,75.88,3.61,31.99,25.54,4626,10631,1,18546,60.09,25.6,14.62,17.32,22.397,79.58,0.2852
2014,CDI0000000077,54.73,39.02,25.41,0.83,28.32,33.19,15.93,4582,17302,0,24677,20.81,72.38,35.68,1.3,1.733,2.45,0.4076
2021,CDI0000000078,45.57,44.77,4.37,55.26,6.12,7.07,5.04,842,21872,1,871,50.26,12.06,64.22,48.24,7.969,62.63,0.6013
2016,CDI0000000079,97.76,61.26,3.11,45.35,24.83,4.3,11.71,1730,15889,1,5393,9.89,3.3,32.43,91.73,11.947,40.52,0.1419
2021,CDI0000000080,87.23,85.29,18.28,83.28,58.07,16.17,30.1,210,16830,0,4697,53.41,62.96,59.85,89.92,2.081,72.66,0.799
2018,CDI0000000081,92.45,88.11,16.77,12.38,42.69,25.02,30.46,4290,5971,1,14920,66.2,50.86,49.89,91.46,4.71,25.88,0.68
2010,CDI0000000082,61.43,54.63,37.88,72.68,7.49,33.77,1.02,3574,7733,0,19795,56.85,13.73,73.87,65.76,0.253,11.17,0.1769
2012,CDI0000000083,69.74,61.22,40.46,26.31,35.6,10.64,18.04,4644,8559,0,24073,43.62,38.03,50.43,18.07,5.07,91.07,0.3663
2020,CDI0000000084,71.07,57.03,43.58,63.57,47.21,12.17,1.64,2854,6021,0,14355,41.33,55.95,25.82,17.78,22.912,46.58,0.1937
2012,CDI0000000085,36.59,31.05,25.76,61.52,45.91,24.94,2.19,3654,9538,1,717,27.52,49.36,59.56,53.57,7.305,57.99,0.6722
2018,CDI0000000086,75.12,54.71,32.66,53.29,58.01,6.04,17.01,4000,10518,1,21702,77.43,22.87,46.08,75.56,11.447,20.7,0.4566
2024,CDI0000000087,46.7,37.21,11.4,34.97,58.5,30.45,26.82,4388,1608,1,24883,34.12,86.96,44.81,70.78,0.197,22.34,0.4325
2015,CDI0000000088,42.29,42.4,7.72,32.38,20.67,18.78,27.83,3058,8557,0,14327,8.06,77.39,44.52,11.08,16.76,3.79,0.7033
2025,CDI0000000089,63.65,45.01,15.1,21.19,5.49,11.05,30.05,4907,2606,1,1188,6.39,31.01,41.65,40.72,22.878,59.74,0.7153
2014,CDI0000000090,71.71,75.21,54.25,94.41,13.86,3.35,29.69,4906,12521,1,13187,66.28,87.58,22.92,63.03,1.138,25.36,0.4451
2022,CDI0000000091,78.96,67.46,50.43,89.56,4.01,13.67,22.77,1785,7140,0,16485,33.16,74.47,61.54,67.0,19.941,63.89,0.8047
2016,CDI0000000092,87.58,80.97,40.06,94.91,43.13,21.5,30.08,1224,18423,0,18344,14.0,31.5,49.5,67.37,13.33,44.42,0.0329
2021,CDI0000000093,44.3,28.4,0.36,84.54,18.91,21.08,17.99,2019,9322,1,20819,12.01,42.69,52.26,42.86,10.351,6.53,0.5778
2025,CDI0000000094,94.66,64.08,27.33,59.3,6.39,20.6,1.45,1975,12717,0,21638,58.05,33.19,70.26,52.85,21.56,32.25,0.3846
2016,CDI0000000095,65.04,47.61,46.66,74.51,19.81,7.78,3.21,200,9141,1,6698,79.18,74.83,58.52,62.01,11.476,50.26,0.9263
2023,CDI0000000096,56.19,34.31,18.5,6.04,50.63,14.1,33.72,749,13859,0,2352,80.99,82.26,29.07,26.41,1.686,78.68,0.3764
2025,CDI0000000097,71.18,59.91,48.15,48.55,54.82,24.4,28.31,143,11500,0,2107,54.71,73.32,42.75,29.1,8.476,52.5,0.9067
2013,CDI0000000098,75.08,45.48,14.5,90.24,10.36,12.02,10.75,504,20437,0,1067,12.03,5.26,68.92,18.01,3.211,26.17,0.6159
2010,CDI0000000099,53.37,55.14,47.01,20.07,13.92,6.72,14.16,1797,874,0,23902,61.14,33.99,48.81,42.02,0.709,77.54,0.8331
2022,CDI0000000100,53.54,56.07,44.03,21.77,23.24,12.63,28.88,1495,10689,0,3689,41.19,48.3,15.34,21.61,8.385,45.46,0.3338
2016,CDI0000000101,78.64,53.84,26.3,35.23,37.12,19.04,4.18,841,18943,0,23735,79.99,3.87,78.69,85.0,24.491,23.02,0.9545
2025,CDI0000000102,54.26,54.78,26.49,79.5,31.57,16.34,7.72,1265,8571,1,3444,43.01,66.1,39.28,89.65,15.112,49.63,0.9795
2020,CDI0000000103,96.19,91.63,5.58,0.66,14.81,16.25,15.15,2113,3673,0,19955,15.66,55.92,24.21,14.03,4.967,64.57,0.6782
2025,CDI0000000104,71.87,63.7,19.49,12.16,10.84,8.94,6.48,927,20467,1,1950,39.49,84.99,78.1,9.49,15.911,91.7,0.0211
2019,CDI0000000105,43.65,39.6,15.95,7.44,21.61,34.15,13.66,2814,23815,0,4018,6.07,79.87,58.7,52.24,8.204,33.51,0.8907
2019,CDI0000000106,50.29,39.43,13.11,72.01,29.13,4.1,11.52,1012,22866,1,10422,35.73,55.61,47.05,14.88,5.936,69.56,0.7877
2023,CDI0000000107,88.34,91.02,13.11,33.28,57.49,1.42,9.21,4684,24237,0,21764,22.69,8.66,47.02,56.42,2.191,12.08,0.297
2018,CDI0000000108,36.16,23.71,50.27,40.89,40.32,23.97,21.76,1927,18071,0,14621,52.1,87.75,26.39,8.67,10.054,95.44,0.4832
2019,CDI0000000109,40.81,25.86,20.52,43.73,39.66,33.82,23.92,1077,16409,0,21320,10.44,68.88,64.5,22.28,16.665,51.9,0.5618
2021,CDI0000000110,69.18,65.1,53.6,25.36,32.02,20.79,17.36,2977,2954,0,23154,84.93,15.32,23.75,39.54,2.673,2.34,0.9692
2010,CDI0000000111,66.38,53.26,16.44,61.45,54.31,17.5,28.78,4813,742,0,13515,10.63,45.3,76.38,53.61,17.022,57.05,0.5787
2025,CDI0000000112,43.3,41.57,0.6,26.02,37.94,2.5,17.5,2243,6404,1,22905,16.54,10.98,61.93,90.49,15.747,65.53,0.7782
2019,CDI0000000113,44.77,40.95,23.68,47.61,39.75,14.4,6.26,3418,21724,0,22686,8.81,55.7,38.6,49.76,11.318,77.63,0.4433
2015,CDI0000000114,66.49,43.35,0.5,49.38,43.34,30.47,17.51,2161,11207,1,20445,15.28,4.64,50.62,60.43,12.534,92.62,0.6352
2021,CDI0000000115,89.17,87.47,1.98,80.01,42.01,8.63,8.97,4318,7445,0,22297,35.63,9.11,50.6,27.07,16.33,88.0,0.7871
2024,CDI0000000116,83.57,76.03,44.04,77.36,5.5,9.47,0.45,951,1292,0,10915,16.27,71.11,71.5,62.82,13.698,6.59,0.8849
2025,CDI0000000117,80.99,68.77,4.37,77.22,39.69,23.35,3.12,1219,7744,0,3825,45.62,49.28,56.39,8.69,11.331,7.18,0.7031
2021,CDI0000000118,94.07,64.41,3.63,78.63,13.47,6.5,12.01,3214,620,0,14428,72.16,51.09,68.0,83.38,9.833,78.03,0.5404
2012,CDI0000000119,86.55,54.96,6.97,3.0,2.59,27.42,13.88,2364,1435,1,167,24.91,89.48,45.49,30.83,9.35,52.98,0.7146
2023,CDI0000000120,66.49,50.23,42.9,44.16,3.61,1.59,20.1,4862,20892,0,8360,23.84,84.29,65.7,27.78,3.352,15.23,0.8318
2012,CDI0000000121,88.36,68.95,25.56,66.78,55.17,15.08,26.22,416,11023,0,4314,75.04,74.89,53.58,48.51,2.885,88.86,0.5389
2011,CDI0000000122,96.73,89.47,52.88,92.98,2.66,11.14,1.22,4609,3752,1,23098,59.8,45.5,2.44,25.35,17.159,97.46,0.3482
2020,CDI0000000123,69.18,68.29,20.89,84.24,51.55,10.26,14.56,2707,14977,1,8894,65.39,73.62,73.1,66.01,4.713,99.56,0.8973
2023,CDI0000000124,57.42,45.65,1.28,82.26,33.5,16.75,4.76,3792,4470,0,22169,42.79,77.54,3.1,83.31,7.78,46.11,0.1762
2018,CDI0000000125,87.92,78.36,43.99,33.28,12.34,22.36,3.2,4220,8020,1,1020,39.83,44.57,43.38,32.08,22.956,31.71,0.9992
2013,CDI0000000126,48.58,37.08,13.88,62.01,2.4,14.85,17.87,2631,10768,0,20410,0.47,41.92,38.95,94.47,23.8,12.78,0.8095
2018,CDI0000000127,81.99,55.4,31.02,13.81,5.22,34.46,33.07,478,18793,0,17148,42.41,32.07,1.89,49.02,1.315,32.22,0.4213
2024,CDI0000000128,48.15,39.72,45.53,26.44,56.7,23.0,27.19,3425,17791,0,5092,23.63,83.87,48.59,25.0,19.886,89.44,0.2884
2020,CDI0000000129,84.66,86.41,3.5,52.93,52.27,6.46,14.0,3797,13764,0,7764,45.98,16.28,55.42,80.55,13.678,53.95,0.7456
2022,CDI0000000130,58.0,38.86,51.58,33.8,59.2,17.6,29.8,389,12705,1,7486,13.75,41.76,42.83,90.61,13.783,42.73,0.0201
2017,CDI0000000131,49.37,39.47,2.23,21.66,35.63,9.97,23.19,3966,14770,1,4539,69.43,1.88,15.97,86.08,6.239,95.44,0.0134
2023,CDI0000000132,87.01,65.65,44.89,40.75,6.36,9.49,10.22,745,24517,0,16408,43.4,29.56,1.72,35.97,15.7,13.59,0.625
2021,CDI0000000133,74.01,45.98,9.72,13.9,47.08,14.04,12.17,4215,16162,1,5488,31.32,8.31,74.01,2.99,18.84,8.13,0.8517
2017,CDI0000000134,41.98,41.12,18.92,92.52,28.01,2.38,30.08,4769,13045,0,20580,66.3,63.37,4.01,92.96,5.108,92.34,0.7705
2012,CDI0000000135,65.57,61.52,9.49,61.78,18.89,29.26,4.48,566,10402,0,15105,79.54,47.05,13.62,24.8,0.521,73.92,0.6518
2010,CDI0000000136,90.62,71.64,28.35,14.57,47.6,17.64,10.56,2888,14825,0,607,6.78,72.87,7.93,66.26,12.398,16.0,0.3585
2023,CDI0000000137,68.16,64.29,16.66,59.98,37.44,5.29,12.93,3529,17734,1,15597,34.64,84.25,9.78,60.87,11.133,89.18,0.6553
2019,CDI0000000138,52.94,51.68,29.12,48.86,15.45,18.77,3.94,4322,23285,0,14413,38.64,52.39,19.86,84.42,18.623,71.96,0.885
2013,CDI0000000139,38.09,31.25,3.17,62.8,39.84,14.01,33.78,4338,17990,1,17437,57.49,49.36,69.3,75.72,1.317,4.63,0.1213
2023,CDI0000000140,50.42,40.17,7.48,45.41,0.06,32.05,6.22,2933,22334,0,15742,20.85,60.71,69.23,60.54,13.785,26.16,0.3764
2017,CDI0000000141,56.38,56.2,24.57,5.89,17.58,4.43,23.22,2808,10430,1,6204,0.13,74.93,45.53,89.18,22.235,48.83,0.4428
2017,CDI0000000142,85.49,78.51,36.42,68.4,34.66,20.85,27.64,1875,9699,1,20895,24.23,12.08,63.2,27.89,21.042,91.24,0.3128
2025,CDI0000000143,97.07,92.09,35.57,22.33,48.88,30.07,9.8,4518,17616,1,4919,44.37,23.13,49.75,63.19,23.254,72.55,0.7034
2016,CDI0000000144,99.44,81.72,22.7,99.18,24.23,23.81,4.17,3138,2428,0,17808,44.95,17.35,32.48,67.27,15.277,96.04,0.0831
2011,CDI0000000145,92.12,70.38,34.56,65.41,2.46,8.93,18.0,735,8975,0,4722,8.48,67.17,57.69,93.96,11.577,27.59,0.2811
2025,CDI0000000146,50.21,46.63,14.71,35.35,8.18,27.97,11.48,17,11695,0,23891,26.34,47.99,70.86,91.56,18.803,14.32,0.9328
2012,CDI0000000147,97.15,83.14,23.94,9.88,26.28,32.0,24.08,2954,9346,1,14755,16.5,37.92,50.44,14.75,17.919,22.35,0.9295
2018,CDI0000000148,89.88,87.28,36.71,41.92,59.97,2.6,31.59,4086,10928,1,15291,49.78,41.71,3.17,6.33,16.851,71.61,0.2223
2023,CDI0000000149,83.84,58.17,35.63,96.0,3.03,21.82,8.99,1584,14005,1,3555,71.9,52.21,60.53,12.86,3.817,77.53,0.7697
2018,CDI0000000150,97.18,100.0,36.12,95.99,45.8,11.82,11.01,4479,20742,0,11251,34.2,84.21,72.81,76.05,0.924,94.64,0.4265
2011,CDI0000000151,49.59,31.49,21.54,35.07,39.2,24.16,13.19,1824,11185,0,3967,2.98,76.89,30.17,26.84,7.22,78.05,0.2572
2021,CDI0000000152,84.54,64.26,36.11,10.38,34.54,0.08,19.27,2848,9491,1,9607,20.87,58.52,3.27,87.07,20.979,89.18,0.7662
2014,CDI0000000153,98.93,61.91,5.39,52.24,39.54,0.72,28.98,3230,7509,0,7398,20.58,9.54,0.93,47.73,13.379,43.71,0.5634
2021,CDI0000000154,81.95,84.36,41.38,65.48,15.49,21.4,14.25,787,3880,1,11218,15.98,42.07,14.08,51.19,10.481,39.1,0.3412
2016,CDI0000000155,62.34,59.91,40.27,21.95,22.35,6.85,28.24,2729,21710,0,16950,8.9,9.79,35.42,24.02,21.031,53.74,0.2796
2012,CDI0000000156,83.59,66.11,1.9,57.04,56.68,4.61,26.12,4617,16478,1,8665,64.25,5.03,53.84,9.09,21.051,93.55,0.8194
2022,CDI0000000157,70.45,56.78,54.95,97.23,8.34,14.98,9.36,3221,14681,1,5705,63.67,73.97,66.22,41.26,2.794,62.82,0.7242
2020,CDI0000000158,76.24,66.34,14.41,39.43,13.43,24.64,10.67,2007,18463,1,21920,64.11,40.72,51.81,92.61,0.383,18.19,0.3429
2022,CDI0000000159,75.06,68.0,12.67,36.46,30.81,28.39,25.67,1566,10952,1,17757,76.34,7.96,69.62,48.24,20.132,78.4,0.1201
2010,CDI0000000160,68.44,51.18,48.96,95.87,37.34,18.85,15.16,3439,1231,0,23443,7.48,18.67,71.08,0.06,15.39,69.53,0.1863
2010,CDI0000000161,50.3,39.9,18.91,70.34,23.22,4.73,29.45,224,19266,0,16815,68.14,88.29,43.97,33.09,0.562,47.62,0.9342
2022,CDI0000000162,84.69,77.67,44.28,39.43,1.57,19.43,14.57,2775,17857,0,4854,69.86,19.88,5.42,32.94,18.495,9.61,0.3229
2021,CDI0000000163,38.01,34.96,35.86,47.49,33.93,23.59,12.72,1792,14849,0,7003,77.72,31.74,3.66,2.51,18.375,51.71,0.1522
2020,CDI0000000164,54.24,49.4,17.06,70.92,44.38,7.12,3.96,1820,15345,1,19703,17.93,48.31,15.04,26.64,14.555,50.07,0.4642
2010,CDI0000000165,74.19,72.37,24.16,12.22,9.87,2.34,23.27,824,3394,0,14095,74.6,69.61,52.21,53.76,17.438,94.21,0.1408
2025,CDI0000000166,80.08,67.47,45.33,68.39,29.16,11.39,9.05,4992,13949,1,13965,84.64,72.03,78.82,29.76,16.341,47.62,0.5406
2018,CDI0000000167,86.64,57.08,38.71,6.71,52.56,8.46,29.58,3168,11361,1,13353,74.02,40.83,17.7,67.12,7.892,10.03,0.8587
2021,CDI0000000168,66.14,39.88,44.4,69.25,12.78,7.49,11.57,2816,9722,0,12360,14.94,84.79,56.17,5.42,4.011,18.53,0.8803
2020,CDI0000000169,74.87,57.29,53.06,88.96,59.89,25.97,20.4,3558,23752,0,1798,70.3,26.74,18.19,42.57,15.613,74.45,0.5872
