labor_unemp_claims_week_ending,labor_unemp_local_area_unemployment_code,labor_unemp_labor_force_level,labor_unemp_employed_level,labor_unemp_unemployed_level,labor_unemp_unemployment_rate_pct,labor_unemp_insured_unemployment_rate_pct,labor_unemp_initial_claims_count,labor_unemp_continued_claims_count,labor_unemp_benefit_exhaustions_count,labor_unemp_new_hires_rate_pct,labor_unemp_job_openings_rate_pct,labor_unemp_quit_rate_pct,labor_unemp_layoff_rate_pct,labor_unemp_workshare_participants,labor_unemp_seasonal_adjustment_method,labor_unemp_pandemic_program_flag,labor_unemp_revisions_cycle_id,labor_unemp_data_source_agency,labor_unemp_publication_date
2019-08-25,LAUIN100050,4052107,3885566,166541,4.11,0.06,50899,31397,7529,7.53,5.5,1.76,4.78,14649,NONE,Y,RC2022_03,MOSPI,2023-03-28
2018-03-04,LAUIN100051,1094962,955355,139607,12.75,2.54,41748,173895,11602,3.11,9.34,3.04,6.29,16391,MOVING_AVG,Y,RC2023_04,ESIC,2023-07-10
2021-08-22,LAUIN100052,510543,470108,40435,7.92,7.94,117305,176211,7677,3.03,3.91,1.0,2.84,3105,TRAMO_SEATS,Y,RC2024_05,ESIC,2024-10-09
2023-03-26,LAUIN100053,2723446,2179847,543599,19.96,4.72,35569,296383,30775,7.71,4.55,3.99,5.21,1153,MOVING_AVG,N,RC2025_06,ESIC,2020-03-02
2020-05-24,LAUIN100054,1609015,1552217,56798,3.53,1.01,77419,133522,10302,1.43,9.3,3.83,3.77,18503,X13,Y,RC2020_07,LabourBureau,2019-01-20
2021-08-29,LAUIN100055,979513,964233,15280,1.56,8.35,93427,158268,23369,5.16,8.31,2.38,6.42,12763,X13,Y,RC2021_08,State_Lab_Department,2024-03-19
2022-02-27,LAUIN100056,2967246,2467859,499387,16.83,4.25,74899,173831,37066,5.3,7.69,2.26,6.24,12406,NONE,Y,RC2022_09,State_Lab_Department,2019-06-12
2024-05-19,LAUIN100057,5381050,5353607,27443,0.51,3.94,70221,339454,40019,4.04,8.03,5.98,6.39,17024,TRAMO_SEATS,Y,RC2023_10,CMIE,2021-05-06
2020-07-26,LAUIN100058,2851648,2440441,411207,14.42,3.87,3359,11833,8198,2.28,1.9,0.37,2.5,3363,MOVING_AVG,Y,RC2024_11,LabourBureau,2023-11-11
2020-06-21,LAUIN100059,3449461,3119693,329768,9.56,2.52,18857,82200,38252,7.94,3.52,1.49,6.16,13435,TRAMO_SEATS,Y,RC2025_12,EPFO,2020-10-24
2018-09-16,LAUIN100060,2750429,2474011,276418,10.05,9.81,60556,300982,13928,0.73,7.72,4.89,3.49,16871,TRAMO_SEATS,Y,RC2020_01,LabourBureau,2023-08-09
2022-12-25,LAUIN100061,4941170,4251877,689293,13.95,9.86,1027,341941,1698,4.27,6.71,4.44,0.58,6478,X13,Y,RC2021_02,EPFO,2023-10-24
2020-09-06,LAUIN100062,1059556,973521,86035,8.12,5.37,76898,215428,6817,6.97,9.64,0.81,4.1,2652,TRAMO_SEATS,Y,RC2022_03,MOSPI,2020-03-01
2018-11-11,LAUIN100063,1548941,1469481,79460,5.13,6.35,44237,346408,46107,5.35,6.48,3.44,1.64,8409,NONE,Y,RC2023_04,EPFO,2021-06-15
2023-08-20,LAUIN100064,121801,112947,8854,7.27,4.96,95874,261076,38021,5.63,2.16,4.93,5.55,4695,NONE,Y,RC2024_05,State_Lab_Department,2023-09-23
2020-05-31,LAUIN100065,2582154,2548845,33309,1.29,4.82,258,125481,41591,3.0,8.43,5.21,6.81,12969,MOVING_AVG,N,RC2025_06,ESIC,2020-06-11
2021-05-23,LAUIN100066,2322213,1893765,428448,18.45,4.98,38325,90898,37048,1.61,1.55,4.54,6.57,13190,NONE,N,RC2020_07,MOSPI,2025-03-28
2019-05-12,LAUIN100067,4289181,3521847,767334,17.89,4.58,45506,145743,47601,4.27,2.69,1.35,0.18,14550,TRAMO_SEATS,N,RC2021_08,CMIE,2023-08-30
2019-12-29,LAUIN100068,3458996,3133505,325491,9.41,2.61,56693,328148,28143,1.99,4.68,3.06,3.94,10132,NONE,Y,RC2022_09,CMIE,2020-12-21
2022-03-06,LAUIN100069,5507666,4659486,848180,15.4,3.68,108770,40916,33892,0.42,2.96,5.18,4.09,17137,TRAMO_SEATS,Y,RC2023_10,LabourBureau,2021-12-06
2018-12-09,LAUIN100070,5936439,5028164,908275,15.3,1.27,82680,45852,4636,6.23,7.42,0.85,4.66,16729,MOVING_AVG,N,RC2024_11,CMIE,2022-09-13
2020-10-25,LAUIN100071,2697496,2215724,481772,17.86,3.21,117705,347400,28767,2.73,6.06,0.71,6.91,7296,MOVING_AVG,N,RC2025_12,CMIE,2019-04-10
2021-04-11,LAUIN100072,5405743,4856520,549223,10.16,2.13,8486,143668,709,1.92,1.49,5.88,1.87,14783,MOVING_AVG,N,RC2020_01,ESIC,2020-09-15
2024-06-30,LAUIN100073,1833189,1514215,318974,17.4,6.78,47717,250020,7145,4.28,6.35,0.88,3.95,17121,MOVING_AVG,Y,RC2021_02,ESIC,2020-01-05
2019-05-19,LAUIN100074,5590138,5515790,74348,1.33,3.57,97742,255243,35215,7.82,4.79,4.61,1.09,5391,X13,Y,RC2022_03,ESIC,2025-06-21
2019-12-22,LAUIN100075,2138158,2053274,84884,3.97,5.75,71435,19526,46796,1.63,1.18,1.31,0.6,830,MOVING_AVG,N,RC2023_04,State_Lab_Department,2024-05-09
2019-04-07,LAUIN100076,5245547,4676406,569141,10.85,7.46,11915,69024,16632,5.02,4.06,2.65,0.5,4879,X13,Y,RC2024_05,State_Lab_Department,2020-03-01
2020-06-07,LAUIN100077,5883422,5467465,415957,7.07,3.06,8846,322925,45988,0.79,8.39,4.86,5.63,3362,NONE,N,RC2025_06,ESIC,2024-01-21
2022-01-09,LAUIN100078,4900077,4054814,845263,17.25,8.65,4666,325992,23137,6.04,8.54,0.32,6.69,4028,TRAMO_SEATS,Y,RC2020_07,ESIC,2024-08-12
2021-03-21,LAUIN100079,1127004,1001005,125999,11.18,8.95,5536,154471,5307,4.9,1.73,4.32,4.05,15413,TRAMO_SEATS,Y,RC2021_08,State_Lab_Department,2021-07-19
2018-04-22,LAUIN100080,2039229,1743745,295484,14.49,2.89,118236,187576,207,7.56,2.84,2.26,1.92,13470,MOVING_AVG,Y,RC2022_09,MOSPI,2024-06-27
2020-04-05,LAUIN100081,5069815,4771203,298612,5.89,4.01,116267,345656,3764,6.88,0.59,4.41,6.9,460,TRAMO_SEATS,N,RC2023_10,LabourBureau,2025-04-22
2022-12-11,LAUIN100082,5585685,4874628,711057,12.73,6.42,73859,63891,23360,4.26,2.19,2.82,0.69,6452,TRAMO_SEATS,N,RC2024_11,CMIE,2023-09-02
2023-03-26,LAUIN100083,2964752,2570144,394608,13.31,6.15,108027,289438,25789,4.38,4.59,1.61,6.4,515,MOVING_AVG,Y,RC2025_12,EPFO,2024-04-24
2021-10-10,LAUIN100084,829155,680986,148169,17.87,7.05,113098,203011,28581,7.14,0.7,4.12,4.52,14100,NONE,N,RC2020_01,LabourBureau,2020-12-07
2019-11-17,LAUIN100085,3561422,2870863,690559,19.39,6.01,114529,284345,30639,7.26,5.12,4.89,5.95,1570,X13,N,RC2021_02,State_Lab_Department,2021-02-24
2019-06-09,LAUIN100086,5624021,4994694,629327,11.19,6.56,44432,193215,44083,6.37,2.78,4.01,2.38,14698,TRAMO_SEATS,N,RC2022_03,State_Lab_Department,2021-03-16
2024-08-11,LAUIN100087,5425109,4726355,698754,12.88,4.07,96236,194534,22639,5.05,1.99,5.76,4.57,13688,MOVING_AVG,N,RC2023_04,EPFO,2020-08-31
2019-07-28,LAUIN100088,4042941,3556171,486770,12.04,3.72,70224,320137,10502,0.55,4.16,4.25,4.64,8219,X13,N,RC2024_05,State_Lab_Department,2024-11-19
2021-11-14,LAUIN100089,77309,74944,2365,3.06,0.32,92860,79924,7211,7.65,2.62,4.89,6.26,6465,MOVING_AVG,Y,RC2025_06,MOSPI,2024-06-26
2018-11-18,LAUIN100090,1706745,1381440,325305,19.06,2.97,87416,165671,38254,0.44,6.43,5.73,6.82,5785,MOVING_AVG,Y,RC2020_07,ESIC,2020-09-12
2023-05-28,LAUIN100091,5580686,4600160,980526,17.57,0.35,115201,85026,24650,4.0,7.6,0.36,6.54,10985,MOVING_AVG,N,RC2021_08,LabourBureau,2024-03-06
2022-08-07,LAUIN100092,1545964,1377609,168355,10.89,5.83,76422,218074,16611,1.77,5.67,3.18,4.18,11597,MOVING_AVG,Y,RC2022_09,MOSPI,2019-12-11
2023-10-15,LAUIN100093,2470213,2384744,85469,3.46,8.59,44992,60694,42499,2.61,8.84,1.75,5.24,3386,NONE,Y,RC2023_10,ESIC,2025-08-01
2022-08-07,LAUIN100094,1855993,1641626,214367,11.55,2.97,100076,229535,33346,7.59,1.73,0.6,1.93,18438,MOVING_AVG,N,RC2024_11,CMIE,2020-05-26
2021-10-31,LAUIN100095,1679423,1393754,285669,17.01,4.13,67473,348795,12722,5.67,8.65,0.8,3.95,15803,X13,N,RC2025_12,ESIC,2024-12-20
2018-07-22,LAUIN100096,424924,387829,37095,8.73,4.99,15279,284420,19530,3.36,8.07,5.29,0.09,14429,MOVING_AVG,Y,RC2020_01,MOSPI,2022-03-04
2024-03-17,LAUIN100097,4042154,3531226,510928,12.64,0.09,49221,32662,28328,3.85,4.64,3.2,6.67,19032,MOVING_AVG,N,RC2021_02,CMIE,2024-07-14
2022-10-23,LAUIN100098,5070062,4123482,946580,18.67,5.17,70280,80200,7283,1.76,4.63,3.58,2.43,14884,MOVING_AVG,N,RC2022_03,MOSPI,2023-11-04
2024-01-14,LAUIN100099,3996633,3679301,317332,7.94,5.8,37039,249101,11306,5.8,0.55,3.94,6.97,15330,TRAMO_SEATS,Y,RC2023_04,EPFO,2023-10-06
2019-06-09,LAUIN100100,1291017,1187349,103668,8.03,5.06,54879,342210,34285,4.24,3.47,3.98,3.49,13257,NONE,N,RC2024_05,State_Lab_Department,2019-08-30
2024-11-24,LAUIN100101,2677293,2454543,222750,8.32,7.19,25476,252178,8760,4.09,8.07,5.52,6.01,19591,MOVING_AVG,N,RC2025_06,ESIC,2020-07-10
2020-01-05,LAUIN100102,1807200,1682684,124516,6.89,5.8,49654,227812,30368,0.23,4.48,3.29,2.65,14217,TRAMO_SEATS,Y,RC2020_07,State_Lab_Department,2020-01-04
2024-08-18,LAUIN100103,4105098,3794343,310755,7.57,8.11,117686,96032,3214,3.4,2.22,3.75,2.93,4801,MOVING_AVG,Y,RC2021_08,EPFO,2020-08-31
2018-01-07,LAUIN100104,1816186,1538855,277331,15.27,7.38,58507,333420,8470,1.88,6.16,4.08,4.38,12910,TRAMO_SEATS,N,RC2022_09,CMIE,2025-09-28
2023-10-15,LAUIN100105,187821,165846,21975,11.7,0.77,14702,210060,15395,2.97,5.0,4.59,1.4,10684,X13,Y,RC2023_10,State_Lab_Department,2022-05-23
2023-11-26,LAUIN100106,4115491,3815061,300430,7.3,9.49,19383,70515,11367,3.07,9.57,5.85,3.55,18912,X13,Y,RC2024_11,State_Lab_Department,2024-12-27
2023-08-20,LAUIN100107,2024847,1902952,121895,6.02,9.38,96183,136851,28138,4.12,3.34,2.28,4.43,7176,MOVING_AVG,N,RC2025_12,LabourBureau,2024-03-20
2024-09-29,LAUIN100108,645762,556970,88792,13.75,1.05,100229,284754,39457,6.08,3.66,5.58,4.51,847,TRAMO_SEATS,N,RC2020_01,MOSPI,2020-10-18
2023-12-24,LAUIN100109,3709050,2979109,729941,19.68,8.23,52157,69919,25795,6.05,6.31,1.32,0.12,8870,MOVING_AVG,Y,RC2021_02,ESIC,2020-10-15
2020-12-13,LAUIN100110,1354087,1099925,254162,18.77,0.7,55364,317167,48597,4.45,4.81,2.13,0.56,6455,TRAMO_SEATS,Y,RC2022_03,ESIC,2025-03-19
2019-09-22,LAUIN100111,1400634,1227236,173398,12.38,6.33,42009,237765,49359,0.97,5.94,3.15,1.61,11837,TRAMO_SEATS,N,RC2023_04,State_Lab_Department,2024-03-02
2021-01-10,LAUIN100112,312832,254270,58562,18.72,0.3,74106,209402,33902,5.54,9.39,1.15,2.5,6143,NONE,Y,RC2024_05,State_Lab_Department,2025-06-18
2022-09-11,LAUIN100113,1323681,1191181,132500,10.01,2.63,54022,293428,49834,2.6,9.78,1.12,2.94,355,X13,N,RC2025_06,CMIE,2021-10-15
2020-08-16,LAUIN100114,2750624,2596314,154310,5.61,5.42,37250,118065,33070,1.32,8.31,3.19,5.58,15330,X13,Y,RC2020_07,State_Lab_Department,2019-06-23
2022-03-13,LAUIN100115,3021045,2830418,190627,6.31,7.33,59397,132053,29568,5.78,1.69,1.59,6.55,7050,MOVING_AVG,Y,RC2021_08,EPFO,2025-06-04
2021-03-28,LAUIN100116,481706,411377,70329,14.6,2.9,70780,235961,14125,0.75,4.01,3.36,1.73,8978,X13,N,RC2022_09,MOSPI,2024-04-23
2023-03-19,LAUIN100117,621416,617067,4349,0.7,6.77,92002,203660,35826,7.55,6.55,3.9,0.84,13978,MOVING_AVG,N,RC2023_10,MOSPI,2025-02-26
2019-03-03,LAUIN100118,4809353,4518388,290965,6.05,2.62,25802,273720,18763,3.56,9.99,2.04,3.79,8084,X13,Y,RC2024_11,State_Lab_Department,2021-11-15
2019-09-15,LAUIN100119,992208,928410,63798,6.43,5.71,114825,137472,17461,2.42,3.61,3.87,6.35,5630,MOVING_AVG,Y,RC2025_12,LabourBureau,2025-02-07
2020-02-23,LAUIN100120,341525,297127,44398,13.0,5.38,52923,225069,35133,2.56,8.65,5.99,5.6,10523,X13,Y,RC2020_01,EPFO,2022-07-31
2020-12-27,LAUIN100121,938755,753258,185497,19.76,0.57,24131,4706,5998,1.48,1.16,2.66,1.32,7624,NONE,Y,RC2021_02,ESIC,2020-10-20
2019-08-04,LAUIN100122,131560,109274,22286,16.94,5.97,100870,228711,27701,1.88,9.99,5.5,5.65,8445,TRAMO_SEATS,N,RC2022_03,EPFO,2019-11-01
2024-05-12,LAUIN100123,4462555,3650370,812185,18.2,6.15,95260,183600,17392,1.19,8.3,1.63,4.92,19245,NONE,Y,RC2023_04,EPFO,2024-04-18
2022-04-03,LAUIN100124,535315,460425,74890,13.99,6.51,112808,116516,33324,2.93,5.05,3.9,4.55,14161,NONE,Y,RC2024_05,LabourBureau,2020-08-29
2020-06-07,LAUIN100125,3694477,3416653,277824,7.52,0.61,20436,37925,42419,6.25,7.57,5.09,6.73,10290,MOVING_AVG,N,RC2025_06,LabourBureau,2021-02-21
2021-10-03,LAUIN100126,3237693,3054440,183253,5.66,7.0,39978,281320,12578,6.97,6.5,2.38,5.28,7241,MOVING_AVG,Y,RC2020_07,MOSPI,2022-11-10
2022-12-18,LAUIN100127,3578824,2950025,628799,17.57,4.73,103972,258835,3272,7.82,7.74,2.68,4.26,2287,X13,N,RC2021_08,CMIE,2020-10-19
2018-12-02,LAUIN100128,1524474,1311810,212664,13.95,9.56,112272,216995,26149,6.65,9.96,2.88,3.88,12455,NONE,N,RC2022_09,EPFO,2023-07-23
2018-03-04,LAUIN100129,3477522,3421534,55988,1.61,4.65,42041,132026,455,0.75,6.81,1.96,5.07,813,X13,Y,RC2023_10,LabourBureau,2024-07-25
2024-10-27,LAUIN100130,1777974,1574041,203933,11.47,6.9,86092,304906,47034,7.02,5.63,4.13,1.79,18302,NONE,Y,RC2024_11,State_Lab_Department,2019-11-06
2023-08-20,LAUIN100131,3738999,3676558,62441,1.67,2.78,20378,130173,49937,3.15,9.9,2.86,6.78,13363,TRAMO_SEATS,N,RC2025_12,CMIE,2025-04-02
2020-09-13,LAUIN100132,1182218,1143324,38894,3.29,4.23,99924,257979,48007,5.45,8.27,1.57,3.03,16982,MOVING_AVG,N,RC2020_01,EPFO,2023-04-21
2022-04-03,LAUIN100133,3603415,3580714,22701,0.63,4.35,72158,185830,6144,7.58,0.41,2.16,6.15,7839,X13,Y,RC2021_02,State_Lab_Department,2025-06-15
2019-12-15,LAUIN100134,5461373,4962750,498623,9.13,5.11,102001,80615,3228,2.09,2.13,4.62,4.36,13375,NONE,Y,RC2022_03,EPFO,2025-08-30
2022-03-13,LAUIN100135,2027584,1842872,184712,9.11,4.83,111816,345909,28137,4.88,7.24,2.2,6.85,18597,NONE,Y,RC2023_04,MOSPI,2019-12-08
2023-03-12,LAUIN100136,3052808,2691356,361452,11.84,2.73,110891,268668,35656,0.1,8.76,1.07,6.65,7983,TRAMO_SEATS,Y,RC2024_05,EPFO,2023-05-05
2024-02-04,LAUIN100137,5179523,4759464,420059,8.11,7.62,115216,259350,46605,1.31,8.18,2.36,6.47,11309,X13,Y,RC2025_06,ESIC,2023-11-20
2021-10-17,LAUIN100138,3418533,3048648,369885,10.82,9.98,41995,231327,20717,3.36,6.49,3.58,5.29,7232,NONE,Y,RC2020_07,ESIC,2020-06-19
2019-09-22,LAUIN100139,4002995,3265244,737751,18.43,0.16,7397,85148,34628,4.75,2.01,3.25,0.88,1459,MOVING_AVG,Y,RC2021_08,LabourBureau,2022-04-23
2023-08-20,LAUIN100140,5530803,4727731,803072,14.52,8.29,35417,322001,33053,3.8,6.22,4.09,3.69,7807,MOVING_AVG,Y,RC2022_09,EPFO,2019-06-13
2024-07-14,LAUIN100141,3523286,3051519,471767,13.39,9.05,116015,104731,30449,5.71,8.73,1.12,4.82,7098,TRAMO_SEATS,N,RC2023_10,State_Lab_Department,2024-01-09
2022-03-13,LAUIN100142,5520124,5293247,226877,4.11,6.7,67558,123297,24540,2.6,8.04,5.81,0.21,1835,NONE,Y,RC2024_11,ESIC,2021-03-28
2021-05-16,LAUIN100143,5619251,5476523,142728,2.54,9.66,107998,227949,40993,0.55,2.06,0.93,1.38,5448,X13,N,RC2025_12,MOSPI,2019-08-11
2024-09-01,LAUIN100144,4660912,3954318,706594,15.16,9.74,71521,105820,48439,7.79,9.53,0.55,1.66,16989,X13,N,RC2020_01,State_Lab_Department,2020-04-20
