edu_finance_fiscal_year,edu_finance_lea_id,edu_finance_revenue_local,edu_finance_revenue_state,edu_finance_revenue_federal,edu_finance_expenditure_instruction,edu_finance_expenditure_support_services,edu_finance_expenditure_capital,edu_finance_expenditure_debt_service,edu_finance_teacher_salary_average,edu_finance_administrator_salary_average,edu_finance_benefits_cost_total,edu_finance_facility_condition_index,edu_finance_technology_spend_per_student,edu_finance_transport_spend_per_student,edu_finance_special_ed_spend_share_pct,edu_finance_ell_program_spend_share_pct,edu_finance_fund_balance_end_year,edu_finance_pension_liability_estimate,edu_finance_audit_finding_count
2024,LEA100021,1176724763,770576556,1258179331,3206103064,533303826,1285050073,727094081,82160,138712,746290442,0.83,221,2308,12.49,10.02,544246123,856113139,1
2010,LEA100022,268662274,447148303,507838629,2856728691,2182341698,741113265,807211275,99825,93253,150343652,0.257,58,1535,21.31,9.48,1117739770,2234012608,2
2022,LEA100023,2575220055,1981825571,1050901120,4604799259,2616862466,1222042808,788778636,51041,104933,355187486,0.906,1849,487,21.89,14.15,1112294768,148357305,5
2016,LEA100024,1932903832,5696194372,647847052,4165147969,77920898,963863091,160831787,69506,152060,890619723,0.237,1404,324,24.78,16.13,396612125,427611864,1
2015,LEA100025,2913036936,2898883538,1123828066,271305627,755110343,382555285,52386023,80218,171751,1628706280,0.416,1370,1788,24.14,5.25,1004045428,1185694181,3
2016,LEA100026,2854049711,4439543328,1471167196,4365576603,1018728714,998494318,36493191,41720,130393,2204263943,0.244,2084,76,25.45,15.14,793431685,1070487040,3
2014,LEA100027,361110517,1497961664,1279199579,2253820782,1037154385,1630772734,187377709,65254,145476,684039300,0.717,650,1614,15.93,10.11,915241075,3040440388,10
2011,LEA100028,2667602857,4387271381,1017818826,1988364056,2417250139,562115757,622867752,88733,88095,160465455,0.724,626,487,13.54,15.57,353064010,1869111906,8
2024,LEA100029,1807943449,697862027,761466573,869700807,2409922163,1263564671,834540702,96995,65541,304863157,0.441,955,1092,18.16,14.84,1009437335,2600349608,11
2020,LEA100030,707313753,2429854723,654993687,4473090838,115616634,494344261,845215605,59827,125069,1359461487,0.741,776,606,24.03,7.94,586896853,1725521446,2
2023,LEA100031,2989953669,636168973,688666788,816021752,3183749148,1333663345,314947455,68334,174248,1681920423,0.235,196,1994,10.45,13.22,754090796,2455456234,12
2017,LEA100032,2147266397,5533237823,1233241156,2871839773,1769682752,1163237542,551584305,72454,83274,1145775988,0.393,1034,426,8.25,17.86,672511580,2672370860,13
2013,LEA100033,1169132181,1006260835,808807575,6119076302,1445983598,1409443904,488937987,55034,136089,2082547678,0.43,1361,907,26.32,16.64,974138847,1517642356,11
2017,LEA100034,3076734548,1856511058,132144582,66080309,1266826373,1355381621,653834705,76154,112390,2105936420,0.449,250,513,18.22,1.0,576888766,2306393339,0
2024,LEA100035,2952726611,5162960969,30168928,3871435152,1158240520,1054527119,74970853,78072,158921,80021782,0.981,624,306,14.59,17.89,101655685,3343913248,12
2020,LEA100036,185188986,917070383,484867441,5660691485,366663970,294526113,764079689,74804,65701,146550864,0.203,559,2272,7.67,16.02,437434119,761486140,12
2012,LEA100037,1407588775,266131964,1027703781,757176001,501954192,82648695,284068670,81521,169135,1145706343,0.731,948,452,18.51,4.5,1001902612,1923116973,9
2021,LEA100038,3189561744,3234227162,385302182,2581887989,3195378093,1427439764,760632692,57116,124641,241865092,0.661,1826,308,19.26,1.93,1067290950,1391508543,7
2009,LEA100039,2753689228,452331886,1031529709,3579217406,1293292940,664303909,773202137,47330,115729,333949893,0.498,1822,2621,9.05,8.32,645979710,1076083044,9
2021,LEA100040,482995768,4851546630,719762966,5382424688,2728439368,1019425703,259653095,59658,112680,976848475,0.346,1989,1196,23.8,13.38,221472178,252039416,5
2019,LEA100041,2908003765,4396992850,882120077,1448028208,2188681257,902348422,397286291,56389,92555,1377515943,0.473,1310,1597,13.45,7.35,722146210,1533206658,0
2014,LEA100042,1953225323,2167737095,1414990152,4917324783,1729128009,1314122981,284667678,91415,176855,2053879073,0.373,1361,211,11.19,14.24,630095273,672209126,6
2018,LEA100043,1558675019,165974585,993327361,1086462182,1944336739,1011141333,157652607,54296,107816,1123297900,0.982,2118,1873,18.08,1.38,248337823,1873887381,5
2016,LEA100044,946431350,4731918729,258304054,973655058,9325933,337395552,135304799,69264,127701,1426126327,0.278,2152,2396,12.44,8.7,51708226,2967205060,3
2022,LEA100045,29091712,1870009871,166581375,658513516,1622657661,1634674812,850930076,96098,84331,2349430584,0.986,624,2327,20.34,0.91,113916301,681476871,5
2009,LEA100046,1995282634,3958444738,732819760,152382591,1446640600,513012892,797755008,91302,132970,2278112586,0.851,1551,2638,19.58,0.23,480894775,1185187719,9
2016,LEA100047,2729120284,879589603,1180796252,467414109,859372622,455500634,624971280,78005,100366,1125517988,0.256,673,780,22.42,1.01,77892862,2068850372,4
2022,LEA100048,1174926845,2700900043,536865192,265810192,2209543102,1102136975,284837328,72854,177597,487519710,0.706,720,1834,25.96,11.14,500263452,1728062379,10
2023,LEA100049,672005487,4803651699,1160357642,2450633111,1316877121,108543392,876956121,42358,58884,2289903469,0.94,787,1648,15.51,9.59,517255326,3353402245,3
2022,LEA100050,2072321176,342507397,1071194775,2796097861,2874976213,493751728,386570567,88333,68947,230073691,0.695,1188,1799,12.96,5.97,1170076670,1144771469,9
2014,LEA100051,1184524163,2083671580,93074509,5855675916,2030325611,153194111,148682272,90458,120496,1314434182,0.387,300,488,23.33,13.93,490491560,3036950445,2
2023,LEA100052,761629666,1103153088,149942023,2106822310,2861984994,1129392329,708632202,84836,111283,1370186567,0.27,1454,2474,24.5,6.99,939195559,765035782,10
2019,LEA100053,1934460869,360100251,470805482,2773652416,1581072219,931596559,231262687,76581,158201,1869532931,0.717,1569,839,13.52,5.45,223862573,3233528786,3
2025,LEA100054,204690461,5142823699,301944852,5024838112,1488797069,193427324,799346265,87825,70948,2399749622,0.804,690,1501,20.69,8.11,27104710,1986585343,9
2012,LEA100055,1695689147,1618479419,421713799,1793804965,2954355996,426649114,471624378,72661,68667,1378503267,0.269,438,2741,11.71,14.73,326268052,1575595468,8
2010,LEA100056,3029548915,3292244787,1391651514,1485906189,1567712297,99475694,438104714,39224,181883,2341046272,0.263,1294,570,21.05,0.48,710594983,2728591587,7
2009,LEA100057,2682190117,3037689351,1251360228,1417927615,766490542,1349421480,655768579,47994,138825,570772234,0.661,398,1589,23.64,5.75,809194805,1545072076,11
2018,LEA100058,2700578907,3873351895,977965799,4322069482,492801023,278959032,81330364,94385,179033,1282133357,0.931,1349,1147,14.39,11.04,314958011,1317621399,5
2010,LEA100059,3079836938,992577126,146523366,5363705600,1449283302,263289964,86377845,63173,80995,1567176194,0.292,1592,556,9.19,14.34,331449101,301647026,5
2024,LEA100060,51000376,2004509916,1181817059,3569648024,2317696076,183919909,240101084,62450,115110,2399586467,0.642,162,1169,26.23,12.16,130326179,1688545043,5
2013,LEA100061,1139149103,1562765895,1039619674,4924215784,2736890320,114865217,4101377,61980,90373,2298798020,0.656,327,787,11.61,17.53,993465545,1793983441,4
2012,LEA100062,1953561454,5001154372,1171809379,2082381056,2003118230,73449966,369025576,73751,89051,1819117243,0.468,1785,222,17.66,0.33,10358345,3084539455,13
2017,LEA100063,449825420,2656080713,593107051,1544786650,2513587581,1290468446,303608591,79529,174306,999545633,0.381,624,1868,25.75,4.44,995886293,554840597,9
2008,LEA100064,629309185,2154441951,1162659768,5852641198,1062464690,740668958,662728325,79751,171270,1778784672,0.658,1269,1649,13.98,7.18,318356105,3173151421,3
2018,LEA100065,2344443416,3086267251,1476651077,4901659339,3175460857,1190792534,445420917,53402,56775,1560205633,0.992,1925,2223,26.05,0.37,62282343,984599414,2
2011,LEA100066,2334885409,1221991258,207237464,2383908630,911683019,498137162,649208838,71574,130010,770988634,0.44,695,1183,21.74,15.7,690993011,3323474467,10
2017,LEA100067,1887241601,2145700491,772356789,5482019659,436796562,998441464,733670374,43825,149533,1402667480,0.208,1710,2639,24.0,14.85,878591562,2699329422,0
2024,LEA100068,973800172,2470649318,903468504,3090042475,351613892,256771901,497908155,98915,182867,1904596246,0.963,1043,1711,26.66,7.07,546665112,2126982748,10
2011,LEA100069,2702754587,709456912,1304224761,3496081081,1090674444,825505482,863788322,56908,122166,91511869,0.965,437,2444,20.53,3.77,570754195,654274375,8
2011,LEA100070,1297225637,2231229202,197129174,2970484508,569606270,897998117,213600473,52802,110824,1868797103,0.267,974,1950,17.18,17.65,1115879283,287428144,0
2009,LEA100071,1303913190,5613650430,1105202405,5796504289,2785838850,333319675,148664292,97924,152636,1973289734,0.567,444,1731,22.33,0.99,673750176,944612684,3
2017,LEA100072,230222236,3921887519,592227897,6161723088,1581610553,980342968,687028594,98098,168771,2316041667,0.458,1461,2217,18.53,9.91,397125844,1008112590,1
2013,LEA100073,2924722648,233829961,1141166734,1896617794,1546405681,1483561929,870068583,99603,71036,2271716457,0.517,800,1814,21.44,17.46,1187306371,1493166686,12
2012,LEA100074,1485774888,562035890,1129238832,2871436771,490068042,816155543,605627022,76222,87601,1416466629,0.381,1389,1038,14.93,1.23,856673319,3352192103,7
2017,LEA100075,2467935855,5512682881,917797053,1505664847,447791784,1297932628,46789057,44125,60960,1369669961,0.323,1398,1887,10.1,0.62,676544373,2105974003,9
2013,LEA100076,2344351091,4632677957,497216975,4706327521,194803391,564063165,348386078,74625,122462,931211924,0.476,1868,328,22.79,8.33,134998733,2272247194,5
2019,LEA100077,2888213737,786149393,266614659,5104529454,1356185634,1042557131,205005274,43682,89784,570254619,0.245,395,2300,23.25,13.37,359460774,1012714239,7
2011,LEA100078,785930448,5067165574,1032325524,1148917766,407064038,1027370221,552463809,50116,183968,1528596890,0.948,813,549,22.17,7.26,903850784,3492245511,12
2014,LEA100079,2869023622,281768931,978095680,3550095700,568824054,542450608,641964585,94482,88511,254416935,0.329,1488,2523,25.0,0.95,149344649,3362839889,8
2020,LEA100080,2123936848,2099304967,1406030829,2109917427,1778334463,1013807322,82077828,51745,92266,1867847437,0.551,546,2015,8.88,17.37,501347779,2637131985,9
2025,LEA100081,2206762974,316162581,344728309,2020718415,691757199,1195169335,478994076,68452,122228,1682119608,0.987,1133,2479,13.91,5.14,662753091,3113651655,11
2013,LEA100082,638445091,5558915437,1433839233,1700228046,3059912042,811189955,749620290,96671,114013,1488805035,0.913,2032,2062,26.83,15.5,506036313,1869000668,5
2024,LEA100083,518774204,2402813456,1108734305,1641728270,1171322520,333700258,817219250,78452,141869,1346751579,0.848,2026,2097,10.36,14.2,267374780,2453443783,4
2020,LEA100084,900424076,3770245955,183791267,425586614,2354147180,1729417756,402891400,80680,131184,1398510816,0.571,954,1607,18.69,17.6,1011355076,1101561495,6
2011,LEA100085,1057935403,5062499907,997306364,5505441756,355037872,1027238501,272105675,47922,122483,113971333,0.307,769,1475,24.74,13.85,18931987,2038847924,1
2023,LEA100086,1190489640,5515391173,1166540876,2977928660,1554104426,1577045751,794512605,44582,182743,1619162511,0.3,1077,541,17.79,11.85,703817965,2147320875,10
2016,LEA100087,612112304,4662014412,1472686276,5010573298,1032280290,1425463319,96065712,85397,152221,180792478,0.954,2172,307,8.32,11.31,474834582,3119287644,7
2011,LEA100088,2769561704,88272820,745540291,3508045281,2131464837,1736739728,648474568,63794,138261,1284789288,0.412,1510,1125,14.96,11.34,871850009,583890837,9
2011,LEA100089,442667372,715042342,1262584531,1802692132,2423284445,931561200,600483471,63941,184651,1567473774,0.661,52,550,7.94,5.39,674700659,380194819,1
2013,LEA100090,1091617585,819477106,806311528,2482719292,1867030174,606452435,545520947,52492,131478,217044909,0.207,408,468,10.4,14.88,968667142,3320861045,7
2018,LEA100091,3123285730,5618316258,24955908,953973095,1626671282,1384788102,376445672,41817,64542,1010721808,0.75,85,549,7.35,17.13,336582483,1105031805,2
2008,LEA100092,2560355759,4368882084,244117006,3666265854,1998404742,687882801,234878567,73639,135127,1913551921,0.561,1235,390,23.3,9.53,581287181,489358095,3
2016,LEA100093,2151806094,113573060,1129098226,1500996350,2765670831,227421779,648939961,71913,183563,168426222,0.555,2112,919,10.38,10.68,361840329,480410763,6
2011,LEA100094,30075256,1711821751,975740985,4797486516,1950669604,941811449,662310115,59414,118149,2162515337,0.332,1350,2251,27.62,0.62,921769948,1983755434,2
2020,LEA100095,1091619763,2488959217,218106997,3795732416,247189939,631819553,72022177,50264,91409,2121973266,0.719,2195,1424,21.66,4.18,1167409846,1352850441,9
2012,LEA100096,2961123920,1400617489,547879347,1748320850,2661337148,693670031,652937933,61349,62050,834563885,0.403,1779,627,9.86,7.98,1181915042,2299599981,11
2020,LEA100097,3020055812,3390208878,13134225,2312632974,1385176438,867348654,485186846,59996,176794,972385608,0.438,57,1342,13.59,1.26,858072277,324477281,8
2016,LEA100098,496494255,1315652451,1393948398,3896945950,2670643453,1131592870,5812808,62441,100639,2176398045,0.642,1190,1375,7.54,8.56,506027415,1735446740,0
2022,LEA100099,3008197481,751141224,1197265077,3295676309,2456885610,90739151,80939395,99910,130675,1300298719,0.801,682,2119,26.18,8.73,939407434,1470317868,1
2017,LEA100100,2596383563,5688130634,700840178,349292318,1745688363,547101040,421112146,57420,72534,62630307,0.258,1708,1562,10.42,3.72,281467092,2840015716,2
2016,LEA100101,725054620,790287169,296888510,5765894155,131594282,1789096605,747598506,76662,122105,1270732058,0.2,631,1924,24.14,4.31,690894132,1261237697,13
2009,LEA100102,2957318238,4212733374,1452585830,4322504282,379184892,1238761225,642786679,58155,150580,207609880,0.427,1156,1753,11.53,9.87,85779020,1471831072,2
2016,LEA100103,538995759,938486697,727327207,401398162,633453498,1351592871,272362957,88990,86184,1524770705,0.977,1223,1414,27.37,17.99,1019367263,1965407390,9
2020,LEA100104,3094316559,3663480644,500216008,2577069869,1536596362,1089667047,822413420,96927,85756,1016315219,0.929,859,2387,16.37,5.25,1174889556,1798278467,4
2020,LEA100105,1162600505,5367573406,454976754,1603502085,592579649,70959956,415008454,65560,152526,90025455,0.415,2040,2291,27.82,8.24,237815685,1530495201,9
2018,LEA100106,714601469,1166203326,935210726,756674344,1515393500,542122530,98663074,39612,131875,317573270,0.755,1504,2557,22.75,9.84,1484903,2724368194,0
2025,LEA100107,489005162,5450593285,240174532,2227409509,1304557987,1451881576,115750598,56370,60769,596462868,0.924,515,291,8.86,4.5,365355818,2448060227,13
2012,LEA100108,1330132530,2866742220,299487610,4131057118,317190786,1250068589,183596370,86858,82742,355903483,0.294,2099,106,26.72,10.01,507312834,2799978369,10
2012,LEA100109,779695644,1406660405,1107255249,5586698620,2440642728,1475290332,110141775,70742,141360,2251743546,0.549,2025,978,19.0,6.3,83731121,3220426410,0
2015,LEA100110,2823938500,5111685928,206420082,5279222026,3121640190,994319685,590959382,95551,105307,1677233959,0.225,1246,2116,20.81,1.16,406447409,731426884,11
2025,LEA100111,667150695,3850554079,587966409,1729685758,779525393,56761137,595916642,56558,84390,1576829580,0.515,454,189,22.8,8.18,1068489617,638328897,7
2008,LEA100112,178063961,3869164559,442808833,1295283563,3100036628,383001216,857387408,81184,70246,633061255,0.651,1368,822,27.13,10.85,213830853,3075631157,6
2016,LEA100113,1946719547,2019222426,204057040,5367848889,2130482540,459611570,659201604,75033,174230,1329845881,0.262,1514,487,20.33,1.48,-6381238,2315920955,12
2016,LEA100114,134145246,3570184526,1372702369,496773035,1118474279,1574197830,740722879,92048,111554,833603787,0.254,1212,2103,9.24,0.83,133618408,625050013,3
2017,LEA100115,649973901,4124383212,161196135,3441800978,892310121,1668216371,77054261,83919,129768,708134614,0.715,1228,1632,8.94,1.08,472413364,2989688816,13
2009,LEA100116,2532424316,319914015,1003343124,4327208385,1362248231,182148266,226482336,67694,108707,491476613,0.456,1640,2357,11.64,4.82,753389441,3299670130,1
2022,LEA100117,753353653,3291823242,655896174,1774094031,1373130119,680967449,450800552,73207,113782,58989417,0.98,1839,1963,27.01,8.67,1173855176,2172493667,6
2020,LEA100118,1725865356,1379463043,695052832,2755357785,1275183300,1118815050,106233177,40030,86326,462864705,0.718,1961,604,11.76,16.32,166212561,2978427597,13
2024,LEA100119,2942782311,4690244041,308652757,1566705515,1108241108,1632643185,708012459,83866,115370,175591534,0.74,922,1937,22.86,9.21,37488485,112522430,11
2015,LEA100120,196804922,2668713649,1129902520,3546562917,306363466,1250312422,210039933,90957,184347,157197038,0.4,602,1842,20.97,11.52,385521683,2368167994,6
2012,LEA100121,1004257578,22092718,90062826,1556816701,3195886146,220784437,673178581,90170,66000,429292352,0.837,527,1067,13.46,17.91,1366869,2826440256,10
2017,LEA100122,393491561,1719789382,278685185,2805875649,1118934856,1747077715,118121225,78729,94637,1850614747,0.451,1007,2184,18.26,12.18,290137896,265396895,10
2009,LEA100123,2250914664,311548510,930801636,5163736266,2011737466,157649430,197109682,70615,144327,1057280024,0.526,1768,2790,13.95,14.07,1125695216,3402979290,13
2018,LEA100124,1709309635,4637830048,48002393,23585785,2791494381,1169200144,554305198,65684,159188,339369880,0.208,2046,460,20.51,1.04,637262179,160305,4
2016,LEA100125,3163528399,1963197905,651127629,5605239690,2365862473,28851752,330547182,97243,72316,1704374561,0.828,841,2310,8.79,2.77,962061493,2719686965,12
2019,LEA100126,2658321795,333979311,861269099,846346316,2242429983,89811605,727772659,81677,104434,1869188978,0.668,831,1826,8.66,5.0,335971111,1094599509,8
2013,LEA100127,1815366057,5325114825,321983650,5524816537,941666647,294728089,577288301,39076,59317,559082628,0.255,2004,2005,12.41,14.94,566572205,317296600,0
2010,LEA100128,2943360591,2612117084,587456626,5538790479,2468080538,1119276717,132689107,75659,121142,1270978514,0.343,1607,812,24.79,10.98,528391475,1160467673,7
2025,LEA100129,1123545808,3680561396,521085588,3740571568,647230917,110011670,786337390,67321,142933,1030022042,0.279,1029,2716,10.07,15.7,338932399,478108965,10
2024,LEA100130,3114154021,1806430873,310679960,1612770331,2200100250,91163008,532916977,97343,79680,1255982165,0.565,1579,1059,16.41,6.66,34536164,3245125362,3
2010,LEA100131,1327606178,1140323705,766901633,1928980682,2191705196,1713418046,249826138,88819,182015,1941871464,0.795,733,1235,9.06,15.1,-15649492,2386734843,13
2015,LEA100132,3175190353,2449538318,885608117,1970928217,1838956826,639920117,257463197,61909,142258,2191023603,0.588,1312,1528,23.82,3.95,180873191,2053987104,9
2022,LEA100133,621640167,2106117620,1080586157,5411211433,519443426,146114408,114912387,56476,174220,306752533,0.758,1032,206,8.35,7.79,260137414,1884927221,0
2008,LEA100134,2620113535,917596377,1490856727,5143165603,1384783160,1524404948,605200290,69102,88766,2081021779,0.99,1023,2011,13.74,12.49,98379405,2548677469,5
2023,LEA100135,48302540,1742193194,1384314678,5961619880,657919703,291029426,297754780,65835,124582,997899824,0.602,718,341,20.42,4.22,688054443,362725775,11
2018,LEA100136,2580417363,3149272077,734729571,6153701146,1560947071,1059310892,842831561,50505,70835,2175152860,0.318,739,412,18.22,4.03,58185235,3231304918,5
2012,LEA100137,997806200,5406450741,587798852,4991623958,2987349975,970520830,826880066,94983,65356,1635143204,0.772,456,1605,27.81,14.3,57102874,127032422,0
2009,LEA100138,1868144208,2999907102,781226524,2790751403,1254547890,1694438525,761402574,63264,157837,309246150,0.546,1542,2040,18.84,6.26,92933734,219058872,11
2016,LEA100139,2811294535,5635998461,1276353500,3049150203,1052251563,97940041,754968364,52830,124326,2356882447,0.378,2024,1928,24.82,2.32,1030130238,3384961080,5
2017,LEA100140,370133600,277094520,1075573095,99150501,16513274,1773554951,184153385,84244,132638,370214872,0.513,1961,1747,9.21,5.45,595100335,167232571,3
2025,LEA100141,1195638968,3997595238,1183581382,2599380175,1044240753,92415666,547845228,70122,146209,1630802216,0.916,1299,39,18.37,17.9,1031986057,774361415,9
2016,LEA100142,1206838431,4627401541,84062946,5032797485,242024424,714765995,431038906,56747,180644,2146030198,0.29,1989,2321,9.25,0.49,473679585,2278658720,0
2019,LEA100143,2519281030,896704217,908781951,6092782487,2026888115,254410368,282791686,71493,128039,978913182,0.982,1301,902,22.35,7.38,155269349,471217741,0
2016,LEA100144,2522881436,2090269848,118319966,2049211391,2181804945,637710260,362583811,68053,98877,2172034199,0.51,2186,2486,19.19,5.83,146685874,2395283192,1
2023,LEA100145,1490516478,1927615937,681658394,3895716398,1318157693,980092898,727130682,56635,61219,2188256608,0.392,309,796,24.81,2.4,1168479454,870920651,5
2008,LEA100146,2164606768,3195447656,1171288896,1469199333,338481890,1039917369,609130042,101630,75832,2165315627,0.302,602,2318,26.35,13.16,414334431,38986949,11
2023,LEA100147,886495940,4269753779,746040547,3988524726,2437702940,1158249921,834937266,54064,68566,2114788770,0.989,707,768,25.25,15.85,219968784,1242997089,0
2022,LEA100148,1510258270,314566247,772701803,1040938075,1819926841,894055145,126022272,48127,172933,430376666,0.277,1560,2623,25.29,15.1,310458385,1827988017,11
2019,LEA100149,1335609028,5224254134,521156168,429418175,1194352285,1516019253,607460157,40798,128694,2095864285,0.598,1624,315,26.54,12.37,319892541,975589185,0
2011,LEA100150,1359960873,5476693264,1391894071,3736855880,2969330238,525898561,68103537,60336,174236,332712507,0.869,253,2350,16.99,8.26,813591211,647321593,4
2011,LEA100151,1063756269,4406254713,318840777,988959026,1425728812,175056903,352341481,93870,63994,452687194,0.331,1857,400,18.97,8.94,72656342,3401354003,12
2025,LEA100152,1224967342,3294158604,146208078,1652769870,439793800,473032501,5683730,53078,142467,1860519731,0.754,1795,1835,19.42,5.88,982222890,552066986,6
2022,LEA100153,1263335780,1925327945,756443853,2564103040,1964190544,625618290,844939822,86009,107219,1484643338,0.735,1711,1891,10.23,14.29,418571122,3374093327,2
2025,LEA100154,859980213,4479411397,147986622,1494527361,2328893463,1309186590,807442927,67954,63903,1342519827,0.826,1848,1201,11.72,17.38,631635354,27046089,1
2018,LEA100155,2604607007,3349288642,407318947,3003595868,2516614476,992758752,625241291,74865,123389,1982890050,0.653,2007,1905,26.6,7.78,747655336,689256897,8
2010,LEA100156,100667947,3186838307,163258623,1456516880,1496455842,1662929545,859811835,50969,76799,1415993804,0.771,305,517,27.21,4.33,10096267,487540189,6
2012,LEA100157,1066066008,5264334312,607756730,2985314208,1015180077,1221239862,458399577,63879,89969,2048064109,0.655,2191,1429,25.79,0.19,577874755,104338132,5
2009,LEA100158,2433944335,2186268166,233903364,1112780851,974757673,1068673100,519993914,84385,119691,516666751,0.443,734,1228,24.86,17.84,234375420,3230625677,10
2025,LEA100159,178154133,1069809482,1141662806,3445741469,1169304521,248842995,730650264,71867,85947,1148240475,0.459,2137,744,18.58,9.48,814195143,2350913745,10
2010,LEA100160,3078446469,4641183318,136561858,3496077326,782819600,951559941,664487975,97159,152337,2161822888,0.307,677,1594,23.31,8.01,867415481,46340299,4
2014,LEA100161,1313325392,1908268958,1330492185,1093388950,3079927707,841568967,607690952,76539,104961,2305483083,0.511,780,2794,18.96,9.26,300245408,2522324160,5
2018,LEA100162,849827376,173720220,61504539,3128189199,2746914885,135962969,598601262,77200,81633,1517448409,0.784,702,1483,13.54,10.15,143769084,767774118,12
2009,LEA100163,511830098,4305617979,1238012769,204378893,2438502747,685020220,19522616,71134,142114,1937429989,0.226,1157,1614,23.33,8.47,671780692,2399302022,5
2025,LEA100164,2320048736,4598144435,182079114,4573512995,2099480671,881822763,783289311,59146,57154,201342040,0.671,344,1916,19.47,1.67,218575266,2896887702,8
2014,LEA100165,1663901462,3307985501,1077664865,5631912460,2884521626,1125303818,184096304,51659,143870,322339047,0.522,1519,2781,19.54,7.28,174169888,2484335917,10
2021,LEA100166,6783608,2792080174,952199324,4842266813,802882325,1584102142,188754343,51721,89916,1509148541,0.642,799,407,21.19,4.87,470830357,475923178,7
2011,LEA100167,2911651794,3110082427,574133289,4995931484,3174961404,84688938,299009534,93900,127731,2383572064,0.802,707,2011,26.4,5.02,869235533,1560133777,4
2009,LEA100168,2492756383,4695292125,1238786811,2888095966,1238148690,300659941,202768705,100813,99642,716605906,0.232,565,1816,20.14,14.17,1152088658,1790449227,5
