food_access_assessment_year,food_access_neighborhood_index_id,food_access_grocery_store_distance_miles,food_access_supermarket_density_per_10k,food_access_farmers_market_access_flag,food_access_snap_authorized_retailer_count,food_access_wic_vendor_count,food_access_food_desert_classification,food_access_healthy_food_availability_score,food_access_price_healthy_basket_inr,food_access_fast_food_density_per_10k,food_access_sugary_drink_outlet_density,food_access_school_meal_coverage_rate,food_access_community_garden_count,food_access_public_transit_to_food_score,food_access_diet_related_disease_risk_score,food_access_household_food_insecurity_rate,food_access_nutrition_education_program_flag,food_access_cultural_food_preference_index,food_access_policy_support_score
2015,NBH_000091,0.834,1.721,0,1114,287,LOW_INCOME_LOW_ACCESS,46.36,11118.15,4.59,1.082,61.98,52,33.32,64.32,23.39,1,42.33,68.51
2014,NBH_000092,1.719,1.305,0,758,448,RURAL_LOW_ACCESS,56.46,6892.27,4.261,2.772,37.51,86,79.39,49.85,11.35,0,55.46,52.3
2016,NBH_000093,1.316,0.378,1,1302,433,URBAN_LOW_ACCESS,53.71,8031.27,5.588,0.61,49.3,58,42.98,60.11,13.91,0,58.73,50.64
2025,NBH_000094,1.008,2.325,1,59,598,URBAN_LOW_ACCESS,91.45,8843.21,8.348,0.389,63.53,68,8.47,0.0,20.76,0,85.64,51.95
2016,NBH_000095,2.398,1.413,0,517,434,LOW_ACCESS,66.58,2545.44,6.369,2.703,80.66,64,55.93,47.65,16.94,0,70.56,34.28
2026,NBH_000096,2.665,2.055,0,896,171,ADEQUATE_ACCESS,57.25,8624.19,7.594,4.946,71.7,47,77.13,47.19,9.66,1,50.36,37.27
2026,NBH_000097,1.035,2.277,0,28,291,RURAL_LOW_ACCESS,39.11,5231.96,6.366,1.432,68.75,65,60.53,47.46,23.92,0,55.43,62.43
2023,NBH_000098,0.05,1.561,0,1469,301,URBAN_LOW_ACCESS,96.86,7356.56,5.015,3.222,58.79,55,65.6,71.17,19.12,1,86.19,47.36
2012,NBH_000099,3.421,1.791,1,127,188,URBAN_LOW_ACCESS,69.01,9569.7,3.049,0.0,70.71,64,81.13,59.59,21.35,0,36.21,35.0
2019,NBH_000100,1.737,2.702,0,226,20,LOW_INCOME_LOW_ACCESS,56.04,7872.71,4.919,1.424,55.67,87,55.28,34.29,15.79,0,54.32,40.57
2022,NBH_000101,2.924,2.469,0,779,405,RURAL_LOW_ACCESS,67.12,6066.42,2.656,0.134,41.92,12,53.1,55.6,28.6,0,47.02,43.73
2015,NBH_000102,1.21,1.283,1,56,77,LOW_ACCESS,93.14,9572.55,3.397,4.849,56.75,22,91.85,71.79,19.77,1,31.04,53.76
2026,NBH_000103,1.95,1.231,0,1421,633,LOW_ACCESS,62.92,4675.07,6.192,1.811,73.57,56,33.87,39.55,18.08,0,63.5,40.27
2016,NBH_000104,2.205,0.0,0,990,639,URBAN_LOW_ACCESS,20.92,9856.36,3.895,1.688,59.77,16,28.07,66.99,33.42,1,32.23,86.47
2017,NBH_000105,1.391,0.719,1,418,633,LOW_INCOME_LOW_ACCESS,51.75,4469.12,0.507,1.357,37.75,26,33.0,44.23,19.89,0,64.87,74.58
2017,NBH_000106,2.345,2.903,1,505,235,LOW_ACCESS,67.08,6465.31,2.543,3.973,40.38,54,61.74,61.74,19.95,0,50.54,48.14
2015,NBH_000107,1.271,2.088,0,1343,45,RURAL_LOW_ACCESS,84.71,8001.53,1.445,0.047,34.26,27,55.13,44.09,10.55,0,45.8,85.94
2012,NBH_000108,0.05,2.694,0,1650,198,URBAN_LOW_ACCESS,93.08,8918.87,4.257,0.757,44.12,83,62.02,43.99,37.83,0,59.16,27.94
2018,NBH_000109,1.149,2.106,1,1647,561,LOW_ACCESS,60.6,6687.7,2.908,1.314,43.93,76,70.86,60.14,24.73,1,44.34,22.32
2021,NBH_000110,0.879,2.802,0,1602,537,RURAL_LOW_ACCESS,66.68,4175.52,3.618,2.796,11.27,90,44.62,25.52,6.92,1,24.52,43.31
2013,NBH_000111,2.391,0.866,0,166,324,LOW_ACCESS,64.76,5260.18,2.64,2.644,14.1,1,65.07,48.21,8.65,1,59.45,4.76
2014,NBH_000112,0.05,1.902,1,1312,296,ADEQUATE_ACCESS,82.01,4248.52,3.641,2.856,63.54,20,47.35,56.16,1.84,0,77.89,63.55
2016,NBH_000113,4.008,1.535,0,1385,85,ADEQUATE_ACCESS,60.37,10413.09,0.914,3.095,72.03,3,69.17,29.58,21.57,0,18.38,77.12
2016,NBH_000114,1.405,1.735,0,1598,12,LOW_ACCESS,48.88,6019.62,0.0,2.959,39.11,40,56.55,45.57,20.23,0,82.94,39.51
2021,NBH_000115,3.687,1.976,0,1625,536,RURAL_LOW_ACCESS,48.89,1100.81,3.784,0.896,29.68,34,86.69,69.94,16.41,1,63.14,35.69
2011,NBH_000116,1.368,2.615,0,1710,211,RURAL_LOW_ACCESS,61.93,11688.52,5.108,1.955,84.77,44,42.96,63.49,9.63,1,58.84,62.85
2013,NBH_000117,0.268,1.056,0,109,561,ADEQUATE_ACCESS,61.08,7804.64,0.0,1.52,66.8,71,19.6,41.02,0.0,1,80.82,46.01
2020,NBH_000118,0.05,3.33,1,1567,165,LOW_ACCESS,20.19,10882.87,6.065,3.606,53.51,64,73.03,63.44,23.84,0,53.44,59.89
2015,NBH_000119,2.394,1.444,0,976,260,LOW_INCOME_LOW_ACCESS,55.92,3250.81,7.64,2.942,78.03,8,80.02,66.26,15.32,0,71.87,53.0
2025,NBH_000120,0.951,0.773,0,237,316,URBAN_LOW_ACCESS,66.42,2774.41,2.843,0.0,78.81,80,43.74,26.29,6.86,1,49.7,49.36
2012,NBH_000121,0.05,0.735,0,1447,440,LOW_ACCESS,33.16,5833.23,4.382,0.515,52.53,48,71.55,64.69,0.0,0,40.16,24.77
2011,NBH_000122,0.05,1.809,1,1025,519,RURAL_LOW_ACCESS,77.12,11313.59,3.551,2.254,74.68,54,53.97,70.86,38.51,0,55.71,30.11
2023,NBH_000123,1.291,0.712,0,70,497,LOW_INCOME_LOW_ACCESS,45.62,9335.55,0.07,3.841,30.03,42,75.63,71.73,18.18,1,40.27,23.5
2024,NBH_000124,2.019,3.099,0,1,82,URBAN_LOW_ACCESS,47.89,8585.85,1.844,0.031,28.88,18,41.82,33.55,18.83,1,61.9,63.54
2021,NBH_000125,1.403,3.238,0,1456,24,LOW_ACCESS,68.85,1064.89,2.08,1.337,48.89,62,73.79,59.73,12.89,0,29.22,61.93
2021,NBH_000126,0.848,0.883,0,1307,55,URBAN_LOW_ACCESS,59.55,9733.98,5.706,1.95,34.32,73,63.2,46.26,37.34,0,65.39,78.63
2011,NBH_000127,1.84,0.08,1,155,76,LOW_INCOME_LOW_ACCESS,74.55,11942.01,2.155,1.941,67.08,0,46.37,40.93,39.05,0,89.25,63.34
2014,NBH_000128,2.542,1.34,1,1547,576,LOW_ACCESS,72.35,3819.03,2.172,1.513,54.69,22,58.82,55.98,28.39,0,57.93,73.86
2026,NBH_000129,1.873,1.723,0,1239,260,RURAL_LOW_ACCESS,71.07,2046.32,5.22,1.87,25.28,57,47.53,51.81,12.85,0,64.25,38.36
2019,NBH_000130,1.689,0.733,1,53,211,LOW_ACCESS,82.58,3358.44,1.672,1.802,33.13,3,63.05,52.39,31.34,0,61.58,95.03
2014,NBH_000131,2.345,0.0,1,712,130,URBAN_LOW_ACCESS,77.73,11018.13,6.579,1.067,65.26,36,55.67,38.5,0.0,0,22.9,28.15
2026,NBH_000132,2.366,1.29,0,906,56,RURAL_LOW_ACCESS,60.03,9938.96,5.555,3.896,90.99,15,37.22,44.26,14.09,1,68.48,66.39
2019,NBH_000133,0.593,2.979,0,1286,457,RURAL_LOW_ACCESS,52.64,1064.41,3.242,3.156,82.67,27,73.26,44.52,15.39,0,85.3,71.98
2021,NBH_000134,2.682,2.586,0,1417,139,RURAL_LOW_ACCESS,69.25,10386.88,1.261,3.578,72.26,35,58.62,53.26,15.93,1,43.14,48.76
2017,NBH_000135,3.355,1.631,0,1519,473,LOW_INCOME_LOW_ACCESS,80.6,6471.62,3.403,0.0,29.93,17,65.54,48.06,22.38,0,45.72,71.49
2020,NBH_000136,0.816,0.124,0,1574,646,URBAN_LOW_ACCESS,74.39,3806.44,2.376,3.774,45.48,46,11.18,63.69,22.96,0,68.15,31.91
2023,NBH_000137,0.644,2.131,0,465,234,ADEQUATE_ACCESS,64.1,5821.39,6.045,3.204,57.48,19,38.26,35.14,15.37,1,65.4,45.95
2024,NBH_000138,2.289,2.415,0,1644,551,ADEQUATE_ACCESS,54.73,7253.87,1.073,2.423,42.88,67,28.02,62.76,23.52,1,24.41,73.17
2015,NBH_000139,1.664,0.697,1,71,22,ADEQUATE_ACCESS,54.66,6748.09,3.206,1.617,42.68,79,60.25,46.28,22.59,0,30.9,76.37
2018,NBH_000140,1.875,0.755,1,1065,510,ADEQUATE_ACCESS,62.49,11454.57,2.479,2.224,40.39,42,57.21,36.02,9.33,0,45.32,49.19
2020,NBH_000141,3.017,1.989,0,1158,48,URBAN_LOW_ACCESS,53.92,8104.72,2.819,2.141,72.17,26,61.38,19.56,33.07,0,53.38,27.79
2011,NBH_000142,0.05,4.025,0,975,542,ADEQUATE_ACCESS,57.55,2047.24,0.33,2.71,55.38,56,53.37,43.97,18.56,0,32.47,5.81
2012,NBH_000143,1.466,2.998,1,289,299,ADEQUATE_ACCESS,52.22,1747.89,0.027,0.048,53.47,16,67.07,45.95,9.29,1,73.25,74.12
2017,NBH_000144,4.094,1.266,0,1030,246,ADEQUATE_ACCESS,56.05,5464.58,1.518,2.08,66.91,19,47.69,50.84,17.66,0,79.01,59.64
2019,NBH_000145,3.101,2.604,0,35,256,ADEQUATE_ACCESS,50.03,2222.97,1.905,1.509,57.85,32,42.41,29.33,23.65,1,26.84,55.98
2011,NBH_000146,2.049,1.303,0,1728,584,ADEQUATE_ACCESS,55.72,10488.94,5.39,1.309,22.81,20,56.1,61.3,13.23,0,50.19,57.71
2026,NBH_000147,0.815,2.113,0,511,305,ADEQUATE_ACCESS,84.39,9146.04,1.508,1.037,69.75,29,36.7,71.33,14.84,1,64.44,37.49
2020,NBH_000148,3.053,2.366,0,37,195,ADEQUATE_ACCESS,43.26,11049.28,5.864,1.51,58.62,2,39.56,26.12,0.0,1,64.18,67.92
2021,NBH_000149,1.481,2.818,0,814,306,URBAN_LOW_ACCESS,63.27,11023.41,6.823,2.338,31.41,39,49.25,60.68,25.85,1,53.76,62.75
2020,NBH_000150,2.098,1.173,1,626,116,ADEQUATE_ACCESS,44.34,9649.68,3.082,0.382,76.01,37,73.54,62.73,5.85,1,57.52,65.91
2017,NBH_000151,2.504,1.51,0,1079,568,RURAL_LOW_ACCESS,49.56,2321.91,3.684,4.193,38.15,47,94.84,32.29,33.53,1,26.62,55.99
2016,NBH_000152,4.054,2.073,1,1452,212,LOW_ACCESS,81.08,1823.89,3.355,2.226,62.0,69,37.03,62.33,30.32,0,35.45,32.47
2018,NBH_000153,0.05,3.248,0,1108,397,LOW_ACCESS,71.67,9655.01,6.121,1.366,57.54,50,51.88,48.49,27.11,0,54.49,71.22
2019,NBH_000154,2.126,3.385,1,576,622,RURAL_LOW_ACCESS,78.36,11835.0,2.392,4.517,77.04,58,65.6,28.95,26.06,1,52.3,40.79
2011,NBH_000155,1.746,1.423,0,1134,396,LOW_ACCESS,41.51,3244.66,5.029,2.749,89.06,67,67.39,40.4,18.43,0,73.14,34.31
2018,NBH_000156,1.922,0.635,0,1747,279,URBAN_LOW_ACCESS,74.36,3558.22,1.292,0.772,33.05,71,42.99,65.57,0.31,1,53.69,38.42
2014,NBH_000157,2.183,1.059,0,79,4,ADEQUATE_ACCESS,56.86,10576.99,8.285,5.301,74.17,61,51.31,71.06,17.89,0,82.86,65.99
2016,NBH_000158,3.206,1.061,0,33,323,URBAN_LOW_ACCESS,60.19,2762.42,2.954,3.967,41.18,5,50.25,51.73,25.28,1,75.84,82.99
2018,NBH_000159,1.186,1.51,0,63,379,LOW_ACCESS,71.06,11105.1,3.988,1.715,33.58,88,15.91,72.3,27.99,1,73.63,44.96
