qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_ncoial_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2022,REG288,3.77,7.54,9.69,3.36,2.9,7.69,4.46,3.99,5.46,9.36,8.39,46.57,11.01,88.36,1.37,0.9,9.64,56.33
2025,REG690,4.7,4.36,9.12,9.9,6.19,9.18,8.63,5.44,9.41,2.1,88.48,30.94,3.05,78.71,9.3,2.17,5.34,74.93
2020,REG355,5.82,9.18,2.03,7.78,6.44,7.42,1.57,4.46,3.56,7.0,59.35,96.75,13.87,47.36,6.94,3.69,9.23,85.26
2019,REG480,6.09,4.72,3.68,1.2,9.48,2.64,8.02,0.12,3.81,5.71,31.44,19.39,7.15,98.91,8.86,3.12,0.16,54.06
2024,REG301,1.16,7.9,3.38,9.73,7.06,8.4,6.22,5.62,4.28,0.83,73.74,33.98,19.67,11.44,0.78,4.75,8.37,12.87
2018,REG530,4.08,7.03,2.75,1.74,7.38,8.81,5.86,5.24,7.55,7.33,0.63,28.18,93.2,96.02,5.1,5.6,0.01,67.23
2024,REG433,8.47,6.78,9.8,7.3,2.45,9.84,6.84,4.36,4.92,7.66,75.32,84.11,24.07,94.81,2.62,4.8,2.11,43.43
2017,REG976,2.03,6.67,7.85,0.63,0.19,3.12,6.45,5.12,0.08,1.52,75.22,29.77,11.72,5.09,8.5,4.72,5.04,6.13
2018,REG756,1.23,9.03,7.83,8.02,5.37,3.34,6.4,2.25,1.37,5.38,47.86,15.03,53.04,54.65,8.72,7.59,2.18,81.79
2018,REG184,8.26,7.65,1.75,5.5,7.22,1.69,1.46,3.76,9.19,0.68,35.89,80.63,34.42,5.51,6.33,9.58,5.8,81.44
2021,REG383,6.61,1.51,6.99,5.7,2.22,5.85,6.76,9.02,8.89,9.36,84.12,54.08,84.91,72.22,7.38,1.55,1.8,18.03
2024,REG921,4.18,3.15,0.49,7.24,4.03,0.78,7.89,0.2,5.6,7.57,37.26,57.41,5.07,23.7,6.64,7.9,1.14,96.62
2020,REG771,5.4,6.44,1.76,8.85,0.87,9.87,3.92,1.64,6.06,8.66,39.71,0.86,87.23,58.13,0.93,9.06,7.73,53.26
2019,REG456,6.55,1.51,1.42,3.11,8.86,8.5,4.92,5.85,6.28,3.73,70.13,60.81,35.44,28.39,9.81,2.84,1.74,83.46
2020,REG593,5.42,5.31,5.08,7.78,6.42,2.16,4.33,5.29,4.19,2.38,12.47,11.73,29.63,40.27,6.83,9.85,8.97,81.37
2019,REG688,2.53,4.72,1.43,5.66,0.23,1.89,7.12,2.77,4.2,8.32,4.46,2.27,22.9,68.44,2.36,8.64,3.52,28.35
2022,REG161,5.74,8.56,4.06,2.53,4.21,9.05,3.35,6.56,3.3,6.75,88.1,59.86,94.74,60.15,9.75,7.24,6.53,82.98
2021,REG572,5.4,4.9,7.33,9.26,4.53,4.62,2.26,1.79,0.39,8.18,40.24,7.32,55.11,33.54,9.71,4.48,1.03,63.82
2019,REG891,5.81,7.75,3.0,5.31,8.27,0.75,2.59,6.27,5.06,7.7,17.82,84.73,61.86,20.33,0.57,9.82,4.44,26.76
2024,REG656,4.9,8.53,2.08,3.68,7.97,6.64,0.29,2.5,1.27,0.41,94.72,62.1,54.18,86.01,5.91,5.78,2.02,62.04
2022,REG220,6.24,9.18,0.07,1.57,8.95,0.08,9.04,0.3,7.79,8.91,61.25,64.14,5.06,21.09,8.99,8.24,0.6,81.3
2026,REG970,5.61,1.08,3.99,4.35,6.69,6.58,5.49,0.31,1.62,1.6,88.77,90.17,80.65,17.49,8.4,1.88,5.55,73.39
2018,REG376,5.98,2.51,4.98,3.84,6.87,4.89,3.02,9.1,9.59,8.02,58.07,88.44,60.17,14.88,0.17,7.26,7.52,92.58
2023,REG946,1.9,5.94,4.35,2.32,7.99,1.5,6.3,6.11,3.04,4.29,11.66,2.55,1.3,17.43,8.67,5.23,1.17,90.55
2022,REG500,2.93,0.57,6.17,5.92,3.1,3.41,5.26,8.79,1.09,5.1,43.7,46.64,90.98,54.43,6.95,9.13,3.02,35.87
2020,REG302,6.52,2.54,2.35,9.87,6.97,8.14,9.69,9.71,3.33,5.19,92.34,2.56,91.62,85.8,4.68,5.17,0.48,55.58
2019,REG732,8.04,5.05,7.52,9.32,1.71,2.6,5.87,9.5,7.79,6.39,67.92,43.26,40.37,98.68,8.56,7.61,7.2,56.71
2021,REG999,4.74,3.97,9.29,7.1,6.77,1.94,2.09,4.83,6.52,3.95,6.42,68.3,77.38,94.43,4.09,2.58,9.26,71.51
2025,REG288,5.8,0.29,2.27,0.71,2.05,4.9,2.99,0.88,4.82,7.08,5.31,88.24,65.31,51.94,3.96,3.93,3.36,11.57
2025,REG350,3.09,6.67,2.88,8.12,3.8,6.31,4.32,4.98,2.5,5.14,11.07,38.68,44.83,70.4,4.0,6.65,1.75,2.52
2017,REG980,4.74,6.7,3.14,0.3,7.24,9.42,3.94,6.11,5.45,5.66,86.74,73.63,76.98,9.0,1.47,6.63,5.4,77.43
2021,REG296,3.44,1.44,7.23,9.32,2.81,6.03,7.45,6.16,3.83,5.56,72.46,94.32,77.23,31.51,6.72,9.16,5.19,9.56
2025,REG708,6.05,1.34,2.4,6.72,9.74,1.74,6.14,4.74,3.4,9.14,93.72,16.33,70.63,77.4,9.23,0.73,9.32,24.64
2024,REG906,1.2,9.29,4.37,4.97,8.54,5.86,3.01,5.41,6.25,8.9,23.48,55.94,92.05,4.55,1.95,3.46,6.78,84.18
2023,REG696,5.29,7.46,4.16,8.39,4.21,9.47,3.91,2.81,1.02,8.49,94.94,89.43,76.0,43.23,3.08,2.85,7.6,34.49
2018,REG471,9.82,1.89,1.14,1.19,0.59,6.91,5.93,5.64,5.82,0.7,29.13,26.58,47.9,87.9,9.72,6.12,2.47,38.07
2021,REG198,2.04,9.79,1.32,5.66,7.99,9.4,2.01,1.92,4.97,3.84,24.93,9.44,36.46,28.16,1.72,3.68,0.82,91.71
2025,REG470,9.83,6.14,1.82,4.68,8.27,1.8,5.37,0.04,7.88,1.95,38.72,53.02,14.49,92.67,4.69,2.32,7.35,89.42
2020,REG530,4.31,3.59,9.29,0.53,7.51,1.78,4.66,9.54,5.81,5.23,6.18,27.73,0.31,87.5,6.45,1.18,3.63,81.14
2018,REG433,2.3,5.41,1.45,3.83,9.82,5.44,7.02,6.63,2.12,8.46,12.21,92.16,21.61,95.47,7.98,1.71,1.6,8.45
2019,REG212,2.9,9.67,4.87,1.34,1.22,3.1,4.01,2.89,5.51,8.72,78.82,57.9,72.42,66.24,0.66,6.35,8.72,83.0
2023,REG420,1.85,0.03,8.69,2.28,8.22,5.51,4.04,1.47,6.72,8.18,46.11,44.64,75.53,50.01,7.86,0.54,8.58,26.21
2018,REG871,0.32,8.34,0.6,9.54,5.65,6.99,7.25,2.93,8.06,9.46,36.99,83.53,77.2,58.96,3.68,4.15,3.08,42.63
2025,REG917,6.66,3.2,4.67,0.84,7.63,6.61,3.47,5.25,8.72,0.44,93.02,47.08,85.97,86.15,0.59,7.82,7.33,4.32
2025,REG329,6.35,1.68,1.23,5.62,0.59,1.64,9.48,7.45,6.13,2.09,21.85,44.58,75.41,0.39,0.44,8.7,8.14,69.47
2026,REG647,6.61,2.14,0.06,1.23,9.55,8.58,1.72,6.59,9.16,9.16,56.44,72.35,39.41,7.21,5.29,3.18,4.07,17.39
2020,REG589,9.48,7.01,4.92,4.19,5.51,6.51,1.27,7.91,0.05,8.45,50.23,43.46,12.09,58.42,0.89,8.66,3.02,17.25
2020,REG762,5.33,5.6,3.38,7.88,3.78,4.38,1.3,1.36,1.01,1.47,90.02,68.5,67.2,14.59,5.19,4.89,2.88,27.01
2021,REG107,5.92,9.19,5.14,6.04,8.75,7.21,0.13,1.45,2.69,4.3,27.61,46.14,78.38,97.3,6.29,8.7,3.44,13.69
2019,REG600,7.87,9.66,4.67,9.96,9.57,6.57,8.48,2.97,9.17,5.92,50.97,83.57,88.95,70.12,0.25,5.97,8.22,54.53
2025,REG490,8.97,5.3,4.04,0.55,6.33,2.66,6.68,7.99,4.09,0.16,86.53,54.9,31.48,63.38,6.74,1.47,6.46,28.67
2018,REG911,1.03,9.17,9.03,3.43,0.29,6.63,3.45,1.92,1.09,1.96,23.75,79.58,78.38,49.44,5.53,9.18,9.08,82.87
2024,REG856,3.67,8.88,9.27,7.98,7.57,5.58,3.38,2.41,1.4,7.28,77.7,35.86,0.6,93.86,4.37,9.75,6.77,12.4
2024,REG444,4.73,2.83,7.68,0.89,2.32,0.45,1.77,4.08,0.3,2.27,4.07,87.57,89.0,69.85,5.95,7.96,2.81,74.2
2017,REG973,9.8,8.46,4.19,9.05,0.97,9.03,8.89,6.47,3.25,8.22,27.22,14.22,55.12,12.88,3.57,5.8,2.08,41.38
2019,REG962,6.34,6.0,5.59,9.31,9.27,5.72,7.39,8.05,1.1,8.45,0.51,0.2,31.03,79.3,9.21,3.99,6.31,47.26
2026,REG422,8.68,5.87,6.89,6.17,0.84,8.3,0.38,6.91,1.41,5.47,12.74,96.95,43.25,79.33,7.97,1.21,5.66,99.91
2023,REG438,0.96,7.64,5.94,7.14,5.32,2.69,4.68,5.86,2.38,8.54,41.15,71.52,94.41,41.55,4.61,1.84,3.76,52.91
2017,REG951,0.26,2.58,6.83,8.58,1.31,6.72,3.4,3.01,4.33,8.71,58.06,64.07,11.45,12.07,5.02,7.18,1.96,54.78
2019,REG924,4.81,5.85,6.92,3.02,3.35,1.57,9.49,0.48,4.61,6.84,71.08,62.63,34.06,7.72,9.32,1.9,9.09,22.55
2023,REG221,5.66,6.0,5.55,2.46,7.08,5.66,4.04,0.52,3.31,3.52,79.12,51.34,93.21,75.07,5.38,1.69,2.21,16.01
2024,REG113,4.07,8.55,6.31,6.79,6.36,3.23,8.29,0.34,3.67,9.55,37.86,1.68,19.2,94.41,8.49,1.95,9.77,15.89
2018,REG558,8.45,9.13,1.4,3.02,7.02,5.05,2.92,6.95,7.8,2.85,8.58,57.44,39.65,87.78,0.45,6.38,0.47,11.33
2021,REG866,2.29,1.62,7.93,2.32,3.65,9.08,7.86,5.24,0.94,9.45,70.91,3.51,94.88,7.17,6.03,3.94,9.81,92.31
2025,REG144,7.01,8.22,8.2,5.99,2.52,3.13,6.66,6.88,3.71,8.88,40.01,69.85,20.94,35.31,5.46,0.38,0.42,26.98
2020,REG883,2.17,8.86,7.16,6.89,6.74,9.76,6.34,6.49,4.53,8.72,5.74,34.43,28.67,39.8,4.8,9.56,9.24,61.13
2019,REG187,5.56,0.68,3.6,3.04,6.48,0.18,7.89,8.26,0.32,0.82,92.07,61.6,96.03,45.76,1.91,3.7,9.29,11.53
2021,REG483,5.3,0.7,4.0,2.43,5.75,1.52,9.41,2.11,6.33,8.31,59.59,65.56,40.93,10.18,1.31,7.02,7.97,84.23
2019,REG817,6.42,1.54,0.67,5.45,7.41,0.18,0.23,5.78,9.9,7.38,15.16,8.72,81.43,80.98,4.57,0.36,7.66,41.19
2018,REG298,7.67,3.68,5.79,2.24,6.78,3.47,2.21,5.85,1.12,6.87,18.7,55.35,39.25,56.62,2.46,3.1,1.4,77.7
2018,REG922,0.15,7.55,2.41,9.22,1.38,3.99,3.12,4.91,3.14,7.71,38.2,35.01,97.12,40.35,1.3,2.68,7.23,26.19
2025,REG412,9.15,3.74,1.93,7.17,4.38,0.46,5.78,5.8,6.82,7.35,64.56,33.83,83.54,93.53,3.02,2.82,5.13,98.58
2018,REG786,4.95,1.94,4.1,3.79,5.71,0.35,8.07,7.09,10.0,2.56,86.78,61.04,23.1,29.57,0.2,3.44,8.99,7.52
2019,REG705,3.8,7.41,6.59,6.72,5.48,4.64,9.28,6.8,6.15,4.18,22.51,0.18,98.07,75.64,9.94,7.7,0.46,44.41
2024,REG685,8.01,1.86,6.58,6.59,6.39,8.78,7.26,3.27,3.15,0.22,90.83,10.35,47.91,50.85,4.48,5.74,7.29,19.62
2023,REG172,8.57,4.95,1.27,6.72,2.23,0.82,2.83,2.97,8.68,3.07,78.03,57.72,9.47,15.65,0.8,4.01,9.7,18.08
2020,REG146,4.82,8.24,8.32,3.76,8.22,6.82,4.09,9.7,0.31,3.83,30.7,93.58,9.95,62.8,7.17,1.84,1.5,4.78
2022,REG340,8.08,9.44,9.01,3.65,7.26,8.27,8.12,0.63,2.15,9.39,73.99,83.44,51.41,39.31,6.51,4.73,3.74,34.79
2017,REG987,4.42,6.31,7.38,9.48,0.16,8.99,9.67,8.66,9.49,1.19,99.22,76.52,6.95,67.89,7.03,6.29,8.75,74.88
2025,REG719,8.61,0.71,6.63,7.49,4.34,5.69,1.62,3.18,7.08,6.03,13.64,98.8,93.78,22.41,8.75,2.67,5.64,78.21
2020,REG229,5.55,4.5,7.6,4.79,5.67,8.46,6.99,5.28,4.61,1.27,5.64,95.28,18.65,27.69,6.11,8.28,8.33,82.96
2024,REG460,0.56,4.0,9.14,4.67,8.71,0.18,5.04,9.22,2.61,9.3,0.85,7.89,47.68,10.64,2.26,2.98,4.81,39.05
2024,REG846,3.88,5.59,8.41,0.5,5.33,3.99,3.81,3.5,6.4,4.17,32.22,56.63,37.31,3.47,4.18,1.96,1.0,87.26
2018,REG961,3.81,9.85,3.67,2.44,4.74,9.46,6.64,7.31,1.65,0.4,53.71,33.03,4.27,89.62,0.25,0.13,2.99,49.73
2024,REG879,3.92,1.18,5.93,2.14,4.44,2.31,8.58,3.38,8.87,3.26,17.95,57.66,55.51,61.89,3.02,3.2,2.37,92.84
2017,REG503,7.56,1.94,6.62,7.63,3.42,1.58,6.97,6.11,5.76,1.83,26.25,62.49,61.36,55.47,7.68,8.15,2.77,15.76
2025,REG712,4.56,1.31,4.53,7.93,5.01,9.37,8.98,4.73,0.83,7.04,35.64,78.57,30.89,33.06,5.42,0.25,1.7,85.14
2022,REG660,1.47,0.26,9.17,6.99,8.07,2.96,0.03,4.83,9.9,9.08,7.2,18.78,31.12,83.04,8.25,1.85,5.33,50.18
2019,REG405,9.8,1.13,2.75,6.31,8.76,1.62,4.84,9.79,3.31,4.91,69.38,42.17,71.75,14.77,2.31,3.87,9.84,34.88
2021,REG234,0.94,4.07,1.61,3.01,3.3,4.31,9.17,6.31,9.74,5.91,80.55,83.42,73.9,66.99,4.18,5.67,1.94,61.82
2023,REG284,8.04,9.03,1.33,6.91,9.5,9.18,8.34,0.48,2.52,1.48,92.69,74.89,53.18,97.94,1.95,6.42,6.09,34.05
2025,REG556,6.77,4.18,0.24,9.51,5.01,7.06,1.97,1.27,9.02,5.91,49.34,52.12,23.62,91.27,2.14,1.58,9.3,25.76
2026,REG662,8.73,5.73,1.92,0.55,5.55,5.67,8.6,0.39,8.21,4.06,52.83,53.34,38.23,18.6,0.79,2.07,7.14,68.23
2023,REG523,4.57,7.59,6.68,9.37,6.7,1.8,7.44,3.58,2.55,2.78,82.51,45.29,46.91,1.07,2.7,8.83,4.98,41.64
2018,REG912,2.93,1.31,1.64,3.39,0.67,7.78,6.22,8.0,3.48,2.22,59.0,2.19,8.9,74.15,8.87,2.05,7.91,38.37
2018,REG463,8.84,6.21,8.12,7.76,5.74,7.48,7.08,4.8,1.52,2.66,37.64,58.67,29.78,20.54,0.36,2.13,5.39,13.96
2025,REG325,0.75,9.52,0.35,4.72,6.88,2.23,9.64,0.23,8.8,3.91,38.38,47.22,97.14,62.81,8.79,0.28,8.97,21.35
2024,REG358,0.74,9.15,5.26,0.9,3.97,3.81,0.51,3.48,2.93,9.19,80.68,16.01,93.16,74.32,4.91,4.33,9.27,30.55
2024,REG347,3.02,3.52,2.65,3.83,1.41,2.8,7.48,3.44,2.08,1.08,34.8,64.34,25.33,42.24,9.52,5.52,5.32,40.99
2019,REG554,6.33,2.01,9.86,8.34,4.64,3.1,0.12,6.93,2.63,3.95,42.86,85.38,85.14,77.62,7.67,4.95,7.91,85.81
2024,REG430,5.25,3.71,6.81,5.9,6.14,4.0,7.39,0.81,7.26,7.31,51.59,26.33,51.93,12.31,2.85,4.21,6.73,18.72
2020,REG382,6.08,6.8,0.84,0.33,1.47,9.01,6.73,9.21,6.65,9.65,43.89,59.91,60.12,0.31,0.27,1.45,5.11,43.05
2023,REG839,6.56,0.54,8.66,9.75,0.55,7.09,2.52,4.3,2.71,2.14,44.1,37.16,42.58,80.81,9.79,1.43,7.44,54.91
2023,REG228,6.61,8.82,6.42,7.04,1.48,7.13,9.86,9.6,4.09,8.82,59.14,11.83,97.82,61.32,1.06,5.72,7.21,23.73
2022,REG298,9.66,2.32,4.91,3.14,3.88,8.37,8.24,0.08,1.22,3.49,30.3,9.36,68.77,64.27,2.48,3.62,4.88,4.53
2026,REG830,1.81,4.99,6.9,8.1,1.43,7.42,3.63,6.79,1.45,5.15,83.76,10.64,82.77,45.28,8.23,9.58,1.6,67.46
2026,REG374,1.36,6.28,1.08,4.65,6.36,5.0,6.97,8.01,8.72,5.6,27.66,50.97,38.77,22.59,5.29,0.23,6.06,82.16
2017,REG414,9.22,0.9,1.62,1.39,5.58,0.46,9.37,0.62,3.91,8.94,94.84,46.53,48.84,63.62,4.08,3.25,7.39,59.54
2023,REG339,1.01,0.69,5.11,6.19,6.58,8.95,8.16,1.41,7.94,6.76,82.8,84.34,34.55,26.33,5.53,2.99,3.5,6.92
2022,REG975,3.09,7.8,9.93,9.69,6.34,5.39,3.09,8.62,3.38,1.07,29.41,31.51,71.85,16.95,3.17,0.77,8.48,72.48
2025,REG893,0.2,7.42,3.35,6.08,8.32,3.45,0.37,0.01,8.6,5.47,65.05,59.68,16.9,3.82,2.43,9.91,4.18,92.51
2021,REG350,7.15,0.26,0.13,4.66,6.49,9.62,0.3,9.88,4.72,7.66,64.63,24.78,33.25,59.11,0.96,7.75,8.0,82.06
2025,REG747,6.89,7.44,5.89,2.27,0.83,1.79,1.93,7.58,9.48,8.14,99.22,4.37,3.21,68.35,0.26,8.91,4.72,92.44
2020,REG947,6.42,6.99,2.87,3.67,5.51,3.84,4.92,4.56,6.66,0.81,95.66,10.28,33.81,0.87,8.16,1.13,2.78,45.18
2018,REG288,7.67,1.5,4.47,3.33,9.48,8.56,1.5,4.3,4.45,9.61,79.53,80.9,36.81,69.55,3.2,8.25,9.6,61.01
2022,REG755,8.72,9.05,0.9,6.97,6.28,2.1,1.25,2.85,1.69,2.43,91.76,91.62,25.35,20.21,4.55,6.64,1.38,81.74
2018,REG174,1.13,6.36,2.04,2.29,8.76,3.64,9.21,1.09,9.32,9.15,53.98,75.83,43.72,76.57,2.43,9.03,7.88,73.26
2020,REG981,7.57,5.34,1.66,8.66,0.69,1.15,6.98,2.54,4.59,5.39,45.82,8.39,73.75,24.0,7.39,8.65,5.36,70.64
2023,REG886,7.8,4.67,1.38,4.22,7.49,8.56,0.81,2.44,9.62,4.32,7.07,20.37,82.76,75.95,2.17,1.02,0.79,49.97
2023,REG358,3.24,0.86,4.92,2.19,1.81,7.75,6.04,3.15,4.61,2.24,56.17,75.7,42.84,38.37,2.52,3.23,3.6,31.28
2026,REG869,5.64,6.84,0.6,6.81,1.59,2.99,7.39,1.64,5.32,5.89,16.44,27.48,60.65,46.12,6.6,8.55,1.35,7.06
2025,REG852,4.01,1.87,0.59,7.97,5.7,4.94,2.14,5.52,4.02,5.06,9.08,92.28,76.42,74.12,5.82,2.28,1.04,36.14
2018,REG849,2.28,9.39,2.94,2.9,9.24,3.75,4.94,5.6,8.68,0.78,26.09,58.7,43.46,27.83,4.1,9.66,0.21,14.7
2018,REG317,5.93,0.13,4.54,8.59,0.97,3.65,3.78,3.62,7.27,0.04,78.0,83.9,43.15,88.72,3.81,6.95,3.89,3.78
2023,REG963,4.42,9.9,1.78,8.96,9.19,4.1,4.62,5.03,7.7,1.24,32.86,17.07,87.84,7.05,7.48,4.4,7.15,88.99
2022,REG537,2.27,6.5,9.98,7.3,7.96,6.3,3.68,6.55,1.29,4.89,57.31,90.67,91.97,6.01,6.32,7.96,5.36,9.57
2023,REG276,1.98,9.79,1.03,3.64,4.79,2.18,5.03,1.24,0.02,6.98,83.45,57.47,22.85,39.46,6.26,0.33,0.94,95.82
2025,REG669,6.97,1.03,2.33,3.91,2.05,8.09,6.06,1.97,7.71,5.41,20.79,84.29,21.0,69.06,4.0,7.49,4.23,28.66
2017,REG709,7.59,8.28,3.13,3.48,1.73,4.47,9.97,5.89,7.24,7.37,20.28,5.6,12.16,71.97,4.56,9.05,3.67,10.27
2018,REG863,4.01,8.48,0.46,3.59,5.94,5.24,7.28,8.83,7.59,3.1,96.93,91.91,63.0,51.0,5.16,7.35,4.83,98.65
2026,REG596,2.38,6.58,4.84,1.6,5.19,8.59,0.25,8.51,6.85,7.26,89.26,94.37,29.51,91.91,2.17,1.44,5.55,92.77
2024,REG141,5.28,6.79,7.45,5.04,5.75,4.54,7.23,3.79,2.8,2.63,65.34,92.46,27.36,24.98,7.16,0.09,8.34,37.93
2025,REG396,7.09,7.93,1.71,3.64,2.81,7.15,0.23,6.19,8.68,0.44,29.07,20.79,99.81,98.56,1.24,1.95,0.23,56.62
2024,REG292,6.55,2.6,2.03,0.56,6.33,2.46,0.89,3.55,1.48,5.06,14.91,98.86,33.56,47.49,5.97,8.51,9.48,36.7
2025,REG184,1.51,1.9,7.22,4.35,8.42,5.29,2.83,6.79,4.73,8.9,37.18,25.47,43.94,84.91,8.24,8.93,8.5,33.01
2020,REG157,8.39,4.02,5.14,2.91,6.98,6.72,5.9,6.27,8.99,8.2,12.48,64.27,16.16,14.84,4.49,4.86,1.04,51.18
2022,REG897,5.51,8.32,0.86,3.99,2.34,5.75,8.94,1.97,6.76,0.93,54.58,67.61,67.09,73.82,4.17,7.6,4.73,32.29
2025,REG255,1.76,7.21,1.58,6.36,6.65,2.87,4.89,6.71,0.0,2.75,37.96,93.09,46.42,50.7,6.64,4.51,4.32,97.44
2026,REG811,3.48,9.3,2.68,4.55,4.93,7.2,5.19,6.21,3.99,7.19,46.59,22.27,81.69,76.55,6.27,5.22,2.08,86.84
2020,REG309,8.32,2.91,1.72,5.37,0.75,7.1,8.41,2.48,6.98,0.54,47.8,95.19,53.81,41.08,0.06,2.56,4.28,37.74
2024,REG821,4.25,9.91,0.91,2.95,2.92,9.75,4.07,5.67,1.98,0.13,33.93,63.9,69.15,75.39,8.61,1.16,0.83,78.77
2023,REG389,9.47,9.43,1.42,6.91,0.67,4.03,8.42,4.61,0.34,2.4,8.64,40.82,69.67,66.04,7.19,3.84,2.65,5.69
2018,REG518,4.64,3.38,7.17,3.87,9.08,5.32,4.84,3.37,1.34,0.1,67.69,6.54,32.5,87.56,4.78,8.83,0.62,84.34
2023,REG943,9.14,3.37,0.95,9.15,1.57,5.46,4.07,9.58,4.16,3.7,58.68,52.78,45.21,50.26,0.98,9.35,2.5,57.01
2020,REG748,2.96,6.89,4.57,7.3,1.55,9.88,4.46,5.39,2.58,3.39,65.46,34.17,71.85,28.59,7.65,6.75,2.12,5.0
2018,REG441,6.82,5.53,4.95,5.41,2.72,0.37,7.59,9.16,4.81,8.38,55.53,93.03,50.84,20.49,8.7,8.0,3.98,84.19
2018,REG709,8.0,6.88,3.8,7.92,1.27,2.03,5.34,8.81,1.3,5.64,75.31,74.34,62.8,94.09,4.82,8.8,6.2,73.75
2022,REG556,9.48,6.43,0.72,2.39,0.98,3.09,9.4,3.59,1.84,6.62,89.96,3.45,66.84,28.91,3.74,2.37,9.06,88.6
2021,REG801,7.99,5.52,5.27,7.02,8.06,6.93,4.51,3.21,8.46,5.21,78.35,99.57,64.39,27.83,8.66,2.74,2.6,7.39
