imm_border_encounter_date,imm_border_sector_code,imm_border_processing_facility_id,imm_border_encounter_type_code,imm_border_single_adult_flag,imm_border_family_unit_flag,imm_border_unaccompanied_child_flag,imm_border_country_of_origin_code,imm_border_repeat_encounter_flag,imm_border_prior_removal_flag,imm_border_credible_fear_claim_flag,imm_border_asylum_referral_flag,imm_border_expedited_removal_flag,imm_border_parole_granted_flag,imm_border_detention_length_days,imm_border_alternatives_to_detention_flag,imm_border_court_notice_issued_flag,imm_border_case_outcome_code,imm_border_resource_load_index,imm_border_policy_regime_code
2019-11-17,BBR,FAC0000048,INADMISSIBLE,0,1,0,NI,0,0,0,0,0,1,94,0,0,TRANSFERRED,0.924747,POL_A
2019-11-18,HFD,FAC0000049,APPREHENSION,1,1,0,CU,1,0,0,0,1,0,29,0,0,PENDING,0.712648,POL_E
2019-11-19,BBR,FAC0000050,APPREHENSION,0,1,1,TR,0,0,1,1,1,0,143,0,0,RELEASED,0.405249,POL_E
2019-11-20,TUC,FAC0000051,TRANSFER,1,0,0,RU,0,0,0,1,0,1,54,1,0,RELEASED,0.08225,POL_A
2019-11-21,BBR,FAC0000052,INADMISSIBLE,0,1,0,VE,0,0,0,0,0,0,133,1,1,RELEASED,0.561951,POL_B
2019-11-22,SDG,FAC0000053,APPREHENSION,1,0,0,CM,0,0,0,1,1,1,107,0,1,PENDING,0.764652,POL_C
2019-11-23,ELP,FAC0000054,INADMISSIBLE,1,0,0,HT,0,0,1,0,0,0,34,1,0,RETURNED,0.587553,POL_D
2019-11-24,TUC,FAC0000055,APPREHENSION,1,0,1,CM,1,1,0,0,0,0,49,0,1,REMOVED,0.020954,POL_C
2019-11-25,YUM,FAC0000056,INADMISSIBLE,0,0,0,IN,0,0,1,0,0,0,97,0,1,REMOVED,0.030955,POL_A
2019-11-26,RGV,FAC0000057,INADMISSIBLE,0,0,0,GT,0,0,1,0,0,0,106,1,0,REMOVED,0.638656,POL_B
2019-11-27,ELP,FAC0000058,APPREHENSION,1,0,0,PE,0,0,0,0,0,0,59,1,0,RELEASED,0.776657,POL_B
2019-11-28,DLR,FAC0000059,INADMISSIBLE,0,0,0,RU,1,0,0,0,1,0,158,0,0,RELEASED,0.096158,POL_A
2019-11-29,DLR,FAC0000060,APPREHENSION,0,0,0,CU,0,0,0,1,1,1,118,1,1,REMOVED,0.423859,POL_E
2019-11-30,SPO,FAC0000061,TRANSFER,1,0,0,CN,0,0,0,0,0,0,45,0,0,PENDING,0.99026,POL_C
2019-12-01,DLR,FAC0000062,APPREHENSION,1,1,1,MX,1,0,1,0,1,0,126,0,0,TRANSFERRED,0.736661,POL_B
2019-12-02,BBR,FAC0000063,TURNBACK,1,0,0,CN,0,1,1,0,1,0,41,0,0,RELEASED,0.104262,POL_E
2019-12-03,ELP,FAC0000064,APPREHENSION,1,0,0,CO,0,0,0,0,0,0,67,0,1,TRANSFERRED,0.336763,POL_C
2019-12-04,YUM,FAC0000065,TRANSFER,1,0,0,MX,1,1,0,1,0,1,147,0,1,REMOVED,0.007564,POL_E
2019-12-05,YUM,FAC0000066,APPREHENSION,0,0,0,GT,0,1,1,0,1,0,71,0,1,RELEASED,0.014065,POL_B
2019-12-06,BBR,FAC0000067,INADMISSIBLE,1,0,1,CM,0,0,0,1,0,0,5,0,1,RELEASED,0.474066,POL_D
2019-12-07,TUC,FAC0000068,TURNBACK,1,0,0,UA,1,0,0,0,1,1,110,1,1,REMOVED,0.829167,POL_C
2019-12-08,BBR,FAC0000069,INADMISSIBLE,1,0,1,PE,0,1,0,1,1,0,92,0,1,RELEASED,0.146368,POL_F
2019-12-09,SDG,FAC0000070,APPREHENSION,1,0,0,HN,1,0,0,1,0,1,131,0,1,PENDING,0.763469,POL_E
2019-12-10,HFD,FAC0000071,APPREHENSION,1,1,0,HN,0,0,0,0,0,0,103,0,1,PENDING,0.30147,POL_E
2019-12-11,BBR,FAC0000072,APPREHENSION,1,0,1,CM,1,0,0,0,0,0,84,1,1,PENDING,0.102171,POL_A
2019-12-12,SDG,FAC0000073,APPREHENSION,1,0,0,UA,0,1,0,0,0,0,107,0,1,RETURNED,0.796772,POL_A
2019-12-13,BBR,FAC0000074,APPREHENSION,0,0,0,TR,0,0,0,1,0,0,146,0,1,RETURNED,0.833973,POL_B
2019-12-14,DLR,FAC0000075,APPREHENSION,1,0,0,NI,1,0,1,0,0,0,74,0,1,REMOVED,0.121374,POL_C
2019-12-15,YUM,FAC0000076,APPREHENSION,1,1,0,CO,0,0,1,0,0,1,68,1,1,TRANSFERRED,0.847775,POL_C
2019-12-16,SDG,FAC0000077,APPREHENSION,0,0,0,HN,1,0,0,1,0,0,173,1,0,RETURNED,0.367076,POL_C
2019-12-17,LRT,FAC0000078,APPREHENSION,1,1,0,HN,0,0,0,0,0,1,179,0,0,PENDING,0.903977,POL_D
2019-12-18,HFD,FAC0000079,APPREHENSION,1,0,0,IN,0,0,1,0,0,0,152,0,0,REMOVED,0.306078,POL_A
2019-12-19,SDG,FAC0000080,TURNBACK,1,1,0,SV,0,0,1,0,0,1,145,1,1,RETURNED,0.712779,POL_A
2019-12-20,TUC,FAC0000081,APPREHENSION,0,0,0,AF,0,0,0,0,0,0,56,1,0,RELEASED,0.63688,POL_B
2019-12-21,BBR,FAC0000082,APPREHENSION,0,0,0,MX,0,0,0,1,0,0,177,1,1,TRANSFERRED,0.789181,POL_E
2019-12-22,SPO,FAC0000083,APPREHENSION,1,0,0,NI,1,1,0,1,1,0,87,0,1,PENDING,0.405282,POL_E
2019-12-23,YUM,FAC0000084,TURNBACK,0,0,0,CU,0,0,0,0,0,0,82,0,1,RELEASED,0.898983,POL_B
2019-12-24,SDG,FAC0000085,APPREHENSION,1,0,0,RU,0,1,0,0,1,0,4,0,0,REMOVED,0.400684,POL_F
2019-12-25,SDG,FAC0000086,APPREHENSION,1,1,0,RU,0,0,0,0,1,1,52,0,0,REMOVED,0.200385,POL_C
2019-12-26,SPO,FAC0000087,APPREHENSION,0,1,1,AF,0,0,0,0,0,0,3,0,1,PENDING,0.204786,POL_F
2019-12-27,TUC,FAC0000088,TURNBACK,1,0,0,CM,0,1,0,0,1,0,69,1,0,TRANSFERRED,0.762487,POL_B
2019-12-28,RGV,FAC0000089,APPREHENSION,1,1,0,VE,0,0,0,0,1,0,49,0,0,RELEASED,0.858488,POL_E
2019-12-29,RGV,FAC0000090,INADMISSIBLE,1,1,0,HN,1,1,1,1,1,0,0,1,1,TRANSFERRED,0.039189,POL_E
2019-12-30,BBR,FAC0000091,APPREHENSION,1,0,0,AF,1,0,0,1,0,0,103,0,1,REMOVED,0.38149,POL_F
2019-12-31,SDG,FAC0000092,INADMISSIBLE,1,0,0,IN,0,1,0,0,0,1,153,0,0,REMOVED,0.950691,POL_D
2020-01-01,RGV,FAC0000093,INADMISSIBLE,1,1,0,IN,0,0,0,0,1,0,23,1,1,PENDING,0.345792,POL_C
2020-01-02,TUC,FAC0000094,INADMISSIBLE,1,0,0,CN,0,0,0,0,1,0,82,0,0,RELEASED,0.346693,POL_A
2020-01-03,YUM,FAC0000095,INADMISSIBLE,1,0,1,CN,0,0,1,1,0,0,176,0,1,TRANSFERRED,0.033194,POL_D
2020-01-04,ELP,FAC0000096,APPREHENSION,1,0,0,UA,1,1,0,0,1,0,110,1,0,RETURNED,0.681795,POL_E
2020-01-05,RGV,FAC0000097,APPREHENSION,1,0,0,CN,0,0,0,0,1,0,28,0,0,REMOVED,0.222396,POL_B
2020-01-06,SDG,FAC0000098,APPREHENSION,1,0,0,CN,1,0,0,1,0,0,136,0,1,RETURNED,0.175797,POL_A
2020-01-07,ELP,FAC0000099,APPREHENSION,1,0,1,PE,0,0,0,0,0,0,114,0,1,RETURNED,0.083898,POL_F
2020-01-08,HFD,FAC0000100,INADMISSIBLE,1,0,1,DO,0,0,0,0,1,1,36,0,0,RELEASED,0.730299,POL_B
2020-01-09,TUC,FAC0000101,APPREHENSION,1,0,0,HN,0,0,0,0,0,1,178,0,0,RELEASED,0.7393,POL_F
2020-01-10,SPO,FAC0000102,TRANSFER,1,0,0,CN,0,1,1,0,0,0,168,0,1,REMOVED,0.907701,POL_A
2020-01-11,ELP,FAC0000103,APPREHENSION,0,0,0,HN,0,0,0,0,1,0,61,0,1,RETURNED,0.808402,POL_D
2020-01-12,HFD,FAC0000104,APPREHENSION,1,1,0,DO,1,0,0,1,1,0,34,0,0,RELEASED,0.105803,POL_C
2020-01-13,BBR,FAC0000105,APPREHENSION,1,1,0,HT,0,0,0,0,0,0,153,1,1,REMOVED,0.203004,POL_B
2020-01-14,LRT,FAC0000106,APPREHENSION,1,1,0,IN,0,0,0,0,1,0,77,0,0,PENDING,0.413205,POL_A
2020-01-15,SPO,FAC0000107,APPREHENSION,1,0,0,SV,1,0,0,0,0,1,34,0,1,REMOVED,0.998106,POL_E
2020-01-16,RGV,FAC0000108,APPREHENSION,1,0,0,VE,0,0,0,1,0,1,138,1,0,RELEASED,0.868207,POL_D
2020-01-17,LRT,FAC0000109,APPREHENSION,1,1,0,CM,0,0,0,0,1,0,12,0,0,REMOVED,0.836208,POL_E
2020-01-18,RGV,FAC0000110,INADMISSIBLE,1,0,0,MX,0,0,1,1,1,0,163,0,1,TRANSFERRED,0.389709,POL_C
2020-01-19,TUC,FAC0000111,INADMISSIBLE,0,0,0,PE,0,1,0,0,0,0,86,1,1,PENDING,0.96441,POL_F
2020-01-20,LRT,FAC0000112,APPREHENSION,1,1,1,VE,1,1,0,0,1,0,127,0,0,RELEASED,0.509411,POL_A
2020-01-21,ELP,FAC0000113,TURNBACK,1,1,0,CU,0,0,0,1,0,0,47,0,0,RETURNED,0.774512,POL_D
2020-01-22,RGV,FAC0000114,INADMISSIBLE,1,1,0,TR,0,1,0,0,1,0,38,1,1,TRANSFERRED,0.031013,POL_D
2020-01-23,YUM,FAC0000115,INADMISSIBLE,0,0,0,PE,0,0,0,1,0,0,78,0,1,REMOVED,0.027214,POL_C
2020-01-24,ELP,FAC0000116,INADMISSIBLE,1,0,0,NI,0,0,0,0,1,0,2,0,0,RELEASED,0.670915,POL_F
2020-01-25,LRT,FAC0000117,APPREHENSION,0,0,0,SV,0,0,0,0,1,0,168,0,1,RELEASED,0.124816,POL_D
2020-01-26,ELP,FAC0000118,APPREHENSION,0,0,0,BR,0,0,1,0,0,0,0,1,1,RETURNED,0.610717,POL_B
2020-01-27,TUC,FAC0000119,APPREHENSION,1,1,0,VE,0,1,0,0,1,0,112,0,0,TRANSFERRED,0.633418,POL_D
2020-01-28,SPO,FAC0000120,APPREHENSION,1,0,0,VE,0,0,0,0,0,0,110,0,0,REMOVED,0.015119,POL_E
2020-01-29,YUM,FAC0000121,APPREHENSION,0,0,0,GT,0,0,1,0,1,0,76,0,1,RETURNED,0.11502,POL_A
2020-01-30,ELP,FAC0000122,APPREHENSION,0,0,0,CO,0,0,0,0,0,0,16,1,1,TRANSFERRED,0.217021,POL_F
2020-01-31,HFD,FAC0000123,APPREHENSION,1,0,0,VE,0,1,0,0,0,0,120,1,1,PENDING,0.988922,POL_C
2020-02-01,LRT,FAC0000124,APPREHENSION,1,1,1,MX,1,1,1,0,0,0,160,0,1,REMOVED,0.072323,POL_D
2020-02-02,YUM,FAC0000125,APPREHENSION,1,0,1,MX,0,1,0,1,0,0,92,0,1,RELEASED,0.855524,POL_A
2020-02-03,HFD,FAC0000126,APPREHENSION,1,1,0,AF,1,0,1,0,1,0,118,0,1,REMOVED,0.081825,POL_F
2020-02-04,SPO,FAC0000127,TURNBACK,1,1,0,HN,0,0,0,0,1,1,146,1,0,RELEASED,0.430026,POL_F
2020-02-05,BBR,FAC0000128,INADMISSIBLE,1,1,0,CU,1,1,0,0,0,0,110,0,1,REMOVED,0.924127,POL_B
2020-02-06,YUM,FAC0000129,INADMISSIBLE,1,0,0,AF,0,1,0,1,1,1,45,0,1,RELEASED,0.779528,POL_B
2020-02-07,HFD,FAC0000130,APPREHENSION,1,0,0,EC,1,0,1,0,0,0,166,1,1,REMOVED,0.431329,POL_D
2020-02-08,YUM,FAC0000131,INADMISSIBLE,0,1,0,SV,0,0,0,1,1,0,41,0,1,TRANSFERRED,0.38603,POL_D
2020-02-09,HFD,FAC0000132,APPREHENSION,1,1,0,TR,0,0,1,0,1,0,7,0,1,VOLUNTARY_DEPARTURE,0.379731,POL_E
2020-02-10,HFD,FAC0000133,RESCUE,1,0,0,HN,0,0,0,0,0,0,128,0,0,RELEASED,0.654732,POL_E
2020-02-11,HFD,FAC0000134,APPREHENSION,1,0,0,NI,0,0,0,0,1,1,125,0,0,PENDING,0.472333,POL_B
2020-02-12,YUM,FAC0000135,APPREHENSION,0,0,1,NI,0,0,0,0,0,0,30,1,1,RETURNED,0.900434,POL_E
2020-02-13,DLR,FAC0000136,TURNBACK,1,1,0,BR,0,0,1,0,0,1,99,1,1,RELEASED,0.926535,POL_D
2020-02-14,YUM,FAC0000137,APPREHENSION,1,0,0,SV,1,0,0,1,0,0,69,1,0,PENDING,0.923636,POL_B
2020-02-15,SPO,FAC0000138,APPREHENSION,0,0,0,EC,0,0,0,1,0,0,144,1,0,RETURNED,0.085037,POL_C
2020-02-16,ELP,FAC0000139,APPREHENSION,1,1,0,HT,1,0,0,0,0,0,84,0,0,RELEASED,0.689838,POL_C
2020-02-17,DLR,FAC0000140,APPREHENSION,1,0,0,MX,0,0,1,1,0,1,96,1,1,RETURNED,0.121439,POL_A
2020-02-18,SDG,FAC0000141,INADMISSIBLE,0,0,0,IN,0,0,0,0,0,0,85,1,1,RETURNED,0.20664,POL_A
2020-02-19,SDG,FAC0000142,INADMISSIBLE,1,0,0,GT,0,1,0,0,1,1,35,1,1,RELEASED,0.915441,POL_B
2020-02-20,BBR,FAC0000143,APPREHENSION,0,0,0,HN,1,0,0,0,0,0,166,1,1,RELEASED,0.503142,POL_B
2020-02-21,YUM,FAC0000144,APPREHENSION,1,0,0,CN,1,0,0,0,0,0,122,0,1,TRANSFERRED,0.271843,POL_D
2020-02-22,TUC,FAC0000145,APPREHENSION,1,1,0,UA,1,0,0,0,0,0,153,1,1,RETURNED,0.447744,POL_D
2020-02-23,YUM,FAC0000146,INADMISSIBLE,0,0,1,PE,1,0,0,0,0,0,135,0,0,RELEASED,0.853045,POL_A
2020-02-24,RGV,FAC0000147,APPREHENSION,1,0,0,HN,1,1,0,0,0,0,120,0,0,TRANSFERRED,0.375246,POL_B
2020-02-25,BBR,FAC0000148,TURNBACK,1,0,1,GT,1,0,0,1,0,0,92,1,0,RELEASED,0.167147,POL_A
2020-02-26,HFD,FAC0000149,INADMISSIBLE,1,0,0,UA,0,0,0,1,0,0,97,0,0,RETURNED,0.563448,POL_C
2020-02-27,SDG,FAC0000150,APPREHENSION,1,0,0,NI,1,0,1,0,0,1,60,0,1,REMOVED,0.803749,POL_E
2020-02-28,ELP,FAC0000151,APPREHENSION,0,1,0,TR,0,0,0,0,1,0,151,0,1,ASYLEE_GRANTED,0.70675,POL_F
2020-02-29,LRT,FAC0000152,APPREHENSION,1,0,0,BR,1,0,0,0,0,0,147,0,0,REMOVED,0.760651,POL_A
2020-03-01,SDG,FAC0000153,APPREHENSION,0,1,0,VE,0,0,1,0,1,0,58,1,0,REMOVED,0.290152,POL_A
2020-03-02,LRT,FAC0000154,APPREHENSION,1,0,0,PE,0,0,0,0,0,0,121,0,1,PENDING,0.863453,POL_C
2020-03-03,SPO,FAC0000155,APPREHENSION,1,0,0,GT,0,0,1,0,0,0,63,0,1,RETURNED,0.583554,POL_E
2020-03-04,RGV,FAC0000156,APPREHENSION,1,0,1,CO,0,1,1,1,0,0,104,1,1,PENDING,0.561455,POL_F
2020-03-05,YUM,FAC0000157,APPREHENSION,0,1,0,CU,1,0,1,0,1,0,17,1,0,PENDING,0.205256,POL_A
2020-03-06,HFD,FAC0000158,APPREHENSION,0,0,0,CM,0,1,0,0,1,1,32,1,1,REMOVED,0.437857,POL_C
2020-03-07,TUC,FAC0000159,APPREHENSION,1,1,1,MX,1,0,0,0,1,0,154,0,0,TRANSFERRED,0.549658,POL_C
2020-03-08,TUC,FAC0000160,INADMISSIBLE,1,0,0,CU,1,0,0,0,1,0,169,0,1,REMOVED,0.209459,POL_E
2020-03-09,TUC,FAC0000161,INADMISSIBLE,0,0,0,CM,0,0,0,0,0,0,131,0,0,REMOVED,0.79346,POL_D
2020-03-10,YUM,FAC0000162,APPREHENSION,1,1,0,BR,0,0,0,1,0,0,170,0,1,REMOVED,0.260961,POL_C
2020-03-11,YUM,FAC0000163,APPREHENSION,1,0,0,GT,0,0,0,0,0,1,139,1,1,PENDING,0.748662,POL_B
2020-03-12,YUM,FAC0000164,APPREHENSION,1,0,0,HN,0,1,0,1,0,0,155,0,0,RETURNED,0.001563,POL_D
2020-03-13,SDG,FAC0000165,APPREHENSION,0,0,0,SV,0,0,0,0,1,0,172,0,0,VOLUNTARY_DEPARTURE,0.230064,POL_E
2020-03-14,ELP,FAC0000166,INADMISSIBLE,0,1,0,HT,0,0,0,0,0,0,69,0,0,TRANSFERRED,0.893165,POL_E
2020-03-15,HFD,FAC0000167,APPREHENSION,1,1,0,TR,0,1,0,0,1,0,66,1,0,RELEASED,0.490666,POL_C
2020-03-16,HFD,FAC0000168,TRANSFER,1,0,0,AF,1,0,0,0,1,1,77,0,1,RETURNED,0.894067,POL_C
2020-03-17,TUC,FAC0000169,INADMISSIBLE,1,0,1,IN,0,1,0,0,1,0,112,1,1,RELEASED,0.848768,POL_F
2020-03-18,DLR,FAC0000170,APPREHENSION,0,0,0,EC,1,1,1,0,0,0,61,1,0,REMOVED,0.867269,POL_D
2020-03-19,SPO,FAC0000171,TRANSFER,1,0,0,DO,0,0,0,0,0,0,53,0,0,RETURNED,0.07557,POL_C
2020-03-20,SDG,FAC0000172,INADMISSIBLE,0,1,0,IN,1,0,0,0,0,0,168,0,1,PENDING,0.127871,POL_D
2020-03-21,SPO,FAC0000173,INADMISSIBLE,1,1,0,GT,1,0,0,0,1,0,122,0,1,RELEASED,0.026072,POL_C
2020-03-22,HFD,FAC0000174,APPREHENSION,1,1,0,EC,0,1,0,0,0,0,163,0,1,RETURNED,0.281373,POL_C
2020-03-23,LRT,FAC0000175,TURNBACK,1,0,1,BR,0,0,0,0,0,0,147,0,0,TRANSFERRED,0.555574,POL_D
2020-03-24,SDG,FAC0000176,APPREHENSION,1,0,0,EC,0,1,0,0,0,0,41,1,0,ASYLEE_GRANTED,0.320075,POL_A
2020-03-25,SPO,FAC0000177,INADMISSIBLE,1,1,0,RU,1,0,1,0,1,0,110,0,0,PENDING,0.342276,POL_C
2020-03-26,SDG,FAC0000178,TURNBACK,0,0,0,EC,0,0,0,0,0,0,53,0,0,RELEASED,0.518677,POL_D
2020-03-27,ELP,FAC0000179,APPREHENSION,1,0,0,CU,0,0,1,0,1,0,34,1,1,RELEASED,0.235678,POL_D
2020-03-28,SPO,FAC0000180,APPREHENSION,1,0,0,CN,0,0,1,0,0,0,165,0,1,PENDING,0.695079,POL_E
2020-03-29,BBR,FAC0000181,APPREHENSION,1,0,0,IN,1,0,1,0,0,0,135,1,0,PENDING,0.67618,POL_C
2020-03-30,HFD,FAC0000182,APPREHENSION,1,0,0,SV,1,0,1,0,0,0,77,1,1,REMOVED,0.366181,POL_D
2020-03-31,SDG,FAC0000183,APPREHENSION,0,0,1,TR,1,1,0,0,1,0,179,1,1,RELEASED,0.608482,POL_B
2020-04-01,SDG,FAC0000184,TRANSFER,0,0,0,AF,0,0,0,1,0,0,89,0,1,RELEASED,0.180383,POL_C
2020-04-02,SPO,FAC0000185,INADMISSIBLE,0,0,0,CM,1,0,1,0,0,0,151,0,1,REMOVED,0.012584,POL_C
2020-04-03,SDG,FAC0000186,TURNBACK,1,0,0,VE,0,1,0,0,0,0,39,0,1,TRANSFERRED,0.660185,POL_D
2020-04-04,TUC,FAC0000187,INADMISSIBLE,1,0,0,SV,1,0,1,1,0,0,4,0,1,REMOVED,0.664886,POL_E
2020-04-05,TUC,FAC0000188,APPREHENSION,0,1,0,BR,1,0,1,1,0,0,125,0,1,RETURNED,0.218387,POL_C
2020-04-06,HFD,FAC0000189,APPREHENSION,0,0,0,NI,1,0,0,0,0,0,119,1,1,PENDING,0.415188,POL_A
2020-04-07,YUM,FAC0000190,APPREHENSION,1,0,0,NI,0,0,0,0,0,0,40,1,1,TRANSFERRED,0.854789,POL_C
2020-04-08,TUC,FAC0000191,TRANSFER,1,0,0,CM,0,0,0,0,0,0,70,1,1,RETURNED,0.62049,POL_E
2020-04-09,HFD,FAC0000192,APPREHENSION,0,0,0,IN,0,0,0,0,0,1,94,0,1,RETURNED,0.232091,POL_E
