energy_eff_reference_year,energy_eff_country_iso2,energy_eff_region_nuts_code,energy_eff_building_type_code,energy_eff_epc_label_distribution,energy_eff_renovation_rate_pct,energy_eff_deep_renovation_share_pct,energy_eff_energy_use_kwh_m2,energy_eff_heat_pump_installations_count,energy_eff_district_heating_share_pct,energy_eff_smart_controls_penetration_pct,energy_eff_public_buildings_renovated_count,energy_eff_epbd_minimum_standards_flag,energy_eff_energy_savings_obligation_twh,energy_eff_rebound_effect_index,energy_eff_financing_scheme_code,energy_eff_investment_eur,energy_eff_just_transition_fund_support_eur,energy_eff_data_source,energy_eff_data_extract_date
2014,LT,LV987,COMMERCIAL_RETAIL,A:17.15;B:0.56;C:24.90;D:24.20;E:18.03;F:4.44;G:10.72,4.3,38.01,370.91,102314,6.0,86.15,17946,0,5.519,0.5809,EIB_LOAN,4343184705.44,172688313.34,EPBD_REPORTING,2024-12-29
2015,SK,PT796,PUBLIC_SCHOOLS,A:15.17;B:16.86;C:11.74;D:8.55;E:44.59;F:1.07;G:2.01,4.49,13.02,81.21,256782,2.13,30.34,17973,0,5.351,0.2899,TAX_REBATE,10559412878.07,56772089.11,SURVEY_ESTIMATE,2026-02-20
2016,HR,BG949,INDUSTRIAL_LIGHT,A:25.93;B:0.98;C:34.31;D:23.01;E:2.05;F:13.43;G:0.28,2.73,5.51,410.75,183226,26.16,30.03,7834,0,3.553,0.4777,PUBLIC_GRANT,3349194565.36,266880505.33,BUILDING_STOCK_OBSERVATORY,2024-10-16
2017,DE,CY9,PUBLIC_HOSPITALS,A:10.25;B:15.10;C:20.76;D:14.32;E:5.13;F:8.40;G:26.04,4.41,21.45,101.44,157078,26.8,22.11,10124,1,17.691,0.5031,GREEN_MORTGAGE,15599174697.72,53406881.04,NATIONAL_EPC_REGISTRY,2026-02-19
2018,LU,FI356,RESIDENTIAL_SFH,A:4.92;B:38.84;C:2.58;D:3.82;E:11.87;F:0.82;G:37.16,3.28,38.87,109.12,134931,3.26,6.37,6731,0,6.311,0.7934,ESCO_CONTRACT,20298969115.64,84570678.13,EPBD_REPORTING,2024-12-13
2019,SI,BE1,COMMERCIAL_OFFICE,A:30.70;B:33.96;C:1.13;D:0.30;E:14.80;F:6.39;G:12.72,5.0,22.82,64.11,58505,41.16,40.39,3976,0,16.068,0.1007,SOCIAL_HOUSING_FUND,12579718543.51,100830815.97,SURVEY_ESTIMATE,2024-12-05
2020,CY,PT28,RESIDENTIAL_MFH,A:4.42;B:0.25;C:17.56;D:21.17;E:7.41;F:45.44;G:3.74,5.36,37.45,55.39,472828,33.53,34.67,13547,0,11.146,0.7553,ON_BILL_FINANCING,29945482510.51,391348672.7,BUILDING_STOCK_OBSERVATORY,2024-03-03
2021,GR,NL3,COMMERCIAL_RETAIL,A:10.45;B:12.50;C:9.08;D:1.76;E:10.20;F:33.95;G:22.07,5.17,30.95,145.12,656777,34.52,88.38,10483,1,11.169,0.7563,EIB_LOAN,5348083910.71,52941401.78,NATIONAL_EPC_REGISTRY,2025-12-08
2022,MT,NL71,PUBLIC_SCHOOLS,A:2.64;B:17.22;C:7.31;D:9.48;E:13.05;F:21.67;G:28.62,4.26,29.17,145.43,35417,30.74,8.18,30584,1,15.763,0.1616,TAX_REBATE,2889373872.72,980994029.05,EPBD_REPORTING,2025-04-09
2023,ES,HR915,INDUSTRIAL_LIGHT,A:4.07;B:71.69;C:9.19;D:4.70;E:0.33;F:8.08;G:1.94,3.76,23.26,198.61,68954,25.77,27.44,18577,1,10.276,0.3284,PUBLIC_GRANT,13638402060.18,485468117.66,SURVEY_ESTIMATE,2025-03-19
2024,CZ,HU34,PUBLIC_HOSPITALS,A:19.41;B:4.61;C:45.76;D:7.04;E:1.84;F:16.39;G:4.95,3.65,31.03,339.42,446789,10.66,48.11,41617,0,11.814,0.5761,GREEN_MORTGAGE,58583035.29,89631153.26,BUILDING_STOCK_OBSERVATORY,2024-01-26
2025,HU,LT598,RESIDENTIAL_SFH,A:27.48;B:2.08;C:28.59;D:4.64;E:4.90;F:4.03;G:28.27,2.32,2.42,282.87,250496,44.43,18.36,11913,1,4.492,0.2297,ESCO_CONTRACT,9876308738.97,464906588.26,NATIONAL_EPC_REGISTRY,2024-05-03
2004,NL,EE788,COMMERCIAL_OFFICE,A:6.78;B:15.82;C:9.74;D:15.52;E:35.47;F:0.73;G:15.93,5.21,4.68,76.07,149326,47.59,40.73,17997,0,9.584,0.4479,SOCIAL_HOUSING_FUND,12385170246.25,380894117.95,EPBD_REPORTING,2024-09-10
2005,SE,GR48,RESIDENTIAL_MFH,A:22.52;B:33.11;C:3.57;D:6.75;E:23.05;F:0.45;G:10.55,4.66,19.23,67.8,132419,51.62,32.08,16825,1,2.812,0.3955,ON_BILL_FINANCING,17904728491.78,98170986.11,SURVEY_ESTIMATE,2024-10-29
2006,DK,RO9,COMMERCIAL_RETAIL,A:10.18;B:37.74;C:8.64;D:18.03;E:6.26;F:2.61;G:16.54,3.44,40.98,113.47,333513,21.62,26.39,13469,0,15.55,0.3629,EIB_LOAN,3368821313.29,425002730.54,BUILDING_STOCK_OBSERVATORY,2024-04-12
2007,IE,LV9,PUBLIC_SCHOOLS,A:0.92;B:13.99;C:4.40;D:25.84;E:38.86;F:7.74;G:8.25,1.11,35.48,307.21,131291,49.35,26.66,10495,0,1.373,0.689,TAX_REBATE,27288188365.41,33969062.87,NATIONAL_EPC_REGISTRY,2024-02-03
2008,PL,MT7,INDUSTRIAL_LIGHT,A:8.32;B:4.97;C:2.06;D:45.32;E:9.71;F:16.60;G:13.02,3.21,11.95,130.25,280825,12.78,80.76,3567,0,3.955,0.6728,PUBLIC_GRANT,9779516351.99,87890977.87,EPBD_REPORTING,2025-09-19
2009,AT,SI2,PUBLIC_HOSPITALS,A:15.64;B:7.09;C:7.97;D:8.49;E:14.13;F:36.46;G:10.22,4.72,13.33,102.84,297838,3.75,85.3,3256,0,13.806,0.4328,GREEN_MORTGAGE,5698272316.53,79648467.9,SURVEY_ESTIMATE,2024-06-16
2010,EE,HU35,RESIDENTIAL_SFH,A:30.12;B:4.99;C:27.47;D:1.61;E:1.47;F:11.37;G:22.97,1.55,35.51,97.9,261017,29.95,54.79,450,1,0.772,0.7299,ESCO_CONTRACT,14872879853.71,90209498.44,BUILDING_STOCK_OBSERVATORY,2025-11-17
2011,IT,GR172,COMMERCIAL_OFFICE,A:1.76;B:3.72;C:9.09;D:24.73;E:11.08;F:44.43;G:5.21,4.48,39.43,227.68,230435,11.12,74.21,9818,0,17.623,0.291,SOCIAL_HOUSING_FUND,18267930015.02,173866302.07,NATIONAL_EPC_REGISTRY,2025-09-28
2012,PT,EE655,RESIDENTIAL_MFH,A:21.62;B:4.93;C:30.67;D:3.22;E:16.83;F:14.92;G:7.81,5.28,40.04,51.33,316550,6.67,21.72,2488,1,12.642,0.7816,ON_BILL_FINANCING,2965621207.01,209353545.29,EPBD_REPORTING,2025-11-12
2013,BE,LU9,COMMERCIAL_RETAIL,A:12.17;B:10.43;C:35.03;D:14.86;E:20.16;F:5.96;G:1.38,1.33,44.05,183.49,117763,54.09,21.41,17613,0,0.805,0.4321,EIB_LOAN,17685963656.45,103380801.32,SURVEY_ESTIMATE,2025-10-29
2014,FI,PL735,PUBLIC_SCHOOLS,A:5.02;B:0.34;C:0.54;D:7.13;E:16.74;F:51.50;G:18.73,0.62,44.94,49.36,203696,19.68,38.47,6851,0,10.845,0.7852,TAX_REBATE,4069052536.76,52387239.8,BUILDING_STOCK_OBSERVATORY,2025-01-15
2015,LV,CZ359,INDUSTRIAL_LIGHT,A:13.75;B:28.81;C:0.97;D:3.17;E:1.99;F:41.31;G:10.00,4.98,33.44,206.81,280837,18.99,22.6,5544,0,2.953,0.4547,PUBLIC_GRANT,7281181051.29,47159379.17,NATIONAL_EPC_REGISTRY,2024-07-21
2016,RO,DK4,PUBLIC_HOSPITALS,A:29.84;B:5.45;C:20.83;D:9.35;E:17.58;F:2.78;G:14.16,1.11,27.57,136.11,257029,3.39,20.22,8219,0,4.196,0.1515,GREEN_MORTGAGE,3164218570.34,297129175.98,EPBD_REPORTING,2025-02-04
2017,BG,IT1,RESIDENTIAL_SFH,A:12.12;B:11.84;C:15.42;D:15.47;E:2.68;F:17.88;G:24.57,2.13,27.36,223.44,329586,26.5,63.18,8983,0,0.717,0.2445,ESCO_CONTRACT,3862528873.04,137040072.95,SURVEY_ESTIMATE,2025-02-17
2018,FR,FR7,COMMERCIAL_OFFICE,A:41.41;B:25.01;C:3.80;D:11.36;E:13.37;F:2.86;G:2.19,3.88,4.96,94.72,120869,16.05,8.74,12854,0,2.755,0.1004,SOCIAL_HOUSING_FUND,825805817.47,159799267.44,BUILDING_STOCK_OBSERVATORY,2025-02-02
2019,LT,LU846,RESIDENTIAL_MFH,A:29.37;B:37.39;C:0.06;D:7.71;E:3.40;F:21.86;G:0.21,2.62,43.17,43.25,151714,20.41,50.01,5884,0,17.308,0.4208,ON_BILL_FINANCING,19353682604.77,334465807.14,NATIONAL_EPC_REGISTRY,2024-01-07
2020,SK,ES457,COMMERCIAL_RETAIL,A:10.34;B:6.97;C:6.89;D:9.49;E:4.83;F:51.56;G:9.93,3.11,21.84,190.07,613275,50.37,87.76,13766,0,3.428,0.4839,EIB_LOAN,9313687311.48,151889751.1,EPBD_REPORTING,2025-05-31
2021,HR,IE98,PUBLIC_SCHOOLS,A:14.76;B:10.26;C:6.09;D:27.05;E:3.05;F:25.13;G:13.66,3.95,27.67,150.38,171986,12.57,72.63,18584,1,7.977,0.3918,TAX_REBATE,13316449171.18,43415698.33,SURVEY_ESTIMATE,2024-10-16
2022,DE,MT673,INDUSTRIAL_LIGHT,A:9.23;B:18.94;C:14.10;D:25.76;E:17.15;F:11.48;G:3.35,3.81,31.89,123.72,673030,46.41,8.23,6424,0,15.79,0.4186,PUBLIC_GRANT,12768157328.9,444883571.57,BUILDING_STOCK_OBSERVATORY,2025-09-05
2023,LU,IT31,PUBLIC_HOSPITALS,A:15.66;B:5.83;C:4.83;D:12.53;E:8.97;F:12.04;G:40.14,0.42,41.72,310.01,759429,21.65,78.65,9801,1,15.881,0.0531,GREEN_MORTGAGE,27563308934.13,396642445.18,NATIONAL_EPC_REGISTRY,2025-11-26
2024,SI,LT75,RESIDENTIAL_SFH,A:15.61;B:49.56;C:6.45;D:3.86;E:10.25;F:6.07;G:8.19,0.98,33.46,205.03,635327,29.7,38.59,2122,1,4.164,0.5328,ESCO_CONTRACT,1987717882.14,2000385586.51,EPBD_REPORTING,2025-02-27
2025,CY,NL565,COMMERCIAL_OFFICE,A:15.93;B:52.99;C:4.05;D:0.80;E:1.52;F:13.65;G:11.07,5.34,23.79,349.07,6651,46.92,39.67,1095,1,14.483,0.5204,SOCIAL_HOUSING_FUND,8864244922.81,1135109090.09,SURVEY_ESTIMATE,2025-11-19
2004,GR,PL38,RESIDENTIAL_MFH,A:30.43;B:1.11;C:36.35;D:1.64;E:13.22;F:8.00;G:9.25,4.48,40.86,386.97,326341,19.94,33.91,2363,0,9.561,0.1187,ON_BILL_FINANCING,19436396508.62,481468291.44,BUILDING_STOCK_OBSERVATORY,2025-08-02
2005,MT,IE849,COMMERCIAL_RETAIL,A:8.37;B:9.62;C:0.46;D:6.38;E:7.51;F:47.52;G:20.14,0.61,17.31,345.52,223641,15.93,53.94,8275,0,9.901,0.7281,EIB_LOAN,8867824015.1,387671917.68,NATIONAL_EPC_REGISTRY,2024-04-08
2006,ES,LV39,PUBLIC_SCHOOLS,A:12.57;B:20.18;C:11.05;D:7.08;E:8.04;F:27.44;G:13.64,0.87,20.99,380.63,169432,28.28,76.55,27828,0,11.929,0.8266,TAX_REBATE,19614148647.53,106407461.43,EPBD_REPORTING,2025-07-14
2007,CZ,AT123,INDUSTRIAL_LIGHT,A:4.16;B:6.99;C:29.55;D:3.73;E:35.24;F:5.11;G:15.22,4.25,41.8,402.34,292625,48.77,64.04,12899,0,6.843,0.1722,PUBLIC_GRANT,3124902877.31,455387415.24,SURVEY_ESTIMATE,2025-04-20
2008,HU,HU58,PUBLIC_HOSPITALS,A:6.38;B:7.83;C:9.53;D:1.87;E:30.12;F:37.25;G:7.03,4.82,7.25,385.85,96475,33.77,18.93,15585,0,8.225,0.5313,GREEN_MORTGAGE,4492408420.89,481392391.41,BUILDING_STOCK_OBSERVATORY,2024-08-06
2009,NL,RO577,RESIDENTIAL_SFH,A:26.06;B:7.67;C:11.16;D:3.07;E:30.08;F:7.50;G:14.46,2.55,19.88,282.03,253407,36.6,20.12,6238,0,13.725,0.6114,ESCO_CONTRACT,4788344853.42,62515572.96,NATIONAL_EPC_REGISTRY,2025-10-20
2010,SE,PL3,COMMERCIAL_OFFICE,A:14.56;B:2.61;C:35.26;D:20.91;E:2.65;F:21.61;G:2.42,2.36,40.02,159.02,127500,50.69,89.45,12500,1,10.528,0.4035,SOCIAL_HOUSING_FUND,168297573.87,219568022.79,EPBD_REPORTING,2024-06-11
2011,DK,SE8,RESIDENTIAL_MFH,A:25.01;B:8.37;C:1.99;D:3.15;E:31.31;F:20.96;G:9.20,0.61,38.77,367.98,343915,44.63,12.07,5427,0,5.063,0.4839,ON_BILL_FINANCING,2447992044.66,132704754.74,SURVEY_ESTIMATE,2025-09-10
2012,IE,RO46,COMMERCIAL_RETAIL,A:1.33;B:32.65;C:30.26;D:11.52;E:11.53;F:5.52;G:7.19,2.09,27.12,326.65,94563,6.63,29.41,12639,0,15.707,0.1317,EIB_LOAN,15088866245.85,320599712.96,BUILDING_STOCK_OBSERVATORY,2024-01-16
2013,PL,ES99,PUBLIC_SCHOOLS,A:11.00;B:12.44;C:20.49;D:24.15;E:1.81;F:5.42;G:24.69,1.2,33.18,133.14,69701,3.81,39.8,2162,0,4.338,0.4888,TAX_REBATE,16255208214.26,311293345.39,NATIONAL_EPC_REGISTRY,2024-12-01
2014,AT,BG40,INDUSTRIAL_LIGHT,A:4.91;B:2.18;C:8.14;D:47.76;E:8.10;F:17.31;G:11.60,3.73,41.53,215.42,349871,26.19,26.34,8172,0,10.541,0.3671,PUBLIC_GRANT,3069057460.65,441000660.42,EPBD_REPORTING,2026-02-01
2015,EE,NL820,PUBLIC_HOSPITALS,A:22.68;B:29.88;C:0.66;D:13.41;E:5.73;F:23.72;G:3.93,3.14,16.33,51.65,110688,7.97,35.31,35749,0,0.23,0.7304,GREEN_MORTGAGE,22817431847.02,51756036.11,SURVEY_ESTIMATE,2025-07-01
2016,IT,SE3,RESIDENTIAL_SFH,A:10.92;B:8.97;C:29.54;D:14.85;E:18.84;F:16.50;G:0.37,1.83,7.12,404.43,40135,36.49,16.14,15380,0,11.174,0.4423,ESCO_CONTRACT,24956466120.19,99201306.64,BUILDING_STOCK_OBSERVATORY,2024-10-15
2017,PT,HU2,COMMERCIAL_OFFICE,A:8.82;B:5.14;C:9.94;D:18.85;E:45.12;F:2.76;G:9.37,3.2,27.55,298.92,260032,41.67,49.02,17806,0,3.017,0.6959,SOCIAL_HOUSING_FUND,17839372890.73,185341101.16,NATIONAL_EPC_REGISTRY,2025-09-16
2018,BE,FI572,RESIDENTIAL_MFH,A:17.76;B:5.95;C:5.96;D:23.03;E:17.78;F:3.26;G:26.26,2.05,32.13,371.44,329010,36.82,57.84,987,1,15.559,0.3856,ON_BILL_FINANCING,11828941748.79,99280372.35,EPBD_REPORTING,2025-08-01
2019,FI,DK6,COMMERCIAL_RETAIL,A:17.75;B:20.52;C:14.08;D:14.08;E:9.60;F:13.33;G:10.63,5.43,29.75,250.33,315920,41.61,72.41,13852,1,6.025,0.7891,EIB_LOAN,19811135942.79,357598513.54,SURVEY_ESTIMATE,2024-07-13
2020,LV,ES10,PUBLIC_SCHOOLS,A:14.41;B:4.13;C:47.27;D:0.88;E:14.89;F:6.95;G:11.47,4.95,38.86,87.17,66631,41.56,44.29,28523,1,12.498,0.5489,TAX_REBATE,321479229.3,253553904.77,BUILDING_STOCK_OBSERVATORY,2024-02-20
2021,RO,IT7,INDUSTRIAL_LIGHT,A:11.13;B:2.71;C:35.20;D:1.95;E:16.14;F:26.03;G:6.82,2.74,23.6,118.12,659097,9.37,61.11,17962,1,17.585,0.3637,PUBLIC_GRANT,11836691347.73,358954811.53,NATIONAL_EPC_REGISTRY,2024-08-18
2022,BG,NL477,PUBLIC_HOSPITALS,A:3.03;B:9.97;C:21.23;D:2.78;E:11.49;F:24.95;G:26.55,4.94,19.7,353.75,773076,36.36,48.72,28881,1,16.429,0.161,GREEN_MORTGAGE,24341027410.32,95521045.08,EPBD_REPORTING,2024-05-13
2023,FR,CY28,RESIDENTIAL_SFH,A:10.20;B:1.94;C:20.08;D:22.75;E:16.20;F:14.90;G:13.93,2.28,35.82,81.56,472331,40.47,74.97,12218,1,15.012,0.1978,ESCO_CONTRACT,21982751613.05,56911948.42,SURVEY_ESTIMATE,2024-04-03
2024,LT,MT99,COMMERCIAL_OFFICE,A:12.72;B:1.05;C:5.58;D:8.57;E:22.55;F:14.82;G:34.71,1.79,9.15,377.49,430818,25.11,26.94,12889,0,13.627,0.1538,SOCIAL_HOUSING_FUND,25576673560.66,1092387684.13,BUILDING_STOCK_OBSERVATORY,2024-10-20
2025,SK,SI27,RESIDENTIAL_MFH,A:2.94;B:3.81;C:31.43;D:35.67;E:9.65;F:13.45;G:3.05,2.45,35.11,327.24,676371,23.89,31.6,2063,0,12.452,0.4095,ON_BILL_FINANCING,6061391224.54,914671326.78,NATIONAL_EPC_REGISTRY,2025-04-11
2004,HR,LT856,COMMERCIAL_RETAIL,A:40.35;B:10.43;C:9.43;D:4.41;E:18.28;F:0.34;G:16.76,3.06,34.54,102.65,110769,44.72,12.93,3351,0,14.619,0.7751,EIB_LOAN,13432915670.05,204812864.68,EPBD_REPORTING,2024-12-23
2005,DE,ES787,PUBLIC_SCHOOLS,A:7.78;B:40.73;C:15.68;D:7.35;E:24.46;F:2.07;G:1.93,3.2,24.05,42.18,187122,15.12,47.91,13170,0,1.149,0.2719,TAX_REBATE,15771552198.35,113435574.47,SURVEY_ESTIMATE,2024-04-14
2006,LU,MT5,INDUSTRIAL_LIGHT,A:19.56;B:28.58;C:13.89;D:0.74;E:18.99;F:17.53;G:0.71,3.43,36.17,182.23,132275,51.87,60.83,12230,0,9.321,0.599,PUBLIC_GRANT,4660389723.6,58279370.43,BUILDING_STOCK_OBSERVATORY,2025-03-06
2007,SI,PT57,PUBLIC_HOSPITALS,A:30.96;B:13.65;C:8.48;D:13.24;E:8.71;F:1.78;G:23.18,1.76,40.3,239.29,137226,15.72,83.44,1143,0,2.731,0.7686,GREEN_MORTGAGE,6518324852.27,217323800.12,NATIONAL_EPC_REGISTRY,2025-03-02
2008,CY,CY21,RESIDENTIAL_SFH,A:26.52;B:3.81;C:11.87;D:0.49;E:32.59;F:5.01;G:19.70,4.23,36.96,152.28,269707,41.38,55.99,11745,0,0.498,0.4168,ESCO_CONTRACT,4850396876.69,208993297.97,EPBD_REPORTING,2025-11-08
2009,GR,PL8,COMMERCIAL_OFFICE,A:2.00;B:47.74;C:3.03;D:8.79;E:4.24;F:15.17;G:19.03,4.21,17.83,410.98,104792,18.49,65.51,4313,0,4.306,0.4704,SOCIAL_HOUSING_FUND,9346248486.83,96506172.98,SURVEY_ESTIMATE,2024-09-02
2010,MT,SK230,RESIDENTIAL_MFH,A:8.62;B:11.08;C:8.69;D:18.95;E:14.36;F:22.22;G:16.09,1.23,24.29,144.16,120897,54.97,38.28,14940,0,12.984,0.7001,ON_BILL_FINANCING,10851174257.33,147279761.04,BUILDING_STOCK_OBSERVATORY,2026-01-25
2011,ES,IE4,COMMERCIAL_RETAIL,A:39.07;B:3.47;C:24.39;D:15.18;E:6.49;F:7.97;G:3.44,1.39,44.54,371.95,299790,26.44,71.71,4519,0,11.797,0.7845,EIB_LOAN,16321264786.84,188539900.24,NATIONAL_EPC_REGISTRY,2024-10-22
2012,CZ,BG863,PUBLIC_SCHOOLS,A:11.42;B:18.98;C:0.31;D:44.81;E:3.99;F:16.69;G:3.81,4.67,44.25,324.88,180124,54.06,89.75,31858,0,12.676,0.3086,TAX_REBATE,15328040717.97,100278798.13,EPBD_REPORTING,2025-11-21
2013,HU,RO40,INDUSTRIAL_LIGHT,A:31.15;B:20.75;C:15.91;D:7.22;E:1.98;F:15.81;G:7.17,3.38,4.6,287.95,285571,50.53,7.94,247,0,1.078,0.4916,PUBLIC_GRANT,11927169929.92,64286467.27,SURVEY_ESTIMATE,2024-10-01
2014,NL,PL96,PUBLIC_HOSPITALS,A:15.66;B:6.02;C:7.70;D:17.14;E:34.18;F:10.98;G:8.32,2.76,39.27,234.06,123788,37.73,79.81,32695,0,15.19,0.3046,GREEN_MORTGAGE,18702335513.79,406762216.8,BUILDING_STOCK_OBSERVATORY,2024-04-04
2015,SE,SK59,RESIDENTIAL_SFH,A:30.53;B:2.12;C:3.75;D:11.71;E:39.44;F:12.24;G:0.22,5.22,25.59,119.03,28590,54.68,74.33,19189,0,14.171,0.8325,ESCO_CONTRACT,12759634740.13,25137111.25,NATIONAL_EPC_REGISTRY,2024-05-03
2016,DK,SI525,COMMERCIAL_OFFICE,A:18.28;B:54.66;C:6.44;D:4.25;E:6.03;F:4.62;G:5.73,2.86,17.18,177.28,200399,39.42,30.64,3651,0,15.18,0.4829,SOCIAL_HOUSING_FUND,15790251018.07,167968723.2,EPBD_REPORTING,2025-05-27
2017,IE,FR71,RESIDENTIAL_MFH,A:5.22;B:6.97;C:15.52;D:3.02;E:28.30;F:40.63;G:0.34,2.77,26.3,55.87,10335,10.33,23.52,901,0,11.151,0.1774,ON_BILL_FINANCING,12949821605.06,39563253.49,SURVEY_ESTIMATE,2025-03-10
2018,PL,FI396,COMMERCIAL_RETAIL,A:35.47;B:11.04;C:2.46;D:12.78;E:11.69;F:9.75;G:16.82,0.34,11.79,226.45,204317,20.61,88.0,8671,0,14.534,0.135,EIB_LOAN,20557730815.07,306963918.31,BUILDING_STOCK_OBSERVATORY,2025-05-21
2019,AT,SE34,PUBLIC_SCHOOLS,A:10.25;B:7.46;C:20.02;D:36.99;E:2.48;F:5.74;G:17.06,4.92,14.53,112.29,308475,27.82,45.6,33500,1,8.968,0.1086,TAX_REBATE,3320414438.41,128558907.84,NATIONAL_EPC_REGISTRY,2025-12-23
2020,EE,EE5,INDUSTRIAL_LIGHT,A:10.63;B:31.82;C:18.33;D:17.08;E:7.43;F:5.18;G:9.53,0.74,13.42,48.5,405745,21.92,57.89,16236,1,9.396,0.0908,PUBLIC_GRANT,9913720966.42,302120191.19,EPBD_REPORTING,2025-02-18
2021,IT,DE95,PUBLIC_HOSPITALS,A:11.58;B:10.29;C:4.79;D:4.96;E:7.88;F:54.97;G:5.52,2.1,11.35,415.59,453624,6.67,11.32,31480,1,3.636,0.3273,GREEN_MORTGAGE,8724058877.02,114699606.01,SURVEY_ESTIMATE,2024-03-17
2022,PT,LT44,RESIDENTIAL_SFH,A:16.64;B:29.10;C:5.89;D:4.62;E:11.25;F:5.91;G:26.59,3.45,39.86,250.9,92604,24.65,10.67,6877,1,12.998,0.5835,ESCO_CONTRACT,232437310.13,2018353931.94,BUILDING_STOCK_OBSERVATORY,2026-02-13
2023,BE,LT89,COMMERCIAL_OFFICE,A:26.90;B:0.23;C:10.45;D:22.56;E:13.69;F:16.69;G:9.49,4.65,41.0,215.5,168961,26.7,28.18,4275,1,5.536,0.7323,SOCIAL_HOUSING_FUND,9646336058.23,51322794.99,NATIONAL_EPC_REGISTRY,2024-10-23
2024,FI,IT2,RESIDENTIAL_MFH,A:0.97;B:10.19;C:12.81;D:29.30;E:30.67;F:7.32;G:8.73,2.93,14.0,237.27,211046,40.16,28.18,4768,0,11.966,0.6094,ON_BILL_FINANCING,7379963243.11,380661674.88,EPBD_REPORTING,2025-03-29
2025,LV,AT97,COMMERCIAL_RETAIL,A:17.20;B:31.24;C:3.12;D:18.02;E:15.48;F:7.97;G:6.96,2.97,24.19,280.52,159383,41.03,76.87,15206,0,14.195,0.7494,EIB_LOAN,6177517269.15,593189577.71,SURVEY_ESTIMATE,2024-10-27
